Orthogroup	MHP_ES2_proteins	MHP_MHP709_proteins
OG0000020	WP_240536358.1	WP_160588169.1
OG0000021	WP_135618797.1, WP_011206128.1, WP_135618734.1, WP_135619178.1	WP_044284635.1
OG0000022	WP_135618767.1	WP_160588207.1
OG0000022	WP_135618781.1	WP_160588197.1
OG0000023	WP_135618678.1, WP_135618754.1, WP_240536321.1, WP_240536323.1, WP_240536322.1	WP_160588233.1
OG0000024	WP_135618988.1	WP_160585259.1
OG0000024	WP_135618668.1	WP_160588003.1
OG0000025	WP_135618769.1	WP_160588205.1
OG0000025	WP_135618779.1	WP_160588199.1
OG0000026	WP_044284614.1	WP_192894288.1
OG0000026	WP_135618775.1	WP_160588201.1
OG0000027	WP_135619129.1	WP_020835902.1
OG0000027	WP_135619132.1	WP_160588189.1
OG0000028	WP_135618930.1	WP_160588297.1
OG0000029	WP_135618627.1	WP_160588071.1
OG0000029	WP_135618559.1	WP_160587963.1
OG0000030	WP_240536353.1	WP_160588148.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_011284063.1	WP_011290137.1
OG0000032	WP_135618726.1	WP_160588340.1
OG0000032	WP_240536354.1	WP_308507099.1
OG0000033	WP_240536334.1, WP_240536336.1	WP_160588215.1
OG0000034	WP_233688423.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_135619086.1	WP_160588344.1
OG0000035	WP_135619082.1	WP_160588066.1
OG0000036	WP_240536359.1	WP_020835495.1
OG0000036	WP_135618460.1	WP_258555370.1
OG0000037	WP_020835661.1	WP_020835661.1
OG0000038	WP_135618806.1, WP_135618538.1, WP_135618793.1	WP_160588009.1
OG0000039	WP_135618739.1, WP_167871264.1	WP_160588346.1
OG0000040	WP_135619110.1	WP_160588136.1
OG0000041	WP_240536366.1, WP_135618565.1	WP_258555272.1
OG0000042	WP_135619032.1	WP_160588323.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000045	WP_135618740.1	WP_225973032.1
OG0000048	WP_135618866.1	WP_011284150.1
OG0000049	WP_240536351.1	WP_020835860.1
OG0000050	WP_135618938.1	WP_160588301.1
OG0000051	WP_135618969.1	WP_160587825.1
OG0000052	WP_135618448.1	WP_146379447.1
OG0000053	WP_135618705.1	WP_160588221.1
OG0000054	WP_135618940.1	WP_160588303.1
OG0000055	WP_135618462.1	WP_146379455.1
OG0000056	WP_135619162.1	WP_160588161.1
OG0000057	WP_240536348.1	WP_160587863.1
OG0000060	WP_240536367.1, WP_020835489.1	WP_225973002.1
OG0000061	WP_135618818.1	WP_160587888.1
OG0000062	WP_011206522.1	WP_160588098.1
OG0000063	WP_135619169.1	WP_146379768.1
OG0000064	WP_135619167.1	WP_160588095.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_160588243.1
OG0000067	WP_135618544.1	WP_160588342.1
OG0000068	WP_011206103.1	WP_160587949.1
OG0000069	WP_135619002.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_146379657.1
OG0000071	WP_135619103.1	WP_160585219.1
OG0000072	WP_135619105.1	WP_160588134.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_044284596.1	WP_044284596.1
OG0000075	WP_135618517.1	WP_014579568.1
OG0000076	WP_135618521.1	WP_160584756.1
OG0000077	WP_135618533.1	WP_160588013.1
OG0000078	WP_135618771.1	WP_160588203.1
OG0000079	WP_135618951.1	WP_011206305.1
OG0000080	WP_179695988.1	WP_179695988.1
OG0000081	WP_135618515.1	WP_160588023.1
OG0000082	WP_240536332.1	WP_258555343.1
OG0000083	WP_011206216.1	WP_160587917.1
OG0000084	WP_011206222.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_135618860.1	WP_160587925.1
OG0000087	WP_044272477.1	WP_160587927.1
OG0000088	WP_044272480.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_044278048.1	WP_160588122.1
OG0000091	WP_011205850.1	WP_160588118.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_160588114.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_135619172.1	WP_258555298.1
OG0000098	WP_135619170.1	WP_160588100.1
OG0000099	WP_135619164.1	WP_160588163.1
OG0000100	WP_135619158.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_160588213.1
OG0000103	WP_135618876.1	WP_160588278.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_160588282.1
OG0000106	WP_135618884.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_308507065.1
OG0000109	WP_014579826.1	WP_146379632.1
OG0000110	WP_135618926.1	WP_160585726.1
OG0000111	WP_240536331.1	WP_258555345.1
OG0000112	WP_240536330.1	WP_237697204.1
OG0000113	WP_011206268.1	WP_160585296.1
OG0000114	WP_225972979.1	WP_258555347.1
OG0000115	WP_011206264.1	WP_160585718.1
OG0000116	WP_135618674.1	WP_146379549.1
OG0000117	WP_135618676.1	WP_160588005.1
OG0000118	WP_228729171.1	WP_179221071.1
OG0000119	WP_135618686.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_135618690.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_160588259.1
OG0000126	WP_011205950.1	WP_146379560.1
OG0000127	WP_135618701.1	WP_011290122.1
OG0000128	WP_135618707.1	WP_160585095.1
OG0000129	WP_020835651.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_135618710.1	WP_160588225.1
OG0000132	WP_135618714.1	WP_160588229.1
OG0000133	WP_014579589.1	WP_094521764.1
OG0000134	WP_233688635.1	WP_228365407.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_135618546.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_160588305.1
OG0000138	WP_135618563.1	WP_160587956.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_160584795.1
OG0000141	WP_011284290.1	WP_146379698.1
OG0000142	WP_135619030.1	WP_160587865.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_135619022.1	WP_160587861.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_135619018.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_160587854.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_135618994.1	WP_020835828.1
OG0000152	WP_020835827.1	WP_020835827.1
OG0000153	WP_135618992.1	WP_011206347.1
OG0000154	WP_094521730.1	WP_160587842.1
OG0000155	WP_135618984.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_160587838.1
OG0000157	WP_014579918.1	WP_160587836.1
OG0000158	WP_135618980.1	WP_160587834.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_146379654.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_135618936.1	WP_160588299.1
OG0000164	WP_135618732.1	WP_146379571.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_135618840.1	WP_011206204.1
OG0000167	WP_135618846.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_160587908.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_011206420.1	WP_160588047.1
OG0000171	WP_011206422.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_135619059.1	WP_160588049.1
OG0000174	WP_011290369.1	WP_160588051.1
OG0000175	WP_135619064.1	WP_160588054.1
OG0000176	WP_135619075.1	WP_160588062.1
OG0000177	WP_135619077.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_160585275.1
OG0000179	WP_011206444.1	WP_020835880.1
OG0000180	WP_011206445.1	WP_081642895.1
OG0000181	WP_135619094.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011284337.1
OG0000183	WP_135619099.1	WP_011206459.1
OG0000184	WP_135619119.1	WP_160588140.1
OG0000185	WP_135619116.1	WP_160588138.1
OG0000186	WP_135618718.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_135618893.1	WP_160588291.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_135619204.1	WP_020835755.1
OG0000192	WP_011205992.1	WP_160587990.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_014579644.1	WP_160588272.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_160588267.1
OG0000203	WP_011206072.1	WP_160588265.1
OG0000204	WP_011206071.1	WP_160588089.1
OG0000205	WP_135618583.1	WP_160588086.1
OG0000206	WP_135618589.1	WP_011290044.1
OG0000207	WP_011206063.1	WP_094521594.1
OG0000208	WP_135618591.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_011206052.1
OG0000211	WP_135618610.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_160588083.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_011283965.1	WP_014579616.1
OG0000217	WP_135618612.1	WP_160588081.1
OG0000218	WP_011206042.1	WP_011290058.1
OG0000219	WP_228729170.1	WP_020835591.1
OG0000220	WP_135618616.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_160588076.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_135618620.1	WP_160588073.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_135618622.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_135618635.1	WP_160587977.1
OG0000235	WP_135618637.1	WP_160587980.1
OG0000236	WP_135618639.1	WP_011283989.1
OG0000237	WP_135618641.1	WP_160587982.1
OG0000238	WP_011206006.1	WP_011283991.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_135619034.1	WP_020835851.1
OG0000241	WP_135619036.1	WP_044272588.1
OG0000242	WP_135619038.1	WP_160588327.1
OG0000243	WP_011290352.1	WP_146379703.1
OG0000244	WP_011206406.1	WP_041361690.1
OG0000245	WP_135619044.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_135618468.1	WP_308507094.1
OG0000248	WP_052259122.1	WP_052259122.1
OG0000249	WP_135618470.1	WP_160588044.1
OG0000250	WP_135618476.1	WP_160588038.1
OG0000251	WP_014579544.1	WP_020835507.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_135618489.1	WP_160588034.1
OG0000254	WP_020835510.1	WP_160588032.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_135618501.1	WP_160588029.1
OG0000258	WP_135618503.1	WP_011289974.1
OG0000259	WP_020835520.1	WP_041361723.1
OG0000260	WP_135618509.1	WP_011289982.1
OG0000261	WP_135618513.1	WP_160588025.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_160585532.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_135618527.1	WP_146379476.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_014579577.1
OG0000268	WP_011283894.1	WP_160588019.1
OG0000269	WP_014579579.1	WP_160584741.1
OG0000270	WP_011206505.1	WP_160588154.1
OG0000271	WP_135619152.1	WP_160588152.1
OG0000272	WP_011206503.1	WP_160588150.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_135619148.1	WP_160588177.1
OG0000275	WP_238374142.1	WP_160588179.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_135619144.1	WP_258555327.1
OG0000279	WP_014580014.1	WP_160588183.1
OG0000280	WP_135619140.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_240536356.1	WP_160588184.1
OG0000283	WP_044272663.1	WP_011206485.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_011290413.1	WP_160584909.1
OG0000286	WP_135618934.1	WP_146379652.1
OG0000287	WP_135618946.1	WP_011284216.1
OG0000288	WP_011284218.1	WP_011206299.1
OG0000289	WP_020835793.1	WP_020835793.1
OG0000290	WP_135618967.1	WP_011284237.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_011206319.1	WP_160587820.1
OG0000293	WP_135618964.1	WP_160587817.1
OG0000294	WP_135618960.1	WP_160587813.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_041361673.1	WP_044272552.1
OG0000297	WP_020835798.1	WP_160588315.1
OG0000298	WP_135618474.1	WP_160588040.1
OG0000299	WP_135618482.1	WP_094521545.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_135618529.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_135619020.1	WP_160587859.1
OG0000306	WP_135618998.1	WP_044272563.1
OG0000307	WP_135618990.1	WP_160587844.1
OG0000308	WP_020835811.1	WP_044284683.1
OG0000309	WP_135618958.1	WP_011206313.1
OG0000310	WP_135618948.1	WP_160588319.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_014579882.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_135618838.1	WP_160587902.1
OG0000315	WP_135618850.1	WP_011290197.1
OG0000316	WP_014579818.1	WP_160587912.1
OG0000317	WP_135618864.1	WP_160585126.1
OG0000318	WP_240536307.1	WP_220191051.1
OG0000319	WP_135618880.1	WP_160588280.1
OG0000320	WP_135618919.1	WP_160588217.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_135618712.1	WP_160588227.1
OG0000324	WP_135618886.1	WP_160588283.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_135618577.1	WP_160588270.1
OG0000327	WP_135618579.1	WP_146379506.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_135618597.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_135619040.1	WP_146379704.1
OG0000332	WP_135619068.1	WP_011290372.1
OG0000333	WP_135619072.1	WP_011206433.1
OG0000334	WP_135619225.1	WP_044272637.1
OG0000335	WP_135619096.1	WP_160588128.1
OG0000336	WP_135619138.1	WP_011206488.1
OG0000337	WP_050195472.1	WP_011290441.1
OG0000338	WP_011284394.1	WP_160584861.1
OG0000339	WP_135618913.1	WP_160585719.1
OG0000340	WP_011205973.1	WP_160588380.1
OG0000341	WP_135618892.1	WP_160588289.1
OG0000342	WP_135618571.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052269168.1	WP_160588307.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_014580011.1	WP_232039558.1
OG0000347	WP_135618695.1	WP_011205955.1
OG0000348	WP_240536364.1	WP_225973015.1
OG0000349	WP_135619151.1	WP_160588173.1
OG0000350	WP_044284839.1	WP_258555238.1
OG0000351	WP_240536362.1	WP_160588011.1
OG0000352	WP_135618830.1	WP_160587896.1
OG0000353	WP_135618688.1	WP_160588248.1
OG0000354	WP_233417361.1	WP_308507053.1
OG0000355	WP_011206194.1	WP_020835708.1
OG0000356	WP_240536306.1	WP_308507057.1
OG0000357	WP_240536352.1	WP_011206427.1
OG0000358	WP_135619062.1	WP_160588052.1
OG0000359	WP_240536363.1	WP_308507100.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_160588317.1
OG0000363	WP_276310470.1	WP_233417364.1
OG0000364	WP_135618822.1	WP_160587890.1
OG0000365	WP_135618854.1	WP_160587919.1
OG0000366	WP_135618858.1	WP_011206224.1
OG0000367	WP_220190703.1	WP_220190703.1
OG0000368	WP_135618446.1	WP_160588120.1
OG0000369	WP_011205844.1	WP_160588112.1
OG0000370	WP_135618444.1	WP_160588110.1
OG0000371	WP_135618442.1	WP_160588108.1
OG0000372	WP_135618439.1	WP_160588106.1
OG0000373	WP_135619174.1	WP_160588104.1
OG0000374	WP_014580047.1	WP_160588102.1
OG0000375	WP_135618878.1	WP_146379628.1
OG0000376	WP_011206273.1	WP_160585724.1
OG0000377	WP_135618921.1	WP_011206271.1
OG0000378	WP_135618672.1	WP_146379548.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_135618693.1	WP_160588252.1
OG0000381	WP_135618699.1	WP_160588219.1
OG0000382	WP_135618709.1	WP_160588223.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_014579586.1	WP_041361727.1
OG0000385	WP_135618542.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_135618548.1	WP_160588311.1
OG0000388	WP_135618550.1	WP_160588309.1
OG0000389	WP_135618561.1	WP_160587959.1
OG0000390	WP_135619024.1	WP_011284284.1
OG0000391	WP_240536347.1	WP_020835843.1
OG0000392	WP_135619016.1	WP_020835840.1
OG0000393	WP_135619000.1	WP_160587848.1
OG0000394	WP_011290313.1	WP_011290313.1
OG0000395	WP_135618986.1	WP_146379682.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_011290187.1	WP_160587892.1
OG0000399	WP_135618843.1	WP_160587906.1
OG0000400	WP_135619057.1	WP_044272610.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_135619073.1	WP_160588059.1
OG0000403	WP_187145658.1	WP_020835873.1
OG0000404	WP_135619079.1	WP_160588064.1
OG0000405	WP_135619081.1	WP_160585278.1
OG0000406	WP_135619227.1	WP_160588130.1
OG0000407	WP_135619098.1	WP_160588132.1
OG0000408	WP_011206457.1	WP_044284717.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_011290400.1	WP_146379742.1
OG0000412	WP_135619118.1	WP_011290399.1
OG0000413	WP_135618716.1	WP_011290129.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_135618720.1	WP_020835657.1
OG0000416	WP_011284056.1	WP_160588231.1
OG0000417	WP_135618890.1	WP_160588287.1
OG0000418	WP_240536314.1	WP_160588285.1
OG0000419	WP_020835572.1	WP_160588274.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_135618575.1	WP_146379504.1
OG0000423	WP_135618585.1	WP_135618585.1
OG0000424	WP_135618587.1	WP_135618587.1
OG0000425	WP_011206065.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_135618601.1	WP_011206054.1
OG0000429	WP_135618618.1	WP_011290062.1
OG0000430	WP_014579604.1	WP_014579604.1
OG0000431	WP_011290067.1	WP_011290067.1
OG0000432	WP_135618631.1	WP_160587974.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_160585569.1
OG0000435	WP_020835610.1	WP_011283987.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_044272373.1
OG0000438	WP_135618644.1	WP_160587984.1
OG0000439	WP_020835619.1	WP_020835619.1
OG0000440	WP_020835852.1	WP_160588325.1
OG0000441	WP_135619046.1	WP_011284299.1
OG0000442	WP_135618466.1	WP_258555380.1
OG0000443	WP_135618480.1	WP_160588036.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_135618491.1	WP_044284571.1
OG0000446	WP_135618497.1	WP_135618497.1
OG0000447	WP_014579553.1	WP_160588031.1
OG0000448	WP_011289976.1	WP_146379469.1
OG0000449	WP_135618507.1	WP_011289981.1
OG0000450	WP_135618511.1	WP_160588027.1
OG0000451	WP_135618523.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_135618531.1	WP_011206136.1
OG0000455	WP_135619156.1	WP_146379761.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_135619136.1	WP_160588187.1
OG0000458	WP_135618944.1	WP_160588321.1
OG0000459	WP_011206301.1	WP_011206301.1
OG0000460	WP_011206303.1	WP_044272549.1
OG0000461	WP_135618956.1	WP_160587811.1
OG0000462	WP_011284228.1	WP_160587809.1
OG0000463	WP_135618955.1	WP_160587807.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_135618953.1	WP_160585762.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_135618974.1	WP_160587829.1
OG0000468	WP_135618841.1	WP_160587904.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_135618603.1	WP_044272348.1
OG0000472	WP_135619124.1	WP_160588144.1
OG0000473	WP_011206506.1	WP_160588156.1
OG0000474	WP_011284377.1	WP_160588158.1
OG0000475	WP_135619154.1	WP_160588160.1
OG0000476	WP_135618722.1	WP_011205931.1
OG0000477	WP_135618962.1	WP_160587815.1
OG0000478	WP_135619146.1	WP_146379753.1
OG0000479	WP_135618682.1	WP_160588237.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_228729169.1	WP_308507052.1
OG0000482	WP_014579695.1	WP_160587986.1
OG0000483	WP_011206227.1	WP_160587946.1
OG0000484	WP_225973007.1	WP_225973007.1
OG0000485	WP_135618643.1	WP_020835615.1
OG0000486	WP_135618895.1	WP_160588293.1
OG0000487	WP_220200502.1	WP_220191052.1
OG0000488	WP_135618856.1	WP_160587923.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_011206527.1	WP_160584863.1
OG0000491	WP_011205966.1	WP_160588241.1
OG0000492	WP_135618697.1	WP_160588262.1
OG0000493	WP_135618552.1	WP_146379488.1
OG0000494	WP_052259108.1	WP_052269169.1
OG0000495	WP_135619008.1	WP_146379689.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_135619004.1	WP_160587850.1
OG0000500	WP_135618828.1	WP_160587894.1
OG0000501	WP_318026019.1, WP_318026018.1	WP_220190663.1
OG0000502	WP_135618652.1	WP_094521609.1
OG0000503	WP_020835576.1	WP_016340193.1
OG0000504	WP_135618595.1	WP_146379513.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000508	WP_135618495.1	WP_044272682.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_160588017.1
OG0000512	WP_135618950.1	WP_160585006.1
OG0000513	WP_135619142.1	WP_160585582.1
OG0000514	WP_135619014.1	WP_160587856.1
OG0000515	WP_014579793.1, WP_240536382.1	WP_014579793.1
OG0000516	WP_240536308.1	WP_160587914.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_135619066.1	WP_160588057.1
OG0000519	WP_135618573.1	WP_020835579.1
OG0000520	WP_135618599.1	WP_146379514.1
OG0000521	WP_135618499.1	WP_020835515.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_240536355.1	WP_020835906.1
OG0000525	WP_135619126.1	WP_160588146.1
OG0000526	WP_240536396.1	WP_225972970.1
OG0000527	WP_240536391.1	WP_258555253.1
OG0000528	WP_135618852.1	WP_160587916.1
OG0000529	WP_011206243.1	WP_014579831.1
OG0000531	WP_020835645.1	WP_160588256.1
OG0000532	WP_135618761.1	WP_308507102.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000534	WP_135618525.1	WP_160588021.1
OG0000535	WP_011205848.1	WP_160588116.1
OG0000536	WP_135619166.1	WP_160588166.1
OG0000537	WP_011206089.1	WP_011290028.1
OG0000538	WP_135618633.1	WP_146379532.1
OG0000539	WP_135618487.1	WP_011289963.1
OG0000540	WP_135618965.1	WP_160587822.1
OG0000541	WP_135618982.1	WP_160587840.1
OG0000544	WP_240536368.1	WP_308507054.1
OG0000545	WP_014579790.1	WP_160587882.1
OG0000546	WP_240536343.1	WP_258555239.1
OG0000547	WP_135619028.1	WP_011290341.1
OG0000548	WP_135618730.1	WP_135618730.1
OG0000549	WP_135619122.1	WP_160588142.1
