#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_021831.1:111526-112317|+ -            264 1679at2085           -            265   1.3e-78  259.3  12.8   1   1   1.6e-80   1.4e-78  259.2  12.8    12   256     1   255     1   263 0.90 NC_021831.1_94 # 111526 # 112317 # 1 # ID=1_94;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.263
NC_021831.1:54219-55478|+   -            420 1679at2085           -            265   2.4e-05   19.1  11.3   2   2     0.034         3    2.4   8.1    39   121   257   343   253   346 0.84 NC_021831.1_45 # 54219 # 55478 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
NC_021831.1:366909-368012|- -            368 1679at2085           -            265     3e-05   18.8   0.1   1   2   3.4e-07     3e-05   18.8   0.1   119   155     2    37     1    47 0.85 NC_021831.1_322 # 366909 # 368012 # -1 # ID=1_322;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299
NC_021831.1:366909-368012|- -            368 1679at2085           -            265     3e-05   18.8   0.1   2   2       1.9   1.7e+02   -3.4   0.1   100   103   148   151   119   177 0.52 NC_021831.1_322 # 366909 # 368012 # -1 # ID=1_322;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299
NC_021831.1:23387-23599|-   -             71 1679at2085           -            265   0.00022   15.9   2.6   1   1   3.8e-06   0.00033   15.4   2.5   111   141    18    49     1    59 0.68 NC_021831.1_23 # 23387 # 23599 # -1 # ID=1_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.239
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use
# Date:            Sun Dec  1 19:06:59 2024
# [ok]
