Orthogroup	MFC_Ms42_genes	MHP_Ue273_genes
OG0000255	MYF_RS00205	VQY17_RS00245
OG0000256	MYF_RS00210	VQY17_RS00250
OG0000257	MYF_RS00235	VQY17_RS00275
OG0000258	MYF_RS00245	VQY17_RS00285
OG0000259	MYF_RS00275	VQY17_RS00315
OG0000260	MYF_RS00285	VQY17_RS00325
OG0000261	MYF_RS00295	VQY17_RS00335
OG0000262	MYF_RS00310	VQY17_RS00350
OG0000263	MYF_RS00325	VQY17_RS00365
OG0000264	MYF_RS00340	VQY17_RS00380
OG0000265	MYF_RS00350	VQY17_RS00390
OG0000266	MYF_RS00365	VQY17_RS00405
OG0000267	MYF_RS00380	VQY17_RS00420
OG0000268	MYF_RS00385	VQY17_RS00425
OG0000269	MYF_RS00400	VQY17_RS00440
OG0000270	MYF_RS02955	VQY17_RS03495
OG0000271	MYF_RS02950	VQY17_RS03490
OG0000272	MYF_RS02945	VQY17_RS03485
OG0000273	MYF_RS02940	VQY17_RS03480
OG0000274	MYF_RS02920	VQY17_RS03460
OG0000275	MYF_RS02915	VQY17_RS03455
OG0000276	MYF_RS02910	VQY17_RS03450
OG0000277	MYF_RS02900	VQY17_RS03435
OG0000278	MYF_RS02895	VQY17_RS03430
OG0000279	MYF_RS02885	VQY17_RS03420
OG0000280	MYF_RS02880	VQY17_RS03415
OG0000281	MYF_RS03275	VQY17_RS03410
OG0000282	MYF_RS02855	VQY17_RS03380
OG0000283	MYF_RS02850	VQY17_RS03375
OG0000284	MYF_RS02845	VQY17_RS03370
OG0000285	MYF_RS02840	VQY17_RS03365
OG0000286	MYF_RS01115	VQY17_RS02420
OG0000287	MYF_RS01090	VQY17_RS02510
OG0000288	MYF_RS01080	VQY17_RS02520
OG0000289	MYF_RS01075	VQY17_RS02525
OG0000290	MYF_RS00905	VQY17_RS02635
OG0000291	MYF_RS00915	VQY17_RS02625
OG0000292	MYF_RS00920	VQY17_RS02620
OG0000293	MYF_RS00925	VQY17_RS02615
OG0000294	MYF_RS00935	VQY17_RS02605
OG0000295	MYF_RS00940	VQY17_RS02600
OG0000296	MYF_RS01040	VQY17_RS02560
OG0000297	MYF_RS01045	VQY17_RS02555
OG0000298	MYF_RS00135	VQY17_RS00175
OG0000299	MYF_RS00155	VQY17_RS00195
OG0000300	MYF_RS00335	VQY17_RS00375
OG0000301	MYF_RS00370	VQY17_RS00410
OG0000302	MYF_RS00375	VQY17_RS00415
OG0000303	MYF_RS00515	VQY17_RS00560
OG0000304	MYF_RS00545	VQY17_RS01110
OG0000305	MYF_RS00690	VQY17_RS02860
OG0000306	MYF_RS00770	VQY17_RS02785
OG0000307	MYF_RS00810	VQY17_RS02745
OG0000308	MYF_RS00895	VQY17_RS02655
OG0000309	MYF_RS01005	VQY17_RS02590
OG0000310	MYF_RS01085	VQY17_RS02515
OG0000311	MYF_RS01140	VQY17_RS02480
OG0000312	MYF_RS01160	VQY17_RS02465
OG0000313	MYF_RS01210	VQY17_RS01630
OG0000314	MYF_RS01280	VQY17_RS02030
OG0000315	MYF_RS01310	VQY17_RS02060
OG0000316	MYF_RS01320	VQY17_RS02070
OG0000317	MYF_RS01360	VQY17_RS02170
OG0000318	MYF_RS01450	VQY17_RS02075
OG0000319	MYF_RS01555	VQY17_RS02235
OG0000320	MYF_RS01620	VQY17_RS02365
OG0000321	MYF_RS01685	VQY17_RS01350
OG0000322	MYF_RS01730	VQY17_RS01400
OG0000323	MYF_RS01860	VQY17_RS01530
OG0000324	MYF_RS01960	VQY17_RS02275
OG0000325	MYF_RS02000	VQY17_RS00700
OG0000326	MYF_RS02090	VQY17_RS00800
OG0000327	MYF_RS02095	VQY17_RS00805
OG0000328	MYF_RS02180	VQY17_RS00890
OG0000329	MYF_RS02200	VQY17_RS00915
OG0000330	MYF_RS02380	VQY17_RS01135
OG0000331	MYF_RS02495	VQY17_RS02960
OG0000332	MYF_RS02635	VQY17_RS03100
OG0000333	MYF_RS02645	VQY17_RS03110
OG0000334	MYF_RS02715	VQY17_RS03215
OG0000335	MYF_RS02725	VQY17_RS03225
OG0000336	MYF_RS02870	VQY17_RS03400
OG0000337	MYF_RS03105	VQY17_RS03575
OG0000338	MYF_RS03145	VQY17_RS03615
OG0000339	MYF_RS01640	VQY17_RS02340
OG0000340	MYF_RS01665	VQY17_RS01330
OG0000341	MYF_RS01940	VQY17_RS02295
OG0000342	MYF_RS02030	VQY17_RS00730
OG0000343	MYF_RS02655	VQY17_RS03120
OG0000344	MYF_RS00530	VQY17_RS00575
OG0000345	MYF_RS02310	VQY17_RS01055
OG0000346	MYF_RS02875	VQY17_RS03405
OG0000347	MYF_RS01755	VQY17_RS01425
OG0000348	MYF_RS02100	VQY17_RS00810
OG0000349	MYF_RS02930	VQY17_RS03470
OG0000350	MYF_RS03360	VQY17_RS02735
OG0000351	MYF_RS00465	VQY17_RS00495
OG0000352	MYF_RS01260	VQY17_RS02010
OG0000353	MYF_RS01725	VQY17_RS01390
OG0000354	MYF_RS00580	VQY17_RS00635
OG0000355	MYF_RS01235	VQY17_RS01985
OG0000356	MYF_RS01315	VQY17_RS02065
OG0000357	MYF_RS02615	VQY17_RS03080
OG0000358	MYF_RS02620	VQY17_RS03085
OG0000359	MYF_RS02070	VQY17_RS00780
OG0000360	MYF_RS00240	VQY17_RS00280
OG0000361	MYF_RS00270	VQY17_RS00310
OG0000362	MYF_RS01065	VQY17_RS02535
OG0000363	MYF_RS01795	VQY17_RS01465
OG0000365	MYF_RS01420	VQY17_RS02110
OG0000366	MYF_RS01390	VQY17_RS02140
OG0000367	MYF_RS01380	VQY17_RS02150
OG0000368	MYF_RS00060	VQY17_RS00060
OG0000369	MYF_RS00025	VQY17_RS00025
OG0000370	MYF_RS00020	VQY17_RS00020
OG0000371	MYF_RS00015	VQY17_RS00015
OG0000372	MYF_RS00010	VQY17_RS00010
OG0000373	MYF_RS03135	VQY17_RS03605
OG0000374	MYF_RS03125	VQY17_RS03595
OG0000375	MYF_RS01550	VQY17_RS02230
OG0000376	MYF_RS01605	VQY17_RS02380
OG0000377	MYF_RS01615	VQY17_RS02370
OG0000378	MYF_RS01650	VQY17_RS01310
OG0000379	MYF_RS01720	VQY17_RS01385
OG0000380	MYF_RS01745	VQY17_RS01415
OG0000382	MYF_RS01815	VQY17_RS01485
OG0000383	MYF_RS01855	VQY17_RS01525
OG0000384	MYF_RS00470	VQY17_RS00515
OG0000385	MYF_RS00475	VQY17_RS00520
OG0000386	MYF_RS00495	VQY17_RS00540
OG0000387	MYF_RS00520	VQY17_RS00565
OG0000388	MYF_RS00525	VQY17_RS00570
OG0000389	MYF_RS00560	VQY17_RS00615
OG0000390	MYF_RS00670	VQY17_RS02880
OG0000391	MYF_RS00680	VQY17_RS02870
OG0000392	MYF_RS00705	VQY17_RS02845
OG0000393	MYF_RS00760	VQY17_RS02790
OG0000394	MYF_RS00825	VQY17_RS02715
OG0000395	MYF_RS00830	VQY17_RS02710
OG0000396	MYF_RS01200	VQY17_RS02425
OG0000397	MYF_RS01245	VQY17_RS01995
OG0000398	MYF_RS01250	VQY17_RS02000
OG0000399	MYF_RS01295	VQY17_RS02045
OG0000400	MYF_RS02580	VQY17_RS03045
OG0000401	MYF_RS02640	VQY17_RS03105
OG0000402	MYF_RS02650	VQY17_RS03115
OG0000403	MYF_RS02660	VQY17_RS03125
OG0000404	MYF_RS02685	VQY17_RS03150
OG0000405	MYF_RS02700	VQY17_RS03165
OG0000406	MYF_RS02730	VQY17_RS03230
OG0000407	MYF_RS02735	VQY17_RS03235
OG0000408	MYF_RS02740	VQY17_RS03240
OG0000409	MYF_RS02745	VQY17_RS03245
OG0000410	MYF_RS02780	VQY17_RS03310
OG0000411	MYF_RS02790	VQY17_RS03300
OG0000412	MYF_RS02795	VQY17_RS03295
OG0000413	MYF_RS01890	VQY17_RS01540
OG0000414	MYF_RS01900	VQY17_RS01550
OG0000415	MYF_RS01905	VQY17_RS01555
OG0000416	MYF_RS01915	VQY17_RS01565
OG0000417	MYF_RS01945	VQY17_RS02290
OG0000418	MYF_RS01950	VQY17_RS02285
OG0000419	MYF_RS02010	VQY17_RS00710
OG0000420	MYF_RS02045	VQY17_RS00745
OG0000421	MYF_RS02075	VQY17_RS00785
OG0000422	MYF_RS02085	VQY17_RS00795
OG0000423	MYF_RS02140	VQY17_RS00850
OG0000424	MYF_RS02145	VQY17_RS00855
OG0000425	MYF_RS02155	VQY17_RS00865
OG0000426	MYF_RS02160	VQY17_RS00870
OG0000427	MYF_RS02185	VQY17_RS00900
OG0000428	MYF_RS02210	VQY17_RS00925
OG0000429	MYF_RS02300	VQY17_RS01045
OG0000430	MYF_RS02345	VQY17_RS01090
OG0000431	MYF_RS02355	VQY17_RS01100
OG0000432	MYF_RS02375	VQY17_RS01130
OG0000433	MYF_RS02385	VQY17_RS01145
OG0000434	MYF_RS02390	VQY17_RS01150
OG0000435	MYF_RS02405	VQY17_RS01170
OG0000436	MYF_RS02440	VQY17_RS01195
OG0000438	MYF_RS02455	VQY17_RS01210
OG0000439	MYF_RS02460	VQY17_RS01215
OG0000440	MYF_RS02475	VQY17_RS02940
OG0000441	MYF_RS02515	VQY17_RS02975
OG0000442	MYF_RS00090	VQY17_RS00145
OG0000443	MYF_RS00150	VQY17_RS00190
OG0000444	MYF_RS00165	VQY17_RS00205
OG0000445	MYF_RS00190	VQY17_RS00230
OG0000446	MYF_RS00220	VQY17_RS00260
OG0000447	MYF_RS00225	VQY17_RS00265
OG0000448	MYF_RS00255	VQY17_RS00295
OG0000449	MYF_RS00280	VQY17_RS00320
OG0000450	MYF_RS00290	VQY17_RS00330
OG0000451	MYF_RS00330	VQY17_RS00370
OG0000452	MYF_RS00355	VQY17_RS00395
OG0000453	MYF_RS00390	VQY17_RS00430
OG0000454	MYF_RS03480, MYF_RS03485	VQY17_RS01595
OG0000455	MYF_RS02975	VQY17_RS03515
OG0000456	MYF_RS02860	VQY17_RS03390
OG0000458	MYF_RS01095	VQY17_RS02505
OG0000459	MYF_RS01070	VQY17_RS02530
OG0000460	MYF_RS01060	VQY17_RS02540
OG0000461	MYF_RS01010	VQY17_RS02585
OG0000462	MYF_RS01015	VQY17_RS02580
OG0000463	MYF_RS01020	VQY17_RS02575
OG0000464	MYF_RS01030	VQY17_RS02570
OG0000465	MYF_RS01035	VQY17_RS02565
OG0000466	MYF_RS00360	VQY17_RS00400
OG0000467	MYF_RS03505	VQY17_RS02665
OG0000468	MYF_RS01290	VQY17_RS02040
OG0000469	MYF_RS01425	VQY17_RS02100
OG0000470	MYF_RS02135	VQY17_RS00845
OG0000471	MYF_RS02215	VQY17_RS00930
OG0000472	MYF_RS03535	VQY17_RS03320
OG0000473	MYF_RS02960	VQY17_RS03500
OG0000474	MYF_RS02965	VQY17_RS03505
OG0000475	MYF_RS02970	VQY17_RS03510
OG0000476	MYF_RS03040	VQY17_RS01575
OG0000477	MYF_RS00930	VQY17_RS02610
OG0000478	MYF_RS02905	VQY17_RS03445
OG0000479	MYF_RS01680	VQY17_RS01345
OG0000480	MYF_RS03350	VQY17_RS02105
OG0000481	MYF_RS02110	VQY17_RS00820
OG0000482	MYF_RS01975	VQY17_RS01235
OG0000483	MYF_RS01375	VQY17_RS02155
OG0000484	MYF_RS00160	VQY17_RS00200
OG0000485	MYF_RS02445	VQY17_RS01205
OG0000486	MYF_RS01925	VQY17_RS02310
OG0000487	MYF_RS01445	VQY17_RS02080
OG0000488	MYF_RS01405	VQY17_RS02120
OG0000489	MYF_RS00050	VQY17_RS00050
OG0000490	MYF_RS03140	VQY17_RS03610
OG0000491	MYF_RS01700	VQY17_RS01365
OG0000492	MYF_RS01775	VQY17_RS01445
OG0000493	MYF_RS00535	VQY17_RS00580
OG0000494	MYF_RS00585	VQY17_RS00640
OG0000495	MYF_RS00735	VQY17_RS02815
OG0000496	MYF_RS00745	VQY17_RS02805
OG0000497	MYF_RS00750	VQY17_RS02800
OG0000498	MYF_RS00820	VQY17_RS02720
OG0000499	MYF_RS00865	VQY17_RS02685
OG0000500	MYF_RS01255	VQY17_RS02005
OG0000501	MYF_RS02590	VQY17_RS03055
OG0000502	MYF_RS01985	VQY17_RS01225
OG0000503	MYF_RS02055	VQY17_RS00760
OG0000504	MYF_RS02190	VQY17_RS00905
OG0000505	MYF_RS02225	VQY17_RS00965
OG0000506	MYF_RS02235	VQY17_RS00975
OG0000507	MYF_RS02270	VQY17_RS01010
OG0000508	MYF_RS00215	VQY17_RS00255
OG0000509	MYF_RS00250	VQY17_RS00290
OG0000510	MYF_RS00260	VQY17_RS00305
OG0000511	MYF_RS00395	VQY17_RS00435
OG0000512	MYF_RS01055	VQY17_RS02545
OG0000513	MYF_RS02890	VQY17_RS03425
OG0000514	MYF_RS00710	VQY17_RS02840
OG0000516	MYF_RS01440	VQY17_RS02085
OG0000517	MYF_RS00065	VQY17_RS00065
OG0000518	MYF_RS02630	VQY17_RS03095
OG0000519	MYF_RS02080	VQY17_RS00790
OG0000520	MYF_RS02205	VQY17_RS00920
OG0000521	MYF_RS00230	VQY17_RS00270
OG0000523	MYF_RS02830	VQY17_RS03360
OG0000524	MYF_RS00890	VQY17_RS02660
OG0000528	MYF_RS01435	VQY17_RS02090
OG0000529	MYF_RS01565	VQY17_RS02245
OG0000530	MYF_RS01630	VQY17_RS02350
OG0000531	MYF_RS01750	VQY17_RS01420
OG0000532	MYF_RS00620	VQY17_RS01660
OG0000533	MYF_RS02365	VQY17_RS00600
OG0000534	MYF_RS00345	VQY17_RS00385
OG0000535	MYF_RS00045	VQY17_RS00045
OG0000536	MYF_RS03070	VQY17_RS03545
OG0000537	MYF_RS02025	VQY17_RS00725
OG0000538	MYF_RS02395	VQY17_RS01160
OG0000539	MYF_RS00175	VQY17_RS00215
OG0000540	MYF_RS00910	VQY17_RS02630
OG0000541	MYF_RS00850	VQY17_RS02700
OG0000542	MYF_RS00315	VQY17_RS00355
OG0000547	MYF_RS00660	VQY17_RS02895
OG0000548	MYF_RS01205	VQY17_RS01625
OG0000549	MYF_RS02805	VQY17_RS03315
OG0000550	MYF_RS02925	VQY17_RS03465
OG0000596	MYF_RS00110	VQY17_RS01785
OG0000598	MYF_RS00105	VQY17_RS01790
OG0000599	MYF_RS00100	VQY17_RS01795
OG0000602	MYF_RS01415	VQY17_RS02115
