Orthogroup	MFC_Ms42_genes	MHP_UFV02_genes
OG0000115	MYF_RS01645	FEF31_RS02065
OG0000116	MYF_RS01655	FEF31_RS00955
OG0000117	MYF_RS01660	FEF31_RS00960
OG0000118	MYF_RS01690	FEF31_RS00995
OG0000119	MYF_RS01695	FEF31_RS01000
OG0000120	MYF_RS01710	FEF31_RS01020
OG0000121	MYF_RS01735	FEF31_RS01045
OG0000122	MYF_RS01740	FEF31_RS01050
OG0000123	MYF_RS01760	FEF31_RS01070
OG0000124	MYF_RS01765	FEF31_RS01075
OG0000125	MYF_RS01770	FEF31_RS01080
OG0000126	MYF_RS01780	FEF31_RS01090
OG0000127	MYF_RS01790	FEF31_RS01100
OG0000128	MYF_RS01805	FEF31_RS01115
OG0000129	MYF_RS01810	FEF31_RS01120
OG0000130	MYF_RS01820	FEF31_RS01130
OG0000131	MYF_RS01850	FEF31_RS01160
OG0000132	MYF_RS01865	FEF31_RS04430
OG0000133	MYF_RS00485	FEF31_RS00190
OG0000134	MYF_RS00490	FEF31_RS00195
OG0000135	MYF_RS00505	FEF31_RS00210
OG0000136	MYF_RS00510	FEF31_RS00215
OG0000137	MYF_RS00540	FEF31_RS00245
OG0000138	MYF_RS00565	FEF31_RS00280
OG0000139	MYF_RS00595	FEF31_RS00310
OG0000140	MYF_RS00600	FEF31_RS00315
OG0000141	MYF_RS00635	FEF31_RS02670
OG0000142	MYF_RS00640	FEF31_RS04555
OG0000143	MYF_RS00665	FEF31_RS02645
OG0000144	MYF_RS00675	FEF31_RS02635
OG0000145	MYF_RS00685	FEF31_RS02625
OG0000146	MYF_RS00695	FEF31_RS02615
OG0000147	MYF_RS00700	FEF31_RS02610
OG0000148	MYF_RS00715	FEF31_RS02595
OG0000149	MYF_RS00725	FEF31_RS02585
OG0000150	MYF_RS00740	FEF31_RS02570
OG0000151	MYF_RS00795	FEF31_RS02525
OG0000152	MYF_RS00800	FEF31_RS02520
OG0000153	MYF_RS00805	FEF31_RS02515
OG0000154	MYF_RS00815	FEF31_RS02505
OG0000155	MYF_RS00835	FEF31_RS02465
OG0000156	MYF_RS00855	FEF31_RS02455
OG0000157	MYF_RS00860	FEF31_RS04545
OG0000158	MYF_RS00870	FEF31_RS04540
OG0000159	MYF_RS01165	FEF31_RS02195
OG0000160	MYF_RS01170	FEF31_RS02190
OG0000161	MYF_RS01175	FEF31_RS02185
OG0000162	MYF_RS01185	FEF31_RS02175
OG0000163	MYF_RS01190	FEF31_RS02170
OG0000164	MYF_RS01220	FEF31_RS01270
OG0000165	MYF_RS01265	FEF31_RS01685
OG0000166	MYF_RS01285	FEF31_RS01705
OG0000167	MYF_RS01300	FEF31_RS01720
OG0000168	MYF_RS01305	FEF31_RS01725
OG0000169	MYF_RS02560	FEF31_RS03615
OG0000170	MYF_RS02585	FEF31_RS04785, FEF31_RS04795
OG0000171	MYF_RS02595	FEF31_RS03640
OG0000172	MYF_RS02600	FEF31_RS03645
OG0000173	MYF_RS02605	FEF31_RS03650
OG0000174	MYF_RS02610	FEF31_RS03655
OG0000175	MYF_RS02625	FEF31_RS03670
OG0000176	MYF_RS02670	FEF31_RS03715
OG0000177	MYF_RS02675	FEF31_RS03720
OG0000178	MYF_RS02680	FEF31_RS03725
OG0000179	MYF_RS02690	FEF31_RS03735
OG0000180	MYF_RS02695	FEF31_RS03740
OG0000181	MYF_RS02710	FEF31_RS04690
OG0000182	MYF_RS02720	FEF31_RS03795
OG0000183	MYF_RS02755	FEF31_RS03830
OG0000184	MYF_RS02785	FEF31_RS02980
OG0000185	MYF_RS02800	FEF31_RS02965
OG0000186	MYF_RS01895	FEF31_RS04435
OG0000187	MYF_RS01910	FEF31_RS01200
OG0000188	MYF_RS01920	FEF31_RS01210
OG0000189	MYF_RS01930	FEF31_RS04520
OG0000190	MYF_RS01935	FEF31_RS02035
OG0000191	MYF_RS01955	FEF31_RS02015
OG0000192	MYF_RS01965	FEF31_RS00875
OG0000193	MYF_RS01980	FEF31_RS00860
OG0000194	MYF_RS01990	FEF31_RS00345
OG0000195	MYF_RS01995	FEF31_RS00350
OG0000196	MYF_RS02015	FEF31_RS00370
OG0000197	MYF_RS02020	FEF31_RS00375
OG0000198	MYF_RS02035	FEF31_RS00390
OG0000199	MYF_RS02040	FEF31_RS00395
OG0000200	MYF_RS02050	FEF31_RS00410
OG0000201	MYF_RS02060	FEF31_RS00420
OG0000202	MYF_RS02115	FEF31_RS00475
OG0000203	MYF_RS02120	FEF31_RS00480
OG0000204	MYF_RS02125	FEF31_RS00485
OG0000205	MYF_RS02130	FEF31_RS00490
OG0000206	MYF_RS02150	FEF31_RS00510
OG0000207	MYF_RS02165	FEF31_RS00525
OG0000208	MYF_RS02170	FEF31_RS00530
OG0000209	MYF_RS02175	FEF31_RS00535
OG0000210	MYF_RS02220	FEF31_RS00580
OG0000211	MYF_RS02230	FEF31_RS00590
OG0000212	MYF_RS02240	FEF31_RS00600
OG0000213	MYF_RS02245	FEF31_RS00605
OG0000214	MYF_RS02250	FEF31_RS00610
OG0000215	MYF_RS02255	FEF31_RS00615
OG0000216	MYF_RS02260	FEF31_RS00620
OG0000217	MYF_RS02265	FEF31_RS00625
OG0000218	MYF_RS02275	FEF31_RS00635
OG0000219	MYF_RS02280	FEF31_RS00640
OG0000220	MYF_RS02285	FEF31_RS00645
OG0000221	MYF_RS02290	FEF31_RS00650
OG0000222	MYF_RS03240	FEF31_RS00655
OG0000223	MYF_RS02295	FEF31_RS00660
OG0000224	MYF_RS02305	FEF31_RS00670
OG0000225	MYF_RS02315	FEF31_RS00680
OG0000226	MYF_RS02320	FEF31_RS00685
OG0000227	MYF_RS02325	FEF31_RS00690
OG0000228	MYF_RS03530	FEF31_RS04770
OG0000229	MYF_RS02335	FEF31_RS00700
OG0000230	MYF_RS02340	FEF31_RS00705
OG0000231	MYF_RS02350	FEF31_RS00715
OG0000232	MYF_RS02360	FEF31_RS00725
OG0000233	MYF_RS02370	FEF31_RS00750
OG0000234	MYF_RS02400	FEF31_RS00785
OG0000235	MYF_RS02410	FEF31_RS00795
OG0000236	MYF_RS02415	FEF31_RS00800
OG0000237	MYF_RS02430	FEF31_RS00805
OG0000238	MYF_RS02435	FEF31_RS00810
OG0000239	MYF_RS02465	FEF31_RS02680
OG0000240	MYF_RS02470	FEF31_RS02685
OG0000241	MYF_RS02480	FEF31_RS02695
OG0000242	MYF_RS02485	FEF31_RS02700
OG0000243	MYF_RS02490	FEF31_RS02705
OG0000244	MYF_RS02500	FEF31_RS02715
OG0000245	MYF_RS02510	FEF31_RS02720
OG0000246	MYF_RS00085	FEF31_RS03410
OG0000247	MYF_RS00095	FEF31_RS03420
OG0000248	MYF_RS00120	FEF31_RS03430
OG0000249	MYF_RS00125	FEF31_RS03435
OG0000250	MYF_RS00140	FEF31_RS03450
OG0000251	MYF_RS00170	FEF31_RS03480
OG0000252	MYF_RS00180	FEF31_RS03490
OG0000253	MYF_RS00185	FEF31_RS03495
OG0000254	MYF_RS00195	FEF31_RS03505
OG0000255	MYF_RS00205	FEF31_RS03510
OG0000256	MYF_RS00210	FEF31_RS03515
OG0000257	MYF_RS00235	FEF31_RS03540
OG0000258	MYF_RS00245	FEF31_RS03550
OG0000259	MYF_RS00275	FEF31_RS03580
OG0000260	MYF_RS00285	FEF31_RS03590
OG0000261	MYF_RS00295	FEF31_RS04680
OG0000262	MYF_RS00310	FEF31_RS00010
OG0000263	MYF_RS00325	FEF31_RS00025
OG0000264	MYF_RS00340	FEF31_RS00040
OG0000265	MYF_RS00350	FEF31_RS00050
OG0000266	MYF_RS00365	FEF31_RS00065
OG0000267	MYF_RS00380	FEF31_RS00080
OG0000268	MYF_RS00385	FEF31_RS00085
OG0000269	MYF_RS00400	FEF31_RS00100
OG0000270	MYF_RS02955	FEF31_RS04635
OG0000271	MYF_RS02950	FEF31_RS03160
OG0000272	MYF_RS02945	FEF31_RS03155
OG0000273	MYF_RS02940	FEF31_RS03150
OG0000274	MYF_RS02920	FEF31_RS03130
OG0000275	MYF_RS02915	FEF31_RS04625
OG0000276	MYF_RS02910	FEF31_RS03120
OG0000277	MYF_RS02900	FEF31_RS03110
OG0000278	MYF_RS02895	FEF31_RS03105
OG0000279	MYF_RS02885	FEF31_RS03095
OG0000280	MYF_RS02880	FEF31_RS03090
OG0000281	MYF_RS03275	FEF31_RS03085
OG0000282	MYF_RS02855	FEF31_RS04615
OG0000283	MYF_RS02850	FEF31_RS03055
OG0000284	MYF_RS02845	FEF31_RS03050
OG0000285	MYF_RS02840	FEF31_RS04610
OG0000286	MYF_RS01115	FEF31_RS02155
OG0000287	MYF_RS01090	FEF31_RS02260
OG0000288	MYF_RS01080	FEF31_RS02270
OG0000289	MYF_RS01075	FEF31_RS02275
OG0000290	MYF_RS00905	FEF31_RS02385
OG0000291	MYF_RS00915	FEF31_RS02375
OG0000292	MYF_RS00920	FEF31_RS02370
OG0000293	MYF_RS00925	FEF31_RS02365
OG0000294	MYF_RS00935	FEF31_RS02355
OG0000295	MYF_RS00940	FEF31_RS02350
OG0000296	MYF_RS01040	FEF31_RS02310
OG0000297	MYF_RS01045	FEF31_RS02305
OG0000298	MYF_RS00135	FEF31_RS03445
OG0000299	MYF_RS00155	FEF31_RS03465
OG0000300	MYF_RS00335	FEF31_RS00035
OG0000301	MYF_RS00370	FEF31_RS00070
OG0000302	MYF_RS00375	FEF31_RS00075
OG0000303	MYF_RS00515	FEF31_RS00220
OG0000304	MYF_RS00545	FEF31_RS00730
OG0000305	MYF_RS00690	FEF31_RS02620
OG0000306	MYF_RS00770	FEF31_RS02545
OG0000307	MYF_RS00810	FEF31_RS02510
OG0000308	MYF_RS00895	FEF31_RS02405
OG0000309	MYF_RS01005	FEF31_RS02340
OG0000310	MYF_RS01085	FEF31_RS02265
OG0000311	MYF_RS01140	FEF31_RS02215
OG0000312	MYF_RS01160	FEF31_RS02200
OG0000313	MYF_RS01210	FEF31_RS01260
OG0000314	MYF_RS01280	FEF31_RS01700
OG0000315	MYF_RS01310	FEF31_RS01730
OG0000316	MYF_RS01320	FEF31_RS01740
OG0000317	MYF_RS01360	FEF31_RS01835
OG0000318	MYF_RS01450	FEF31_RS04480
OG0000319	MYF_RS01555	FEF31_RS01970
OG0000320	MYF_RS01620	FEF31_RS02095
OG0000321	MYF_RS01685	FEF31_RS00990
OG0000322	MYF_RS01730	FEF31_RS01040
OG0000323	MYF_RS01860	FEF31_RS01170
OG0000324	MYF_RS01960	FEF31_RS02010
OG0000325	MYF_RS02000	FEF31_RS00355
OG0000326	MYF_RS02090	FEF31_RS00450
OG0000327	MYF_RS02095	FEF31_RS00455
OG0000328	MYF_RS02180	FEF31_RS00540
OG0000329	MYF_RS02200	FEF31_RS00560
OG0000330	MYF_RS02380	FEF31_RS00760
OG0000331	MYF_RS02495	FEF31_RS02710
OG0000332	MYF_RS02635	FEF31_RS03680
OG0000333	MYF_RS02645	FEF31_RS03690
OG0000334	MYF_RS02715	FEF31_RS03790
OG0000335	MYF_RS02725	FEF31_RS03800
OG0000336	MYF_RS02870	FEF31_RS04620
OG0000337	MYF_RS03105	FEF31_RS03240
OG0000338	MYF_RS03145	FEF31_RS03280
OG0000339	MYF_RS01640	FEF31_RS02070
OG0000340	MYF_RS01665	FEF31_RS00970
OG0000341	MYF_RS01940	FEF31_RS02030
OG0000342	MYF_RS02030	FEF31_RS00385
OG0000343	MYF_RS02655	FEF31_RS03700
OG0000344	MYF_RS00530	FEF31_RS00235
OG0000345	MYF_RS02310	FEF31_RS00675
OG0000346	MYF_RS02875	FEF31_RS03080
OG0000347	MYF_RS01755	FEF31_RS01065
OG0000348	MYF_RS02100	FEF31_RS00460
OG0000349	MYF_RS02930	FEF31_RS04630
OG0000350	MYF_RS03360	FEF31_RS02500
OG0000351	MYF_RS00465	FEF31_RS00155
OG0000352	MYF_RS01260	FEF31_RS01680
OG0000353	MYF_RS01725	FEF31_RS01035
OG0000354	MYF_RS00580	FEF31_RS00295
OG0000355	MYF_RS01235	FEF31_RS04470
OG0000356	MYF_RS01315	FEF31_RS04475
OG0000357	MYF_RS02615	FEF31_RS04685
OG0000358	MYF_RS02620	FEF31_RS03665
OG0000359	MYF_RS02070	FEF31_RS04380
OG0000360	MYF_RS00240	FEF31_RS03545
OG0000361	MYF_RS00270	FEF31_RS03575
OG0000362	MYF_RS01065	FEF31_RS02285
OG0000363	MYF_RS01795	FEF31_RS01105
OG0000365	MYF_RS01420	FEF31_RS01785
OG0000366	MYF_RS01390	FEF31_RS01805
OG0000367	MYF_RS01380	FEF31_RS01815
OG0000368	MYF_RS00060	FEF31_RS03345
OG0000369	MYF_RS00025	FEF31_RS04650
OG0000370	MYF_RS00020	FEF31_RS03305
OG0000371	MYF_RS00015	FEF31_RS03300
OG0000372	MYF_RS00010	FEF31_RS03295
OG0000373	MYF_RS03135	FEF31_RS03270
OG0000374	MYF_RS03125	FEF31_RS03260
OG0000375	MYF_RS01550	FEF31_RS01965
OG0000376	MYF_RS01605	FEF31_RS02110
OG0000377	MYF_RS01615	FEF31_RS02100
OG0000378	MYF_RS01650	FEF31_RS00950
OG0000379	MYF_RS01720	FEF31_RS01030
OG0000380	MYF_RS01745	FEF31_RS01055
OG0000381	MYF_RS01785	FEF31_RS01095
OG0000382	MYF_RS01815	FEF31_RS01125
OG0000383	MYF_RS01855	FEF31_RS01165
OG0000384	MYF_RS00470	FEF31_RS00175
OG0000385	MYF_RS00475	FEF31_RS00180
OG0000386	MYF_RS00495	FEF31_RS00200
OG0000387	MYF_RS00520	FEF31_RS00225
OG0000388	MYF_RS00525	FEF31_RS04370
OG0000389	MYF_RS00560	FEF31_RS00275
OG0000390	MYF_RS00670	FEF31_RS02640
OG0000391	MYF_RS00680	FEF31_RS02630
OG0000392	MYF_RS00705	FEF31_RS02605
OG0000393	MYF_RS00760	FEF31_RS04550
OG0000394	MYF_RS00825	FEF31_RS02475
OG0000395	MYF_RS00830	FEF31_RS02470
OG0000396	MYF_RS01200	FEF31_RS02160
OG0000397	MYF_RS01245	FEF31_RS01665
OG0000398	MYF_RS01250	FEF31_RS01670
OG0000399	MYF_RS01295	FEF31_RS01715
OG0000400	MYF_RS02580	FEF31_RS03625
OG0000401	MYF_RS02640	FEF31_RS03685
OG0000402	MYF_RS02650	FEF31_RS03695
OG0000403	MYF_RS02660	FEF31_RS03705
OG0000404	MYF_RS02685	FEF31_RS03730
OG0000405	MYF_RS02700	FEF31_RS04800
OG0000406	MYF_RS02730	FEF31_RS03805
OG0000407	MYF_RS02735	FEF31_RS04695
OG0000408	MYF_RS02740	FEF31_RS03815
OG0000409	MYF_RS02745	FEF31_RS03820
OG0000410	MYF_RS02780	FEF31_RS02985
OG0000411	MYF_RS02790	FEF31_RS02975
OG0000412	MYF_RS02795	FEF31_RS02970
OG0000413	MYF_RS01890	FEF31_RS01180
OG0000414	MYF_RS01900	FEF31_RS01190
OG0000415	MYF_RS01905	FEF31_RS01195
OG0000416	MYF_RS01915	FEF31_RS01205
OG0000417	MYF_RS01945	FEF31_RS02025
OG0000418	MYF_RS01950	FEF31_RS02020
OG0000419	MYF_RS02010	FEF31_RS00365
OG0000420	MYF_RS02045	FEF31_RS00400
OG0000421	MYF_RS02075	FEF31_RS00435
OG0000422	MYF_RS02085	FEF31_RS00445
OG0000423	MYF_RS02140	FEF31_RS00500
OG0000424	MYF_RS02145	FEF31_RS00505
OG0000425	MYF_RS02155	FEF31_RS00515
OG0000426	MYF_RS02160	FEF31_RS04385
OG0000427	MYF_RS02185	FEF31_RS04390
OG0000428	MYF_RS02210	FEF31_RS00570
OG0000429	MYF_RS02300	FEF31_RS00665
OG0000430	MYF_RS02345	FEF31_RS00710
OG0000431	MYF_RS02355	FEF31_RS00720
OG0000432	MYF_RS02375	FEF31_RS00755
OG0000433	MYF_RS02385	FEF31_RS00770
OG0000434	MYF_RS02390	FEF31_RS00775
OG0000435	MYF_RS02405	FEF31_RS00790
OG0000436	MYF_RS02440	FEF31_RS00815
OG0000437	MYF_RS02450	FEF31_RS00825
OG0000438	MYF_RS02455	FEF31_RS00830
OG0000439	MYF_RS02460	FEF31_RS04400
OG0000440	MYF_RS02475	FEF31_RS02690
OG0000441	MYF_RS02515	FEF31_RS02725
OG0000442	MYF_RS00090	FEF31_RS03415
OG0000443	MYF_RS00150	FEF31_RS03460
OG0000444	MYF_RS00165	FEF31_RS03475
OG0000445	MYF_RS00190	FEF31_RS03500
OG0000446	MYF_RS00220	FEF31_RS03525
OG0000447	MYF_RS00225	FEF31_RS03530
OG0000448	MYF_RS00255	FEF31_RS03560
OG0000449	MYF_RS00280	FEF31_RS03585
OG0000450	MYF_RS00290	FEF31_RS03595
OG0000451	MYF_RS00330	FEF31_RS00030
OG0000452	MYF_RS00355	FEF31_RS00055
OG0000453	MYF_RS00390	FEF31_RS00090
OG0000455	MYF_RS02975	FEF31_RS03185
OG0000456	MYF_RS02860	FEF31_RS03065
OG0000457	MYF_RS02835	FEF31_RS03040
OG0000458	MYF_RS01095	FEF31_RS02255
OG0000459	MYF_RS01070	FEF31_RS02280
OG0000460	MYF_RS01060	FEF31_RS02290
OG0000461	MYF_RS01010	FEF31_RS02335
OG0000462	MYF_RS01015	FEF31_RS02330
OG0000463	MYF_RS01020	FEF31_RS02325
OG0000464	MYF_RS01030	FEF31_RS02320
OG0000465	MYF_RS01035	FEF31_RS02315
OG0000466	MYF_RS00360	FEF31_RS00060
OG0000467	MYF_RS03505	FEF31_RS04530
OG0000468	MYF_RS01290	FEF31_RS01710
OG0000469	MYF_RS01425	FEF31_RS01770
OG0000470	MYF_RS02135	FEF31_RS00495
OG0000471	MYF_RS02215	FEF31_RS00575
OG0000472	MYF_RS03535	FEF31_RS02995
OG0000473	MYF_RS02960	FEF31_RS03170
OG0000474	MYF_RS02965	FEF31_RS03175
OG0000475	MYF_RS02970	FEF31_RS03180
OG0000476	MYF_RS03040	FEF31_RS01215
OG0000477	MYF_RS00930	FEF31_RS02360
OG0000478	MYF_RS02905	FEF31_RS03115
OG0000479	MYF_RS01680	FEF31_RS00985
OG0000480	MYF_RS03350	FEF31_RS01775
OG0000481	MYF_RS02110	FEF31_RS00470
OG0000482	MYF_RS01975	FEF31_RS00865
OG0000483	MYF_RS01375	FEF31_RS01820
OG0000484	MYF_RS00160	FEF31_RS04675
OG0000485	MYF_RS02445	FEF31_RS00820
OG0000486	MYF_RS01925	FEF31_RS02045
OG0000487	MYF_RS01445	FEF31_RS04485
OG0000488	MYF_RS01405	FEF31_RS01790
OG0000489	MYF_RS00050	FEF31_RS03335
OG0000490	MYF_RS03140	FEF31_RS03275
OG0000491	MYF_RS01700	FEF31_RS01005
OG0000492	MYF_RS01775	FEF31_RS01085
OG0000493	MYF_RS00535	FEF31_RS00240
OG0000494	MYF_RS00585	FEF31_RS00300
OG0000495	MYF_RS00735	FEF31_RS02575
OG0000496	MYF_RS00745	FEF31_RS02565
OG0000497	MYF_RS00750	FEF31_RS02560
OG0000498	MYF_RS00820	FEF31_RS02480
OG0000499	MYF_RS00865	FEF31_RS02445
OG0000500	MYF_RS01255	FEF31_RS01675
OG0000502	MYF_RS01985	FEF31_RS00855
OG0000503	MYF_RS02055	FEF31_RS00415
OG0000504	MYF_RS02190	FEF31_RS00550
OG0000505	MYF_RS02225	FEF31_RS00585
OG0000506	MYF_RS02235	FEF31_RS00595
OG0000507	MYF_RS02270	FEF31_RS00630
OG0000508	MYF_RS00215	FEF31_RS03520
OG0000509	MYF_RS00250	FEF31_RS03555
OG0000510	MYF_RS00260	FEF31_RS03565
OG0000511	MYF_RS00395	FEF31_RS00095
OG0000512	MYF_RS01055	FEF31_RS02295
OG0000513	MYF_RS02890	FEF31_RS03100
OG0000514	MYF_RS00710	FEF31_RS02600
OG0000516	MYF_RS01440	FEF31_RS04490
OG0000517	MYF_RS00065	FEF31_RS03350
OG0000518	MYF_RS02630	FEF31_RS03675
OG0000519	MYF_RS02080	FEF31_RS00440
OG0000520	MYF_RS02205	FEF31_RS00565
OG0000521	MYF_RS00230	FEF31_RS03535
OG0000522	MYF_RS00265	FEF31_RS03570
OG0000523	MYF_RS02830	FEF31_RS03035
OG0000524	MYF_RS00890	FEF31_RS02410
OG0000528	MYF_RS01435	FEF31_RS01760
OG0000529	MYF_RS01565	FEF31_RS01980
OG0000530	MYF_RS01630	FEF31_RS02080
OG0000531	MYF_RS01750	FEF31_RS01060
OG0000532	MYF_RS00620	FEF31_RS01290
OG0000533	MYF_RS02365	FEF31_RS00260
OG0000534	MYF_RS00345	FEF31_RS00045
OG0000535	MYF_RS00045	FEF31_RS04655
OG0000536	MYF_RS03070	FEF31_RS03215
OG0000537	MYF_RS02025	FEF31_RS00380
OG0000538	MYF_RS02395	FEF31_RS00780
OG0000539	MYF_RS00175	FEF31_RS03485
OG0000540	MYF_RS00910	FEF31_RS02380
OG0000541	MYF_RS00850	FEF31_RS02460
OG0000542	MYF_RS00315	FEF31_RS00015
OG0000547	MYF_RS00660	FEF31_RS02650
OG0000548	MYF_RS01205	FEF31_RS01255
OG0000549	MYF_RS02805	FEF31_RS04580
OG0000550	MYF_RS02925	FEF31_RS03135
OG0000555	MYF_RS03410	FEF31_RS02655
OG0000589	MYF_RS03220	FEF31_RS01890
OG0000595	MYF_RS02570	FEF31_RS02735
OG0000596	MYF_RS00110	FEF31_RS01490
OG0000597	MYF_RS02565	FEF31_RS02730
OG0000598	MYF_RS00105	FEF31_RS01495
OG0000599	MYF_RS00100	FEF31_RS01500
