Orthogroup	MFC_Ms42_genes	MHP_112B_genes
OG0000304	MYF_RS00545	NBX26_RS01215
OG0000305	MYF_RS00690	NBX26_RS03055
OG0000306	MYF_RS00770	NBX26_RS02980
OG0000307	MYF_RS00810	NBX26_RS02940
OG0000308	MYF_RS00895	NBX26_RS02850
OG0000309	MYF_RS01005	NBX26_RS02760
OG0000310	MYF_RS01085	NBX26_RS02685
OG0000311	MYF_RS01140	NBX26_RS02645
OG0000312	MYF_RS01160	NBX26_RS02630
OG0000313	MYF_RS01210	NBX26_RS01720
OG0000314	MYF_RS01280	NBX26_RS02145
OG0000315	MYF_RS01310	NBX26_RS02115
OG0000316	MYF_RS01320	NBX26_RS02105
OG0000317	MYF_RS01360	NBX26_RS02005
OG0000318	MYF_RS01450	NBX26_RS02100
OG0000319	MYF_RS01555	NBX26_RS02380
OG0000320	MYF_RS01620	NBX26_RS02510
OG0000321	MYF_RS01685	NBX26_RS01455
OG0000322	MYF_RS01730	NBX26_RS01510
OG0000323	MYF_RS01860	NBX26_RS01640
OG0000324	MYF_RS01960	NBX26_RS02420
OG0000325	MYF_RS02000	NBX26_RS00710
OG0000326	MYF_RS02090	NBX26_RS00805
OG0000327	MYF_RS02095	NBX26_RS00810
OG0000328	MYF_RS02180	NBX26_RS00895
OG0000329	MYF_RS02200	NBX26_RS00920
OG0000330	MYF_RS02380	NBX26_RS01240
OG0000331	MYF_RS02495	NBX26_RS03145
OG0000332	MYF_RS02635	NBX26_RS03285
OG0000333	MYF_RS02645	NBX26_RS03295
OG0000334	MYF_RS02715	NBX26_RS03400
OG0000335	MYF_RS02725	NBX26_RS03410
OG0000336	MYF_RS02870	NBX26_RS03600
OG0000337	MYF_RS03105	NBX26_RS03765
OG0000338	MYF_RS03145	NBX26_RS03805
OG0000339	MYF_RS01640	NBX26_RS02485
OG0000340	MYF_RS01665	NBX26_RS01435
OG0000341	MYF_RS01940	NBX26_RS02445
OG0000342	MYF_RS02030	NBX26_RS00740
OG0000343	MYF_RS02655	NBX26_RS03305
OG0000344	MYF_RS00530	NBX26_RS00575
OG0000345	MYF_RS02310	NBX26_RS01160
OG0000346	MYF_RS02875	NBX26_RS03605
OG0000347	MYF_RS01755	NBX26_RS01535
OG0000348	MYF_RS02100	NBX26_RS00815
OG0000349	MYF_RS02930	NBX26_RS03665
OG0000350	MYF_RS03360	NBX26_RS02930
OG0000351	MYF_RS00465	NBX26_RS00485
OG0000352	MYF_RS01260	NBX26_RS02165
OG0000353	MYF_RS01725	NBX26_RS01500
OG0000354	MYF_RS00580	NBX26_RS00635
OG0000355	MYF_RS01235	NBX26_RS02190
OG0000356	MYF_RS01315	NBX26_RS02110
OG0000357	MYF_RS02615	NBX26_RS03260
OG0000358	MYF_RS02620	NBX26_RS03265
OG0000359	MYF_RS02070	NBX26_RS00785
OG0000360	MYF_RS00240	NBX26_RS00270
OG0000361	MYF_RS00270	NBX26_RS00300
OG0000362	MYF_RS01065	NBX26_RS02705
OG0000363	MYF_RS01795	NBX26_RS01575
OG0000365	MYF_RS01420	NBX26_RS02065
OG0000366	MYF_RS01390	NBX26_RS02040
OG0000367	MYF_RS01380	NBX26_RS02025
OG0000368	MYF_RS00060	NBX26_RS00060
OG0000369	MYF_RS00025	NBX26_RS00025
OG0000370	MYF_RS00020	NBX26_RS00020
OG0000371	MYF_RS00015	NBX26_RS00015
OG0000372	MYF_RS00010	NBX26_RS00010
OG0000373	MYF_RS03135	NBX26_RS03795
OG0000374	MYF_RS03125	NBX26_RS03785
OG0000375	MYF_RS01550	NBX26_RS02375
OG0000376	MYF_RS01605	NBX26_RS02525
OG0000377	MYF_RS01615	NBX26_RS02515
OG0000378	MYF_RS01650	NBX26_RS01415
OG0000379	MYF_RS01720	NBX26_RS01495
OG0000380	MYF_RS01745	NBX26_RS01530
OG0000381	MYF_RS01785	NBX26_RS01565
OG0000382	MYF_RS01815	NBX26_RS01595
OG0000383	MYF_RS01855	NBX26_RS01635
OG0000384	MYF_RS00470	NBX26_RS00515
OG0000385	MYF_RS00475	NBX26_RS00525
OG0000386	MYF_RS00495	NBX26_RS00540
OG0000387	MYF_RS00520	NBX26_RS00565
OG0000388	MYF_RS00525	NBX26_RS00570
OG0000389	MYF_RS00560	NBX26_RS00615
OG0000390	MYF_RS00670	NBX26_RS03075
OG0000391	MYF_RS00680	NBX26_RS03065
OG0000392	MYF_RS00705	NBX26_RS03040
OG0000393	MYF_RS00760	NBX26_RS02985
OG0000394	MYF_RS00825	NBX26_RS02905
OG0000395	MYF_RS00830	NBX26_RS02900
OG0000396	MYF_RS01200	NBX26_RS02590
OG0000397	MYF_RS01245	NBX26_RS02180
OG0000398	MYF_RS01250	NBX26_RS02175
OG0000399	MYF_RS01295	NBX26_RS02130
OG0000400	MYF_RS02580	NBX26_RS03225
OG0000401	MYF_RS02640	NBX26_RS03290
OG0000402	MYF_RS02650	NBX26_RS03300
OG0000403	MYF_RS02660	NBX26_RS03310
OG0000404	MYF_RS02685	NBX26_RS03345
OG0000405	MYF_RS02700	NBX26_RS03360
OG0000406	MYF_RS02730	NBX26_RS03415
OG0000407	MYF_RS02735	NBX26_RS03420
OG0000408	MYF_RS02740	NBX26_RS03425
OG0000409	MYF_RS02745	NBX26_RS03430
OG0000410	MYF_RS02780	NBX26_RS03505
OG0000411	MYF_RS02790	NBX26_RS03490
OG0000412	MYF_RS02795	NBX26_RS03485
OG0000413	MYF_RS01890	NBX26_RS01650
OG0000414	MYF_RS01900	NBX26_RS01660
OG0000415	MYF_RS01905	NBX26_RS01665
OG0000416	MYF_RS01915	NBX26_RS01675
OG0000417	MYF_RS01945	NBX26_RS02440
OG0000418	MYF_RS01950	NBX26_RS02430
OG0000419	MYF_RS02010	NBX26_RS00720
OG0000420	MYF_RS02045	NBX26_RS00755
OG0000421	MYF_RS02075	NBX26_RS00795
OG0000422	MYF_RS02085	NBX26_RS00800
OG0000423	MYF_RS02140	NBX26_RS00855
OG0000424	MYF_RS02145	NBX26_RS00860
OG0000425	MYF_RS02155	NBX26_RS00870
OG0000426	MYF_RS02160	NBX26_RS00875
OG0000427	MYF_RS02185	NBX26_RS00900
OG0000428	MYF_RS02210	NBX26_RS00925
OG0000429	MYF_RS02300	NBX26_RS01150
OG0000430	MYF_RS02345	NBX26_RS01195
OG0000431	MYF_RS02355	NBX26_RS01205
OG0000432	MYF_RS02375	NBX26_RS01235
OG0000433	MYF_RS02385	NBX26_RS01260
OG0000435	MYF_RS02405	NBX26_RS01270
OG0000437	MYF_RS02450	NBX26_RS01305
OG0000438	MYF_RS02455	NBX26_RS01310
OG0000439	MYF_RS02460	NBX26_RS01315
OG0000440	MYF_RS02475	NBX26_RS03125
OG0000441	MYF_RS02515	NBX26_RS03165
OG0000442	MYF_RS00090	NBX26_RS00135
OG0000443	MYF_RS00150	NBX26_RS00185
OG0000444	MYF_RS00165	NBX26_RS00200
OG0000445	MYF_RS00190	NBX26_RS00225
OG0000446	MYF_RS00220	NBX26_RS00250
OG0000447	MYF_RS00225	NBX26_RS00255
OG0000448	MYF_RS00255	NBX26_RS00290
OG0000449	MYF_RS00280	NBX26_RS00310
OG0000450	MYF_RS00290	NBX26_RS00320
OG0000451	MYF_RS00330	NBX26_RS00360
OG0000452	MYF_RS00355	NBX26_RS00385
OG0000453	MYF_RS00390	NBX26_RS00420
OG0000454	MYF_RS03480, MYF_RS03485	NBX26_RS01695
OG0000455	MYF_RS02975	NBX26_RS03710
OG0000456	MYF_RS02860	NBX26_RS03590
OG0000457	MYF_RS02835	NBX26_RS03565
OG0000458	MYF_RS01095	NBX26_RS02675
OG0000459	MYF_RS01070	NBX26_RS02700
OG0000460	MYF_RS01060	NBX26_RS02710
OG0000461	MYF_RS01010	NBX26_RS02755
OG0000462	MYF_RS01015	NBX26_RS02750
OG0000463	MYF_RS01020	NBX26_RS02745
OG0000464	MYF_RS01030	NBX26_RS02740
OG0000465	MYF_RS01035	NBX26_RS02735
OG0000466	MYF_RS00360	NBX26_RS00390
OG0000467	MYF_RS03505	NBX26_RS02855
OG0000468	MYF_RS01290	NBX26_RS02135
OG0000469	MYF_RS01425	NBX26_RS02075
OG0000470	MYF_RS02135	NBX26_RS00850
OG0000471	MYF_RS02215	NBX26_RS00930
OG0000472	MYF_RS03535	NBX26_RS03515
OG0000473	MYF_RS02960	NBX26_RS03695
OG0000474	MYF_RS02965	NBX26_RS03700
OG0000475	MYF_RS02970	NBX26_RS03705
OG0000476	MYF_RS03040	NBX26_RS01685
OG0000477	MYF_RS00930	NBX26_RS02780
OG0000478	MYF_RS02905	NBX26_RS03640
OG0000479	MYF_RS01680	NBX26_RS01450
OG0000480	MYF_RS03350	NBX26_RS02070
OG0000481	MYF_RS02110	NBX26_RS00825
OG0000482	MYF_RS01975	NBX26_RS01335
OG0000483	MYF_RS01375	NBX26_RS02020
OG0000484	MYF_RS00160	NBX26_RS00195
OG0000485	MYF_RS02445	NBX26_RS01300
OG0000486	MYF_RS01925	NBX26_RS02460
OG0000487	MYF_RS01445	NBX26_RS02095
OG0000488	MYF_RS01405	NBX26_RS02055
OG0000489	MYF_RS00050	NBX26_RS00050
OG0000490	MYF_RS03140	NBX26_RS03800
OG0000492	MYF_RS01775	NBX26_RS01555
OG0000493	MYF_RS00535	NBX26_RS00580
OG0000494	MYF_RS00585	NBX26_RS00640
OG0000495	MYF_RS00735	NBX26_RS03015
OG0000496	MYF_RS00745	NBX26_RS03000
OG0000497	MYF_RS00750	NBX26_RS02995
OG0000498	MYF_RS00820	NBX26_RS02910
OG0000499	MYF_RS00865	NBX26_RS02875
OG0000500	MYF_RS01255	NBX26_RS02170
OG0000501	MYF_RS02590	NBX26_RS03235
OG0000502	MYF_RS01985	NBX26_RS01325
OG0000503	MYF_RS02055	NBX26_RS00770
OG0000504	MYF_RS02190	NBX26_RS00905
OG0000505	MYF_RS02225	NBX26_RS01070
OG0000507	MYF_RS02270	NBX26_RS01115
OG0000508	MYF_RS00215	NBX26_RS00245
OG0000511	MYF_RS00395	NBX26_RS00425
OG0000512	MYF_RS01055	NBX26_RS02715
OG0000513	MYF_RS02890	NBX26_RS03625
OG0000514	MYF_RS00710	NBX26_RS03035
OG0000516	MYF_RS01440	NBX26_RS02090
OG0000517	MYF_RS00065	NBX26_RS00065
OG0000518	MYF_RS02630	NBX26_RS03275
OG0000521	MYF_RS00230	NBX26_RS00260
OG0000522	MYF_RS00265	NBX26_RS00295
OG0000523	MYF_RS02830	NBX26_RS03560
OG0000528	MYF_RS01435	NBX26_RS02085
OG0000530	MYF_RS01630	NBX26_RS02495
OG0000532	MYF_RS00620	NBX26_RS01750
OG0000533	MYF_RS02365	NBX26_RS00600
OG0000534	MYF_RS00345	NBX26_RS00375
OG0000535	MYF_RS00045	NBX26_RS00045
OG0000536	MYF_RS03070	NBX26_RS03740
OG0000540	MYF_RS00910	NBX26_RS02805
OG0000542	MYF_RS00315	NBX26_RS00345
OG0000551	MYF_RS02505	NBX26_RS03155
OG0000555	MYF_RS03410	NBX26_RS03090
OG0000589	MYF_RS03220	NBX26_RS01005
OG0000596	MYF_RS00110	NBX26_RS01865
OG0000598	MYF_RS00105	NBX26_RS01870
OG0000599	MYF_RS00100	NBX26_RS01875
OG0000602	MYF_RS01415	NBX26_RS02060
