Orthogroup	MFC_Ms42_genes	MHP_MHP694_genes
OG0000148	MYF_RS00715	DR099_RS01110
OG0000149	MYF_RS00725	DR099_RS01120
OG0000150	MYF_RS00740	DR099_RS01135
OG0000151	MYF_RS00795	DR099_RS00010
OG0000152	MYF_RS00800	DR099_RS00015
OG0000153	MYF_RS00805	DR099_RS00020
OG0000154	MYF_RS00815	DR099_RS00030
OG0000155	MYF_RS00835	DR099_RS00070
OG0000156	MYF_RS00855	DR099_RS00080
OG0000157	MYF_RS00860	DR099_RS04275
OG0000158	MYF_RS00870	DR099_RS04280
OG0000159	MYF_RS01165	DR099_RS02635
OG0000160	MYF_RS01170	DR099_RS02640
OG0000161	MYF_RS01175	DR099_RS02645
OG0000162	MYF_RS01185	DR099_RS02655
OG0000163	MYF_RS01190	DR099_RS02660
OG0000164	MYF_RS01220	DR099_RS01350
OG0000165	MYF_RS01265	DR099_RS00435
OG0000166	MYF_RS01285	DR099_RS01185
OG0000167	MYF_RS01300	DR099_RS01195
OG0000168	MYF_RS01305	DR099_RS01200
OG0000169	MYF_RS02560	DR099_RS03360
OG0000170	MYF_RS02585	DR099_RS02110
OG0000171	MYF_RS02595	DR099_RS02100
OG0000172	MYF_RS02600	DR099_RS02095
OG0000173	MYF_RS02605	DR099_RS02090
OG0000174	MYF_RS02610	DR099_RS02085
OG0000175	MYF_RS02625	DR099_RS02070
OG0000176	MYF_RS02670	DR099_RS02020
OG0000177	MYF_RS02675	DR099_RS02015
OG0000178	MYF_RS02680	DR099_RS02010
OG0000179	MYF_RS02690	DR099_RS02000
OG0000180	MYF_RS02695	DR099_RS01995
OG0000181	MYF_RS02710	DR099_RS04545
OG0000182	MYF_RS02720	DR099_RS02895
OG0000183	MYF_RS02755	DR099_RS02930
OG0000184	MYF_RS02785	DR099_RS02550
OG0000185	MYF_RS02800	DR099_RS02565
OG0000186	MYF_RS01895	DR099_RS04400
OG0000187	MYF_RS01910	DR099_RS01405
OG0000188	MYF_RS01920	DR099_RS01395
OG0000189	MYF_RS01930	DR099_RS04540
OG0000190	MYF_RS01935	DR099_RS02780
OG0000191	MYF_RS01955	DR099_RS02800
OG0000192	MYF_RS01965	DR099_RS03285
OG0000193	MYF_RS01980	DR099_RS03270
OG0000194	MYF_RS01990	DR099_RS01660
OG0000195	MYF_RS01995	DR099_RS01655
OG0000196	MYF_RS02015	DR099_RS01635
OG0000197	MYF_RS02020	DR099_RS01630
OG0000198	MYF_RS02035	DR099_RS01615
OG0000199	MYF_RS02040	DR099_RS01610
OG0000200	MYF_RS02050	DR099_RS01595
OG0000201	MYF_RS02060	DR099_RS01585
OG0000202	MYF_RS02115	DR099_RS01530
OG0000203	MYF_RS02120	DR099_RS01525
OG0000204	MYF_RS02125	DR099_RS04445
OG0000205	MYF_RS02130	DR099_RS01975
OG0000206	MYF_RS02150	DR099_RS01955
OG0000207	MYF_RS02165	DR099_RS01940
OG0000208	MYF_RS02170	DR099_RS01935
OG0000209	MYF_RS02175	DR099_RS01930
OG0000210	MYF_RS02220	DR099_RS01885
OG0000211	MYF_RS02230	DR099_RS01875
OG0000212	MYF_RS02240	DR099_RS01865
OG0000213	MYF_RS02245	DR099_RS01860
OG0000214	MYF_RS02250	DR099_RS01855
OG0000215	MYF_RS02255	DR099_RS01850
OG0000216	MYF_RS02260	DR099_RS01845
OG0000217	MYF_RS02265	DR099_RS01840
OG0000218	MYF_RS02275	DR099_RS01830
OG0000219	MYF_RS02280	DR099_RS01825
OG0000220	MYF_RS02285	DR099_RS01820
OG0000221	MYF_RS02290	DR099_RS01815
OG0000222	MYF_RS03240	DR099_RS01810
OG0000223	MYF_RS02295	DR099_RS01805
OG0000224	MYF_RS02305	DR099_RS01795
OG0000225	MYF_RS02315	DR099_RS01785
OG0000226	MYF_RS02320	DR099_RS01780
OG0000227	MYF_RS02325	DR099_RS01775
OG0000228	MYF_RS03530	DR099_RS04635
OG0000229	MYF_RS02335	DR099_RS01765
OG0000230	MYF_RS02340	DR099_RS01760
OG0000231	MYF_RS02350	DR099_RS01750
OG0000232	MYF_RS02360	DR099_RS01740
OG0000233	MYF_RS02370	DR099_RS02310
OG0000234	MYF_RS02400	DR099_RS02345
OG0000235	MYF_RS02410	DR099_RS02355
OG0000236	MYF_RS02415	DR099_RS02360
OG0000237	MYF_RS02430	DR099_RS02365
OG0000238	MYF_RS02435	DR099_RS02375
OG0000239	MYF_RS02465	DR099_RS03120
OG0000240	MYF_RS02470	DR099_RS03115
OG0000241	MYF_RS02480	DR099_RS03105
OG0000242	MYF_RS02485	DR099_RS03100
OG0000243	MYF_RS02490	DR099_RS03095
OG0000244	MYF_RS02500	DR099_RS04150
OG0000245	MYF_RS02510	DR099_RS03075
OG0000246	MYF_RS00085	DR099_RS03135
OG0000247	MYF_RS00095	DR099_RS00845
OG0000248	MYF_RS00120	DR099_RS00835
OG0000249	MYF_RS00125	DR099_RS00830
OG0000250	MYF_RS00140	DR099_RS00815
OG0000251	MYF_RS00170	DR099_RS00780
OG0000252	MYF_RS00180	DR099_RS00770
OG0000253	MYF_RS00185	DR099_RS00765
OG0000254	MYF_RS00195	DR099_RS00755
OG0000255	MYF_RS00205	DR099_RS00745
OG0000256	MYF_RS00210	DR099_RS00740
OG0000257	MYF_RS00235	DR099_RS00715
OG0000258	MYF_RS00245	DR099_RS00705
OG0000259	MYF_RS00275	DR099_RS00675
OG0000260	MYF_RS00285	DR099_RS00665
OG0000261	MYF_RS00295	DR099_RS04325
OG0000262	MYF_RS00310	DR099_RS00640
OG0000263	MYF_RS00325	DR099_RS00625
OG0000264	MYF_RS00340	DR099_RS00610
OG0000265	MYF_RS00350	DR099_RS00600
OG0000266	MYF_RS00365	DR099_RS02955
OG0000267	MYF_RS00380	DR099_RS02970
OG0000268	MYF_RS00385	DR099_RS02975
OG0000269	MYF_RS00400	DR099_RS02990
OG0000270	MYF_RS02955	DR099_RS04575
OG0000271	MYF_RS02950	DR099_RS03245
OG0000272	MYF_RS02945	DR099_RS03250
OG0000273	MYF_RS02940	DR099_RS03255
OG0000274	MYF_RS02920	DR099_RS02295
OG0000275	MYF_RS02915	DR099_RS04485
OG0000276	MYF_RS02910	DR099_RS02285
OG0000277	MYF_RS02900	DR099_RS02275
OG0000278	MYF_RS02895	DR099_RS02270
OG0000279	MYF_RS02885	DR099_RS02260
OG0000280	MYF_RS02880	DR099_RS02255
OG0000281	MYF_RS03275	DR099_RS02250
OG0000282	MYF_RS02855	DR099_RS04475
OG0000283	MYF_RS02850	DR099_RS02220
OG0000284	MYF_RS02845	DR099_RS02215
OG0000285	MYF_RS02840	DR099_RS04470
OG0000286	MYF_RS01115	DR099_RS02675
OG0000287	MYF_RS01090	DR099_RS00270
OG0000288	MYF_RS01080	DR099_RS00260
OG0000289	MYF_RS01075	DR099_RS00255
OG0000290	MYF_RS00905	DR099_RS00145
OG0000291	MYF_RS00915	DR099_RS00155
OG0000292	MYF_RS00920	DR099_RS00160
OG0000293	MYF_RS00925	DR099_RS00165
OG0000294	MYF_RS00935	DR099_RS00175
OG0000295	MYF_RS00940	DR099_RS00180
OG0000296	MYF_RS01040	DR099_RS00220
OG0000297	MYF_RS01045	DR099_RS00225
OG0000298	MYF_RS00135	DR099_RS00820
OG0000299	MYF_RS00155	DR099_RS00795
OG0000300	MYF_RS00335	DR099_RS00615
OG0000301	MYF_RS00370	DR099_RS02960
OG0000302	MYF_RS00375	DR099_RS02965
OG0000303	MYF_RS00515	DR099_RS02730
OG0000304	MYF_RS00545	DR099_RS01735
OG0000305	MYF_RS00690	DR099_RS01085
OG0000306	MYF_RS00770	DR099_RS01160
OG0000307	MYF_RS00810	DR099_RS00025
OG0000308	MYF_RS00895	DR099_RS00125
OG0000309	MYF_RS01005	DR099_RS00190
OG0000310	MYF_RS01085	DR099_RS00265
OG0000311	MYF_RS01140	DR099_RS02615
OG0000312	MYF_RS01160	DR099_RS02630
OG0000313	MYF_RS01210	DR099_RS01360
OG0000314	MYF_RS01280	DR099_RS00455
OG0000315	MYF_RS01310	DR099_RS01205
OG0000316	MYF_RS01320	DR099_RS01215
OG0000317	MYF_RS01360	DR099_RS01305
OG0000318	MYF_RS01450	DR099_RS04365
OG0000319	MYF_RS01555	DR099_RS02845
OG0000320	MYF_RS01620	DR099_RS02180
OG0000321	MYF_RS01685	DR099_RS00940
OG0000322	MYF_RS01730	DR099_RS00985
OG0000323	MYF_RS01860	DR099_RS01435
OG0000324	MYF_RS01960	DR099_RS02805
OG0000325	MYF_RS02000	DR099_RS01650
OG0000326	MYF_RS02090	DR099_RS01555
OG0000327	MYF_RS02095	DR099_RS01550
OG0000328	MYF_RS02180	DR099_RS01925
OG0000329	MYF_RS02200	DR099_RS01905
OG0000330	MYF_RS02380	DR099_RS02320
OG0000331	MYF_RS02495	DR099_RS03090
OG0000332	MYF_RS02635	DR099_RS02060
OG0000333	MYF_RS02645	DR099_RS02050
OG0000334	MYF_RS02715	DR099_RS02890
OG0000335	MYF_RS02725	DR099_RS02900
OG0000336	MYF_RS02870	DR099_RS04480
OG0000337	MYF_RS03105	DR099_RS00570
OG0000338	MYF_RS03145	DR099_RS00530
OG0000339	MYF_RS01640	DR099_RS03470
OG0000340	MYF_RS01665	DR099_RS00920
OG0000341	MYF_RS01940	DR099_RS02785
OG0000342	MYF_RS02030	DR099_RS01620
OG0000343	MYF_RS02655	DR099_RS02040
OG0000344	MYF_RS00530	DR099_RS02745
OG0000345	MYF_RS02310	DR099_RS01790
OG0000346	MYF_RS02875	DR099_RS04645
OG0000347	MYF_RS01755	DR099_RS01010
OG0000348	MYF_RS02100	DR099_RS01545
OG0000349	MYF_RS02930	DR099_RS04490
OG0000350	MYF_RS03360	DR099_RS00035
OG0000351	MYF_RS00465	DR099_RS04140
OG0000352	MYF_RS01260	DR099_RS00430
OG0000353	MYF_RS01725	DR099_RS00980
OG0000354	MYF_RS00580	DR099_RS01700
OG0000355	MYF_RS01235	DR099_RS04300
OG0000356	MYF_RS01315	DR099_RS04360
OG0000357	MYF_RS02615	DR099_RS04450
OG0000358	MYF_RS02620	DR099_RS02075
OG0000359	MYF_RS02070	DR099_RS04425
OG0000360	MYF_RS00240	DR099_RS00710
OG0000361	MYF_RS00270	DR099_RS00680
OG0000362	MYF_RS01065	DR099_RS00245
OG0000363	MYF_RS01795	DR099_RS04420
OG0000365	MYF_RS01420	DR099_RS04385
OG0000366	MYF_RS01390	DR099_RS01275
OG0000367	MYF_RS01380	DR099_RS01285
OG0000368	MYF_RS00060	DR099_RS00465
OG0000369	MYF_RS00025	DR099_RS04315
OG0000370	MYF_RS00020	DR099_RS00505
OG0000371	MYF_RS00015	DR099_RS00510
OG0000372	MYF_RS00010	DR099_RS00515
OG0000373	MYF_RS03135	DR099_RS00540
OG0000374	MYF_RS03125	DR099_RS00550
OG0000375	MYF_RS01550	DR099_RS02850
OG0000376	MYF_RS01605	DR099_RS02165
OG0000377	MYF_RS01615	DR099_RS02175
OG0000378	MYF_RS01650	DR099_RS00900
OG0000379	MYF_RS01720	DR099_RS00975
OG0000380	MYF_RS01745	DR099_RS01000
OG0000381	MYF_RS01785	DR099_RS01510
OG0000382	MYF_RS01815	DR099_RS01480
OG0000383	MYF_RS01855	DR099_RS01440
OG0000384	MYF_RS00470	DR099_RS02685
OG0000385	MYF_RS00475	DR099_RS02690
OG0000386	MYF_RS00495	DR099_RS02710
OG0000387	MYF_RS00520	DR099_RS02735
OG0000388	MYF_RS00525	DR099_RS04535
OG0000389	MYF_RS00560	DR099_RS01720
OG0000390	MYF_RS00670	DR099_RS01065
OG0000391	MYF_RS00680	DR099_RS01075
OG0000392	MYF_RS00705	DR099_RS01100
OG0000393	MYF_RS00760	DR099_RS04355
OG0000394	MYF_RS00825	DR099_RS00060
OG0000395	MYF_RS00830	DR099_RS00065
OG0000396	MYF_RS01200	DR099_RS02670
OG0000397	MYF_RS01245	DR099_RS00415
OG0000398	MYF_RS01250	DR099_RS00420
OG0000399	MYF_RS01295	DR099_RS01190
OG0000400	MYF_RS02580	DR099_RS02115
OG0000401	MYF_RS02640	DR099_RS02055
OG0000402	MYF_RS02650	DR099_RS02045
OG0000403	MYF_RS02660	DR099_RS02035
OG0000404	MYF_RS02685	DR099_RS02005
OG0000405	MYF_RS02700	DR099_RS01990
OG0000406	MYF_RS02730	DR099_RS02905
OG0000407	MYF_RS02735	DR099_RS04550
OG0000408	MYF_RS02740	DR099_RS02915
OG0000409	MYF_RS02745	DR099_RS02920
OG0000410	MYF_RS02780	DR099_RS02545
OG0000411	MYF_RS02790	DR099_RS02555
OG0000412	MYF_RS02795	DR099_RS02560
OG0000413	MYF_RS01890	DR099_RS01425
OG0000414	MYF_RS01900	DR099_RS01415
OG0000415	MYF_RS01905	DR099_RS01410
OG0000416	MYF_RS01915	DR099_RS01400
OG0000417	MYF_RS01945	DR099_RS02790
OG0000418	MYF_RS01950	DR099_RS02795
OG0000419	MYF_RS02010	DR099_RS01640
OG0000420	MYF_RS02045	DR099_RS01605
OG0000421	MYF_RS02075	DR099_RS01570
OG0000422	MYF_RS02085	DR099_RS01560
OG0000423	MYF_RS02140	DR099_RS01965
OG0000424	MYF_RS02145	DR099_RS01960
OG0000425	MYF_RS02155	DR099_RS01950
OG0000426	MYF_RS02160	DR099_RS04440
OG0000427	MYF_RS02185	DR099_RS04435
OG0000428	MYF_RS02210	DR099_RS01895
OG0000429	MYF_RS02300	DR099_RS01800
OG0000430	MYF_RS02345	DR099_RS01755
OG0000431	MYF_RS02355	DR099_RS01745
OG0000432	MYF_RS02375	DR099_RS02315
OG0000433	MYF_RS02385	DR099_RS02330
OG0000434	MYF_RS02390	DR099_RS02335
OG0000435	MYF_RS02405	DR099_RS02350
OG0000436	MYF_RS02440	DR099_RS02380
OG0000437	MYF_RS02450	DR099_RS02390
OG0000438	MYF_RS02455	DR099_RS02395
OG0000439	MYF_RS02460	DR099_RS04495
OG0000440	MYF_RS02475	DR099_RS04560
OG0000441	MYF_RS02515	DR099_RS03070
OG0000442	MYF_RS00090	DR099_RS03130
OG0000443	MYF_RS00150	DR099_RS00800
OG0000444	MYF_RS00165	DR099_RS00785
OG0000445	MYF_RS00190	DR099_RS00760
OG0000446	MYF_RS00220	DR099_RS00730
OG0000447	MYF_RS00225	DR099_RS00725
OG0000448	MYF_RS00255	DR099_RS00695
OG0000449	MYF_RS00280	DR099_RS00670
OG0000450	MYF_RS00290	DR099_RS00660
OG0000451	MYF_RS00330	DR099_RS00620
OG0000452	MYF_RS00355	DR099_RS02945
OG0000453	MYF_RS00390	DR099_RS02980
OG0000455	MYF_RS02975	DR099_RS03220
OG0000456	MYF_RS02860	DR099_RS02230
OG0000457	MYF_RS02835	DR099_RS02205
OG0000458	MYF_RS01095	DR099_RS00275
OG0000459	MYF_RS01070	DR099_RS00250
OG0000460	MYF_RS01060	DR099_RS00240
OG0000461	MYF_RS01010	DR099_RS00195
OG0000462	MYF_RS01015	DR099_RS00200
OG0000463	MYF_RS01020	DR099_RS00205
OG0000464	MYF_RS01030	DR099_RS00210
OG0000465	MYF_RS01035	DR099_RS00215
OG0000466	MYF_RS00360	DR099_RS02950
OG0000467	MYF_RS03505	DR099_RS04290
OG0000469	MYF_RS01425	DR099_RS01245
OG0000470	MYF_RS02135	DR099_RS03645
OG0000471	MYF_RS02215	DR099_RS01890
OG0000472	MYF_RS03535	DR099_RS02535
OG0000473	MYF_RS02960	DR099_RS03235
OG0000474	MYF_RS02965	DR099_RS03230
OG0000475	MYF_RS02970	DR099_RS03225
OG0000476	MYF_RS03040	DR099_RS01390
OG0000477	MYF_RS00930	DR099_RS00170
OG0000478	MYF_RS02905	DR099_RS02280
OG0000479	MYF_RS01680	DR099_RS00935
OG0000480	MYF_RS03350	DR099_RS03640
OG0000481	MYF_RS02110	DR099_RS01535
OG0000482	MYF_RS01975	DR099_RS03275
OG0000483	MYF_RS01375	DR099_RS01290
OG0000484	MYF_RS00160	DR099_RS04330
OG0000485	MYF_RS02445	DR099_RS02385
OG0000486	MYF_RS01925	DR099_RS02770
OG0000487	MYF_RS01445	DR099_RS04370
OG0000488	MYF_RS01405	DR099_RS01260
OG0000489	MYF_RS00050	DR099_RS00475
OG0000490	MYF_RS03140	DR099_RS00535
OG0000491	MYF_RS01700	DR099_RS00955
OG0000492	MYF_RS01775	DR099_RS01030
OG0000493	MYF_RS00535	DR099_RS02750
OG0000494	MYF_RS00585	DR099_RS01695
OG0000495	MYF_RS00735	DR099_RS01130
OG0000496	MYF_RS00745	DR099_RS01140
OG0000497	MYF_RS00750	DR099_RS01145
OG0000498	MYF_RS00820	DR099_RS00055
OG0000499	MYF_RS00865	DR099_RS00090
OG0000500	MYF_RS01255	DR099_RS00425
OG0000501	MYF_RS02590	DR099_RS02105
OG0000502	MYF_RS01985	DR099_RS03265
OG0000503	MYF_RS02055	DR099_RS01590
OG0000504	MYF_RS02190	DR099_RS01915
OG0000505	MYF_RS02225	DR099_RS01880
OG0000506	MYF_RS02235	DR099_RS01870
OG0000507	MYF_RS02270	DR099_RS01835
OG0000508	MYF_RS00215	DR099_RS00735
OG0000509	MYF_RS00250	DR099_RS00700
OG0000510	MYF_RS00260	DR099_RS00690
OG0000511	MYF_RS00395	DR099_RS02985
OG0000512	MYF_RS01055	DR099_RS00235
OG0000513	MYF_RS02890	DR099_RS02265
OG0000514	MYF_RS00710	DR099_RS01105
OG0000516	MYF_RS01440	DR099_RS04375
OG0000517	MYF_RS00065	DR099_RS00460
OG0000518	MYF_RS02630	DR099_RS02065
OG0000519	MYF_RS02080	DR099_RS01565
OG0000520	MYF_RS02205	DR099_RS01900
OG0000521	MYF_RS00230	DR099_RS00720
OG0000522	MYF_RS00265	DR099_RS00685
OG0000523	MYF_RS02830	DR099_RS02200
OG0000524	MYF_RS00890	DR099_RS00120
OG0000528	MYF_RS01435	DR099_RS04380
OG0000529	MYF_RS01565	DR099_RS02835
OG0000530	MYF_RS01630	DR099_RS03455
OG0000531	MYF_RS01750	DR099_RS01005
OG0000532	MYF_RS00620	DR099_RS04390
OG0000534	MYF_RS00345	DR099_RS00605
OG0000535	MYF_RS00045	DR099_RS04310
OG0000536	MYF_RS03070	DR099_RS03325
OG0000537	MYF_RS02025	DR099_RS01625
OG0000538	MYF_RS02395	DR099_RS02340
OG0000539	MYF_RS00175	DR099_RS00775
OG0000540	MYF_RS00910	DR099_RS00150
OG0000541	MYF_RS00850	DR099_RS00075
OG0000542	MYF_RS00315	DR099_RS00635
OG0000547	MYF_RS00660	DR099_RS01055
OG0000548	MYF_RS01205	DR099_RS01365
OG0000549	MYF_RS02805	DR099_RS04525
OG0000550	MYF_RS02925	DR099_RS02300
OG0000551	MYF_RS02505	DR099_RS03080
OG0000555	MYF_RS03410	DR099_RS03825
OG0000595	MYF_RS02570	DR099_RS04595
OG0000596	MYF_RS00110	DR099_RS04245
OG0000597	MYF_RS02565	DR099_RS03370
OG0000598	MYF_RS00105	DR099_RS03395
OG0000599	MYF_RS00100	DR099_RS03400
OG0000602	MYF_RS01415	DR099_RS01255
