Orthogroup	MFC_Ms42_genes	MHP_MHP699_genes
OG0000104	MYF_RS01545	DR100_RS02995
OG0000105	MYF_RS01560	DR100_RS03010
OG0000106	MYF_RS01570	DR100_RS03020
OG0000107	MYF_RS01580	DR100_RS03030
OG0000108	MYF_RS01585	DR100_RS03035
OG0000109	MYF_RS01590	DR100_RS00005
OG0000110	MYF_RS01595	DR100_RS02280
OG0000111	MYF_RS01600	DR100_RS02275
OG0000112	MYF_RS01610	DR100_RS02265
OG0000113	MYF_RS01625	DR100_RS04875
OG0000114	MYF_RS01635	DR100_RS03465
OG0000115	MYF_RS01645	DR100_RS03475
OG0000116	MYF_RS01655	DR100_RS00220
OG0000117	MYF_RS01660	DR100_RS00225
OG0000118	MYF_RS01690	DR100_RS00260
OG0000119	MYF_RS01695	DR100_RS00265
OG0000120	MYF_RS01710	DR100_RS00280
OG0000121	MYF_RS01735	DR100_RS00305
OG0000122	MYF_RS01740	DR100_RS00310
OG0000123	MYF_RS01760	DR100_RS00330
OG0000124	MYF_RS01765	DR100_RS00335
OG0000125	MYF_RS01770	DR100_RS00345
OG0000126	MYF_RS01780	DR100_RS02315
OG0000127	MYF_RS01790	DR100_RS02325
OG0000128	MYF_RS01805	DR100_RS02340
OG0000129	MYF_RS01810	DR100_RS02345
OG0000130	MYF_RS01820	DR100_RS02355
OG0000131	MYF_RS01850	DR100_RS02385
OG0000132	MYF_RS01865	DR100_RS04760
OG0000133	MYF_RS00485	DR100_RS02665
OG0000134	MYF_RS00490	DR100_RS02660
OG0000135	MYF_RS00505	DR100_RS02645
OG0000136	MYF_RS00510	DR100_RS02640
OG0000137	MYF_RS00540	DR100_RS02610
OG0000138	MYF_RS00565	DR100_RS00735
OG0000139	MYF_RS00595	DR100_RS00765
OG0000140	MYF_RS00600	DR100_RS00770
OG0000141	MYF_RS00635	DR100_RS01655
OG0000142	MYF_RS00640	DR100_RS04720
OG0000143	MYF_RS00665	DR100_RS01685
OG0000144	MYF_RS00675	DR100_RS01695
OG0000145	MYF_RS00685	DR100_RS01705
OG0000146	MYF_RS00695	DR100_RS01715
OG0000147	MYF_RS00700	DR100_RS01720
OG0000148	MYF_RS00715	DR100_RS01735
OG0000149	MYF_RS00725	DR100_RS01745
OG0000150	MYF_RS00740	DR100_RS01760
OG0000151	MYF_RS00795	DR100_RS03315
OG0000152	MYF_RS00800	DR100_RS03310
OG0000153	MYF_RS00805	DR100_RS03305
OG0000154	MYF_RS00815	DR100_RS03295
OG0000155	MYF_RS00835	DR100_RS02500
OG0000156	MYF_RS00855	DR100_RS02490
OG0000157	MYF_RS00860	DR100_RS04790
OG0000158	MYF_RS00870	DR100_RS04785
OG0000159	MYF_RS01165	DR100_RS02730
OG0000160	MYF_RS01170	DR100_RS02725
OG0000161	MYF_RS01175	DR100_RS02720
OG0000162	MYF_RS01185	DR100_RS02710
OG0000163	MYF_RS01190	DR100_RS02705
OG0000164	MYF_RS01220	DR100_RS03410
OG0000165	MYF_RS01265	DR100_RS01980
OG0000166	MYF_RS01285	DR100_RS01960
OG0000167	MYF_RS01300	DR100_RS02815
OG0000168	MYF_RS01305	DR100_RS02810
OG0000169	MYF_RS02560	DR100_RS01460
OG0000170	MYF_RS02585	DR100_RS01475
OG0000171	MYF_RS02595	DR100_RS01485
OG0000172	MYF_RS02600	DR100_RS01490
OG0000173	MYF_RS02605	DR100_RS01495
OG0000174	MYF_RS02610	DR100_RS01500
OG0000175	MYF_RS02625	DR100_RS01515
OG0000176	MYF_RS02670	DR100_RS03330
OG0000177	MYF_RS02675	DR100_RS03335
OG0000178	MYF_RS02680	DR100_RS03340
OG0000179	MYF_RS02690	DR100_RS03350
OG0000180	MYF_RS02695	DR100_RS03355
OG0000181	MYF_RS02710	DR100_RS04825
OG0000182	MYF_RS02720	DR100_RS03060
OG0000183	MYF_RS02755	DR100_RS03095
OG0000184	MYF_RS02785	DR100_RS03180
OG0000185	MYF_RS02800	DR100_RS03195
OG0000186	MYF_RS01895	DR100_RS04765
OG0000187	MYF_RS01910	DR100_RS02425
OG0000188	MYF_RS01920	DR100_RS02435
OG0000189	MYF_RS01930	DR100_RS04845
OG0000190	MYF_RS01935	DR100_RS03230
OG0000191	MYF_RS01955	DR100_RS03210
OG0000192	MYF_RS01965	DR100_RS00140
OG0000193	MYF_RS01980	DR100_RS00125
OG0000194	MYF_RS01990	DR100_RS00790
OG0000195	MYF_RS01995	DR100_RS00795
OG0000196	MYF_RS02015	DR100_RS00815
OG0000197	MYF_RS02020	DR100_RS00820
OG0000198	MYF_RS02035	DR100_RS00835
OG0000199	MYF_RS02040	DR100_RS00840
OG0000200	MYF_RS02050	DR100_RS00855
OG0000201	MYF_RS02060	DR100_RS00865
OG0000202	MYF_RS02115	DR100_RS00920
OG0000203	MYF_RS02120	DR100_RS00925
OG0000204	MYF_RS02125	DR100_RS00930
OG0000205	MYF_RS02130	DR100_RS00935
OG0000206	MYF_RS02150	DR100_RS00955
OG0000207	MYF_RS02165	DR100_RS00970
OG0000208	MYF_RS02170	DR100_RS00975
OG0000209	MYF_RS02175	DR100_RS00980
OG0000210	MYF_RS02220	DR100_RS01025
OG0000211	MYF_RS02230	DR100_RS02965
OG0000212	MYF_RS02240	DR100_RS02955
OG0000213	MYF_RS02245	DR100_RS02950
OG0000214	MYF_RS02250	DR100_RS02945
OG0000215	MYF_RS02255	DR100_RS02940
OG0000216	MYF_RS02260	DR100_RS02935
OG0000217	MYF_RS02265	DR100_RS02930
OG0000218	MYF_RS02275	DR100_RS02920
OG0000219	MYF_RS02280	DR100_RS02915
OG0000220	MYF_RS02285	DR100_RS02910
OG0000221	MYF_RS02290	DR100_RS02905
OG0000222	MYF_RS03240	DR100_RS02900
OG0000223	MYF_RS02295	DR100_RS02895
OG0000224	MYF_RS02305	DR100_RS03890
OG0000225	MYF_RS02315	DR100_RS02875
OG0000226	MYF_RS02320	DR100_RS02870
OG0000227	MYF_RS02325	DR100_RS02865
OG0000228	MYF_RS03530	DR100_RS04935
OG0000229	MYF_RS02335	DR100_RS02855
OG0000230	MYF_RS02340	DR100_RS02850
OG0000231	MYF_RS02350	DR100_RS02840
OG0000232	MYF_RS02360	DR100_RS02830
OG0000233	MYF_RS02370	DR100_RS00010
OG0000234	MYF_RS02400	DR100_RS00045
OG0000235	MYF_RS02410	DR100_RS00055
OG0000236	MYF_RS02415	DR100_RS00060
OG0000237	MYF_RS02430	DR100_RS00065
OG0000238	MYF_RS02435	DR100_RS00075
OG0000239	MYF_RS02465	DR100_RS03120
OG0000240	MYF_RS02470	DR100_RS03125
OG0000241	MYF_RS02480	DR100_RS03135
OG0000242	MYF_RS02485	DR100_RS03140
OG0000243	MYF_RS02490	DR100_RS03145
OG0000244	MYF_RS02500	DR100_RS03155
OG0000245	MYF_RS02510	DR100_RS03165
OG0000246	MYF_RS00085	DR100_RS01055
OG0000247	MYF_RS00095	DR100_RS00705
OG0000248	MYF_RS00120	DR100_RS00695
OG0000249	MYF_RS00125	DR100_RS00690
OG0000250	MYF_RS00140	DR100_RS00675
OG0000251	MYF_RS00170	DR100_RS00640
OG0000252	MYF_RS00180	DR100_RS00630
OG0000253	MYF_RS00185	DR100_RS00625
OG0000254	MYF_RS00195	DR100_RS00615
OG0000255	MYF_RS00205	DR100_RS00605
OG0000256	MYF_RS00210	DR100_RS00600
OG0000257	MYF_RS00235	DR100_RS00575
OG0000258	MYF_RS00245	DR100_RS00565
OG0000259	MYF_RS00275	DR100_RS00535
OG0000260	MYF_RS00285	DR100_RS00525
OG0000261	MYF_RS00295	DR100_RS04575
OG0000262	MYF_RS00310	DR100_RS00500
OG0000263	MYF_RS00325	DR100_RS00485
OG0000264	MYF_RS00340	DR100_RS00470
OG0000265	MYF_RS00350	DR100_RS00460
OG0000266	MYF_RS00365	DR100_RS00445
OG0000267	MYF_RS00380	DR100_RS00430
OG0000268	MYF_RS00385	DR100_RS00425
OG0000269	MYF_RS00400	DR100_RS00410
OG0000270	MYF_RS02955	DR100_RS04660
OG0000271	MYF_RS02950	DR100_RS01315
OG0000272	MYF_RS02945	DR100_RS01320
OG0000273	MYF_RS02940	DR100_RS01325
OG0000274	MYF_RS02920	DR100_RS01345
OG0000275	MYF_RS02915	DR100_RS04670
OG0000276	MYF_RS02910	DR100_RS01355
OG0000277	MYF_RS02900	DR100_RS01365
OG0000278	MYF_RS02895	DR100_RS01370
OG0000279	MYF_RS02885	DR100_RS01380
OG0000280	MYF_RS02880	DR100_RS01385
OG0000281	MYF_RS03275	DR100_RS01390
OG0000282	MYF_RS02855	DR100_RS04680
OG0000283	MYF_RS02850	DR100_RS01420
OG0000284	MYF_RS02845	DR100_RS01425
OG0000285	MYF_RS02840	DR100_RS04685
OG0000286	MYF_RS01115	DR100_RS02690
OG0000287	MYF_RS01090	DR100_RS01950
OG0000288	MYF_RS01080	DR100_RS01940
OG0000289	MYF_RS01075	DR100_RS01935
OG0000290	MYF_RS00905	DR100_RS01825
OG0000291	MYF_RS00915	DR100_RS01835
OG0000292	MYF_RS00920	DR100_RS01840
OG0000293	MYF_RS00925	DR100_RS01845
OG0000294	MYF_RS00935	DR100_RS01855
OG0000295	MYF_RS00940	DR100_RS01860
OG0000296	MYF_RS01040	DR100_RS01900
OG0000297	MYF_RS01045	DR100_RS01905
OG0000298	MYF_RS00135	DR100_RS00680
OG0000299	MYF_RS00155	DR100_RS00655
OG0000300	MYF_RS00335	DR100_RS00475
OG0000301	MYF_RS00370	DR100_RS00440
OG0000302	MYF_RS00375	DR100_RS00435
OG0000303	MYF_RS00515	DR100_RS02635
OG0000304	MYF_RS00545	DR100_RS03515
OG0000305	MYF_RS00690	DR100_RS01710
OG0000306	MYF_RS00770	DR100_RS01785
OG0000307	MYF_RS00810	DR100_RS03300
OG0000308	MYF_RS00895	DR100_RS01805
OG0000309	MYF_RS01005	DR100_RS01870
OG0000310	MYF_RS01085	DR100_RS01945
OG0000311	MYF_RS01140	DR100_RS02750
OG0000312	MYF_RS01160	DR100_RS02735
OG0000313	MYF_RS01210	DR100_RS03420
OG0000314	MYF_RS01280	DR100_RS01965
OG0000315	MYF_RS01310	DR100_RS02805
OG0000316	MYF_RS01320	DR100_RS02795
OG0000317	MYF_RS01360	DR100_RS02550
OG0000318	MYF_RS01450	DR100_RS04815
OG0000319	MYF_RS01555	DR100_RS03005
OG0000320	MYF_RS01620	DR100_RS02255
OG0000321	MYF_RS01685	DR100_RS00255
OG0000322	MYF_RS01730	DR100_RS00300
OG0000323	MYF_RS01860	DR100_RS02395
OG0000324	MYF_RS01960	DR100_RS03205
OG0000325	MYF_RS02000	DR100_RS00800
OG0000326	MYF_RS02090	DR100_RS00895
OG0000327	MYF_RS02095	DR100_RS00900
OG0000328	MYF_RS02180	DR100_RS00985
OG0000329	MYF_RS02200	DR100_RS01005
OG0000330	MYF_RS02380	DR100_RS00020
OG0000331	MYF_RS02495	DR100_RS03150
OG0000332	MYF_RS02635	DR100_RS01525
OG0000333	MYF_RS02645	DR100_RS01535
OG0000334	MYF_RS02715	DR100_RS03055
OG0000335	MYF_RS02725	DR100_RS03065
OG0000336	MYF_RS02870	DR100_RS04675
OG0000337	MYF_RS03105	DR100_RS01235
OG0000338	MYF_RS03145	DR100_RS01195
OG0000339	MYF_RS01640	DR100_RS03470
OG0000340	MYF_RS01665	DR100_RS00235
OG0000341	MYF_RS01940	DR100_RS03225
OG0000342	MYF_RS02030	DR100_RS00830
OG0000343	MYF_RS02655	DR100_RS01545
OG0000344	MYF_RS00530	DR100_RS02620
OG0000345	MYF_RS02310	DR100_RS02880
OG0000346	MYF_RS02875	DR100_RS01395
OG0000347	MYF_RS01755	DR100_RS00325
OG0000348	MYF_RS02100	DR100_RS00905
OG0000349	MYF_RS02930	DR100_RS04665
OG0000350	MYF_RS03360	DR100_RS03290
OG0000351	MYF_RS00465	DR100_RS00350
OG0000352	MYF_RS01260	DR100_RS01985
OG0000353	MYF_RS01725	DR100_RS00295
OG0000354	MYF_RS00580	DR100_RS00750
OG0000355	MYF_RS01235	DR100_RS04730
OG0000356	MYF_RS01315	DR100_RS04820
OG0000357	MYF_RS02615	DR100_RS04705
OG0000358	MYF_RS02620	DR100_RS01510
OG0000359	MYF_RS02070	DR100_RS04590
OG0000360	MYF_RS00240	DR100_RS00570
OG0000361	MYF_RS00270	DR100_RS00540
OG0000362	MYF_RS01065	DR100_RS01925
OG0000363	MYF_RS01795	DR100_RS02330
OG0000365	MYF_RS01420	DR100_RS04795
OG0000366	MYF_RS01390	DR100_RS02580
OG0000367	MYF_RS01380	DR100_RS02570
OG0000368	MYF_RS00060	DR100_RS01130
OG0000369	MYF_RS00025	DR100_RS04640
OG0000370	MYF_RS00020	DR100_RS01170
OG0000371	MYF_RS00015	DR100_RS01175
OG0000372	MYF_RS00010	DR100_RS01180
OG0000373	MYF_RS03135	DR100_RS01205
OG0000374	MYF_RS03125	DR100_RS01215
OG0000375	MYF_RS01550	DR100_RS03000
OG0000376	MYF_RS01605	DR100_RS02270
OG0000377	MYF_RS01615	DR100_RS02260
OG0000378	MYF_RS01650	DR100_RS00215
OG0000379	MYF_RS01720	DR100_RS00290
OG0000380	MYF_RS01745	DR100_RS00315
OG0000381	MYF_RS01785	DR100_RS02320
OG0000382	MYF_RS01815	DR100_RS02350
OG0000383	MYF_RS01855	DR100_RS02390
OG0000384	MYF_RS00470	DR100_RS02680
OG0000385	MYF_RS00475	DR100_RS02675
OG0000386	MYF_RS00495	DR100_RS02655
OG0000387	MYF_RS00520	DR100_RS02630
OG0000388	MYF_RS00525	DR100_RS04800
OG0000389	MYF_RS00560	DR100_RS00730
OG0000390	MYF_RS00670	DR100_RS01690
OG0000391	MYF_RS00680	DR100_RS01700
OG0000392	MYF_RS00705	DR100_RS01725
OG0000393	MYF_RS00760	DR100_RS04725
OG0000394	MYF_RS00825	DR100_RS02510
OG0000395	MYF_RS00830	DR100_RS02505
OG0000396	MYF_RS01200	DR100_RS02695
OG0000397	MYF_RS01245	DR100_RS02000
OG0000398	MYF_RS01250	DR100_RS01995
OG0000399	MYF_RS01295	DR100_RS02820
OG0000400	MYF_RS02580	DR100_RS01470
OG0000401	MYF_RS02640	DR100_RS01530
OG0000402	MYF_RS02650	DR100_RS01540
OG0000403	MYF_RS02660	DR100_RS01550
OG0000404	MYF_RS02685	DR100_RS03345
OG0000405	MYF_RS02700	DR100_RS03365
OG0000406	MYF_RS02730	DR100_RS03070
OG0000407	MYF_RS02735	DR100_RS04830
OG0000408	MYF_RS02740	DR100_RS03080
OG0000409	MYF_RS02745	DR100_RS03085
OG0000410	MYF_RS02780	DR100_RS03175
OG0000411	MYF_RS02790	DR100_RS03185
OG0000412	MYF_RS02795	DR100_RS03190
OG0000413	MYF_RS01890	DR100_RS02405
OG0000414	MYF_RS01900	DR100_RS02415
OG0000415	MYF_RS01905	DR100_RS02420
OG0000416	MYF_RS01915	DR100_RS02430
OG0000417	MYF_RS01945	DR100_RS03220
OG0000418	MYF_RS01950	DR100_RS03215
OG0000419	MYF_RS02010	DR100_RS00810
OG0000420	MYF_RS02045	DR100_RS00845
OG0000421	MYF_RS02075	DR100_RS00880
OG0000422	MYF_RS02085	DR100_RS00890
OG0000423	MYF_RS02140	DR100_RS00945
OG0000424	MYF_RS02145	DR100_RS00950
OG0000425	MYF_RS02155	DR100_RS00960
OG0000426	MYF_RS02160	DR100_RS04595
OG0000427	MYF_RS02185	DR100_RS04600
OG0000428	MYF_RS02210	DR100_RS01015
OG0000429	MYF_RS02300	DR100_RS02890
OG0000430	MYF_RS02345	DR100_RS02845
OG0000431	MYF_RS02355	DR100_RS02835
OG0000432	MYF_RS02375	DR100_RS00015
OG0000433	MYF_RS02385	DR100_RS00030
OG0000434	MYF_RS02390	DR100_RS00035
OG0000435	MYF_RS02405	DR100_RS00050
OG0000436	MYF_RS02440	DR100_RS00080
OG0000437	MYF_RS02450	DR100_RS00090
OG0000438	MYF_RS02455	DR100_RS00095
OG0000439	MYF_RS02460	DR100_RS04550
OG0000440	MYF_RS02475	DR100_RS03130
OG0000441	MYF_RS02515	DR100_RS03170
OG0000442	MYF_RS00090	DR100_RS01050
OG0000443	MYF_RS00150	DR100_RS00660
OG0000444	MYF_RS00165	DR100_RS00645
OG0000445	MYF_RS00190	DR100_RS00620
OG0000446	MYF_RS00220	DR100_RS00590
OG0000447	MYF_RS00225	DR100_RS00585
OG0000448	MYF_RS00255	DR100_RS00555
OG0000449	MYF_RS00280	DR100_RS00530
OG0000450	MYF_RS00290	DR100_RS00520
OG0000451	MYF_RS00330	DR100_RS00480
OG0000452	MYF_RS00355	DR100_RS00455
OG0000453	MYF_RS00390	DR100_RS00420
OG0000454	MYF_RS03480, MYF_RS03485	DR100_RS01645
OG0000455	MYF_RS02975	DR100_RS01290
OG0000456	MYF_RS02860	DR100_RS01410
OG0000457	MYF_RS02835	DR100_RS01435
OG0000458	MYF_RS01095	DR100_RS01955
OG0000459	MYF_RS01070	DR100_RS01930
OG0000460	MYF_RS01060	DR100_RS01920
OG0000461	MYF_RS01010	DR100_RS01875
OG0000462	MYF_RS01015	DR100_RS01880
OG0000463	MYF_RS01020	DR100_RS01885
OG0000464	MYF_RS01030	DR100_RS01890
OG0000465	MYF_RS01035	DR100_RS01895
OG0000466	MYF_RS00360	DR100_RS00450
OG0000467	MYF_RS03505	DR100_RS04775
OG0000468	MYF_RS01290	DR100_RS02825
OG0000469	MYF_RS01425	DR100_RS02765
OG0000470	MYF_RS02135	DR100_RS03815
OG0000471	MYF_RS02215	DR100_RS01020
OG0000472	MYF_RS03535	DR100_RS03260
OG0000473	MYF_RS02960	DR100_RS01305
OG0000474	MYF_RS02965	DR100_RS01300
OG0000475	MYF_RS02970	DR100_RS01295
OG0000476	MYF_RS03040	DR100_RS02440
OG0000477	MYF_RS00930	DR100_RS01850
OG0000478	MYF_RS02905	DR100_RS01360
OG0000479	MYF_RS01680	DR100_RS00250
OG0000480	MYF_RS03350	DR100_RS03855
OG0000481	MYF_RS02110	DR100_RS00915
OG0000482	MYF_RS01975	DR100_RS00130
OG0000483	MYF_RS01375	DR100_RS02565
OG0000484	MYF_RS00160	DR100_RS04580
OG0000485	MYF_RS02445	DR100_RS00085
OG0000486	MYF_RS01925	DR100_RS03240
OG0000487	MYF_RS01445	DR100_RS04810
OG0000488	MYF_RS01405	DR100_RS02600
OG0000489	MYF_RS00050	DR100_RS01140
OG0000490	MYF_RS03140	DR100_RS01200
OG0000491	MYF_RS01700	DR100_RS00270
OG0000493	MYF_RS00535	DR100_RS02615
OG0000494	MYF_RS00585	DR100_RS00755
OG0000495	MYF_RS00735	DR100_RS01755
OG0000496	MYF_RS00745	DR100_RS01765
OG0000497	MYF_RS00750	DR100_RS01770
OG0000498	MYF_RS00820	DR100_RS03270
OG0000499	MYF_RS00865	DR100_RS02480
OG0000500	MYF_RS01255	DR100_RS01990
OG0000501	MYF_RS02590	DR100_RS01480
OG0000502	MYF_RS01985	DR100_RS00120
OG0000503	MYF_RS02055	DR100_RS00860
OG0000504	MYF_RS02190	DR100_RS00995
OG0000505	MYF_RS02225	DR100_RS02970
OG0000506	MYF_RS02235	DR100_RS02960
OG0000507	MYF_RS02270	DR100_RS02925
OG0000508	MYF_RS00215	DR100_RS00595
OG0000509	MYF_RS00250	DR100_RS00560
OG0000510	MYF_RS00260	DR100_RS00550
OG0000511	MYF_RS00395	DR100_RS00415
OG0000512	MYF_RS01055	DR100_RS01915
OG0000513	MYF_RS02890	DR100_RS01375
OG0000514	MYF_RS00710	DR100_RS01730
OG0000516	MYF_RS01440	DR100_RS04805
OG0000517	MYF_RS00065	DR100_RS01125
OG0000518	MYF_RS02630	DR100_RS01520
OG0000519	MYF_RS02080	DR100_RS00885
OG0000520	MYF_RS02205	DR100_RS01010
OG0000521	MYF_RS00230	DR100_RS00580
OG0000522	MYF_RS00265	DR100_RS00545
OG0000523	MYF_RS02830	DR100_RS01440
OG0000524	MYF_RS00890	DR100_RS02455
OG0000528	MYF_RS01435	DR100_RS02775
OG0000529	MYF_RS01565	DR100_RS03015
OG0000530	MYF_RS01630	DR100_RS03460
OG0000531	MYF_RS01750	DR100_RS00320
OG0000532	MYF_RS00620	DR100_RS03540
OG0000533	MYF_RS02365	DR100_RS00715
OG0000534	MYF_RS00345	DR100_RS00465
OG0000535	MYF_RS00045	DR100_RS04635
OG0000537	MYF_RS02025	DR100_RS00825
OG0000538	MYF_RS02395	DR100_RS00040
OG0000539	MYF_RS00175	DR100_RS00635
OG0000540	MYF_RS00910	DR100_RS01830
OG0000541	MYF_RS00850	DR100_RS02495
OG0000542	MYF_RS00315	DR100_RS00495
OG0000547	MYF_RS00660	DR100_RS01680
OG0000548	MYF_RS01205	DR100_RS03425
OG0000549	MYF_RS02805	DR100_RS04865
OG0000550	MYF_RS02925	DR100_RS01340
OG0000551	MYF_RS02505	DR100_RS03160
OG0000555	MYF_RS03410	DR100_RS04155
OG0000589	MYF_RS03220	DR100_RS03530
OG0000595	MYF_RS02570	DR100_RS03575
OG0000596	MYF_RS00110	DR100_RS02145
OG0000597	MYF_RS02565	DR100_RS03565
OG0000598	MYF_RS00105	DR100_RS02140
OG0000599	MYF_RS00100	DR100_RS02135
