Orthogroup	MFC_ATCC27716_genes	MHP_1257_genes
OG0000055	MFC_RS03415, MFC_RS03540	ABKJ22_RS00130
OG0000056	MFC_RS00325	ABKJ22_RS03415
OG0000057	MFC_RS00965	ABKJ22_RS02865
OG0000062	MFC_RS00270	ABKJ22_RS03470
OG0000063	MFC_RS00275	ABKJ22_RS03465
OG0000064	MFC_RS00285	ABKJ22_RS03455
OG0000065	MFC_RS00440	ABKJ22_RS02160
OG0000066	MFC_RS00570	ABKJ22_RS01370
OG0000068	MFC_RS00910	ABKJ22_RS01055
OG0000069	MFC_RS01075	ABKJ22_RS02760
OG0000070	MFC_RS01215	ABKJ22_RS02425
OG0000071	MFC_RS01630	ABKJ22_RS03155
OG0000072	MFC_RS01635	ABKJ22_RS03160
OG0000073	MFC_RS03395, MFC_RS03390	ABKJ22_RS00995
OG0000074	MFC_RS03400	ABKJ22_RS00800
OG0000075	MFC_RS02565	ABKJ22_RS00335
OG0000076	MFC_RS02580	ABKJ22_RS00350
OG0000077	MFC_RS02670	ABKJ22_RS00445
OG0000078	MFC_RS03005	ABKJ22_RS01675
OG0000079	MFC_RS02930, MFC_RS03120	ABKJ22_RS02505
OG0000080	MFC_RS03315	ABKJ22_RS02550
OG0000081	MFC_RS03430, MFC_RS02560	ABKJ22_RS00330
OG0000082	MFC_RS02870	ABKJ22_RS02350
OG0000083	MFC_RS00040	ABKJ22_RS01995
OG0000084	MFC_RS00070	ABKJ22_RS02025
OG0000085	MFC_RS00075	ABKJ22_RS02030
OG0000086	MFC_RS00085	ABKJ22_RS02040
OG0000087	MFC_RS03320	ABKJ22_RS02055
OG0000088	MFC_RS00105	ABKJ22_RS02060
OG0000089	MFC_RS00115	ABKJ22_RS02070
OG0000090	MFC_RS00165	ABKJ22_RS00070
OG0000091	MFC_RS00180	ABKJ22_RS00055
OG0000092	MFC_RS00195	ABKJ22_RS00040
OG0000093	MFC_RS00200	ABKJ22_RS00035
OG0000094	MFC_RS00205	ABKJ22_RS00030
OG0000095	MFC_RS00230	ABKJ22_RS00005
OG0000096	MFC_RS00235	ABKJ22_RS03505
OG0000097	MFC_RS00255	ABKJ22_RS03485
OG0000098	MFC_RS00265	ABKJ22_RS03475
OG0000099	MFC_RS00320	ABKJ22_RS03425
OG0000100	MFC_RS00335	ABKJ22_RS03405
OG0000101	MFC_RS00340	ABKJ22_RS03400
OG0000102	MFC_RS00350	ABKJ22_RS01700
OG0000103	MFC_RS00405	ABKJ22_RS02195
OG0000104	MFC_RS00410	ABKJ22_RS02190
OG0000105	MFC_RS00425	ABKJ22_RS02175
OG0000106	MFC_RS00435	ABKJ22_RS02165
OG0000107	MFC_RS00445	ABKJ22_RS02155
OG0000108	MFC_RS00450	ABKJ22_RS02150
OG0000109	MFC_RS00455	ABKJ22_RS02145
OG0000110	MFC_RS00460	ABKJ22_RS02340
OG0000111	MFC_RS00465	ABKJ22_RS02335
OG0000112	MFC_RS00475	ABKJ22_RS02325
OG0000113	MFC_RS00490	ABKJ22_RS02305
OG0000114	MFC_RS00500	ABKJ22_RS02295
OG0000115	MFC_RS00510	ABKJ22_RS02285
OG0000116	MFC_RS00520	ABKJ22_RS01315
OG0000117	MFC_RS00525	ABKJ22_RS01320
OG0000118	MFC_RS00555	ABKJ22_RS01355
OG0000119	MFC_RS00560	ABKJ22_RS01360
OG0000120	MFC_RS00575	ABKJ22_RS01375
OG0000121	MFC_RS00600	ABKJ22_RS01400
OG0000122	MFC_RS00605	ABKJ22_RS01405
OG0000123	MFC_RS00625	ABKJ22_RS01425
OG0000124	MFC_RS00630	ABKJ22_RS01430
OG0000125	MFC_RS00635	ABKJ22_RS01435
OG0000126	MFC_RS00645	ABKJ22_RS01445
OG0000127	MFC_RS00655	ABKJ22_RS01455
OG0000128	MFC_RS00670	ABKJ22_RS01470
OG0000129	MFC_RS00675	ABKJ22_RS01475
OG0000130	MFC_RS00685	ABKJ22_RS01485
OG0000131	MFC_RS00715	ABKJ22_RS01515
OG0000132	MFC_RS00735	ABKJ22_RS01530
OG0000133	MFC_RS00805	ABKJ22_RS00530
OG0000134	MFC_RS00810	ABKJ22_RS00535
OG0000135	MFC_RS00825	ABKJ22_RS00550
OG0000136	MFC_RS00830	ABKJ22_RS00555
OG0000137	MFC_RS00860	ABKJ22_RS00585
OG0000138	MFC_RS00885	ABKJ22_RS01080
OG0000139	MFC_RS00915	ABKJ22_RS01050
OG0000140	MFC_RS00920	ABKJ22_RS01045
OG0000141	MFC_RS00955	ABKJ22_RS02875
OG0000142	MFC_RS00960	ABKJ22_RS02870
OG0000143	MFC_RS00985	ABKJ22_RS02850
OG0000144	MFC_RS00995	ABKJ22_RS02840
OG0000145	MFC_RS01005	ABKJ22_RS02830
OG0000146	MFC_RS01015	ABKJ22_RS02820
OG0000147	MFC_RS01020	ABKJ22_RS02815
OG0000148	MFC_RS01035	ABKJ22_RS02800
OG0000149	MFC_RS01045	ABKJ22_RS02790
OG0000150	MFC_RS01060	ABKJ22_RS02775
OG0000151	MFC_RS01115	ABKJ22_RS02720
OG0000152	MFC_RS01120	ABKJ22_RS02715
OG0000153	MFC_RS01125	ABKJ22_RS02710
OG0000154	MFC_RS01135	ABKJ22_RS02700
OG0000155	MFC_RS01155	ABKJ22_RS02660
OG0000156	MFC_RS01175	ABKJ22_RS02650
OG0000157	MFC_RS01180	ABKJ22_RS02645
OG0000158	MFC_RS01190	ABKJ22_RS02635
OG0000159	MFC_RS01245	ABKJ22_RS02410
OG0000160	MFC_RS01250	ABKJ22_RS02405
OG0000161	MFC_RS01255	ABKJ22_RS02400
OG0000162	MFC_RS01265	ABKJ22_RS02390
OG0000163	MFC_RS01270	ABKJ22_RS02385
OG0000164	MFC_RS01300	ABKJ22_RS01610
OG0000165	MFC_RS01345	ABKJ22_RS01915
OG0000166	MFC_RS01365	ABKJ22_RS01935
OG0000167	MFC_RS01380	ABKJ22_RS01950
OG0000168	MFC_RS01385	ABKJ22_RS01955
OG0000169	MFC_RS01430	ABKJ22_RS02950
OG0000170	MFC_RS01455	ABKJ22_RS02965
OG0000171	MFC_RS01465	ABKJ22_RS02975
OG0000172	MFC_RS01470	ABKJ22_RS02980
OG0000173	MFC_RS01475	ABKJ22_RS02985
OG0000174	MFC_RS01480	ABKJ22_RS02990
OG0000175	MFC_RS01495	ABKJ22_RS03005
OG0000176	MFC_RS01540	ABKJ22_RS03050
OG0000177	MFC_RS01545	ABKJ22_RS03055
OG0000178	MFC_RS01550	ABKJ22_RS03060
OG0000179	MFC_RS01560	ABKJ22_RS03070
OG0000180	MFC_RS01565	ABKJ22_RS03075
OG0000181	MFC_RS01580	ABKJ22_RS03105
OG0000182	MFC_RS01590	ABKJ22_RS03115
OG0000183	MFC_RS01625	ABKJ22_RS03150
OG0000184	MFC_RS01655	ABKJ22_RS03190
OG0000185	MFC_RS01670	ABKJ22_RS03175
OG0000186	MFC_RS01710	ABKJ22_RS01540
OG0000187	MFC_RS01725	ABKJ22_RS01555
OG0000188	MFC_RS01735	ABKJ22_RS01565
OG0000189	MFC_RS03385	ABKJ22_RS02110
OG0000190	MFC_RS01750	ABKJ22_RS02115
OG0000191	MFC_RS01770	ABKJ22_RS02135
OG0000192	MFC_RS01780	ABKJ22_RS01230
OG0000193	MFC_RS01795	ABKJ22_RS01220
OG0000194	MFC_RS01805	ABKJ22_RS01010
OG0000195	MFC_RS01810	ABKJ22_RS01005
OG0000196	MFC_RS01830	ABKJ22_RS00985
OG0000197	MFC_RS01835	ABKJ22_RS00980
OG0000198	MFC_RS01850	ABKJ22_RS00965
OG0000199	MFC_RS01855	ABKJ22_RS00960
OG0000200	MFC_RS01865	ABKJ22_RS00945
OG0000201	MFC_RS01875	ABKJ22_RS00935
OG0000202	MFC_RS01930	ABKJ22_RS00880
OG0000203	MFC_RS01935	ABKJ22_RS00875
OG0000204	MFC_RS01940	ABKJ22_RS00870
OG0000205	MFC_RS01945	ABKJ22_RS00865
OG0000206	MFC_RS01965	ABKJ22_RS00845
OG0000207	MFC_RS01980	ABKJ22_RS00830
OG0000208	MFC_RS01985	ABKJ22_RS00825
OG0000209	MFC_RS01990	ABKJ22_RS00820
OG0000210	MFC_RS02040	ABKJ22_RS00775
OG0000211	MFC_RS02050	ABKJ22_RS00745
OG0000212	MFC_RS02060	ABKJ22_RS00735
OG0000213	MFC_RS02065	ABKJ22_RS00730
OG0000214	MFC_RS02070	ABKJ22_RS00725
OG0000215	MFC_RS02075	ABKJ22_RS00720
OG0000216	MFC_RS02080	ABKJ22_RS00715
OG0000217	MFC_RS02085	ABKJ22_RS00710
OG0000218	MFC_RS02095	ABKJ22_RS00700
OG0000219	MFC_RS02100	ABKJ22_RS00695
OG0000220	MFC_RS02105	ABKJ22_RS00690
OG0000221	MFC_RS02110	ABKJ22_RS00685
OG0000222	MFC_RS03235	ABKJ22_RS00680
OG0000223	MFC_RS02115	ABKJ22_RS00675
OG0000224	MFC_RS02125	ABKJ22_RS00665
OG0000225	MFC_RS02135	ABKJ22_RS00655
OG0000226	MFC_RS02140	ABKJ22_RS00650
OG0000227	MFC_RS02145	ABKJ22_RS00645
OG0000228	MFC_RS03530	ABKJ22_RS00640
OG0000229	MFC_RS02155	ABKJ22_RS00635
OG0000230	MFC_RS02160	ABKJ22_RS00630
OG0000231	MFC_RS02170	ABKJ22_RS00620
OG0000232	MFC_RS02180	ABKJ22_RS00610
OG0000233	MFC_RS02190	ABKJ22_RS01110
OG0000234	MFC_RS02220	ABKJ22_RS01145
OG0000235	MFC_RS02230	ABKJ22_RS01155
OG0000236	MFC_RS02235	ABKJ22_RS01160
OG0000237	MFC_RS02250	ABKJ22_RS01165
OG0000238	MFC_RS02255	ABKJ22_RS01170
OG0000239	MFC_RS02285	ABKJ22_RS02885
OG0000240	MFC_RS02290	ABKJ22_RS02890
OG0000241	MFC_RS02300	ABKJ22_RS02900
OG0000242	MFC_RS02305	ABKJ22_RS02905
OG0000243	MFC_RS02310	ABKJ22_RS02910
OG0000244	MFC_RS02320	ABKJ22_RS02920
OG0000245	MFC_RS02330	ABKJ22_RS02930
OG0000246	MFC_RS02345	ABKJ22_RS00135
OG0000247	MFC_RS02355	ABKJ22_RS00145
OG0000248	MFC_RS02380	ABKJ22_RS00155
OG0000249	MFC_RS02385	ABKJ22_RS00160
OG0000250	MFC_RS02400	ABKJ22_RS00175
OG0000251	MFC_RS02430	ABKJ22_RS00205
OG0000252	MFC_RS02440	ABKJ22_RS00215
OG0000253	MFC_RS02445	ABKJ22_RS00220
OG0000254	MFC_RS02455	ABKJ22_RS00230
OG0000255	MFC_RS02465	ABKJ22_RS00235
OG0000256	MFC_RS02470	ABKJ22_RS00240
OG0000257	MFC_RS02495	ABKJ22_RS00265
OG0000258	MFC_RS02505	ABKJ22_RS00275
OG0000259	MFC_RS02535	ABKJ22_RS00305
OG0000260	MFC_RS02545	ABKJ22_RS00315
OG0000261	MFC_RS02555	ABKJ22_RS00325
OG0000262	MFC_RS02570	ABKJ22_RS00340
OG0000263	MFC_RS02585	ABKJ22_RS00355
OG0000264	MFC_RS02600	ABKJ22_RS00370
OG0000265	MFC_RS02610	ABKJ22_RS00380
OG0000266	MFC_RS02625	ABKJ22_RS00395
OG0000267	MFC_RS02640	ABKJ22_RS00410
OG0000268	MFC_RS02645	ABKJ22_RS00415
OG0000269	MFC_RS02660	ABKJ22_RS00440
OG0000270	MFC_RS02720	ABKJ22_RS03375
OG0000271	MFC_RS02725	ABKJ22_RS03370
OG0000272	MFC_RS02730	ABKJ22_RS03365
OG0000273	MFC_RS02735	ABKJ22_RS03360
OG0000274	MFC_RS02755	ABKJ22_RS03340
OG0000275	MFC_RS03455	ABKJ22_RS03335
OG0000276	MFC_RS02765	ABKJ22_RS03330
OG0000277	MFC_RS02775	ABKJ22_RS03320
OG0000278	MFC_RS02780	ABKJ22_RS03315
OG0000279	MFC_RS02790	ABKJ22_RS03305
OG0000280	MFC_RS02795	ABKJ22_RS03300
OG0000281	MFC_RS03255	ABKJ22_RS03295
OG0000282	MFC_RS02820	ABKJ22_RS03270
OG0000283	MFC_RS02825	ABKJ22_RS03265
OG0000284	MFC_RS02830	ABKJ22_RS03260
OG0000285	MFC_RS02835	ABKJ22_RS03255
OG0000286	MFC_RS02865	ABKJ22_RS02370
OG0000287	MFC_RS02890	ABKJ22_RS02465
OG0000288	MFC_RS02900	ABKJ22_RS02475
OG0000289	MFC_RS02905	ABKJ22_RS02480
OG0000290	MFC_RS03030	ABKJ22_RS02590
OG0000291	MFC_RS03040	ABKJ22_RS02580
OG0000292	MFC_RS03045	ABKJ22_RS02575
OG0000293	MFC_RS03050	ABKJ22_RS02570
OG0000294	MFC_RS03060	ABKJ22_RS02560
OG0000295	MFC_RS03065	ABKJ22_RS02555
OG0000296	MFC_RS03110	ABKJ22_RS02515
OG0000297	MFC_RS03115	ABKJ22_RS02510
OG0000298	MFC_RS02395	ABKJ22_RS00170
OG0000299	MFC_RS02415	ABKJ22_RS00190
OG0000300	MFC_RS02595	ABKJ22_RS00365
OG0000301	MFC_RS02630	ABKJ22_RS00400
OG0000302	MFC_RS02635	ABKJ22_RS00405
OG0000303	MFC_RS00835	ABKJ22_RS00560
OG0000304	MFC_RS00865	ABKJ22_RS00605
OG0000305	MFC_RS01010	ABKJ22_RS02825
OG0000306	MFC_RS01090	ABKJ22_RS02745
OG0000307	MFC_RS01130	ABKJ22_RS02705
OG0000308	MFC_RS03020	ABKJ22_RS02610
OG0000309	MFC_RS03075	ABKJ22_RS02545
OG0000310	MFC_RS02895	ABKJ22_RS02470
OG0000311	MFC_RS01220	ABKJ22_RS02430
OG0000312	MFC_RS01240	ABKJ22_RS02415
OG0000313	MFC_RS01290	ABKJ22_RS01600
OG0000314	MFC_RS01360	ABKJ22_RS01930
OG0000315	MFC_RS01390	ABKJ22_RS01960
OG0000316	MFC_RS01400	ABKJ22_RS01970
OG0000317	MFC_RS00110	ABKJ22_RS02065
OG0000318	MFC_RS00020	ABKJ22_RS01975
OG0000319	MFC_RS00420	ABKJ22_RS02180
OG0000320	MFC_RS00485	ABKJ22_RS02315
OG0000321	MFC_RS00550	ABKJ22_RS01350
OG0000322	MFC_RS00595	ABKJ22_RS01395
OG0000323	MFC_RS00725	ABKJ22_RS01525
OG0000324	MFC_RS01775	ABKJ22_RS02140
OG0000325	MFC_RS01815	ABKJ22_RS01000
OG0000326	MFC_RS01905	ABKJ22_RS00905
OG0000327	MFC_RS01910	ABKJ22_RS00900
OG0000328	MFC_RS01995	ABKJ22_RS00815
OG0000329	MFC_RS02020	ABKJ22_RS00795
OG0000330	MFC_RS02200	ABKJ22_RS01120
OG0000331	MFC_RS02315	ABKJ22_RS02915
OG0000332	MFC_RS01505	ABKJ22_RS03015
OG0000333	MFC_RS01515	ABKJ22_RS03025
OG0000334	MFC_RS01585	ABKJ22_RS03110
OG0000335	MFC_RS01595	ABKJ22_RS03120
OG0000336	MFC_RS02805	ABKJ22_RS03285
OG0000337	MFC_RS00280	ABKJ22_RS03460
OG0000338	MFC_RS00240	ABKJ22_RS03500
OG0000339	MFC_RS00505	ABKJ22_RS02290
OG0000340	MFC_RS00530	ABKJ22_RS01330
OG0000341	MFC_RS01755	ABKJ22_RS02120
OG0000342	MFC_RS01845	ABKJ22_RS00970
OG0000343	MFC_RS01525	ABKJ22_RS03035
OG0000344	MFC_RS00850	ABKJ22_RS00575
OG0000345	MFC_RS02130	ABKJ22_RS00660
OG0000346	MFC_RS02800	ABKJ22_RS03290
OG0000347	MFC_RS00620	ABKJ22_RS01420
OG0000348	MFC_RS01915	ABKJ22_RS00895
OG0000349	MFC_RS02745	ABKJ22_RS03350
OG0000350	MFC_RS03345	ABKJ22_RS02695
OG0000351	MFC_RS00785	ABKJ22_RS00495
OG0000352	MFC_RS01340	ABKJ22_RS01910
OG0000353	MFC_RS00590	ABKJ22_RS01390
OG0000354	MFC_RS00900	ABKJ22_RS01065
OG0000355	MFC_RS01315	ABKJ22_RS01885
OG0000356	MFC_RS01395	ABKJ22_RS01965
OG0000357	MFC_RS01485	ABKJ22_RS02995
OG0000358	MFC_RS01490	ABKJ22_RS03000
OG0000359	MFC_RS01885	ABKJ22_RS00925
OG0000360	MFC_RS02500	ABKJ22_RS00270
OG0000361	MFC_RS02530	ABKJ22_RS00300
OG0000362	MFC_RS02915	ABKJ22_RS02490
OG0000363	MFC_RS00660	ABKJ22_RS01460
OG0000365	MFC_RS00050	ABKJ22_RS02015
OG0000366	MFC_RS00080	ABKJ22_RS02035
OG0000367	MFC_RS00090	ABKJ22_RS02045
OG0000368	MFC_RS00175	ABKJ22_RS00060
OG0000369	MFC_RS00210	ABKJ22_RS00025
OG0000370	MFC_RS00215	ABKJ22_RS00020
OG0000371	MFC_RS00220	ABKJ22_RS00015
OG0000372	MFC_RS00225	ABKJ22_RS00010
OG0000373	MFC_RS00250	ABKJ22_RS03490
OG0000374	MFC_RS00260	ABKJ22_RS03480
OG0000375	MFC_RS00415	ABKJ22_RS02185
OG0000376	MFC_RS00470	ABKJ22_RS02330
OG0000377	MFC_RS00480	ABKJ22_RS02320
OG0000378	MFC_RS00515	ABKJ22_RS01310
OG0000379	MFC_RS00585	ABKJ22_RS01385
OG0000380	MFC_RS00610	ABKJ22_RS01410
OG0000381	MFC_RS00650	ABKJ22_RS01450
OG0000382	MFC_RS00680	ABKJ22_RS01480
OG0000383	MFC_RS00720	ABKJ22_RS01520
OG0000384	MFC_RS00790	ABKJ22_RS00515
OG0000385	MFC_RS00795	ABKJ22_RS00520
OG0000386	MFC_RS00815	ABKJ22_RS00540
OG0000387	MFC_RS00840	ABKJ22_RS00565
OG0000388	MFC_RS00845	ABKJ22_RS00570
OG0000389	MFC_RS00880	ABKJ22_RS01085
OG0000390	MFC_RS00990	ABKJ22_RS02845
OG0000391	MFC_RS01000	ABKJ22_RS02835
OG0000392	MFC_RS01030	ABKJ22_RS02810
OG0000393	MFC_RS01080	ABKJ22_RS02755
OG0000394	MFC_RS01145	ABKJ22_RS02670
OG0000395	MFC_RS01150	ABKJ22_RS02665
OG0000396	MFC_RS01280	ABKJ22_RS02375
OG0000397	MFC_RS01325	ABKJ22_RS01895
OG0000398	MFC_RS01330	ABKJ22_RS01900
OG0000399	MFC_RS01375	ABKJ22_RS01945
OG0000400	MFC_RS01450	ABKJ22_RS02960
OG0000401	MFC_RS01510	ABKJ22_RS03020
OG0000402	MFC_RS01520	ABKJ22_RS03030
OG0000403	MFC_RS01530	ABKJ22_RS03040
OG0000404	MFC_RS03375, MFC_RS01555	ABKJ22_RS03065
OG0000405	MFC_RS01570	ABKJ22_RS03080
OG0000406	MFC_RS01600	ABKJ22_RS03125
OG0000407	MFC_RS01605	ABKJ22_RS03130
OG0000408	MFC_RS01610	ABKJ22_RS03135
OG0000409	MFC_RS01615	ABKJ22_RS03140
OG0000410	MFC_RS01650	ABKJ22_RS03195
OG0000411	MFC_RS01660	ABKJ22_RS03185
OG0000412	MFC_RS01665	ABKJ22_RS03180
OG0000413	MFC_RS01705	ABKJ22_RS01535
OG0000414	MFC_RS01715	ABKJ22_RS01545
OG0000415	MFC_RS01720	ABKJ22_RS01550
OG0000416	MFC_RS01730	ABKJ22_RS01560
OG0000417	MFC_RS01760	ABKJ22_RS02125
OG0000418	MFC_RS01765	ABKJ22_RS02130
OG0000419	MFC_RS01825	ABKJ22_RS00990
OG0000420	MFC_RS01860	ABKJ22_RS00955
OG0000421	MFC_RS01890	ABKJ22_RS00920
OG0000422	MFC_RS01900	ABKJ22_RS00910
OG0000423	MFC_RS01955	ABKJ22_RS00855
OG0000424	MFC_RS01960	ABKJ22_RS00850
OG0000425	MFC_RS01970	ABKJ22_RS00840
OG0000426	MFC_RS01975	ABKJ22_RS00835
OG0000427	MFC_RS02000	ABKJ22_RS00810
OG0000428	MFC_RS02030	ABKJ22_RS00785
OG0000429	MFC_RS02120	ABKJ22_RS00670
OG0000430	MFC_RS02165	ABKJ22_RS00625
OG0000431	MFC_RS02175	ABKJ22_RS00615
OG0000432	MFC_RS02195	ABKJ22_RS01115
OG0000433	MFC_RS02205	ABKJ22_RS01130
OG0000434	MFC_RS02210	ABKJ22_RS01135
OG0000435	MFC_RS02225	ABKJ22_RS01150
OG0000436	MFC_RS03535	ABKJ22_RS01175
OG0000437	MFC_RS02270	ABKJ22_RS01185
OG0000438	MFC_RS02275	ABKJ22_RS01190
OG0000439	MFC_RS02280	ABKJ22_RS01195
OG0000440	MFC_RS02295	ABKJ22_RS02895
OG0000441	MFC_RS02335	ABKJ22_RS02935
OG0000442	MFC_RS02350	ABKJ22_RS00140
OG0000443	MFC_RS02410	ABKJ22_RS00185
OG0000444	MFC_RS02425	ABKJ22_RS00200
OG0000445	MFC_RS02450	ABKJ22_RS00225
OG0000446	MFC_RS02480	ABKJ22_RS00250
OG0000447	MFC_RS02485	ABKJ22_RS00255
OG0000448	MFC_RS02515	ABKJ22_RS00285
OG0000449	MFC_RS02540	ABKJ22_RS00310
OG0000450	MFC_RS02550	ABKJ22_RS00320
OG0000451	MFC_RS02590	ABKJ22_RS00360
OG0000452	MFC_RS02615	ABKJ22_RS00385
OG0000453	MFC_RS02650	ABKJ22_RS00420
OG0000454	MFC_RS03435	ABKJ22_RS01580
OG0000455	MFC_RS02700	ABKJ22_RS03395
OG0000456	MFC_RS02815	ABKJ22_RS03275
OG0000457	MFC_RS02840	ABKJ22_RS03250
OG0000458	MFC_RS02885	ABKJ22_RS02460
OG0000459	MFC_RS02910	ABKJ22_RS02485
OG0000460	MFC_RS02920	ABKJ22_RS02495
OG0000461	MFC_RS03080	ABKJ22_RS02540
OG0000462	MFC_RS03085	ABKJ22_RS02535
OG0000463	MFC_RS03090	ABKJ22_RS02530
OG0000464	MFC_RS03100	ABKJ22_RS02525
OG0000465	MFC_RS03105	ABKJ22_RS02520
OG0000466	MFC_RS02620	ABKJ22_RS00390
OG0000467	MFC_RS03500	ABKJ22_RS02620
OG0000468	MFC_RS01370	ABKJ22_RS01940
OG0000469	MFC_RS00045	ABKJ22_RS02000
OG0000470	MFC_RS01950	ABKJ22_RS00860
OG0000471	MFC_RS02035	ABKJ22_RS00780
OG0000472	MFC_RS01680	ABKJ22_RS03205
OG0000473	MFC_RS02715	ABKJ22_RS03380
OG0000474	MFC_RS02710	ABKJ22_RS03385
OG0000475	MFC_RS02705	ABKJ22_RS03390
OG0000476	MFC_RS00345	ABKJ22_RS01570
OG0000477	MFC_RS03055	ABKJ22_RS02565
OG0000478	MFC_RS02770	ABKJ22_RS03325
OG0000479	MFC_RS00545	ABKJ22_RS01345
OG0000480	MFC_RS03300	ABKJ22_RS02005
OG0000481	MFC_RS01925	ABKJ22_RS00885
OG0000482	MFC_RS01790	ABKJ22_RS01225
OG0000483	MFC_RS00095	ABKJ22_RS02050
OG0000484	MFC_RS02420	ABKJ22_RS00195
OG0000487	MFC_RS00025	ABKJ22_RS01980
OG0000488	MFC_RS00065	ABKJ22_RS02020
OG0000489	MFC_RS00185	ABKJ22_RS00050
OG0000490	MFC_RS00245	ABKJ22_RS03495
OG0000491	MFC_RS00565	ABKJ22_RS01365
OG0000492	MFC_RS00640	ABKJ22_RS01440
OG0000493	MFC_RS00855	ABKJ22_RS00580
OG0000494	MFC_RS00905	ABKJ22_RS01060
OG0000495	MFC_RS01055	ABKJ22_RS02780
OG0000496	MFC_RS01065	ABKJ22_RS02770
OG0000497	MFC_RS01070	ABKJ22_RS02765
OG0000498	MFC_RS01140	ABKJ22_RS02675
OG0000499	MFC_RS01185	ABKJ22_RS02640
OG0000500	MFC_RS01335	ABKJ22_RS01905
OG0000501	MFC_RS01460	ABKJ22_RS02970
OG0000502	MFC_RS01800	ABKJ22_RS01215
OG0000503	MFC_RS01870	ABKJ22_RS00940
OG0000504	MFC_RS02005	ABKJ22_RS00805
OG0000505	MFC_RS02045	ABKJ22_RS00755
OG0000506	MFC_RS02055	ABKJ22_RS00740
OG0000507	MFC_RS02090	ABKJ22_RS00705
OG0000508	MFC_RS02475	ABKJ22_RS00245
OG0000509	MFC_RS02510	ABKJ22_RS00280
OG0000510	MFC_RS02520	ABKJ22_RS00290
OG0000511	MFC_RS02655	ABKJ22_RS00435
OG0000512	MFC_RS02925	ABKJ22_RS02500
OG0000513	MFC_RS02785	ABKJ22_RS03310
OG0000516	MFC_RS00030	ABKJ22_RS01985
OG0000517	MFC_RS00170	ABKJ22_RS00065
OG0000518	MFC_RS01500	ABKJ22_RS03010
OG0000519	MFC_RS01895	ABKJ22_RS00915
OG0000520	MFC_RS02025	ABKJ22_RS00790
OG0000521	MFC_RS02490	ABKJ22_RS00260
OG0000522	MFC_RS02525	ABKJ22_RS00295
OG0000523	MFC_RS02845	ABKJ22_RS03245
