Orthogroup	MFC_ATCC27716_genes	MHP_KM014_genes
OG0000236	MFC_RS02235	CIB43_RS02010
OG0000237	MFC_RS02250	CIB43_RS02015
OG0000238	MFC_RS02255	CIB43_RS02025
OG0000239	MFC_RS02285	CIB43_RS03860
OG0000240	MFC_RS02290	CIB43_RS03870
OG0000241	MFC_RS02300	CIB43_RS03875
OG0000242	MFC_RS02305	CIB43_RS03880
OG0000243	MFC_RS02310	CIB43_RS03885
OG0000244	MFC_RS02320	CIB43_RS03900
OG0000245	MFC_RS02330	CIB43_RS03905
OG0000246	MFC_RS02345	CIB43_RS00845
OG0000247	MFC_RS02355	CIB43_RS00850
OG0000248	MFC_RS02380	CIB43_RS00875
OG0000250	MFC_RS02400	CIB43_RS00885
OG0000251	MFC_RS02430	CIB43_RS00925
OG0000252	MFC_RS02440	CIB43_RS00930
OG0000253	MFC_RS02445	CIB43_RS00940
OG0000254	MFC_RS02455	CIB43_RS00950
OG0000255	MFC_RS02465	CIB43_RS00955
OG0000256	MFC_RS02470	CIB43_RS00960
OG0000257	MFC_RS02495	CIB43_RS00985
OG0000258	MFC_RS02505	CIB43_RS01015
OG0000259	MFC_RS02535	CIB43_RS01030
OG0000260	MFC_RS02545	CIB43_RS01045
OG0000262	MFC_RS02570	CIB43_RS01075
OG0000263	MFC_RS02585	CIB43_RS01080
OG0000264	MFC_RS02600	CIB43_RS01100
OG0000265	MFC_RS02610	CIB43_RS01110
OG0000266	MFC_RS02625	CIB43_RS01120
OG0000267	MFC_RS02640	CIB43_RS01135
OG0000268	MFC_RS02645	CIB43_RS01305
OG0000269	MFC_RS02660	CIB43_RS01320
OG0000270	MFC_RS02720	CIB43_RS00575
OG0000271	MFC_RS02725	CIB43_RS00570
OG0000272	MFC_RS02730	CIB43_RS00565
OG0000273	MFC_RS02735	CIB43_RS00560
OG0000274	MFC_RS02755	CIB43_RS00545
OG0000275	MFC_RS03455	CIB43_RS00535
OG0000276	MFC_RS02765	CIB43_RS00530
OG0000277	MFC_RS02775	CIB43_RS00525
OG0000278	MFC_RS02780	CIB43_RS00515
OG0000279	MFC_RS02790	CIB43_RS00510
OG0000280	MFC_RS02795	CIB43_RS00500
OG0000281	MFC_RS03255	CIB43_RS00495
OG0000283	MFC_RS02825	CIB43_RS00475
OG0000284	MFC_RS02830	CIB43_RS00460
OG0000285	MFC_RS02835	CIB43_RS00455
OG0000286	MFC_RS02865	CIB43_RS03345
OG0000287	MFC_RS02890	CIB43_RS03440
OG0000288	MFC_RS02900	CIB43_RS03450
OG0000289	MFC_RS02905	CIB43_RS03455
OG0000290	MFC_RS03030	CIB43_RS03565
OG0000291	MFC_RS03040	CIB43_RS03560
OG0000292	MFC_RS03045	CIB43_RS03550
OG0000293	MFC_RS03050	CIB43_RS03545
OG0000294	MFC_RS03060	CIB43_RS03540
OG0000295	MFC_RS03065	CIB43_RS03530
OG0000296	MFC_RS03110	CIB43_RS03495
OG0000297	MFC_RS03115	CIB43_RS03485
OG0000298	MFC_RS02395	CIB43_RS00880
OG0000299	MFC_RS02415	CIB43_RS00915
OG0000300	MFC_RS02595	CIB43_RS01090
OG0000301	MFC_RS02630	CIB43_RS01125
OG0000302	MFC_RS02635	CIB43_RS01130
OG0000303	MFC_RS00835	CIB43_RS01455
OG0000304	MFC_RS00865	CIB43_RS01950
OG0000305	MFC_RS01010	CIB43_RS03795
OG0000306	MFC_RS01090	CIB43_RS03725
OG0000307	MFC_RS01130	CIB43_RS03685
OG0000308	MFC_RS03020	CIB43_RS03600
OG0000309	MFC_RS03075	CIB43_RS03520
OG0000310	MFC_RS02895	CIB43_RS03445
OG0000311	MFC_RS01220	CIB43_RS03405
OG0000312	MFC_RS01240	CIB43_RS03390
OG0000313	MFC_RS01290	CIB43_RS02485
OG0000314	MFC_RS01360	CIB43_RS02855
OG0000315	MFC_RS01390	CIB43_RS02885
OG0000316	MFC_RS01400	CIB43_RS02895
OG0000317	MFC_RS00110	CIB43_RS02985
OG0000318	MFC_RS00020	CIB43_RS02900
OG0000319	MFC_RS00420	CIB43_RS03125
OG0000320	MFC_RS00485	CIB43_RS03270
OG0000321	MFC_RS00550	CIB43_RS02200
OG0000322	MFC_RS00595	CIB43_RS02245
OG0000323	MFC_RS00725	CIB43_RS02375
OG0000324	MFC_RS01775	CIB43_RS03170
OG0000325	MFC_RS01815	CIB43_RS01570
OG0000326	MFC_RS01905	CIB43_RS01665
OG0000327	MFC_RS01910	CIB43_RS01670
OG0000328	MFC_RS01995	CIB43_RS01760
OG0000329	MFC_RS02020	CIB43_RS01775
OG0000330	MFC_RS02200	CIB43_RS01970
OG0000331	MFC_RS02315	CIB43_RS03890
OG0000332	MFC_RS01505	CIB43_RS00200
OG0000333	MFC_RS01515	CIB43_RS00210
OG0000334	MFC_RS01585	CIB43_RS00315
OG0000335	MFC_RS01595	CIB43_RS00340
OG0000336	MFC_RS02805	CIB43_RS00485
OG0000337	MFC_RS00280	CIB43_RS00655
OG0000338	MFC_RS00240	CIB43_RS00695
OG0000339	MFC_RS00505	CIB43_RS03235
OG0000340	MFC_RS00530	CIB43_RS02185
OG0000341	MFC_RS01755	CIB43_RS03190
OG0000342	MFC_RS01845	CIB43_RS01600
OG0000343	MFC_RS01525	CIB43_RS00215
OG0000344	MFC_RS00850	CIB43_RS01465
OG0000345	MFC_RS02130	CIB43_RS01890
OG0000346	MFC_RS02800	CIB43_RS00490
OG0000347	MFC_RS00620	CIB43_RS02270
OG0000348	MFC_RS01915	CIB43_RS01685
OG0000349	MFC_RS02745	CIB43_RS00550
OG0000350	MFC_RS03345	CIB43_RS03675
OG0000351	MFC_RS00785	CIB43_RS01385
OG0000352	MFC_RS01340	CIB43_RS02830
OG0000353	MFC_RS00590	CIB43_RS02240
OG0000354	MFC_RS00900	CIB43_RS01515
OG0000355	MFC_RS01315	CIB43_RS02805
OG0000356	MFC_RS01395	CIB43_RS02890
OG0000357	MFC_RS01485	CIB43_RS00175
OG0000358	MFC_RS01490	CIB43_RS00180
OG0000359	MFC_RS01885	CIB43_RS01650
OG0000360	MFC_RS02500	CIB43_RS00990
OG0000361	MFC_RS02530	CIB43_RS01020
OG0000362	MFC_RS02915	CIB43_RS03475
OG0000363	MFC_RS00660	CIB43_RS02310
OG0000369	MFC_RS00210	CIB43_RS00725
OG0000370	MFC_RS00215	CIB43_RS00720
OG0000378	MFC_RS00515	CIB43_RS02160
OG0000379	MFC_RS00585	CIB43_RS02235
OG0000380	MFC_RS00610	CIB43_RS02260
OG0000381	MFC_RS00650	CIB43_RS02300
OG0000385	MFC_RS00795	CIB43_RS01405
OG0000389	MFC_RS00880	CIB43_RS01490
OG0000394	MFC_RS01145	CIB43_RS03660
OG0000396	MFC_RS01280	CIB43_RS03350
OG0000403	MFC_RS01530	CIB43_RS00220
OG0000404	MFC_RS03375, MFC_RS01555	CIB43_RS00250
OG0000405	MFC_RS01570	CIB43_RS00265
OG0000409	MFC_RS01615	CIB43_RS00345
OG0000412	MFC_RS01665	CIB43_RS00390
OG0000417	MFC_RS01760	CIB43_RS03185
OG0000428	MFC_RS02030	CIB43_RS01785
OG0000429	MFC_RS02120	CIB43_RS01885
OG0000430	MFC_RS02165	CIB43_RS01925
OG0000434	MFC_RS02210	CIB43_RS01985
OG0000436	MFC_RS03535	CIB43_RS02030
OG0000437	MFC_RS02270	CIB43_RS02065
OG0000441	MFC_RS02335	CIB43_RS03910
OG0000451	MFC_RS02590	CIB43_RS01085
OG0000453	MFC_RS02650	CIB43_RS01315
OG0000457	MFC_RS02840	CIB43_RS00450
OG0000459	MFC_RS02910	CIB43_RS03460
OG0000463	MFC_RS03090	CIB43_RS03515
OG0000464	MFC_RS03100	CIB43_RS03500
OG0000466	MFC_RS02620	CIB43_RS01115
OG0000468	MFC_RS01370	CIB43_RS02870
OG0000471	MFC_RS02035	CIB43_RS01790
OG0000473	MFC_RS02715	CIB43_RS00580
OG0000474	MFC_RS02710	CIB43_RS00585
OG0000475	MFC_RS02705	CIB43_RS00595
OG0000482	MFC_RS01790	CIB43_RS02080
OG0000487	MFC_RS00025	CIB43_RS02915
OG0000488	MFC_RS00065	CIB43_RS02940
OG0000489	MFC_RS00185	CIB43_RS00750
OG0000491	MFC_RS00565	CIB43_RS02220
OG0000492	MFC_RS00640	CIB43_RS02290
OG0000495	MFC_RS01055	CIB43_RS03750
OG0000502	MFC_RS01800	CIB43_RS02070
OG0000504	MFC_RS02005	CIB43_RS01770
OG0000506	MFC_RS02055	CIB43_RS01810
OG0000508	MFC_RS02475	CIB43_RS00980
OG0000517	MFC_RS00170	CIB43_RS00765
OG0000519	MFC_RS01895	CIB43_RS01660
OG0000520	MFC_RS02025	CIB43_RS01780
OG0000523	MFC_RS02845	CIB43_RS00445
OG0000529	MFC_RS00430	CIB43_RS03135
OG0000530	MFC_RS00495	CIB43_RS03250
OG0000531	MFC_RS00615	CIB43_RS02265
OG0000537	MFC_RS01840	CIB43_RS01595
OG0000538	MFC_RS02215	CIB43_RS01990
OG0000589	MFC_RS03260	CIB43_RS03055
OG0000595	MFC_RS01440	CIB43_RS03920
OG0000597	MFC_RS01435	CIB43_RS03915
