Orthogroup	MFC_ATCC27716_genes	MHP_UFV01_genes
OG0000068	MFC_RS00910	FEF30_RS00960
OG0000069	MFC_RS01075	FEF30_RS03195
OG0000070	MFC_RS01215	FEF30_RS02850
OG0000071	MFC_RS01630	FEF30_RS03610
OG0000072	MFC_RS01635	FEF30_RS04405
OG0000073	MFC_RS03395, MFC_RS03390	FEF30_RS01015
OG0000074	MFC_RS03400	FEF30_RS04230
OG0000075	MFC_RS02565	FEF30_RS00655
OG0000076	MFC_RS02580	FEF30_RS00670
OG0000077	MFC_RS02670	FEF30_RS00755
OG0000079	MFC_RS02930, MFC_RS03120	FEF30_RS02935
OG0000080	MFC_RS03315	FEF30_RS02980
OG0000081	MFC_RS03430, MFC_RS02560	FEF30_RS00650
OG0000082	MFC_RS02870	FEF30_RS02770
OG0000083	MFC_RS00040	FEF30_RS02400
OG0000084	MFC_RS00070	FEF30_RS02430
OG0000085	MFC_RS00075	FEF30_RS02435
OG0000086	MFC_RS00085	FEF30_RS02445
OG0000087	MFC_RS03320	FEF30_RS02460
OG0000088	MFC_RS00105	FEF30_RS02465
OG0000089	MFC_RS00115	FEF30_RS02475
OG0000090	MFC_RS00165	FEF30_RS00400
OG0000091	MFC_RS00180	FEF30_RS00385
OG0000092	MFC_RS00195	FEF30_RS00370
OG0000093	MFC_RS00200	FEF30_RS00365
OG0000094	MFC_RS00205	FEF30_RS00360
OG0000095	MFC_RS00230	FEF30_RS00335
OG0000096	MFC_RS00235	FEF30_RS00330
OG0000097	MFC_RS00255	FEF30_RS00310
OG0000098	MFC_RS00265	FEF30_RS00300
OG0000099	MFC_RS00320	FEF30_RS04160
OG0000100	MFC_RS00335	FEF30_RS00240
OG0000101	MFC_RS00340	FEF30_RS00235
OG0000102	MFC_RS00350	FEF30_RS02020
OG0000103	MFC_RS00405	FEF30_RS02590
OG0000104	MFC_RS00410	FEF30_RS02595
OG0000105	MFC_RS00425	FEF30_RS02610
OG0000106	MFC_RS00435	FEF30_RS02620
OG0000107	MFC_RS00445	FEF30_RS02630
OG0000108	MFC_RS00450	FEF30_RS02635
OG0000109	MFC_RS00455	FEF30_RS02640
OG0000110	MFC_RS00460	FEF30_RS02760
OG0000111	MFC_RS00465	FEF30_RS02755
OG0000112	MFC_RS00475	FEF30_RS02745
OG0000113	MFC_RS00490	FEF30_RS02725
OG0000114	MFC_RS00500	FEF30_RS02715
OG0000115	MFC_RS00510	FEF30_RS02705
OG0000116	MFC_RS00520	FEF30_RS01610
OG0000117	MFC_RS00525	FEF30_RS01615
OG0000118	MFC_RS00555	FEF30_RS01650
OG0000119	MFC_RS00560	FEF30_RS01655
OG0000120	MFC_RS00575	FEF30_RS01675
OG0000121	MFC_RS00600	FEF30_RS01700
OG0000122	MFC_RS00605	FEF30_RS01705
OG0000123	MFC_RS00625	FEF30_RS01725
OG0000124	MFC_RS00630	FEF30_RS01730
OG0000125	MFC_RS00635	FEF30_RS01735
OG0000126	MFC_RS00645	FEF30_RS01745
OG0000127	MFC_RS00655	FEF30_RS01755
OG0000128	MFC_RS00670	FEF30_RS01770
OG0000129	MFC_RS00675	FEF30_RS01775
OG0000130	MFC_RS00685	FEF30_RS01785
OG0000131	MFC_RS00715	FEF30_RS04265
OG0000132	MFC_RS00735	FEF30_RS04270
OG0000133	MFC_RS00805	FEF30_RS00840
OG0000134	MFC_RS00810	FEF30_RS00845
OG0000135	MFC_RS00825	FEF30_RS00860
OG0000136	MFC_RS00830	FEF30_RS00865
OG0000137	MFC_RS00860	FEF30_RS00905
OG0000138	MFC_RS00885	FEF30_RS00935
OG0000139	MFC_RS00915	FEF30_RS00965
OG0000140	MFC_RS00920	FEF30_RS00970
OG0000141	MFC_RS00955	FEF30_RS03310
OG0000142	MFC_RS00960	FEF30_RS04385
OG0000143	MFC_RS00985	FEF30_RS03285
OG0000144	MFC_RS00995	FEF30_RS03275
OG0000145	MFC_RS01005	FEF30_RS03265
OG0000146	MFC_RS01015	FEF30_RS03255
OG0000147	MFC_RS01020	FEF30_RS03250
OG0000148	MFC_RS01035	FEF30_RS03235
OG0000149	MFC_RS01045	FEF30_RS03225
OG0000150	MFC_RS01060	FEF30_RS03210
OG0000151	MFC_RS01115	FEF30_RS03160
OG0000152	MFC_RS01120	FEF30_RS03155
OG0000153	MFC_RS01125	FEF30_RS03150
OG0000154	MFC_RS01135	FEF30_RS03140
OG0000155	MFC_RS01155	FEF30_RS03100
OG0000156	MFC_RS01175	FEF30_RS03090
OG0000157	MFC_RS01180	FEF30_RS04375
OG0000158	MFC_RS01190	FEF30_RS04370
OG0000159	MFC_RS01245	FEF30_RS02835
OG0000160	MFC_RS01250	FEF30_RS02830
OG0000161	MFC_RS01255	FEF30_RS02825
OG0000162	MFC_RS01265	FEF30_RS02815
OG0000163	MFC_RS01270	FEF30_RS02810
OG0000164	MFC_RS01300	FEF30_RS01925
OG0000165	MFC_RS01345	FEF30_RS02320
OG0000166	MFC_RS01365	FEF30_RS02340
OG0000167	MFC_RS01380	FEF30_RS02355
OG0000168	MFC_RS01385	FEF30_RS02360
OG0000169	MFC_RS01430	FEF30_RS03395
OG0000170	MFC_RS01455	FEF30_RS04475
OG0000171	MFC_RS01465	FEF30_RS03420
OG0000172	MFC_RS01470	FEF30_RS03425
OG0000173	MFC_RS01475	FEF30_RS03430
OG0000174	MFC_RS01480	FEF30_RS03435
OG0000175	MFC_RS01495	FEF30_RS03450
OG0000176	MFC_RS01540	FEF30_RS03495
OG0000177	MFC_RS01545	FEF30_RS03500
OG0000178	MFC_RS01550	FEF30_RS03505
OG0000179	MFC_RS01560	FEF30_RS03515
OG0000180	MFC_RS01565	FEF30_RS03520
OG0000181	MFC_RS01580	FEF30_RS04395
OG0000182	MFC_RS01590	FEF30_RS03570
OG0000183	MFC_RS01625	FEF30_RS03605
OG0000184	MFC_RS01655	FEF30_RS00025
OG0000185	MFC_RS01670	FEF30_RS00010
OG0000186	MFC_RS01710	FEF30_RS04275
OG0000187	MFC_RS01725	FEF30_RS01855
OG0000188	MFC_RS01735	FEF30_RS01865
OG0000189	MFC_RS03385	FEF30_RS04355
OG0000190	MFC_RS01750	FEF30_RS02670
OG0000191	MFC_RS01770	FEF30_RS02650
OG0000192	MFC_RS01780	FEF30_RS01530
OG0000193	MFC_RS01795	FEF30_RS01515
OG0000194	MFC_RS01805	FEF30_RS01000
OG0000195	MFC_RS01810	FEF30_RS01005
OG0000196	MFC_RS01830	FEF30_RS01025
OG0000197	MFC_RS01835	FEF30_RS01030
OG0000198	MFC_RS01850	FEF30_RS01045
OG0000199	MFC_RS01855	FEF30_RS01050
OG0000200	MFC_RS01865	FEF30_RS01065
OG0000201	MFC_RS01875	FEF30_RS01075
OG0000202	MFC_RS01930	FEF30_RS01130
OG0000203	MFC_RS01935	FEF30_RS01135
OG0000204	MFC_RS01940	FEF30_RS01140
OG0000205	MFC_RS01945	FEF30_RS01145
OG0000206	MFC_RS01965	FEF30_RS01165
OG0000207	MFC_RS01980	FEF30_RS01180
OG0000208	MFC_RS01985	FEF30_RS01185
OG0000209	MFC_RS01990	FEF30_RS01190
OG0000210	MFC_RS02040	FEF30_RS01235
OG0000211	MFC_RS02050	FEF30_RS01245
OG0000212	MFC_RS02060	FEF30_RS01255
OG0000213	MFC_RS02065	FEF30_RS01260
OG0000214	MFC_RS02070	FEF30_RS01265
OG0000215	MFC_RS02075	FEF30_RS01270
OG0000216	MFC_RS02080	FEF30_RS01275
OG0000217	MFC_RS02085	FEF30_RS01280
OG0000218	MFC_RS02095	FEF30_RS01290
OG0000219	MFC_RS02100	FEF30_RS01295
OG0000220	MFC_RS02105	FEF30_RS01300
OG0000221	MFC_RS02110	FEF30_RS01305
OG0000222	MFC_RS03235	FEF30_RS01310
OG0000223	MFC_RS02115	FEF30_RS01315
OG0000224	MFC_RS02125	FEF30_RS01325
OG0000225	MFC_RS02135	FEF30_RS01335
OG0000226	MFC_RS02140	FEF30_RS01340
OG0000227	MFC_RS02145	FEF30_RS01345
OG0000228	MFC_RS03530	FEF30_RS04410
OG0000229	MFC_RS02155	FEF30_RS01355
OG0000230	MFC_RS02160	FEF30_RS01360
OG0000231	MFC_RS02170	FEF30_RS01370
OG0000232	MFC_RS02180	FEF30_RS01380
OG0000233	MFC_RS02190	FEF30_RS01405
OG0000234	MFC_RS02220	FEF30_RS01440
OG0000235	MFC_RS02230	FEF30_RS01450
OG0000236	MFC_RS02235	FEF30_RS01455
OG0000237	MFC_RS02250	FEF30_RS01460
OG0000238	MFC_RS02255	FEF30_RS01465
OG0000239	MFC_RS02285	FEF30_RS03320
OG0000240	MFC_RS02290	FEF30_RS03325
OG0000241	MFC_RS02300	FEF30_RS03335
OG0000242	MFC_RS02305	FEF30_RS03340
OG0000243	MFC_RS02310	FEF30_RS03345
OG0000244	MFC_RS02320	FEF30_RS03355
OG0000245	MFC_RS02330	FEF30_RS03365
OG0000246	MFC_RS02345	FEF30_RS00455
OG0000247	MFC_RS02355	FEF30_RS00465
OG0000248	MFC_RS02380	FEF30_RS00475
OG0000249	MFC_RS02385	FEF30_RS03675, FEF30_RS00480
OG0000250	MFC_RS02400	FEF30_RS00495
OG0000251	MFC_RS02430	FEF30_RS00525
OG0000252	MFC_RS02440	FEF30_RS00535
OG0000253	MFC_RS02445	FEF30_RS00540
OG0000254	MFC_RS02455	FEF30_RS00550
OG0000255	MFC_RS02465	FEF30_RS00555
OG0000256	MFC_RS02470	FEF30_RS00560
OG0000257	MFC_RS02495	FEF30_RS00585
OG0000258	MFC_RS02505	FEF30_RS00595
OG0000259	MFC_RS02535	FEF30_RS00625
OG0000260	MFC_RS02545	FEF30_RS00635
OG0000261	MFC_RS02555	FEF30_RS04195
OG0000262	MFC_RS02570	FEF30_RS00660
OG0000263	MFC_RS02585	FEF30_RS00675
OG0000264	MFC_RS02600	FEF30_RS00690
OG0000265	MFC_RS02610	FEF30_RS00700
OG0000266	MFC_RS02625	FEF30_RS00715
OG0000267	MFC_RS02640	FEF30_RS00730
OG0000268	MFC_RS02645	FEF30_RS00735
OG0000269	MFC_RS02660	FEF30_RS00750
OG0000270	MFC_RS02720	FEF30_RS04155
OG0000271	MFC_RS02725	FEF30_RS00205
OG0000272	MFC_RS02730	FEF30_RS00200
OG0000273	MFC_RS02735	FEF30_RS00195
OG0000274	MFC_RS02755	FEF30_RS00175
OG0000275	MFC_RS03455	FEF30_RS04145
OG0000276	MFC_RS02765	FEF30_RS00165
OG0000277	MFC_RS02775	FEF30_RS00155
OG0000278	MFC_RS02780	FEF30_RS00150
OG0000279	MFC_RS02790	FEF30_RS00140
OG0000280	MFC_RS02795	FEF30_RS00135
OG0000281	MFC_RS03255	FEF30_RS00130
OG0000282	MFC_RS02820	FEF30_RS04135
OG0000283	MFC_RS02825	FEF30_RS00100
OG0000284	MFC_RS02830	FEF30_RS00095
OG0000285	MFC_RS02835	FEF30_RS04130
OG0000286	MFC_RS02865	FEF30_RS02795
OG0000287	MFC_RS02890	FEF30_RS02895
OG0000288	MFC_RS02900	FEF30_RS02905
OG0000289	MFC_RS02905	FEF30_RS02910
OG0000290	MFC_RS03030	FEF30_RS03020
OG0000291	MFC_RS03040	FEF30_RS03010
OG0000292	MFC_RS03045	FEF30_RS03005
OG0000293	MFC_RS03050	FEF30_RS03000
OG0000294	MFC_RS03060	FEF30_RS02990
OG0000295	MFC_RS03065	FEF30_RS02985
OG0000296	MFC_RS03110	FEF30_RS02945
OG0000297	MFC_RS03115	FEF30_RS02940
OG0000298	MFC_RS02395	FEF30_RS00490
OG0000299	MFC_RS02415	FEF30_RS00510
OG0000300	MFC_RS02595	FEF30_RS00685
OG0000301	MFC_RS02630	FEF30_RS00720
OG0000302	MFC_RS02635	FEF30_RS00725
OG0000303	MFC_RS00835	FEF30_RS00870
OG0000304	MFC_RS00865	FEF30_RS01385
OG0000305	MFC_RS01010	FEF30_RS03260
OG0000306	MFC_RS01090	FEF30_RS03185
OG0000307	MFC_RS01130	FEF30_RS03145
OG0000308	MFC_RS03020	FEF30_RS03040
OG0000309	MFC_RS03075	FEF30_RS02975
OG0000310	MFC_RS02895	FEF30_RS02900
OG0000311	MFC_RS01220	FEF30_RS02855
OG0000312	MFC_RS01240	FEF30_RS02840
OG0000313	MFC_RS01290	FEF30_RS01915
OG0000314	MFC_RS01360	FEF30_RS02335
OG0000315	MFC_RS01390	FEF30_RS02365
OG0000316	MFC_RS01400	FEF30_RS02375
OG0000317	MFC_RS00110	FEF30_RS02470
OG0000318	MFC_RS00020	FEF30_RS04320
OG0000319	MFC_RS00420	FEF30_RS02605
OG0000320	MFC_RS00485	FEF30_RS02735
OG0000321	MFC_RS00550	FEF30_RS01645
OG0000322	MFC_RS00595	FEF30_RS01695
OG0000323	MFC_RS00725	FEF30_RS01825
OG0000324	MFC_RS01775	FEF30_RS02645
OG0000325	MFC_RS01815	FEF30_RS01010
OG0000326	MFC_RS01905	FEF30_RS01105
OG0000327	MFC_RS01910	FEF30_RS01110
OG0000328	MFC_RS01995	FEF30_RS01195
OG0000329	MFC_RS02020	FEF30_RS01215
OG0000330	MFC_RS02200	FEF30_RS01415
OG0000331	MFC_RS02315	FEF30_RS03350
OG0000332	MFC_RS01505	FEF30_RS03460
OG0000333	MFC_RS01515	FEF30_RS03470
OG0000334	MFC_RS01585	FEF30_RS03565
OG0000335	MFC_RS01595	FEF30_RS03575
OG0000336	MFC_RS02805	FEF30_RS04140
OG0000337	MFC_RS00280	FEF30_RS00285
OG0000338	MFC_RS00240	FEF30_RS00325
OG0000339	MFC_RS00505	FEF30_RS02710
OG0000340	MFC_RS00530	FEF30_RS01625
OG0000341	MFC_RS01755	FEF30_RS02665
OG0000342	MFC_RS01845	FEF30_RS01040
OG0000343	MFC_RS01525	FEF30_RS03480
OG0000344	MFC_RS00850	FEF30_RS00885
OG0000345	MFC_RS02130	FEF30_RS01330
OG0000346	MFC_RS02800	FEF30_RS00125
OG0000347	MFC_RS00620	FEF30_RS01720
OG0000348	MFC_RS01915	FEF30_RS01115
OG0000349	MFC_RS02745	FEF30_RS04150
OG0000350	MFC_RS03345	FEF30_RS03135
OG0000351	MFC_RS00785	FEF30_RS00805
OG0000352	MFC_RS01340	FEF30_RS02315
OG0000353	MFC_RS00590	FEF30_RS01690
OG0000354	MFC_RS00900	FEF30_RS00950
OG0000355	MFC_RS01315	FEF30_RS04310
OG0000356	MFC_RS01395	FEF30_RS04315
OG0000357	MFC_RS01485	FEF30_RS04390
OG0000358	MFC_RS01490	FEF30_RS03445
OG0000359	MFC_RS01885	FEF30_RS04215
OG0000360	MFC_RS02500	FEF30_RS00590
OG0000361	MFC_RS02530	FEF30_RS00620
OG0000362	MFC_RS02915	FEF30_RS02920
OG0000363	MFC_RS00660	FEF30_RS01760
OG0000365	MFC_RS00050	FEF30_RS04335
OG0000366	MFC_RS00080	FEF30_RS02440
OG0000367	MFC_RS00090	FEF30_RS02450
OG0000368	MFC_RS00175	FEF30_RS00390
OG0000369	MFC_RS00210	FEF30_RS04170
OG0000370	MFC_RS00215	FEF30_RS00350
OG0000371	MFC_RS00220	FEF30_RS00345
OG0000372	MFC_RS00225	FEF30_RS00340
OG0000373	MFC_RS00250	FEF30_RS00315
OG0000374	MFC_RS00260	FEF30_RS00305
OG0000375	MFC_RS00415	FEF30_RS02600
OG0000376	MFC_RS00470	FEF30_RS02750
OG0000377	MFC_RS00480	FEF30_RS02740
OG0000378	MFC_RS00515	FEF30_RS01605
OG0000379	MFC_RS00585	FEF30_RS01685
OG0000380	MFC_RS00610	FEF30_RS01710
OG0000381	MFC_RS00650	FEF30_RS01750
OG0000382	MFC_RS00680	FEF30_RS01780
OG0000383	MFC_RS00720	FEF30_RS01820
OG0000384	MFC_RS00790	FEF30_RS00825
OG0000385	MFC_RS00795	FEF30_RS00830
OG0000386	MFC_RS00815	FEF30_RS00850
OG0000387	MFC_RS00840	FEF30_RS00875
OG0000388	MFC_RS00845	FEF30_RS04205
OG0000389	MFC_RS00880	FEF30_RS00930
OG0000390	MFC_RS00990	FEF30_RS03280
OG0000391	MFC_RS01000	FEF30_RS03270
OG0000392	MFC_RS01030	FEF30_RS03245
OG0000393	MFC_RS01080	FEF30_RS04380
OG0000394	MFC_RS01145	FEF30_RS03110
OG0000395	MFC_RS01150	FEF30_RS03105
OG0000396	MFC_RS01280	FEF30_RS02800
OG0000397	MFC_RS01325	FEF30_RS02300
OG0000398	MFC_RS01330	FEF30_RS02305
OG0000399	MFC_RS01375	FEF30_RS02350
OG0000400	MFC_RS01450	FEF30_RS03405
OG0000401	MFC_RS01510	FEF30_RS03465
OG0000402	MFC_RS01520	FEF30_RS03475
OG0000403	MFC_RS01530	FEF30_RS03485
OG0000404	MFC_RS03375, MFC_RS01555	FEF30_RS03510
OG0000405	MFC_RS01570	FEF30_RS04480
OG0000406	MFC_RS01600	FEF30_RS03580
OG0000407	MFC_RS01605	FEF30_RS04400
OG0000408	MFC_RS01610	FEF30_RS03590
OG0000409	MFC_RS01615	FEF30_RS03595
OG0000410	MFC_RS01650	FEF30_RS00030
OG0000411	MFC_RS01660	FEF30_RS00020
OG0000412	MFC_RS01665	FEF30_RS00015
OG0000413	MFC_RS01705	FEF30_RS01835
OG0000414	MFC_RS01715	FEF30_RS01845
OG0000415	MFC_RS01720	FEF30_RS01850
OG0000416	MFC_RS01730	FEF30_RS01860
OG0000417	MFC_RS01760	FEF30_RS02660
OG0000418	MFC_RS01765	FEF30_RS02655
OG0000419	MFC_RS01825	FEF30_RS01020
OG0000420	MFC_RS01860	FEF30_RS01055
OG0000421	MFC_RS01890	FEF30_RS01090
OG0000422	MFC_RS01900	FEF30_RS01100
OG0000423	MFC_RS01955	FEF30_RS01155
OG0000424	MFC_RS01960	FEF30_RS01160
OG0000425	MFC_RS01970	FEF30_RS01170
OG0000426	MFC_RS01975	FEF30_RS04220
OG0000427	MFC_RS02000	FEF30_RS04225
OG0000428	MFC_RS02030	FEF30_RS01225
OG0000429	MFC_RS02120	FEF30_RS01320
OG0000430	MFC_RS02165	FEF30_RS01365
OG0000431	MFC_RS02175	FEF30_RS01375
OG0000432	MFC_RS02195	FEF30_RS01410
OG0000433	MFC_RS02205	FEF30_RS01425
OG0000434	MFC_RS02210	FEF30_RS01430
OG0000435	MFC_RS02225	FEF30_RS01445
OG0000436	MFC_RS03535	FEF30_RS01470
OG0000437	MFC_RS02270	FEF30_RS01480
OG0000438	MFC_RS02275	FEF30_RS01485
OG0000439	MFC_RS02280	FEF30_RS04235
OG0000440	MFC_RS02295	FEF30_RS03330
OG0000441	MFC_RS02335	FEF30_RS03370
OG0000442	MFC_RS02350	FEF30_RS00460
OG0000443	MFC_RS02410	FEF30_RS00505
OG0000444	MFC_RS02425	FEF30_RS00520
OG0000445	MFC_RS02450	FEF30_RS00545
OG0000446	MFC_RS02480	FEF30_RS00570
OG0000447	MFC_RS02485	FEF30_RS00575
OG0000448	MFC_RS02515	FEF30_RS00605
OG0000449	MFC_RS02540	FEF30_RS00630
OG0000450	MFC_RS02550	FEF30_RS00640
OG0000451	MFC_RS02590	FEF30_RS00680
OG0000452	MFC_RS02615	FEF30_RS00705
OG0000453	MFC_RS02650	FEF30_RS00740
OG0000455	MFC_RS02700	FEF30_RS00230
OG0000456	MFC_RS02815	FEF30_RS00110
OG0000457	MFC_RS02840	FEF30_RS00085
OG0000458	MFC_RS02885	FEF30_RS02890
OG0000459	MFC_RS02910	FEF30_RS02915
OG0000460	MFC_RS02920	FEF30_RS02925
OG0000461	MFC_RS03080	FEF30_RS02970
OG0000462	MFC_RS03085	FEF30_RS02965
OG0000463	MFC_RS03090	FEF30_RS02960
OG0000464	MFC_RS03100	FEF30_RS02955
OG0000465	MFC_RS03105	FEF30_RS02950
OG0000466	MFC_RS02620	FEF30_RS00710
OG0000467	MFC_RS03500	FEF30_RS04360
OG0000468	MFC_RS01370	FEF30_RS02345
OG0000469	MFC_RS00045	FEF30_RS02405
OG0000470	MFC_RS01950	FEF30_RS01150
OG0000471	MFC_RS02035	FEF30_RS01230
OG0000472	MFC_RS01680	FEF30_RS00040
OG0000473	MFC_RS02715	FEF30_RS00215
OG0000474	MFC_RS02710	FEF30_RS00220
OG0000475	MFC_RS02705	FEF30_RS00225
OG0000476	MFC_RS00345	FEF30_RS01870
OG0000477	MFC_RS03055	FEF30_RS02995
OG0000478	MFC_RS02770	FEF30_RS00160
OG0000479	MFC_RS00545	FEF30_RS01640
OG0000480	MFC_RS03300	FEF30_RS02410
OG0000481	MFC_RS01925	FEF30_RS01125
OG0000482	MFC_RS01790	FEF30_RS01520
OG0000483	MFC_RS00095	FEF30_RS02455
OG0000484	MFC_RS02420	FEF30_RS04190
OG0000487	MFC_RS00025	FEF30_RS04325
OG0000488	MFC_RS00065	FEF30_RS02425
OG0000489	MFC_RS00185	FEF30_RS00380
OG0000490	MFC_RS00245	FEF30_RS00320
OG0000491	MFC_RS00565	FEF30_RS01660
OG0000492	MFC_RS00640	FEF30_RS01740
OG0000493	MFC_RS00855	FEF30_RS00890
OG0000494	MFC_RS00905	FEF30_RS00955
OG0000495	MFC_RS01055	FEF30_RS03215
OG0000496	MFC_RS01065	FEF30_RS03205
OG0000497	MFC_RS01070	FEF30_RS03200
OG0000498	MFC_RS01140	FEF30_RS03115
OG0000499	MFC_RS01185	FEF30_RS03080
OG0000500	MFC_RS01335	FEF30_RS02310
OG0000502	MFC_RS01800	FEF30_RS01510
OG0000503	MFC_RS01870	FEF30_RS01070
OG0000504	MFC_RS02005	FEF30_RS01205
OG0000505	MFC_RS02045	FEF30_RS01240
OG0000506	MFC_RS02055	FEF30_RS01250
OG0000507	MFC_RS02090	FEF30_RS01285
OG0000508	MFC_RS02475	FEF30_RS00565
OG0000509	MFC_RS02510	FEF30_RS00600
OG0000510	MFC_RS02520	FEF30_RS00610
OG0000511	MFC_RS02655	FEF30_RS00745
OG0000512	MFC_RS02925	FEF30_RS02930
OG0000513	MFC_RS02785	FEF30_RS00145
OG0000516	MFC_RS00030	FEF30_RS04330
OG0000517	MFC_RS00170	FEF30_RS00395
OG0000518	MFC_RS01500	FEF30_RS03455
OG0000519	MFC_RS01895	FEF30_RS01095
OG0000520	MFC_RS02025	FEF30_RS01220
OG0000521	MFC_RS02490	FEF30_RS00580
OG0000522	MFC_RS02525	FEF30_RS00615
OG0000523	MFC_RS02845	FEF30_RS00080
OG0000524	MFC_RS03015	FEF30_RS03045
OG0000525	MFC_RS01685	FEF30_RS04105
OG0000528	MFC_RS00035	FEF30_RS02395
OG0000529	MFC_RS00430	FEF30_RS02615
OG0000530	MFC_RS00495	FEF30_RS02720
OG0000531	MFC_RS00615	FEF30_RS01715
OG0000532	MFC_RS00940	FEF30_RS01945
OG0000533	MFC_RS02185	FEF30_RS00915
OG0000534	MFC_RS02605	FEF30_RS00695
OG0000535	MFC_RS00190	FEF30_RS04175
OG0000536	MFC_RS00315	FEF30_RS00260
OG0000537	MFC_RS01840	FEF30_RS01035
OG0000538	MFC_RS02215	FEF30_RS01435
OG0000539	MFC_RS02435	FEF30_RS00530
OG0000540	MFC_RS03035	FEF30_RS03015
OG0000541	MFC_RS01170	FEF30_RS03095
OG0000542	MFC_RS02575	FEF30_RS00665
OG0000547	MFC_RS00980	FEF30_RS03290
OG0000548	MFC_RS01285	FEF30_RS01910
OG0000549	MFC_RS01675	FEF30_RS04100
OG0000550	MFC_RS02750	FEF30_RS00180
OG0000551	MFC_RS02325	FEF30_RS03360
OG0000555	MFC_RS03340	FEF30_RS03295
OG0000589	MFC_RS03260	FEF30_RS02520
OG0000595	MFC_RS01440	FEF30_RS04470
OG0000596	MFC_RS02370	FEF30_RS02140
OG0000597	MFC_RS01435	FEF30_RS03375
OG0000598	MFC_RS02365	FEF30_RS02145
OG0000599	MFC_RS02360	FEF30_RS02150
OG0000602	MFC_RS00055	FEF30_RS02420
