Orthogroup	MFC_MF29_genes	MHP_168L_genes
OG0000087	DR095_RS02850	MHP168L_RS02235
OG0000088	DR095_RS02845	MHP168L_RS02230
OG0000089	DR095_RS02835	MHP168L_RS02215
OG0000090	DR095_RS01045	MHP168L_RS00070
OG0000091	DR095_RS01060	MHP168L_RS00055
OG0000092	DR095_RS01075	MHP168L_RS00040
OG0000093	DR095_RS01080	MHP168L_RS00035
OG0000094	DR095_RS01085	MHP168L_RS00030
OG0000095	DR095_RS01110	MHP168L_RS00005
OG0000096	DR095_RS01115	MHP168L_RS03665
OG0000097	DR095_RS01135	MHP168L_RS03645
OG0000098	DR095_RS01145	MHP168L_RS03635
OG0000099	DR095_RS01200	MHP168L_RS03520
OG0000100	DR095_RS01210	MHP168L_RS03505
OG0000101	DR095_RS01215	MHP168L_RS03500
OG0000102	DR095_RS01225	MHP168L_RS01735
OG0000103	DR095_RS01275	MHP168L_RS02175
OG0000104	DR095_RS01280	MHP168L_RS02170
OG0000105	DR095_RS01295	MHP168L_RS02155
OG0000106	DR095_RS01305	MHP168L_RS02145
OG0000107	DR095_RS01315	MHP168L_RS02135
OG0000108	DR095_RS01320	MHP168L_RS02130
OG0000109	DR095_RS01325	MHP168L_RS02125
OG0000110	DR095_RS01330	MHP168L_RS02410
OG0000111	DR095_RS01335	MHP168L_RS02405
OG0000112	DR095_RS01345	MHP168L_RS02395
OG0000113	DR095_RS03830	MHP168L_RS02375
OG0000114	DR095_RS01370	MHP168L_RS02365
OG0000115	DR095_RS01380	MHP168L_RS02350
OG0000116	DR095_RS01390	MHP168L_RS01385
OG0000117	DR095_RS01395	MHP168L_RS01390
OG0000118	DR095_RS01425	MHP168L_RS01430
OG0000119	DR095_RS01430	MHP168L_RS01435
OG0000120	DR095_RS01445	MHP168L_RS01450
OG0000121	DR095_RS01470	MHP168L_RS01475
OG0000122	DR095_RS01475	MHP168L_RS01480
OG0000123	DR095_RS01495	MHP168L_RS01500
OG0000124	DR095_RS01500	MHP168L_RS01505
OG0000125	DR095_RS01505	MHP168L_RS01510
OG0000126	DR095_RS01515	MHP168L_RS01520
OG0000127	DR095_RS01525	MHP168L_RS01530
OG0000128	DR095_RS02900	MHP168L_RS01545
OG0000129	DR095_RS02905	MHP168L_RS01550
OG0000130	DR095_RS02915	MHP168L_RS01560
OG0000131	DR095_RS02945	MHP168L_RS01590
OG0000132	DR095_RS04000	MHP168L_RS01605
OG0000133	DR095_RS00015	MHP168L_RS00515
OG0000134	DR095_RS03750	MHP168L_RS00520
OG0000135	DR095_RS00035	MHP168L_RS00535
OG0000136	DR095_RS00040	MHP168L_RS00540
OG0000137	DR095_RS00070	MHP168L_RS00575
OG0000138	DR095_RS00095	MHP168L_RS01030
OG0000139	DR095_RS00125	MHP168L_RS01005
OG0000140	DR095_RS00130	MHP168L_RS01000
OG0000141	DR095_RS00155	MHP168L_RS02965
OG0000142	DR095_RS03765	MHP168L_RS02960
OG0000143	DR095_RS00185	MHP168L_RS02935
OG0000144	DR095_RS00195	MHP168L_RS02925
OG0000145	DR095_RS00205	MHP168L_RS02915
OG0000146	DR095_RS00215	MHP168L_RS02905
OG0000147	DR095_RS00220	MHP168L_RS02900
OG0000148	DR095_RS00235	MHP168L_RS02885
OG0000149	DR095_RS00245	MHP168L_RS02875
OG0000150	DR095_RS00260	MHP168L_RS02860
OG0000151	DR095_RS00315	MHP168L_RS02815
OG0000152	DR095_RS00320	MHP168L_RS02810
OG0000153	DR095_RS00325	MHP168L_RS02805
OG0000154	DR095_RS00335	MHP168L_RS02795
OG0000155	DR095_RS00355	MHP168L_RS02755
OG0000156	DR095_RS00390	MHP168L_RS02745
OG0000157	DR095_RS03780	MHP168L_RS02740
OG0000158	DR095_RS03785	MHP168L_RS04120
OG0000159	DR095_RS00635	MHP168L_RS04145
OG0000160	DR095_RS00640	MHP168L_RS02485
OG0000161	DR095_RS00650	MHP168L_RS02480
OG0000162	DR095_RS02680	MHP168L_RS02470
OG0000163	DR095_RS02685	MHP168L_RS02465
OG0000164	DR095_RS03975	MHP168L_RS01825
OG0000165	DR095_RS02760	MHP168L_RS02030
OG0000166	DR095_RS02780	MHP168L_RS02050
OG0000167	DR095_RS02795	MHP168L_RS02065
OG0000168	DR095_RS02800	MHP168L_RS02070
OG0000169	DR095_RS01750	MHP168L_RS03045
OG0000170	DR095_RS01765	MHP168L_RS03060
OG0000171	DR095_RS01775	MHP168L_RS03070
OG0000172	DR095_RS01780	MHP168L_RS03075
OG0000173	DR095_RS01785	MHP168L_RS03080
OG0000174	DR095_RS01790	MHP168L_RS03085
OG0000175	DR095_RS01805	MHP168L_RS03100
OG0000176	DR095_RS01845	MHP168L_RS03150
OG0000177	DR095_RS01850	MHP168L_RS03155
OG0000178	DR095_RS01855	MHP168L_RS03160
OG0000179	DR095_RS01865	MHP168L_RS03170
OG0000180	DR095_RS01870	MHP168L_RS03175
OG0000181	DR095_RS03870	MHP168L_RS03215
OG0000182	DR095_RS01895	MHP168L_RS03225
OG0000183	DR095_RS01930	MHP168L_RS03260
OG0000184	DR095_RS02970	MHP168L_RS03300
OG0000185	DR095_RS02985	MHP168L_RS03285
OG0000186	DR095_RS01970	MHP168L_RS01615
OG0000187	DR095_RS01985	MHP168L_RS01630
OG0000188	DR095_RS01995	MHP168L_RS01640
OG0000189	DR095_RS03890	MHP168L_RS02320
OG0000190	DR095_RS02010	MHP168L_RS02315
OG0000191	DR095_RS02030	MHP168L_RS02295
OG0000192	DR095_RS02040	MHP168L_RS01300
OG0000193	DR095_RS02055	MHP168L_RS01290
OG0000194	DR095_RS02065	MHP168L_RS00970
OG0000195	DR095_RS02070	MHP168L_RS00965
OG0000196	DR095_RS03895	MHP168L_RS00945
OG0000197	DR095_RS02095	MHP168L_RS00940
OG0000198	DR095_RS02110	MHP168L_RS00925
OG0000199	DR095_RS02115	MHP168L_RS00920
OG0000200	DR095_RS02130	MHP168L_RS00910
OG0000201	DR095_RS02140	MHP168L_RS00900
OG0000202	DR095_RS02195	MHP168L_RS00845
OG0000203	DR095_RS02200	MHP168L_RS00840
OG0000204	DR095_RS03925	MHP168L_RS00835
OG0000205	DR095_RS02490	MHP168L_RS00830
OG0000206	DR095_RS02470	MHP168L_RS00810
OG0000207	DR095_RS02455	MHP168L_RS00795
OG0000208	DR095_RS02450	MHP168L_RS00790
OG0000209	DR095_RS02445	MHP168L_RS00785
OG0000210	DR095_RS02400	MHP168L_RS00735
OG0000211	DR095_RS02390	MHP168L_RS00720
OG0000212	DR095_RS02380	MHP168L_RS00710
OG0000213	DR095_RS02375	MHP168L_RS03705
OG0000214	DR095_RS02370	MHP168L_RS00705
OG0000215	DR095_RS02365	MHP168L_RS00700
OG0000216	DR095_RS02360	MHP168L_RS00695
OG0000217	DR095_RS02355	MHP168L_RS00690
OG0000218	DR095_RS03910	MHP168L_RS00680
OG0000219	DR095_RS02340	MHP168L_RS00675
OG0000220	DR095_RS02335	MHP168L_RS00670
OG0000221	DR095_RS02330	MHP168L_RS00665
OG0000222	DR095_RS02325	MHP168L_RS00660
OG0000223	DR095_RS02320	MHP168L_RS00655
OG0000224	DR095_RS02310	MHP168L_RS00645
OG0000225	DR095_RS02300	MHP168L_RS00635
OG0000226	DR095_RS02295	MHP168L_RS00630
OG0000227	DR095_RS02290	MHP168L_RS00625
OG0000228	DR095_RS04045	MHP168L_RS04125
OG0000229	DR095_RS02280	MHP168L_RS00615
OG0000230	DR095_RS02275	MHP168L_RS00610
OG0000231	DR095_RS02265	MHP168L_RS00600
OG0000232	DR095_RS02255	MHP168L_RS00590
OG0000233	DR095_RS02245	MHP168L_RS01075
OG0000234	DR095_RS02215	MHP168L_RS01110
OG0000235	DR095_RS02205	MHP168L_RS01120
OG0000236	DR095_RS01540	MHP168L_RS01125
OG0000237	DR095_RS01560	MHP168L_RS01130
OG0000238	DR095_RS01565	MHP168L_RS01140
OG0000239	DR095_RS01595	MHP168L_RS02975
OG0000240	DR095_RS01600	MHP168L_RS02980
OG0000241	DR095_RS01705	MHP168L_RS02990
OG0000242	DR095_RS01710	MHP168L_RS02995
OG0000243	DR095_RS01715	MHP168L_RS03000
OG0000244	DR095_RS01725	MHP168L_RS03010
OG0000245	DR095_RS01735	MHP168L_RS03020
OG0000246	DR095_RS01030	MHP168L_RS00120
OG0000247	DR095_RS01020	MHP168L_RS00130
OG0000248	DR095_RS00995	MHP168L_RS00140
OG0000249	DR095_RS00990	MHP168L_RS00145
OG0000250	DR095_RS00975	MHP168L_RS00160
OG0000251	DR095_RS00945	MHP168L_RS00185
OG0000252	DR095_RS00935	MHP168L_RS00195
OG0000253	DR095_RS00930	MHP168L_RS00200
OG0000254	DR095_RS00920	MHP168L_RS00210
OG0000255	DR095_RS00915	MHP168L_RS00220
OG0000256	DR095_RS00910	MHP168L_RS00225
OG0000257	DR095_RS00885	MHP168L_RS00250
OG0000258	DR095_RS00875	MHP168L_RS00260
OG0000259	DR095_RS00845	MHP168L_RS00290
OG0000260	DR095_RS00835	MHP168L_RS00300
OG0000261	DR095_RS03795	MHP168L_RS00310
OG0000262	DR095_RS00810	MHP168L_RS00325
OG0000263	DR095_RS00795	MHP168L_RS00340
OG0000264	DR095_RS00780	MHP168L_RS00355
OG0000265	DR095_RS00770	MHP168L_RS00365
OG0000266	DR095_RS00755	MHP168L_RS00380
OG0000267	DR095_RS00740	MHP168L_RS00395
OG0000268	DR095_RS00735	MHP168L_RS00400
OG0000269	DR095_RS00720	MHP168L_RS00415
OG0000270	DR095_RS03930	MHP168L_RS03475
OG0000271	DR095_RS02520	MHP168L_RS03470
OG0000272	DR095_RS02525	MHP168L_RS03465
OG0000273	DR095_RS02530	MHP168L_RS03460
OG0000274	DR095_RS02550	MHP168L_RS03440
OG0000275	DR095_RS03935	MHP168L_RS03435
OG0000276	DR095_RS02560	MHP168L_RS03430
OG0000277	DR095_RS03940	MHP168L_RS03420
OG0000278	DR095_RS02575	MHP168L_RS03415
OG0000279	DR095_RS02585	MHP168L_RS03405
OG0000280	DR095_RS02590	MHP168L_RS03400
OG0000281	DR095_RS02595	MHP168L_RS03780
OG0000282	DR095_RS02620	MHP168L_RS03375
OG0000283	DR095_RS02625	MHP168L_RS03370
OG0000284	DR095_RS02630	MHP168L_RS03365
OG0000285	DR095_RS03955	MHP168L_RS03360
OG0000286	DR095_RS00590	MHP168L_RS02450
OG0000287	DR095_RS00565	MHP168L_RS02550
OG0000288	DR095_RS00555	MHP168L_RS02560
OG0000289	DR095_RS00550	MHP168L_RS02565
OG0000290	DR095_RS03370	MHP168L_RS02675
OG0000291	DR095_RS00450	MHP168L_RS02665
OG0000292	DR095_RS00455	MHP168L_RS02660
OG0000293	DR095_RS00460	MHP168L_RS02655
OG0000294	DR095_RS00470	MHP168L_RS02645
OG0000295	DR095_RS00475	MHP168L_RS02640
OG0000296	DR095_RS00515	MHP168L_RS02600
OG0000297	DR095_RS00520	MHP168L_RS02595
OG0000298	DR095_RS00980	MHP168L_RS00155
OG0000299	DR095_RS00960	MHP168L_RS03690
OG0000300	DR095_RS00785	MHP168L_RS00350
OG0000301	DR095_RS00750	MHP168L_RS00385
OG0000302	DR095_RS00745	MHP168L_RS00390
OG0000303	DR095_RS00045	MHP168L_RS00545
OG0000304	DR095_RS00080	MHP168L_RS00585
OG0000305	DR095_RS00210	MHP168L_RS02910
OG0000306	DR095_RS00290	MHP168L_RS02835
OG0000307	DR095_RS00330	MHP168L_RS02800
OG0000308	DR095_RS00430	MHP168L_RS02700
OG0000309	DR095_RS00485	MHP168L_RS02630
OG0000310	DR095_RS00560	MHP168L_RS02555
OG0000311	DR095_RS00610	MHP168L_RS02510
OG0000312	DR095_RS00630	MHP168L_RS02495
OG0000313	DR095_RS02705	MHP168L_RS01835
OG0000314	DR095_RS02775	MHP168L_RS02045
OG0000315	DR095_RS02805	MHP168L_RS02075
OG0000316	DR095_RS02815	MHP168L_RS02085
OG0000317	DR095_RS02840	MHP168L_RS02225
OG0000318	DR095_RS04005	MHP168L_RS02090
OG0000319	DR095_RS01290	MHP168L_RS02160
OG0000320	DR095_RS01355	MHP168L_RS02385
OG0000321	DR095_RS01420	MHP168L_RS01425
OG0000322	DR095_RS01465	MHP168L_RS01470
OG0000323	DR095_RS02955	MHP168L_RS01600
OG0000324	DR095_RS02035	MHP168L_RS02290
OG0000325	DR095_RS02075	MHP168L_RS00960
OG0000326	DR095_RS02170	MHP168L_RS00870
OG0000327	DR095_RS02175	MHP168L_RS00865
OG0000328	DR095_RS02440	MHP168L_RS00780
OG0000329	DR095_RS02420	MHP168L_RS00755
OG0000330	DR095_RS02235	MHP168L_RS01085
OG0000331	DR095_RS01720	MHP168L_RS03005
OG0000332	DR095_RS01815	MHP168L_RS03110
OG0000333	DR095_RS01825	MHP168L_RS03120
OG0000334	DR095_RS01890	MHP168L_RS03220
OG0000335	DR095_RS03875	MHP168L_RS03230
OG0000336	DR095_RS03950	MHP168L_RS03390
OG0000337	DR095_RS01160	MHP168L_RS03620
OG0000338	DR095_RS01120	MHP168L_RS03660
OG0000339	DR095_RS01375	MHP168L_RS02355
OG0000340	DR095_RS01400	MHP168L_RS01400
OG0000341	DR095_RS02015	MHP168L_RS02310
OG0000342	DR095_RS02105	MHP168L_RS00930
OG0000343	DR095_RS01835	MHP168L_RS03130
OG0000344	DR095_RS00060	MHP168L_RS00560
OG0000345	DR095_RS02305	MHP168L_RS00640
OG0000346	DR095_RS03945	MHP168L_RS03395
OG0000347	DR095_RS01490	MHP168L_RS01495
OG0000348	DR095_RS03905	MHP168L_RS00860
OG0000349	DR095_RS02540	MHP168L_RS03450
OG0000350	DR095_RS00295	MHP168L_RS02790
OG0000351	DR095_RS00660	MHP168L_RS00475
OG0000352	DR095_RS02755	MHP168L_RS02025
OG0000353	DR095_RS01460	MHP168L_RS01465
OG0000354	DR095_RS00110	MHP168L_RS01015
OG0000355	DR095_RS03980	MHP168L_RS01995
OG0000356	DR095_RS03985	MHP168L_RS02080
OG0000357	DR095_RS03860	MHP168L_RS03090
OG0000358	DR095_RS01800	MHP168L_RS03095
OG0000359	DR095_RS03900	MHP168L_RS00890
OG0000360	DR095_RS00880	MHP168L_RS00255
OG0000361	DR095_RS00850	MHP168L_RS00285
OG0000362	DR095_RS00540	MHP168L_RS02575
OG0000363	DR095_RS01530	MHP168L_RS03960
OG0000365	DR095_RS04025	MHP168L_RS02280
OG0000366	DR095_RS02870	MHP168L_RS02255
OG0000367	DR095_RS02860	MHP168L_RS02245
OG0000368	DR095_RS01055	MHP168L_RS00060
OG0000369	DR095_RS03410	MHP168L_RS00025
OG0000370	DR095_RS01095	MHP168L_RS00020
OG0000371	DR095_RS01100	MHP168L_RS00015
OG0000372	DR095_RS01105	MHP168L_RS00010
OG0000373	DR095_RS01130	MHP168L_RS03650
OG0000374	DR095_RS01140	MHP168L_RS03640
OG0000375	DR095_RS01285	MHP168L_RS02165
OG0000376	DR095_RS01340	MHP168L_RS02400
OG0000377	DR095_RS01350	MHP168L_RS02390
OG0000378	DR095_RS01385	MHP168L_RS01380
OG0000379	DR095_RS01455	MHP168L_RS01460
OG0000380	DR095_RS01480	MHP168L_RS01485
OG0000381	DR095_RS01520	MHP168L_RS01525
OG0000382	DR095_RS02910	MHP168L_RS01555
OG0000383	DR095_RS02950	MHP168L_RS01595
OG0000384	DR095_RS00655	MHP168L_RS00500
OG0000385	DR095_RS00005	MHP168L_RS00505
OG0000386	DR095_RS00025	MHP168L_RS00525
OG0000387	DR095_RS00050	MHP168L_RS00550
OG0000388	DR095_RS03755	MHP168L_RS00555
OG0000389	DR095_RS00090	MHP168L_RS01035
OG0000390	DR095_RS00190	MHP168L_RS02930
OG0000391	DR095_RS00200	MHP168L_RS02920
OG0000392	DR095_RS00225	MHP168L_RS02895
OG0000393	DR095_RS00280	MHP168L_RS02840
OG0000394	DR095_RS00345	MHP168L_RS02765
OG0000395	DR095_RS00350	MHP168L_RS02760
OG0000396	DR095_RS02695	MHP168L_RS02455
OG0000397	DR095_RS02740	MHP168L_RS02010
OG0000398	DR095_RS02745	MHP168L_RS02015
OG0000399	DR095_RS02790	MHP168L_RS02060
OG0000400	DR095_RS01760	MHP168L_RS03055
OG0000401	DR095_RS01820	MHP168L_RS03115
OG0000402	DR095_RS01830	MHP168L_RS03125
OG0000403	DR095_RS01840	MHP168L_RS03135
OG0000404	DR095_RS03865	MHP168L_RS03165
OG0000405	DR095_RS01875	MHP168L_RS03180
OG0000406	DR095_RS01905	MHP168L_RS03235
OG0000407	DR095_RS03880	MHP168L_RS03240
OG0000408	DR095_RS01915	MHP168L_RS03245
OG0000409	DR095_RS01920	MHP168L_RS03250
OG0000410	DR095_RS02965	MHP168L_RS03305
OG0000411	DR095_RS02975	MHP168L_RS03295
OG0000412	DR095_RS02980	MHP168L_RS03290
OG0000413	DR095_RS01965	MHP168L_RS01610
OG0000414	DR095_RS01975	MHP168L_RS01620
OG0000415	DR095_RS01980	MHP168L_RS01625
OG0000416	DR095_RS01990	MHP168L_RS01635
OG0000417	DR095_RS02020	MHP168L_RS02305
OG0000418	DR095_RS02025	MHP168L_RS02300
OG0000419	DR095_RS02085	MHP168L_RS00950
OG0000420	DR095_RS02120	MHP168L_RS00915
OG0000421	DR095_RS02155	MHP168L_RS00885
OG0000422	DR095_RS02165	MHP168L_RS00875
OG0000423	DR095_RS02480	MHP168L_RS00820
OG0000424	DR095_RS02475	MHP168L_RS00815
OG0000425	DR095_RS02465	MHP168L_RS00805
OG0000426	DR095_RS03585	MHP168L_RS00800
OG0000427	DR095_RS03920	MHP168L_RS00775
OG0000428	DR095_RS02410	MHP168L_RS00745
OG0000429	DR095_RS02315	MHP168L_RS00650
OG0000430	DR095_RS02270	MHP168L_RS00605
OG0000431	DR095_RS02260	MHP168L_RS00595
OG0000432	DR095_RS02240	MHP168L_RS01080
OG0000433	DR095_RS02230	MHP168L_RS01095
OG0000434	DR095_RS02225	MHP168L_RS01100
OG0000435	DR095_RS02210	MHP168L_RS01115
OG0000436	DR095_RS01570	MHP168L_RS01145
OG0000437	DR095_RS01580	MHP168L_RS01155
OG0000438	DR095_RS03840	MHP168L_RS01160
OG0000439	DR095_RS01590	MHP168L_RS01165
OG0000440	DR095_RS03855	MHP168L_RS02985
OG0000441	DR095_RS01745	MHP168L_RS03025
OG0000442	DR095_RS01025	MHP168L_RS00125
OG0000443	DR095_RS00965	MHP168L_RS00170
OG0000444	DR095_RS00950	MHP168L_RS00180
OG0000445	DR095_RS00925	MHP168L_RS00205
OG0000446	DR095_RS00900	MHP168L_RS00235
OG0000447	DR095_RS00895	MHP168L_RS00240
OG0000448	DR095_RS00865	MHP168L_RS00270
OG0000449	DR095_RS00840	MHP168L_RS00295
OG0000450	DR095_RS00830	MHP168L_RS00305
OG0000451	DR095_RS00790	MHP168L_RS00345
OG0000452	DR095_RS00765	MHP168L_RS00370
OG0000453	DR095_RS00730	MHP168L_RS00405
OG0000455	DR095_RS03825	MHP168L_RS03495
OG0000456	DR095_RS02615	MHP168L_RS03380
OG0000457	DR095_RS02640	MHP168L_RS03355
OG0000458	DR095_RS00570	MHP168L_RS02545
OG0000459	DR095_RS00545	MHP168L_RS02570
OG0000460	DR095_RS00535	MHP168L_RS02580
OG0000461	DR095_RS00490	MHP168L_RS02625
OG0000462	DR095_RS00495	MHP168L_RS02620
OG0000463	DR095_RS00500	MHP168L_RS02615
OG0000464	DR095_RS00505	MHP168L_RS02610
OG0000465	DR095_RS00510	MHP168L_RS02605
OG0000466	DR095_RS00760	MHP168L_RS00375
OG0000467	DR095_RS03790	MHP168L_RS02710
OG0000468	DR095_RS02785	MHP168L_RS02055
OG0000469	DR095_RS03050	MHP168L_RS02115
OG0000470	DR095_RS02485	MHP168L_RS03850
OG0000471	DR095_RS02405	MHP168L_RS00740
OG0000472	DR095_RS02665	MHP168L_RS03315
OG0000473	DR095_RS02510	MHP168L_RS03485
OG0000475	DR095_RS02500	MHP168L_RS03490
OG0000476	DR095_RS01220	MHP168L_RS01645
OG0000477	DR095_RS00465	MHP168L_RS02650
OG0000478	DR095_RS02565	MHP168L_RS03425
OG0000479	DR095_RS01415	MHP168L_RS01420
OG0000480	DR095_RS03245	MHP168L_RS03885
OG0000481	DR095_RS02190	MHP168L_RS00850
OG0000482	DR095_RS02050	MHP168L_RS01295
OG0000483	DR095_RS02855	MHP168L_RS02240
OG0000484	DR095_RS03800	MHP168L_RS00175
OG0000485	DR095_RS01575	MHP168L_RS01150
OG0000486	DR095_RS02000	MHP168L_RS02325
OG0000487	DR095_RS04010	MHP168L_RS02095
OG0000488	DR095_RS02885	MHP168L_RS02270
OG0000489	DR095_RS01065	MHP168L_RS00050
OG0000490	DR095_RS01125	MHP168L_RS03655
OG0000491	DR095_RS01435	MHP168L_RS01440
OG0000492	DR095_RS01510	MHP168L_RS01515
OG0000493	DR095_RS00065	MHP168L_RS00565
OG0000495	DR095_RS00255	MHP168L_RS02865
OG0000496	DR095_RS00265	MHP168L_RS02855
OG0000497	DR095_RS00270	MHP168L_RS02850
OG0000498	DR095_RS00340	MHP168L_RS02770
OG0000499	DR095_RS00400	MHP168L_RS02735
OG0000500	DR095_RS02750	MHP168L_RS02020
OG0000501	DR095_RS01770	MHP168L_RS03065
OG0000502	DR095_RS02060	MHP168L_RS01285
OG0000503	DR095_RS02135	MHP168L_RS00905
OG0000505	DR095_RS02395	MHP168L_RS00725
OG0000506	DR095_RS02385	MHP168L_RS00715
OG0000507	DR095_RS02350	MHP168L_RS00685
OG0000508	DR095_RS00905	MHP168L_RS00230
OG0000509	DR095_RS00870	MHP168L_RS00265
OG0000510	DR095_RS00860	MHP168L_RS00275
OG0000511	DR095_RS00725	MHP168L_RS00410
OG0000512	DR095_RS00530	MHP168L_RS02585
OG0000513	DR095_RS02580	MHP168L_RS03410
OG0000514	DR095_RS00230	MHP168L_RS02890
OG0000516	DR095_RS03000	MHP168L_RS02100
OG0000517	DR095_RS01050	MHP168L_RS00065
OG0000518	DR095_RS01810	MHP168L_RS03105
OG0000519	DR095_RS02160	MHP168L_RS00880
OG0000520	DR095_RS02415	MHP168L_RS00750
OG0000521	DR095_RS00890	MHP168L_RS00245
OG0000522	DR095_RS00855	MHP168L_RS00280
OG0000523	DR095_RS02645	MHP168L_RS03350
OG0000524	DR095_RS00425	MHP168L_RS02705
OG0000525	DR095_RS04060	MHP168L_RS03320
OG0000528	DR095_RS03010	MHP168L_RS02105
OG0000529	DR095_RS01300	MHP168L_RS02150
OG0000530	DR095_RS01365	MHP168L_RS02370
OG0000531	DR095_RS01485	MHP168L_RS01490
OG0000533	DR095_RS02250	MHP168L_RS01060
OG0000534	DR095_RS00775	MHP168L_RS00360
OG0000535	DR095_RS01070	MHP168L_RS00045
OG0000536	DR095_RS01195	MHP168L_RS03525
OG0000537	DR095_RS02100	MHP168L_RS00935
OG0000538	DR095_RS02220	MHP168L_RS01105
OG0000539	DR095_RS00940	MHP168L_RS00190
OG0000541	DR095_RS00385	MHP168L_RS02750
OG0000542	DR095_RS00805	MHP168L_RS00330
OG0000547	DR095_RS00180	MHP168L_RS02940
OG0000548	DR095_RS02700	MHP168L_RS01840
OG0000549	DR095_RS02670	MHP168L_RS03310
OG0000550	DR095_RS02545	MHP168L_RS03445
OG0000551	DR095_RS01730	MHP168L_RS03015
OG0000555	DR095_RS03315	MHP168L_RS02945
OG0000556	DR095_RS03845	MHP168L_RS01195
OG0000584	DR095_RS01670	MHP168L_RS01245
OG0000585	DR095_RS03450	MHP168L_RS02180
OG0000590	DR095_RS01680	MHP168L_RS01255
