Orthogroup	MFC_MF29_genes	MHP_133A_genes
OG0000057	DR095_RS00165	NB626_RS03105
OG0000059	DR095_RS03480	NB626_RS00455
OG0000062	DR095_RS01150	NB626_RS03790
OG0000063	DR095_RS01155	NB626_RS03785
OG0000064	DR095_RS01165	NB626_RS03775
OG0000065	DR095_RS01310	NB626_RS02405
OG0000066	DR095_RS01440	NB626_RS01470
OG0000068	DR095_RS00120	NB626_RS00745
OG0000069	DR095_RS00275	NB626_RS03000
OG0000070	DR095_RS00605	NB626_RS02655
OG0000071	DR095_RS01935	NB626_RS03460
OG0000072	DR095_RS03885	NB626_RS03465
OG0000073	DR095_RS02080	NB626_RS00810
OG0000074	DR095_RS03915	NB626_RS01025
OG0000076	DR095_RS00800	NB626_RS00355
OG0000077	DR095_RS00715	NB626_RS00540
OG0000079	DR095_RS00525	NB626_RS02740
OG0000080	DR095_RS03375	NB626_RS02790
OG0000081	DR095_RS00820	NB626_RS00335
OG0000083	DR095_RS03045	NB626_RS02155
OG0000084	DR095_RS02880	NB626_RS02185
OG0000085	DR095_RS02875	NB626_RS02190
OG0000086	DR095_RS03990	NB626_RS02200
OG0000087	DR095_RS02850	NB626_RS02215
OG0000088	DR095_RS02845	NB626_RS02220
OG0000089	DR095_RS02835	NB626_RS02230
OG0000090	DR095_RS01045	NB626_RS00070
OG0000091	DR095_RS01060	NB626_RS00055
OG0000092	DR095_RS01075	NB626_RS00045
OG0000093	DR095_RS01080	NB626_RS00035
OG0000094	DR095_RS01085	NB626_RS00030
OG0000095	DR095_RS01110	NB626_RS00005
OG0000096	DR095_RS01115	NB626_RS03825
OG0000097	DR095_RS01135	NB626_RS03805
OG0000098	DR095_RS01145	NB626_RS03795
OG0000099	DR095_RS01200	NB626_RS03745
OG0000100	DR095_RS01210	NB626_RS03730
OG0000101	DR095_RS01215	NB626_RS03725
OG0000102	DR095_RS01225	NB626_RS01820
OG0000103	DR095_RS01275	NB626_RS02370
OG0000104	DR095_RS01280	NB626_RS02375
OG0000105	DR095_RS01295	NB626_RS02395
OG0000106	DR095_RS01305	NB626_RS02400
OG0000107	DR095_RS01315	NB626_RS02410
OG0000108	DR095_RS01320	NB626_RS02415
OG0000109	DR095_RS01325	NB626_RS02420
OG0000110	DR095_RS01330	NB626_RS02550
OG0000111	DR095_RS01335	NB626_RS02545
OG0000112	DR095_RS01345	NB626_RS02535
OG0000113	DR095_RS03830	NB626_RS02510
OG0000114	DR095_RS01370	NB626_RS02500
OG0000115	DR095_RS01380	NB626_RS02490
OG0000116	DR095_RS01390	NB626_RS01415
OG0000117	DR095_RS01395	NB626_RS01420
OG0000118	DR095_RS01425	NB626_RS01455
OG0000119	DR095_RS01430	NB626_RS01460
OG0000120	DR095_RS01445	NB626_RS01475
OG0000121	DR095_RS01470	NB626_RS01505
OG0000122	DR095_RS01475	NB626_RS01510
OG0000123	DR095_RS01495	NB626_RS01530
OG0000124	DR095_RS01500	NB626_RS01535
OG0000125	DR095_RS01505	NB626_RS01540
OG0000126	DR095_RS01515	NB626_RS01550
OG0000127	DR095_RS01525	NB626_RS01560
OG0000128	DR095_RS02900	NB626_RS01575
OG0000129	DR095_RS02905	NB626_RS01580
OG0000130	DR095_RS02915	NB626_RS01590
OG0000131	DR095_RS02945	NB626_RS01620
OG0000132	DR095_RS04000	NB626_RS01635
OG0000133	DR095_RS00015	NB626_RS00630
OG0000134	DR095_RS03750	NB626_RS00635
OG0000135	DR095_RS00035	NB626_RS00650
OG0000136	DR095_RS00040	NB626_RS00655
OG0000137	DR095_RS00070	NB626_RS00685
OG0000138	DR095_RS00095	NB626_RS00720
OG0000139	DR095_RS00125	NB626_RS00750
OG0000140	DR095_RS00130	NB626_RS00755
OG0000141	DR095_RS00155	NB626_RS03115
OG0000142	DR095_RS03765	NB626_RS03110
OG0000143	DR095_RS00185	NB626_RS03095
OG0000144	DR095_RS00195	NB626_RS03080
OG0000145	DR095_RS00205	NB626_RS03070
OG0000146	DR095_RS00215	NB626_RS03060
OG0000147	DR095_RS00220	NB626_RS03055
OG0000148	DR095_RS00235	NB626_RS03040
OG0000149	DR095_RS00245	NB626_RS03030
OG0000150	DR095_RS00260	NB626_RS03025
OG0000151	DR095_RS00315	NB626_RS02965
OG0000152	DR095_RS00320	NB626_RS02960
OG0000153	DR095_RS00325	NB626_RS02955
OG0000154	DR095_RS00335	NB626_RS02945
OG0000155	DR095_RS00355	NB626_RS02905
OG0000156	DR095_RS00390	NB626_RS02895
OG0000157	DR095_RS03780	NB626_RS02890
OG0000158	DR095_RS03785	NB626_RS02880
OG0000159	DR095_RS00635	NB626_RS02640
OG0000160	DR095_RS00640	NB626_RS02635
OG0000161	DR095_RS00650	NB626_RS02630
OG0000162	DR095_RS02680	NB626_RS02620
OG0000163	DR095_RS02685	NB626_RS02615
OG0000164	DR095_RS03975	NB626_RS01715
OG0000165	DR095_RS02760	NB626_RS02075
OG0000166	DR095_RS02780	NB626_RS02090
OG0000167	DR095_RS02795	NB626_RS02105
OG0000168	DR095_RS02800	NB626_RS02110
OG0000169	DR095_RS01750	NB626_RS03230
OG0000170	DR095_RS01765	NB626_RS03245
OG0000171	DR095_RS01775	NB626_RS03255
OG0000172	DR095_RS01780	NB626_RS03260
OG0000173	DR095_RS01785	NB626_RS03265
OG0000174	DR095_RS01790	NB626_RS03270
OG0000175	DR095_RS01805	NB626_RS03290
OG0000176	DR095_RS01845	NB626_RS03345
OG0000177	DR095_RS01850	NB626_RS03350
OG0000178	DR095_RS01855	NB626_RS03355
OG0000179	DR095_RS01865	NB626_RS03365
OG0000180	DR095_RS01870	NB626_RS03370
OG0000181	DR095_RS03870	NB626_RS03410
OG0000182	DR095_RS01895	NB626_RS03420
OG0000183	DR095_RS01930	NB626_RS03455
OG0000184	DR095_RS02970	NB626_RS03500
OG0000185	DR095_RS02985	NB626_RS03485
OG0000186	DR095_RS01970	NB626_RS01645
OG0000187	DR095_RS01985	NB626_RS01660
OG0000188	DR095_RS01995	NB626_RS01670
OG0000189	DR095_RS03890	NB626_RS02460
OG0000190	DR095_RS02010	NB626_RS02455
OG0000191	DR095_RS02030	NB626_RS02430
OG0000192	DR095_RS02040	NB626_RS01335
OG0000193	DR095_RS02055	NB626_RS01320
OG0000194	DR095_RS02065	NB626_RS00790
OG0000195	DR095_RS02070	NB626_RS00795
OG0000196	DR095_RS03895	NB626_RS00820
OG0000197	DR095_RS02095	NB626_RS00830
OG0000198	DR095_RS02110	NB626_RS00840
OG0000199	DR095_RS02115	NB626_RS00845
OG0000200	DR095_RS02130	NB626_RS00860
OG0000201	DR095_RS02140	NB626_RS00870
OG0000202	DR095_RS02195	NB626_RS00940
OG0000203	DR095_RS02200	NB626_RS00945
OG0000204	DR095_RS03925	NB626_RS00950
OG0000205	DR095_RS02490	NB626_RS00955
OG0000206	DR095_RS02470	NB626_RS00975
OG0000207	DR095_RS02455	NB626_RS00990
OG0000208	DR095_RS02450	NB626_RS00995
OG0000209	DR095_RS02445	NB626_RS01000
OG0000210	DR095_RS02400	NB626_RS01050
OG0000211	DR095_RS02390	NB626_RS01065
OG0000212	DR095_RS02380	NB626_RS01070
OG0000213	DR095_RS02375	NB626_RS01075
OG0000214	DR095_RS02370	NB626_RS01080
OG0000215	DR095_RS02365	NB626_RS01085
OG0000216	DR095_RS02360	NB626_RS01090
OG0000217	DR095_RS02355	NB626_RS01095
OG0000218	DR095_RS03910	NB626_RS01105
OG0000219	DR095_RS02340	NB626_RS01110
OG0000220	DR095_RS02335	NB626_RS01115
OG0000221	DR095_RS02330	NB626_RS01120
OG0000222	DR095_RS02325	NB626_RS01125
OG0000223	DR095_RS02320	NB626_RS01130
OG0000224	DR095_RS02310	NB626_RS01140
OG0000225	DR095_RS02300	NB626_RS01150
OG0000226	DR095_RS02295	NB626_RS01155
OG0000227	DR095_RS02290	NB626_RS01160
OG0000228	DR095_RS04045	NB626_RS01165
OG0000229	DR095_RS02280	NB626_RS01170
OG0000230	DR095_RS02275	NB626_RS01180
OG0000231	DR095_RS02265	NB626_RS01185
OG0000232	DR095_RS02255	NB626_RS01195
OG0000233	DR095_RS02245	NB626_RS01215
OG0000234	DR095_RS02215	NB626_RS01250
OG0000235	DR095_RS02205	NB626_RS01260
OG0000236	DR095_RS01540	NB626_RS01265
OG0000237	DR095_RS01560	NB626_RS01270
OG0000238	DR095_RS01565	NB626_RS01275
OG0000239	DR095_RS01595	NB626_RS03125
OG0000240	DR095_RS01600	NB626_RS03130
OG0000241	DR095_RS01705	NB626_RS03140
OG0000242	DR095_RS01710	NB626_RS03145
OG0000243	DR095_RS01715	NB626_RS03150
OG0000244	DR095_RS01725	NB626_RS03160
OG0000245	DR095_RS01735	NB626_RS03170
OG0000246	DR095_RS01030	NB626_RS00140
OG0000247	DR095_RS01020	NB626_RS00150
OG0000248	DR095_RS00995	NB626_RS00160
OG0000249	DR095_RS00990	NB626_RS00165
OG0000250	DR095_RS00975	NB626_RS00180
OG0000251	DR095_RS00945	NB626_RS00215
OG0000252	DR095_RS00935	NB626_RS00220
OG0000253	DR095_RS00930	NB626_RS00225
OG0000254	DR095_RS00920	NB626_RS00235
OG0000255	DR095_RS00915	NB626_RS00240
OG0000256	DR095_RS00910	NB626_RS00250
OG0000257	DR095_RS00885	NB626_RS00270
OG0000258	DR095_RS00875	NB626_RS00280
OG0000259	DR095_RS00845	NB626_RS00310
OG0000260	DR095_RS00835	NB626_RS00320
OG0000261	DR095_RS03795	NB626_RS00330
OG0000262	DR095_RS00810	NB626_RS00350
OG0000263	DR095_RS00795	NB626_RS00365
OG0000264	DR095_RS00780	NB626_RS00380
OG0000265	DR095_RS00770	NB626_RS00390
OG0000266	DR095_RS00755	NB626_RS00405
OG0000267	DR095_RS00740	NB626_RS00420
OG0000268	DR095_RS00735	NB626_RS00520
OG0000269	DR095_RS00720	NB626_RS00535
OG0000270	DR095_RS03930	NB626_RS03700
OG0000271	DR095_RS02520	NB626_RS03695
OG0000272	DR095_RS02525	NB626_RS03690
OG0000273	DR095_RS02530	NB626_RS03685
OG0000274	DR095_RS02550	NB626_RS03670
OG0000275	DR095_RS03935	NB626_RS03660
OG0000276	DR095_RS02560	NB626_RS03655
OG0000277	DR095_RS03940	NB626_RS03645
OG0000278	DR095_RS02575	NB626_RS03640
OG0000279	DR095_RS02585	NB626_RS03630
OG0000280	DR095_RS02590	NB626_RS03620
OG0000281	DR095_RS02595	NB626_RS03615
OG0000282	DR095_RS02620	NB626_RS03590
OG0000283	DR095_RS02625	NB626_RS03585
OG0000284	DR095_RS02630	NB626_RS03580
OG0000285	DR095_RS03955	NB626_RS03575
OG0000286	DR095_RS00590	NB626_RS02600
OG0000287	DR095_RS00565	NB626_RS02700
OG0000288	DR095_RS00555	NB626_RS02710
OG0000289	DR095_RS00550	NB626_RS02715
OG0000290	DR095_RS03370	NB626_RS02830
OG0000291	DR095_RS00450	NB626_RS02820
OG0000292	DR095_RS00455	NB626_RS02815
OG0000293	DR095_RS00460	NB626_RS02810
OG0000294	DR095_RS00470	NB626_RS02800
OG0000295	DR095_RS00475	NB626_RS02795
OG0000296	DR095_RS00515	NB626_RS02750
OG0000297	DR095_RS00520	NB626_RS02745
OG0000298	DR095_RS00980	NB626_RS00175
OG0000299	DR095_RS00960	NB626_RS00195
OG0000300	DR095_RS00785	NB626_RS00375
OG0000301	DR095_RS00750	NB626_RS00410
OG0000302	DR095_RS00745	NB626_RS00415
OG0000303	DR095_RS00045	NB626_RS00660
OG0000304	DR095_RS00080	NB626_RS01200
OG0000305	DR095_RS00210	NB626_RS03065
OG0000306	DR095_RS00290	NB626_RS02990
OG0000307	DR095_RS00330	NB626_RS02950
OG0000308	DR095_RS00430	NB626_RS02850
OG0000309	DR095_RS00485	NB626_RS02785
OG0000310	DR095_RS00560	NB626_RS02705
OG0000311	DR095_RS00610	NB626_RS02660
OG0000312	DR095_RS00630	NB626_RS02645
OG0000313	DR095_RS02705	NB626_RS01705
OG0000314	DR095_RS02775	NB626_RS02085
OG0000315	DR095_RS02805	NB626_RS02115
OG0000316	DR095_RS02815	NB626_RS02125
OG0000317	DR095_RS02840	NB626_RS02225
OG0000318	DR095_RS04005	NB626_RS02130
OG0000319	DR095_RS01290	NB626_RS02385
OG0000320	DR095_RS01355	NB626_RS02525
OG0000321	DR095_RS01420	NB626_RS01450
OG0000322	DR095_RS01465	NB626_RS01500
OG0000323	DR095_RS02955	NB626_RS01630
OG0000324	DR095_RS02035	NB626_RS02425
OG0000325	DR095_RS02075	NB626_RS00805
OG0000326	DR095_RS02170	NB626_RS00910
OG0000327	DR095_RS02175	NB626_RS00915
OG0000328	DR095_RS02440	NB626_RS01005
OG0000329	DR095_RS02420	NB626_RS01035
OG0000330	DR095_RS02235	NB626_RS01225
OG0000331	DR095_RS01720	NB626_RS03155
OG0000332	DR095_RS01815	NB626_RS03300
OG0000333	DR095_RS01825	NB626_RS03310
OG0000334	DR095_RS01890	NB626_RS03415
OG0000335	DR095_RS03875	NB626_RS03425
OG0000336	DR095_RS03950	NB626_RS03605
OG0000337	DR095_RS01160	NB626_RS03780
OG0000338	DR095_RS01120	NB626_RS03820
OG0000339	DR095_RS01375	NB626_RS02495
OG0000340	DR095_RS01400	NB626_RS01430
OG0000341	DR095_RS02015	NB626_RS02450
OG0000342	DR095_RS02105	NB626_RS00835
OG0000343	DR095_RS01835	NB626_RS03320
OG0000344	DR095_RS00060	NB626_RS00675
OG0000345	DR095_RS02305	NB626_RS01145
OG0000346	DR095_RS03945	NB626_RS03610
OG0000347	DR095_RS01490	NB626_RS01525
OG0000348	DR095_RS03905	NB626_RS00920
OG0000349	DR095_RS02540	NB626_RS03675
OG0000350	DR095_RS00295	NB626_RS02940
OG0000351	DR095_RS00660	NB626_RS00590
OG0000352	DR095_RS02755	NB626_RS02065
OG0000353	DR095_RS01460	NB626_RS01490
OG0000354	DR095_RS00110	NB626_RS00735
OG0000355	DR095_RS03980	NB626_RS02040
OG0000356	DR095_RS03985	NB626_RS02120
OG0000357	DR095_RS03860	NB626_RS03275
OG0000358	DR095_RS01800	NB626_RS03280
OG0000359	DR095_RS03900	NB626_RS00880
OG0000360	DR095_RS00880	NB626_RS00275
OG0000361	DR095_RS00850	NB626_RS00305
OG0000362	DR095_RS00540	NB626_RS02725
OG0000363	DR095_RS01530	NB626_RS01565
OG0000365	DR095_RS04025	NB626_RS02175
OG0000366	DR095_RS02870	NB626_RS02195
OG0000367	DR095_RS02860	NB626_RS02205
OG0000368	DR095_RS01055	NB626_RS00060
OG0000369	DR095_RS03410	NB626_RS00025
OG0000370	DR095_RS01095	NB626_RS00020
OG0000371	DR095_RS01100	NB626_RS00015
OG0000372	DR095_RS01105	NB626_RS00010
OG0000373	DR095_RS01130	NB626_RS03810
OG0000374	DR095_RS01140	NB626_RS03800
OG0000375	DR095_RS01285	NB626_RS02380
OG0000376	DR095_RS01340	NB626_RS02540
OG0000377	DR095_RS01350	NB626_RS02530
OG0000379	DR095_RS01455	NB626_RS01485
OG0000380	DR095_RS01480	NB626_RS01520
OG0000381	DR095_RS01520	NB626_RS01555
OG0000382	DR095_RS02910	NB626_RS01585
OG0000383	DR095_RS02950	NB626_RS01625
OG0000384	DR095_RS00655	NB626_RS00615
OG0000385	DR095_RS00005	NB626_RS00625
OG0000386	DR095_RS00025	NB626_RS00640
OG0000387	DR095_RS00050	NB626_RS00665
OG0000388	DR095_RS03755	NB626_RS00670
OG0000389	DR095_RS00090	NB626_RS00715
OG0000390	DR095_RS00190	NB626_RS03085
OG0000391	DR095_RS00200	NB626_RS03075
OG0000392	DR095_RS00225	NB626_RS03050
OG0000393	DR095_RS00280	NB626_RS02995
OG0000394	DR095_RS00345	NB626_RS02915
OG0000395	DR095_RS00350	NB626_RS02910
OG0000396	DR095_RS02695	NB626_RS02605
OG0000397	DR095_RS02740	NB626_RS02050
OG0000398	DR095_RS02745	NB626_RS02060
OG0000399	DR095_RS02790	NB626_RS02100
OG0000400	DR095_RS01760	NB626_RS03240
OG0000401	DR095_RS01820	NB626_RS03305
OG0000402	DR095_RS01830	NB626_RS03315
OG0000403	DR095_RS01840	NB626_RS03325
OG0000404	DR095_RS03865	NB626_RS03360
OG0000405	DR095_RS01875	NB626_RS03375
OG0000406	DR095_RS01905	NB626_RS03430
OG0000407	DR095_RS03880	NB626_RS03435
OG0000408	DR095_RS01915	NB626_RS03440
OG0000409	DR095_RS01920	NB626_RS03445
OG0000410	DR095_RS02965	NB626_RS03510
OG0000411	DR095_RS02975	NB626_RS03495
OG0000412	DR095_RS02980	NB626_RS03490
OG0000413	DR095_RS01965	NB626_RS01640
OG0000414	DR095_RS01975	NB626_RS01650
OG0000415	DR095_RS01980	NB626_RS01655
OG0000416	DR095_RS01990	NB626_RS01665
OG0000417	DR095_RS02020	NB626_RS02445
OG0000418	DR095_RS02025	NB626_RS02435
OG0000419	DR095_RS02085	NB626_RS00815
OG0000420	DR095_RS02120	NB626_RS00850
OG0000421	DR095_RS02155	NB626_RS00895
OG0000422	DR095_RS02165	NB626_RS00905
OG0000423	DR095_RS02480	NB626_RS00965
OG0000424	DR095_RS02475	NB626_RS00970
OG0000425	DR095_RS02465	NB626_RS00980
OG0000426	DR095_RS03585	NB626_RS00985
OG0000427	DR095_RS03920	NB626_RS01010
OG0000428	DR095_RS02410	NB626_RS01040
OG0000429	DR095_RS02315	NB626_RS01135
OG0000431	DR095_RS02260	NB626_RS01190
OG0000432	DR095_RS02240	NB626_RS01220
OG0000433	DR095_RS02230	NB626_RS01235
OG0000434	DR095_RS02225	NB626_RS01245
OG0000435	DR095_RS02210	NB626_RS01255
OG0000436	DR095_RS01570	NB626_RS01280
OG0000437	DR095_RS01580	NB626_RS01290
OG0000438	DR095_RS03840	NB626_RS01295
OG0000439	DR095_RS01590	NB626_RS01300
OG0000440	DR095_RS03855	NB626_RS03135
OG0000441	DR095_RS01745	NB626_RS03180
OG0000442	DR095_RS01025	NB626_RS00145
OG0000443	DR095_RS00965	NB626_RS00190
OG0000444	DR095_RS00950	NB626_RS00205
OG0000445	DR095_RS00925	NB626_RS00230
OG0000446	DR095_RS00900	NB626_RS00255
OG0000447	DR095_RS00895	NB626_RS00265
OG0000448	DR095_RS00865	NB626_RS00290
OG0000449	DR095_RS00840	NB626_RS00315
OG0000450	DR095_RS00830	NB626_RS00325
OG0000451	DR095_RS00790	NB626_RS00370
OG0000452	DR095_RS00765	NB626_RS00395
OG0000453	DR095_RS00730	NB626_RS00525
OG0000455	DR095_RS03825	NB626_RS03720
OG0000456	DR095_RS02615	NB626_RS03595
OG0000457	DR095_RS02640	NB626_RS03565
OG0000458	DR095_RS00570	NB626_RS02695
OG0000459	DR095_RS00545	NB626_RS02720
OG0000460	DR095_RS00535	NB626_RS02730
OG0000461	DR095_RS00490	NB626_RS02775
OG0000462	DR095_RS00495	NB626_RS02770
OG0000463	DR095_RS00500	NB626_RS02765
OG0000464	DR095_RS00505	NB626_RS02760
OG0000465	DR095_RS00510	NB626_RS02755
OG0000466	DR095_RS00760	NB626_RS00400
OG0000467	DR095_RS03790	NB626_RS02860
OG0000468	DR095_RS02785	NB626_RS02095
OG0000469	DR095_RS03050	NB626_RS02160
OG0000470	DR095_RS02485	NB626_RS00960
OG0000471	DR095_RS02405	NB626_RS01045
OG0000472	DR095_RS02665	NB626_RS03515
OG0000473	DR095_RS02510	NB626_RS03705
OG0000474	DR095_RS02505	NB626_RS03710
OG0000475	DR095_RS02500	NB626_RS03715
OG0000476	DR095_RS01220	NB626_RS01675
OG0000477	DR095_RS00465	NB626_RS02805
OG0000478	DR095_RS02565	NB626_RS03650
OG0000479	DR095_RS01415	NB626_RS01445
OG0000480	DR095_RS03245	NB626_RS02165
OG0000481	DR095_RS02190	NB626_RS00935
OG0000482	DR095_RS02050	NB626_RS01325
OG0000483	DR095_RS02855	NB626_RS02210
OG0000484	DR095_RS03800	NB626_RS00200
OG0000485	DR095_RS01575	NB626_RS01285
OG0000486	DR095_RS02000	NB626_RS02465
OG0000487	DR095_RS04010	NB626_RS02150
OG0000488	DR095_RS02885	NB626_RS02180
OG0000489	DR095_RS01065	NB626_RS00050
OG0000490	DR095_RS01125	NB626_RS03815
OG0000491	DR095_RS01435	NB626_RS01465
OG0000492	DR095_RS01510	NB626_RS01545
OG0000493	DR095_RS00065	NB626_RS00680
OG0000494	DR095_RS00115	NB626_RS00740
OG0000496	DR095_RS00265	NB626_RS03010
OG0000497	DR095_RS00270	NB626_RS03005
OG0000498	DR095_RS00340	NB626_RS02920
OG0000499	DR095_RS00400	NB626_RS02885
OG0000501	DR095_RS01770	NB626_RS03250
OG0000502	DR095_RS02060	NB626_RS01315
OG0000503	DR095_RS02135	NB626_RS00865
OG0000504	DR095_RS02430	NB626_RS01015
OG0000505	DR095_RS02395	NB626_RS01055
OG0000507	DR095_RS02350	NB626_RS01100
OG0000509	DR095_RS00870	NB626_RS00285
OG0000510	DR095_RS00860	NB626_RS00295
OG0000511	DR095_RS00725	NB626_RS00530
OG0000512	DR095_RS00530	NB626_RS02735
OG0000513	DR095_RS02580	NB626_RS03635
OG0000514	DR095_RS00230	NB626_RS03045
OG0000517	DR095_RS01050	NB626_RS00065
OG0000518	DR095_RS01810	NB626_RS03295
OG0000519	DR095_RS02160	NB626_RS00900
OG0000522	DR095_RS00855	NB626_RS00300
OG0000523	DR095_RS02645	NB626_RS03560
OG0000524	DR095_RS00425	NB626_RS02855
OG0000525	DR095_RS04060	NB626_RS03520
OG0000530	DR095_RS01365	NB626_RS02505
OG0000533	DR095_RS02250	NB626_RS00700
OG0000534	DR095_RS00775	NB626_RS00385
OG0000536	DR095_RS01195	NB626_RS03750
OG0000541	DR095_RS00385	NB626_RS02900
OG0000551	DR095_RS01730	NB626_RS03165
OG0000555	DR095_RS03315	NB626_RS03100
OG0000584	DR095_RS01670	NB626_RS00475
OG0000585	DR095_RS03450	NB626_RS02365
OG0000589	DR095_RS03040	NB626_RS02290
OG0000595	DR095_RS03770	NB626_RS03190
OG0000596	DR095_RS01005	NB626_RS01860
OG0000597	DR095_RS00365	NB626_RS03185
OG0000598	DR095_RS01010	NB626_RS01865
OG0000599	DR095_RS01015	NB626_RS01870
OG0000600	DR095_RS01665	NB626_RS00470
OG0000603	DR095_RS01650	NB626_RS00465
OG0000605	DR095_RS01645	NB626_RS00460
OG0000627	DR095_RS01190	NB626_RS03755
OG0000632	DR095_RS03775	NB626_RS01880
