Orthogroup	MFC_MF29_genes	MHP_J_genes
OG0000066	DR095_RS01440	MHJ_RS01325
OG0000068	DR095_RS00120	MHJ_RS00630
OG0000069	DR095_RS00275	MHJ_RS02785
OG0000070	DR095_RS00605	MHJ_RS02430
OG0000071	DR095_RS01935	MHJ_RS03250
OG0000072	DR095_RS03885	MHJ_RS03255
OG0000073	DR095_RS02080	MHJ_RS00685
OG0000074	DR095_RS03915	MHJ_RS00875
OG0000075	DR095_RS00815	MHJ_RS00320
OG0000076	DR095_RS00800	MHJ_RS00335
OG0000077	DR095_RS00715	MHJ_RS00425
OG0000078	DR095_RS00415	MHJ_RS01625
OG0000079	DR095_RS00525	MHJ_RS02515
OG0000080	DR095_RS03375	MHJ_RS03800
OG0000081	DR095_RS00820	MHJ_RS00315
OG0000082	DR095_RS00585	MHJ_RS02340, MHJ_RS03775
OG0000083	DR095_RS03045	MHJ_RS01975
OG0000084	DR095_RS02880	MHJ_RS02000
OG0000085	DR095_RS02875	MHJ_RS02005
OG0000086	DR095_RS03990	MHJ_RS02015
OG0000087	DR095_RS02850	MHJ_RS02030
OG0000088	DR095_RS02845	MHJ_RS02035
OG0000089	DR095_RS02835	MHJ_RS02045
OG0000090	DR095_RS01045	MHJ_RS00070
OG0000091	DR095_RS01060	MHJ_RS00055
OG0000092	DR095_RS01075	MHJ_RS00040
OG0000093	DR095_RS01080	MHJ_RS00035
OG0000094	DR095_RS01085	MHJ_RS00030
OG0000095	DR095_RS01110	MHJ_RS00005
OG0000096	DR095_RS01115	MHJ_RS03580
OG0000097	DR095_RS01135	MHJ_RS03560
OG0000098	DR095_RS01145	MHJ_RS03550
OG0000099	DR095_RS01200	MHJ_RS03505
OG0000100	DR095_RS01210	MHJ_RS03490
OG0000101	DR095_RS01215	MHJ_RS03485
OG0000102	DR095_RS01225	MHJ_RS01650
OG0000103	DR095_RS01275	MHJ_RS02165
OG0000104	DR095_RS01280	MHJ_RS02170
OG0000105	DR095_RS01295	MHJ_RS02185
OG0000106	DR095_RS01305	MHJ_RS02195
OG0000107	DR095_RS01315	MHJ_RS02205
OG0000108	DR095_RS01320	MHJ_RS02210
OG0000109	DR095_RS01325	MHJ_RS02215
OG0000110	DR095_RS01330	MHJ_RS02330
OG0000111	DR095_RS01335	MHJ_RS02325
OG0000112	DR095_RS01345	MHJ_RS02315
OG0000113	DR095_RS03830	MHJ_RS02295
OG0000114	DR095_RS01370	MHJ_RS02285
OG0000115	DR095_RS01380	MHJ_RS02275
OG0000116	DR095_RS01390	MHJ_RS01270
OG0000117	DR095_RS01395	MHJ_RS01275
OG0000118	DR095_RS01425	MHJ_RS01310
OG0000119	DR095_RS01430	MHJ_RS01315
OG0000120	DR095_RS01445	MHJ_RS01330
OG0000121	DR095_RS01470	MHJ_RS01355
OG0000122	DR095_RS01475	MHJ_RS01360
OG0000123	DR095_RS01495	MHJ_RS01380
OG0000124	DR095_RS01500	MHJ_RS01385
OG0000125	DR095_RS01505	MHJ_RS01390
OG0000126	DR095_RS01515	MHJ_RS01400
OG0000127	DR095_RS01525	MHJ_RS01410
OG0000128	DR095_RS02900	MHJ_RS01425
OG0000129	DR095_RS02905	MHJ_RS01430
OG0000130	DR095_RS02915	MHJ_RS01440
OG0000131	DR095_RS02945	MHJ_RS01470
OG0000132	DR095_RS04000	MHJ_RS01485
OG0000133	DR095_RS00015	MHJ_RS00515
OG0000134	DR095_RS03750	MHJ_RS00520
OG0000135	DR095_RS00035	MHJ_RS00535
OG0000136	DR095_RS00040	MHJ_RS00540
OG0000137	DR095_RS00070	MHJ_RS00575
OG0000138	DR095_RS00095	MHJ_RS00605
OG0000139	DR095_RS00125	MHJ_RS00635
OG0000140	DR095_RS00130	MHJ_RS00640
OG0000141	DR095_RS00155	MHJ_RS02910
OG0000142	DR095_RS03765	MHJ_RS02905
OG0000143	DR095_RS00185	MHJ_RS02880
OG0000144	DR095_RS00195	MHJ_RS02870
OG0000145	DR095_RS00205	MHJ_RS02855
OG0000146	DR095_RS00215	MHJ_RS02845
OG0000147	DR095_RS00220	MHJ_RS02840
OG0000148	DR095_RS00235	MHJ_RS02825
OG0000149	DR095_RS00245	MHJ_RS02815
OG0000150	DR095_RS00260	MHJ_RS02800
OG0000151	DR095_RS00315	MHJ_RS02745
OG0000152	DR095_RS00320	MHJ_RS02740
OG0000153	DR095_RS00325	MHJ_RS02735
OG0000154	DR095_RS00335	MHJ_RS02725
OG0000155	DR095_RS00355	MHJ_RS02685
OG0000156	DR095_RS00390	MHJ_RS02675
OG0000157	DR095_RS03780	MHJ_RS02670
OG0000158	DR095_RS03785	MHJ_RS04010
OG0000159	DR095_RS00635	MHJ_RS04030
OG0000160	DR095_RS00640	MHJ_RS02410
OG0000161	DR095_RS00650	MHJ_RS02405
OG0000162	DR095_RS02680	MHJ_RS02395
OG0000163	DR095_RS02685	MHJ_RS02390
OG0000164	DR095_RS03975	MHJ_RS01565
OG0000165	DR095_RS02760	MHJ_RS01890
OG0000166	DR095_RS02780	MHJ_RS01915
OG0000167	DR095_RS02795	MHJ_RS01930
OG0000168	DR095_RS02800	MHJ_RS01935
OG0000169	DR095_RS01750	MHJ_RS03005
OG0000170	DR095_RS01765	MHJ_RS03035
OG0000171	DR095_RS01775	MHJ_RS03045
OG0000172	DR095_RS01780	MHJ_RS03050
OG0000173	DR095_RS01785	MHJ_RS03055
OG0000174	DR095_RS01790	MHJ_RS03060
OG0000175	DR095_RS01805	MHJ_RS03075
OG0000176	DR095_RS01845	MHJ_RS03125
OG0000177	DR095_RS01850	MHJ_RS03130
OG0000178	DR095_RS01855	MHJ_RS03135
OG0000179	DR095_RS01865	MHJ_RS03145
OG0000180	DR095_RS01870	MHJ_RS03150
OG0000181	DR095_RS03870	MHJ_RS03200
OG0000182	DR095_RS01895	MHJ_RS03210
OG0000183	DR095_RS01930	MHJ_RS03245
OG0000184	DR095_RS02970	MHJ_RS03285
OG0000185	DR095_RS02985	MHJ_RS03270
OG0000186	DR095_RS01970	MHJ_RS01495
OG0000187	DR095_RS01985	MHJ_RS01510
OG0000188	DR095_RS01995	MHJ_RS01520
OG0000189	DR095_RS03890	MHJ_RS02250
OG0000190	DR095_RS02010	MHJ_RS02245
OG0000191	DR095_RS02030	MHJ_RS02225
OG0000192	DR095_RS02040	MHJ_RS01190
OG0000193	DR095_RS02055	MHJ_RS01180
OG0000194	DR095_RS02065	MHJ_RS00670
OG0000195	DR095_RS02070	MHJ_RS00675
OG0000196	DR095_RS03895	MHJ_RS00695
OG0000197	DR095_RS02095	MHJ_RS00700
OG0000198	DR095_RS02110	MHJ_RS00715
OG0000199	DR095_RS02115	MHJ_RS00720
OG0000200	DR095_RS02130	MHJ_RS00730
OG0000201	DR095_RS02140	MHJ_RS00740
OG0000202	DR095_RS02195	MHJ_RS00795
OG0000203	DR095_RS02200	MHJ_RS00800
OG0000204	DR095_RS03925	MHJ_RS00805
OG0000205	DR095_RS02490	MHJ_RS00810
OG0000206	DR095_RS02470	MHJ_RS00830
OG0000207	DR095_RS02455	MHJ_RS00845
OG0000208	DR095_RS02450	MHJ_RS00850
OG0000209	DR095_RS02445	MHJ_RS00855
OG0000210	DR095_RS02400	MHJ_RS00900
OG0000211	DR095_RS02390	MHJ_RS00910
OG0000212	DR095_RS02380	MHJ_RS00920
OG0000213	DR095_RS02375	MHJ_RS00925
OG0000214	DR095_RS02370	MHJ_RS00930
OG0000215	DR095_RS02365	MHJ_RS00935
OG0000216	DR095_RS02360	MHJ_RS00940
OG0000217	DR095_RS02355	MHJ_RS00945
OG0000218	DR095_RS03910	MHJ_RS00955
OG0000219	DR095_RS02340	MHJ_RS00960
OG0000220	DR095_RS02335	MHJ_RS00965
OG0000221	DR095_RS02330	MHJ_RS00970
OG0000222	DR095_RS02325	MHJ_RS00975
OG0000223	DR095_RS02320	MHJ_RS00980
OG0000224	DR095_RS02310	MHJ_RS00990
OG0000225	DR095_RS02300	MHJ_RS01000
OG0000226	DR095_RS02295	MHJ_RS01005
OG0000227	DR095_RS02290	MHJ_RS01010
OG0000228	DR095_RS04045	MHJ_RS04015
OG0000229	DR095_RS02280	MHJ_RS01020
OG0000230	DR095_RS02275	MHJ_RS01025
OG0000231	DR095_RS02265	MHJ_RS01035
OG0000232	DR095_RS02255	MHJ_RS01045
OG0000233	DR095_RS02245	MHJ_RS01065
OG0000234	DR095_RS02215	MHJ_RS01100
OG0000235	DR095_RS02205	MHJ_RS01110
OG0000236	DR095_RS01540	MHJ_RS01115
OG0000237	DR095_RS01560	MHJ_RS01120
OG0000238	DR095_RS01565	MHJ_RS01130
OG0000239	DR095_RS01595	MHJ_RS02925
OG0000240	DR095_RS01600	MHJ_RS02930
OG0000241	DR095_RS01705	MHJ_RS02940
OG0000242	DR095_RS01710	MHJ_RS02945
OG0000243	DR095_RS01715	MHJ_RS02950
OG0000244	DR095_RS01725	MHJ_RS02960
OG0000245	DR095_RS01735	MHJ_RS02970
OG0000246	DR095_RS01030	MHJ_RS00115
OG0000247	DR095_RS01020	MHJ_RS00125
OG0000248	DR095_RS00995	MHJ_RS00135
OG0000249	DR095_RS00990	MHJ_RS00140
OG0000250	DR095_RS00975	MHJ_RS00155
OG0000251	DR095_RS00945	MHJ_RS00185
OG0000252	DR095_RS00935	MHJ_RS00195
OG0000253	DR095_RS00930	MHJ_RS00200
OG0000254	DR095_RS00920	MHJ_RS00210
OG0000255	DR095_RS00915	MHJ_RS00220
OG0000256	DR095_RS00910	MHJ_RS00225
OG0000257	DR095_RS00885	MHJ_RS00250
OG0000258	DR095_RS00875	MHJ_RS00260
OG0000259	DR095_RS00845	MHJ_RS00290
OG0000260	DR095_RS00835	MHJ_RS00300
OG0000261	DR095_RS03795	MHJ_RS00310
OG0000262	DR095_RS00810	MHJ_RS00325
OG0000263	DR095_RS00795	MHJ_RS00340
OG0000264	DR095_RS00780	MHJ_RS00355
OG0000265	DR095_RS00770	MHJ_RS00365
OG0000266	DR095_RS00755	MHJ_RS00380
OG0000267	DR095_RS00740	MHJ_RS00395
OG0000268	DR095_RS00735	MHJ_RS00400
OG0000269	DR095_RS00720	MHJ_RS00415
OG0000270	DR095_RS03930	MHJ_RS03460
OG0000271	DR095_RS02520	MHJ_RS03455
OG0000272	DR095_RS02525	MHJ_RS03450
OG0000273	DR095_RS02530	MHJ_RS03445
OG0000274	DR095_RS02550	MHJ_RS03425
OG0000275	DR095_RS03935	MHJ_RS03420
OG0000276	DR095_RS02560	MHJ_RS03415
OG0000277	DR095_RS03940	MHJ_RS03405
OG0000278	DR095_RS02575	MHJ_RS03400
OG0000279	DR095_RS02585	MHJ_RS03390
OG0000280	DR095_RS02590	MHJ_RS03385
OG0000281	DR095_RS02595	MHJ_RS03705
OG0000282	DR095_RS02620	MHJ_RS03360
OG0000283	DR095_RS02625	MHJ_RS03355
OG0000284	DR095_RS02630	MHJ_RS03350
OG0000285	DR095_RS03955	MHJ_RS03345
OG0000286	DR095_RS00590	MHJ_RS02375
OG0000287	DR095_RS00565	MHJ_RS02475
OG0000288	DR095_RS00555	MHJ_RS02485
OG0000289	DR095_RS00550	MHJ_RS02495
OG0000290	DR095_RS03370	MHJ_RS02605
OG0000291	DR095_RS00450	MHJ_RS02595
OG0000292	DR095_RS00455	MHJ_RS02590
OG0000293	DR095_RS00460	MHJ_RS02585
OG0000294	DR095_RS00470	MHJ_RS02570
OG0000295	DR095_RS00475	MHJ_RS02565
OG0000296	DR095_RS00515	MHJ_RS02525
OG0000297	DR095_RS00520	MHJ_RS02520
OG0000298	DR095_RS00980	MHJ_RS00150
OG0000299	DR095_RS00960	MHJ_RS00170
OG0000300	DR095_RS00785	MHJ_RS00350
OG0000301	DR095_RS00750	MHJ_RS00385
OG0000302	DR095_RS00745	MHJ_RS00390
OG0000303	DR095_RS00045	MHJ_RS00545
OG0000304	DR095_RS00080	MHJ_RS01050
OG0000305	DR095_RS00210	MHJ_RS02850
OG0000306	DR095_RS00290	MHJ_RS02775
OG0000307	DR095_RS00330	MHJ_RS02730
OG0000308	DR095_RS00430	MHJ_RS02625
OG0000309	DR095_RS00485	MHJ_RS02555
OG0000310	DR095_RS00560	MHJ_RS02480
OG0000311	DR095_RS00610	MHJ_RS02435
OG0000312	DR095_RS00630	MHJ_RS02420
OG0000313	DR095_RS02705	MHJ_RS01555
OG0000314	DR095_RS02775	MHJ_RS01910
OG0000315	DR095_RS02805	MHJ_RS01940
OG0000316	DR095_RS02815	MHJ_RS01950
OG0000317	DR095_RS02840	MHJ_RS02040
OG0000318	DR095_RS04005	MHJ_RS01955
OG0000319	DR095_RS01290	MHJ_RS02180
OG0000320	DR095_RS01355	MHJ_RS02305
OG0000321	DR095_RS01420	MHJ_RS01305
OG0000322	DR095_RS01465	MHJ_RS01350
OG0000323	DR095_RS02955	MHJ_RS01480
OG0000324	DR095_RS02035	MHJ_RS02220
OG0000325	DR095_RS02075	MHJ_RS00680
OG0000326	DR095_RS02170	MHJ_RS00770
OG0000327	DR095_RS02175	MHJ_RS00775
OG0000328	DR095_RS02440	MHJ_RS00860
OG0000329	DR095_RS02420	MHJ_RS00880
OG0000330	DR095_RS02235	MHJ_RS01075
OG0000331	DR095_RS01720	MHJ_RS02955
OG0000332	DR095_RS01815	MHJ_RS03085
OG0000333	DR095_RS01825	MHJ_RS03095
OG0000334	DR095_RS01890	MHJ_RS03205
OG0000335	DR095_RS03875	MHJ_RS03215
OG0000336	DR095_RS03950	MHJ_RS03375
OG0000337	DR095_RS01160	MHJ_RS03535
OG0000338	DR095_RS01120	MHJ_RS03575
OG0000339	DR095_RS01375	MHJ_RS02280
OG0000340	DR095_RS01400	MHJ_RS01285
OG0000341	DR095_RS02015	MHJ_RS02240
OG0000342	DR095_RS02105	MHJ_RS00710
OG0000343	DR095_RS01835	MHJ_RS03105
OG0000344	DR095_RS00060	MHJ_RS00560
OG0000345	DR095_RS02305	MHJ_RS00995
OG0000346	DR095_RS03945	MHJ_RS03380
OG0000347	DR095_RS01490	MHJ_RS01375
OG0000348	DR095_RS03905	MHJ_RS00780
OG0000349	DR095_RS02540	MHJ_RS03435
OG0000350	DR095_RS00295	MHJ_RS02720
OG0000351	DR095_RS00660	MHJ_RS00475
OG0000352	DR095_RS02755	MHJ_RS01885
OG0000353	DR095_RS01460	MHJ_RS01345
OG0000354	DR095_RS00110	MHJ_RS00620
OG0000355	DR095_RS03980	MHJ_RS01855
OG0000356	DR095_RS03985	MHJ_RS01945
OG0000357	DR095_RS03860	MHJ_RS03065
OG0000358	DR095_RS01800	MHJ_RS03070
OG0000359	DR095_RS03900	MHJ_RS00750
OG0000360	DR095_RS00880	MHJ_RS00255
OG0000361	DR095_RS00850	MHJ_RS00285
OG0000362	DR095_RS00540	MHJ_RS02500
OG0000363	DR095_RS01530	MHJ_RS03840
OG0000365	DR095_RS04025	MHJ_RS01985
OG0000366	DR095_RS02870	MHJ_RS02010
OG0000367	DR095_RS02860	MHJ_RS02020
OG0000368	DR095_RS01055	MHJ_RS00060
OG0000369	DR095_RS03410	MHJ_RS00025
OG0000370	DR095_RS01095	MHJ_RS00020
OG0000371	DR095_RS01100	MHJ_RS00015
OG0000372	DR095_RS01105	MHJ_RS00010
OG0000373	DR095_RS01130	MHJ_RS03565
OG0000374	DR095_RS01140	MHJ_RS03555
OG0000375	DR095_RS01285	MHJ_RS02175
OG0000376	DR095_RS01340	MHJ_RS02320
OG0000377	DR095_RS01350	MHJ_RS02310
OG0000378	DR095_RS01385	MHJ_RS01265
OG0000379	DR095_RS01455	MHJ_RS01340
OG0000380	DR095_RS01480	MHJ_RS01365
OG0000381	DR095_RS01520	MHJ_RS01405
OG0000382	DR095_RS02910	MHJ_RS01435
OG0000383	DR095_RS02950	MHJ_RS01475
OG0000384	DR095_RS00655	MHJ_RS00500
OG0000385	DR095_RS00005	MHJ_RS00505
OG0000386	DR095_RS00025	MHJ_RS00525
OG0000387	DR095_RS00050	MHJ_RS00550
OG0000388	DR095_RS03755	MHJ_RS00555
OG0000389	DR095_RS00090	MHJ_RS00600
OG0000390	DR095_RS00190	MHJ_RS02875
OG0000391	DR095_RS00200	MHJ_RS02865
OG0000392	DR095_RS00225	MHJ_RS02835
OG0000393	DR095_RS00280	MHJ_RS02780
OG0000394	DR095_RS00345	MHJ_RS02695
OG0000395	DR095_RS00350	MHJ_RS02690
OG0000396	DR095_RS02695	MHJ_RS02380
OG0000397	DR095_RS02740	MHJ_RS01870
OG0000398	DR095_RS02745	MHJ_RS01875
OG0000399	DR095_RS02790	MHJ_RS01925
OG0000400	DR095_RS01760	MHJ_RS03030
OG0000401	DR095_RS01820	MHJ_RS03090
OG0000402	DR095_RS01830	MHJ_RS03100
OG0000403	DR095_RS01840	MHJ_RS03110
OG0000404	DR095_RS03865	MHJ_RS03140
OG0000405	DR095_RS01875	MHJ_RS03155
OG0000406	DR095_RS01905	MHJ_RS03220
OG0000407	DR095_RS03880	MHJ_RS03225
OG0000408	DR095_RS01915	MHJ_RS03230
OG0000409	DR095_RS01920	MHJ_RS03235
OG0000410	DR095_RS02965	MHJ_RS03290
OG0000411	DR095_RS02975	MHJ_RS03280
OG0000412	DR095_RS02980	MHJ_RS03275
OG0000413	DR095_RS01965	MHJ_RS01490
OG0000414	DR095_RS01975	MHJ_RS01500
OG0000415	DR095_RS01980	MHJ_RS01505
OG0000416	DR095_RS01990	MHJ_RS01515
OG0000417	DR095_RS02020	MHJ_RS02235
OG0000418	DR095_RS02025	MHJ_RS02230
OG0000419	DR095_RS02085	MHJ_RS00690
OG0000420	DR095_RS02120	MHJ_RS00725
OG0000421	DR095_RS02155	MHJ_RS00755
OG0000422	DR095_RS02165	MHJ_RS00765
OG0000423	DR095_RS02480	MHJ_RS00820
OG0000424	DR095_RS02475	MHJ_RS00825
OG0000425	DR095_RS02465	MHJ_RS00835
OG0000426	DR095_RS03585	MHJ_RS00840
OG0000427	DR095_RS03920	MHJ_RS00865
OG0000428	DR095_RS02410	MHJ_RS00890
OG0000429	DR095_RS02315	MHJ_RS00985
OG0000430	DR095_RS02270	MHJ_RS01030
OG0000431	DR095_RS02260	MHJ_RS01040
OG0000432	DR095_RS02240	MHJ_RS01070
OG0000433	DR095_RS02230	MHJ_RS01085
OG0000434	DR095_RS02225	MHJ_RS01090
OG0000435	DR095_RS02210	MHJ_RS01105
OG0000436	DR095_RS01570	MHJ_RS01135
OG0000437	DR095_RS01580	MHJ_RS01145
OG0000438	DR095_RS03840	MHJ_RS01150
OG0000439	DR095_RS01590	MHJ_RS01155
OG0000440	DR095_RS03855	MHJ_RS02935
OG0000441	DR095_RS01745	MHJ_RS02975
OG0000442	DR095_RS01025	MHJ_RS00120
OG0000443	DR095_RS00965	MHJ_RS00165
OG0000444	DR095_RS00950	MHJ_RS00180
OG0000445	DR095_RS00925	MHJ_RS00205
OG0000446	DR095_RS00900	MHJ_RS00235
OG0000447	DR095_RS00895	MHJ_RS00240
OG0000448	DR095_RS00865	MHJ_RS00270
OG0000449	DR095_RS00840	MHJ_RS00295
OG0000450	DR095_RS00830	MHJ_RS00305
OG0000451	DR095_RS00790	MHJ_RS00345
OG0000452	DR095_RS00765	MHJ_RS00370
OG0000453	DR095_RS00730	MHJ_RS00405
OG0000455	DR095_RS03825	MHJ_RS03480
OG0000456	DR095_RS02615	MHJ_RS03365
OG0000457	DR095_RS02640	MHJ_RS03340
OG0000458	DR095_RS00570	MHJ_RS02470
OG0000460	DR095_RS00535	MHJ_RS02505
OG0000461	DR095_RS00490	MHJ_RS02550
OG0000462	DR095_RS00495	MHJ_RS02545
OG0000463	DR095_RS00500	MHJ_RS02540
OG0000464	DR095_RS00505	MHJ_RS02535
OG0000465	DR095_RS00510	MHJ_RS02530
OG0000466	DR095_RS00760	MHJ_RS00375
OG0000467	DR095_RS03790	MHJ_RS02640
OG0000468	DR095_RS02785	MHJ_RS01920
OG0000469	DR095_RS03050	MHJ_RS01980
OG0000470	DR095_RS02485	MHJ_RS03785
OG0000471	DR095_RS02405	MHJ_RS00895
OG0000472	DR095_RS02665	MHJ_RS03300
OG0000473	DR095_RS02510	MHJ_RS03465
OG0000474	DR095_RS02505	MHJ_RS03470
OG0000475	DR095_RS02500	MHJ_RS03475
OG0000476	DR095_RS01220	MHJ_RS01525
OG0000477	DR095_RS00465	MHJ_RS02580
OG0000478	DR095_RS02565	MHJ_RS03410
OG0000479	DR095_RS01415	MHJ_RS01300
OG0000480	DR095_RS03245	MHJ_RS03770
OG0000481	DR095_RS02190	MHJ_RS00790
OG0000482	DR095_RS02050	MHJ_RS01185
OG0000483	DR095_RS02855	MHJ_RS02025
OG0000484	DR095_RS03800	MHJ_RS00175
OG0000485	DR095_RS01575	MHJ_RS01140
OG0000486	DR095_RS02000	MHJ_RS02255
OG0000487	DR095_RS04010	MHJ_RS01960
OG0000488	DR095_RS02885	MHJ_RS01995
OG0000489	DR095_RS01065	MHJ_RS00050
OG0000490	DR095_RS01125	MHJ_RS03570
OG0000491	DR095_RS01435	MHJ_RS01320
OG0000492	DR095_RS01510	MHJ_RS01395
OG0000493	DR095_RS00065	MHJ_RS00565
OG0000494	DR095_RS00115	MHJ_RS00625
OG0000495	DR095_RS00255	MHJ_RS02805
OG0000496	DR095_RS00265	MHJ_RS02795
OG0000497	DR095_RS00270	MHJ_RS02790
OG0000498	DR095_RS00340	MHJ_RS02700
OG0000499	DR095_RS00400	MHJ_RS02665
OG0000500	DR095_RS02750	MHJ_RS01880
OG0000501	DR095_RS01770	MHJ_RS03040
OG0000502	DR095_RS02060	MHJ_RS01175
OG0000503	DR095_RS02135	MHJ_RS00735
OG0000504	DR095_RS02430	MHJ_RS00870
OG0000505	DR095_RS02395	MHJ_RS00905
OG0000506	DR095_RS02385	MHJ_RS00915
OG0000507	DR095_RS02350	MHJ_RS00950
OG0000508	DR095_RS00905	MHJ_RS00230
OG0000509	DR095_RS00870	MHJ_RS00265
OG0000510	DR095_RS00860	MHJ_RS00275
OG0000511	DR095_RS00725	MHJ_RS00410
OG0000512	DR095_RS00530	MHJ_RS02510
OG0000513	DR095_RS02580	MHJ_RS03395
OG0000514	DR095_RS00230	MHJ_RS02830
OG0000516	DR095_RS03000	MHJ_RS01965
OG0000517	DR095_RS01050	MHJ_RS00065
OG0000518	DR095_RS01810	MHJ_RS03080
OG0000519	DR095_RS02160	MHJ_RS00760
OG0000520	DR095_RS02415	MHJ_RS00885
OG0000521	DR095_RS00890	MHJ_RS00245
OG0000522	DR095_RS00855	MHJ_RS00280
OG0000523	DR095_RS02645	MHJ_RS03335
OG0000524	DR095_RS00425	MHJ_RS02635
OG0000525	DR095_RS04060	MHJ_RS03305
OG0000528	DR095_RS03010	MHJ_RS01970
OG0000529	DR095_RS01300	MHJ_RS02190
OG0000530	DR095_RS01365	MHJ_RS02290
OG0000531	DR095_RS01485	MHJ_RS01370
OG0000533	DR095_RS02250	MHJ_RS00585
OG0000534	DR095_RS00775	MHJ_RS00360
OG0000535	DR095_RS01070	MHJ_RS00045
OG0000536	DR095_RS01195	MHJ_RS03510
OG0000537	DR095_RS02100	MHJ_RS00705
OG0000538	DR095_RS02220	MHJ_RS01095
OG0000539	DR095_RS00940	MHJ_RS00190
OG0000541	DR095_RS00385	MHJ_RS02680
OG0000542	DR095_RS00805	MHJ_RS00330
OG0000547	DR095_RS00180	MHJ_RS02885
OG0000548	DR095_RS02700	MHJ_RS01550
OG0000549	DR095_RS02670	MHJ_RS03295
OG0000550	DR095_RS02545	MHJ_RS03430
OG0000551	DR095_RS01730	MHJ_RS02965
OG0000555	DR095_RS03315	MHJ_RS03945
OG0000585	DR095_RS03450	MHJ_RS03590
OG0000589	DR095_RS03040	MHJ_RS03650
OG0000595	DR095_RS03770	MHJ_RS03020
OG0000596	DR095_RS01005	MHJ_RS01685
OG0000597	DR095_RS00365	MHJ_RS03015
OG0000598	DR095_RS01010	MHJ_RS01690
OG0000599	DR095_RS01015	MHJ_RS01695
OG0000602	DR095_RS02890	MHJ_RS01990
