Orthogroup	MHP_111A_genes	MHP_ES2L_genes
OG0000068	NB623_RS00640	HZK19_RS00635
OG0000069	NB623_RS02980	HZK19_RS02780
OG0000070	NB623_RS02630	HZK19_RS02445
OG0000071	NB623_RS03425	HZK19_RS03315
OG0000072	NB623_RS03430	HZK19_RS03320
OG0000073	NB623_RS00710	HZK19_RS00680
OG0000074	NB623_RS00910	HZK19_RS00875
OG0000075	NB623_RS00330	HZK19_RS00325
OG0000077	NB623_RS00430	HZK19_RS00425
OG0000079	NB623_RS02720	HZK19_RS02525
OG0000080	NB623_RS02770	HZK19_RS02570
OG0000081	NB623_RS00325	HZK19_RS00320
OG0000083	NB623_RS02075	HZK19_RS01985
OG0000084	NB623_RS02045	HZK19_RS02015
OG0000085	NB623_RS02040	HZK19_RS02020
OG0000086	NB623_RS02030	HZK19_RS02030
OG0000087	NB623_RS02015	HZK19_RS02045
OG0000088	NB623_RS02010	HZK19_RS02050
OG0000089	NB623_RS02000	HZK19_RS02060
OG0000090	NB623_RS00070	HZK19_RS00070
OG0000091	NB623_RS00055	HZK19_RS00055
OG0000092	NB623_RS00050	HZK19_RS00040
OG0000093	NB623_RS00035	HZK19_RS00035
OG0000094	NB623_RS00030	HZK19_RS00030
OG0000095	NB623_RS00005	HZK19_RS00005
OG0000096	NB623_RS03810	HZK19_RS03665
OG0000097	NB623_RS03790	HZK19_RS03645
OG0000098	NB623_RS03780	HZK19_RS03635
OG0000099	NB623_RS03730	HZK19_RS03585
OG0000100	NB623_RS03715	HZK19_RS03570
OG0000101	NB623_RS03710	HZK19_RS03565
OG0000102	NB623_RS01830	HZK19_RS01675
OG0000103	NB623_RS02355	HZK19_RS02185
OG0000104	NB623_RS02360	HZK19_RS02190
OG0000105	NB623_RS02380	HZK19_RS02205
OG0000106	NB623_RS02385	HZK19_RS02215
OG0000107	NB623_RS02395	HZK19_RS02225
OG0000108	NB623_RS02400	HZK19_RS02230
OG0000109	NB623_RS02405	HZK19_RS02235
OG0000110	NB623_RS02525	HZK19_RS02355
OG0000111	NB623_RS02520	HZK19_RS02350
OG0000112	NB623_RS02510	HZK19_RS02340
OG0000113	NB623_RS02490	HZK19_RS02320
OG0000114	NB623_RS02485	HZK19_RS02310
OG0000115	NB623_RS02470	HZK19_RS02300
OG0000116	NB623_RS01415	HZK19_RS01265
OG0000117	NB623_RS01420	HZK19_RS01270
OG0000118	NB623_RS01455	HZK19_RS01305
OG0000119	NB623_RS01465	HZK19_RS01310
OG0000120	NB623_RS01475	HZK19_RS01325
OG0000121	NB623_RS01505	HZK19_RS01350
OG0000122	NB623_RS01510	HZK19_RS01355
OG0000123	NB623_RS01530	HZK19_RS01375
OG0000124	NB623_RS01535	HZK19_RS01380
OG0000125	NB623_RS01545	HZK19_RS01385
OG0000126	NB623_RS01550	HZK19_RS01395
OG0000127	NB623_RS01560	HZK19_RS01405
OG0000128	NB623_RS01575	HZK19_RS01420
OG0000129	NB623_RS01580	HZK19_RS01425
OG0000130	NB623_RS01590	HZK19_RS01435
OG0000131	NB623_RS01620	HZK19_RS01465
OG0000132	NB623_RS01635	HZK19_RS01480
OG0000133	NB623_RS00525	HZK19_RS00520
OG0000134	NB623_RS00530	HZK19_RS00525
OG0000135	NB623_RS00545	HZK19_RS00540
OG0000136	NB623_RS00550	HZK19_RS00545
OG0000137	NB623_RS00590	HZK19_RS00575
OG0000138	NB623_RS00615	HZK19_RS00610
OG0000139	NB623_RS00645	HZK19_RS00640
OG0000140	NB623_RS00650	HZK19_RS00645
OG0000141	NB623_RS03095	HZK19_RS02895
OG0000142	NB623_RS03090	HZK19_RS02890
OG0000143	NB623_RS03075	HZK19_RS02870
OG0000144	NB623_RS03060	HZK19_RS02860
OG0000145	NB623_RS03050	HZK19_RS02850
OG0000146	NB623_RS03040	HZK19_RS02840
OG0000147	NB623_RS03035	HZK19_RS02835
OG0000148	NB623_RS03020	HZK19_RS02820
OG0000149	NB623_RS03010	HZK19_RS02810
OG0000150	NB623_RS02995	HZK19_RS02795
OG0000151	NB623_RS02945	HZK19_RS02750
OG0000152	NB623_RS02940	HZK19_RS02745
OG0000153	NB623_RS02935	HZK19_RS02740
OG0000154	NB623_RS02925	HZK19_RS02730
OG0000155	NB623_RS02885	HZK19_RS02690
OG0000156	NB623_RS02875	HZK19_RS02680
OG0000157	NB623_RS02870	HZK19_RS02675
OG0000158	NB623_RS02860	HZK19_RS03895
OG0000159	NB623_RS02615	HZK19_RS03970
OG0000160	NB623_RS02610	HZK19_RS02425
OG0000161	NB623_RS02605	HZK19_RS02420
OG0000162	NB623_RS02595	HZK19_RS02410
OG0000163	NB623_RS02590	HZK19_RS02405
OG0000164	NB623_RS01725	HZK19_RS01575
OG0000165	NB623_RS02155	HZK19_RS01905
OG0000166	NB623_RS02135	HZK19_RS01925
OG0000167	NB623_RS02120	HZK19_RS01940
OG0000168	NB623_RS02115	HZK19_RS01945
OG0000169	NB623_RS03200	HZK19_RS02990
OG0000170	NB623_RS03215	HZK19_RS03005
OG0000171	NB623_RS03225	HZK19_RS03110
OG0000172	NB623_RS03230	HZK19_RS03115
OG0000173	NB623_RS03235	HZK19_RS03120
OG0000174	NB623_RS03240	HZK19_RS03125
OG0000175	NB623_RS03265	HZK19_RS03140
OG0000176	NB623_RS03310	HZK19_RS03190
OG0000177	NB623_RS03315	HZK19_RS03195
OG0000178	NB623_RS03320	HZK19_RS03200
OG0000179	NB623_RS03330	HZK19_RS03210
OG0000180	NB623_RS03335	HZK19_RS03215
OG0000181	NB623_RS03375	HZK19_RS03265
OG0000182	NB623_RS03385	HZK19_RS03275
OG0000183	NB623_RS03420	HZK19_RS03310
OG0000184	NB623_RS03485	HZK19_RS03355
OG0000185	NB623_RS03475	HZK19_RS03340
OG0000186	NB623_RS01645	HZK19_RS01490
OG0000187	NB623_RS01660	HZK19_RS01505
OG0000188	NB623_RS01670	HZK19_RS01515
OG0000189	NB623_RS02445	HZK19_RS02270
OG0000190	NB623_RS02440	HZK19_RS02265
OG0000191	NB623_RS02415	HZK19_RS02245
OG0000192	NB623_RS01340	HZK19_RS01180
OG0000193	NB623_RS01325	HZK19_RS01175
OG0000194	NB623_RS00690	HZK19_RS00665
OG0000195	NB623_RS00695	HZK19_RS00670
OG0000196	NB623_RS00720	HZK19_RS00690
OG0000197	NB623_RS00730	HZK19_RS00695
OG0000198	NB623_RS00740	HZK19_RS00710
OG0000199	NB623_RS00745	HZK19_RS00715
OG0000200	NB623_RS00760	HZK19_RS00730
OG0000201	NB623_RS00770	HZK19_RS00740
OG0000202	NB623_RS00830	HZK19_RS00795
OG0000203	NB623_RS00835	HZK19_RS00800
OG0000204	NB623_RS00840	HZK19_RS00805
OG0000205	NB623_RS00845	HZK19_RS00810
OG0000206	NB623_RS00865	HZK19_RS00830
OG0000207	NB623_RS00880	HZK19_RS00845
OG0000208	NB623_RS00885	HZK19_RS00850
OG0000209	NB623_RS00890	HZK19_RS00855
OG0000210	NB623_RS00935	HZK19_RS00900
OG0000211	NB623_RS01070	HZK19_RS00910
OG0000212	NB623_RS01080	HZK19_RS00920
OG0000213	NB623_RS01085	HZK19_RS00925
OG0000214	NB623_RS01090	HZK19_RS00930
OG0000215	NB623_RS01095	HZK19_RS00935
OG0000216	NB623_RS01100	HZK19_RS00940
OG0000217	NB623_RS01105	HZK19_RS00945
OG0000218	NB623_RS01115	HZK19_RS00955
OG0000219	NB623_RS01120	HZK19_RS00960
OG0000220	NB623_RS01125	HZK19_RS00965
OG0000221	NB623_RS01130	HZK19_RS00970
OG0000222	NB623_RS01135	HZK19_RS00975
OG0000223	NB623_RS01140	HZK19_RS00980
OG0000224	NB623_RS01150	HZK19_RS00990
OG0000225	NB623_RS01160	HZK19_RS01000
OG0000226	NB623_RS01165	HZK19_RS01005
OG0000227	NB623_RS01170	HZK19_RS01010
OG0000228	NB623_RS01175	HZK19_RS03950
OG0000229	NB623_RS01180	HZK19_RS01020
OG0000230	NB623_RS01185	HZK19_RS01025
OG0000231	NB623_RS01195	HZK19_RS01035
OG0000232	NB623_RS01205	HZK19_RS01045
OG0000233	NB623_RS01225	HZK19_RS01070
OG0000234	NB623_RS01260	HZK19_RS01105
OG0000235	NB623_RS01270	HZK19_RS01115
OG0000236	NB623_RS01275	HZK19_RS01120
OG0000237	NB623_RS01280	HZK19_RS01125
OG0000238	NB623_RS01285	HZK19_RS01130
OG0000239	NB623_RS03105	HZK19_RS02905
OG0000240	NB623_RS03110	HZK19_RS02910
OG0000241	NB623_RS03120	HZK19_RS02920
OG0000242	NB623_RS03125	HZK19_RS02925
OG0000243	NB623_RS03130	HZK19_RS02930
OG0000244	NB623_RS03140	HZK19_RS02940
OG0000245	NB623_RS03145	HZK19_RS02950
OG0000246	NB623_RS00130	HZK19_RS00125
OG0000247	NB623_RS00140	HZK19_RS00135
OG0000248	NB623_RS00150	HZK19_RS00145
OG0000249	NB623_RS00155	HZK19_RS00150
OG0000250	NB623_RS00175	HZK19_RS00165
OG0000251	NB623_RS00205	HZK19_RS00195
OG0000252	NB623_RS00210	HZK19_RS00205
OG0000253	NB623_RS00215	HZK19_RS00210
OG0000254	NB623_RS00225	HZK19_RS00220
OG0000255	NB623_RS00230	HZK19_RS00225
OG0000256	NB623_RS00240	HZK19_RS00230
OG0000257	NB623_RS00260	HZK19_RS00255
OG0000258	NB623_RS00270	HZK19_RS00265
OG0000259	NB623_RS00300	HZK19_RS00295
OG0000260	NB623_RS00310	HZK19_RS00305
OG0000261	NB623_RS00320	HZK19_RS00315
OG0000262	NB623_RS00340	HZK19_RS00330
OG0000263	NB623_RS00350	HZK19_RS00345
OG0000264	NB623_RS00365	HZK19_RS00360
OG0000265	NB623_RS00375	HZK19_RS00370
OG0000266	NB623_RS00390	HZK19_RS00385
OG0000267	NB623_RS00405	HZK19_RS00400
OG0000268	NB623_RS00410	HZK19_RS00405
OG0000269	NB623_RS00425	HZK19_RS00420
OG0000270	NB623_RS03685	HZK19_RS03540
OG0000271	NB623_RS03675	HZK19_RS03535
OG0000272	NB623_RS03670	HZK19_RS03530
OG0000273	NB623_RS03665	HZK19_RS03525
OG0000274	NB623_RS03650	HZK19_RS03505
OG0000275	NB623_RS03640	HZK19_RS03500
OG0000276	NB623_RS03635	HZK19_RS03495
OG0000277	NB623_RS03625	HZK19_RS03485
OG0000278	NB623_RS03620	HZK19_RS03480
OG0000279	NB623_RS03615	HZK19_RS03470
OG0000280	NB623_RS03605	HZK19_RS03465
OG0000281	NB623_RS03600	HZK19_RS03460
OG0000282	NB623_RS03570	HZK19_RS03435
OG0000283	NB623_RS03565	HZK19_RS03430
OG0000284	NB623_RS03560	HZK19_RS03425
OG0000285	NB623_RS03555	HZK19_RS03420
OG0000286	NB623_RS02575	HZK19_RS02390
OG0000287	NB623_RS02675	HZK19_RS02485
OG0000288	NB623_RS02685	HZK19_RS02495
OG0000289	NB623_RS02690	HZK19_RS02500
OG0000290	NB623_RS02810	HZK19_RS02610
OG0000291	NB623_RS02800	HZK19_RS02600
OG0000292	NB623_RS02795	HZK19_RS02595
OG0000293	NB623_RS02790	HZK19_RS02590
OG0000294	NB623_RS02780	HZK19_RS02580
OG0000295	NB623_RS02775	HZK19_RS02575
OG0000296	NB623_RS02730	HZK19_RS02535
OG0000297	NB623_RS02725	HZK19_RS02530
OG0000298	NB623_RS00165	HZK19_RS00160
OG0000299	NB623_RS00185	HZK19_RS00180
OG0000300	NB623_RS00360	HZK19_RS00355
OG0000301	NB623_RS00395	HZK19_RS00390
OG0000302	NB623_RS00400	HZK19_RS00395
OG0000303	NB623_RS00555	HZK19_RS00550
OG0000304	NB623_RS01210	HZK19_RS01055
OG0000305	NB623_RS03045	HZK19_RS02845
OG0000306	NB623_RS02970	HZK19_RS02770
OG0000307	NB623_RS02930	HZK19_RS02735
OG0000308	NB623_RS02835	HZK19_RS02635
OG0000309	NB623_RS02765	HZK19_RS02565
OG0000310	NB623_RS02680	HZK19_RS02490
OG0000311	NB623_RS02635	HZK19_RS02450
OG0000312	NB623_RS02620	HZK19_RS02435
OG0000313	NB623_RS01715	HZK19_RS01565
OG0000314	NB623_RS02140	HZK19_RS01920
OG0000315	NB623_RS02110	HZK19_RS01950
OG0000316	NB623_RS02100	HZK19_RS01960
OG0000317	NB623_RS02005	HZK19_RS02055
OG0000318	NB623_RS02095	HZK19_RS01965
OG0000319	NB623_RS02370	HZK19_RS02200
OG0000320	NB623_RS02500	HZK19_RS02330
OG0000321	NB623_RS01450	HZK19_RS01300
OG0000322	NB623_RS01500	HZK19_RS01345
OG0000323	NB623_RS01630	HZK19_RS01475
OG0000324	NB623_RS02410	HZK19_RS02240
OG0000325	NB623_RS00705	HZK19_RS00675
OG0000326	NB623_RS00805	HZK19_RS00770
OG0000327	NB623_RS00810	HZK19_RS00775
OG0000328	NB623_RS00895	HZK19_RS00860
OG0000329	NB623_RS00915	HZK19_RS00880
OG0000330	NB623_RS01235	HZK19_RS01080
OG0000331	NB623_RS03135	HZK19_RS02935
OG0000332	NB623_RS03270	HZK19_RS03150
OG0000333	NB623_RS03280	HZK19_RS03160
OG0000334	NB623_RS03380	HZK19_RS03270
OG0000335	NB623_RS03390	HZK19_RS03280
OG0000336	NB623_RS03590	HZK19_RS03450
OG0000337	NB623_RS03765	HZK19_RS03620
OG0000338	NB623_RS03805	HZK19_RS03660
OG0000339	NB623_RS02475	HZK19_RS02305
OG0000340	NB623_RS01430	HZK19_RS01280
OG0000341	NB623_RS02435	HZK19_RS02260
OG0000342	NB623_RS00735	HZK19_RS00705
OG0000343	NB623_RS03290	HZK19_RS03170
OG0000344	NB623_RS00570	HZK19_RS00565
OG0000345	NB623_RS01155	HZK19_RS00995
OG0000346	NB623_RS03595	HZK19_RS03455
OG0000347	NB623_RS01525	HZK19_RS01370
OG0000348	NB623_RS00815	HZK19_RS00780
OG0000349	NB623_RS03655	HZK19_RS03515
OG0000350	NB623_RS02920	HZK19_RS02725
OG0000351	NB623_RS00480	HZK19_RS00480
OG0000352	NB623_RS02160	HZK19_RS01895
OG0000353	NB623_RS01490	HZK19_RS01340
OG0000354	NB623_RS00630	HZK19_RS00625
OG0000355	NB623_RS02185	HZK19_RS01870
OG0000356	NB623_RS02105	HZK19_RS01955
OG0000357	NB623_RS03245	HZK19_RS03130
OG0000358	NB623_RS03250	HZK19_RS03135
OG0000359	NB623_RS00780	HZK19_RS00750
OG0000360	NB623_RS00265	HZK19_RS00260
OG0000361	NB623_RS00295	HZK19_RS00290
OG0000362	NB623_RS02705	HZK19_RS02510
OG0000363	NB623_RS01565	HZK19_RS03730
OG0000364	NB623_RS02210	HZK19_RS03760
OG0000365	NB623_RS02060	HZK19_RS02000
OG0000366	NB623_RS02035	HZK19_RS02025
OG0000367	NB623_RS02025	HZK19_RS02035
OG0000368	NB623_RS00060	HZK19_RS00060
OG0000369	NB623_RS00025	HZK19_RS00025
OG0000370	NB623_RS00020	HZK19_RS00020
OG0000371	NB623_RS00015	HZK19_RS00015
OG0000372	NB623_RS00010	HZK19_RS00010
OG0000373	NB623_RS03795	HZK19_RS03650
OG0000374	NB623_RS03785	HZK19_RS03640
OG0000375	NB623_RS02365	HZK19_RS02195
OG0000376	NB623_RS02515	HZK19_RS02345
OG0000377	NB623_RS02505	HZK19_RS02335
OG0000378	NB623_RS01410	HZK19_RS01260
OG0000379	NB623_RS01485	HZK19_RS01335
OG0000380	NB623_RS01515	HZK19_RS01360
OG0000381	NB623_RS01555	HZK19_RS01400
OG0000382	NB623_RS01585	HZK19_RS01430
OG0000383	NB623_RS01625	HZK19_RS01470
OG0000384	NB623_RS00510	HZK19_RS00505
OG0000385	NB623_RS00520	HZK19_RS00510
OG0000386	NB623_RS00535	HZK19_RS00530
OG0000387	NB623_RS00560	HZK19_RS00555
OG0000388	NB623_RS00565	HZK19_RS00560
OG0000389	NB623_RS00610	HZK19_RS00605
OG0000390	NB623_RS03065	HZK19_RS02865
OG0000391	NB623_RS03055	HZK19_RS02855
OG0000392	NB623_RS03030	HZK19_RS02830
OG0000393	NB623_RS02975	HZK19_RS02775
OG0000394	NB623_RS02895	HZK19_RS02700
OG0000395	NB623_RS02890	HZK19_RS02695
OG0000396	NB623_RS02580	HZK19_RS02395
OG0000397	NB623_RS02175	HZK19_RS01880
OG0000398	NB623_RS02170	HZK19_RS01885
OG0000399	NB623_RS02125	HZK19_RS01935
OG0000400	NB623_RS03210	HZK19_RS03000
OG0000401	NB623_RS03275	HZK19_RS03155
OG0000402	NB623_RS03285	HZK19_RS03165
OG0000403	NB623_RS03295	HZK19_RS03175
OG0000404	NB623_RS03325	HZK19_RS03205
OG0000405	NB623_RS03340	HZK19_RS03220
OG0000406	NB623_RS03395	HZK19_RS03285
OG0000407	NB623_RS03400	HZK19_RS03290
OG0000408	NB623_RS03405	HZK19_RS03295
OG0000409	NB623_RS03410	HZK19_RS03300
OG0000410	NB623_RS03495	HZK19_RS03360
OG0000411	NB623_RS03480	HZK19_RS03350
OG0000413	NB623_RS01640	HZK19_RS01485
OG0000414	NB623_RS01650	HZK19_RS01495
OG0000415	NB623_RS01655	HZK19_RS01500
OG0000416	NB623_RS01665	HZK19_RS01510
OG0000417	NB623_RS02430	HZK19_RS02255
OG0000418	NB623_RS02420	HZK19_RS02250
OG0000419	NB623_RS00715	HZK19_RS00685
OG0000420	NB623_RS00750	HZK19_RS00720
OG0000421	NB623_RS00790	HZK19_RS00755
OG0000422	NB623_RS00800	HZK19_RS00765
OG0000423	NB623_RS00855	HZK19_RS00820
OG0000424	NB623_RS00860	HZK19_RS00825
OG0000425	NB623_RS00870	HZK19_RS00835
OG0000426	NB623_RS00875	HZK19_RS00840
OG0000427	NB623_RS00900	HZK19_RS00865
OG0000428	NB623_RS00925	HZK19_RS00890
OG0000429	NB623_RS01145	HZK19_RS00985
OG0000430	NB623_RS01190	HZK19_RS01030
OG0000431	NB623_RS01200	HZK19_RS01040
OG0000432	NB623_RS01230	HZK19_RS01075
OG0000433	NB623_RS01245	HZK19_RS01090
OG0000434	NB623_RS01255	HZK19_RS01095
OG0000435	NB623_RS01265	HZK19_RS01110
OG0000436	NB623_RS01290	HZK19_RS01135
OG0000437	NB623_RS01300	HZK19_RS01145
OG0000438	NB623_RS01305	HZK19_RS01150
OG0000439	NB623_RS01310	HZK19_RS01155
OG0000440	NB623_RS03115	HZK19_RS02915
OG0000441	NB623_RS03150	HZK19_RS02955
OG0000442	NB623_RS00135	HZK19_RS00130
OG0000443	NB623_RS00180	HZK19_RS00175
OG0000444	NB623_RS00195	HZK19_RS00190
OG0000445	NB623_RS00220	HZK19_RS00215
OG0000446	NB623_RS00245	HZK19_RS00240
OG0000447	NB623_RS00255	HZK19_RS00245
OG0000448	NB623_RS00280	HZK19_RS00275
OG0000449	NB623_RS00305	HZK19_RS00300
OG0000450	NB623_RS00315	HZK19_RS00310
OG0000451	NB623_RS00355	HZK19_RS00350
OG0000452	NB623_RS00380	HZK19_RS00375
OG0000453	NB623_RS00415	HZK19_RS00410
OG0000455	NB623_RS03705	HZK19_RS03560
OG0000456	NB623_RS03580	HZK19_RS03440
OG0000457	NB623_RS03545	HZK19_RS03415
OG0000458	NB623_RS02670	HZK19_RS02480
OG0000459	NB623_RS02700	HZK19_RS02505
OG0000460	NB623_RS02710	HZK19_RS02520
OG0000461	NB623_RS02755	HZK19_RS02560
OG0000462	NB623_RS02750	HZK19_RS02555
OG0000463	NB623_RS02745	HZK19_RS02550
OG0000465	NB623_RS02735	HZK19_RS02545
OG0000466	NB623_RS00385	HZK19_RS00380
OG0000467	NB623_RS02845	HZK19_RS02645
OG0000468	NB623_RS02130	HZK19_RS01930
OG0000469	NB623_RS02070	HZK19_RS01990
OG0000470	NB623_RS00850	HZK19_RS00815
OG0000471	NB623_RS00930	HZK19_RS00895
OG0000472	NB623_RS03500	HZK19_RS03370
OG0000473	NB623_RS03690	HZK19_RS03545
OG0000474	NB623_RS03695	HZK19_RS03550
OG0000475	NB623_RS03700	HZK19_RS03555
OG0000476	NB623_RS01675	HZK19_RS01520
OG0000477	NB623_RS02785	HZK19_RS02585
OG0000478	NB623_RS03630	HZK19_RS03490
OG0000479	NB623_RS01445	HZK19_RS01295
OG0000480	NB623_RS02065	HZK19_RS01995
OG0000481	NB623_RS00825	HZK19_RS00790
OG0000483	NB623_RS02020	HZK19_RS02040
OG0000484	NB623_RS00190	HZK19_RS00185
OG0000485	NB623_RS01295	HZK19_RS01140
OG0000486	NB623_RS02450	HZK19_RS02275
OG0000488	NB623_RS02055	HZK19_RS02010
OG0000490	NB623_RS03800	HZK19_RS03655
OG0000493	NB623_RS00575	HZK19_RS00570
OG0000494	NB623_RS00635	HZK19_RS00630
OG0000495	NB623_RS03005	HZK19_RS02800
OG0000496	NB623_RS02990	HZK19_RS02790
OG0000497	NB623_RS02985	HZK19_RS02785
OG0000498	NB623_RS02900	HZK19_RS02705
OG0000499	NB623_RS02865	HZK19_RS02670
OG0000500	NB623_RS02165	HZK19_RS01890
OG0000501	NB623_RS03220	HZK19_RS03010
OG0000502	NB623_RS01320	HZK19_RS01165
OG0000503	NB623_RS00765	HZK19_RS00735
OG0000504	NB623_RS00905	HZK19_RS00870
OG0000505	NB623_RS01065	HZK19_RS00905
OG0000506	NB623_RS01075	HZK19_RS00915
OG0000507	NB623_RS01110	HZK19_RS00950
OG0000509	NB623_RS00275	HZK19_RS00270
OG0000510	NB623_RS00285	HZK19_RS00280
OG0000511	NB623_RS00420	HZK19_RS00415
OG0000514	NB623_RS03025	HZK19_RS02825
OG0000516	NB623_RS02090	HZK19_RS01975
OG0000517	NB623_RS00065	HZK19_RS00065
OG0000519	NB623_RS00795	HZK19_RS00760
OG0000520	NB623_RS00920	HZK19_RS00885
OG0000522	NB623_RS00290	HZK19_RS00285
OG0000523	NB623_RS03540	HZK19_RS03410
OG0000524	NB623_RS02840	HZK19_RS02640
OG0000525	NB623_RS03505	HZK19_RS03375
OG0000526	NB623_RS02260	HZK19_RS03755
OG0000527	NB623_RS02315	HZK19_RS01730
OG0000528	NB623_RS02080	HZK19_RS01980
OG0000531	NB623_RS01520	HZK19_RS01365
OG0000532	NB623_RS01745	HZK19_RS01590
OG0000533	NB623_RS00595	HZK19_RS00590
OG0000534	NB623_RS00370	HZK19_RS00365
OG0000536	NB623_RS03735	HZK19_RS03590
OG0000540	NB623_RS02805	HZK19_RS02605
OG0000541	NB623_RS02880	HZK19_RS02685
OG0000543	NB623_RS01930	HZK19_RS03095
OG0000544	NB623_RS01375	HZK19_RS01215
OG0000545	NB623_RS02270	HZK19_RS01785
OG0000546	NB623_RS02950	HZK19_RS02755
OG0000552	NB623_RS03300	HZK19_RS03180
OG0000553	NB623_RS02855	HZK19_RS02655
OG0000554	NB623_RS02535	HZK19_RS02360
OG0000555	NB623_RS03080	HZK19_RS02880
OG0000556	NB623_RS01970	HZK19_RS03050
OG0000557	NB623_RS01385	HZK19_RS01230
