Orthogroup	MHP_111A_genes	MHP_F72C_genes
OG0000352	NB623_RS02160	EHI52_RS02000
OG0000353	NB623_RS01490	EHI52_RS01435
OG0000354	NB623_RS00630	EHI52_RS00650
OG0000355	NB623_RS02185	EHI52_RS02030
OG0000356	NB623_RS02105	EHI52_RS01945
OG0000357	NB623_RS03245	EHI52_RS03110
OG0000358	NB623_RS03250	EHI52_RS03115
OG0000359	NB623_RS00780	EHI52_RS00775
OG0000360	NB623_RS00265	EHI52_RS00285
OG0000361	NB623_RS00295	EHI52_RS00315
OG0000362	NB623_RS02705	EHI52_RS02540
OG0000363	NB623_RS01565	EHI52_RS01505
OG0000364	NB623_RS02210	EHI52_RS03790, EHI52_RS02055
OG0000365	NB623_RS02060	EHI52_RS01905
OG0000366	NB623_RS02035	EHI52_RS01880
OG0000367	NB623_RS02025	EHI52_RS01870
OG0000368	NB623_RS00060	EHI52_RS00060
OG0000369	NB623_RS00025	EHI52_RS00025
OG0000370	NB623_RS00020	EHI52_RS00020
OG0000371	NB623_RS00015	EHI52_RS00015
OG0000372	NB623_RS00010	EHI52_RS00010
OG0000373	NB623_RS03795	EHI52_RS03605
OG0000374	NB623_RS03785	EHI52_RS03595
OG0000375	NB623_RS02365	EHI52_RS02235
OG0000376	NB623_RS02515	EHI52_RS02385
OG0000377	NB623_RS02505	EHI52_RS02375
OG0000378	NB623_RS01410	EHI52_RS01355
OG0000379	NB623_RS01485	EHI52_RS01430
OG0000380	NB623_RS01515	EHI52_RS01455
OG0000381	NB623_RS01555	EHI52_RS01495
OG0000382	NB623_RS01585	EHI52_RS01525
OG0000383	NB623_RS01625	EHI52_RS01565
OG0000384	NB623_RS00510	EHI52_RS00530
OG0000385	NB623_RS00520	EHI52_RS00535
OG0000386	NB623_RS00535	EHI52_RS00555
OG0000387	NB623_RS00560	EHI52_RS00580
OG0000388	NB623_RS00565	EHI52_RS00585
OG0000389	NB623_RS00610	EHI52_RS00630
OG0000390	NB623_RS03065	EHI52_RS02890
OG0000391	NB623_RS03055	EHI52_RS02880
OG0000392	NB623_RS03030	EHI52_RS02855
OG0000393	NB623_RS02975	EHI52_RS02800
OG0000394	NB623_RS02895	EHI52_RS02725
OG0000395	NB623_RS02890	EHI52_RS02720
OG0000396	NB623_RS02580	EHI52_RS02430
OG0000397	NB623_RS02175	EHI52_RS02015
OG0000398	NB623_RS02170	EHI52_RS02010
OG0000399	NB623_RS02125	EHI52_RS01965
OG0000400	NB623_RS03210	EHI52_RS03070
OG0000401	NB623_RS03275	EHI52_RS03135
OG0000402	NB623_RS03285	EHI52_RS03145
OG0000403	NB623_RS03295	EHI52_RS03155
OG0000404	NB623_RS03325	EHI52_RS03185
OG0000405	NB623_RS03340	EHI52_RS03200
OG0000406	NB623_RS03395	EHI52_RS03255
OG0000407	NB623_RS03400	EHI52_RS03260
OG0000408	NB623_RS03405	EHI52_RS03265
OG0000409	NB623_RS03410	EHI52_RS03270
OG0000410	NB623_RS03495	EHI52_RS03330
OG0000411	NB623_RS03480	EHI52_RS03320
OG0000413	NB623_RS01640	EHI52_RS01580
OG0000414	NB623_RS01650	EHI52_RS01590
OG0000415	NB623_RS01655	EHI52_RS01595
OG0000416	NB623_RS01665	EHI52_RS01605
OG0000417	NB623_RS02430	EHI52_RS02295
OG0000418	NB623_RS02420	EHI52_RS02290
OG0000419	NB623_RS00715	EHI52_RS00710
OG0000420	NB623_RS00750	EHI52_RS00745
OG0000421	NB623_RS00790	EHI52_RS00780
OG0000422	NB623_RS00800	EHI52_RS00790
OG0000423	NB623_RS00855	EHI52_RS00845
OG0000424	NB623_RS00860	EHI52_RS00850
OG0000425	NB623_RS00870	EHI52_RS00860
OG0000426	NB623_RS00875	EHI52_RS00865
OG0000427	NB623_RS00900	EHI52_RS00890
OG0000428	NB623_RS00925	EHI52_RS00915
OG0000429	NB623_RS01145	EHI52_RS01080
OG0000430	NB623_RS01190	EHI52_RS01125
OG0000431	NB623_RS01200	EHI52_RS01135
OG0000432	NB623_RS01230	EHI52_RS01170
OG0000433	NB623_RS01245	EHI52_RS01185
OG0000434	NB623_RS01255	EHI52_RS01190
OG0000435	NB623_RS01265	EHI52_RS01205
OG0000436	NB623_RS01290	EHI52_RS01235
OG0000437	NB623_RS01300	EHI52_RS01245
OG0000438	NB623_RS01305	EHI52_RS01250
OG0000439	NB623_RS01310	EHI52_RS01255
OG0000440	NB623_RS03115	EHI52_RS02945
OG0000441	NB623_RS03150	EHI52_RS02985
OG0000442	NB623_RS00135	EHI52_RS00145
OG0000443	NB623_RS00180	EHI52_RS00195
OG0000444	NB623_RS00195	EHI52_RS00210
OG0000445	NB623_RS00220	EHI52_RS00235
OG0000446	NB623_RS00245	EHI52_RS00265
OG0000447	NB623_RS00255	EHI52_RS00270
OG0000448	NB623_RS00280	EHI52_RS00300
OG0000449	NB623_RS00305	EHI52_RS00325
OG0000450	NB623_RS00315	EHI52_RS00335
OG0000451	NB623_RS00355	EHI52_RS00380
OG0000452	NB623_RS00380	EHI52_RS00405
OG0000453	NB623_RS00415	EHI52_RS00440
OG0000455	NB623_RS03705	EHI52_RS03510
OG0000456	NB623_RS03580	EHI52_RS03390
OG0000457	NB623_RS03545	EHI52_RS03365
OG0000458	NB623_RS02670	EHI52_RS02510
OG0000459	NB623_RS02700	EHI52_RS02535
OG0000460	NB623_RS02710	EHI52_RS02545
OG0000461	NB623_RS02755	EHI52_RS02590
OG0000462	NB623_RS02750	EHI52_RS02585
OG0000463	NB623_RS02745	EHI52_RS02580
OG0000464	NB623_RS02740	EHI52_RS02575
OG0000465	NB623_RS02735	EHI52_RS02570
OG0000466	NB623_RS00385	EHI52_RS00410
OG0000467	NB623_RS02845	EHI52_RS02670
OG0000468	NB623_RS02130	EHI52_RS01970
OG0000469	NB623_RS02070	EHI52_RS01910
OG0000470	NB623_RS00850	EHI52_RS03650
OG0000471	NB623_RS00930	EHI52_RS00920
OG0000472	NB623_RS03500	EHI52_RS03340
OG0000473	NB623_RS03690	EHI52_RS03495
OG0000474	NB623_RS03695	EHI52_RS03500
OG0000475	NB623_RS03700	EHI52_RS03505
OG0000476	NB623_RS01675	EHI52_RS01615
OG0000477	NB623_RS02785	EHI52_RS02615
OG0000478	NB623_RS03630	EHI52_RS03440
OG0000479	NB623_RS01445	EHI52_RS01390
OG0000480	NB623_RS02065	EHI52_RS03665
OG0000481	NB623_RS00825	EHI52_RS00815
OG0000482	NB623_RS01330	EHI52_RS01275
OG0000483	NB623_RS02020	EHI52_RS01865
OG0000484	NB623_RS00190	EHI52_RS00205
OG0000485	NB623_RS01295	EHI52_RS01240
OG0000486	NB623_RS02450	EHI52_RS02315
OG0000488	NB623_RS02055	EHI52_RS01895
OG0000490	NB623_RS03800	EHI52_RS03610
OG0000493	NB623_RS00575	EHI52_RS00595
OG0000494	NB623_RS00635	EHI52_RS00655
OG0000495	NB623_RS03005	EHI52_RS02825
OG0000496	NB623_RS02990	EHI52_RS02815
OG0000497	NB623_RS02985	EHI52_RS02810
OG0000498	NB623_RS02900	EHI52_RS02730
OG0000499	NB623_RS02865	EHI52_RS02695
OG0000500	NB623_RS02165	EHI52_RS02005
OG0000501	NB623_RS03220	EHI52_RS03080
OG0000502	NB623_RS01320	EHI52_RS01265
OG0000503	NB623_RS00765	EHI52_RS00760
OG0000504	NB623_RS00905	EHI52_RS00895
OG0000505	NB623_RS01065	EHI52_RS01000
OG0000506	NB623_RS01075	EHI52_RS01010
OG0000507	NB623_RS01110	EHI52_RS01045
OG0000509	NB623_RS00275	EHI52_RS00295
OG0000510	NB623_RS00285	EHI52_RS00305
OG0000511	NB623_RS00420	EHI52_RS00445
OG0000512	NB623_RS02715	EHI52_RS02550
OG0000514	NB623_RS03025	EHI52_RS02850
OG0000516	NB623_RS02090	EHI52_RS01925
OG0000517	NB623_RS00065	EHI52_RS00065
OG0000519	NB623_RS00795	EHI52_RS00785
OG0000520	NB623_RS00920	EHI52_RS00910
OG0000522	NB623_RS00290	EHI52_RS00310
OG0000523	NB623_RS03540	EHI52_RS03360
OG0000524	NB623_RS02840	EHI52_RS02665
OG0000525	NB623_RS03505	EHI52_RS03345
OG0000526	NB623_RS02260	EHI52_RS03800
OG0000527	NB623_RS02315	EHI52_RS02185
OG0000528	NB623_RS02080	EHI52_RS01920
OG0000531	NB623_RS01520	EHI52_RS01460
OG0000532	NB623_RS01745	EHI52_RS01685
OG0000534	NB623_RS00370	EHI52_RS00395
OG0000536	NB623_RS03735	EHI52_RS03545
OG0000540	NB623_RS02805	EHI52_RS02635
OG0000541	NB623_RS02880	EHI52_RS02710
OG0000544	NB623_RS01375	EHI52_RS01315
OG0000545	NB623_RS02270	EHI52_RS02110
OG0000546	NB623_RS02950	EHI52_RS02780
