Orthogroup	MHP_111A_genes	MFC_Ms42_genes
OG0000270	NB623_RS03685	MYF_RS02955
OG0000271	NB623_RS03675	MYF_RS02950
OG0000272	NB623_RS03670	MYF_RS02945
OG0000273	NB623_RS03665	MYF_RS02940
OG0000274	NB623_RS03650	MYF_RS02920
OG0000275	NB623_RS03640	MYF_RS02915
OG0000276	NB623_RS03635	MYF_RS02910
OG0000277	NB623_RS03625	MYF_RS02900
OG0000278	NB623_RS03620	MYF_RS02895
OG0000279	NB623_RS03615	MYF_RS02885
OG0000280	NB623_RS03605	MYF_RS02880
OG0000281	NB623_RS03600	MYF_RS03275
OG0000282	NB623_RS03570	MYF_RS02855
OG0000283	NB623_RS03565	MYF_RS02850
OG0000284	NB623_RS03560	MYF_RS02845
OG0000285	NB623_RS03555	MYF_RS02840
OG0000286	NB623_RS02575	MYF_RS01115
OG0000287	NB623_RS02675	MYF_RS01090
OG0000288	NB623_RS02685	MYF_RS01080
OG0000289	NB623_RS02690	MYF_RS01075
OG0000290	NB623_RS02810	MYF_RS00905
OG0000291	NB623_RS02800	MYF_RS00915
OG0000292	NB623_RS02795	MYF_RS00920
OG0000293	NB623_RS02790	MYF_RS00925
OG0000294	NB623_RS02780	MYF_RS00935
OG0000295	NB623_RS02775	MYF_RS00940
OG0000296	NB623_RS02730	MYF_RS01040
OG0000297	NB623_RS02725	MYF_RS01045
OG0000298	NB623_RS00165	MYF_RS00135
OG0000299	NB623_RS00185	MYF_RS00155
OG0000300	NB623_RS00360	MYF_RS00335
OG0000301	NB623_RS00395	MYF_RS00370
OG0000302	NB623_RS00400	MYF_RS00375
OG0000303	NB623_RS00555	MYF_RS00515
OG0000304	NB623_RS01210	MYF_RS00545
OG0000305	NB623_RS03045	MYF_RS00690
OG0000306	NB623_RS02970	MYF_RS00770
OG0000307	NB623_RS02930	MYF_RS00810
OG0000308	NB623_RS02835	MYF_RS00895
OG0000309	NB623_RS02765	MYF_RS01005
OG0000310	NB623_RS02680	MYF_RS01085
OG0000311	NB623_RS02635	MYF_RS01140
OG0000312	NB623_RS02620	MYF_RS01160
OG0000313	NB623_RS01715	MYF_RS01210
OG0000314	NB623_RS02140	MYF_RS01280
OG0000315	NB623_RS02110	MYF_RS01310
OG0000316	NB623_RS02100	MYF_RS01320
OG0000317	NB623_RS02005	MYF_RS01360
OG0000318	NB623_RS02095	MYF_RS01450
OG0000319	NB623_RS02370	MYF_RS01555
OG0000320	NB623_RS02500	MYF_RS01620
OG0000321	NB623_RS01450	MYF_RS01685
OG0000322	NB623_RS01500	MYF_RS01730
OG0000323	NB623_RS01630	MYF_RS01860
OG0000324	NB623_RS02410	MYF_RS01960
OG0000325	NB623_RS00705	MYF_RS02000
OG0000326	NB623_RS00805	MYF_RS02090
OG0000327	NB623_RS00810	MYF_RS02095
OG0000328	NB623_RS00895	MYF_RS02180
OG0000329	NB623_RS00915	MYF_RS02200
OG0000330	NB623_RS01235	MYF_RS02380
OG0000331	NB623_RS03135	MYF_RS02495
OG0000332	NB623_RS03270	MYF_RS02635
OG0000333	NB623_RS03280	MYF_RS02645
OG0000334	NB623_RS03380	MYF_RS02715
OG0000335	NB623_RS03390	MYF_RS02725
OG0000336	NB623_RS03590	MYF_RS02870
OG0000337	NB623_RS03765	MYF_RS03105
OG0000338	NB623_RS03805	MYF_RS03145
OG0000339	NB623_RS02475	MYF_RS01640
OG0000340	NB623_RS01430	MYF_RS01665
OG0000341	NB623_RS02435	MYF_RS01940
OG0000342	NB623_RS00735	MYF_RS02030
OG0000343	NB623_RS03290	MYF_RS02655
OG0000344	NB623_RS00570	MYF_RS00530
OG0000345	NB623_RS01155	MYF_RS02310
OG0000346	NB623_RS03595	MYF_RS02875
OG0000347	NB623_RS01525	MYF_RS01755
OG0000348	NB623_RS00815	MYF_RS02100
OG0000349	NB623_RS03655	MYF_RS02930
OG0000350	NB623_RS02920	MYF_RS03360
OG0000351	NB623_RS00480	MYF_RS00465
OG0000352	NB623_RS02160	MYF_RS01260
OG0000353	NB623_RS01490	MYF_RS01725
OG0000354	NB623_RS00630	MYF_RS00580
OG0000355	NB623_RS02185	MYF_RS01235
OG0000356	NB623_RS02105	MYF_RS01315
OG0000357	NB623_RS03245	MYF_RS02615
OG0000358	NB623_RS03250	MYF_RS02620
OG0000359	NB623_RS00780	MYF_RS02070
OG0000360	NB623_RS00265	MYF_RS00240
OG0000361	NB623_RS00295	MYF_RS00270
OG0000362	NB623_RS02705	MYF_RS01065
OG0000363	NB623_RS01565	MYF_RS01795
OG0000365	NB623_RS02060	MYF_RS01420
OG0000366	NB623_RS02035	MYF_RS01390
OG0000367	NB623_RS02025	MYF_RS01380
OG0000368	NB623_RS00060	MYF_RS00060
OG0000369	NB623_RS00025	MYF_RS00025
OG0000370	NB623_RS00020	MYF_RS00020
OG0000371	NB623_RS00015	MYF_RS00015
OG0000372	NB623_RS00010	MYF_RS00010
OG0000373	NB623_RS03795	MYF_RS03135
OG0000374	NB623_RS03785	MYF_RS03125
OG0000375	NB623_RS02365	MYF_RS01550
OG0000376	NB623_RS02515	MYF_RS01605
OG0000377	NB623_RS02505	MYF_RS01615
OG0000378	NB623_RS01410	MYF_RS01650
OG0000379	NB623_RS01485	MYF_RS01720
OG0000380	NB623_RS01515	MYF_RS01745
OG0000381	NB623_RS01555	MYF_RS01785
OG0000382	NB623_RS01585	MYF_RS01815
OG0000383	NB623_RS01625	MYF_RS01855
OG0000384	NB623_RS00510	MYF_RS00470
OG0000385	NB623_RS00520	MYF_RS00475
OG0000386	NB623_RS00535	MYF_RS00495
OG0000387	NB623_RS00560	MYF_RS00520
OG0000388	NB623_RS00565	MYF_RS00525
OG0000389	NB623_RS00610	MYF_RS00560
OG0000390	NB623_RS03065	MYF_RS00670
OG0000391	NB623_RS03055	MYF_RS00680
OG0000392	NB623_RS03030	MYF_RS00705
OG0000393	NB623_RS02975	MYF_RS00760
OG0000394	NB623_RS02895	MYF_RS00825
OG0000395	NB623_RS02890	MYF_RS00830
OG0000396	NB623_RS02580	MYF_RS01200
OG0000397	NB623_RS02175	MYF_RS01245
OG0000398	NB623_RS02170	MYF_RS01250
OG0000399	NB623_RS02125	MYF_RS01295
OG0000400	NB623_RS03210	MYF_RS02580
OG0000401	NB623_RS03275	MYF_RS02640
OG0000402	NB623_RS03285	MYF_RS02650
OG0000403	NB623_RS03295	MYF_RS02660
OG0000404	NB623_RS03325	MYF_RS02685
OG0000405	NB623_RS03340	MYF_RS02700
OG0000406	NB623_RS03395	MYF_RS02730
OG0000407	NB623_RS03400	MYF_RS02735
OG0000408	NB623_RS03405	MYF_RS02740
OG0000409	NB623_RS03410	MYF_RS02745
OG0000410	NB623_RS03495	MYF_RS02780
OG0000411	NB623_RS03480	MYF_RS02790
OG0000413	NB623_RS01640	MYF_RS01890
OG0000414	NB623_RS01650	MYF_RS01900
OG0000415	NB623_RS01655	MYF_RS01905
OG0000416	NB623_RS01665	MYF_RS01915
OG0000417	NB623_RS02430	MYF_RS01945
OG0000418	NB623_RS02420	MYF_RS01950
OG0000419	NB623_RS00715	MYF_RS02010
OG0000420	NB623_RS00750	MYF_RS02045
OG0000421	NB623_RS00790	MYF_RS02075
OG0000422	NB623_RS00800	MYF_RS02085
OG0000423	NB623_RS00855	MYF_RS02140
OG0000424	NB623_RS00860	MYF_RS02145
OG0000425	NB623_RS00870	MYF_RS02155
OG0000426	NB623_RS00875	MYF_RS02160
OG0000427	NB623_RS00900	MYF_RS02185
OG0000428	NB623_RS00925	MYF_RS02210
OG0000429	NB623_RS01145	MYF_RS02300
OG0000430	NB623_RS01190	MYF_RS02345
OG0000431	NB623_RS01200	MYF_RS02355
OG0000432	NB623_RS01230	MYF_RS02375
OG0000433	NB623_RS01245	MYF_RS02385
OG0000434	NB623_RS01255	MYF_RS02390
OG0000435	NB623_RS01265	MYF_RS02405
OG0000436	NB623_RS01290	MYF_RS02440
OG0000437	NB623_RS01300	MYF_RS02450
OG0000438	NB623_RS01305	MYF_RS02455
OG0000439	NB623_RS01310	MYF_RS02460
OG0000440	NB623_RS03115	MYF_RS02475
OG0000441	NB623_RS03150	MYF_RS02515
OG0000442	NB623_RS00135	MYF_RS00090
OG0000443	NB623_RS00180	MYF_RS00150
OG0000444	NB623_RS00195	MYF_RS00165
OG0000445	NB623_RS00220	MYF_RS00190
OG0000446	NB623_RS00245	MYF_RS00220
OG0000447	NB623_RS00255	MYF_RS00225
OG0000448	NB623_RS00280	MYF_RS00255
OG0000449	NB623_RS00305	MYF_RS00280
OG0000450	NB623_RS00315	MYF_RS00290
OG0000451	NB623_RS00355	MYF_RS00330
OG0000452	NB623_RS00380	MYF_RS00355
OG0000453	NB623_RS00415	MYF_RS00390
OG0000455	NB623_RS03705	MYF_RS02975
OG0000456	NB623_RS03580	MYF_RS02860
OG0000457	NB623_RS03545	MYF_RS02835
OG0000458	NB623_RS02670	MYF_RS01095
OG0000459	NB623_RS02700	MYF_RS01070
OG0000460	NB623_RS02710	MYF_RS01060
OG0000461	NB623_RS02755	MYF_RS01010
OG0000462	NB623_RS02750	MYF_RS01015
OG0000463	NB623_RS02745	MYF_RS01020
OG0000464	NB623_RS02740	MYF_RS01030
OG0000465	NB623_RS02735	MYF_RS01035
OG0000466	NB623_RS00385	MYF_RS00360
OG0000467	NB623_RS02845	MYF_RS03505
OG0000468	NB623_RS02130	MYF_RS01290
OG0000469	NB623_RS02070	MYF_RS01425
OG0000470	NB623_RS00850	MYF_RS02135
OG0000471	NB623_RS00930	MYF_RS02215
OG0000472	NB623_RS03500	MYF_RS03535
OG0000473	NB623_RS03690	MYF_RS02960
OG0000474	NB623_RS03695	MYF_RS02965
OG0000475	NB623_RS03700	MYF_RS02970
OG0000476	NB623_RS01675	MYF_RS03040
OG0000477	NB623_RS02785	MYF_RS00930
OG0000478	NB623_RS03630	MYF_RS02905
OG0000479	NB623_RS01445	MYF_RS01680
OG0000480	NB623_RS02065	MYF_RS03350
OG0000481	NB623_RS00825	MYF_RS02110
OG0000482	NB623_RS01330	MYF_RS01975
OG0000483	NB623_RS02020	MYF_RS01375
OG0000484	NB623_RS00190	MYF_RS00160
OG0000485	NB623_RS01295	MYF_RS02445
OG0000486	NB623_RS02450	MYF_RS01925
OG0000488	NB623_RS02055	MYF_RS01405
OG0000490	NB623_RS03800	MYF_RS03140
OG0000493	NB623_RS00575	MYF_RS00535
OG0000494	NB623_RS00635	MYF_RS00585
OG0000495	NB623_RS03005	MYF_RS00735
OG0000496	NB623_RS02990	MYF_RS00745
OG0000497	NB623_RS02985	MYF_RS00750
OG0000498	NB623_RS02900	MYF_RS00820
OG0000499	NB623_RS02865	MYF_RS00865
OG0000500	NB623_RS02165	MYF_RS01255
OG0000501	NB623_RS03220	MYF_RS02590
OG0000502	NB623_RS01320	MYF_RS01985
OG0000503	NB623_RS00765	MYF_RS02055
OG0000504	NB623_RS00905	MYF_RS02190
OG0000505	NB623_RS01065	MYF_RS02225
OG0000506	NB623_RS01075	MYF_RS02235
OG0000507	NB623_RS01110	MYF_RS02270
OG0000509	NB623_RS00275	MYF_RS00250
OG0000510	NB623_RS00285	MYF_RS00260
OG0000511	NB623_RS00420	MYF_RS00395
OG0000512	NB623_RS02715	MYF_RS01055
OG0000514	NB623_RS03025	MYF_RS00710
OG0000516	NB623_RS02090	MYF_RS01440
OG0000517	NB623_RS00065	MYF_RS00065
OG0000519	NB623_RS00795	MYF_RS02080
OG0000520	NB623_RS00920	MYF_RS02205
OG0000522	NB623_RS00290	MYF_RS00265
OG0000523	NB623_RS03540	MYF_RS02830
OG0000524	NB623_RS02840	MYF_RS00890
OG0000528	NB623_RS02080	MYF_RS01435
OG0000531	NB623_RS01520	MYF_RS01750
OG0000532	NB623_RS01745	MYF_RS00620
OG0000533	NB623_RS00595	MYF_RS02365
OG0000534	NB623_RS00370	MYF_RS00345
OG0000536	NB623_RS03735	MYF_RS03070
OG0000540	NB623_RS02805	MYF_RS00910
OG0000541	NB623_RS02880	MYF_RS00850
OG0000555	NB623_RS03080	MYF_RS03410
OG0000589	NB623_RS01010	MYF_RS03220
OG0000596	NB623_RS01870	MYF_RS00110
OG0000598	NB623_RS01875	MYF_RS00105
OG0000599	NB623_RS01880	MYF_RS00100
