Orthogroup	MHP_111A_genes	MHP_J_genes
OG0000063	NB623_RS03770	MHJ_RS03540
OG0000064	NB623_RS03760	MHJ_RS03530
OG0000065	NB623_RS02390	MHJ_RS02200
OG0000066	NB623_RS01470	MHJ_RS01325
OG0000068	NB623_RS00640	MHJ_RS00630
OG0000069	NB623_RS02980	MHJ_RS02785
OG0000070	NB623_RS02630	MHJ_RS02430
OG0000071	NB623_RS03425	MHJ_RS03250
OG0000072	NB623_RS03430	MHJ_RS03255
OG0000073	NB623_RS00710	MHJ_RS00685
OG0000074	NB623_RS00910	MHJ_RS00875
OG0000075	NB623_RS00330	MHJ_RS00320
OG0000077	NB623_RS00430	MHJ_RS00425
OG0000079	NB623_RS02720	MHJ_RS02515
OG0000080	NB623_RS02770	MHJ_RS03800
OG0000081	NB623_RS00325	MHJ_RS00315
OG0000083	NB623_RS02075	MHJ_RS01975
OG0000084	NB623_RS02045	MHJ_RS02000
OG0000085	NB623_RS02040	MHJ_RS02005
OG0000086	NB623_RS02030	MHJ_RS02015
OG0000087	NB623_RS02015	MHJ_RS02030
OG0000088	NB623_RS02010	MHJ_RS02035
OG0000089	NB623_RS02000	MHJ_RS02045
OG0000090	NB623_RS00070	MHJ_RS00070
OG0000091	NB623_RS00055	MHJ_RS00055
OG0000092	NB623_RS00050	MHJ_RS00040
OG0000093	NB623_RS00035	MHJ_RS00035
OG0000094	NB623_RS00030	MHJ_RS00030
OG0000095	NB623_RS00005	MHJ_RS00005
OG0000096	NB623_RS03810	MHJ_RS03580
OG0000097	NB623_RS03790	MHJ_RS03560
OG0000098	NB623_RS03780	MHJ_RS03550
OG0000099	NB623_RS03730	MHJ_RS03505
OG0000100	NB623_RS03715	MHJ_RS03490
OG0000101	NB623_RS03710	MHJ_RS03485
OG0000102	NB623_RS01830	MHJ_RS01650
OG0000103	NB623_RS02355	MHJ_RS02165
OG0000104	NB623_RS02360	MHJ_RS02170
OG0000105	NB623_RS02380	MHJ_RS02185
OG0000106	NB623_RS02385	MHJ_RS02195
OG0000107	NB623_RS02395	MHJ_RS02205
OG0000108	NB623_RS02400	MHJ_RS02210
OG0000109	NB623_RS02405	MHJ_RS02215
OG0000110	NB623_RS02525	MHJ_RS02330
OG0000111	NB623_RS02520	MHJ_RS02325
OG0000112	NB623_RS02510	MHJ_RS02315
OG0000113	NB623_RS02490	MHJ_RS02295
OG0000114	NB623_RS02485	MHJ_RS02285
OG0000115	NB623_RS02470	MHJ_RS02275
OG0000116	NB623_RS01415	MHJ_RS01270
OG0000117	NB623_RS01420	MHJ_RS01275
OG0000118	NB623_RS01455	MHJ_RS01310
OG0000119	NB623_RS01465	MHJ_RS01315
OG0000120	NB623_RS01475	MHJ_RS01330
OG0000121	NB623_RS01505	MHJ_RS01355
OG0000122	NB623_RS01510	MHJ_RS01360
OG0000123	NB623_RS01530	MHJ_RS01380
OG0000124	NB623_RS01535	MHJ_RS01385
OG0000125	NB623_RS01545	MHJ_RS01390
OG0000126	NB623_RS01550	MHJ_RS01400
OG0000127	NB623_RS01560	MHJ_RS01410
OG0000128	NB623_RS01575	MHJ_RS01425
OG0000129	NB623_RS01580	MHJ_RS01430
OG0000130	NB623_RS01590	MHJ_RS01440
OG0000131	NB623_RS01620	MHJ_RS01470
OG0000132	NB623_RS01635	MHJ_RS01485
OG0000133	NB623_RS00525	MHJ_RS00515
OG0000134	NB623_RS00530	MHJ_RS00520
OG0000135	NB623_RS00545	MHJ_RS00535
OG0000136	NB623_RS00550	MHJ_RS00540
OG0000137	NB623_RS00590	MHJ_RS00575
OG0000138	NB623_RS00615	MHJ_RS00605
OG0000139	NB623_RS00645	MHJ_RS00635
OG0000140	NB623_RS00650	MHJ_RS00640
OG0000141	NB623_RS03095	MHJ_RS02910
OG0000142	NB623_RS03090	MHJ_RS02905
OG0000143	NB623_RS03075	MHJ_RS02880
OG0000144	NB623_RS03060	MHJ_RS02870
OG0000145	NB623_RS03050	MHJ_RS02855
OG0000146	NB623_RS03040	MHJ_RS02845
OG0000147	NB623_RS03035	MHJ_RS02840
OG0000148	NB623_RS03020	MHJ_RS02825
OG0000149	NB623_RS03010	MHJ_RS02815
OG0000150	NB623_RS02995	MHJ_RS02800
OG0000151	NB623_RS02945	MHJ_RS02745
OG0000152	NB623_RS02940	MHJ_RS02740
OG0000153	NB623_RS02935	MHJ_RS02735
OG0000154	NB623_RS02925	MHJ_RS02725
OG0000155	NB623_RS02885	MHJ_RS02685
OG0000156	NB623_RS02875	MHJ_RS02675
OG0000157	NB623_RS02870	MHJ_RS02670
OG0000158	NB623_RS02860	MHJ_RS04010
OG0000159	NB623_RS02615	MHJ_RS04030
OG0000160	NB623_RS02610	MHJ_RS02410
OG0000161	NB623_RS02605	MHJ_RS02405
OG0000162	NB623_RS02595	MHJ_RS02395
OG0000163	NB623_RS02590	MHJ_RS02390
OG0000164	NB623_RS01725	MHJ_RS01565
OG0000165	NB623_RS02155	MHJ_RS01890
OG0000166	NB623_RS02135	MHJ_RS01915
OG0000167	NB623_RS02120	MHJ_RS01930
OG0000168	NB623_RS02115	MHJ_RS01935
OG0000169	NB623_RS03200	MHJ_RS03005
OG0000170	NB623_RS03215	MHJ_RS03035
OG0000171	NB623_RS03225	MHJ_RS03045
OG0000172	NB623_RS03230	MHJ_RS03050
OG0000173	NB623_RS03235	MHJ_RS03055
OG0000174	NB623_RS03240	MHJ_RS03060
OG0000175	NB623_RS03265	MHJ_RS03075
OG0000176	NB623_RS03310	MHJ_RS03125
OG0000177	NB623_RS03315	MHJ_RS03130
OG0000178	NB623_RS03320	MHJ_RS03135
OG0000179	NB623_RS03330	MHJ_RS03145
OG0000180	NB623_RS03335	MHJ_RS03150
OG0000181	NB623_RS03375	MHJ_RS03200
OG0000182	NB623_RS03385	MHJ_RS03210
OG0000183	NB623_RS03420	MHJ_RS03245
OG0000184	NB623_RS03485	MHJ_RS03285
OG0000185	NB623_RS03475	MHJ_RS03270
OG0000186	NB623_RS01645	MHJ_RS01495
OG0000187	NB623_RS01660	MHJ_RS01510
OG0000188	NB623_RS01670	MHJ_RS01520
OG0000189	NB623_RS02445	MHJ_RS02250
OG0000190	NB623_RS02440	MHJ_RS02245
OG0000191	NB623_RS02415	MHJ_RS02225
OG0000192	NB623_RS01340	MHJ_RS01190
OG0000193	NB623_RS01325	MHJ_RS01180
OG0000194	NB623_RS00690	MHJ_RS00670
OG0000195	NB623_RS00695	MHJ_RS00675
OG0000196	NB623_RS00720	MHJ_RS00695
OG0000197	NB623_RS00730	MHJ_RS00700
OG0000198	NB623_RS00740	MHJ_RS00715
OG0000199	NB623_RS00745	MHJ_RS00720
OG0000200	NB623_RS00760	MHJ_RS00730
OG0000201	NB623_RS00770	MHJ_RS00740
OG0000202	NB623_RS00830	MHJ_RS00795
OG0000203	NB623_RS00835	MHJ_RS00800
OG0000204	NB623_RS00840	MHJ_RS00805
OG0000205	NB623_RS00845	MHJ_RS00810
OG0000206	NB623_RS00865	MHJ_RS00830
OG0000207	NB623_RS00880	MHJ_RS00845
OG0000208	NB623_RS00885	MHJ_RS00850
OG0000209	NB623_RS00890	MHJ_RS00855
OG0000210	NB623_RS00935	MHJ_RS00900
OG0000211	NB623_RS01070	MHJ_RS00910
OG0000212	NB623_RS01080	MHJ_RS00920
OG0000213	NB623_RS01085	MHJ_RS00925
OG0000214	NB623_RS01090	MHJ_RS00930
OG0000215	NB623_RS01095	MHJ_RS00935
OG0000216	NB623_RS01100	MHJ_RS00940
OG0000217	NB623_RS01105	MHJ_RS00945
OG0000218	NB623_RS01115	MHJ_RS00955
OG0000219	NB623_RS01120	MHJ_RS00960
OG0000220	NB623_RS01125	MHJ_RS00965
OG0000221	NB623_RS01130	MHJ_RS00970
OG0000222	NB623_RS01135	MHJ_RS00975
OG0000223	NB623_RS01140	MHJ_RS00980
OG0000224	NB623_RS01150	MHJ_RS00990
OG0000225	NB623_RS01160	MHJ_RS01000
OG0000226	NB623_RS01165	MHJ_RS01005
OG0000227	NB623_RS01170	MHJ_RS01010
OG0000228	NB623_RS01175	MHJ_RS04015
OG0000229	NB623_RS01180	MHJ_RS01020
OG0000230	NB623_RS01185	MHJ_RS01025
OG0000231	NB623_RS01195	MHJ_RS01035
OG0000232	NB623_RS01205	MHJ_RS01045
OG0000233	NB623_RS01225	MHJ_RS01065
OG0000234	NB623_RS01260	MHJ_RS01100
OG0000235	NB623_RS01270	MHJ_RS01110
OG0000236	NB623_RS01275	MHJ_RS01115
OG0000237	NB623_RS01280	MHJ_RS01120
OG0000238	NB623_RS01285	MHJ_RS01130
OG0000239	NB623_RS03105	MHJ_RS02925
OG0000240	NB623_RS03110	MHJ_RS02930
OG0000241	NB623_RS03120	MHJ_RS02940
OG0000242	NB623_RS03125	MHJ_RS02945
OG0000243	NB623_RS03130	MHJ_RS02950
OG0000244	NB623_RS03140	MHJ_RS02960
OG0000245	NB623_RS03145	MHJ_RS02970
OG0000246	NB623_RS00130	MHJ_RS00115
OG0000247	NB623_RS00140	MHJ_RS00125
OG0000248	NB623_RS00150	MHJ_RS00135
OG0000249	NB623_RS00155	MHJ_RS00140
OG0000250	NB623_RS00175	MHJ_RS00155
OG0000251	NB623_RS00205	MHJ_RS00185
OG0000252	NB623_RS00210	MHJ_RS00195
OG0000253	NB623_RS00215	MHJ_RS00200
OG0000254	NB623_RS00225	MHJ_RS00210
OG0000255	NB623_RS00230	MHJ_RS00220
OG0000256	NB623_RS00240	MHJ_RS00225
OG0000257	NB623_RS00260	MHJ_RS00250
OG0000258	NB623_RS00270	MHJ_RS00260
OG0000259	NB623_RS00300	MHJ_RS00290
OG0000260	NB623_RS00310	MHJ_RS00300
OG0000261	NB623_RS00320	MHJ_RS00310
OG0000262	NB623_RS00340	MHJ_RS00325
OG0000263	NB623_RS00350	MHJ_RS00340
OG0000264	NB623_RS00365	MHJ_RS00355
OG0000265	NB623_RS00375	MHJ_RS00365
OG0000266	NB623_RS00390	MHJ_RS00380
OG0000267	NB623_RS00405	MHJ_RS00395
OG0000268	NB623_RS00410	MHJ_RS00400
OG0000269	NB623_RS00425	MHJ_RS00415
OG0000270	NB623_RS03685	MHJ_RS03460
OG0000271	NB623_RS03675	MHJ_RS03455
OG0000272	NB623_RS03670	MHJ_RS03450
OG0000273	NB623_RS03665	MHJ_RS03445
OG0000274	NB623_RS03650	MHJ_RS03425
OG0000275	NB623_RS03640	MHJ_RS03420
OG0000276	NB623_RS03635	MHJ_RS03415
OG0000277	NB623_RS03625	MHJ_RS03405
OG0000278	NB623_RS03620	MHJ_RS03400
OG0000279	NB623_RS03615	MHJ_RS03390
OG0000280	NB623_RS03605	MHJ_RS03385
OG0000281	NB623_RS03600	MHJ_RS03705
OG0000282	NB623_RS03570	MHJ_RS03360
OG0000283	NB623_RS03565	MHJ_RS03355
OG0000284	NB623_RS03560	MHJ_RS03350
OG0000285	NB623_RS03555	MHJ_RS03345
OG0000286	NB623_RS02575	MHJ_RS02375
OG0000287	NB623_RS02675	MHJ_RS02475
OG0000288	NB623_RS02685	MHJ_RS02485
OG0000289	NB623_RS02690	MHJ_RS02495
OG0000290	NB623_RS02810	MHJ_RS02605
OG0000291	NB623_RS02800	MHJ_RS02595
OG0000292	NB623_RS02795	MHJ_RS02590
OG0000293	NB623_RS02790	MHJ_RS02585
OG0000294	NB623_RS02780	MHJ_RS02570
OG0000295	NB623_RS02775	MHJ_RS02565
OG0000296	NB623_RS02730	MHJ_RS02525
OG0000297	NB623_RS02725	MHJ_RS02520
OG0000298	NB623_RS00165	MHJ_RS00150
OG0000299	NB623_RS00185	MHJ_RS00170
OG0000300	NB623_RS00360	MHJ_RS00350
OG0000301	NB623_RS00395	MHJ_RS00385
OG0000302	NB623_RS00400	MHJ_RS00390
OG0000303	NB623_RS00555	MHJ_RS00545
OG0000304	NB623_RS01210	MHJ_RS01050
OG0000305	NB623_RS03045	MHJ_RS02850
OG0000306	NB623_RS02970	MHJ_RS02775
OG0000307	NB623_RS02930	MHJ_RS02730
OG0000308	NB623_RS02835	MHJ_RS02625
OG0000309	NB623_RS02765	MHJ_RS02555
OG0000310	NB623_RS02680	MHJ_RS02480
OG0000311	NB623_RS02635	MHJ_RS02435
OG0000312	NB623_RS02620	MHJ_RS02420
OG0000313	NB623_RS01715	MHJ_RS01555
OG0000314	NB623_RS02140	MHJ_RS01910
OG0000315	NB623_RS02110	MHJ_RS01940
OG0000316	NB623_RS02100	MHJ_RS01950
OG0000317	NB623_RS02005	MHJ_RS02040
OG0000318	NB623_RS02095	MHJ_RS01955
OG0000319	NB623_RS02370	MHJ_RS02180
OG0000320	NB623_RS02500	MHJ_RS02305
OG0000321	NB623_RS01450	MHJ_RS01305
OG0000322	NB623_RS01500	MHJ_RS01350
OG0000323	NB623_RS01630	MHJ_RS01480
OG0000324	NB623_RS02410	MHJ_RS02220
OG0000325	NB623_RS00705	MHJ_RS00680
OG0000326	NB623_RS00805	MHJ_RS00770
OG0000327	NB623_RS00810	MHJ_RS00775
OG0000328	NB623_RS00895	MHJ_RS00860
OG0000329	NB623_RS00915	MHJ_RS00880
OG0000330	NB623_RS01235	MHJ_RS01075
OG0000331	NB623_RS03135	MHJ_RS02955
OG0000332	NB623_RS03270	MHJ_RS03085
OG0000333	NB623_RS03280	MHJ_RS03095
OG0000334	NB623_RS03380	MHJ_RS03205
OG0000335	NB623_RS03390	MHJ_RS03215
OG0000336	NB623_RS03590	MHJ_RS03375
OG0000337	NB623_RS03765	MHJ_RS03535
OG0000338	NB623_RS03805	MHJ_RS03575
OG0000339	NB623_RS02475	MHJ_RS02280
OG0000340	NB623_RS01430	MHJ_RS01285
OG0000341	NB623_RS02435	MHJ_RS02240
OG0000342	NB623_RS00735	MHJ_RS00710
OG0000343	NB623_RS03290	MHJ_RS03105
OG0000344	NB623_RS00570	MHJ_RS00560
OG0000345	NB623_RS01155	MHJ_RS00995
OG0000346	NB623_RS03595	MHJ_RS03380
OG0000347	NB623_RS01525	MHJ_RS01375
OG0000348	NB623_RS00815	MHJ_RS00780
OG0000349	NB623_RS03655	MHJ_RS03435
OG0000350	NB623_RS02920	MHJ_RS02720
OG0000351	NB623_RS00480	MHJ_RS00475
OG0000352	NB623_RS02160	MHJ_RS01885
OG0000353	NB623_RS01490	MHJ_RS01345
OG0000354	NB623_RS00630	MHJ_RS00620
OG0000355	NB623_RS02185	MHJ_RS01855
OG0000356	NB623_RS02105	MHJ_RS01945
OG0000357	NB623_RS03245	MHJ_RS03065
OG0000358	NB623_RS03250	MHJ_RS03070
OG0000359	NB623_RS00780	MHJ_RS00750
OG0000360	NB623_RS00265	MHJ_RS00255
OG0000361	NB623_RS00295	MHJ_RS00285
OG0000362	NB623_RS02705	MHJ_RS02500
OG0000363	NB623_RS01565	MHJ_RS03840
OG0000364	NB623_RS02210	MHJ_RS03765
OG0000365	NB623_RS02060	MHJ_RS01985
OG0000366	NB623_RS02035	MHJ_RS02010
OG0000367	NB623_RS02025	MHJ_RS02020
OG0000368	NB623_RS00060	MHJ_RS00060
OG0000369	NB623_RS00025	MHJ_RS00025
OG0000370	NB623_RS00020	MHJ_RS00020
OG0000371	NB623_RS00015	MHJ_RS00015
OG0000372	NB623_RS00010	MHJ_RS00010
OG0000373	NB623_RS03795	MHJ_RS03565
OG0000374	NB623_RS03785	MHJ_RS03555
OG0000375	NB623_RS02365	MHJ_RS02175
OG0000376	NB623_RS02515	MHJ_RS02320
OG0000377	NB623_RS02505	MHJ_RS02310
OG0000378	NB623_RS01410	MHJ_RS01265
OG0000379	NB623_RS01485	MHJ_RS01340
OG0000380	NB623_RS01515	MHJ_RS01365
OG0000381	NB623_RS01555	MHJ_RS01405
OG0000382	NB623_RS01585	MHJ_RS01435
OG0000383	NB623_RS01625	MHJ_RS01475
OG0000384	NB623_RS00510	MHJ_RS00500
OG0000385	NB623_RS00520	MHJ_RS00505
OG0000386	NB623_RS00535	MHJ_RS00525
OG0000387	NB623_RS00560	MHJ_RS00550
OG0000388	NB623_RS00565	MHJ_RS00555
OG0000389	NB623_RS00610	MHJ_RS00600
OG0000390	NB623_RS03065	MHJ_RS02875
OG0000391	NB623_RS03055	MHJ_RS02865
OG0000392	NB623_RS03030	MHJ_RS02835
OG0000393	NB623_RS02975	MHJ_RS02780
OG0000394	NB623_RS02895	MHJ_RS02695
OG0000395	NB623_RS02890	MHJ_RS02690
OG0000396	NB623_RS02580	MHJ_RS02380
OG0000397	NB623_RS02175	MHJ_RS01870
OG0000398	NB623_RS02170	MHJ_RS01875
OG0000399	NB623_RS02125	MHJ_RS01925
OG0000400	NB623_RS03210	MHJ_RS03030
OG0000401	NB623_RS03275	MHJ_RS03090
OG0000402	NB623_RS03285	MHJ_RS03100
OG0000403	NB623_RS03295	MHJ_RS03110
OG0000404	NB623_RS03325	MHJ_RS03140
OG0000405	NB623_RS03340	MHJ_RS03155
OG0000406	NB623_RS03395	MHJ_RS03220
OG0000407	NB623_RS03400	MHJ_RS03225
OG0000408	NB623_RS03405	MHJ_RS03230
OG0000409	NB623_RS03410	MHJ_RS03235
OG0000410	NB623_RS03495	MHJ_RS03290
OG0000411	NB623_RS03480	MHJ_RS03280
OG0000413	NB623_RS01640	MHJ_RS01490
OG0000414	NB623_RS01650	MHJ_RS01500
OG0000415	NB623_RS01655	MHJ_RS01505
OG0000416	NB623_RS01665	MHJ_RS01515
OG0000417	NB623_RS02430	MHJ_RS02235
OG0000418	NB623_RS02420	MHJ_RS02230
OG0000419	NB623_RS00715	MHJ_RS00690
OG0000420	NB623_RS00750	MHJ_RS00725
OG0000421	NB623_RS00790	MHJ_RS00755
OG0000422	NB623_RS00800	MHJ_RS00765
OG0000423	NB623_RS00855	MHJ_RS00820
OG0000424	NB623_RS00860	MHJ_RS00825
OG0000425	NB623_RS00870	MHJ_RS00835
OG0000426	NB623_RS00875	MHJ_RS00840
OG0000427	NB623_RS00900	MHJ_RS00865
OG0000428	NB623_RS00925	MHJ_RS00890
OG0000429	NB623_RS01145	MHJ_RS00985
OG0000430	NB623_RS01190	MHJ_RS01030
OG0000431	NB623_RS01200	MHJ_RS01040
OG0000432	NB623_RS01230	MHJ_RS01070
OG0000433	NB623_RS01245	MHJ_RS01085
OG0000434	NB623_RS01255	MHJ_RS01090
OG0000435	NB623_RS01265	MHJ_RS01105
OG0000436	NB623_RS01290	MHJ_RS01135
OG0000437	NB623_RS01300	MHJ_RS01145
OG0000438	NB623_RS01305	MHJ_RS01150
OG0000439	NB623_RS01310	MHJ_RS01155
OG0000440	NB623_RS03115	MHJ_RS02935
OG0000441	NB623_RS03150	MHJ_RS02975
OG0000442	NB623_RS00135	MHJ_RS00120
OG0000443	NB623_RS00180	MHJ_RS00165
OG0000444	NB623_RS00195	MHJ_RS00180
OG0000445	NB623_RS00220	MHJ_RS00205
OG0000446	NB623_RS00245	MHJ_RS00235
OG0000447	NB623_RS00255	MHJ_RS00240
OG0000448	NB623_RS00280	MHJ_RS00270
OG0000449	NB623_RS00305	MHJ_RS00295
OG0000450	NB623_RS00315	MHJ_RS00305
OG0000451	NB623_RS00355	MHJ_RS00345
OG0000452	NB623_RS00380	MHJ_RS00370
OG0000453	NB623_RS00415	MHJ_RS00405
OG0000454	NB623_RS01755	MHJ_RS01590
OG0000455	NB623_RS03705	MHJ_RS03480
OG0000456	NB623_RS03580	MHJ_RS03365
OG0000457	NB623_RS03545	MHJ_RS03340
OG0000458	NB623_RS02670	MHJ_RS02470
OG0000460	NB623_RS02710	MHJ_RS02505
OG0000461	NB623_RS02755	MHJ_RS02550
OG0000462	NB623_RS02750	MHJ_RS02545
OG0000463	NB623_RS02745	MHJ_RS02540
OG0000464	NB623_RS02740	MHJ_RS02535
OG0000465	NB623_RS02735	MHJ_RS02530
OG0000466	NB623_RS00385	MHJ_RS00375
OG0000467	NB623_RS02845	MHJ_RS02640
OG0000468	NB623_RS02130	MHJ_RS01920
OG0000469	NB623_RS02070	MHJ_RS01980
OG0000470	NB623_RS00850	MHJ_RS03785
OG0000471	NB623_RS00930	MHJ_RS00895
OG0000472	NB623_RS03500	MHJ_RS03300
OG0000473	NB623_RS03690	MHJ_RS03465
OG0000474	NB623_RS03695	MHJ_RS03470
OG0000475	NB623_RS03700	MHJ_RS03475
OG0000476	NB623_RS01675	MHJ_RS01525
OG0000477	NB623_RS02785	MHJ_RS02580
OG0000478	NB623_RS03630	MHJ_RS03410
OG0000479	NB623_RS01445	MHJ_RS01300
OG0000480	NB623_RS02065	MHJ_RS03770
OG0000481	NB623_RS00825	MHJ_RS00790
OG0000482	NB623_RS01330	MHJ_RS01185
OG0000483	NB623_RS02020	MHJ_RS02025
OG0000484	NB623_RS00190	MHJ_RS00175
OG0000485	NB623_RS01295	MHJ_RS01140
OG0000486	NB623_RS02450	MHJ_RS02255
OG0000488	NB623_RS02055	MHJ_RS01995
OG0000490	NB623_RS03800	MHJ_RS03570
OG0000493	NB623_RS00575	MHJ_RS00565
OG0000494	NB623_RS00635	MHJ_RS00625
OG0000495	NB623_RS03005	MHJ_RS02805
OG0000496	NB623_RS02990	MHJ_RS02795
OG0000497	NB623_RS02985	MHJ_RS02790
OG0000498	NB623_RS02900	MHJ_RS02700
OG0000499	NB623_RS02865	MHJ_RS02665
OG0000500	NB623_RS02165	MHJ_RS01880
OG0000501	NB623_RS03220	MHJ_RS03040
OG0000502	NB623_RS01320	MHJ_RS01175
OG0000503	NB623_RS00765	MHJ_RS00735
OG0000504	NB623_RS00905	MHJ_RS00870
OG0000505	NB623_RS01065	MHJ_RS00905
OG0000506	NB623_RS01075	MHJ_RS00915
OG0000507	NB623_RS01110	MHJ_RS00950
OG0000509	NB623_RS00275	MHJ_RS00265
OG0000510	NB623_RS00285	MHJ_RS00275
OG0000511	NB623_RS00420	MHJ_RS00410
OG0000512	NB623_RS02715	MHJ_RS02510
OG0000514	NB623_RS03025	MHJ_RS02830
OG0000516	NB623_RS02090	MHJ_RS01965
OG0000517	NB623_RS00065	MHJ_RS00065
OG0000519	NB623_RS00795	MHJ_RS00760
OG0000520	NB623_RS00920	MHJ_RS00885
OG0000522	NB623_RS00290	MHJ_RS00280
OG0000523	NB623_RS03540	MHJ_RS03335
OG0000524	NB623_RS02840	MHJ_RS02635
OG0000525	NB623_RS03505	MHJ_RS03305
OG0000526	NB623_RS02260	MHJ_RS03870
OG0000527	NB623_RS02315	MHJ_RS03865
OG0000528	NB623_RS02080	MHJ_RS01970
OG0000531	NB623_RS01520	MHJ_RS01370
OG0000532	NB623_RS01745	MHJ_RS01585
OG0000533	NB623_RS00595	MHJ_RS00585
OG0000534	NB623_RS00370	MHJ_RS00360
OG0000536	NB623_RS03735	MHJ_RS03510
OG0000540	NB623_RS02805	MHJ_RS02600
OG0000541	NB623_RS02880	MHJ_RS02680
OG0000544	NB623_RS01375	MHJ_RS01225
OG0000545	NB623_RS02270	MHJ_RS01770
OG0000546	NB623_RS02950	MHJ_RS02755
OG0000552	NB623_RS03300	MHJ_RS03115
OG0000553	NB623_RS02855	MHJ_RS02650
OG0000554	NB623_RS02535	MHJ_RS02335
OG0000555	NB623_RS03080	MHJ_RS03945
