Orthogroup	MHP_F72C_proteins	MHP_131B_proteins
OG0000192	WP_146379779.1	WP_160587990.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_179695841.1	WP_020835573.1
OG0000197	WP_041361572.1	WP_404924405.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_160588272.1
OG0000201	WP_011283934.1	WP_404924407.1
OG0000202	WP_146379507.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_146379508.1	WP_011206071.1
OG0000205	WP_146379509.1	WP_404924414.1
OG0000206	WP_135618589.1	WP_011290044.1
OG0000207	WP_094521594.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_146379515.1	WP_404924418.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_011290055.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_146379520.1	WP_404924419.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_011206041.1
OG0000220	WP_020835592.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_404924420.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_146379522.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011290064.1
OG0000228	WP_041361593.1	WP_404924421.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_146379528.1	WP_233688672.1
OG0000234	WP_146379533.1	WP_404924425.1
OG0000235	WP_146379535.1	WP_011290078.1
OG0000236	WP_146379536.1	WP_011283989.1
OG0000237	WP_146379537.1	WP_404924426.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_146379700.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_044272588.1	WP_135619036.1
OG0000242	WP_146379702.1	WP_020835854.1
OG0000243	WP_146379703.1	WP_011290352.1
OG0000244	WP_146379705.1	WP_041361690.1
OG0000245	WP_146379707.1	WP_404924288.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_146379457.1	WP_404924356.1
OG0000248	WP_146379774.1	WP_146379774.1
OG0000249	WP_146379458.1	WP_404924357.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_146379462.1	WP_347952354.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_146379464.1	WP_160606527.1
OG0000254	WP_146379465.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_225973009.1	WP_404924364.1
OG0000260	WP_146379471.1	WP_404924365.1
OG0000261	WP_146379473.1	WP_404924542.1
OG0000262	WP_135618519.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_404924371.1
OG0000265	WP_146379476.1	WP_404924372.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_146379477.1
OG0000268	WP_146379478.1	WP_404924385.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_146379759.1	WP_404924335.1
OG0000271	WP_020835915.1	WP_404924334.1
OG0000272	WP_146379758.1	WP_011284373.1
OG0000273	WP_146379757.1	WP_404924333.1
OG0000274	WP_011290423.1	WP_011290423.1
OG0000275	WP_225973001.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_146379752.1	WP_160588182.1
OG0000279	WP_011290418.1	WP_404924043.1
OG0000280	WP_094521520.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_146379750.1	WP_404924327.1
OG0000283	WP_014580009.1	WP_160584907.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_011290413.1	WP_404924325.1
OG0000286	WP_146379652.1	WP_146379652.1
OG0000287	WP_146379659.1	WP_011206297.1
OG0000288	WP_146379661.1	WP_011206299.1
OG0000289	WP_020835793.1	WP_404924251.1
OG0000290	WP_146379672.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_146379670.1	WP_404924261.1
OG0000293	WP_020835805.1	WP_404924260.1
OG0000294	WP_146379669.1	WP_404924259.1
OG0000295	WP_011206315.1	WP_404924258.1
OG0000296	WP_041361673.1	WP_404924255.1
OG0000297	WP_146379664.1	WP_146379664.1
OG0000298	WP_146379460.1	WP_160606533.1
OG0000299	WP_011205878.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_135618529.1	WP_135618529.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_146379484.1
OG0000304	WP_220190741.1	WP_220190741.1
OG0000305	WP_020835841.1	WP_404924282.1
OG0000306	WP_146379686.1	WP_146379686.1
OG0000307	WP_135618990.1	WP_404924275.1
OG0000308	WP_146379674.1	WP_020835811.1
OG0000309	WP_146379668.1	WP_011206313.1
OG0000310	WP_146379660.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_146379607.1	WP_404924483.1
OG0000315	WP_011290197.1	WP_011290197.1
OG0000316	WP_014579818.1	WP_404924204.1
OG0000317	WP_146379589.1	WP_135618864.1
OG0000318	WP_220200854.1	WP_404924205.1
OG0000319	WP_146379629.1	WP_135618880.1
OG0000320	WP_146379643.1	WP_404924234.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_146379567.1	WP_160588227.1
OG0000324	WP_094521693.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_146379505.1	WP_404924411.1
OG0000327	WP_146379506.1	WP_160584807.1
OG0000328	WP_225973016.1	WP_041361583.1
OG0000329	WP_225973017.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_044272637.1	WP_020835889.1
OG0000335	WP_146379731.1	WP_041361699.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_050195472.1
OG0000338	WP_011284394.1	WP_014580051.1
OG0000339	WP_146379639.1	WP_404924230.1
OG0000340	WP_146379551.1	WP_146379551.1
OG0000341	WP_146379636.1	WP_011290226.1
OG0000342	WP_146379499.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_146379487.1	WP_404924394.1
OG0000345	WP_146379521.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_404924412.1
OG0000349	WP_146379756.1	WP_404924332.1
OG0000350	WP_146379684.1	WP_404924274.1
OG0000351	WP_146379480.1	WP_011206131.1
OG0000352	WP_146379609.1	WP_404924481.1
OG0000353	WP_146379556.1	WP_404924440.1
OG0000354	WP_225973014.1	WP_404924550.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_225973042.1	WP_404924505.1
OG0000357	WP_011206427.1	WP_404924531.1
OG0000358	WP_146379720.1	WP_404924299.1
OG0000359	WP_192894285.1	WP_192894285.1
OG0000360	WP_225973008.1	WP_404924361.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_011290282.1	WP_094521719.1
OG0000363	WP_233417364.1	WP_233417364.1
OG0000364	WP_225972968.1, WP_225972967.1	WP_044272453.1
OG0000365	WP_146379598.1	WP_404924207.1
OG0000366	WP_146379594.1	WP_146379594.1
OG0000367	WP_225973040.1	WP_404924210.1
OG0000368	WP_011289935.1	WP_011289935.1
OG0000369	WP_146379444.1	WP_404924349.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_146379443.1	WP_044272256.1
OG0000372	WP_146379442.1	WP_135618439.1
OG0000373	WP_146379772.1	WP_404924348.1
OG0000374	WP_146379770.1	WP_404924346.1
OG0000375	WP_146379628.1	WP_146379628.1
OG0000376	WP_146379646.1	WP_404924237.1
OG0000377	WP_146379644.1	WP_011206271.1
OG0000378	WP_146379548.1	WP_404924557.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_146379558.1	WP_404924442.1
OG0000381	WP_146379561.1	WP_404924443.1
OG0000382	WP_146379565.1	WP_404924558.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_404924391.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_146379485.1	WP_404924392.1
OG0000388	WP_146379486.1	WP_404924393.1
OG0000389	WP_146379493.1	WP_020835565.1
OG0000390	WP_146379695.1	WP_011290340.1
OG0000391	WP_146379693.1	WP_404924283.1
OG0000392	WP_020835840.1	WP_404924281.1
OG0000393	WP_146379687.1	WP_404924279.1
OG0000394	WP_011290313.1	WP_011284253.1
OG0000395	WP_146379682.1	WP_404924270.1
OG0000396	WP_020835781.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_146379611.1	WP_146379611.1
OG0000399	WP_146379605.1	WP_348571612.1
OG0000400	WP_146379715.1	WP_404924530.1
OG0000401	WP_135619070.1	WP_404924302.1
OG0000402	WP_020835872.1	WP_404924303.1
OG0000403	WP_192894281.1	WP_404924022.1
OG0000405	WP_081642900.1	WP_160585278.1
OG0000406	WP_146379732.1	WP_404924308.1
OG0000407	WP_146379733.1	WP_404924309.1
OG0000408	WP_146379734.1	WP_404924310.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_404924318.1
OG0000411	WP_146379742.1	WP_404924317.1
OG0000412	WP_146379741.1	WP_404924316.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_020835657.1	WP_404924448.1
OG0000416	WP_011284056.1	WP_404924449.1
OG0000417	WP_146379635.1	WP_404924514.1
OG0000418	WP_225972976.1	WP_404924512.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_146379500.1	WP_020835574.1
OG0000421	WP_146379503.1	WP_011290034.1
OG0000422	WP_146379504.1	WP_020835580.1
OG0000423	WP_146379510.1	WP_404924415.1
OG0000424	WP_146379511.1	WP_135618587.1
OG0000425	WP_044277967.1	WP_011283949.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_146379512.1	WP_135618593.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_146379523.1	WP_146379523.1
OG0000431	WP_146379524.1	WP_146379524.1
OG0000432	WP_146379529.1	WP_404924424.1
OG0000433	WP_011206014.1	WP_160606761.1
OG0000434	WP_146379531.1	WP_160606763.1
OG0000435	WP_146379534.1	WP_011290077.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_044272373.1	WP_020835616.1
OG0000438	WP_146379539.1	WP_404924427.1
OG0000439	WP_044272377.1	WP_404924428.1
OG0000440	WP_146379701.1	WP_020835852.1
OG0000441	WP_011284299.1	WP_404924290.1
OG0000442	WP_146379456.1	WP_404924355.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_404924360.1
OG0000446	WP_146379467.1	WP_135618497.1
OG0000447	WP_044284573.1	WP_044284573.1
OG0000448	WP_146379469.1	WP_404924362.1
OG0000449	WP_146379470.1	WP_348571941.1
OG0000450	WP_146379472.1	WP_404924074.1
OG0000451	WP_011205913.1	WP_404924370.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_404924386.1
OG0000455	WP_146379761.1	WP_404924337.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_146379749.1	WP_404924500.1
OG0000458	WP_146379658.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_404924252.1
OG0000460	WP_044272549.1	WP_404924253.1
OG0000461	WP_146379667.1	WP_404924496.1
OG0000462	WP_011284228.1	WP_011206311.1
OG0000463	WP_146379666.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_146379665.1	WP_404924256.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_146379676.1	WP_404924266.1
OG0000468	WP_146379606.1	WP_404924484.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_192894286.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_044272348.1
OG0000472	WP_146379745.1	WP_404924319.1
OG0000474	WP_041361711.1	WP_404924336.1
OG0000475	WP_146379760.1	WP_160584892.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_135618962.1	WP_135618962.1
OG0000478	WP_146379753.1	WP_404924331.1
OG0000479	WP_146379554.1	WP_404924439.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044272343.1
OG0000482	WP_146379541.1	WP_404924553.1
OG0000483	WP_146379591.1	WP_404924211.1
OG0000484	WP_225973007.1	WP_404924359.1
OG0000485	WP_146379538.1	WP_020835615.1
OG0000486	WP_011290228.1	WP_011290228.1
OG0000488	WP_146379596.1	WP_020835728.1
OG0000490	WP_146379773.1	WP_011206527.1
OG0000491	WP_020835639.1	WP_160588241.1
OG0000492	WP_146379559.1	WP_146379559.1
OG0000493	WP_146379488.1	WP_404924395.1
OG0000494	WP_052269169.1	WP_404924551.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_146379688.1	WP_014579936.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_020835817.1
OG0000500	WP_146379610.1	WP_146379610.1
OG0000501	WP_192894280.1	WP_404924297.1
OG0000504	WP_146379513.1	WP_404924485.1
OG0000505	WP_146379519.1	WP_146379519.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_020835512.1	WP_404924540.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_404924363.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_146379662.1	WP_404924254.1
OG0000513	WP_146379751.1	WP_160585582.1
OG0000514	WP_146379691.1	WP_404924527.1
OG0000517	WP_146379446.1	WP_011283834.1
OG0000518	WP_146379722.1	WP_404924301.1
OG0000520	WP_146379514.1	WP_404924090.1
OG0000521	WP_146379468.1	WP_404924541.1
OG0000523	WP_146379748.1	WP_404924324.1
OG0000524	WP_146379675.1	WP_404924265.1
OG0000525	WP_146379746.1	WP_404924320.1
OG0000526	WP_225972970.1	WP_404924477.1, WP_011290177.1
OG0000527	WP_225972972.1	WP_404924472.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_011284067.1	WP_404924453.1, WP_404924454.1
OG0000538	WP_146379532.1	WP_020835608.1
OG0000540	WP_146379671.1	WP_404924523.1
OG0000544	WP_014579703.1	WP_404924555.1
OG0000545	WP_146379616.1	WP_404924475.1
OG0000546	WP_225972993.1	WP_160585684.1
OG0000551	WP_146379706.1	WP_404924287.1
OG0000552	WP_146379724.1	WP_404924304.1
OG0000553	WP_146379678.1	WP_404924267.1
OG0000554	WP_146379649.1	WP_404924240.1
OG0000555	WP_225972997.1	WP_308507032.1
OG0000557	WP_146379545.1	WP_146379545.1
OG0000558	WP_020835624.1	WP_404924432.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_146379530.1	WP_011290073.1
OG0000562	WP_146379618.1	WP_146379618.1
OG0000563	WP_146379619.1	WP_160587877.1
OG0000564	WP_014579710.1	WP_041361605.1
OG0000565	WP_146379612.1	WP_011290181.1
OG0000566	WP_225972969.1	WP_404924480.1
OG0000567	WP_225972971.1	WP_404924476.1
OG0000568	WP_146379498.1	WP_044272325.1
OG0000569	WP_146379543.1	WP_404924433.1
OG0000570	WP_146379544.1	WP_011290093.1
OG0000571	WP_135618664.1	WP_011205986.1
