Orthogroup	MHP_MHP691_genes	MFC_Ms42_genes
OG0000383	DR087_RS01025	MYF_RS01855
OG0000384	DR087_RS03460	MYF_RS00470
OG0000385	DR087_RS03455	MYF_RS00475
OG0000386	DR087_RS02875	MYF_RS00495
OG0000387	DR087_RS02900	MYF_RS00520
OG0000388	DR087_RS04720	MYF_RS00525
OG0000389	DR087_RS03170	MYF_RS00560
OG0000390	DR087_RS01460	MYF_RS00670
OG0000391	DR087_RS01450	MYF_RS00680
OG0000392	DR087_RS01425	MYF_RS00705
OG0000393	DR087_RS04575	MYF_RS00760
OG0000394	DR087_RS03560	MYF_RS00825
OG0000395	DR087_RS03550	MYF_RS00830
OG0000396	DR087_RS02430	MYF_RS01200
OG0000397	DR087_RS01540	MYF_RS01245
OG0000398	DR087_RS01535	MYF_RS01250
OG0000399	DR087_RS00015	MYF_RS01295
OG0000400	DR087_RS00995	MYF_RS02580
OG0000401	DR087_RS00935	MYF_RS02640
OG0000402	DR087_RS00925	MYF_RS02650
OG0000403	DR087_RS00915	MYF_RS02660
OG0000404	DR087_RS00885	MYF_RS02685
OG0000405	DR087_RS00870	MYF_RS02700
OG0000406	DR087_RS00810	MYF_RS02730
OG0000407	DR087_RS04515	MYF_RS02735
OG0000408	DR087_RS00800	MYF_RS02740
OG0000409	DR087_RS00795	MYF_RS02745
OG0000410	DR087_RS02135	MYF_RS02780
OG0000411	DR087_RS02145	MYF_RS02790
OG0000412	DR087_RS02150	MYF_RS02795
OG0000413	DR087_RS00355	MYF_RS01890
OG0000414	DR087_RS03435	MYF_RS01900
OG0000415	DR087_RS03430	MYF_RS01905
OG0000416	DR087_RS03420	MYF_RS01915
OG0000417	DR087_RS00250	MYF_RS01945
OG0000418	DR087_RS00245	MYF_RS01950
OG0000419	DR087_RS02205	MYF_RS02010
OG0000420	DR087_RS02240	MYF_RS02045
OG0000421	DR087_RS02275	MYF_RS02075
OG0000422	DR087_RS02285	MYF_RS02085
OG0000423	DR087_RS02600	MYF_RS02140
OG0000424	DR087_RS02595	MYF_RS02145
OG0000425	DR087_RS02585	MYF_RS02155
OG0000426	DR087_RS04695	MYF_RS02160
OG0000427	DR087_RS04690	MYF_RS02185
OG0000428	DR087_RS02530	MYF_RS02210
OG0000429	DR087_RS02705	MYF_RS02300
OG0000430	DR087_RS02750	MYF_RS02345
OG0000431	DR087_RS02760	MYF_RS02355
OG0000432	DR087_RS02000	MYF_RS02375
OG0000433	DR087_RS01985	MYF_RS02385
OG0000434	DR087_RS01980	MYF_RS02390
OG0000435	DR087_RS01965	MYF_RS02405
OG0000436	DR087_RS01935	MYF_RS02440
OG0000437	DR087_RS01925	MYF_RS02450
OG0000438	DR087_RS01920	MYF_RS02455
OG0000439	DR087_RS04620	MYF_RS02460
OG0000440	DR087_RS03345	MYF_RS02475
OG0000441	DR087_RS03395	MYF_RS02515
OG0000442	DR087_RS04770	MYF_RS00090
OG0000443	DR087_RS02370	MYF_RS00150
OG0000444	DR087_RS02355	MYF_RS00165
OG0000445	DR087_RS02330	MYF_RS00190
OG0000446	DR087_RS01775	MYF_RS00220
OG0000447	DR087_RS01780	MYF_RS00225
OG0000448	DR087_RS01810	MYF_RS00255
OG0000449	DR087_RS01835	MYF_RS00280
OG0000450	DR087_RS01845	MYF_RS00290
OG0000451	DR087_RS01885	MYF_RS00330
OG0000452	DR087_RS03005	MYF_RS00355
OG0000453	DR087_RS03040	MYF_RS00390
OG0000454	DR087_RS02015	MYF_RS03480, MYF_RS03485
OG0000455	DR087_RS00740	MYF_RS02975
OG0000456	DR087_RS00620	MYF_RS02860
OG0000457	DR087_RS00595	MYF_RS02835
OG0000458	DR087_RS02935	MYF_RS01095
OG0000459	DR087_RS02960	MYF_RS01070
OG0000460	DR087_RS02970	MYF_RS01060
OG0000461	DR087_RS01335	MYF_RS01010
OG0000462	DR087_RS01340	MYF_RS01015
OG0000463	DR087_RS01350	MYF_RS01020
OG0000464	DR087_RS03000	MYF_RS01030
OG0000465	DR087_RS02995	MYF_RS01035
OG0000466	DR087_RS03010	MYF_RS00360
OG0000467	DR087_RS04570	MYF_RS03505
OG0000468	DR087_RS00010	MYF_RS01290
OG0000469	DR087_RS00070	MYF_RS01425
OG0000470	DR087_RS03755	MYF_RS02135
OG0000471	DR087_RS02525	MYF_RS02215
OG0000472	DR087_RS02125	MYF_RS03535
OG0000473	DR087_RS00725	MYF_RS02960
OG0000474	DR087_RS00730	MYF_RS02965
OG0000475	DR087_RS00735	MYF_RS02970
OG0000476	DR087_RS03410	MYF_RS03040
OG0000477	DR087_RS01310	MYF_RS00930
OG0000478	DR087_RS00670	MYF_RS02905
OG0000479	DR087_RS01200	MYF_RS01680
OG0000480	DR087_RS03730	MYF_RS03350
OG0000481	DR087_RS02310	MYF_RS02110
OG0000482	DR087_RS02795	MYF_RS01975
OG0000483	DR087_RS00115	MYF_RS01375
OG0000484	DR087_RS04670	MYF_RS00160
OG0000485	DR087_RS01930	MYF_RS02445
OG0000486	DR087_RS00270	MYF_RS01925
OG0000487	DR087_RS04405	MYF_RS01445
OG0000488	DR087_RS00085	MYF_RS01405
OG0000489	DR087_RS00480	MYF_RS00050
OG0000490	DR087_RS00420	MYF_RS03140
OG0000491	DR087_RS01180	MYF_RS01700
OG0000492	DR087_RS01105	MYF_RS01775
OG0000493	DR087_RS02915	MYF_RS00535
OG0000494	DR087_RS03145	MYF_RS00585
OG0000495	DR087_RS01395	MYF_RS00735
OG0000496	DR087_RS01385	MYF_RS00745
OG0000497	DR087_RS01380	MYF_RS00750
OG0000498	DR087_RS03245	MYF_RS00820
OG0000499	DR087_RS01235	MYF_RS00865
OG0000500	DR087_RS01530	MYF_RS01255
OG0000501	DR087_RS00985	MYF_RS02590
OG0000502	DR087_RS02785	MYF_RS01985
OG0000503	DR087_RS02255	MYF_RS02055
OG0000504	DR087_RS02550	MYF_RS02190
OG0000505	DR087_RS02625	MYF_RS02225
OG0000506	DR087_RS02635	MYF_RS02235
OG0000507	DR087_RS02670	MYF_RS02270
OG0000508	DR087_RS01770	MYF_RS00215
OG0000509	DR087_RS01805	MYF_RS00250
OG0000510	DR087_RS01815	MYF_RS00260
OG0000511	DR087_RS03045	MYF_RS00395
OG0000512	DR087_RS02975	MYF_RS01055
OG0000513	DR087_RS00655	MYF_RS02890
OG0000514	DR087_RS01420	MYF_RS00710
OG0000516	DR087_RS04410	MYF_RS01440
OG0000517	DR087_RS00495	MYF_RS00065
OG0000518	DR087_RS00945	MYF_RS02630
OG0000519	DR087_RS02280	MYF_RS02080
OG0000520	DR087_RS02535	MYF_RS02205
OG0000521	DR087_RS01785	MYF_RS00230
OG0000522	DR087_RS01820	MYF_RS00265
OG0000523	DR087_RS00590	MYF_RS02830
OG0000524	DR087_RS01260	MYF_RS00890
OG0000528	DR087_RS04415	MYF_RS01435
OG0000529	DR087_RS00205	MYF_RS01565
OG0000530	DR087_RS01735	MYF_RS01630
OG0000531	DR087_RS01130	MYF_RS01750
OG0000532	DR087_RS03180	MYF_RS00620
OG0000533	DR087_RS03510	MYF_RS02365
OG0000534	DR087_RS01900	MYF_RS00345
OG0000535	DR087_RS04460	MYF_RS00045
OG0000537	DR087_RS02220	MYF_RS02025
OG0000538	DR087_RS01975	MYF_RS02395
OG0000539	DR087_RS02345	MYF_RS00175
OG0000540	DR087_RS01290	MYF_RS00910
OG0000541	DR087_RS01220	MYF_RS00850
OG0000542	DR087_RS01870	MYF_RS00315
OG0000547	DR087_RS01470	MYF_RS00660
OG0000548	DR087_RS03220	MYF_RS01205
OG0000549	DR087_RS04650	MYF_RS02805
OG0000550	DR087_RS00690	MYF_RS02925
OG0000551	DR087_RS03385	MYF_RS02505
OG0000555	DR087_RS04580	MYF_RS03410
OG0000589	DR087_RS03500	MYF_RS03220
OG0000597	DR087_RS03400	MYF_RS02565
OG0000602	DR087_RS00080	MYF_RS01415
