HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N3.HOG0000010	OG0000000	n203										WP_225973037.1																	WP_225973037.1											WP_094521686.1						WP_347952221.1
N3.HOG0000011	OG0000000	n217									WP_404911849.1	WP_404913633.1												WP_148174330.1	WP_148174330.1				WP_225973050.1					WP_240532016.1	WP_258555731.1, WP_308704714.1					WP_258555731.1, WP_308506999.1						
N3.HOG0000012	OG0000000	n239																						WP_020835762.1	WP_052269173.1				WP_225972977.1					WP_225972977.1												
N3.HOG0000013	OG0000000	n254																	WP_404924580.1																											
N3.HOG0000014	OG0000000	n260																WP_404923956.1																			WP_258555636.1									
N3.HOG0000015	OG0000000	n262																																		WP_160585837.1										
N3.HOG0000016	OG0000000	n274																																						WP_160585044.1						
N3.HOG0000017	OG0000000	n283									WP_404912388.1								WP_404924621.1																WP_160590228.1											WP_347952456.1
N3.HOG0000018	OG0000000	n294									WP_404912447.1							WP_404924157.1	WP_404924630.1															WP_160615776.1, WP_308507040.1												
N3.HOG0000019	OG0000000	n316																																			WP_258555591.1									
N3.HOG0000020	OG0000000	n317									WP_404912449.1	WP_404913748.1												WP_020835681.1	WP_081420845.1				WP_146379582.1					WP_334199374.1	WP_308704704.1	WP_160585691.1	WP_160608120.1			WP_308506991.1						WP_347952486.1
N3.HOG0000021	OG0000001	n28																						WP_020835629.1											WP_020835629.1											
N3.HOG0000022	OG0000001	n30																WP_187145661.1	WP_187145661.1						WP_187145661.1									WP_187145661.1			WP_187145661.1									
N3.HOG0000023	OG0000001	n31									WP_404912312.1	WP_404912312.1						WP_404924125.1	WP_404924125.1																											WP_347952413.1
N3.HOG0000024	OG0000001	n35																																						WP_280996374.1						
N3.HOG0000025	OG0000001	n37																							WP_228366130.1									WP_258555625.1			WP_258555625.1									
N3.HOG0000026	OG0000001	n50																											WP_225973029.1							WP_258555804.1										
N3.HOG0000027	OG0000001	n57									WP_404911958.1	WP_404911958.1						WP_404923999.1	WP_404923999.1					WP_228365393.1	WP_228365393.1				WP_225972995.1					WP_228365393.1	WP_228365393.1	WP_258555825.1	WP_258555566.1			WP_225972995.1						WP_347952263.1
N3.HOG0000028	OG0000001	n78																						WP_228366104.1	WP_228366104.1												WP_228366104.1									
N3.HOG0000029	OG0000001	n91									WP_404911950.1	WP_404911950.1																	WP_225972992.1						WP_258555715.1											
N3.HOG0000030	OG0000001	n97									WP_011206342.1	WP_011206342.1						WP_404923994.1	WP_404923994.1					WP_020835822.1	WP_020835822.1				WP_225972991.1								WP_011206342.1									
N3.HOG0000031	OG0000001	n113																																WP_258555925.1	WP_258555714.1	WP_258555827.1				WP_280996770.1						
N3.HOG0000032	OG0000001	n118																																						WP_160585261.1						
N3.HOG0000033	OG0000002	n14																																	WP_160585200.1		WP_160585200.1			WP_160585200.1						
N3.HOG0000034	OG0000002	n16									WP_225972974.1	WP_225972974.1						WP_258555377.1	WP_258555377.1					WP_020835748.1	WP_020835748.1				WP_225972974.1					WP_258555957.1		WP_258555846.1										WP_020835748.1
N3.HOG0000035	OG0000002	n32																WP_404923949.1	WP_404923949.1					WP_011206235.1	WP_011206235.1																					WP_011206235.1
N3.HOG0000036	OG0000002	n38									WP_146379587.1	WP_146379587.1						WP_404923948.1											WP_146379587.1					WP_160615875.1		WP_160585767.1										
N3.HOG0000037	OG0000002	n64									WP_404912241.1	WP_404913718.1						WP_404923934.1	WP_404923934.1					WP_020835737.1					WP_225973021.1, WP_225973022.1					WP_160615955.1	WP_160590513.1	WP_160585824.1	WP_160608106.1			WP_160585311.1						
N3.HOG0000038	OG0000002	n95																WP_404924158.1	WP_404924158.1					WP_020835682.1	WP_020835682.1				WP_146379583.1					WP_160615941.1	WP_160585690.1	WP_160585690.1	WP_160608118.1			WP_160585042.1						WP_347952457.1
N3.HOG0000039	OG0000003	n12									WP_404912467.1	WP_404912467.1							WP_404924623.1															WP_160615984.1												
N3.HOG0000040	OG0000003	n20									WP_404912175.1	WP_404912175.1																							WP_160590073.1, WP_160590541.1											
N3.HOG0000041	OG0000003	n30																						WP_041361639.1																						
N3.HOG0000042	OG0000003	n42																																WP_160615980.1, WP_160615982.1		WP_220191211.1	WP_160607882.1			WP_220190744.1						WP_347952470.1
N3.HOG0000043	OG0000003	n54																WP_404924160.1	WP_404924622.1																											
N3.HOG0000044	OG0000003	n56																							WP_044272444.1				WP_146379620.1																	
N3.HOG0000045	OG0000003	n59																WP_146379482.1	WP_146379482.1						WP_044272308.1, WP_044272440.1				WP_146379482.1																	
N3.HOG0000046	OG0000003	n65									WP_225973018.1	WP_225973018.1						WP_404923944.1	WP_404923944.1										WP_225973018.1					WP_160615810.1		WP_160585822.1	WP_258555606.1, WP_308704686.1			WP_160584822.1						WP_347952393.1
N3.HOG0000047	OG0000003	n77									WP_225973019.1	WP_225973019.1																	WP_225973019.1																	
N3.HOG0000048	OG0000003	n80																																WP_240536590.1	WP_240536590.1		WP_240536590.1			WP_240536590.1						
N3.HOG0000049	OG0000003	n88																						WP_041361653.1										WP_308506998.1	WP_308506998.1	WP_160585818.1				WP_308506998.1						
N3.HOG0000050	OG0000003	n92									WP_225973026.1	WP_225973026.1																	WP_225973026.1																	
N3.HOG0000051	OG0000003	n93									WP_225973025.1	WP_225973025.1																	WP_225973025.1																	
N3.HOG0000052	OG0000003	n118																						WP_051129928.1					WP_192894277.1					WP_192894277.1	WP_192894277.1	WP_192894277.1				WP_192894277.1						WP_192894277.1
N3.HOG0000053	OG0000003	n132									WP_179696107.1	WP_179696107.1																																		
N3.HOG0000054	OG0000003	n133																WP_404924172.1	WP_404924172.1																											
N3.HOG0000055	OG0000004	n5									WP_160585636.1	WP_160585636.1						WP_020835883.1	WP_020835883.1					WP_020835883.1	WP_020835883.1				WP_020835883.1							WP_160585636.1	WP_160585636.1									WP_347952295.1
N3.HOG0000056	OG0000004	n25									WP_135619084.1	WP_404913672.1																									WP_135619084.1			WP_160585337.1						WP_347952293.1
N3.HOG0000057	OG0000004	n36																WP_404924027.1	WP_404924027.1						WP_044272630.1				WP_146379729.1											WP_160585331.1						WP_347952296.1
N3.HOG0000058	OG0000004	n51									WP_404912021.1	WP_404912021.1						WP_020835887.1						WP_020835887.1	WP_020835887.1				WP_020835887.1						WP_160590525.1	WP_160585635.1	WP_160585635.1			WP_160585323.1						
N3.HOG0000059	OG0000004	n76									WP_404912454.1	WP_404912454.1						WP_404924198.1	WP_404924198.1										WP_225972998.1																	WP_347952279.1, WP_347952281.1
N3.HOG0000060	OG0000004	n106																WP_404924199.1	WP_404924199.1						WP_228366111.1																					WP_347952275.1
N3.HOG0000061	OG0000004	n116																											WP_225973000.1																	
N3.HOG0000062	OG0000004	n118																											WP_225972999.1																	
N3.HOG0000063	OG0000004	n120																																WP_220191266.1												
N3.HOG0000064	OG0000004	n127									WP_404912456.1	WP_404912456.1													WP_228366112.1										WP_160590529.1											WP_347952277.1
N3.HOG0000065	OG0000004	n134									WP_404912458.1	WP_404912458.1						WP_404912458.1	WP_404912458.1																											
N3.HOG0000066	OG0000005	n1									WP_404912131.1	WP_404912131.1						WP_404924061.1	WP_404924061.1					WP_011289941.1	WP_011289941.1				WP_146379449.1					WP_160615846.1	WP_160590470.1	WP_160585749.1	WP_160607716.1			WP_160584840.1						WP_347952342.1
N3.HOG0000067	OG0000005	n32																WP_404924063.1						WP_011289945.1	WP_011289945.1				WP_146379452.1					WP_160615840.1		WP_160585746.1				WP_160584832.1						WP_347952345.1
N3.HOG0000068	OG0000005	n52									WP_404912133.1	WP_404912133.1												WP_020835493.1	WP_011289942.1				WP_146379450.1					WP_160615842.1	WP_160590473.1	WP_146379450.1	WP_160607718.1			WP_160584838.1						WP_347952343.1
N3.HOG0000069	OG0000005	n83																																	WP_160590475.1		WP_160607720.1									
N3.HOG0000070	OG0000005	n92									WP_404912135.1	WP_404912135.1						WP_146379451.1	WP_146379451.1					WP_011289943.1	WP_011289943.1				WP_146379451.1					WP_160585747.1		WP_160585747.1				WP_160584836.1						WP_146379451.1
N3.HOG0000071	OG0000005	n113																						WP_011289946.1	WP_011289946.1				WP_146379453.1					WP_160615838.1		WP_160585745.1				WP_160584830.1						WP_347952346.1
N3.HOG0000072	OG0000006	n3									WP_404911894.1	WP_404911894.1												WP_051129932.1																						
N3.HOG0000073	OG0000006	n11																							WP_228366101.1																					
N3.HOG0000074	OG0000006	n22																																WP_258555632.1	WP_258555632.1		WP_258555632.1			WP_280996647.1						
N3.HOG0000075	OG0000006	n25																WP_225972988.1	WP_225972988.1										WP_225972988.1											WP_280996645.1						
N3.HOG0000076	OG0000006	n45																																		WP_258555865.1										
N3.HOG0000077	OG0000006	n48																																	WP_258555696.1					WP_258555696.1						
N3.HOG0000078	OG0000006	n70									WP_404911860.1	WP_404911860.1						WP_404923960.1	WP_404924581.1															WP_258555930.1	WP_258555726.1		WP_258555587.1									
N3.HOG0000079	OG0000006	n81																											WP_225972980.1						WP_258555725.1	WP_258555346.1										
N3.HOG0000080	OG0000006	n87																WP_258555362.1	WP_258555362.1						WP_081420850.1				WP_258555362.1																	
N3.HOG0000081	OG0000006	n104									WP_404911851.1	WP_404911851.1						WP_225972978.1	WP_225972978.1					WP_225972978.1	WP_225972978.1				WP_225972978.1																	
N3.HOG0000082	OG0000007	n3																WP_160576975.1																												
N3.HOG0000083	OG0000007	n5																											WP_135618608.1							WP_135618608.1				WP_135618608.1						WP_135618608.1
N3.HOG0000084	OG0000007	n10									WP_258555604.1																										WP_258555604.1									
N3.HOG0000085	OG0000007	n11									WP_404912233.1																										WP_258555605.1									
N3.HOG0000086	OG0000007	n12										WP_404913714.1																						WP_160615812.1												
N3.HOG0000087	OG0000007	n13									WP_011284157.1	WP_011284157.1						WP_404923946.1						WP_020835743.1					WP_146379518.1					WP_160615973.1	WP_011284157.1	WP_011284157.1	WP_011284157.1			WP_280996803.1, WP_280996804.1						
N3.HOG0000088	OG0000007	n28									WP_220190648.1	WP_220190648.1																	WP_220190648.1					WP_258555947.1		WP_220190648.1	WP_220190648.1			WP_220190648.1						WP_258555947.1
N3.HOG0000089	OG0000007	n32									WP_002557993.1	WP_002557993.1						WP_404923943.1	WP_404923943.1					WP_020835742.1					WP_002557993.1					WP_160585819.1		WP_160585819.1	WP_002557993.1			WP_160585308.1						
N3.HOG0000090	OG0000007	n45									WP_002557992.1	WP_404913724.1												WP_002557992.1					WP_002557992.1					WP_160615975.1	WP_258555727.1	WP_002557992.1	WP_258555628.1, WP_258555629.1			WP_002557992.1						
N3.HOG0000091	OG0000008	n2									WP_404911847.1	WP_404911847.1						WP_404923955.1	WP_404923955.1					WP_020835760.1	WP_011290229.1				WP_011290229.1																	WP_347952220.1
N3.HOG0000092	OG0000008	n32																											WP_225973033.1						WP_258555683.1											
N3.HOG0000093	OG0000008	n34																	WP_404924619.1																											
N3.HOG0000094	OG0000008	n35									WP_404912369.1	WP_404912369.1						WP_404924145.1, WP_404924146.1	WP_404924145.1, WP_404924620.1					WP_041361617.1	WP_044272707.1															WP_220190685.1						
N3.HOG0000095	OG0000008	n73																WP_404924196.1	WP_404924196.1					WP_228366102.1	WP_228366102.1									WP_258555965.1			WP_258555633.1									WP_347952490.1
N3.HOG0000096	OG0000008	n87									WP_404911900.1	WP_404911900.1																																		
N3.HOG0000097	OG0000008	n89									WP_404911898.1	WP_404911898.1																	WP_225972989.1						WP_160590314.1	WP_308507018.1				WP_280996809.1						
N3.HOG0000098	OG0000009	n2									WP_404912199.1, WP_404912201.1	WP_041361566.1						WP_041361566.1	WP_041361566.1					WP_041361566.1	WP_011290018.1																					WP_041361566.1
N3.HOG0000099	OG0000009	n16									WP_041361519.1	WP_041361519.1						WP_041361519.1	WP_041361519.1					WP_041361519.1	WP_041361519.1				WP_146379448.1					WP_146379448.1		WP_146379448.1	WP_041361519.1									WP_041361519.1
N3.HOG0000100	OG0000009	n25																																WP_160584690.1	WP_258555704.1	WP_160584690.1				WP_160584690.1						
N3.HOG0000101	OG0000009	n35									WP_011290021.1	WP_011290021.1						WP_011290021.1	WP_011290021.1					WP_011290021.1	WP_011290021.1				WP_146379497.1							WP_160585618.1				WP_160584797.1						WP_011290021.1
N3.HOG0000102	OG0000010	n1																WP_404924175.1	WP_404924175.1																											
N3.HOG0000103	OG0000010	n3									WP_404911810.1	WP_404911810.1												WP_020835701.1	WP_011290178.1				WP_146379615.1					WP_160615540.1	WP_160590099.1	WP_160585752.1	WP_160607876.1			WP_160585030.1						WP_347952475.1
N3.HOG0000104	OG0000010	n37																																		WP_308506993.1				WP_308506993.1						WP_347952432.1
N3.HOG0000105	OG0000010	n58																																		WP_240536641.1				WP_240536641.1						WP_240536641.1
N3.HOG0000106	OG0000010	n62																																WP_160615836.1		WP_160585744.1										
N3.HOG0000107	OG0000010	n66																																WP_160615844.1		WP_160585748.1										
N3.HOG0000108	OG0000010	n68																						WP_269076334.1																						
N3.HOG0000109	OG0000010	n72																						WP_228366119.1	WP_228366119.1												WP_258555487.1									WP_258555487.1
N3.HOG0000110	OG0000011	n8																						WP_020835714.1													WP_020835714.1									
N3.HOG0000111	OG0000011	n10									WP_404911790.1	WP_404911790.1						WP_160587900.1	WP_160587900.1					WP_020835715.1	WP_011290191.1				WP_146379608.1					WP_160615550.1	WP_160590024.1	WP_160585600.1	WP_160606477.1			WP_160585017.1						WP_347952482.1
N3.HOG0000112	OG0000011	n51									WP_404911792.1								WP_404924624.1					WP_020835713.1	WP_044272461.1				WP_225972964.1					WP_160615548.1	WP_160590022.1	WP_160585601.1	WP_160607868.1			WP_160585019.1						WP_347952481.1
N3.HOG0000113	OG0000012	n5																							WP_011290162.1, WP_011290446.1				WP_146379527.1						WP_160590177.1											WP_347952208.1, WP_347952274.1, WP_347952450.1
N3.HOG0000114	OG0000012	n15									WP_404912394.1	WP_404912394.1													WP_011290084.1																					WP_347952460.1
N3.HOG0000115	OG0000012	n19																WP_404923974.1, WP_404924104.1	WP_404923974.1, WP_404924104.1																											
N3.HOG0000116	OG0000012	n26									WP_404912357.1	WP_404912357.1																																		
N3.HOG0000117	OG0000012	n42									WP_404912238.1	WP_404912238.1																																		
N3.HOG0000118	OG0000012	n46																																			WP_160608124.1									
N3.HOG0000119	OG0000012	n52									WP_011284103.1	WP_011284103.1													WP_011284103.1				WP_011284103.1																	
N3.HOG0000120	OG0000012	n53																							WP_011290302.1				WP_146379586.1, WP_146379713.1					WP_160615643.1						WP_160584990.1						
N3.HOG0000121	OG0000012	n57									WP_404912469.1	WP_404912469.1						WP_158632000.1	WP_158632000.1					WP_179221115.1	WP_179221115.1				WP_158632000.1					WP_158632000.1	WP_158632000.1	WP_179221115.1	WP_158632000.1			WP_158632000.1						WP_158632000.1
N3.HOG0000122	OG0000013	n1									WP_404911873.1	WP_404911873.1						WP_240536333.1	WP_240536333.1					WP_020835777.1	WP_228366099.1				WP_225972984.1					WP_258555933.1	WP_258555710.1	WP_258555342.1	WP_258555582.1			WP_280996675.1						WP_347952233.1
N3.HOG0000123	OG0000013	n47																WP_404924067.1	WP_404924067.1					WP_020835504.1	WP_228366120.1				WP_225973006.1					WP_308507024.1	WP_308704697.1	WP_371807677.1	WP_308704685.1			WP_280996468.1						WP_347952491.1
N3.HOG0000124	OG0000014	n10																	WP_404924616.1					WP_041361548.1					WP_146379490.1					WP_160615933.1		WP_220191212.1	WP_160608110.1									
N3.HOG0000125	OG0000014	n30									WP_404912270.1							WP_404924107.1	WP_404924107.1					WP_020835603.1	WP_011290070.1				WP_146379526.1						WP_160590533.1					WP_160585335.1						WP_347952397.1
N3.HOG0000126	OG0000014	n57									WP_404912188.1	WP_404912188.1						WP_404924106.1	WP_404924106.1					WP_020835563.1	WP_011290011.1									WP_160615935.1	WP_160590409.1	WP_160585811.1	WP_160608112.1			WP_160584786.1						WP_347952382.1
N3.HOG0000127	OG0000015	n6									WP_014579770.1	WP_014579770.1																									WP_014579770.1									
N3.HOG0000128	OG0000015	n7									WP_179695828.1	WP_179695828.1						WP_014580032.1	WP_014580032.1																											
N3.HOG0000129	OG0000015	n22									WP_135618763.1	WP_135618763.1						WP_135618763.1	WP_135618763.1					WP_135618763.1	WP_135618763.1																					
N3.HOG0000130	OG0000015	n24																						WP_020835561.1	WP_228366093.1, WP_228366094.1										WP_014579691.1											
N3.HOG0000131	OG0000015	n36																WP_240536643.1	WP_240536643.1					WP_041361615.1	WP_041361615.1											WP_160585705.1	WP_160607700.1			WP_160584959.1						
N3.HOG0000132	OG0000015	n50																											WP_146379573.1						WP_258555620.1		WP_258555620.1									
N3.HOG0000133	OG0000016	n1																WP_404924002.1	WP_404924002.1					WP_020835836.1	WP_044272572.1				WP_146379690.1					WP_160615653.1	WP_160590155.1	WP_160585619.1	WP_160607846.1			WP_160584976.1						WP_347952265.1
N3.HOG0000134	OG0000016	n33									WP_404912144.1	WP_404912144.1						WP_146379459.1	WP_146379459.1					WP_020835503.1	WP_011289955.1				WP_146379459.1					WP_160585547.1	WP_146379459.1	WP_160585547.1	WP_160607987.1			WP_160584776.1						WP_347952351.1
N3.HOG0000135	OG0000017	n1									WP_020835500.1	WP_020835500.1						WP_020835500.1	WP_020835500.1					WP_020835500.1	WP_020835500.1				WP_020835500.1					WP_020835500.1	WP_243215933.1	WP_020835500.1	WP_020835500.1			WP_020835500.1						WP_243215933.1
N3.HOG0000136	OG0000017	n16									WP_020835837.1	WP_020835837.1						WP_020835837.1	WP_020835837.1					WP_020835837.1	WP_020835837.1				WP_020835837.1					WP_011206380.1	WP_020835837.1	WP_011206380.1	WP_020835837.1			WP_160584974.1						WP_020835837.1
N3.HOG0000137	OG0000018	n4																											WP_146379553.1						WP_160590297.1	WP_160585680.1										WP_146379553.1
N3.HOG0000138	OG0000018	n18									WP_404912320.1	WP_404912320.1						WP_020835635.1	WP_020835635.1					WP_020835635.1	WP_020835635.1									WP_020835635.1			WP_160607808.1			WP_160584720.1						
N3.HOG0000139	OG0000018	n26																						WP_041361561.1	WP_044272499.1										WP_160581239.1											
N3.HOG0000140	OG0000018	n37									WP_404912406.1	WP_404912406.1						WP_404923920.1	WP_404923920.1																											
N3.HOG0000141	OG0000018	n54																																		WP_160585710.1	WP_160585710.1			WP_135618751.1						
N3.HOG0000142	OG0000019	n8																																WP_160615599.1												
N3.HOG0000143	OG0000019	n11																							WP_044272603.1																					
N3.HOG0000144	OG0000019	n21																							WP_044272594.1															WP_280996812.1						
N3.HOG0000145	OG0000019	n33									WP_404911993.1	WP_404911993.1						WP_404924016.1	WP_404924016.1										WP_146379709.1																	
N3.HOG0000146	OG0000019	n42									WP_404911991.1	WP_404911991.1																																		
N3.HOG0000147	OG0000019	n45																																												WP_347952278.1, WP_347952280.1
N3.HOG0000148	OG0000019	n46									WP_404911989.1	WP_404911989.1						WP_404924015.1	WP_404924015.1										WP_146379712.1								WP_258555634.1									WP_347952282.1
N3.HOG0000149	OG0000019	n64																											WP_146379710.1																	
N3.HOG0000150	OG0000019	n68																																						WP_160585347.1						
N3.HOG0000151	OG0000019	n72																							WP_011290357.1															WP_160585341.1						
N3.HOG0000152	OG0000019	n75																WP_404924017.1	WP_404924017.1																											WP_347952276.1
N3.HOG0000153	OG0000019	n82																							WP_044272600.1															WP_280996811.1						
N3.HOG0000154	OG0000019	n84																																	WP_160590527.1	WP_258555870.1										
N3.HOG0000155	OG0000020	n1									WP_404912096.1								WP_404924608.1					WP_020835927.1	WP_011290437.1				WP_146379767.1					WP_160615923.1		WP_160585812.1	WP_160607708.1			WP_160584874.1						WP_347952330.1
N3.HOG0000156	OG0000020	n37									WP_404912098.1	WP_404913691.1						WP_404924053.1	WP_404924610.1					WP_020835928.1	WP_011290438.1				WP_192894283.1					WP_220191323.1	WP_258555701.1	WP_308507016.1	WP_308704678.1			WP_220190650.1						WP_347952331.1
N3.HOG0000157	OG0000021	n3																						WP_041361759.1	WP_041361759.1										WP_160590103.1											
N3.HOG0000158	OG0000021	n11																																			WP_220200667.1									
N3.HOG0000159	OG0000021	n20									WP_160606951.1	WP_160606951.1																																		
N3.HOG0000160	OG0000021	n24																																			WP_160608102.1									
N3.HOG0000161	OG0000021	n33																WP_404924161.1	WP_404924161.1										WP_094521655.1																	
N3.HOG0000162	OG0000021	n46																						WP_020835536.1	WP_020835536.1				WP_225973011.1																	WP_347952374.1
N3.HOG0000163	OG0000021	n51																																	WP_135618734.1		WP_135618734.1			WP_135618734.1						
N3.HOG0000164	OG0000021	n54																WP_404924162.1	WP_404924162.1															WP_160615961.1			WP_160607936.1									
N3.HOG0000165	OG0000022	n1									WP_404912375.1	WP_404912375.1						WP_404924149.1	WP_404924149.1					WP_011290146.1	WP_011290146.1				WP_146379575.1					WP_160615764.1	WP_160590243.1	WP_160585696.1	WP_160607941.1			WP_160585064.1						WP_347952446.1
N3.HOG0000166	OG0000022	n33									WP_404912386.1	WP_404912386.1						WP_404924156.1	WP_404924156.1					WP_020835680.1	WP_011290156.1				WP_146379581.1					WP_160615774.1	WP_160590230.1	WP_160585692.1	WP_160607953.1			WP_160585046.1						WP_347952454.1, WP_347952455.1
N3.HOG0000167	OG0000023	n13									WP_404912318.1	WP_404912318.1																																		
N3.HOG0000168	OG0000023	n16																																WP_160615712.1	WP_160590299.1	WP_160585681.1										
N3.HOG0000169	OG0000023	n21																											WP_146379552.1											WP_160584718.1						WP_347952417.1
N3.HOG0000170	OG0000023	n37																						WP_020835559.1, WP_020835560.1	WP_228366095.1										WP_258555660.1											
N3.HOG0000171	OG0000023	n52									WP_404912402.1	WP_404912402.1																																		
N3.HOG0000172	OG0000023	n60																																		WP_160585708.1	WP_160607696.1			WP_160584951.1						
N3.HOG0000173	OG0000024	n8									WP_160585259.1	WP_160585259.1						WP_404923993.1	WP_404923993.1					WP_011290315.1	WP_011290315.1				WP_146379683.1					WP_160615698.1	WP_160585259.1	WP_160585687.1	WP_160608070.1			WP_160585259.1						WP_160585687.1
N3.HOG0000174	OG0000024	n33									WP_404912310.1	WP_404912310.1						WP_404924124.1	WP_404924124.1					WP_011290098.1	WP_011290098.1				WP_146379547.1					WP_258555929.1		WP_160585557.1				WP_160584710.1						WP_347952412.1
N3.HOG0000175	OG0000025	n1									WP_404912377.1	WP_404912377.1						WP_404924150.1	WP_404924150.1					WP_041361620.1	WP_011290147.1				WP_146379576.1					WP_160615766.1	WP_160590241.1	WP_146379576.1	WP_160607943.1			WP_160585062.1						WP_347952447.1
N3.HOG0000176	OG0000025	n32									WP_404912384.1	WP_404912384.1						WP_160606775.1	WP_160606775.1					WP_020835679.1	WP_011290155.1				WP_146379580.1					WP_160615772.1	WP_135618779.1	WP_160585693.1	WP_160607951.1			WP_160585048.1						WP_347952453.1
N3.HOG0000177	OG0000026	n5									WP_192894288.1	WP_192894288.1						WP_404924129.1	WP_404924129.1					WP_020835640.1	WP_044272393.1				WP_192894288.1					WP_220191285.1	WP_044284614.1	WP_044284614.1	WP_020835640.1			WP_020835640.1						WP_347952418.1
N3.HOG0000178	OG0000026	n19									WP_160606777.1	WP_160606777.1						WP_404924155.1	WP_404924155.1						WP_011290151.1				WP_146379579.1					WP_160606777.1	WP_160590234.1	WP_160585054.1	WP_160590234.1			WP_160585054.1						WP_011206159.1
N3.HOG0000179	OG0000027	n1									WP_404912049.1	WP_404912049.1						WP_146379747.1	WP_146379747.1					WP_020835902.1	WP_020835902.1				WP_146379747.1					WP_011206475.1	WP_020835902.1	WP_160585251.1	WP_160585251.1			WP_160585251.1						WP_347952308.1
N3.HOG0000180	OG0000027	n21									WP_404912055.1	WP_404912055.1												WP_020835905.1	WP_011290410.1									WP_160615619.1	WP_160590222.1	WP_160585589.1	WP_160607732.1			WP_160584915.1						WP_160585589.1
N3.HOG0000181	OG0000028	n1																																WP_160615971.1		WP_160585703.1										
N3.HOG0000182	OG0000028	n43																WP_404923970.1	WP_404924585.1																											
N3.HOG0000183	OG0000028	n47									WP_404911882.1	WP_404913643.1												WP_020835779.1	WP_044272522.1				WP_146379651.1					WP_160615730.1			WP_160607995.1			WP_160585151.1						
N3.HOG0000184	OG0000028	n60									WP_404911884.1	WP_404913645.1																									WP_220200632.1			WP_160585085.1						
N3.HOG0000185	OG0000028	n64																																	WP_160590323.1											
N3.HOG0000186	OG0000028	n66																																												WP_347952235.1
N3.HOG0000187	OG0000028	n72																																	WP_160590450.1	WP_160585704.1, WP_160585779.1										
