HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N5.HOG0000013	OG0000000	n283									WP_404912388.1								WP_404924621.1																											
N5.HOG0000014	OG0000000	n294									WP_404912447.1							WP_404924157.1	WP_404924630.1																											
N5.HOG0000015	OG0000000	n317									WP_404912449.1	WP_404913748.1												WP_020835681.1	WP_081420845.1																					
N5.HOG0000016	OG0000001	n28																						WP_020835629.1																						
N5.HOG0000017	OG0000001	n30																WP_187145661.1	WP_187145661.1						WP_187145661.1																					
N5.HOG0000018	OG0000001	n31									WP_404912312.1	WP_404912312.1						WP_404924125.1	WP_404924125.1																											
N5.HOG0000019	OG0000001	n37																							WP_228366130.1																					
N5.HOG0000020	OG0000001	n57									WP_404911958.1	WP_404911958.1						WP_404923999.1	WP_404923999.1					WP_228365393.1	WP_228365393.1																					
N5.HOG0000021	OG0000001	n78																						WP_228366104.1	WP_228366104.1																					
N5.HOG0000022	OG0000001	n91									WP_404911950.1	WP_404911950.1																																		
N5.HOG0000023	OG0000001	n97									WP_011206342.1	WP_011206342.1						WP_404923994.1	WP_404923994.1					WP_020835822.1	WP_020835822.1																					
N5.HOG0000024	OG0000002	n16									WP_225972974.1	WP_225972974.1						WP_258555377.1	WP_258555377.1					WP_020835748.1	WP_020835748.1																					
N5.HOG0000025	OG0000002	n32																WP_404923949.1	WP_404923949.1					WP_011206235.1	WP_011206235.1																					
N5.HOG0000026	OG0000002	n38									WP_146379587.1	WP_146379587.1						WP_404923948.1																												
N5.HOG0000027	OG0000002	n64									WP_404912241.1	WP_404913718.1						WP_404923934.1	WP_404923934.1					WP_020835737.1																						
N5.HOG0000028	OG0000002	n95																WP_404924158.1	WP_404924158.1					WP_020835682.1	WP_020835682.1																					
N5.HOG0000029	OG0000003	n12									WP_404912467.1	WP_404912467.1							WP_404924623.1																											
N5.HOG0000030	OG0000003	n20									WP_404912175.1	WP_404912175.1																																		
N5.HOG0000031	OG0000003	n30																						WP_041361639.1																						
N5.HOG0000032	OG0000003	n54																WP_404924160.1	WP_404924622.1																											
N5.HOG0000033	OG0000003	n56																							WP_044272444.1																					
N5.HOG0000034	OG0000003	n59																WP_146379482.1	WP_146379482.1						WP_044272308.1, WP_044272440.1																					
N5.HOG0000035	OG0000003	n65									WP_225973018.1	WP_225973018.1						WP_404923944.1	WP_404923944.1																											
N5.HOG0000036	OG0000003	n77									WP_225973019.1	WP_225973019.1																																		
N5.HOG0000037	OG0000003	n88																						WP_041361653.1																						
N5.HOG0000038	OG0000003	n92									WP_225973026.1	WP_225973026.1																																		
N5.HOG0000039	OG0000003	n93									WP_225973025.1	WP_225973025.1																																		
N5.HOG0000040	OG0000003	n118																						WP_051129928.1																						
N5.HOG0000041	OG0000003	n132									WP_179696107.1	WP_179696107.1																																		
N5.HOG0000042	OG0000003	n133																WP_404924172.1	WP_404924172.1																											
N5.HOG0000043	OG0000004	n5									WP_160585636.1	WP_160585636.1						WP_020835883.1	WP_020835883.1					WP_020835883.1	WP_020835883.1																					
N5.HOG0000044	OG0000004	n25									WP_135619084.1	WP_404913672.1																																		
N5.HOG0000045	OG0000004	n36																WP_404924027.1	WP_404924027.1						WP_044272630.1																					
N5.HOG0000046	OG0000004	n51									WP_404912021.1	WP_404912021.1						WP_020835887.1						WP_020835887.1	WP_020835887.1																					
N5.HOG0000047	OG0000004	n76									WP_404912454.1	WP_404912454.1						WP_404924198.1	WP_404924198.1																											
N5.HOG0000048	OG0000004	n106																WP_404924199.1	WP_404924199.1						WP_228366111.1																					
N5.HOG0000049	OG0000004	n127									WP_404912456.1	WP_404912456.1													WP_228366112.1																					
N5.HOG0000050	OG0000004	n134									WP_404912458.1	WP_404912458.1						WP_404912458.1	WP_404912458.1																											
N5.HOG0000051	OG0000005	n1									WP_404912131.1	WP_404912131.1						WP_404924061.1	WP_404924061.1					WP_011289941.1	WP_011289941.1																					
N5.HOG0000052	OG0000005	n32																WP_404924063.1						WP_011289945.1	WP_011289945.1																					
N5.HOG0000053	OG0000005	n52									WP_404912133.1	WP_404912133.1												WP_020835493.1	WP_011289942.1																					
N5.HOG0000054	OG0000005	n92									WP_404912135.1	WP_404912135.1						WP_146379451.1	WP_146379451.1					WP_011289943.1	WP_011289943.1																					
N5.HOG0000055	OG0000005	n113																						WP_011289946.1	WP_011289946.1																					
N5.HOG0000056	OG0000006	n3									WP_404911894.1	WP_404911894.1												WP_051129932.1																						
N5.HOG0000057	OG0000006	n11																							WP_228366101.1																					
N5.HOG0000058	OG0000006	n25																WP_225972988.1	WP_225972988.1																											
N5.HOG0000059	OG0000006	n70									WP_404911860.1	WP_404911860.1						WP_404923960.1	WP_404924581.1																											
N5.HOG0000060	OG0000006	n87																WP_258555362.1	WP_258555362.1						WP_081420850.1																					
N5.HOG0000061	OG0000006	n104									WP_404911851.1	WP_404911851.1						WP_225972978.1	WP_225972978.1					WP_225972978.1	WP_225972978.1																					
N5.HOG0000062	OG0000007	n3																WP_160576975.1																												
N5.HOG0000063	OG0000007	n10									WP_258555604.1																																			
N5.HOG0000064	OG0000007	n11									WP_404912233.1																																			
N5.HOG0000065	OG0000007	n12										WP_404913714.1																																		
N5.HOG0000066	OG0000007	n13									WP_011284157.1	WP_011284157.1						WP_404923946.1						WP_020835743.1																						
N5.HOG0000067	OG0000007	n28									WP_220190648.1	WP_220190648.1																																		
N5.HOG0000068	OG0000007	n32									WP_002557993.1	WP_002557993.1						WP_404923943.1	WP_404923943.1					WP_020835742.1																						
N5.HOG0000069	OG0000007	n45									WP_002557992.1	WP_404913724.1												WP_002557992.1																						
N5.HOG0000070	OG0000008	n2									WP_404911847.1	WP_404911847.1						WP_404923955.1	WP_404923955.1					WP_020835760.1	WP_011290229.1																					
N5.HOG0000071	OG0000008	n34																	WP_404924619.1																											
N5.HOG0000072	OG0000008	n35									WP_404912369.1	WP_404912369.1						WP_404924145.1, WP_404924146.1	WP_404924145.1, WP_404924620.1					WP_041361617.1	WP_044272707.1																					
N5.HOG0000073	OG0000008	n73																WP_404924196.1	WP_404924196.1					WP_228366102.1	WP_228366102.1																					
N5.HOG0000074	OG0000008	n87									WP_404911900.1	WP_404911900.1																																		
N5.HOG0000075	OG0000008	n89									WP_404911898.1	WP_404911898.1																																		
N5.HOG0000076	OG0000009	n2									WP_404912199.1, WP_404912201.1	WP_041361566.1						WP_041361566.1	WP_041361566.1					WP_041361566.1	WP_011290018.1																					
N5.HOG0000077	OG0000009	n16									WP_041361519.1	WP_041361519.1						WP_041361519.1	WP_041361519.1					WP_041361519.1	WP_041361519.1																					
N5.HOG0000078	OG0000009	n35									WP_011290021.1	WP_011290021.1						WP_011290021.1	WP_011290021.1					WP_011290021.1	WP_011290021.1																					
N5.HOG0000079	OG0000010	n1																WP_404924175.1	WP_404924175.1																											
N5.HOG0000080	OG0000010	n3									WP_404911810.1	WP_404911810.1												WP_020835701.1	WP_011290178.1																					
N5.HOG0000081	OG0000010	n68																						WP_269076334.1																						
N5.HOG0000082	OG0000010	n72																						WP_228366119.1	WP_228366119.1																					
N5.HOG0000083	OG0000011	n8																						WP_020835714.1																						
N5.HOG0000084	OG0000011	n10									WP_404911790.1	WP_404911790.1						WP_160587900.1	WP_160587900.1					WP_020835715.1	WP_011290191.1																					
N5.HOG0000085	OG0000011	n51									WP_404911792.1								WP_404924624.1					WP_020835713.1	WP_044272461.1																					
N5.HOG0000086	OG0000012	n5																							WP_011290162.1, WP_011290446.1																					
N5.HOG0000087	OG0000012	n15									WP_404912394.1	WP_404912394.1													WP_011290084.1																					
N5.HOG0000088	OG0000012	n19																WP_404923974.1, WP_404924104.1	WP_404923974.1, WP_404924104.1																											
N5.HOG0000089	OG0000012	n26									WP_404912357.1	WP_404912357.1																																		
N5.HOG0000090	OG0000012	n42									WP_404912238.1	WP_404912238.1																																		
N5.HOG0000091	OG0000012	n52									WP_011284103.1	WP_011284103.1													WP_011284103.1																					
N5.HOG0000092	OG0000012	n53																							WP_011290302.1																					
N5.HOG0000093	OG0000012	n57									WP_404912469.1	WP_404912469.1						WP_158632000.1	WP_158632000.1					WP_179221115.1	WP_179221115.1																					
N5.HOG0000094	OG0000013	n1									WP_404911873.1	WP_404911873.1						WP_240536333.1	WP_240536333.1					WP_020835777.1	WP_228366099.1																					
N5.HOG0000095	OG0000013	n47																WP_404924067.1	WP_404924067.1					WP_020835504.1	WP_228366120.1																					
N5.HOG0000096	OG0000014	n10																	WP_404924616.1					WP_041361548.1																						
N5.HOG0000097	OG0000014	n30									WP_404912270.1							WP_404924107.1	WP_404924107.1					WP_020835603.1	WP_011290070.1																					
N5.HOG0000098	OG0000014	n57									WP_404912188.1	WP_404912188.1						WP_404924106.1	WP_404924106.1					WP_020835563.1	WP_011290011.1																					
N5.HOG0000099	OG0000015	n6									WP_014579770.1	WP_014579770.1																																		
N5.HOG0000100	OG0000015	n7									WP_179695828.1	WP_179695828.1						WP_014580032.1	WP_014580032.1																											
N5.HOG0000101	OG0000015	n22									WP_135618763.1	WP_135618763.1						WP_135618763.1	WP_135618763.1					WP_135618763.1	WP_135618763.1																					
N5.HOG0000102	OG0000015	n24																						WP_020835561.1	WP_228366093.1, WP_228366094.1																					
N5.HOG0000103	OG0000015	n36																WP_240536643.1	WP_240536643.1					WP_041361615.1	WP_041361615.1																					
N5.HOG0000104	OG0000016	n1																WP_404924002.1	WP_404924002.1					WP_020835836.1	WP_044272572.1																					
N5.HOG0000105	OG0000016	n33									WP_404912144.1	WP_404912144.1						WP_146379459.1	WP_146379459.1					WP_020835503.1	WP_011289955.1																					
N5.HOG0000106	OG0000017	n1									WP_020835500.1	WP_020835500.1						WP_020835500.1	WP_020835500.1					WP_020835500.1	WP_020835500.1																					
N5.HOG0000107	OG0000017	n16									WP_020835837.1	WP_020835837.1						WP_020835837.1	WP_020835837.1					WP_020835837.1	WP_020835837.1																					
N5.HOG0000108	OG0000018	n18									WP_404912320.1	WP_404912320.1						WP_020835635.1	WP_020835635.1					WP_020835635.1	WP_020835635.1																					
N5.HOG0000109	OG0000018	n26																						WP_041361561.1	WP_044272499.1																					
N5.HOG0000110	OG0000018	n37									WP_404912406.1	WP_404912406.1						WP_404923920.1	WP_404923920.1																											
N5.HOG0000111	OG0000019	n11																							WP_044272603.1																					
N5.HOG0000112	OG0000019	n21																							WP_044272594.1																					
N5.HOG0000113	OG0000019	n33									WP_404911993.1	WP_404911993.1						WP_404924016.1	WP_404924016.1																											
N5.HOG0000114	OG0000019	n42									WP_404911991.1	WP_404911991.1																																		
N5.HOG0000115	OG0000019	n46									WP_404911989.1	WP_404911989.1						WP_404924015.1	WP_404924015.1																											
N5.HOG0000116	OG0000019	n72																							WP_011290357.1																					
N5.HOG0000117	OG0000019	n75																WP_404924017.1	WP_404924017.1																											
N5.HOG0000118	OG0000019	n82																							WP_044272600.1																					
N5.HOG0000119	OG0000020	n1									WP_404912096.1								WP_404924608.1					WP_020835927.1	WP_011290437.1																					
N5.HOG0000120	OG0000020	n37									WP_404912098.1	WP_404913691.1						WP_404924053.1	WP_404924610.1					WP_020835928.1	WP_011290438.1																					
N5.HOG0000121	OG0000021	n3																						WP_041361759.1	WP_041361759.1																					
N5.HOG0000122	OG0000021	n20									WP_160606951.1	WP_160606951.1																																		
N5.HOG0000123	OG0000021	n33																WP_404924161.1	WP_404924161.1																											
N5.HOG0000124	OG0000021	n46																						WP_020835536.1	WP_020835536.1																					
N5.HOG0000125	OG0000021	n54																WP_404924162.1	WP_404924162.1																											
N5.HOG0000126	OG0000022	n1									WP_404912375.1	WP_404912375.1						WP_404924149.1	WP_404924149.1					WP_011290146.1	WP_011290146.1																					
N5.HOG0000127	OG0000022	n33									WP_404912386.1	WP_404912386.1						WP_404924156.1	WP_404924156.1					WP_020835680.1	WP_011290156.1																					
N5.HOG0000128	OG0000023	n13									WP_404912318.1	WP_404912318.1																																		
N5.HOG0000129	OG0000023	n37																						WP_020835559.1, WP_020835560.1	WP_228366095.1																					
N5.HOG0000130	OG0000023	n52									WP_404912402.1	WP_404912402.1																																		
N5.HOG0000131	OG0000024	n8									WP_160585259.1	WP_160585259.1						WP_404923993.1	WP_404923993.1					WP_011290315.1	WP_011290315.1																					
N5.HOG0000132	OG0000024	n33									WP_404912310.1	WP_404912310.1						WP_404924124.1	WP_404924124.1					WP_011290098.1	WP_011290098.1																					
N5.HOG0000133	OG0000025	n1									WP_404912377.1	WP_404912377.1						WP_404924150.1	WP_404924150.1					WP_041361620.1	WP_011290147.1																					
N5.HOG0000134	OG0000025	n32									WP_404912384.1	WP_404912384.1						WP_160606775.1	WP_160606775.1					WP_020835679.1	WP_011290155.1																					
N5.HOG0000135	OG0000026	n5									WP_192894288.1	WP_192894288.1						WP_404924129.1	WP_404924129.1					WP_020835640.1	WP_044272393.1																					
N5.HOG0000136	OG0000026	n19									WP_160606777.1	WP_160606777.1						WP_404924155.1	WP_404924155.1						WP_011290151.1																					
N5.HOG0000137	OG0000027	n1									WP_404912049.1	WP_404912049.1						WP_146379747.1	WP_146379747.1					WP_020835902.1	WP_020835902.1																					
N5.HOG0000138	OG0000027	n21									WP_404912055.1	WP_404912055.1												WP_020835905.1	WP_011290410.1																					
N5.HOG0000139	OG0000028	n43																WP_404923970.1	WP_404924585.1																											
N5.HOG0000140	OG0000028	n47									WP_404911882.1	WP_404913643.1												WP_020835779.1	WP_044272522.1																					
N5.HOG0000141	OG0000028	n60									WP_404911884.1	WP_404913645.1																																		
N5.HOG0000142	OG0000029	n9									WP_404912268.1	WP_404913726.1						WP_404924086.1						WP_020835602.1	WP_011290069.1																					
N5.HOG0000143	OG0000029	n41									WP_404912190.1	WP_404912190.1						WP_404924105.1						WP_020835564.1	WP_011290012.1																					
N5.HOG0000144	OG0000030	n8									WP_240536353.1	WP_240536353.1						WP_404924037.1	WP_404924603.1					WP_236607958.1	WP_044272656.1																					
N5.HOG0000145	OG0000030	n33									WP_404912053.1	WP_404912053.1												WP_020835904.1	WP_044272658.1																					
N5.HOG0000146	OG0000031	n12									WP_404912416.1	WP_404912416.1						WP_404923928.1	WP_404923928.1																											
N5.HOG0000147	OG0000031	n22																						WP_011290238.1	WP_011290238.1																					
N5.HOG0000148	OG0000031	n23																WP_011206142.1	WP_011206142.1																											
N5.HOG0000149	OG0000032	n3									WP_135618726.1	WP_135618726.1						WP_404924142.1	WP_404924142.1					WP_020835660.1	WP_011290135.1																					
N5.HOG0000150	OG0000032	n24									WP_404912051.1	WP_404913680.1, WP_404913682.1												WP_236607959.1	WP_228366115.1																					
N5.HOG0000151	OG0000033	n20									WP_404911880.1	WP_404911880.1						WP_404923969.1	WP_404924584.1																											
N5.HOG0000152	OG0000033	n39																WP_404923967.1	WP_404923967.1																											
N5.HOG0000153	OG0000033	n45																						WP_020835778.1	WP_044272519.1																					
N5.HOG0000154	OG0000033	n53									WP_404911875.1	WP_404913638.1																																		
N5.HOG0000155	OG0000033	n59									WP_404911876.1	WP_404911876.1						WP_404923968.1	WP_404924582.1																											
N5.HOG0000156	OG0000034	n1									WP_243234977.1	WP_243234977.1						WP_243234977.1						WP_236607948.1																						
N5.HOG0000157	OG0000034	n8									WP_233688424.1	WP_233688424.1						WP_233688424.1	WP_233688424.1																											
N5.HOG0000158	OG0000035	n1									WP_404912019.1	WP_404912019.1						WP_404924028.1	WP_404924601.1					WP_020835886.1	WP_044272631.1																					
N5.HOG0000159	OG0000035	n36									WP_404912017.1	WP_404912017.1												WP_020835882.1	WP_011290382.1																					
N5.HOG0000160	OG0000036	n11									WP_404912137.1	WP_404912137.1																																		
N5.HOG0000161	OG0000036	n21																WP_020835495.1	WP_020835495.1					WP_020835495.1	WP_020835495.1																					
N5.HOG0000162	OG0000036	n27																						WP_020835498.1	WP_020835498.1																					
N5.HOG0000163	OG0000036	n44																WP_146379454.1	WP_146379454.1																											
N5.HOG0000164	OG0000037	n3									WP_404912355.1								WP_404924629.1						WP_081420842.1																					
N5.HOG0000165	OG0000037	n34										WP_404913766.1													WP_081420841.1																					
N5.HOG0000166	OG0000038	n8																WP_404924159.1	WP_404924159.1					WP_041361636.1	WP_044272443.1																					
N5.HOG0000167	OG0000038	n17									WP_404912173.1	WP_404913703.1																																		
N5.HOG0000168	OG0000038	n25									WP_404911825.1	WP_404913629.1																																		
N5.HOG0000169	OG0000038	n45																WP_404924082.1	WP_404924082.1						WP_044272304.1																					
N5.HOG0000170	OG0000039	n4																							WP_011290139.1																					
N5.HOG0000171	OG0000039	n8									WP_179221095.1	WP_179221095.1						WP_179221095.1	WP_179221095.1					WP_041361612.1																						
N5.HOG0000172	OG0000040	n3																WP_404924032.1	WP_404924032.1																											
N5.HOG0000173	OG0000040	n14									WP_404912035.1																																			
N5.HOG0000174	OG0000040	n15									WP_404912033.1, WP_404912462.1																																			
N5.HOG0000175	OG0000040	n41																							WP_044272644.1																					
N5.HOG0000176	OG0000040	n47										WP_404913674.1												WP_020835895.1																						
N5.HOG0000177	OG0000041	n9									WP_011290019.1	WP_011290019.1						WP_011290019.1	WP_011290019.1					WP_011290019.1	WP_011290019.1																					
N5.HOG0000178	OG0000041	n22									WP_404912290.1	WP_404912290.1						WP_404912290.1	WP_404912290.1					WP_020835620.1	WP_228366127.1																					
N5.HOG0000179	OG0000042	n36									WP_044272729.1	WP_044272729.1						WP_404924008.1	WP_404924597.1					WP_041361801.1	WP_044272729.1																					
N5.HOG0000180	OG0000043	n0									WP_404911800.1	WP_014579804.1						WP_014579804.1	WP_014579804.1					WP_011290239.1, WP_014579804.1	WP_011290239.1, WP_014579804.1																					
N5.HOG0000181	OG0000044	n1									WP_081430780.1	WP_081430780.1						WP_225973034.1	WP_225973034.1					WP_225973034.1	WP_225973034.1																					
N5.HOG0000182	OG0000044	n6									WP_404911819.1	WP_404911819.1						WP_404924168.1	WP_404924168.1																											
N5.HOG0000183	OG0000045	n0									WP_404912361.1, WP_404912363.1	WP_404912361.1, WP_404912363.1						WP_404924192.1	WP_404924192.1					WP_020835667.1	WP_020835667.1																					
N5.HOG0000184	OG0000046	n1									WP_404912040.1	WP_404913676.1						WP_347952302.1	WP_347952302.1, WP_404924602.1					WP_236607957.1	WP_228366114.1																					
N5.HOG0000185	OG0000046	n29									WP_258555308.1, WP_404912039.1	WP_258555308.1, WP_404912039.1																																		
N5.HOG0000186	OG0000046	n32									WP_404912037.1	WP_404912037.1												WP_020835896.1																						
N5.HOG0000187	OG0000047	n4									WP_404912400.1	WP_404912400.1						WP_404923919.1	WP_404923919.1																											
N5.HOG0000188	OG0000047	n17																						WP_236607968.1	WP_044272416.1																					
N5.HOG0000189	OG0000047	n35																						WP_020835556.1	WP_020835556.1																					
N5.HOG0000190	OG0000048	n0									WP_404912397.1	WP_404912397.1						WP_011290213.1	WP_011290213.1					WP_020835735.1	WP_011290213.1																					
N5.HOG0000191	OG0000049	n0									WP_020835860.1	WP_020835860.1						WP_020835860.1	WP_020835860.1					WP_020835860.1	WP_011290363.1																					
N5.HOG0000192	OG0000050	n0									WP_404911890.1	WP_404911890.1						WP_404923972.1	WP_404923972.1					WP_020835784.1	WP_044272534.1																					
N5.HOG0000193	OG0000051	n9									WP_404911930.1	WP_404911930.1						WP_404923985.1	WP_404923985.1						WP_011290299.1																					
N5.HOG0000194	OG0000051	n38																						WP_020835809.1																						
N5.HOG0000195	OG0000052	n0									WP_404912125.1, WP_404912127.1	WP_404912125.1, WP_404912127.1						WP_404924060.1	WP_404924060.1					WP_011289937.1	WP_011289937.1																					
N5.HOG0000196	OG0000053	n0									WP_160585093.1	WP_160585093.1						WP_404924135.1	WP_404924618.1					WP_020835649.1	WP_044272405.1																					
N5.HOG0000197	OG0000054	n0									WP_020835786.1	WP_020835786.1						WP_404923973.1	WP_404923973.1					WP_020835786.1	WP_044272538.1																					
N5.HOG0000198	OG0000055	n0									WP_160606887.1	WP_160606887.1						WP_146379455.1	WP_146379455.1					WP_011205867.1	WP_011205867.1																					
N5.HOG0000199	OG0000056	n0									WP_404912090.1	WP_404912090.1						WP_404924050.1	WP_404924050.1					WP_020835923.1	WP_081420855.1																					
N5.HOG0000200	OG0000057	n0									WP_220191159.1	WP_258555814.1						WP_258555814.1	WP_404924596.1					WP_020835847.1	WP_011290343.1																					
N5.HOG0000201	OG0000058	n2									WP_404912420.1	WP_404913752.1						WP_404923930.1	WP_404923930.1																											
N5.HOG0000202	OG0000058	n11																						WP_011290242.1	WP_011290242.1																					
N5.HOG0000203	OG0000058	n29									WP_404912418.1							WP_404923929.1	WP_404923929.1																											
N5.HOG0000204	OG0000059	n11																WP_404923926.1	WP_404923926.1																											
N5.HOG0000205	OG0000059	n15																WP_404923925.1	WP_404923925.1																											
N5.HOG0000206	OG0000059	n18																							WP_044272504.1																					
N5.HOG0000207	OG0000059	n20																						WP_020835553.1	WP_148174331.1																					
N5.HOG0000208	OG0000059	n35									WP_404912414.1	WP_404912414.1																																		
N5.HOG0000209	OG0000059	n40																WP_404923927.1	WP_404923927.1																											
N5.HOG0000210	OG0000060	n21									WP_258556516.1	WP_020835489.1						WP_020835489.1	WP_020835489.1					WP_258556516.1	WP_020835489.1																					
N5.HOG0000211	OG0000061	n7																WP_020835703.1	WP_020835703.1					WP_020835703.1																						
N5.HOG0000212	OG0000061	n24																							WP_011290180.1																					
N5.HOG0000213	OG0000062	n0									WP_094521530.1	WP_094521530.1						WP_160588098.1	WP_160588098.1					WP_011206522.1	WP_011290443.1																					
N5.HOG0000214	OG0000063	n0									WP_404912101.1	WP_404912101.1						WP_404924054.1	WP_404924054.1					WP_041361715.1	WP_044272678.1																					
N5.HOG0000215	OG0000064	n0									WP_011290440.1	WP_011290440.1						WP_011290440.1	WP_011290440.1					WP_020835930.1	WP_011290440.1																					
N5.HOG0000216	OG0000065	n0									WP_233688433.1	WP_233688433.1						WP_233688433.1	WP_225972975.1					WP_020835752.1	WP_011290219.1																					
N5.HOG0000217	OG0000066	n7									WP_011205965.1	WP_404913732.1						WP_011205965.1	WP_011205965.1					WP_011205965.1	WP_011205965.1																					
N5.HOG0000218	OG0000066	n12										WP_404913730.1																																		
N5.HOG0000219	OG0000067	n13																WP_404924083.1	WP_404924615.1					WP_020835540.1	WP_044272314.1																					
N5.HOG0000220	OG0000068	n0									WP_011206103.1	WP_011206103.1						WP_011206103.1	WP_011206103.1					WP_011206103.1	WP_011206103.1																					
N5.HOG0000221	OG0000069	n0									WP_011206373.1	WP_011206373.1						WP_011206373.1	WP_011206373.1					WP_011206373.1	WP_011206373.1																					
N5.HOG0000222	OG0000070	n0									WP_011206292.1	WP_011206292.1						WP_011206292.1	WP_011206292.1					WP_011206292.1	WP_011206292.1																					
N5.HOG0000223	OG0000071	n0									WP_146379735.1	WP_146379735.1						WP_160585219.1	WP_160585219.1					WP_020835893.1	WP_044272640.1																					
N5.HOG0000224	OG0000072	n0									WP_404912031.1	WP_404912031.1						WP_404924031.1	WP_404924031.1					WP_236607956.1	WP_044272642.1																					
N5.HOG0000225	OG0000073	n0									WP_404912207.1	WP_404912207.1						WP_404912207.1	WP_404912207.1					WP_011206093.1	WP_011206093.1																					
N5.HOG0000226	OG0000074	n10									WP_308704709.1	WP_308704709.1						WP_404924091.1	WP_404924091.1					WP_020835587.1	WP_228366126.1																					
N5.HOG0000227	OG0000074	n16																						WP_236607966.1																						
N5.HOG0000228	OG0000076	n7																						WP_011289987.1	WP_011289987.1																					
N5.HOG0000229	OG0000076	n19									WP_404912160.1	WP_404913700.1						WP_160607908.1	WP_160607908.1																											
N5.HOG0000230	OG0000077	n0									WP_404912169.1	WP_404912169.1						WP_404924080.1	WP_404924080.1					WP_011289996.1	WP_011289996.1																					
N5.HOG0000231	OG0000078	n12									WP_404912379.1	WP_404913744.1						WP_404924153.1	WP_404924153.1						WP_044272427.1																					
N5.HOG0000232	OG0000078	n40																						WP_020835673.1																						
N5.HOG0000233	OG0000079	n0									WP_404911913.1	WP_404911913.1						WP_404923976.1	WP_404923976.1					WP_020835797.1	WP_011206305.1																					
N5.HOG0000234	OG0000080	n0									WP_011206314.1	WP_011206314.1						WP_404923980.1	WP_404923980.1					WP_011206314.1	WP_011206314.1																					
N5.HOG0000235	OG0000081	n0									WP_160615521.1	WP_160615521.1						WP_404924076.1	WP_404924076.1					WP_011289985.1	WP_011289985.1																					
N5.HOG0000236	OG0000082	n3																WP_404923966.1																												
N5.HOG0000237	OG0000082	n11																						WP_236607951.1																						
N5.HOG0000238	OG0000082	n29																							WP_081420852.1																					
