Orthogroup	MHP_116_genes	MFC_Ms42_genes
OG0000230	ABJ972_RS00615	MYF_RS02340
OG0000231	ABJ972_RS00605	MYF_RS02350
OG0000232	ABJ972_RS00595	MYF_RS02360
OG0000233	ABJ972_RS01080	MYF_RS02370
OG0000234	ABJ972_RS01115	MYF_RS02400
OG0000235	ABJ972_RS01125	MYF_RS02410
OG0000236	ABJ972_RS01130	MYF_RS02415
OG0000237	ABJ972_RS01135	MYF_RS02430
OG0000238	ABJ972_RS01140	MYF_RS02435
OG0000239	ABJ972_RS02865	MYF_RS02465
OG0000240	ABJ972_RS02870	MYF_RS02470
OG0000241	ABJ972_RS02880	MYF_RS02480
OG0000242	ABJ972_RS02885	MYF_RS02485
OG0000243	ABJ972_RS02890	MYF_RS02490
OG0000244	ABJ972_RS02900	MYF_RS02500
OG0000245	ABJ972_RS02910	MYF_RS02510
OG0000246	ABJ972_RS00125	MYF_RS00085
OG0000247	ABJ972_RS00135	MYF_RS00095
OG0000248	ABJ972_RS00145	MYF_RS00120
OG0000249	ABJ972_RS00150	MYF_RS00125
OG0000250	ABJ972_RS00165	MYF_RS00140
OG0000251	ABJ972_RS00195	MYF_RS00170
OG0000252	ABJ972_RS00205	MYF_RS00180
OG0000253	ABJ972_RS00210	MYF_RS00185
OG0000254	ABJ972_RS00220	MYF_RS00195
OG0000255	ABJ972_RS00225	MYF_RS00205
OG0000256	ABJ972_RS00230	MYF_RS00210
OG0000257	ABJ972_RS00255	MYF_RS00235
OG0000258	ABJ972_RS00265	MYF_RS00245
OG0000259	ABJ972_RS00295	MYF_RS00275
OG0000260	ABJ972_RS00305	MYF_RS00285
OG0000261	ABJ972_RS00315	MYF_RS00295
OG0000262	ABJ972_RS00330	MYF_RS00310
OG0000263	ABJ972_RS00345	MYF_RS00325
OG0000264	ABJ972_RS00360	MYF_RS00340
OG0000265	ABJ972_RS00370	MYF_RS00350
OG0000266	ABJ972_RS00385	MYF_RS00365
OG0000267	ABJ972_RS00400	MYF_RS00380
OG0000268	ABJ972_RS00405	MYF_RS00385
OG0000269	ABJ972_RS00420	MYF_RS00400
OG0000270	ABJ972_RS03395	MYF_RS02955
OG0000271	ABJ972_RS03390	MYF_RS02950
OG0000272	ABJ972_RS03385	MYF_RS02945
OG0000273	ABJ972_RS03380	MYF_RS02940
OG0000274	ABJ972_RS03360	MYF_RS02920
OG0000275	ABJ972_RS03355	MYF_RS02915
OG0000276	ABJ972_RS03350	MYF_RS02910
OG0000277	ABJ972_RS03340	MYF_RS02900
OG0000278	ABJ972_RS03335	MYF_RS02895
OG0000279	ABJ972_RS03325	MYF_RS02885
OG0000280	ABJ972_RS03320	MYF_RS02880
OG0000281	ABJ972_RS03315	MYF_RS03275
OG0000282	ABJ972_RS03290	MYF_RS02855
OG0000283	ABJ972_RS03285	MYF_RS02850
OG0000284	ABJ972_RS03280	MYF_RS02845
OG0000285	ABJ972_RS03275	MYF_RS02840
OG0000286	ABJ972_RS02365	MYF_RS01115
OG0000287	ABJ972_RS02455	MYF_RS01090
OG0000288	ABJ972_RS02465	MYF_RS01080
OG0000289	ABJ972_RS02470	MYF_RS01075
OG0000290	ABJ972_RS02580	MYF_RS00905
OG0000291	ABJ972_RS02570	MYF_RS00915
OG0000292	ABJ972_RS02565	MYF_RS00920
OG0000293	ABJ972_RS02560	MYF_RS00925
OG0000294	ABJ972_RS02550	MYF_RS00935
OG0000295	ABJ972_RS02545	MYF_RS00940
OG0000296	ABJ972_RS02505	MYF_RS01040
OG0000297	ABJ972_RS02500	MYF_RS01045
OG0000298	ABJ972_RS00160	MYF_RS00135
OG0000299	ABJ972_RS00180	MYF_RS00155
OG0000300	ABJ972_RS00355	MYF_RS00335
OG0000301	ABJ972_RS00390	MYF_RS00370
OG0000302	ABJ972_RS00395	MYF_RS00375
OG0000303	ABJ972_RS00545	MYF_RS00515
OG0000304	ABJ972_RS00590	MYF_RS00545
OG0000305	ABJ972_RS02805	MYF_RS00690
OG0000306	ABJ972_RS02730	MYF_RS00770
OG0000307	ABJ972_RS02690	MYF_RS00810
OG0000308	ABJ972_RS02600	MYF_RS00895
OG0000309	ABJ972_RS02535	MYF_RS01005
OG0000310	ABJ972_RS02460	MYF_RS01085
OG0000311	ABJ972_RS02425	MYF_RS01140
OG0000312	ABJ972_RS02410	MYF_RS01160
OG0000313	ABJ972_RS01575	MYF_RS01210
OG0000314	ABJ972_RS01920	MYF_RS01280
OG0000315	ABJ972_RS01950	MYF_RS01310
OG0000316	ABJ972_RS01960	MYF_RS01320
OG0000317	ABJ972_RS02055	MYF_RS01360
OG0000318	ABJ972_RS01965	MYF_RS01450
OG0000319	ABJ972_RS02180	MYF_RS01555
OG0000320	ABJ972_RS02310	MYF_RS01620
OG0000321	ABJ972_RS01320	MYF_RS01685
OG0000322	ABJ972_RS01365	MYF_RS01730
OG0000323	ABJ972_RS01495	MYF_RS01860
OG0000324	ABJ972_RS02220	MYF_RS01960
OG0000325	ABJ972_RS00970	MYF_RS02000
OG0000326	ABJ972_RS00870	MYF_RS02090
OG0000327	ABJ972_RS00865	MYF_RS02095
OG0000328	ABJ972_RS00780	MYF_RS02180
OG0000329	ABJ972_RS00760	MYF_RS02200
OG0000330	ABJ972_RS01090	MYF_RS02380
OG0000331	ABJ972_RS02895	MYF_RS02495
OG0000332	ABJ972_RS03020	MYF_RS02635
OG0000333	ABJ972_RS03030	MYF_RS02645
OG0000334	ABJ972_RS03135	MYF_RS02715
OG0000335	ABJ972_RS03145	MYF_RS02725
OG0000336	ABJ972_RS03305	MYF_RS02870
OG0000337	ABJ972_RS03505	MYF_RS03105
OG0000338	ABJ972_RS03545	MYF_RS03145
OG0000339	ABJ972_RS02285	MYF_RS01640
OG0000340	ABJ972_RS01300	MYF_RS01665
OG0000341	ABJ972_RS02240	MYF_RS01940
OG0000342	ABJ972_RS00935	MYF_RS02030
OG0000343	ABJ972_RS03040	MYF_RS02655
OG0000344	ABJ972_RS00560	MYF_RS00530
OG0000345	ABJ972_RS00645	MYF_RS02310
OG0000346	ABJ972_RS03310	MYF_RS02875
OG0000347	ABJ972_RS01390	MYF_RS01755
OG0000348	ABJ972_RS00860	MYF_RS02100
OG0000349	ABJ972_RS03370	MYF_RS02930
OG0000350	ABJ972_RS02680	MYF_RS03360
OG0000351	ABJ972_RS00480	MYF_RS00465
OG0000352	ABJ972_RS01900	MYF_RS01260
OG0000353	ABJ972_RS01360	MYF_RS01725
OG0000354	ABJ972_RS01035	MYF_RS00580
OG0000355	ABJ972_RS01875	MYF_RS01235
OG0000356	ABJ972_RS01955	MYF_RS01315
OG0000357	ABJ972_RS03000	MYF_RS02615
OG0000358	ABJ972_RS03005	MYF_RS02620
OG0000359	ABJ972_RS00890	MYF_RS02070
OG0000360	ABJ972_RS00260	MYF_RS00240
OG0000361	ABJ972_RS00290	MYF_RS00270
OG0000362	ABJ972_RS02480	MYF_RS01065
OG0000363	ABJ972_RS01430	MYF_RS01795
OG0000365	ABJ972_RS02005	MYF_RS01420
OG0000366	ABJ972_RS02025	MYF_RS01390
OG0000367	ABJ972_RS02035	MYF_RS01380
OG0000368	ABJ972_RS00060	MYF_RS00060
OG0000369	ABJ972_RS00025	MYF_RS00025
OG0000370	ABJ972_RS00020	MYF_RS00020
OG0000371	ABJ972_RS00015	MYF_RS00015
OG0000372	ABJ972_RS00010	MYF_RS00010
OG0000373	ABJ972_RS03535	MYF_RS03135
OG0000374	ABJ972_RS03525	MYF_RS03125
OG0000375	ABJ972_RS02175	MYF_RS01550
OG0000376	ABJ972_RS02325	MYF_RS01605
OG0000377	ABJ972_RS02315	MYF_RS01615
OG0000378	ABJ972_RS01280	MYF_RS01650
OG0000379	ABJ972_RS01355	MYF_RS01720
OG0000380	ABJ972_RS01380	MYF_RS01745
OG0000381	ABJ972_RS01420	MYF_RS01785
OG0000382	ABJ972_RS01450	MYF_RS01815
OG0000383	ABJ972_RS01490	MYF_RS01855
OG0000384	ABJ972_RS00500	MYF_RS00470
OG0000385	ABJ972_RS00505	MYF_RS00475
OG0000386	ABJ972_RS00525	MYF_RS00495
OG0000387	ABJ972_RS00550	MYF_RS00520
OG0000388	ABJ972_RS00555	MYF_RS00525
OG0000389	ABJ972_RS01055	MYF_RS00560
OG0000390	ABJ972_RS02825	MYF_RS00670
OG0000391	ABJ972_RS02815	MYF_RS00680
OG0000392	ABJ972_RS02790	MYF_RS00705
OG0000393	ABJ972_RS02735	MYF_RS00760
OG0000394	ABJ972_RS02660	MYF_RS00825
OG0000395	ABJ972_RS02655	MYF_RS00830
OG0000396	ABJ972_RS02370	MYF_RS01200
OG0000397	ABJ972_RS01885	MYF_RS01245
OG0000398	ABJ972_RS01890	MYF_RS01250
OG0000399	ABJ972_RS01935	MYF_RS01295
OG0000400	ABJ972_RS02965	MYF_RS02580
OG0000401	ABJ972_RS03025	MYF_RS02640
OG0000402	ABJ972_RS03035	MYF_RS02650
OG0000403	ABJ972_RS03045	MYF_RS02660
OG0000404	ABJ972_RS03070	MYF_RS02685
OG0000405	ABJ972_RS03090	MYF_RS02700
OG0000406	ABJ972_RS03150	MYF_RS02730
OG0000407	ABJ972_RS03155	MYF_RS02735
OG0000408	ABJ972_RS03160	MYF_RS02740
OG0000409	ABJ972_RS03165	MYF_RS02745
OG0000410	ABJ972_RS03225	MYF_RS02780
OG0000411	ABJ972_RS03215	MYF_RS02790
OG0000412	ABJ972_RS03210	MYF_RS02795
OG0000413	ABJ972_RS01505	MYF_RS01890
OG0000414	ABJ972_RS01515	MYF_RS01900
OG0000415	ABJ972_RS01520	MYF_RS01905
OG0000416	ABJ972_RS01530	MYF_RS01915
OG0000417	ABJ972_RS02235	MYF_RS01945
OG0000418	ABJ972_RS02230	MYF_RS01950
OG0000419	ABJ972_RS00960	MYF_RS02010
OG0000420	ABJ972_RS00920	MYF_RS02045
OG0000421	ABJ972_RS00885	MYF_RS02075
OG0000422	ABJ972_RS00875	MYF_RS02085
OG0000423	ABJ972_RS00820	MYF_RS02140
OG0000424	ABJ972_RS00815	MYF_RS02145
OG0000425	ABJ972_RS00805	MYF_RS02155
OG0000426	ABJ972_RS00800	MYF_RS02160
OG0000427	ABJ972_RS00775	MYF_RS02185
OG0000428	ABJ972_RS00750	MYF_RS02210
OG0000429	ABJ972_RS00655	MYF_RS02300
OG0000430	ABJ972_RS00610	MYF_RS02345
OG0000431	ABJ972_RS00600	MYF_RS02355
OG0000432	ABJ972_RS01085	MYF_RS02375
OG0000433	ABJ972_RS01100	MYF_RS02385
OG0000434	ABJ972_RS01105	MYF_RS02390
OG0000435	ABJ972_RS01120	MYF_RS02405
OG0000436	ABJ972_RS01145	MYF_RS02440
OG0000437	ABJ972_RS01155	MYF_RS02450
OG0000438	ABJ972_RS01160	MYF_RS02455
OG0000439	ABJ972_RS01165	MYF_RS02460
OG0000440	ABJ972_RS02875	MYF_RS02475
OG0000441	ABJ972_RS02915	MYF_RS02515
OG0000442	ABJ972_RS00130	MYF_RS00090
OG0000443	ABJ972_RS00175	MYF_RS00150
OG0000444	ABJ972_RS00190	MYF_RS00165
OG0000445	ABJ972_RS00215	MYF_RS00190
OG0000446	ABJ972_RS00240	MYF_RS00220
OG0000447	ABJ972_RS00245	MYF_RS00225
OG0000448	ABJ972_RS00275	MYF_RS00255
OG0000449	ABJ972_RS00300	MYF_RS00280
OG0000450	ABJ972_RS00310	MYF_RS00290
OG0000451	ABJ972_RS00350	MYF_RS00330
OG0000452	ABJ972_RS00375	MYF_RS00355
OG0000453	ABJ972_RS00410	MYF_RS00390
OG0000454	ABJ972_RS01550	MYF_RS03485
OG0000455	ABJ972_RS03415	MYF_RS02975
OG0000456	ABJ972_RS03295	MYF_RS02860
OG0000457	ABJ972_RS03270	MYF_RS02835
OG0000458	ABJ972_RS02450	MYF_RS01095
OG0000459	ABJ972_RS02475	MYF_RS01070
OG0000460	ABJ972_RS02485	MYF_RS01060
OG0000461	ABJ972_RS02530	MYF_RS01010
OG0000462	ABJ972_RS02525	MYF_RS01015
OG0000463	ABJ972_RS02520	MYF_RS01020
OG0000464	ABJ972_RS02515	MYF_RS01030
OG0000465	ABJ972_RS02510	MYF_RS01035
OG0000466	ABJ972_RS00380	MYF_RS00360
OG0000467	ABJ972_RS02610	MYF_RS03505
OG0000468	ABJ972_RS01930	MYF_RS01290
OG0000469	ABJ972_RS01990	MYF_RS01425
OG0000470	ABJ972_RS00825	MYF_RS02135
OG0000471	ABJ972_RS00745	MYF_RS02215
OG0000472	ABJ972_RS03235	MYF_RS03535
OG0000473	ABJ972_RS03400	MYF_RS02960
OG0000474	ABJ972_RS03405	MYF_RS02965
OG0000475	ABJ972_RS03410	MYF_RS02970
OG0000476	ABJ972_RS01540	MYF_RS03040
OG0000477	ABJ972_RS02555	MYF_RS00930
OG0000478	ABJ972_RS03345	MYF_RS02905
OG0000479	ABJ972_RS01315	MYF_RS01680
OG0000480	ABJ972_RS01995	MYF_RS03350
OG0000481	ABJ972_RS00850	MYF_RS02110
OG0000482	ABJ972_RS01200	MYF_RS01975
OG0000483	ABJ972_RS02040	MYF_RS01375
OG0000484	ABJ972_RS00185	MYF_RS00160
OG0000485	ABJ972_RS01150	MYF_RS02445
OG0000486	ABJ972_RS02255	MYF_RS01925
OG0000487	ABJ972_RS01970	MYF_RS01445
OG0000488	ABJ972_RS02010	MYF_RS01405
OG0000489	ABJ972_RS00050	MYF_RS00050
OG0000490	ABJ972_RS03540	MYF_RS03140
OG0000491	ABJ972_RS01335	MYF_RS01700
OG0000492	ABJ972_RS01410	MYF_RS01775
OG0000493	ABJ972_RS00565	MYF_RS00535
OG0000494	ABJ972_RS01030	MYF_RS00585
OG0000495	ABJ972_RS02760	MYF_RS00735
OG0000496	ABJ972_RS02750	MYF_RS00745
OG0000497	ABJ972_RS02745	MYF_RS00750
OG0000498	ABJ972_RS02665	MYF_RS00820
OG0000499	ABJ972_RS02630	MYF_RS00865
OG0000500	ABJ972_RS01895	MYF_RS01255
OG0000501	ABJ972_RS02975	MYF_RS02590
OG0000502	ABJ972_RS01190	MYF_RS01985
OG0000503	ABJ972_RS00905	MYF_RS02055
OG0000504	ABJ972_RS00770	MYF_RS02190
OG0000505	ABJ972_RS00735	MYF_RS02225
OG0000506	ABJ972_RS00725	MYF_RS02235
OG0000507	ABJ972_RS00690	MYF_RS02270
OG0000508	ABJ972_RS00235	MYF_RS00215
OG0000509	ABJ972_RS00270	MYF_RS00250
OG0000510	ABJ972_RS00280	MYF_RS00260
OG0000511	ABJ972_RS00415	MYF_RS00395
OG0000512	ABJ972_RS02490	MYF_RS01055
OG0000513	ABJ972_RS03330	MYF_RS02890
OG0000514	ABJ972_RS02785	MYF_RS00710
OG0000516	ABJ972_RS01975	MYF_RS01440
OG0000517	ABJ972_RS00065	MYF_RS00065
OG0000518	ABJ972_RS03015	MYF_RS02630
OG0000519	ABJ972_RS00880	MYF_RS02080
OG0000520	ABJ972_RS00755	MYF_RS02205
OG0000521	ABJ972_RS00250	MYF_RS00230
OG0000522	ABJ972_RS00285	MYF_RS00265
OG0000523	ABJ972_RS03265	MYF_RS02830
OG0000524	ABJ972_RS02605	MYF_RS00890
OG0000528	ABJ972_RS01980	MYF_RS01435
OG0000529	ABJ972_RS02190	MYF_RS01565
OG0000530	ABJ972_RS02295	MYF_RS01630
OG0000531	ABJ972_RS01385	MYF_RS01750
OG0000532	ABJ972_RS01605	MYF_RS00620
OG0000533	ABJ972_RS01070	MYF_RS02365
OG0000534	ABJ972_RS00365	MYF_RS00345
OG0000535	ABJ972_RS00045	MYF_RS00045
OG0000536	ABJ972_RS03445	MYF_RS03070
OG0000537	ABJ972_RS00945	MYF_RS02025
OG0000538	ABJ972_RS01110	MYF_RS02395
OG0000539	ABJ972_RS00200	MYF_RS00175
OG0000540	ABJ972_RS02575	MYF_RS00910
OG0000542	ABJ972_RS00335	MYF_RS00315
OG0000547	ABJ972_RS02835	MYF_RS00660
OG0000548	ABJ972_RS01570	MYF_RS01205
OG0000549	ABJ972_RS03230	MYF_RS02805
OG0000550	ABJ972_RS03365	MYF_RS02925
OG0000551	ABJ972_RS02905	MYF_RS02505
