HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N12.HOG0000130	OG0000044	n1																											WP_225973034.1																	WP_225973034.1
N12.HOG0000131	OG0000045	n0																											WP_225973032.1																	WP_160585827.1
N12.HOG0000132	OG0000046	n1																											WP_146379739.1																	WP_347952302.1
N12.HOG0000133	OG0000047	n17																																												WP_347952436.1
N12.HOG0000134	OG0000048	n0																											WP_146379588.1																	WP_347952212.1
N12.HOG0000135	OG0000049	n0																											WP_146379714.1																	WP_020835860.1
N12.HOG0000136	OG0000050	n0																											WP_146379653.1																	WP_347952238.1
N12.HOG0000137	OG0000051	n40																																												WP_347952252.1
N12.HOG0000138	OG0000052	n0																											WP_146379447.1																	WP_011289937.1
N12.HOG0000139	OG0000053	n0																											WP_146379563.1																	WP_347952425.1
N12.HOG0000140	OG0000054	n0																											WP_146379656.1																	WP_347952240.1
N12.HOG0000141	OG0000055	n0																											WP_146379455.1																	WP_146379455.1
N12.HOG0000142	OG0000056	n0																											WP_146379764.1																	WP_347952327.1
N12.HOG0000143	OG0000057	n0																											WP_146379697.1																	WP_347952267.1, WP_347952268.1
N12.HOG0000144	OG0000060	n21																																												WP_020835489.1
N12.HOG0000145	OG0000061	n7																											WP_146379613.1																	WP_135618818.1
N12.HOG0000146	OG0000062	n0																											WP_011290443.1																	WP_160588098.1
N12.HOG0000147	OG0000063	n0																											WP_146379768.1																	WP_160606495.1
N12.HOG0000148	OG0000064	n0																											WP_011290440.1																	WP_347952332.1
N12.HOG0000149	OG0000065	n0																											WP_011290219.1																	WP_347952215.1
N12.HOG0000150	OG0000066	n7																											WP_011205965.1																	WP_011205965.1
N12.HOG0000151	OG0000067	n13																											WP_146379483.1																	
N12.HOG0000152	OG0000068	n0																											WP_011206103.1																	WP_011206103.1
N12.HOG0000153	OG0000069	n0																											WP_011206373.1																	WP_011284269.1
N12.HOG0000154	OG0000070	n0																											WP_146379657.1																	WP_011206292.1
N12.HOG0000155	OG0000071	n0																											WP_146379735.1																	WP_347952299.1
N12.HOG0000156	OG0000072	n0																											WP_146379736.1																	WP_347952300.1
N12.HOG0000157	OG0000073	n0																											WP_011206093.1																	WP_011206093.1
N12.HOG0000158	OG0000074	n25																																												WP_179221041.1
N12.HOG0000159	OG0000075	n16																											WP_146379474.1																	WP_135618517.1
N12.HOG0000160	OG0000076	n3																											WP_146379475.1																	
N12.HOG0000161	OG0000076	n19																																												WP_160607908.1
N12.HOG0000162	OG0000077	n0																											WP_146379479.1																	WP_347952370.1
N12.HOG0000163	OG0000078	n7																											WP_146379578.1																	WP_347952448.1
N12.HOG0000164	OG0000079	n0																											WP_146379663.1																	WP_146379663.1
N12.HOG0000165	OG0000080	n0																											WP_192894279.1																	WP_179695988.1
N12.HOG0000166	OG0000081	n0																											WP_225973010.1																	WP_347952367.1
N12.HOG0000167	OG0000082	n29																											WP_225972983.1																	
N12.HOG0000168	OG0000083	n0																											WP_146379599.1																	WP_011206216.1
N12.HOG0000169	OG0000084	n0																											WP_011284142.1																	WP_011284142.1
N12.HOG0000170	OG0000085	n0																											WP_146379595.1																	WP_011206223.1
N12.HOG0000171	OG0000086	n0																											WP_146379593.1																	WP_347952209.1
N12.HOG0000172	OG0000087	n0																											WP_020835732.1																	WP_020835732.1
N12.HOG0000173	OG0000088	n0																											WP_146379590.1																	WP_020835733.1
N12.HOG0000174	OG0000089	n0																											WP_011290212.1																	WP_347952211.1
N12.HOG0000175	OG0000090	n0																											WP_094521535.1																	WP_020835488.1
N12.HOG0000176	OG0000091	n0																											WP_020835487.1																	WP_020835487.1
N12.HOG0000177	OG0000092	n0																											WP_011205847.1																	WP_011205847.1
N12.HOG0000178	OG0000093	n0																											WP_020835484.1																	WP_020835484.1
N12.HOG0000179	OG0000094	n0																											WP_014579519.1																	WP_020835483.1
N12.HOG0000180	OG0000095	n0																											WP_044272251.1																	WP_347952339.1
N12.HOG0000181	OG0000096	n0																											WP_011206529.1																	WP_011206529.1
N12.HOG0000182	OG0000097	n0																											WP_146379771.1																	WP_347952335.1
N12.HOG0000183	OG0000098	n0																											WP_146379769.1																	WP_347952333.1
N12.HOG0000184	OG0000099	n0																											WP_146379765.1																	WP_347952328.1
N12.HOG0000185	OG0000100	n0																											WP_146379762.1																	WP_347952325.1
N12.HOG0000186	OG0000101	n0																											WP_011206510.1																	WP_011206510.1
N12.HOG0000187	OG0000102	n0																											WP_225973035.1																	WP_347952452.1
N12.HOG0000188	OG0000103	n0																											WP_146379627.1																	WP_011290214.1
N12.HOG0000189	OG0000104	n0																											WP_011206239.1																	WP_011206239.1
N12.HOG0000190	OG0000105	n0																											WP_146379630.1																	WP_347952214.1
N12.HOG0000191	OG0000106	n0																											WP_146379631.1																	WP_146379631.1
N12.HOG0000192	OG0000107	n0																											WP_011284169.1																	WP_011284169.1
N12.HOG0000193	OG0000108	n0																											WP_192894278.1																	WP_192894278.1
N12.HOG0000194	OG0000109	n0																											WP_146379632.1																	WP_347952216.1
N12.HOG0000195	OG0000110	n0																											WP_146379648.1																	WP_347952231.1
N12.HOG0000196	OG0000111	n0																											WP_225972982.1																	WP_347952230.1
N12.HOG0000197	OG0000112	n0																											WP_225972981.1																	WP_347952229.1
N12.HOG0000198	OG0000113	n0																											WP_146379641.1																	WP_347952226.1
N12.HOG0000199	OG0000114	n0																											WP_225972979.1																	WP_347952224.1
N12.HOG0000200	OG0000115	n0																											WP_011290245.1																	WP_011284183.1
N12.HOG0000201	OG0000116	n0																											WP_146379549.1																	WP_347952415.1
N12.HOG0000202	OG0000117	n0																											WP_146379550.1																	WP_347952416.1
N12.HOG0000203	OG0000118	n0																											WP_011290108.1																	WP_179696056.1
N12.HOG0000204	OG0000119	n0																											WP_135618686.1																	WP_135618686.1
N12.HOG0000205	OG0000120	n0																											WP_011284027.1																	WP_011284027.1
N12.HOG0000206	OG0000121	n0																											WP_146379557.1																	WP_011284032.1
N12.HOG0000207	OG0000122	n0																											WP_020835643.1																	WP_020835643.1
N12.HOG0000208	OG0000123	n0																											WP_011205954.1																	WP_011205954.1
N12.HOG0000209	OG0000124	n0																											WP_011205953.1																	WP_347952423.1
N12.HOG0000210	OG0000125	n0																											WP_011205952.1																	WP_347952424.1
N12.HOG0000211	OG0000126	n0																											WP_146379560.1																	WP_011290120.1
N12.HOG0000212	OG0000127	n0																											WP_146379562.1																	WP_011290122.1
N12.HOG0000213	OG0000128	n0																											WP_146379564.1																	WP_347952426.1
N12.HOG0000214	OG0000129	n0																											WP_014579732.1																	WP_014579732.1
N12.HOG0000215	OG0000130	n0																											WP_011284046.1																	WP_011284046.1
N12.HOG0000216	OG0000131	n0																											WP_146379566.1																	WP_146379566.1
N12.HOG0000217	OG0000132	n0																											WP_135618714.1																	WP_011205939.1
N12.HOG0000218	OG0000133	n0																											WP_014579589.1																	WP_014579589.1
N12.HOG0000219	OG0000134	n0																											WP_225973012.1																	WP_347952377.1
N12.HOG0000220	OG0000135	n0																											WP_011206120.1																	WP_347952378.1
N12.HOG0000221	OG0000136	n0																											WP_011206119.1																	WP_347952379.1
N12.HOG0000222	OG0000137	n0																											WP_011206113.1																	WP_011206113.1
N12.HOG0000223	OG0000138	n0																											WP_146379494.1																	WP_160584793.1
N12.HOG0000224	OG0000139	n0																											WP_011206102.1																	WP_011290017.1
N12.HOG0000225	OG0000140	n0																											WP_146379496.1																	WP_011206101.1
N12.HOG0000226	OG0000141	n0																											WP_146379698.1																	WP_146379698.1
N12.HOG0000227	OG0000142	n0																											WP_011284289.1																	WP_011284289.1
N12.HOG0000228	OG0000143	n0																											WP_011206391.1																	WP_011206391.1
N12.HOG0000229	OG0000144	n0																											WP_146379694.1																	WP_020835844.1
N12.HOG0000230	OG0000145	n0																											WP_225972996.1																	WP_228365394.1
N12.HOG0000231	OG0000146	n0																											WP_146379692.1																	WP_011206385.1
N12.HOG0000232	OG0000147	n0																											WP_011206384.1																	WP_011206384.1
N12.HOG0000233	OG0000148	n0																											WP_135619012.1																	WP_135619012.1
N12.HOG0000234	OG0000149	n0																											WP_011290331.1																	WP_011290331.1
N12.HOG0000235	OG0000150	n0																											WP_135619006.1																	WP_011206376.1
N12.HOG0000236	OG0000151	n0																											WP_020835828.1																	WP_020835828.1
N12.HOG0000237	OG0000152	n0																											WP_020835827.1																	WP_280996773.1
N12.HOG0000238	OG0000153	n0																											WP_146379685.1																	WP_160615699.1
N12.HOG0000239	OG0000154	n0																											WP_011206345.1																	WP_011206345.1
N12.HOG0000240	OG0000155	n0																											WP_020835820.1																	WP_020835820.1
N12.HOG0000241	OG0000156	n0																											WP_011206335.1																	WP_179221181.1
N12.HOG0000242	OG0000157	n0																											WP_011206334.1																	WP_011206334.1
N12.HOG0000243	OG0000158	n0																											WP_146379680.1																	WP_347952256.1
N12.HOG0000244	OG0000159	n0																											WP_011206289.1																	WP_011206289.1
N12.HOG0000245	OG0000160	n0																											WP_179221158.1																	WP_179221158.1
N12.HOG0000246	OG0000161	n0																											WP_146379654.1																	WP_014579880.1
N12.HOG0000247	OG0000162	n0																											WP_044272532.1																	WP_347952489.1
N12.HOG0000248	OG0000163	n0																											WP_044272529.1																	WP_347952237.1
N12.HOG0000249	OG0000164	n0																											WP_146379571.1																	WP_347952440.1
N12.HOG0000250	OG0000165	n0																											WP_011206200.1																	WP_011206200.1
N12.HOG0000251	OG0000166	n0																											WP_011290193.1																	WP_347952199.1
N12.HOG0000252	OG0000167	n0																											WP_011206207.1																	WP_011206207.1
N12.HOG0000253	OG0000168	n0																											WP_146379604.1																	WP_160606591.1
N12.HOG0000254	OG0000169	n0																											WP_094521497.1																	WP_002557698.1
N12.HOG0000255	OG0000170	n0																											WP_146379716.1																	WP_020835862.1
N12.HOG0000256	OG0000171	n0																											WP_146379717.1																	WP_146379717.1
N12.HOG0000257	OG0000172	n0																											WP_011206424.1																	WP_347952285.1
N12.HOG0000258	OG0000173	n0																											WP_011284312.1																	WP_347952286.1
N12.HOG0000259	OG0000174	n0																											WP_146379719.1																	WP_160600929.1
N12.HOG0000260	OG0000175	n0																											WP_146379721.1																	WP_160585645.1
N12.HOG0000261	OG0000176	n0																											WP_146379725.1																	WP_347952289.1
N12.HOG0000262	OG0000177	n0																											WP_146379726.1																	WP_347952290.1
N12.HOG0000263	OG0000178	n0																											WP_044272620.1																	WP_044272620.1
N12.HOG0000264	OG0000179	n0																											WP_020835880.1																	WP_160585639.1
N12.HOG0000265	OG0000180	n0																											WP_081642895.1																	WP_160585638.1
N12.HOG0000266	OG0000181	n0																											WP_020835888.1																	WP_020835888.1
N12.HOG0000267	OG0000182	n0																											WP_011206453.1																	WP_011206453.1
N12.HOG0000268	OG0000183	n0																											WP_011206459.1																	WP_011206459.1
N12.HOG0000269	OG0000184	n0																											WP_146379743.1																	WP_011290401.1
N12.HOG0000270	OG0000185	n0																											WP_146379740.1																	WP_347952304.1
N12.HOG0000271	OG0000186	n0																											WP_020835656.1																	WP_347952429.1
N12.HOG0000272	OG0000187	n0																											WP_011284055.1																	WP_011284055.1
N12.HOG0000273	OG0000188	n0																											WP_011205932.1																	WP_011205932.1
N12.HOG0000274	OG0000189	n0																											WP_146379638.1																	WP_347952219.1
N12.HOG0000275	OG0000190	n0																											WP_146379637.1																	WP_011206256.1
N12.HOG0000276	OG0000191	n0																											WP_146379633.1																	WP_020835755.1
N12.HOG0000277	OG0000192	n0																											WP_146379779.1																	WP_347952483.1
N12.HOG0000278	OG0000193	n0																											WP_094521610.1																	WP_094521610.1
N12.HOG0000279	OG0000194	n0																											WP_011290023.1																	WP_011283923.1
N12.HOG0000280	OG0000195	n0																											WP_094521583.1																	WP_011290024.1
N12.HOG0000281	OG0000196	n0																											WP_179695841.1																	WP_347952385.1
N12.HOG0000282	OG0000197	n0																											WP_041361572.1																	WP_041361572.1
N12.HOG0000283	OG0000198	n0																											WP_011283930.1																	WP_011283930.1
N12.HOG0000284	OG0000199	n0																											WP_011206086.1																	WP_011206086.1
N12.HOG0000285	OG0000200	n0																											WP_146379501.1																	WP_020835575.1
N12.HOG0000286	OG0000201	n0																											WP_011283934.1																	WP_011283934.1
N12.HOG0000287	OG0000202	n0																											WP_146379507.1																	WP_011283943.1
N12.HOG0000288	OG0000203	n0																											WP_011206072.1																	WP_011206072.1
N12.HOG0000289	OG0000204	n0																											WP_146379508.1																	WP_146379508.1
N12.HOG0000290	OG0000205	n0																											WP_146379509.1																	WP_014579632.1
N12.HOG0000291	OG0000206	n0																											WP_135618589.1																	WP_011206066.1
N12.HOG0000292	OG0000207	n0																											WP_094521594.1																	WP_011283951.1
N12.HOG0000293	OG0000208	n0																											WP_011290046.1																	WP_011283952.1
N12.HOG0000294	OG0000209	n0																											WP_011206061.1																	WP_011206061.1
N12.HOG0000295	OG0000210	n0																											WP_146379515.1																	WP_135618604.1
N12.HOG0000296	OG0000211	n0																											WP_011290054.1																	WP_011290054.1
N12.HOG0000297	OG0000212	n0																											WP_011206048.1																	WP_011206048.1
N12.HOG0000298	OG0000213	n0																											WP_011283963.1																	WP_011283963.1
N12.HOG0000299	OG0000214	n0																											WP_011206047.1																	WP_011206047.1
N12.HOG0000300	OG0000215	n0																											WP_011290055.1																	WP_011206046.1
N12.HOG0000301	OG0000216	n0																											WP_014579616.1																	WP_011283965.1
N12.HOG0000302	OG0000217	n0																											WP_146379520.1																	WP_160585731.1
N12.HOG0000303	OG0000218	n0																											WP_011290058.1																	WP_011290058.1
N12.HOG0000304	OG0000219	n0																											WP_011206041.1																	WP_011206041.1
N12.HOG0000305	OG0000220	n0																											WP_020835592.1																	WP_020835592.1
N12.HOG0000306	OG0000221	n0																											WP_011206039.1																	WP_011206039.1
N12.HOG0000307	OG0000222	n0																											WP_011206038.1																	WP_011206038.1
N12.HOG0000308	OG0000223	n0																											WP_041361589.1																	WP_041361589.1
N12.HOG0000309	OG0000224	n0																											WP_011206035.1																	WP_011206035.1
N12.HOG0000310	OG0000225	n0																											WP_146379522.1																	WP_160585734.1
N12.HOG0000311	OG0000226	n0																											WP_011206032.1																	WP_011206032.1
N12.HOG0000312	OG0000227	n0																											WP_011290064.1																	WP_011206031.1
N12.HOG0000313	OG0000228	n0																											WP_041361593.1																	WP_041361593.1
N12.HOG0000314	OG0000229	n0																											WP_011206028.1																	WP_011206028.1
N12.HOG0000315	OG0000230	n0																											WP_014579605.1																	WP_011206027.1
N12.HOG0000316	OG0000231	n0																											WP_011206025.1																	WP_011206025.1
N12.HOG0000317	OG0000232	n0																											WP_014579601.1																	WP_014579601.1
N12.HOG0000318	OG0000233	n0																											WP_146379528.1																	WP_011290071.1
N12.HOG0000319	OG0000234	n0																											WP_146379533.1																	WP_347952402.1
N12.HOG0000320	OG0000235	n0																											WP_146379535.1																	WP_243216014.1
N12.HOG0000321	OG0000236	n0																											WP_146379536.1																	WP_011283989.1
N12.HOG0000322	OG0000237	n0																											WP_146379537.1																	WP_347952403.1
N12.HOG0000323	OG0000238	n0																											WP_011206006.1																	WP_011206006.1
N12.HOG0000324	OG0000239	n0																											WP_146379700.1																	WP_011290347.1
N12.HOG0000325	OG0000240	n0																											WP_020835851.1																	WP_160585227.1
N12.HOG0000326	OG0000241	n0																											WP_044272588.1																	WP_044284696.1
N12.HOG0000327	OG0000242	n0																											WP_146379702.1																	WP_347952271.1
N12.HOG0000328	OG0000243	n0																											WP_146379703.1																	WP_160585630.1
N12.HOG0000329	OG0000244	n0																											WP_146379705.1																	WP_011206406.1
N12.HOG0000330	OG0000245	n0																											WP_146379707.1																	WP_347952272.1
N12.HOG0000331	OG0000246	n0																											WP_050195463.1																	WP_050195463.1
N12.HOG0000332	OG0000247	n0																											WP_146379457.1																	WP_347952349.1
N12.HOG0000333	OG0000248	n0																											WP_146379774.1																	WP_014579535.1
N12.HOG0000334	OG0000249	n0																											WP_146379458.1																	WP_347952350.1
N12.HOG0000335	OG0000250	n0																											WP_011289957.1																	WP_011289957.1
N12.HOG0000336	OG0000251	n0																											WP_146379462.1																	WP_347952354.1
N12.HOG0000337	OG0000252	n0																											WP_011205883.1																	WP_011205883.1
N12.HOG0000338	OG0000253	n0																											WP_146379464.1																	WP_347952355.1
N12.HOG0000339	OG0000254	n0																											WP_146379465.1																	WP_347952356.1
N12.HOG0000340	OG0000255	n0																											WP_014579550.1																	WP_014579550.1
N12.HOG0000341	OG0000256	n0																											WP_011205889.1																	WP_011205889.1
N12.HOG0000342	OG0000257	n0																											WP_011289973.1																	WP_011289973.1
N12.HOG0000343	OG0000258	n0																											WP_011289974.1																	WP_011289974.1
N12.HOG0000344	OG0000259	n0																											WP_225973009.1																	WP_347952363.1
N12.HOG0000345	OG0000260	n0																											WP_146379471.1																	WP_347952364.1
