HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N18.HOG0000046	OG0000008	n34															WP_404924455.1																													
N18.HOG0000047	OG0000008	n35														WP_404924560.1	WP_404924456.1																													
N18.HOG0000048	OG0000008	n73														WP_404924495.1	WP_404924495.1																													
N18.HOG0000049	OG0000009	n2														WP_404924404.1	WP_404924404.1																													
N18.HOG0000050	OG0000009	n16														WP_041361519.1	WP_041361519.1																													
N18.HOG0000051	OG0000009	n35														WP_011290021.1	WP_011290021.1																													
N18.HOG0000052	OG0000010	n3														WP_404924479.1	WP_404924479.1																													
N18.HOG0000053	OG0000011	n10															WP_404924482.1																													
N18.HOG0000054	OG0000011	n51														WP_404924567.1																														
N18.HOG0000055	OG0000012	n64														WP_404924429.1	WP_404924429.1																													
N18.HOG0000056	OG0000012	n66														WP_404924504.1	WP_404924504.1																													
N18.HOG0000057	OG0000013	n1														WP_225972984.1	WP_225972984.1																													
N18.HOG0000058	OG0000013	n47														WP_404924502.1	WP_404924502.1																													
N18.HOG0000059	OG0000014	n10														WP_404924549.1	WP_404924397.1																													
N18.HOG0000060	OG0000014	n30														WP_404924552.1	WP_404924423.1																													
N18.HOG0000061	OG0000014	n57														WP_404924399.1	WP_404924399.1																													
N18.HOG0000062	OG0000015	n22														WP_135618763.1	WP_135618763.1																													
N18.HOG0000063	OG0000015	n36														WP_404924384.1	WP_404924384.1																													
N18.HOG0000064	OG0000016	n1														WP_404924526.1																														
N18.HOG0000065	OG0000016	n36														WP_404924358.1	WP_404924358.1																													
N18.HOG0000066	OG0000017	n1														WP_020835500.1	WP_020835500.1																													
N18.HOG0000067	OG0000017	n16														WP_020835837.1	WP_020835837.1																													
N18.HOG0000068	OG0000018	n4														WP_160585680.1	WP_160585680.1																													
N18.HOG0000069	OG0000018	n54														WP_404924379.1	WP_404924379.1																													
N18.HOG0000070	OG0000019	n40														WP_404924294.1	WP_404924294.1																													
N18.HOG0000071	OG0000019	n41														WP_404924295.1	WP_404924295.1																													
N18.HOG0000072	OG0000019	n75														WP_404924528.1	WP_404924296.1																													
N18.HOG0000073	OG0000020	n1														WP_404924535.1																														
N18.HOG0000074	OG0000020	n50														WP_404924536.1	WP_404924344.1																													
N18.HOG0000075	OG0000021	n3														WP_404924471.1	WP_404924471.1																													
N18.HOG0000076	OG0000021	n24														WP_404924390.1	WP_404924390.1																													
N18.HOG0000077	OG0000021	n33														WP_404924389.1	WP_404924389.1																													
N18.HOG0000078	OG0000022	n1														WP_404924458.1	WP_404924458.1																													
N18.HOG0000079	OG0000022	n33														WP_146379581.1	WP_146379581.1																													
N18.HOG0000080	OG0000023	n21														WP_404924437.1	WP_404924437.1																													
N18.HOG0000081	OG0000023	n60														WP_404924382.1	WP_404924382.1																													
N18.HOG0000082	OG0000024	n8														WP_179696078.1	WP_179696078.1																													
N18.HOG0000083	OG0000024	n33														WP_404924435.1	WP_404924435.1																													
N18.HOG0000084	OG0000025	n1														WP_404924459.1	WP_404924459.1																													
N18.HOG0000085	OG0000025	n32														WP_404924464.1	WP_404924464.1																													
N18.HOG0000086	OG0000026	n5														WP_020835640.1	WP_020835640.1																													
N18.HOG0000087	OG0000026	n19														WP_160606777.1	WP_160606777.1																													
N18.HOG0000088	OG0000027	n1														WP_020835902.1	WP_020835902.1																													
N18.HOG0000089	OG0000027	n21														WP_404924323.1	WP_404924323.1																													
N18.HOG0000090	OG0000028	n46														WP_404924521.1, WP_404924522.1	WP_404924245.1																													
N18.HOG0000091	OG0000029	n9														WP_404924422.1	WP_404924422.1																													
N18.HOG0000092	OG0000029	n41														WP_404924400.1	WP_404924400.1																													
N18.HOG0000093	OG0000030	n8														WP_308704613.1	WP_308704613.1																													
N18.HOG0000094	OG0000030	n33														WP_404924534.1	WP_020835904.1																													
N18.HOG0000095	OG0000031	n12														WP_088172525.1	WP_088172525.1																													
N18.HOG0000096	OG0000031	n23														WP_404924450.1	WP_404924450.1																													
N18.HOG0000097	OG0000032	n3														WP_135618726.1	WP_135618726.1																													
N18.HOG0000098	OG0000032	n24														WP_404924322.1	WP_404924322.1																													
N18.HOG0000099	OG0000033	n20															WP_404924244.1																													
N18.HOG0000100	OG0000033	n53														WP_404924517.1	WP_404924241.1																													
N18.HOG0000101	OG0000033	n59														WP_404924518.1, WP_404924520.1	WP_404924242.1																													
N18.HOG0000102	OG0000035	n1														WP_404924533.1	WP_404924306.1																													
N18.HOG0000103	OG0000035	n36														WP_160588066.1	WP_160588066.1																													
N18.HOG0000104	OG0000036	n11														WP_347952344.1	WP_347952344.1																													
N18.HOG0000105	OG0000036	n44														WP_146379454.1	WP_146379454.1																													
N18.HOG0000106	OG0000037	n3														WP_404924569.1	WP_404924486.1																													
N18.HOG0000107	OG0000037	n25														WP_020835661.1																														
N18.HOG0000108	OG0000038	n17														WP_404924387.1	WP_404924387.1																													
N18.HOG0000109	OG0000038	n27														WP_404924469.1	WP_404924469.1																													
N18.HOG0000110	OG0000039	n46														WP_404924559.1	WP_404924451.1																													
N18.HOG0000111	OG0000040	n0														WP_404924313.1	WP_404924313.1																													
N18.HOG0000112	OG0000041	n9														WP_011290019.1	WP_011290019.1																													
N18.HOG0000113	OG0000041	n22														WP_228366127.1	WP_228366127.1																													
N18.HOG0000114	OG0000042	n36														WP_044272729.1	WP_404924286.1																													
N18.HOG0000115	OG0000043	n0														WP_014579804.1	WP_014579804.1																													
N18.HOG0000116	OG0000044	n1														WP_225973034.1	WP_225973034.1																													
N18.HOG0000117	OG0000044	n6														WP_404911819.1	WP_404911819.1																													
N18.HOG0000118	OG0000045	n0														WP_404924452.1	WP_404924452.1																													
N18.HOG0000119	OG0000046	n1														WP_404924315.1	WP_404924315.1																													
N18.HOG0000120	OG0000046	n37														WP_404924314.1	WP_404924314.1																													
N18.HOG0000121	OG0000047	n17														WP_404924546.1	WP_404924383.1																													
N18.HOG0000122	OG0000048	n0														WP_011284150.1	WP_011284150.1																													
N18.HOG0000123	OG0000050	n0														WP_404924247.1	WP_404924247.1																													
N18.HOG0000124	OG0000051	n9														WP_404924263.1	WP_404924263.1																													
N18.HOG0000125	OG0000052	n0														WP_404924352.1	WP_404924352.1																													
N18.HOG0000126	OG0000053	n0														WP_404924445.1	WP_404924445.1																													
N18.HOG0000127	OG0000054	n0														WP_404924248.1	WP_404924248.1																													
N18.HOG0000128	OG0000055	n0														WP_146379455.1	WP_146379455.1																													
N18.HOG0000129	OG0000056	n0														WP_404924340.1	WP_404924340.1																													
N18.HOG0000130	OG0000057	n0														WP_404924285.1	WP_404924285.1																													
N18.HOG0000131	OG0000058	n14														WP_404924373.1	WP_404924373.1																													
N18.HOG0000132	OG0000058	n29														WP_404924374.1	WP_404924374.1																													
N18.HOG0000133	OG0000059	n11														WP_404924375.1	WP_404924375.1																													
N18.HOG0000134	OG0000059	n20														WP_404924377.1	WP_404924377.1																													
N18.HOG0000135	OG0000060	n21														WP_020835489.1	WP_020835489.1																													
N18.HOG0000136	OG0000061	n20															WP_135618818.1																													
N18.HOG0000137	OG0000061	n23														WP_404924566.1																														
N18.HOG0000138	OG0000062	n0														WP_011206522.1	WP_011206522.1																													
N18.HOG0000139	OG0000063	n0														WP_041361715.1	WP_041361715.1																													
N18.HOG0000140	OG0000064	n0														WP_348571896.1	WP_348571896.1																													
N18.HOG0000141	OG0000065	n0														WP_225972975.1	WP_225972975.1																													
N18.HOG0000142	OG0000066	n7														WP_404913732.1	WP_011205965.1																													
N18.HOG0000143	OG0000066	n12														WP_404913730.1																														
N18.HOG0000144	OG0000067	n13														WP_404924548.1																														
N18.HOG0000145	OG0000068	n0														WP_011206103.1	WP_011206103.1																													
N18.HOG0000146	OG0000069	n0														WP_011206373.1	WP_011206373.1																													
N18.HOG0000147	OG0000070	n0														WP_011206292.1	WP_011206292.1																													
N18.HOG0000148	OG0000071	n0														WP_404924311.1	WP_404924311.1																													
N18.HOG0000149	OG0000072	n0														WP_404924312.1	WP_404924312.1																													
N18.HOG0000150	OG0000073	n0														WP_404912207.1	WP_404912207.1																													
N18.HOG0000151	OG0000074	n10														WP_308704709.1	WP_404924416.1																													
N18.HOG0000152	OG0000074	n16															WP_404924417.1																													
N18.HOG0000153	OG0000075	n16														WP_404924368.1	WP_404924368.1																													
N18.HOG0000154	OG0000076	n7														WP_404924369.1	WP_404924369.1																													
N18.HOG0000155	OG0000076	n19														WP_404924503.1	WP_404924503.1																													
N18.HOG0000156	OG0000077	n0														WP_135618533.1	WP_135618533.1																													
N18.HOG0000157	OG0000078	n12														WP_404924461.1	WP_404924461.1																													
N18.HOG0000158	OG0000079	n0														WP_020835797.1	WP_020835797.1																													
N18.HOG0000159	OG0000080	n0														WP_192894279.1	WP_192894279.1																													
N18.HOG0000160	OG0000081	n0														WP_404924544.1	WP_404924367.1																													
N18.HOG0000161	OG0000083	n0														WP_014579823.1	WP_014579823.1																													
N18.HOG0000162	OG0000084	n0														WP_011284142.1	WP_011284142.1																													
N18.HOG0000163	OG0000085	n0														WP_404924208.1	WP_404924208.1																													
N18.HOG0000164	OG0000086	n0														WP_404924507.1	WP_404924209.1																													
N18.HOG0000165	OG0000087	n0														WP_020835732.1	WP_020835732.1																													
N18.HOG0000166	OG0000088	n0														WP_020835733.1	WP_020835733.1																													
N18.HOG0000167	OG0000089	n0														WP_011206231.1	WP_011206231.1																													
N18.HOG0000168	OG0000090	n0														WP_404924539.1	WP_404924351.1																													
N18.HOG0000169	OG0000091	n0														WP_020835487.1	WP_020835487.1																													
N18.HOG0000170	OG0000092	n0														WP_404924538.1	WP_011205847.1																													
N18.HOG0000171	OG0000093	n0														WP_160584856.1	WP_160584856.1																													
N18.HOG0000172	OG0000094	n0														WP_160606485.1	WP_160606485.1																													
N18.HOG0000173	OG0000095	n0														WP_044272251.1	WP_044272251.1																													
N18.HOG0000174	OG0000096	n0														WP_011206529.1	WP_011206529.1																													
N18.HOG0000175	OG0000097	n0														WP_404924537.1	WP_404924347.1																													
N18.HOG0000176	OG0000098	n0														WP_404924345.1	WP_404924345.1																													
N18.HOG0000177	OG0000099	n0														WP_404924341.1	WP_404924341.1																													
N18.HOG0000178	OG0000100	n0														WP_404924338.1	WP_404924338.1																													
N18.HOG0000179	OG0000101	n0														WP_011206510.1	WP_011206510.1																													
N18.HOG0000180	OG0000102	n0														WP_404924487.1	WP_404924487.1																													
N18.HOG0000181	OG0000103	n0														WP_404924223.1	WP_404924223.1																													
N18.HOG0000182	OG0000104	n0														WP_011206239.1	WP_011206239.1																													
N18.HOG0000183	OG0000105	n0														WP_146379630.1	WP_146379630.1																													
N18.HOG0000184	OG0000106	n0														WP_146379631.1	WP_146379631.1																													
N18.HOG0000185	OG0000107	n0														WP_011284169.1	WP_011284169.1																													
N18.HOG0000186	OG0000108	n0														WP_011206247.1	WP_011206247.1																													
N18.HOG0000187	OG0000109	n0														WP_404924224.1	WP_404924224.1																													
N18.HOG0000188	OG0000110	n0														WP_404924239.1	WP_404924239.1																													
N18.HOG0000189	OG0000111	n0														WP_404924516.1	WP_404924238.1																													
N18.HOG0000190	OG0000112	n0														WP_404924236.1	WP_404924236.1																													
N18.HOG0000191	OG0000113	n0														WP_404924231.1	WP_404924231.1																													
N18.HOG0000192	OG0000114	n0														WP_404923958.1	WP_404923958.1																													
N18.HOG0000193	OG0000115	n0														WP_011290245.1	WP_011290245.1																													
N18.HOG0000194	OG0000116	n0														WP_404924436.1	WP_404924436.1																													
N18.HOG0000195	OG0000117	n0														WP_160590503.1	WP_160590503.1																													
N18.HOG0000196	OG0000118	n0														WP_011290108.1	WP_011290108.1																													
N18.HOG0000197	OG0000119	n0														WP_135618686.1	WP_135618686.1																													
N18.HOG0000198	OG0000120	n0														WP_011284027.1	WP_011284027.1																													
N18.HOG0000199	OG0000121	n0														WP_011284032.1	WP_011284032.1																													
N18.HOG0000200	OG0000122	n0														WP_020835643.1	WP_020835643.1																													
N18.HOG0000201	OG0000123	n0														WP_011205954.1	WP_011205954.1																													
N18.HOG0000202	OG0000124	n0														WP_011290118.1	WP_011290118.1																													
N18.HOG0000203	OG0000125	n0														WP_011205952.1	WP_011205952.1																													
N18.HOG0000204	OG0000126	n0														WP_160585089.1	WP_160585089.1																													
N18.HOG0000205	OG0000127	n0														WP_404924444.1	WP_404924444.1																													
N18.HOG0000206	OG0000128	n0														WP_404924446.1	WP_404924446.1																													
N18.HOG0000207	OG0000129	n0														WP_014579732.1	WP_014579732.1																													
N18.HOG0000208	OG0000130	n0														WP_011284046.1	WP_011284046.1																													
N18.HOG0000209	OG0000131	n0														WP_160588225.1	WP_160588225.1																													
N18.HOG0000210	OG0000132	n0														WP_011205939.1	WP_011205939.1																													
N18.HOG0000211	OG0000133	n0														WP_094521764.1	WP_094521764.1																													
N18.HOG0000212	OG0000134	n0														WP_308507044.1	WP_308507044.1																													
N18.HOG0000213	OG0000135	n0														WP_160585148.1	WP_160585148.1																													
N18.HOG0000214	OG0000136	n0														WP_011206119.1	WP_011206119.1																													
N18.HOG0000215	OG0000137	n0														WP_404924396.1	WP_404924396.1																													
N18.HOG0000216	OG0000138	n0														WP_404924401.1	WP_404924401.1																													
N18.HOG0000217	OG0000139	n0														WP_011290017.1	WP_011290017.1																													
N18.HOG0000218	OG0000140	n0														WP_011206101.1	WP_011206101.1																													
N18.HOG0000219	OG0000141	n0														WP_146379698.1	WP_146379698.1																													
N18.HOG0000220	OG0000142	n0														WP_011284289.1	WP_011284289.1																													
N18.HOG0000221	OG0000143	n0														WP_011206391.1	WP_011206391.1																													
N18.HOG0000222	OG0000144	n0														WP_404924284.1	WP_404924284.1																													
N18.HOG0000223	OG0000145	n0														WP_225972996.1	WP_225972996.1																													
N18.HOG0000224	OG0000146	n0														WP_011206385.1	WP_011206385.1																													
N18.HOG0000225	OG0000147	n0														WP_011206384.1	WP_011206384.1																													
N18.HOG0000226	OG0000148	n0														WP_041361684.1	WP_041361684.1																													
N18.HOG0000227	OG0000149	n0														WP_011290331.1	WP_011290331.1																													
N18.HOG0000228	OG0000150	n0														WP_135619006.1	WP_135619006.1																													
N18.HOG0000229	OG0000151	n0														WP_404924277.1	WP_404924277.1																													
N18.HOG0000230	OG0000152	n0														WP_404924276.1	WP_404924276.1																													
N18.HOG0000231	OG0000153	n0														WP_233688497.1	WP_233688497.1																													
N18.HOG0000232	OG0000154	n0														WP_160587842.1	WP_160587842.1																													
N18.HOG0000233	OG0000155	n0														WP_020835820.1	WP_020835820.1																													
N18.HOG0000234	OG0000156	n0														WP_011206335.1	WP_011206335.1																													
N18.HOG0000235	OG0000157	n0														WP_011206334.1	WP_011206334.1																													
N18.HOG0000236	OG0000158	n0														WP_404924268.1	WP_404924268.1																													
N18.HOG0000237	OG0000159	n0														WP_011206289.1	WP_011206289.1																													
N18.HOG0000238	OG0000160	n0														WP_179221158.1	WP_179221158.1																													
N18.HOG0000239	OG0000161	n0														WP_011206287.1	WP_011206287.1																													
N18.HOG0000240	OG0000162	n0														WP_135619210.1	WP_135619210.1																													
N18.HOG0000241	OG0000163	n0														WP_404924246.1	WP_404924246.1																													
N18.HOG0000242	OG0000164	n0														WP_348572081.1	WP_348572081.1																													
N18.HOG0000243	OG0000165	n0														WP_011206200.1	WP_011206200.1																													
N18.HOG0000244	OG0000166	n0														WP_160590029.1	WP_160590029.1																													
N18.HOG0000245	OG0000167	n0														WP_011206207.1	WP_011206207.1																													
N18.HOG0000246	OG0000168	n0														WP_404924203.1	WP_404924203.1																													
N18.HOG0000247	OG0000169	n0														WP_002557698.1	WP_002557698.1																													
N18.HOG0000248	OG0000170	n0														WP_020835862.1	WP_020835862.1																													
N18.HOG0000249	OG0000171	n0														WP_404924298.1	WP_404924298.1																													
N18.HOG0000250	OG0000172	n0														WP_011206424.1	WP_011206424.1																													
N18.HOG0000251	OG0000173	n0														WP_011206425.1	WP_011206425.1																													
N18.HOG0000252	OG0000174	n0														WP_160600929.1	WP_160600929.1																													
N18.HOG0000253	OG0000175	n0														WP_404924532.1	WP_404924300.1																													
N18.HOG0000254	OG0000176	n0														WP_160585271.1	WP_160585271.1																													
N18.HOG0000255	OG0000177	n0														WP_160585273.1	WP_160585273.1																													
N18.HOG0000256	OG0000178	n0														WP_160585275.1	WP_160585275.1																													
N18.HOG0000257	OG0000179	n0														WP_020835880.1	WP_020835880.1																													
N18.HOG0000258	OG0000180	n0														WP_081642895.1	WP_081642895.1																													
N18.HOG0000259	OG0000181	n0														WP_020835888.1	WP_020835888.1																													
N18.HOG0000260	OG0000182	n0														WP_011206453.1	WP_011206453.1																													
N18.HOG0000261	OG0000183	n0														WP_011206459.1	WP_011206459.1																													
N18.HOG0000262	OG0000184	n0														WP_160585238.1	WP_160585238.1																													
N18.HOG0000263	OG0000185	n0														WP_146379740.1	WP_146379740.1																													
N18.HOG0000264	OG0000186	n0														WP_020835656.1	WP_020835656.1																													
N18.HOG0000265	OG0000187	n0														WP_011284055.1	WP_011284055.1																													
N18.HOG0000266	OG0000188	n0														WP_011205932.1	WP_011205932.1																													
N18.HOG0000267	OG0000189	n0														WP_160607686.1	WP_160607686.1																													
N18.HOG0000268	OG0000190	n0														WP_011206256.1	WP_011206256.1																													
N18.HOG0000269	OG0000191	n0														WP_020835755.1	WP_020835755.1																													
N18.HOG0000270	OG0000192	n0														WP_160587990.1	WP_160587990.1																													
N18.HOG0000271	OG0000193	n0														WP_094521610.1	WP_094521610.1																													
N18.HOG0000272	OG0000194	n0														WP_011290023.1	WP_011290023.1																													
N18.HOG0000273	OG0000195	n0														WP_094521583.1	WP_094521583.1																													
N18.HOG0000274	OG0000196	n0														WP_020835573.1	WP_020835573.1																													
N18.HOG0000275	OG0000197	n0														WP_404924405.1	WP_404924405.1																													
N18.HOG0000276	OG0000198	n0														WP_011283930.1	WP_011283930.1																													
N18.HOG0000277	OG0000199	n0														WP_011206086.1	WP_011206086.1																													
N18.HOG0000278	OG0000200	n0														WP_160588272.1	WP_160588272.1																													
N18.HOG0000279	OG0000201	n0														WP_404924407.1	WP_404924407.1																													
N18.HOG0000280	OG0000202	n0														WP_011290039.1	WP_011290039.1																													
N18.HOG0000281	OG0000203	n0														WP_011206072.1	WP_011206072.1																													
N18.HOG0000282	OG0000204	n0														WP_011206071.1	WP_011206071.1																													
N18.HOG0000283	OG0000205	n0														WP_404924414.1	WP_404924414.1																													
N18.HOG0000284	OG0000206	n0														WP_011290044.1	WP_011290044.1																													
N18.HOG0000285	OG0000207	n0														WP_011206063.1	WP_011206063.1																													
N18.HOG0000286	OG0000208	n0														WP_011290046.1	WP_011290046.1																													
N18.HOG0000287	OG0000209	n0														WP_011206061.1	WP_011206061.1																													
N18.HOG0000288	OG0000210	n0														WP_404924418.1	WP_404924418.1																													
N18.HOG0000289	OG0000211	n0														WP_011290054.1	WP_011290054.1																													
N18.HOG0000290	OG0000212	n0														WP_011206048.1	WP_011206048.1																													
N18.HOG0000291	OG0000213	n0														WP_011283963.1	WP_011283963.1																													
N18.HOG0000292	OG0000214	n0														WP_011206047.1	WP_011206047.1																													
N18.HOG0000293	OG0000215	n0														WP_011290055.1	WP_011290055.1																													
N18.HOG0000294	OG0000216	n0														WP_014579616.1	WP_014579616.1																													
N18.HOG0000295	OG0000217	n0														WP_404924419.1	WP_404924419.1																													
N18.HOG0000296	OG0000218	n0														WP_011290058.1	WP_011290058.1																													
N18.HOG0000297	OG0000219	n0														WP_011206041.1	WP_011206041.1																													
N18.HOG0000298	OG0000220	n0														WP_020835592.1	WP_020835592.1																													
N18.HOG0000299	OG0000221	n0														WP_011206039.1	WP_011206039.1																													
N18.HOG0000300	OG0000222	n0														WP_011206038.1	WP_011206038.1																													
N18.HOG0000301	OG0000223	n0														WP_404924420.1	WP_404924420.1																													
N18.HOG0000302	OG0000224	n0														WP_011206035.1	WP_011206035.1																													
N18.HOG0000303	OG0000225	n0														WP_020835596.1	WP_020835596.1																													
N18.HOG0000304	OG0000226	n0														WP_011206032.1	WP_011206032.1																													
N18.HOG0000305	OG0000227	n0														WP_011290064.1	WP_011290064.1																													
N18.HOG0000306	OG0000228	n0														WP_404924421.1	WP_404924421.1																													
N18.HOG0000307	OG0000229	n0														WP_011206028.1	WP_011206028.1																													
N18.HOG0000308	OG0000230	n0														WP_011206027.1	WP_011206027.1																													
N18.HOG0000309	OG0000231	n0														WP_011206025.1	WP_011206025.1																													
N18.HOG0000310	OG0000232	n0														WP_014579601.1	WP_014579601.1																													
N18.HOG0000311	OG0000233	n0														WP_233688672.1	WP_233688672.1																													
N18.HOG0000312	OG0000234	n0														WP_404924425.1	WP_404924425.1																													
N18.HOG0000313	OG0000235	n0														WP_011290078.1	WP_011290078.1																													
N18.HOG0000314	OG0000236	n0														WP_011283989.1	WP_011283989.1																													
N18.HOG0000315	OG0000237	n0														WP_404924426.1	WP_404924426.1																													
N18.HOG0000316	OG0000238	n0														WP_011206006.1	WP_011206006.1																													
N18.HOG0000317	OG0000239	n0														WP_011290347.1	WP_011290347.1																													
N18.HOG0000318	OG0000240	n0														WP_020835851.1	WP_020835851.1																													
N18.HOG0000319	OG0000241	n0														WP_135619036.1	WP_135619036.1																													
N18.HOG0000320	OG0000242	n0														WP_020835854.1	WP_020835854.1																													
N18.HOG0000321	OG0000243	n0														WP_011290352.1	WP_011290352.1																													
N18.HOG0000322	OG0000244	n0														WP_041361690.1	WP_041361690.1																													
N18.HOG0000323	OG0000245	n0														WP_404924288.1	WP_404924288.1																													
N18.HOG0000324	OG0000246	n0														WP_050195463.1	WP_050195463.1																													
N18.HOG0000325	OG0000247	n0														WP_404924356.1	WP_404924356.1																													
N18.HOG0000326	OG0000248	n0														WP_146379774.1	WP_146379774.1																													
N18.HOG0000327	OG0000249	n0														WP_404924357.1	WP_404924357.1																													
N18.HOG0000328	OG0000250	n0														WP_011289957.1	WP_011289957.1																													
N18.HOG0000329	OG0000251	n0														WP_347952354.1	WP_347952354.1																													
N18.HOG0000330	OG0000252	n0														WP_011205883.1	WP_011205883.1																													
N18.HOG0000331	OG0000253	n0														WP_160606527.1	WP_160606527.1																													
N18.HOG0000332	OG0000254	n0														WP_160584767.1	WP_160584767.1																													
