HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
N39.HOG0000090	OG0000065	n0		WP_160583941.1	WP_160583941.1	WP_160583941.1		WP_002557517.1																																						
N39.HOG0000091	OG0000066	n4		WP_002557543.1	WP_002557543.1	WP_002557543.1		WP_002557543.1																																						
N39.HOG0000092	OG0000067	n2		WP_160580850.1	WP_160583697.1	WP_160583697.1		WP_002557573.1																																						
N39.HOG0000093	OG0000068	n0		WP_002557593.1	WP_002557593.1	WP_002557593.1		WP_002557593.1																																						
N39.HOG0000094	OG0000069	n0		WP_002557626.1	WP_002557626.1	WP_002557626.1		WP_002557626.1																																						
N39.HOG0000095	OG0000070	n0		WP_002557663.1	WP_002557663.1	WP_002557663.1		WP_160605398.1																																						
N39.HOG0000096	OG0000071	n0		WP_160581282.1	WP_160581282.1	WP_160581282.1		WP_160581282.1, WP_160605649.1																																						
N39.HOG0000097	OG0000072	n0		WP_160603220.1	WP_160593453.1	WP_160583918.1		WP_160605550.1																																						
N39.HOG0000098	OG0000073	n0		WP_160603224.1	WP_039387630.1	WP_039387630.1		WP_039387630.1																																						
N39.HOG0000099	OG0000074	n16		WP_308705386.1	WP_308507108.1	WP_308507108.1		WP_236681775.1																																						
N39.HOG0000100	OG0000075	n5		WP_160603033.1	WP_160581028.1	WP_160581028.1		WP_160605306.1																																						
N39.HOG0000101	OG0000076	n7		WP_002557921.1	WP_160593357.1	WP_002557921.1		WP_002557921.1																																						
N39.HOG0000102	OG0000077	n0		WP_160603036.1	WP_160583701.1	WP_160583701.1		WP_160605308.1																																						
N39.HOG0000103	OG0000078	n23		WP_160603073.1	WP_160593384.1	WP_160583639.1		WP_160605360.1																																						
N39.HOG0000104	OG0000079	n0		WP_160603093.1	WP_160580968.1	WP_160580968.1		WP_160580968.1																																						
N39.HOG0000105	OG0000080	n0		WP_196792423.1	WP_196792423.1	WP_196792423.1		WP_196792423.1																																						
N39.HOG0000106	OG0000081	n0		WP_308705383.1	WP_308507105.1	WP_308507105.1		WP_308705447.1																																						
N39.HOG0000107	OG0000082	n29		WP_220190808.1	WP_220190398.1	WP_220190174.1		WP_220190753.1																																						
N39.HOG0000108	OG0000083	n0		WP_160603268.1	WP_160593548.1	WP_002557446.1		WP_002557446.1																																						
N39.HOG0000109	OG0000084	n0		WP_002557451.1	WP_002557451.1	WP_002557451.1		WP_002557451.1																																						
N39.HOG0000110	OG0000085	n0		WP_002557452.1	WP_002557452.1, WP_308507123.1	WP_160584019.1		WP_002557452.1																																						
N39.HOG0000111	OG0000086	n0		WP_160584021.1	WP_160593520.1	WP_160584021.1		WP_160605611.1																																						
N39.HOG0000112	OG0000087	n0		WP_236681783.1	WP_236681783.1	WP_236681783.1		WP_236681783.1																																						
N39.HOG0000113	OG0000088	n0		WP_002557458.1	WP_160581443.1	WP_160581443.1		WP_002557458.1																																						
N39.HOG0000114	OG0000089	n0		WP_002557461.1	WP_002557461.1	WP_002557461.1		WP_160605617.1																																						
N39.HOG0000115	OG0000090	n0		WP_160581085.1	WP_002557465.1	WP_002557465.1		WP_002557465.1																																						
N39.HOG0000116	OG0000091	n0		WP_160603017.1	WP_160593341.1	WP_002557468.1		WP_160605562.1																																						
N39.HOG0000117	OG0000092	n0		WP_002557471.1	WP_002557471.1	WP_002557471.1		WP_002557471.1																																						
N39.HOG0000118	OG0000093	n0		WP_002557472.1	WP_002557472.1	WP_002557472.1		WP_002557472.1																																						
N39.HOG0000119	OG0000094	n0		WP_160603118.1	WP_160583755.1	WP_160583755.1		WP_002557473.1																																						
N39.HOG0000120	OG0000095	n0		WP_002557479.1	WP_002557479.1	WP_002557479.1		WP_160605558.1																																						
N39.HOG0000121	OG0000096	n0		WP_002557480.1	WP_002557480.1	WP_002557480.1		WP_002557480.1																																						
N39.HOG0000122	OG0000097	n0		WP_160583764.1	WP_160583764.1	WP_160583764.1		WP_002557483.1																																						
N39.HOG0000123	OG0000098	n7		WP_160603015.1	WP_002557485.1	WP_002557485.1		WP_160581106.1																																						
N39.HOG0000124	OG0000099	n0		WP_160603132.1	WP_160593495.1	WP_160583777.1		WP_160605586.1																																						
N39.HOG0000125	OG0000100	n0		WP_002557496.1	WP_002557496.1	WP_002557496.1		WP_160605582.1																																						
N39.HOG0000126	OG0000101	n0		WP_002557497.1	WP_002557497.1	WP_002557497.1		WP_002557497.1																																						
N39.HOG0000127	OG0000102	n0		WP_002557499.1	WP_160593490.1	WP_002557499.1		WP_160593490.1																																						
N39.HOG0000128	OG0000103	n0		WP_160603188.1	WP_160583935.1	WP_160583935.1		WP_160605508.1																																						
N39.HOG0000129	OG0000104	n0		WP_002557510.1	WP_002557510.1	WP_002557510.1		WP_002557510.1																																						
N39.HOG0000130	OG0000105	n0		WP_002557514.1	WP_002557514.1	WP_002557514.1		WP_002557514.1																																						
N39.HOG0000131	OG0000106	n0		WP_160603190.1	WP_160583939.1	WP_160583939.1		WP_160605510.1																																						
N39.HOG0000132	OG0000107	n0		WP_002557518.1	WP_002557518.1	WP_002557518.1		WP_002557518.1																																						
N39.HOG0000133	OG0000108	n0		WP_002557519.1	WP_002557519.1	WP_002557519.1		WP_002557519.1																																						
N39.HOG0000134	OG0000109	n0		WP_002557520.1	WP_160583943.1	WP_160583943.1		WP_160583943.1																																						
N39.HOG0000135	OG0000110	n0		WP_160581160.1	WP_160581160.1	WP_160581160.1		WP_160581160.1																																						
N39.HOG0000136	OG0000111	n0		WP_002557523.1	WP_220190224.1	WP_220190224.1		WP_002557523.1																																						
N39.HOG0000137	OG0000112	n0		WP_160583949.1	WP_160583949.1	WP_160583949.1		WP_160605514.1																																						
N39.HOG0000138	OG0000113	n0		WP_160593462.1	WP_160593462.1	WP_002557528.1		WP_002557528.1																																						
N39.HOG0000139	OG0000114	n0		WP_002557530.1	WP_002557530.1	WP_002557530.1		WP_002557530.1																																						
N39.HOG0000140	OG0000115	n0		WP_160583957.1	WP_160583957.1	WP_160583957.1		WP_160583957.1																																						
N39.HOG0000141	OG0000116	n0		WP_160583961.1	WP_160583961.1	WP_160583961.1		WP_002557534.1																																						
N39.HOG0000142	OG0000117	n0		WP_160581178.1	WP_160581178.1	WP_160581178.1		WP_002557535.1																																						
N39.HOG0000143	OG0000118	n0		WP_002557540.1	WP_002557540.1	WP_002557540.1		WP_160605524.1																																						
N39.HOG0000144	OG0000119	n0		WP_160581187.1	WP_160593469.1	WP_160581187.1		WP_160605526.1																																						
N39.HOG0000145	OG0000120	n0		WP_160581189.1	WP_160581189.1	WP_160581189.1		WP_160581189.1																																						
N39.HOG0000146	OG0000121	n0		WP_160583971.1	WP_160583971.1	WP_160583971.1		WP_002557548.1																																						
N39.HOG0000147	OG0000122	n0		WP_002557549.1	WP_002557549.1	WP_002557549.1		WP_002557549.1																																						
N39.HOG0000148	OG0000123	n0		WP_160581199.1	WP_160581199.1	WP_160581199.1		WP_160581199.1																																						
N39.HOG0000149	OG0000124	n0		WP_002557554.1	WP_160593536.1	WP_002557554.1		WP_002557554.1																																						
N39.HOG0000150	OG0000125	n0		WP_160581203.1	WP_160581203.1	WP_160581203.1		WP_002557555.1																																						
N39.HOG0000151	OG0000126	n0		WP_160581207.1	WP_002557557.1	WP_160581207.1		WP_160605532.1																																						
N39.HOG0000152	OG0000127	n0		WP_160593532.1	WP_160593532.1	WP_160583976.1		WP_160583976.1																																						
N39.HOG0000153	OG0000128	n0		WP_160603202.1	WP_160593528.1	WP_160584036.1		WP_160605625.1																																						
N39.HOG0000154	OG0000129	n0		WP_002557563.1	WP_002557563.1	WP_160581459.1		WP_002557563.1																																						
N39.HOG0000155	OG0000130	n0		WP_002557565.1	WP_160593526.1	WP_002557565.1		WP_160593526.1																																						
N39.HOG0000156	OG0000131	n0		WP_002557566.1	WP_002557566.1	WP_002557566.1		WP_002557566.1																																						
N39.HOG0000157	OG0000132	n0		WP_160584038.1	WP_160584038.1	WP_160584038.1		WP_002557569.1																																						
N39.HOG0000158	OG0000133	n0		WP_002557574.1	WP_002557574.1	WP_002557574.1		WP_002557574.1																																						
N39.HOG0000159	OG0000134	n0		WP_160603038.1	WP_160583695.1	WP_160583695.1		WP_160605314.1																																						
N39.HOG0000160	OG0000135	n0		WP_002557577.1	WP_002557577.1	WP_002557577.1		WP_002557577.1																																						
N39.HOG0000161	OG0000136	n0		WP_002557578.1	WP_002557578.1	WP_160583693.1		WP_160605316.1																																						
N39.HOG0000162	OG0000137	n0		WP_160583687.1	WP_160583687.1	WP_160583687.1		WP_160583687.1																																						
N39.HOG0000163	OG0000138	n0		WP_160580868.1	WP_160580868.1	WP_160583684.1		WP_002557590.1																																						
N39.HOG0000164	OG0000139	n0		WP_160583681.1	WP_160583681.1	WP_160583681.1		WP_002557594.1																																						
N39.HOG0000165	OG0000140	n0		WP_160583679.1	WP_160583679.1	WP_160583679.1		WP_002557595.1																																						
N39.HOG0000166	OG0000141	n0		WP_002557602.1	WP_002557602.1	WP_160583675.1		WP_002557602.1																																						
N39.HOG0000167	OG0000142	n0		WP_002557603.1	WP_002557603.1	WP_002557603.1		WP_002557603.1																																						
N39.HOG0000168	OG0000143	n0		WP_160603049.1	WP_160593367.1	WP_160580880.1		WP_160580880.1																																						
N39.HOG0000169	OG0000144	n0		WP_002557609.1	WP_002557609.1	WP_002557609.1		WP_160605328.1																																						
N39.HOG0000170	OG0000145	n0		WP_160583671.1	WP_160583671.1	WP_160583671.1		WP_002557611.1																																						
N39.HOG0000171	OG0000146	n0		WP_002557613.1	WP_002557613.1	WP_002557613.1		WP_002557613.1																																						
N39.HOG0000172	OG0000147	n0		WP_002557614.1	WP_002557614.1	WP_002557614.1		WP_002557614.1																																						
N39.HOG0000173	OG0000148	n0		WP_160603053.1	WP_160583667.1	WP_160583667.1		WP_160583667.1																																						
N39.HOG0000174	OG0000149	n0		WP_002557620.1	WP_002557620.1	WP_002557620.1		WP_002557620.1																																						
N39.HOG0000175	OG0000150	n0		WP_002557623.1	WP_002557623.1	WP_002557623.1		WP_002557623.1																																						
N39.HOG0000176	OG0000151	n0		WP_160580918.1	WP_160580918.1	WP_160580918.1		WP_160580918.1																																						
N39.HOG0000177	OG0000152	n0		WP_160583657.1	WP_160583657.1	WP_160583657.1		WP_160605342.1																																						
N39.HOG0000178	OG0000153	n0		WP_160580922.1	WP_160580922.1	WP_160580922.1		WP_160605344.1																																						
N39.HOG0000179	OG0000154	n0		WP_160580926.1	WP_002557638.1	WP_002557638.1		WP_160580926.1																																						
N39.HOG0000180	OG0000155	n0		WP_002557642.1	WP_002557642.1	WP_002557642.1		WP_160605350.1																																						
N39.HOG0000181	OG0000156	n0		WP_160580941.1	WP_160583648.1	WP_160583648.1		WP_160583648.1																																						
N39.HOG0000182	OG0000157	n0		WP_002557648.1	WP_160583646.1	WP_160583646.1		WP_160583646.1																																						
N39.HOG0000183	OG0000158	n0		WP_160603069.1	WP_160583643.1	WP_160583643.1		WP_160605356.1																																						
N39.HOG0000184	OG0000159	n0		WP_002557667.1	WP_002557667.1	WP_002557667.1		WP_002557667.1																																						
N39.HOG0000185	OG0000160	n0		WP_002557668.1	WP_002557668.1	WP_002557668.1		WP_002557668.1																																						
N39.HOG0000186	OG0000161	n0		WP_160603116.1	WP_160593407.1	WP_160580994.1		WP_160603116.1																																						
N39.HOG0000187	OG0000162	n0		WP_160581406.1	WP_160581406.1	WP_160581406.1		WP_160581406.1, WP_160605651.1																																						
N39.HOG0000188	OG0000163	n0		WP_160581408.1	WP_160584006.1	WP_160584006.1		WP_160581408.1																																						
N39.HOG0000189	OG0000164	n0		WP_002557677.1	WP_160593411.1	WP_002557677.1		WP_160581414.1																																						
N39.HOG0000190	OG0000165	n0		WP_002557684.1	WP_002557684.1	WP_002557684.1		WP_002557684.1																																						
N39.HOG0000191	OG0000166	n0		WP_160581423.1	WP_002557689.1	WP_002557689.1		WP_160605426.1																																						
N39.HOG0000192	OG0000167	n0		WP_160581429.1	WP_160581429.1	WP_160581429.1		WP_160581429.1																																						
N39.HOG0000193	OG0000168	n0		WP_160584058.1	WP_160584058.1	WP_160584058.1		WP_160605430.1																																						
N39.HOG0000194	OG0000169	n0		WP_002557698.1	WP_002557698.1	WP_002557698.1		WP_002557698.1																																						
N39.HOG0000195	OG0000170	n0		WP_160603210.1	WP_002557704.1	WP_002557704.1		WP_160603210.1																																						
N39.HOG0000196	OG0000171	n0		WP_160581256.1	WP_160581256.1	WP_160581256.1		WP_002557706.1																																						
N39.HOG0000197	OG0000172	n0		WP_160583901.1	WP_160583901.1	WP_160583901.1		WP_002557707.1																																						
N39.HOG0000198	OG0000173	n0		WP_002557708.1	WP_002557708.1	WP_002557708.1		WP_002557708.1																																						
N39.HOG0000199	OG0000174	n0		WP_160583903.1	WP_160583903.1	WP_160583903.1		WP_160605538.1																																						
N39.HOG0000200	OG0000175	n0		WP_002557712.1	WP_002557712.1	WP_002557712.1		WP_160605541.1																																						
N39.HOG0000201	OG0000176	n0		WP_160593449.1	WP_160593449.1	WP_160583912.1		WP_160593449.1																																						
N39.HOG0000202	OG0000177	n0		WP_160581270.1	WP_160581270.1	WP_160581270.1		WP_160581270.1																																						
N39.HOG0000203	OG0000178	n0		WP_002557721.1	WP_002557721.1	WP_002557721.1		WP_002557721.1																																						
N39.HOG0000204	OG0000179	n0		WP_160581274.1	WP_160581274.1	WP_160581274.1		WP_002557724.1																																						
N39.HOG0000205	OG0000180	n0		WP_002557725.1	WP_002557725.1	WP_002557725.1		WP_002557725.1																																						
N39.HOG0000206	OG0000181	n0		WP_039387691.1	WP_039387691.1	WP_039387691.1		WP_039387691.1																																						
N39.HOG0000207	OG0000182	n0		WP_160603214.1	WP_002557729.1	WP_002557729.1		WP_002557729.1																																						
N39.HOG0000208	OG0000183	n0		WP_002557735.1	WP_002557735.1	WP_002557735.1		WP_002557735.1																																						
N39.HOG0000209	OG0000184	n0		WP_160584044.1	WP_160584044.1	WP_160584044.1		WP_160605633.1																																						
N39.HOG0000210	OG0000185	n0		WP_002557743.1	WP_160584048.1	WP_160584048.1		WP_002557743.1																																						
N39.HOG0000211	OG0000186	n0		WP_160603234.1	WP_160583995.1	WP_160583995.1		WP_160603234.1																																						
N39.HOG0000212	OG0000187	n0		WP_002557753.1	WP_002557753.1	WP_002557753.1		WP_002557753.1																																						
N39.HOG0000213	OG0000188	n0		WP_160603230.1	WP_002557755.1	WP_002557755.1		WP_002557755.1																																						
N39.HOG0000214	OG0000189	n0		WP_160583993.1	WP_160593473.1	WP_160583993.1		WP_160605456.1																																						
N39.HOG0000215	OG0000190	n0		WP_002557757.1	WP_002557757.1	WP_002557757.1		WP_160605458.1																																						
N39.HOG0000216	OG0000191	n0		WP_255454511.1	WP_255454511.1	WP_255454511.1		WP_255454511.1																																						
N39.HOG0000217	OG0000192	n0		WP_160603226.1	WP_002557763.1	WP_002557763.1		WP_160605464.1																																						
N39.HOG0000218	OG0000193	n0		WP_002557766.1	WP_002557766.1	WP_002557766.1		WP_002557766.1																																						
N39.HOG0000219	OG0000194	n0		WP_002557768.1	WP_002557768.1	WP_002557768.1		WP_002557768.1																																						
N39.HOG0000220	OG0000195	n0		WP_002557769.1	WP_002557769.1	WP_002557769.1		WP_002557769.1																																						
N39.HOG0000221	OG0000196	n0		WP_160581303.1	WP_160581303.1	WP_002557774.1		WP_160581303.1																																						
N39.HOG0000222	OG0000197	n0		WP_160593477.1	WP_160593477.1	WP_002557775.1		WP_160605466.1																																						
N39.HOG0000223	OG0000198	n0		WP_002557778.1	WP_002557778.1	WP_002557778.1		WP_160605468.1																																						
N39.HOG0000224	OG0000199	n0		WP_002557779.1	WP_002557779.1	WP_002557779.1		WP_002557779.1																																						
N39.HOG0000225	OG0000200	n0		WP_002557781.1	WP_002557781.1	WP_002557781.1		WP_002557781.1																																						
N39.HOG0000226	OG0000201	n0		WP_002557783.1	WP_002557783.1	WP_002557783.1		WP_160605470.1																																						
N39.HOG0000227	OG0000202	n0		WP_160593482.1	WP_160593482.1	WP_002557791.1		WP_160605476.1																																						
N39.HOG0000228	OG0000203	n0		WP_160583979.1	WP_160583979.1	WP_160583979.1		WP_160583979.1																																						
N39.HOG0000229	OG0000204	n0		WP_160603158.1	WP_160593422.1	WP_160583845.1		WP_160605479.1																																						
N39.HOG0000230	OG0000205	n0		WP_160593424.1	WP_160593424.1	WP_160583847.1		WP_002557794.1																																						
N39.HOG0000231	OG0000206	n0		WP_002557798.1	WP_002557798.1	WP_002557798.1		WP_002557798.1																																						
N39.HOG0000232	OG0000207	n0		WP_160583853.1	WP_160583853.1	WP_160583853.1		WP_002557801.1																																						
N39.HOG0000233	OG0000208	n0		WP_002557802.1	WP_002557802.1	WP_002557802.1		WP_002557802.1																																						
N39.HOG0000234	OG0000209	n0		WP_002557803.1	WP_002557803.1	WP_002557803.1		WP_002557803.1																																						
N39.HOG0000235	OG0000210	n0		WP_160581347.1	WP_160581347.1	WP_160581347.1		WP_160581347.1																																						
N39.HOG0000236	OG0000211	n0		WP_002557813.1	WP_002557813.1	WP_002557813.1		WP_002557813.1																																						
