Orthogroup	MHP_Ue273_genes	MHP_MHP696_genes
OG0000153	VQY17_RS02750	DR090_RS01545
OG0000154	VQY17_RS02740	DR090_RS01535
OG0000155	VQY17_RS02705	DR090_RS01495
OG0000156	VQY17_RS02695	DR090_RS01485
OG0000157	VQY17_RS02690	DR090_RS04440
OG0000158	VQY17_RS02680	DR090_RS04435
OG0000159	VQY17_RS02460	DR090_RS02595
OG0000160	VQY17_RS02455	DR090_RS02590
OG0000161	VQY17_RS02450	DR090_RS02585
OG0000162	VQY17_RS02440	DR090_RS02575
OG0000163	VQY17_RS02435	DR090_RS02570
OG0000164	VQY17_RS01640	DR090_RS03230
OG0000165	VQY17_RS02015	DR090_RS01015
OG0000166	VQY17_RS02035	DR090_RS01035
OG0000167	VQY17_RS02050	DR090_RS01050
OG0000168	VQY17_RS02055	DR090_RS01055
OG0000169	VQY17_RS03035	DR090_RS02070
OG0000170	VQY17_RS03050	DR090_RS02085
OG0000171	VQY17_RS03060	DR090_RS02095
OG0000172	VQY17_RS03065	DR090_RS02105
OG0000173	VQY17_RS03070	DR090_RS02110
OG0000174	VQY17_RS03075	DR090_RS02115
OG0000175	VQY17_RS03090	DR090_RS02130
OG0000176	VQY17_RS03135	DR090_RS02180
OG0000177	VQY17_RS03140	DR090_RS02185
OG0000178	VQY17_RS03145	DR090_RS02190
OG0000179	VQY17_RS03155	DR090_RS02200
OG0000180	VQY17_RS03160	DR090_RS02205
OG0000181	VQY17_RS03210	DR090_RS04655
OG0000182	VQY17_RS03220	DR090_RS03515
OG0000183	VQY17_RS03255	DR090_RS02035
OG0000184	VQY17_RS03305	DR090_RS01995
OG0000185	VQY17_RS03290	DR090_RS02010
OG0000186	VQY17_RS01545	DR090_RS04605
OG0000187	VQY17_RS01560	DR090_RS03190
OG0000188	VQY17_RS01570	DR090_RS03200
OG0000189	VQY17_RS02305	DR090_RS04625
OG0000190	VQY17_RS02300	DR090_RS03370
OG0000191	VQY17_RS02280	DR090_RS03395
OG0000192	VQY17_RS01240	DR090_RS00355
OG0000193	VQY17_RS01230	DR090_RS00340
OG0000194	VQY17_RS00690	DR090_RS00140
OG0000195	VQY17_RS00695	DR090_RS00135
OG0000196	VQY17_RS00715	DR090_RS00115
OG0000197	VQY17_RS00720	DR090_RS00110
OG0000198	VQY17_RS00735	DR090_RS00095
OG0000199	VQY17_RS00740	DR090_RS00090
OG0000200	VQY17_RS00755	DR090_RS00075
OG0000201	VQY17_RS00765	DR090_RS00065
OG0000202	VQY17_RS00825	DR090_RS00010
OG0000203	VQY17_RS00830	DR090_RS00005
OG0000204	VQY17_RS00835	DR090_RS04470
OG0000205	VQY17_RS00840	DR090_RS01955
OG0000206	VQY17_RS00860	DR090_RS01935
OG0000207	VQY17_RS00875	DR090_RS01920
OG0000208	VQY17_RS00880	DR090_RS01915
OG0000209	VQY17_RS00885	DR090_RS01910
OG0000210	VQY17_RS00935	DR090_RS01865
OG0000211	VQY17_RS00970	DR090_RS01855
OG0000212	VQY17_RS00980	DR090_RS01845
OG0000213	VQY17_RS00985	DR090_RS01840
OG0000214	VQY17_RS00990	DR090_RS01835
OG0000215	VQY17_RS00995	DR090_RS01830
OG0000216	VQY17_RS01000	DR090_RS01825
OG0000217	VQY17_RS01005	DR090_RS01820
OG0000218	VQY17_RS01015	DR090_RS01810
OG0000219	VQY17_RS01020	DR090_RS01805
OG0000220	VQY17_RS01025	DR090_RS01800
OG0000221	VQY17_RS01030	DR090_RS01795
OG0000222	VQY17_RS01035	DR090_RS01790
OG0000223	VQY17_RS01040	DR090_RS01785
OG0000224	VQY17_RS01050	DR090_RS01775
OG0000225	VQY17_RS01060	DR090_RS01765
OG0000226	VQY17_RS01065	DR090_RS01760
OG0000227	VQY17_RS01070	DR090_RS01755
OG0000228	VQY17_RS01075	DR090_RS04680
OG0000229	VQY17_RS01080	DR090_RS01745
OG0000230	VQY17_RS01085	DR090_RS01740
OG0000231	VQY17_RS01095	DR090_RS01730
OG0000232	VQY17_RS01105	DR090_RS01720
OG0000233	VQY17_RS01125	DR090_RS00225
OG0000234	VQY17_RS01165	DR090_RS00260
OG0000235	VQY17_RS01175	DR090_RS00270
OG0000236	VQY17_RS01180	DR090_RS00275
OG0000237	VQY17_RS01185	DR090_RS00280
OG0000238	VQY17_RS01190	DR090_RS00290
OG0000239	VQY17_RS02930	DR090_RS03000
OG0000240	VQY17_RS02935	DR090_RS02995
OG0000241	VQY17_RS02945	DR090_RS02985
OG0000242	VQY17_RS02950	DR090_RS02980
OG0000243	VQY17_RS02955	DR090_RS02975
OG0000244	VQY17_RS02965	DR090_RS02965
OG0000245	VQY17_RS02970	DR090_RS02955
OG0000246	VQY17_RS00140	DR090_RS03110
OG0000247	VQY17_RS00150	DR090_RS00810
OG0000248	VQY17_RS00160	DR090_RS00800
OG0000249	VQY17_RS00165	DR090_RS00795
OG0000250	VQY17_RS00180	DR090_RS00780
OG0000251	VQY17_RS00210	DR090_RS00745
OG0000252	VQY17_RS00220	DR090_RS00735
OG0000253	VQY17_RS00225	DR090_RS00730
OG0000254	VQY17_RS00235	DR090_RS00720
OG0000255	VQY17_RS00245	DR090_RS00710
OG0000256	VQY17_RS00250	DR090_RS00705
OG0000257	VQY17_RS00275	DR090_RS00680
OG0000258	VQY17_RS00285	DR090_RS00670
OG0000259	VQY17_RS00315	DR090_RS00640
OG0000260	VQY17_RS00325	DR090_RS00630
OG0000261	VQY17_RS00335	DR090_RS04350
OG0000262	VQY17_RS00350	DR090_RS00605
OG0000263	VQY17_RS00365	DR090_RS00590
OG0000264	VQY17_RS00380	DR090_RS00575
OG0000265	VQY17_RS00390	DR090_RS00565
OG0000266	VQY17_RS00405	DR090_RS00550
OG0000267	VQY17_RS00420	DR090_RS00535
OG0000268	VQY17_RS00425	DR090_RS00530
OG0000269	VQY17_RS00440	DR090_RS00515
OG0000270	VQY17_RS03495	DR090_RS04395
OG0000271	VQY17_RS03490	DR090_RS01125
OG0000272	VQY17_RS03485	DR090_RS01120
OG0000273	VQY17_RS03480	DR090_RS01115
OG0000274	VQY17_RS03460	DR090_RS02335
OG0000275	VQY17_RS03455	DR090_RS04540
OG0000276	VQY17_RS03450	DR090_RS02325
OG0000277	VQY17_RS03435	DR090_RS02315
OG0000278	VQY17_RS03430	DR090_RS02310
OG0000279	VQY17_RS03420	DR090_RS02300
OG0000280	VQY17_RS03415	DR090_RS02295
OG0000281	VQY17_RS03410	DR090_RS02290
OG0000282	VQY17_RS03380	DR090_RS04530
OG0000283	VQY17_RS03375	DR090_RS02260
OG0000284	VQY17_RS03370	DR090_RS02255
OG0000285	VQY17_RS03365	DR090_RS04525
OG0000286	VQY17_RS02420	DR090_RS02555
OG0000287	VQY17_RS02510	DR090_RS02820
OG0000288	VQY17_RS02520	DR090_RS02810
OG0000289	VQY17_RS02525	DR090_RS02805
OG0000290	VQY17_RS02635	DR090_RS01425
OG0000291	VQY17_RS02625	DR090_RS01415
OG0000292	VQY17_RS02620	DR090_RS01410
OG0000293	VQY17_RS02615	DR090_RS01405
OG0000294	VQY17_RS02605	DR090_RS01395
OG0000295	VQY17_RS02600	DR090_RS01390
OG0000296	VQY17_RS02560	DR090_RS02770
OG0000297	VQY17_RS02555	DR090_RS02775
OG0000298	VQY17_RS00175	DR090_RS00785
OG0000299	VQY17_RS00195	DR090_RS03800
OG0000300	VQY17_RS00375	DR090_RS00580
OG0000301	VQY17_RS00410	DR090_RS00545
OG0000302	VQY17_RS00415	DR090_RS00540
OG0000303	VQY17_RS00560	DR090_RS02720
OG0000304	VQY17_RS01110	DR090_RS01715
OG0000305	VQY17_RS02860	DR090_RS01655
OG0000306	VQY17_RS02785	DR090_RS01580
OG0000307	VQY17_RS02745	DR090_RS01540
OG0000308	VQY17_RS02655	DR090_RS01445
OG0000309	VQY17_RS02590	DR090_RS01380
OG0000310	VQY17_RS02515	DR090_RS02815
OG0000311	VQY17_RS02480	DR090_RS02615
OG0000312	VQY17_RS02465	DR090_RS02600
OG0000313	VQY17_RS01630	DR090_RS03240
OG0000314	VQY17_RS02030	DR090_RS01030
OG0000315	VQY17_RS02060	DR090_RS01060
OG0000316	VQY17_RS02070	DR090_RS01070
OG0000317	VQY17_RS02170	DR090_RS02925
OG0000318	VQY17_RS02075	DR090_RS04370
OG0000319	VQY17_RS02235	DR090_RS03050
OG0000320	VQY17_RS02365	DR090_RS02680
OG0000321	VQY17_RS01350	DR090_RS02455
OG0000322	VQY17_RS01400	DR090_RS02500
OG0000323	VQY17_RS01530	DR090_RS03160
OG0000324	VQY17_RS02275	DR090_RS03400
OG0000325	VQY17_RS00700	DR090_RS00130
OG0000326	VQY17_RS00800	DR090_RS00035
OG0000327	VQY17_RS00805	DR090_RS00030
OG0000328	VQY17_RS00890	DR090_RS01905
OG0000329	VQY17_RS00915	DR090_RS01885
OG0000330	VQY17_RS01135	DR090_RS00235
OG0000331	VQY17_RS02960	DR090_RS02970
OG0000332	VQY17_RS03100	DR090_RS02140
OG0000333	VQY17_RS03110	DR090_RS02150
OG0000334	VQY17_RS03215	DR090_RS03510
OG0000335	VQY17_RS03225	DR090_RS02065
OG0000336	VQY17_RS03400	DR090_RS04535
OG0000337	VQY17_RS03575	DR090_RS01210
OG0000338	VQY17_RS03615	DR090_RS01250
OG0000339	VQY17_RS02340	DR090_RS03290
OG0000340	VQY17_RS01330	DR090_RS03610
OG0000341	VQY17_RS02295	DR090_RS03365
OG0000342	VQY17_RS00730	DR090_RS00100
OG0000343	VQY17_RS03120	DR090_RS02160
OG0000344	VQY17_RS00575	DR090_RS02735
OG0000345	VQY17_RS01055	DR090_RS01770
OG0000346	VQY17_RS03405	DR090_RS02285
OG0000347	VQY17_RS01425	DR090_RS02525
OG0000348	VQY17_RS00810	DR090_RS00025
OG0000349	VQY17_RS03470	DR090_RS04545
OG0000350	VQY17_RS02735	DR090_RS01530
OG0000351	VQY17_RS00495	DR090_RS00455
OG0000352	VQY17_RS02010	DR090_RS01010
OG0000353	VQY17_RS01390	DR090_RS02495
OG0000354	VQY17_RS00635	DR090_RS00180
OG0000355	VQY17_RS01985	DR090_RS04360
OG0000356	VQY17_RS02065	DR090_RS04365
OG0000357	VQY17_RS03080	DR090_RS04510
OG0000358	VQY17_RS03085	DR090_RS02125
OG0000359	VQY17_RS00780	DR090_RS04320
OG0000360	VQY17_RS00280	DR090_RS00675
OG0000361	VQY17_RS00310	DR090_RS00645
OG0000362	VQY17_RS02535	DR090_RS02795
OG0000363	VQY17_RS01465	DR090_RS02850
OG0000364	VQY17_RS01955, VQY17_RS01960	DR090_RS00955
OG0000365	VQY17_RS02110	DR090_RS04390
OG0000366	VQY17_RS02140	DR090_RS02895
OG0000367	VQY17_RS02150	DR090_RS02905
OG0000368	VQY17_RS00060	DR090_RS01315
OG0000369	VQY17_RS00025	DR090_RS04415
OG0000370	VQY17_RS00020	DR090_RS01275
OG0000371	VQY17_RS00015	DR090_RS01270
OG0000372	VQY17_RS00010	DR090_RS01265
OG0000373	VQY17_RS03605	DR090_RS01240
OG0000374	VQY17_RS03595	DR090_RS01230
OG0000375	VQY17_RS02230	DR090_RS03055
OG0000376	VQY17_RS02380	DR090_RS02665
OG0000377	VQY17_RS02370	DR090_RS02675
OG0000378	VQY17_RS01310	DR090_RS00430
OG0000379	VQY17_RS01385	DR090_RS02490
OG0000380	VQY17_RS01415	DR090_RS02515
OG0000382	VQY17_RS01485	DR090_RS02870
OG0000383	VQY17_RS01525	DR090_RS03155
OG0000384	VQY17_RS00515	DR090_RS03315
OG0000385	VQY17_RS00520	DR090_RS03320
OG0000386	VQY17_RS00540	DR090_RS02700
OG0000387	VQY17_RS00565	DR090_RS02725
OG0000388	VQY17_RS00570	DR090_RS04570
OG0000389	VQY17_RS00615	DR090_RS00200
OG0000390	VQY17_RS02880	DR090_RS01675
OG0000391	VQY17_RS02870	DR090_RS01665
OG0000392	VQY17_RS02845	DR090_RS01640
OG0000393	VQY17_RS02790	DR090_RS04445
OG0000394	VQY17_RS02715	DR090_RS01505
OG0000395	VQY17_RS02710	DR090_RS01500
OG0000396	VQY17_RS02425	DR090_RS02560
OG0000397	VQY17_RS01995	DR090_RS00995
OG0000398	VQY17_RS02000	DR090_RS01000
OG0000399	VQY17_RS02045	DR090_RS01045
OG0000400	VQY17_RS03045	DR090_RS02080
OG0000401	VQY17_RS03105	DR090_RS02145
OG0000402	VQY17_RS03115	DR090_RS02155
OG0000403	VQY17_RS03125	DR090_RS02165
OG0000404	VQY17_RS03150	DR090_RS02195
OG0000405	VQY17_RS03165	DR090_RS02210
OG0000406	VQY17_RS03230	DR090_RS02060
OG0000407	VQY17_RS03235	DR090_RS04505
OG0000408	VQY17_RS03240	DR090_RS02050
OG0000409	VQY17_RS03245	DR090_RS02045
OG0000410	VQY17_RS03310	DR090_RS01990
OG0000411	VQY17_RS03300	DR090_RS02000
OG0000412	VQY17_RS03295	DR090_RS02005
OG0000413	VQY17_RS01540	DR090_RS03170
OG0000414	VQY17_RS01550	DR090_RS03180
OG0000415	VQY17_RS01555	DR090_RS03185
OG0000416	VQY17_RS01565	DR090_RS03195
OG0000418	VQY17_RS02285	DR090_RS03390
OG0000419	VQY17_RS00710	DR090_RS00120
OG0000420	VQY17_RS00745	DR090_RS00085
OG0000421	VQY17_RS00785	DR090_RS00050
OG0000422	VQY17_RS00795	DR090_RS00040
OG0000423	VQY17_RS00850	DR090_RS01945
OG0000424	VQY17_RS00855	DR090_RS01940
OG0000425	VQY17_RS00865	DR090_RS01930
OG0000426	VQY17_RS00870	DR090_RS04465
OG0000427	VQY17_RS00900	DR090_RS04460
OG0000428	VQY17_RS00925	DR090_RS01875
OG0000429	VQY17_RS01045	DR090_RS01780
OG0000430	VQY17_RS01090	DR090_RS01735
OG0000431	VQY17_RS01100	DR090_RS01725
OG0000432	VQY17_RS01130	DR090_RS00230
OG0000433	VQY17_RS01145	DR090_RS00245
OG0000434	VQY17_RS01150	DR090_RS00250
OG0000435	VQY17_RS01170	DR090_RS00265
OG0000436	VQY17_RS01195	DR090_RS00295
OG0000438	VQY17_RS01210	DR090_RS00310
OG0000439	VQY17_RS01215	DR090_RS04330
OG0000440	VQY17_RS02940	DR090_RS04580
OG0000441	VQY17_RS02975	DR090_RS02950
OG0000442	VQY17_RS00145	DR090_RS04215
OG0000443	VQY17_RS00190	DR090_RS00765
OG0000444	VQY17_RS00205	DR090_RS00750
OG0000445	VQY17_RS00230	DR090_RS00725
OG0000446	VQY17_RS00260	DR090_RS00695
OG0000447	VQY17_RS00265	DR090_RS00690
OG0000448	VQY17_RS00295	DR090_RS00660
OG0000449	VQY17_RS00320	DR090_RS00635
OG0000450	VQY17_RS00330	DR090_RS00625
OG0000451	VQY17_RS00370	DR090_RS00585
OG0000452	VQY17_RS00395	DR090_RS00560
OG0000453	VQY17_RS00430	DR090_RS00525
OG0000455	VQY17_RS03515	DR090_RS01150
OG0000456	VQY17_RS03390	DR090_RS02270
OG0000458	VQY17_RS02505	DR090_RS02825
OG0000459	VQY17_RS02530	DR090_RS02800
OG0000460	VQY17_RS02540	DR090_RS02790
OG0000461	VQY17_RS02585	DR090_RS01375
OG0000462	VQY17_RS02580	DR090_RS01370
OG0000463	VQY17_RS02575	DR090_RS01365
OG0000464	VQY17_RS02570	DR090_RS02760
OG0000465	VQY17_RS02565	DR090_RS02765
OG0000466	VQY17_RS00400	DR090_RS00555
OG0000467	VQY17_RS02665	DR090_RS04425
OG0000468	VQY17_RS02040	DR090_RS01040
OG0000469	VQY17_RS02100	DR090_RS01100
OG0000470	VQY17_RS00845	DR090_RS03685
OG0000471	VQY17_RS00930	DR090_RS01870
OG0000472	VQY17_RS03320	DR090_RS01980
OG0000473	VQY17_RS03500	DR090_RS01135
OG0000474	VQY17_RS03505	DR090_RS01140
OG0000475	VQY17_RS03510	DR090_RS01145
OG0000476	VQY17_RS01575	DR090_RS03205
OG0000477	VQY17_RS02610	DR090_RS01400
OG0000478	VQY17_RS03445	DR090_RS02320
OG0000479	VQY17_RS01345	DR090_RS02450
OG0000480	VQY17_RS02105	DR090_RS03680
OG0000481	VQY17_RS00820	DR090_RS00015
OG0000482	VQY17_RS01235	DR090_RS00345
OG0000483	VQY17_RS02155	DR090_RS02910
OG0000484	VQY17_RS00200	DR090_RS04355
OG0000485	VQY17_RS01205	DR090_RS00300
OG0000486	VQY17_RS02310	DR090_RS03385
OG0000487	VQY17_RS02080	DR090_RS04375
OG0000488	VQY17_RS02120	DR090_RS02880
OG0000489	VQY17_RS00050	DR090_RS01305
OG0000490	VQY17_RS03610	DR090_RS01245
OG0000491	VQY17_RS01365	DR090_RS02470
OG0000492	VQY17_RS01445	DR090_RS02545
OG0000493	VQY17_RS00580	DR090_RS02740
OG0000494	VQY17_RS00640	DR090_RS00175
OG0000495	VQY17_RS02815	DR090_RS01610
OG0000496	VQY17_RS02805	DR090_RS01600
OG0000497	VQY17_RS02800	DR090_RS01595
OG0000498	VQY17_RS02720	DR090_RS01510
OG0000499	VQY17_RS02685	DR090_RS01475
OG0000500	VQY17_RS02005	DR090_RS01005
OG0000501	VQY17_RS03055	DR090_RS02090
OG0000502	VQY17_RS01225	DR090_RS00335
OG0000503	VQY17_RS00760	DR090_RS00070
OG0000504	VQY17_RS00905	DR090_RS01895
OG0000505	VQY17_RS00965	DR090_RS01860
OG0000506	VQY17_RS00975	DR090_RS01850
OG0000507	VQY17_RS01010	DR090_RS01815
OG0000508	VQY17_RS00255	DR090_RS00700
OG0000509	VQY17_RS00290	DR090_RS00665
OG0000510	VQY17_RS00305	DR090_RS00655
OG0000511	VQY17_RS00435	DR090_RS00520
OG0000512	VQY17_RS02545	DR090_RS02785
OG0000513	VQY17_RS03425	DR090_RS02305
OG0000514	VQY17_RS02840	DR090_RS01635
OG0000515	VQY17_RS01590	DR090_RS00910
OG0000516	VQY17_RS02085	DR090_RS04380
OG0000517	VQY17_RS00065	DR090_RS01320
OG0000518	VQY17_RS03095	DR090_RS02135
OG0000519	VQY17_RS00790	DR090_RS00045
OG0000520	VQY17_RS00920	DR090_RS01880
OG0000521	VQY17_RS00270	DR090_RS00685
OG0000523	VQY17_RS03360	DR090_RS02240
OG0000524	VQY17_RS02660	DR090_RS01450
OG0000525	VQY17_RS03325	DR090_RS04485
OG0000526	VQY17_RS01905	DR090_RS03810
OG0000527	VQY17_RS01825	DR090_RS00830
OG0000528	VQY17_RS02090	DR090_RS04385
OG0000529	VQY17_RS02245	DR090_RS03040
OG0000530	VQY17_RS02350	DR090_RS03305
OG0000531	VQY17_RS01420	DR090_RS02520
OG0000532	VQY17_RS01660	DR090_RS03210
OG0000533	VQY17_RS00600	DR090_RS00215
OG0000534	VQY17_RS00385	DR090_RS00570
OG0000535	VQY17_RS00045	DR090_RS04420
