Orthogroup	MHP_Ue273_genes	MFC_MF22_genes
OG0000078	VQY17_RS01715	DR094_RS00235
OG0000079	VQY17_RS02550	DR094_RS00130
OG0000080	VQY17_RS02595	DR094_RS03080
OG0000081	VQY17_RS00340	DR094_RS00795
OG0000082	VQY17_RS02400	DR094_RS00070
OG0000083	VQY17_RS02095	DR094_RS02715
OG0000084	VQY17_RS02125	DR094_RS02645
OG0000085	VQY17_RS02135	DR094_RS02650
OG0000086	VQY17_RS02145	DR094_RS03780
OG0000087	VQY17_RS02160	DR094_RS02675
OG0000088	VQY17_RS02165	DR094_RS02680
OG0000089	VQY17_RS02175	DR094_RS02690
OG0000090	VQY17_RS00070	DR094_RS01020
OG0000091	VQY17_RS00055	DR094_RS01035
OG0000092	VQY17_RS00040	DR094_RS01050
OG0000093	VQY17_RS00035	DR094_RS01055
OG0000094	VQY17_RS00030	DR094_RS01060
OG0000095	VQY17_RS00005	DR094_RS01085
OG0000096	VQY17_RS03620	DR094_RS01090
OG0000097	VQY17_RS03600	DR094_RS01110
OG0000098	VQY17_RS03590	DR094_RS01120
OG0000099	VQY17_RS03540	DR094_RS01175
OG0000100	VQY17_RS03525	DR094_RS01185
OG0000101	VQY17_RS03520	DR094_RS01190
OG0000102	VQY17_RS01750	DR094_RS01200
OG0000103	VQY17_RS02220	DR094_RS02040
OG0000104	VQY17_RS02225	DR094_RS02045
OG0000105	VQY17_RS02240	DR094_RS02060
OG0000106	VQY17_RS02250	DR094_RS02070
OG0000107	VQY17_RS02260	DR094_RS02080
OG0000108	VQY17_RS02265	DR094_RS02085
OG0000109	VQY17_RS02270	DR094_RS02090
OG0000110	VQY17_RS02390	DR094_RS02095
OG0000111	VQY17_RS02385	DR094_RS02100
OG0000112	VQY17_RS02375	DR094_RS02110
OG0000113	VQY17_RS02355	DR094_RS03730
OG0000114	VQY17_RS02345	DR094_RS02135
OG0000115	VQY17_RS02335	DR094_RS02145
OG0000116	VQY17_RS01315	DR094_RS02155
OG0000117	VQY17_RS01320	DR094_RS02160
OG0000118	VQY17_RS01355	DR094_RS02190
OG0000119	VQY17_RS01360	DR094_RS02195
OG0000120	VQY17_RS01375	DR094_RS02210
OG0000121	VQY17_RS01405	DR094_RS02235
OG0000122	VQY17_RS01410	DR094_RS02240
OG0000123	VQY17_RS01430	DR094_RS02260
OG0000124	VQY17_RS01435	DR094_RS02265
OG0000125	VQY17_RS01440	DR094_RS02270
OG0000126	VQY17_RS01455	DR094_RS02280
OG0000127	VQY17_RS01460	DR094_RS02290
OG0000128	VQY17_RS01475	DR094_RS02750
OG0000129	VQY17_RS01480	DR094_RS02755
OG0000130	VQY17_RS01490	DR094_RS02765
OG0000131	VQY17_RS01520	DR094_RS02795
OG0000132	VQY17_RS01535	DR094_RS03810
OG0000133	VQY17_RS00530	DR094_RS00615
OG0000134	VQY17_RS00535	DR094_RS03565
OG0000135	VQY17_RS00550	DR094_RS00595
OG0000136	VQY17_RS00555	DR094_RS00590
OG0000137	VQY17_RS00595	DR094_RS00560
OG0000138	VQY17_RS00620	DR094_RS00535
OG0000139	VQY17_RS00650	DR094_RS00505
OG0000140	VQY17_RS00655	DR094_RS00500
OG0000141	VQY17_RS02915	DR094_RS00475
OG0000142	VQY17_RS02910	DR094_RS03550
OG0000143	VQY17_RS02885	DR094_RS00445
OG0000144	VQY17_RS02875	DR094_RS00435
OG0000145	VQY17_RS02865	DR094_RS00425
OG0000146	VQY17_RS02855	DR094_RS00415
OG0000147	VQY17_RS02850	DR094_RS00410
OG0000148	VQY17_RS02835	DR094_RS00395
OG0000149	VQY17_RS02825	DR094_RS00385
OG0000150	VQY17_RS02810	DR094_RS00370
OG0000151	VQY17_RS02760	DR094_RS00315
OG0000152	VQY17_RS02755	DR094_RS00310
OG0000153	VQY17_RS02750	DR094_RS00305
OG0000154	VQY17_RS02740	DR094_RS00295
OG0000155	VQY17_RS02705	DR094_RS00275
OG0000156	VQY17_RS02695	DR094_RS00260
OG0000157	VQY17_RS02690	DR094_RS03545
OG0000158	VQY17_RS02680	DR094_RS03540
OG0000159	VQY17_RS02460	DR094_RS00020
OG0000160	VQY17_RS02455	DR094_RS00015
OG0000161	VQY17_RS02450	DR094_RS00010
OG0000162	VQY17_RS02440	DR094_RS02560
OG0000163	VQY17_RS02435	DR094_RS02565
OG0000164	VQY17_RS01640	DR094_RS03770
OG0000165	VQY17_RS02015	DR094_RS02890
OG0000166	VQY17_RS02035	DR094_RS02910
OG0000167	VQY17_RS02050	DR094_RS02925
OG0000168	VQY17_RS02055	DR094_RS02930
OG0000169	VQY17_RS03035	DR094_RS01830
OG0000170	VQY17_RS03050	DR094_RS01845
OG0000171	VQY17_RS03060	DR094_RS01855
OG0000172	VQY17_RS03065	DR094_RS01860
OG0000173	VQY17_RS03070	DR094_RS01865
OG0000174	VQY17_RS03075	DR094_RS01870
OG0000175	VQY17_RS03090	DR094_RS01885
OG0000176	VQY17_RS03135	DR094_RS01925
OG0000177	VQY17_RS03140	DR094_RS01930
OG0000178	VQY17_RS03145	DR094_RS01935
OG0000179	VQY17_RS03155	DR094_RS01945
OG0000180	VQY17_RS03160	DR094_RS01950
OG0000181	VQY17_RS03210	DR094_RS03710
OG0000182	VQY17_RS03220	DR094_RS01975
OG0000183	VQY17_RS03255	DR094_RS02010
OG0000184	VQY17_RS03305	DR094_RS02865
OG0000185	VQY17_RS03290	DR094_RS02880
OG0000186	VQY17_RS01545	DR094_RS02535
OG0000187	VQY17_RS01560	DR094_RS02520
OG0000188	VQY17_RS01570	DR094_RS02510
OG0000189	VQY17_RS02305	DR094_RS03755
OG0000190	VQY17_RS02300	DR094_RS02495
OG0000191	VQY17_RS02280	DR094_RS02475
OG0000192	VQY17_RS01240	DR094_RS02465
OG0000193	VQY17_RS01230	DR094_RS02450
OG0000194	VQY17_RS00690	DR094_RS02440
OG0000195	VQY17_RS00695	DR094_RS02435
OG0000196	VQY17_RS00715	DR094_RS03750
OG0000197	VQY17_RS00720	DR094_RS02410
OG0000198	VQY17_RS00735	DR094_RS02395
OG0000199	VQY17_RS00740	DR094_RS02390
OG0000200	VQY17_RS00755	DR094_RS02375
OG0000201	VQY17_RS00765	DR094_RS02365
OG0000202	VQY17_RS00825	DR094_RS02310
OG0000203	VQY17_RS00830	DR094_RS02305
OG0000204	VQY17_RS00835	DR094_RS03670
OG0000205	VQY17_RS00840	DR094_RS01420
OG0000206	VQY17_RS00860	DR094_RS01440
OG0000207	VQY17_RS00875	DR094_RS01455
OG0000208	VQY17_RS00880	DR094_RS01460
OG0000209	VQY17_RS00885	DR094_RS01465
OG0000210	VQY17_RS00935	DR094_RS01510
OG0000211	VQY17_RS00970	DR094_RS01520
OG0000212	VQY17_RS00980	DR094_RS01530
OG0000213	VQY17_RS00985	DR094_RS01535
OG0000214	VQY17_RS00990	DR094_RS01540
OG0000215	VQY17_RS00995	DR094_RS01545
OG0000216	VQY17_RS01000	DR094_RS01550
OG0000217	VQY17_RS01005	DR094_RS01555
OG0000218	VQY17_RS01015	DR094_RS03690
OG0000219	VQY17_RS01020	DR094_RS01570
OG0000220	VQY17_RS01025	DR094_RS01575
OG0000221	VQY17_RS01030	DR094_RS01580
OG0000222	VQY17_RS01035	DR094_RS01585
OG0000223	VQY17_RS01040	DR094_RS01590
OG0000224	VQY17_RS01050	DR094_RS01600
OG0000225	VQY17_RS01060	DR094_RS01610
OG0000226	VQY17_RS01065	DR094_RS01615
OG0000227	VQY17_RS01070	DR094_RS01620
OG0000228	VQY17_RS01075	DR094_RS03855
OG0000229	VQY17_RS01080	DR094_RS01630
OG0000230	VQY17_RS01085	DR094_RS01635
OG0000231	VQY17_RS01095	DR094_RS01645
OG0000232	VQY17_RS01105	DR094_RS01655
OG0000233	VQY17_RS01125	DR094_RS01665
OG0000234	VQY17_RS01165	DR094_RS01695
OG0000235	VQY17_RS01175	DR094_RS01705
OG0000236	VQY17_RS01180	DR094_RS01710
OG0000237	VQY17_RS01185	DR094_RS01730
OG0000238	VQY17_RS01190	DR094_RS01735
OG0000239	VQY17_RS02930	DR094_RS01765
OG0000240	VQY17_RS02935	DR094_RS01770
OG0000241	VQY17_RS02945	DR094_RS01780
OG0000242	VQY17_RS02950	DR094_RS01785
OG0000243	VQY17_RS02955	DR094_RS01790
OG0000244	VQY17_RS02965	DR094_RS01800
OG0000245	VQY17_RS02970	DR094_RS01810
OG0000246	VQY17_RS00140	DR094_RS01005
OG0000247	VQY17_RS00150	DR094_RS00995
OG0000248	VQY17_RS00160	DR094_RS00970
OG0000249	VQY17_RS00165	DR094_RS00965
OG0000250	VQY17_RS00180	DR094_RS00950
OG0000251	VQY17_RS00210	DR094_RS00920
OG0000252	VQY17_RS00220	DR094_RS00910
OG0000253	VQY17_RS00225	DR094_RS00905
OG0000254	VQY17_RS00235	DR094_RS00895
OG0000255	VQY17_RS00245	DR094_RS00890
OG0000256	VQY17_RS00250	DR094_RS00885
OG0000257	VQY17_RS00275	DR094_RS00860
OG0000258	VQY17_RS00285	DR094_RS00850
OG0000259	VQY17_RS00315	DR094_RS00820
OG0000260	VQY17_RS00325	DR094_RS00810
OG0000261	VQY17_RS00335	DR094_RS03570
OG0000262	VQY17_RS00350	DR094_RS00785
OG0000263	VQY17_RS00365	DR094_RS00770
OG0000264	VQY17_RS00380	DR094_RS00755
OG0000265	VQY17_RS00390	DR094_RS00745
OG0000266	VQY17_RS00405	DR094_RS00730
OG0000267	VQY17_RS00420	DR094_RS00715
OG0000268	VQY17_RS00425	DR094_RS00710
OG0000269	VQY17_RS00440	DR094_RS00695
OG0000270	VQY17_RS03495	DR094_RS03620
OG0000271	VQY17_RS03490	DR094_RS01250
OG0000272	VQY17_RS03485	DR094_RS01255
OG0000273	VQY17_RS03480	DR094_RS01260
OG0000274	VQY17_RS03460	DR094_RS01280
OG0000275	VQY17_RS03455	DR094_RS03625
OG0000276	VQY17_RS03450	DR094_RS01290
OG0000277	VQY17_RS03435	DR094_RS03630
OG0000278	VQY17_RS03430	DR094_RS01305
OG0000279	VQY17_RS03420	DR094_RS01315
OG0000280	VQY17_RS03415	DR094_RS01320
OG0000281	VQY17_RS03410	DR094_RS01325
OG0000282	VQY17_RS03380	DR094_RS01350
OG0000283	VQY17_RS03375	DR094_RS01355
OG0000284	VQY17_RS03370	DR094_RS01360
OG0000285	VQY17_RS03365	DR094_RS03645
OG0000286	VQY17_RS02420	DR094_RS00065
OG0000287	VQY17_RS02510	DR094_RS00090
OG0000288	VQY17_RS02520	DR094_RS00100
OG0000289	VQY17_RS02525	DR094_RS00105
OG0000290	VQY17_RS02635	DR094_RS00215
OG0000291	VQY17_RS02625	DR094_RS03090
OG0000292	VQY17_RS02620	DR094_RS00200
OG0000293	VQY17_RS02615	DR094_RS00195
OG0000294	VQY17_RS02605	DR094_RS00185
OG0000295	VQY17_RS02600	DR094_RS00180
OG0000296	VQY17_RS02560	DR094_RS00140
OG0000297	VQY17_RS02555	DR094_RS00135
OG0000298	VQY17_RS00175	DR094_RS00955
OG0000299	VQY17_RS00195	DR094_RS00935
OG0000300	VQY17_RS00375	DR094_RS00760
OG0000301	VQY17_RS00410	DR094_RS00725
OG0000302	VQY17_RS00415	DR094_RS00720
OG0000303	VQY17_RS00560	DR094_RS00585
OG0000304	VQY17_RS01110	DR094_RS00550
OG0000305	VQY17_RS02860	DR094_RS00420
OG0000306	VQY17_RS02785	DR094_RS00340
OG0000307	VQY17_RS02745	DR094_RS00300
OG0000308	VQY17_RS02655	DR094_RS00225
OG0000309	VQY17_RS02590	DR094_RS00170
OG0000310	VQY17_RS02515	DR094_RS00095
OG0000311	VQY17_RS02480	DR094_RS00045
OG0000312	VQY17_RS02465	DR094_RS00025
OG0000313	VQY17_RS01630	DR094_RS02585
OG0000314	VQY17_RS02030	DR094_RS02905
OG0000315	VQY17_RS02060	DR094_RS02935
OG0000316	VQY17_RS02070	DR094_RS02945
OG0000317	VQY17_RS02170	DR094_RS02685
OG0000318	VQY17_RS02075	DR094_RS03800
OG0000319	VQY17_RS02235	DR094_RS02055
OG0000320	VQY17_RS02365	DR094_RS02120
OG0000321	VQY17_RS01350	DR094_RS02185
OG0000322	VQY17_RS01400	DR094_RS02230
OG0000323	VQY17_RS01530	DR094_RS02805
OG0000324	VQY17_RS02275	DR094_RS02470
OG0000325	VQY17_RS00700	DR094_RS02430
OG0000326	VQY17_RS00800	DR094_RS02335
OG0000327	VQY17_RS00805	DR094_RS02330
OG0000328	VQY17_RS00890	DR094_RS01470
OG0000329	VQY17_RS00915	DR094_RS01490
OG0000330	VQY17_RS01135	DR094_RS01675
OG0000331	VQY17_RS02960	DR094_RS01795
OG0000332	VQY17_RS03100	DR094_RS01895
OG0000333	VQY17_RS03110	DR094_RS01905
OG0000334	VQY17_RS03215	DR094_RS01970
OG0000335	VQY17_RS03225	DR094_RS03715
OG0000336	VQY17_RS03400	DR094_RS03640
OG0000337	VQY17_RS03575	DR094_RS01135
OG0000338	VQY17_RS03615	DR094_RS01095
OG0000339	VQY17_RS02340	DR094_RS02140
OG0000340	VQY17_RS01330	DR094_RS02165
OG0000341	VQY17_RS02295	DR094_RS02490
OG0000342	VQY17_RS00730	DR094_RS02400
OG0000343	VQY17_RS03120	DR094_RS01915
OG0000344	VQY17_RS00575	DR094_RS00570
OG0000345	VQY17_RS01055	DR094_RS01605
OG0000346	VQY17_RS03405	DR094_RS03635
OG0000347	VQY17_RS01425	DR094_RS02255
OG0000348	VQY17_RS00810	DR094_RS03740
OG0000349	VQY17_RS03470	DR094_RS01270
OG0000350	VQY17_RS02735	DR094_RS00335
OG0000351	VQY17_RS00495	DR094_RS00635
OG0000352	VQY17_RS02010	DR094_RS02885
OG0000353	VQY17_RS01390	DR094_RS02225
OG0000354	VQY17_RS00635	DR094_RS00520
OG0000355	VQY17_RS01985	DR094_RS03775
OG0000356	VQY17_RS02065	DR094_RS03825
OG0000357	VQY17_RS03080	DR094_RS03700
OG0000358	VQY17_RS03085	DR094_RS01880
OG0000359	VQY17_RS00780	DR094_RS03745
OG0000360	VQY17_RS00280	DR094_RS00855
OG0000361	VQY17_RS00310	DR094_RS00825
OG0000362	VQY17_RS02535	DR094_RS00115
OG0000363	VQY17_RS01465	DR094_RS02300
OG0000365	VQY17_RS02110	DR094_RS03785
OG0000366	VQY17_RS02140	DR094_RS02655
OG0000367	VQY17_RS02150	DR094_RS02665
OG0000368	VQY17_RS00060	DR094_RS01030
OG0000369	VQY17_RS00025	DR094_RS03585
OG0000370	VQY17_RS00020	DR094_RS01070
OG0000371	VQY17_RS00015	DR094_RS01075
OG0000372	VQY17_RS00010	DR094_RS01080
OG0000373	VQY17_RS03605	DR094_RS01105
OG0000374	VQY17_RS03595	DR094_RS01115
OG0000375	VQY17_RS02230	DR094_RS02050
OG0000376	VQY17_RS02380	DR094_RS02105
OG0000377	VQY17_RS02370	DR094_RS02115
OG0000378	VQY17_RS01310	DR094_RS02150
OG0000379	VQY17_RS01385	DR094_RS02220
OG0000380	VQY17_RS01415	DR094_RS02245
OG0000382	VQY17_RS01485	DR094_RS02760
OG0000383	VQY17_RS01525	DR094_RS02800
OG0000384	VQY17_RS00515	DR094_RS00630
OG0000385	VQY17_RS00520	DR094_RS00625
OG0000386	VQY17_RS00540	DR094_RS00605
OG0000387	VQY17_RS00565	DR094_RS00580
OG0000388	VQY17_RS00570	DR094_RS03560
OG0000389	VQY17_RS00615	DR094_RS00540
OG0000390	VQY17_RS02880	DR094_RS00440
OG0000391	VQY17_RS02870	DR094_RS00430
OG0000392	VQY17_RS02845	DR094_RS00405
OG0000393	VQY17_RS02790	DR094_RS00350
OG0000394	VQY17_RS02715	DR094_RS00285
OG0000395	VQY17_RS02710	DR094_RS00280
OG0000396	VQY17_RS02425	DR094_RS02575
OG0000397	VQY17_RS01995	DR094_RS02620
OG0000398	VQY17_RS02000	DR094_RS02625
OG0000399	VQY17_RS02045	DR094_RS02920
OG0000400	VQY17_RS03045	DR094_RS01840
OG0000401	VQY17_RS03105	DR094_RS01900
OG0000402	VQY17_RS03115	DR094_RS01910
OG0000403	VQY17_RS03125	DR094_RS01920
OG0000404	VQY17_RS03150	DR094_RS03705
OG0000405	VQY17_RS03165	DR094_RS01955
OG0000406	VQY17_RS03230	DR094_RS01985
OG0000407	VQY17_RS03235	DR094_RS03720
OG0000408	VQY17_RS03240	DR094_RS01995
OG0000409	VQY17_RS03245	DR094_RS02000
OG0000410	VQY17_RS03310	DR094_RS02860
OG0000411	VQY17_RS03300	DR094_RS02870
OG0000412	VQY17_RS03295	DR094_RS02875
OG0000413	VQY17_RS01540	DR094_RS02540
OG0000414	VQY17_RS01550	DR094_RS02530
OG0000415	VQY17_RS01555	DR094_RS02525
OG0000416	VQY17_RS01565	DR094_RS02515
OG0000417	VQY17_RS02290	DR094_RS02485
OG0000418	VQY17_RS02285	DR094_RS02480
OG0000419	VQY17_RS00710	DR094_RS02420
OG0000420	VQY17_RS00745	DR094_RS02385
OG0000421	VQY17_RS00785	DR094_RS02350
OG0000422	VQY17_RS00795	DR094_RS02340
OG0000423	VQY17_RS00850	DR094_RS01430
OG0000424	VQY17_RS00855	DR094_RS01435
OG0000425	VQY17_RS00865	DR094_RS01445
OG0000426	VQY17_RS00870	DR094_RS03675
OG0000427	VQY17_RS00900	DR094_RS03680
OG0000428	VQY17_RS00925	DR094_RS01500
OG0000429	VQY17_RS01045	DR094_RS01595
OG0000430	VQY17_RS01090	DR094_RS01640
OG0000431	VQY17_RS01100	DR094_RS01650
OG0000432	VQY17_RS01130	DR094_RS01670
OG0000433	VQY17_RS01145	DR094_RS01680
OG0000434	VQY17_RS01150	DR094_RS01685
OG0000435	VQY17_RS01170	DR094_RS01700
OG0000436	VQY17_RS01195	DR094_RS01740
OG0000438	VQY17_RS01210	DR094_RS03695
OG0000439	VQY17_RS01215	DR094_RS01760
OG0000440	VQY17_RS02940	DR094_RS01775
OG0000441	VQY17_RS02975	DR094_RS01815
OG0000442	VQY17_RS00145	DR094_RS01000
OG0000443	VQY17_RS00190	DR094_RS00940
OG0000444	VQY17_RS00205	DR094_RS00925
OG0000445	VQY17_RS00230	DR094_RS00900
OG0000446	VQY17_RS00260	DR094_RS00875
OG0000447	VQY17_RS00265	DR094_RS00870
OG0000448	VQY17_RS00295	DR094_RS00840
OG0000449	VQY17_RS00320	DR094_RS00815
OG0000450	VQY17_RS00330	DR094_RS00805
OG0000451	VQY17_RS00370	DR094_RS00765
OG0000452	VQY17_RS00395	DR094_RS00740
OG0000453	VQY17_RS00430	DR094_RS00705
OG0000455	VQY17_RS03515	DR094_RS03615
OG0000456	VQY17_RS03390	DR094_RS01345
OG0000458	VQY17_RS02505	DR094_RS00085
OG0000459	VQY17_RS02530	DR094_RS00110
OG0000460	VQY17_RS02540	DR094_RS00120
OG0000461	VQY17_RS02585	DR094_RS00165
OG0000462	VQY17_RS02580	DR094_RS00160
OG0000463	VQY17_RS02575	DR094_RS00155
OG0000464	VQY17_RS02570	DR094_RS00150
OG0000465	VQY17_RS02565	DR094_RS00145
OG0000466	VQY17_RS00400	DR094_RS00735
OG0000467	VQY17_RS02665	DR094_RS03535
OG0000468	VQY17_RS02040	DR094_RS02915
OG0000469	VQY17_RS02100	DR094_RS02710
OG0000470	VQY17_RS00845	DR094_RS01425
OG0000471	VQY17_RS00930	DR094_RS01505
OG0000472	VQY17_RS03320	DR094_RS01405
OG0000473	VQY17_RS03500	DR094_RS01240
OG0000474	VQY17_RS03505	DR094_RS01235
OG0000475	VQY17_RS03510	DR094_RS01230
OG0000476	VQY17_RS01575	DR094_RS01195
OG0000477	VQY17_RS02610	DR094_RS00190
OG0000478	VQY17_RS03445	DR094_RS01295
OG0000479	VQY17_RS01345	DR094_RS02180
OG0000480	VQY17_RS02105	DR094_RS03065
OG0000481	VQY17_RS00820	DR094_RS02315
OG0000482	VQY17_RS01235	DR094_RS02455
OG0000483	VQY17_RS02155	DR094_RS02670
OG0000484	VQY17_RS00200	DR094_RS03575
OG0000485	VQY17_RS01205	DR094_RS01745
OG0000486	VQY17_RS02310	DR094_RS02505
OG0000487	VQY17_RS02080	DR094_RS03795
OG0000488	VQY17_RS02120	DR094_RS02640
OG0000489	VQY17_RS00050	DR094_RS01040
OG0000490	VQY17_RS03610	DR094_RS01100
OG0000491	VQY17_RS01365	DR094_RS02200
OG0000492	VQY17_RS01445	DR094_RS02275
OG0000493	VQY17_RS00580	DR094_RS00565
OG0000494	VQY17_RS00640	DR094_RS00515
OG0000495	VQY17_RS02815	DR094_RS00375
OG0000496	VQY17_RS02805	DR094_RS00365
OG0000497	VQY17_RS02800	DR094_RS00360
OG0000498	VQY17_RS02720	DR094_RS00290
OG0000499	VQY17_RS02685	DR094_RS00250
OG0000500	VQY17_RS02005	DR094_RS02630
OG0000501	VQY17_RS03055	DR094_RS01850
OG0000502	VQY17_RS01225	DR094_RS02445
OG0000503	VQY17_RS00760	DR094_RS02370
OG0000504	VQY17_RS00905	DR094_RS01480
OG0000505	VQY17_RS00965	DR094_RS01515
OG0000506	VQY17_RS00975	DR094_RS01525
OG0000507	VQY17_RS01010	DR094_RS01560
OG0000508	VQY17_RS00255	DR094_RS00880
OG0000509	VQY17_RS00290	DR094_RS00845
OG0000510	VQY17_RS00305	DR094_RS00835
OG0000511	VQY17_RS00435	DR094_RS00700
OG0000512	VQY17_RS02545	DR094_RS00125
OG0000513	VQY17_RS03425	DR094_RS01310
OG0000514	VQY17_RS02840	DR094_RS00400
OG0000516	VQY17_RS02085	DR094_RS02725
OG0000517	VQY17_RS00065	DR094_RS01025
OG0000518	VQY17_RS03095	DR094_RS01890
OG0000519	VQY17_RS00790	DR094_RS02345
OG0000520	VQY17_RS00920	DR094_RS01495
OG0000521	VQY17_RS00270	DR094_RS00865
OG0000523	VQY17_RS03360	DR094_RS01375
OG0000524	VQY17_RS02660	DR094_RS00230
OG0000525	VQY17_RS03325	DR094_RS03660
OG0000528	VQY17_RS02090	DR094_RS03790
OG0000529	VQY17_RS02245	DR094_RS02065
OG0000530	VQY17_RS02350	DR094_RS02130
OG0000531	VQY17_RS01420	DR094_RS02250
OG0000533	VQY17_RS00600	DR094_RS01660
OG0000534	VQY17_RS00385	DR094_RS00750
OG0000535	VQY17_RS00045	DR094_RS01045
OG0000536	VQY17_RS03545	DR094_RS01170
OG0000537	VQY17_RS00725	DR094_RS02405
OG0000538	VQY17_RS01160	DR094_RS01690
OG0000539	VQY17_RS00215	DR094_RS00915
OG0000541	VQY17_RS02700	DR094_RS00265
OG0000542	VQY17_RS00355	DR094_RS00780
OG0000547	VQY17_RS02895	DR094_RS00450
OG0000548	VQY17_RS01625	DR094_RS02580
OG0000549	VQY17_RS03315	DR094_RS03665
OG0000550	VQY17_RS03465	DR094_RS01275
OG0000596	VQY17_RS01785	DR094_RS00980
OG0000598	VQY17_RS01790	DR094_RS00985
OG0000599	VQY17_RS01795	DR094_RS00990
OG0000602	VQY17_RS02115	DR094_RS02635
