Orthogroup	MHP_Ue273_genes	MFC_Ms42_genes
OG0000071	VQY17_RS03260	MYF_RS02760
OG0000072	VQY17_RS03265	MYF_RS02765
OG0000073	VQY17_RS00705	MYF_RS02005
OG0000074	VQY17_RS00910	MYF_RS02195
OG0000077	VQY17_RS00445	MYF_RS00410
OG0000078	VQY17_RS01715	MYF_RS00880
OG0000079	VQY17_RS02550	MYF_RS01050
OG0000080	VQY17_RS02595	MYF_RS01000, MYF_RS03365
OG0000081	VQY17_RS00340	MYF_RS00300
OG0000082	VQY17_RS02400	MYF_RS01110
OG0000083	VQY17_RS02095	MYF_RS01430
OG0000084	VQY17_RS02125	MYF_RS01400
OG0000085	VQY17_RS02135	MYF_RS01395
OG0000086	VQY17_RS02145	MYF_RS01385
OG0000087	VQY17_RS02160	MYF_RS01370
OG0000088	VQY17_RS02165	MYF_RS01365
OG0000089	VQY17_RS02175	MYF_RS01355
OG0000090	VQY17_RS00070	MYF_RS00070
OG0000091	VQY17_RS00055	MYF_RS00055
OG0000092	VQY17_RS00040	MYF_RS00040
OG0000093	VQY17_RS00035	MYF_RS00035
OG0000094	VQY17_RS00030	MYF_RS00030
OG0000095	VQY17_RS00005	MYF_RS00005
OG0000096	VQY17_RS03620	MYF_RS03150
OG0000097	VQY17_RS03600	MYF_RS03130
OG0000098	VQY17_RS03590	MYF_RS03120
OG0000099	VQY17_RS03540	MYF_RS03065
OG0000100	VQY17_RS03525	MYF_RS03050
OG0000101	VQY17_RS03520	MYF_RS03045
OG0000102	VQY17_RS01750	MYF_RS03035
OG0000103	VQY17_RS02220	MYF_RS01540
OG0000104	VQY17_RS02225	MYF_RS01545
OG0000105	VQY17_RS02240	MYF_RS01560
OG0000106	VQY17_RS02250	MYF_RS01570
OG0000107	VQY17_RS02260	MYF_RS01580
OG0000108	VQY17_RS02265	MYF_RS01585
OG0000109	VQY17_RS02270	MYF_RS01590
OG0000110	VQY17_RS02390	MYF_RS01595
OG0000111	VQY17_RS02385	MYF_RS01600
OG0000112	VQY17_RS02375	MYF_RS01610
OG0000113	VQY17_RS02355	MYF_RS01625
OG0000114	VQY17_RS02345	MYF_RS01635
OG0000115	VQY17_RS02335	MYF_RS01645
OG0000116	VQY17_RS01315	MYF_RS01655
OG0000117	VQY17_RS01320	MYF_RS01660
OG0000118	VQY17_RS01355	MYF_RS01690
OG0000119	VQY17_RS01360	MYF_RS01695
OG0000120	VQY17_RS01375	MYF_RS01710
OG0000121	VQY17_RS01405	MYF_RS01735
OG0000122	VQY17_RS01410	MYF_RS01740
OG0000123	VQY17_RS01430	MYF_RS01760
OG0000124	VQY17_RS01435	MYF_RS01765
OG0000125	VQY17_RS01440	MYF_RS01770
OG0000126	VQY17_RS01455	MYF_RS01780
OG0000127	VQY17_RS01460	MYF_RS01790
OG0000128	VQY17_RS01475	MYF_RS01805
OG0000129	VQY17_RS01480	MYF_RS01810
OG0000130	VQY17_RS01490	MYF_RS01820
OG0000131	VQY17_RS01520	MYF_RS01850
OG0000132	VQY17_RS01535	MYF_RS01865
OG0000133	VQY17_RS00530	MYF_RS00485
OG0000134	VQY17_RS00535	MYF_RS00490
OG0000135	VQY17_RS00550	MYF_RS00505
OG0000136	VQY17_RS00555	MYF_RS00510
OG0000137	VQY17_RS00595	MYF_RS00540
OG0000138	VQY17_RS00620	MYF_RS00565
OG0000139	VQY17_RS00650	MYF_RS00595
OG0000140	VQY17_RS00655	MYF_RS00600
OG0000141	VQY17_RS02915	MYF_RS00635
OG0000142	VQY17_RS02910	MYF_RS00640
OG0000143	VQY17_RS02885	MYF_RS00665
OG0000144	VQY17_RS02875	MYF_RS00675
OG0000145	VQY17_RS02865	MYF_RS00685
OG0000146	VQY17_RS02855	MYF_RS00695
OG0000147	VQY17_RS02850	MYF_RS00700
OG0000148	VQY17_RS02835	MYF_RS00715
OG0000149	VQY17_RS02825	MYF_RS00725
OG0000150	VQY17_RS02810	MYF_RS00740
OG0000151	VQY17_RS02760	MYF_RS00795
OG0000152	VQY17_RS02755	MYF_RS00800
OG0000153	VQY17_RS02750	MYF_RS00805
OG0000154	VQY17_RS02740	MYF_RS00815
OG0000155	VQY17_RS02705	MYF_RS00835
OG0000156	VQY17_RS02695	MYF_RS00855
OG0000157	VQY17_RS02690	MYF_RS00860
OG0000158	VQY17_RS02680	MYF_RS00870
OG0000159	VQY17_RS02460	MYF_RS01165
OG0000160	VQY17_RS02455	MYF_RS01170
OG0000161	VQY17_RS02450	MYF_RS01175
OG0000162	VQY17_RS02440	MYF_RS01185
OG0000163	VQY17_RS02435	MYF_RS01190
OG0000164	VQY17_RS01640	MYF_RS01220
OG0000165	VQY17_RS02015	MYF_RS01265
OG0000166	VQY17_RS02035	MYF_RS01285
OG0000167	VQY17_RS02050	MYF_RS01300
OG0000168	VQY17_RS02055	MYF_RS01305
OG0000169	VQY17_RS03035	MYF_RS02560
OG0000170	VQY17_RS03050	MYF_RS02585
OG0000171	VQY17_RS03060	MYF_RS02595
OG0000172	VQY17_RS03065	MYF_RS02600
OG0000173	VQY17_RS03070	MYF_RS02605
OG0000174	VQY17_RS03075	MYF_RS02610
OG0000175	VQY17_RS03090	MYF_RS02625
OG0000176	VQY17_RS03135	MYF_RS02670
OG0000177	VQY17_RS03140	MYF_RS02675
OG0000178	VQY17_RS03145	MYF_RS02680
OG0000179	VQY17_RS03155	MYF_RS02690
OG0000180	VQY17_RS03160	MYF_RS02695
OG0000181	VQY17_RS03210	MYF_RS02710
OG0000182	VQY17_RS03220	MYF_RS02720
OG0000183	VQY17_RS03255	MYF_RS02755
OG0000184	VQY17_RS03305	MYF_RS02785
OG0000185	VQY17_RS03290	MYF_RS02800
OG0000186	VQY17_RS01545	MYF_RS01895
OG0000187	VQY17_RS01560	MYF_RS01910
OG0000188	VQY17_RS01570	MYF_RS01920
OG0000189	VQY17_RS02305	MYF_RS01930
OG0000190	VQY17_RS02300	MYF_RS01935
OG0000191	VQY17_RS02280	MYF_RS01955
OG0000192	VQY17_RS01240	MYF_RS01965
OG0000193	VQY17_RS01230	MYF_RS01980
OG0000194	VQY17_RS00690	MYF_RS01990
OG0000195	VQY17_RS00695	MYF_RS01995
OG0000196	VQY17_RS00715	MYF_RS02015
OG0000197	VQY17_RS00720	MYF_RS02020
OG0000198	VQY17_RS00735	MYF_RS02035
OG0000199	VQY17_RS00740	MYF_RS02040
OG0000200	VQY17_RS00755	MYF_RS02050
OG0000201	VQY17_RS00765	MYF_RS02060
OG0000202	VQY17_RS00825	MYF_RS02115
OG0000203	VQY17_RS00830	MYF_RS02120
OG0000204	VQY17_RS00835	MYF_RS02125
OG0000205	VQY17_RS00840	MYF_RS02130
OG0000206	VQY17_RS00860	MYF_RS02150
OG0000207	VQY17_RS00875	MYF_RS02165
OG0000208	VQY17_RS00880	MYF_RS02170
OG0000209	VQY17_RS00885	MYF_RS02175
OG0000210	VQY17_RS00935	MYF_RS02220
OG0000211	VQY17_RS00970	MYF_RS02230
OG0000212	VQY17_RS00980	MYF_RS02240
OG0000213	VQY17_RS00985	MYF_RS02245
OG0000214	VQY17_RS00990	MYF_RS02250
OG0000215	VQY17_RS00995	MYF_RS02255
OG0000216	VQY17_RS01000	MYF_RS02260
OG0000217	VQY17_RS01005	MYF_RS02265
OG0000218	VQY17_RS01015	MYF_RS02275
OG0000219	VQY17_RS01020	MYF_RS02280
OG0000220	VQY17_RS01025	MYF_RS02285
OG0000221	VQY17_RS01030	MYF_RS02290
OG0000222	VQY17_RS01035	MYF_RS03240
OG0000223	VQY17_RS01040	MYF_RS02295
OG0000224	VQY17_RS01050	MYF_RS02305
OG0000225	VQY17_RS01060	MYF_RS02315
OG0000226	VQY17_RS01065	MYF_RS02320
OG0000227	VQY17_RS01070	MYF_RS02325
OG0000228	VQY17_RS01075	MYF_RS03530
OG0000229	VQY17_RS01080	MYF_RS02335
OG0000230	VQY17_RS01085	MYF_RS02340
OG0000231	VQY17_RS01095	MYF_RS02350
OG0000232	VQY17_RS01105	MYF_RS02360
OG0000233	VQY17_RS01125	MYF_RS02370
OG0000234	VQY17_RS01165	MYF_RS02400
OG0000235	VQY17_RS01175	MYF_RS02410
OG0000236	VQY17_RS01180	MYF_RS02415
OG0000237	VQY17_RS01185	MYF_RS02430
OG0000238	VQY17_RS01190	MYF_RS02435
OG0000239	VQY17_RS02930	MYF_RS02465
OG0000240	VQY17_RS02935	MYF_RS02470
OG0000241	VQY17_RS02945	MYF_RS02480
OG0000242	VQY17_RS02950	MYF_RS02485
OG0000243	VQY17_RS02955	MYF_RS02490
OG0000244	VQY17_RS02965	MYF_RS02500
OG0000245	VQY17_RS02970	MYF_RS02510
OG0000246	VQY17_RS00140	MYF_RS00085
OG0000247	VQY17_RS00150	MYF_RS00095
OG0000248	VQY17_RS00160	MYF_RS00120
OG0000249	VQY17_RS00165	MYF_RS00125
OG0000250	VQY17_RS00180	MYF_RS00140
OG0000251	VQY17_RS00210	MYF_RS00170
OG0000252	VQY17_RS00220	MYF_RS00180
OG0000253	VQY17_RS00225	MYF_RS00185
OG0000254	VQY17_RS00235	MYF_RS00195
OG0000255	VQY17_RS00245	MYF_RS00205
OG0000256	VQY17_RS00250	MYF_RS00210
OG0000257	VQY17_RS00275	MYF_RS00235
OG0000258	VQY17_RS00285	MYF_RS00245
OG0000259	VQY17_RS00315	MYF_RS00275
OG0000260	VQY17_RS00325	MYF_RS00285
OG0000261	VQY17_RS00335	MYF_RS00295
OG0000262	VQY17_RS00350	MYF_RS00310
OG0000263	VQY17_RS00365	MYF_RS00325
OG0000264	VQY17_RS00380	MYF_RS00340
OG0000265	VQY17_RS00390	MYF_RS00350
OG0000266	VQY17_RS00405	MYF_RS00365
OG0000267	VQY17_RS00420	MYF_RS00380
OG0000268	VQY17_RS00425	MYF_RS00385
OG0000269	VQY17_RS00440	MYF_RS00400
OG0000270	VQY17_RS03495	MYF_RS02955
OG0000271	VQY17_RS03490	MYF_RS02950
OG0000272	VQY17_RS03485	MYF_RS02945
OG0000273	VQY17_RS03480	MYF_RS02940
OG0000274	VQY17_RS03460	MYF_RS02920
OG0000275	VQY17_RS03455	MYF_RS02915
OG0000276	VQY17_RS03450	MYF_RS02910
OG0000277	VQY17_RS03435	MYF_RS02900
OG0000278	VQY17_RS03430	MYF_RS02895
OG0000279	VQY17_RS03420	MYF_RS02885
OG0000280	VQY17_RS03415	MYF_RS02880
OG0000281	VQY17_RS03410	MYF_RS03275
OG0000282	VQY17_RS03380	MYF_RS02855
OG0000283	VQY17_RS03375	MYF_RS02850
OG0000284	VQY17_RS03370	MYF_RS02845
OG0000285	VQY17_RS03365	MYF_RS02840
OG0000286	VQY17_RS02420	MYF_RS01115
OG0000287	VQY17_RS02510	MYF_RS01090
OG0000288	VQY17_RS02520	MYF_RS01080
OG0000289	VQY17_RS02525	MYF_RS01075
OG0000290	VQY17_RS02635	MYF_RS00905
OG0000291	VQY17_RS02625	MYF_RS00915
OG0000292	VQY17_RS02620	MYF_RS00920
OG0000293	VQY17_RS02615	MYF_RS00925
OG0000294	VQY17_RS02605	MYF_RS00935
OG0000295	VQY17_RS02600	MYF_RS00940
OG0000296	VQY17_RS02560	MYF_RS01040
OG0000297	VQY17_RS02555	MYF_RS01045
OG0000298	VQY17_RS00175	MYF_RS00135
OG0000299	VQY17_RS00195	MYF_RS00155
OG0000300	VQY17_RS00375	MYF_RS00335
OG0000301	VQY17_RS00410	MYF_RS00370
OG0000302	VQY17_RS00415	MYF_RS00375
OG0000303	VQY17_RS00560	MYF_RS00515
OG0000304	VQY17_RS01110	MYF_RS00545
OG0000305	VQY17_RS02860	MYF_RS00690
OG0000306	VQY17_RS02785	MYF_RS00770
OG0000307	VQY17_RS02745	MYF_RS00810
OG0000308	VQY17_RS02655	MYF_RS00895
OG0000309	VQY17_RS02590	MYF_RS01005
OG0000310	VQY17_RS02515	MYF_RS01085
OG0000311	VQY17_RS02480	MYF_RS01140
OG0000312	VQY17_RS02465	MYF_RS01160
OG0000313	VQY17_RS01630	MYF_RS01210
OG0000314	VQY17_RS02030	MYF_RS01280
OG0000315	VQY17_RS02060	MYF_RS01310
OG0000316	VQY17_RS02070	MYF_RS01320
OG0000317	VQY17_RS02170	MYF_RS01360
OG0000318	VQY17_RS02075	MYF_RS01450
OG0000319	VQY17_RS02235	MYF_RS01555
OG0000320	VQY17_RS02365	MYF_RS01620
OG0000321	VQY17_RS01350	MYF_RS01685
OG0000322	VQY17_RS01400	MYF_RS01730
OG0000323	VQY17_RS01530	MYF_RS01860
OG0000324	VQY17_RS02275	MYF_RS01960
OG0000325	VQY17_RS00700	MYF_RS02000
OG0000326	VQY17_RS00800	MYF_RS02090
OG0000327	VQY17_RS00805	MYF_RS02095
OG0000328	VQY17_RS00890	MYF_RS02180
OG0000329	VQY17_RS00915	MYF_RS02200
OG0000330	VQY17_RS01135	MYF_RS02380
OG0000331	VQY17_RS02960	MYF_RS02495
OG0000332	VQY17_RS03100	MYF_RS02635
OG0000333	VQY17_RS03110	MYF_RS02645
OG0000334	VQY17_RS03215	MYF_RS02715
OG0000335	VQY17_RS03225	MYF_RS02725
OG0000336	VQY17_RS03400	MYF_RS02870
OG0000337	VQY17_RS03575	MYF_RS03105
OG0000338	VQY17_RS03615	MYF_RS03145
OG0000339	VQY17_RS02340	MYF_RS01640
OG0000340	VQY17_RS01330	MYF_RS01665
OG0000341	VQY17_RS02295	MYF_RS01940
OG0000342	VQY17_RS00730	MYF_RS02030
OG0000343	VQY17_RS03120	MYF_RS02655
OG0000344	VQY17_RS00575	MYF_RS00530
OG0000345	VQY17_RS01055	MYF_RS02310
OG0000346	VQY17_RS03405	MYF_RS02875
OG0000347	VQY17_RS01425	MYF_RS01755
OG0000348	VQY17_RS00810	MYF_RS02100
OG0000349	VQY17_RS03470	MYF_RS02930
OG0000350	VQY17_RS02735	MYF_RS03360
OG0000351	VQY17_RS00495	MYF_RS00465
OG0000352	VQY17_RS02010	MYF_RS01260
OG0000353	VQY17_RS01390	MYF_RS01725
OG0000354	VQY17_RS00635	MYF_RS00580
OG0000355	VQY17_RS01985	MYF_RS01235
OG0000356	VQY17_RS02065	MYF_RS01315
OG0000357	VQY17_RS03080	MYF_RS02615
OG0000358	VQY17_RS03085	MYF_RS02620
OG0000359	VQY17_RS00780	MYF_RS02070
OG0000360	VQY17_RS00280	MYF_RS00240
OG0000361	VQY17_RS00310	MYF_RS00270
OG0000362	VQY17_RS02535	MYF_RS01065
OG0000363	VQY17_RS01465	MYF_RS01795
OG0000365	VQY17_RS02110	MYF_RS01420
OG0000366	VQY17_RS02140	MYF_RS01390
OG0000367	VQY17_RS02150	MYF_RS01380
OG0000368	VQY17_RS00060	MYF_RS00060
OG0000369	VQY17_RS00025	MYF_RS00025
OG0000370	VQY17_RS00020	MYF_RS00020
OG0000371	VQY17_RS00015	MYF_RS00015
OG0000372	VQY17_RS00010	MYF_RS00010
OG0000373	VQY17_RS03605	MYF_RS03135
OG0000374	VQY17_RS03595	MYF_RS03125
OG0000375	VQY17_RS02230	MYF_RS01550
OG0000376	VQY17_RS02380	MYF_RS01605
OG0000377	VQY17_RS02370	MYF_RS01615
OG0000378	VQY17_RS01310	MYF_RS01650
OG0000379	VQY17_RS01385	MYF_RS01720
OG0000380	VQY17_RS01415	MYF_RS01745
OG0000382	VQY17_RS01485	MYF_RS01815
OG0000383	VQY17_RS01525	MYF_RS01855
OG0000384	VQY17_RS00515	MYF_RS00470
OG0000385	VQY17_RS00520	MYF_RS00475
OG0000386	VQY17_RS00540	MYF_RS00495
OG0000387	VQY17_RS00565	MYF_RS00520
OG0000388	VQY17_RS00570	MYF_RS00525
OG0000389	VQY17_RS00615	MYF_RS00560
OG0000390	VQY17_RS02880	MYF_RS00670
OG0000391	VQY17_RS02870	MYF_RS00680
OG0000392	VQY17_RS02845	MYF_RS00705
OG0000393	VQY17_RS02790	MYF_RS00760
OG0000394	VQY17_RS02715	MYF_RS00825
OG0000395	VQY17_RS02710	MYF_RS00830
OG0000396	VQY17_RS02425	MYF_RS01200
OG0000397	VQY17_RS01995	MYF_RS01245
OG0000398	VQY17_RS02000	MYF_RS01250
OG0000399	VQY17_RS02045	MYF_RS01295
OG0000400	VQY17_RS03045	MYF_RS02580
OG0000401	VQY17_RS03105	MYF_RS02640
OG0000402	VQY17_RS03115	MYF_RS02650
OG0000403	VQY17_RS03125	MYF_RS02660
OG0000404	VQY17_RS03150	MYF_RS02685
OG0000405	VQY17_RS03165	MYF_RS02700
OG0000406	VQY17_RS03230	MYF_RS02730
OG0000407	VQY17_RS03235	MYF_RS02735
OG0000408	VQY17_RS03240	MYF_RS02740
OG0000409	VQY17_RS03245	MYF_RS02745
OG0000410	VQY17_RS03310	MYF_RS02780
OG0000411	VQY17_RS03300	MYF_RS02790
OG0000412	VQY17_RS03295	MYF_RS02795
OG0000413	VQY17_RS01540	MYF_RS01890
OG0000414	VQY17_RS01550	MYF_RS01900
OG0000415	VQY17_RS01555	MYF_RS01905
OG0000416	VQY17_RS01565	MYF_RS01915
OG0000417	VQY17_RS02290	MYF_RS01945
OG0000418	VQY17_RS02285	MYF_RS01950
OG0000419	VQY17_RS00710	MYF_RS02010
OG0000420	VQY17_RS00745	MYF_RS02045
OG0000421	VQY17_RS00785	MYF_RS02075
OG0000422	VQY17_RS00795	MYF_RS02085
OG0000423	VQY17_RS00850	MYF_RS02140
OG0000424	VQY17_RS00855	MYF_RS02145
OG0000425	VQY17_RS00865	MYF_RS02155
OG0000426	VQY17_RS00870	MYF_RS02160
OG0000427	VQY17_RS00900	MYF_RS02185
OG0000428	VQY17_RS00925	MYF_RS02210
OG0000429	VQY17_RS01045	MYF_RS02300
OG0000430	VQY17_RS01090	MYF_RS02345
OG0000431	VQY17_RS01100	MYF_RS02355
OG0000432	VQY17_RS01130	MYF_RS02375
OG0000433	VQY17_RS01145	MYF_RS02385
OG0000434	VQY17_RS01150	MYF_RS02390
OG0000435	VQY17_RS01170	MYF_RS02405
OG0000436	VQY17_RS01195	MYF_RS02440
OG0000438	VQY17_RS01210	MYF_RS02455
OG0000439	VQY17_RS01215	MYF_RS02460
OG0000440	VQY17_RS02940	MYF_RS02475
OG0000441	VQY17_RS02975	MYF_RS02515
OG0000442	VQY17_RS00145	MYF_RS00090
OG0000443	VQY17_RS00190	MYF_RS00150
OG0000444	VQY17_RS00205	MYF_RS00165
OG0000445	VQY17_RS00230	MYF_RS00190
OG0000446	VQY17_RS00260	MYF_RS00220
OG0000447	VQY17_RS00265	MYF_RS00225
OG0000448	VQY17_RS00295	MYF_RS00255
OG0000449	VQY17_RS00320	MYF_RS00280
OG0000450	VQY17_RS00330	MYF_RS00290
OG0000451	VQY17_RS00370	MYF_RS00330
OG0000452	VQY17_RS00395	MYF_RS00355
OG0000453	VQY17_RS00430	MYF_RS00390
OG0000454	VQY17_RS01595	MYF_RS03480, MYF_RS03485
OG0000455	VQY17_RS03515	MYF_RS02975
OG0000456	VQY17_RS03390	MYF_RS02860
OG0000458	VQY17_RS02505	MYF_RS01095
OG0000459	VQY17_RS02530	MYF_RS01070
OG0000460	VQY17_RS02540	MYF_RS01060
OG0000461	VQY17_RS02585	MYF_RS01010
OG0000462	VQY17_RS02580	MYF_RS01015
OG0000463	VQY17_RS02575	MYF_RS01020
OG0000464	VQY17_RS02570	MYF_RS01030
OG0000465	VQY17_RS02565	MYF_RS01035
OG0000466	VQY17_RS00400	MYF_RS00360
OG0000467	VQY17_RS02665	MYF_RS03505
OG0000468	VQY17_RS02040	MYF_RS01290
OG0000469	VQY17_RS02100	MYF_RS01425
OG0000470	VQY17_RS00845	MYF_RS02135
OG0000471	VQY17_RS00930	MYF_RS02215
OG0000472	VQY17_RS03320	MYF_RS03535
OG0000473	VQY17_RS03500	MYF_RS02960
OG0000474	VQY17_RS03505	MYF_RS02965
OG0000475	VQY17_RS03510	MYF_RS02970
OG0000476	VQY17_RS01575	MYF_RS03040
OG0000477	VQY17_RS02610	MYF_RS00930
OG0000478	VQY17_RS03445	MYF_RS02905
OG0000479	VQY17_RS01345	MYF_RS01680
OG0000480	VQY17_RS02105	MYF_RS03350
OG0000481	VQY17_RS00820	MYF_RS02110
OG0000482	VQY17_RS01235	MYF_RS01975
OG0000483	VQY17_RS02155	MYF_RS01375
OG0000484	VQY17_RS00200	MYF_RS00160
OG0000485	VQY17_RS01205	MYF_RS02445
OG0000486	VQY17_RS02310	MYF_RS01925
OG0000487	VQY17_RS02080	MYF_RS01445
OG0000488	VQY17_RS02120	MYF_RS01405
OG0000489	VQY17_RS00050	MYF_RS00050
OG0000490	VQY17_RS03610	MYF_RS03140
OG0000491	VQY17_RS01365	MYF_RS01700
OG0000492	VQY17_RS01445	MYF_RS01775
OG0000493	VQY17_RS00580	MYF_RS00535
OG0000494	VQY17_RS00640	MYF_RS00585
OG0000495	VQY17_RS02815	MYF_RS00735
OG0000496	VQY17_RS02805	MYF_RS00745
OG0000497	VQY17_RS02800	MYF_RS00750
OG0000498	VQY17_RS02720	MYF_RS00820
OG0000499	VQY17_RS02685	MYF_RS00865
OG0000500	VQY17_RS02005	MYF_RS01255
OG0000501	VQY17_RS03055	MYF_RS02590
OG0000502	VQY17_RS01225	MYF_RS01985
OG0000503	VQY17_RS00760	MYF_RS02055
OG0000504	VQY17_RS00905	MYF_RS02190
OG0000505	VQY17_RS00965	MYF_RS02225
OG0000506	VQY17_RS00975	MYF_RS02235
OG0000507	VQY17_RS01010	MYF_RS02270
OG0000508	VQY17_RS00255	MYF_RS00215
OG0000509	VQY17_RS00290	MYF_RS00250
OG0000510	VQY17_RS00305	MYF_RS00260
OG0000511	VQY17_RS00435	MYF_RS00395
OG0000512	VQY17_RS02545	MYF_RS01055
OG0000513	VQY17_RS03425	MYF_RS02890
OG0000514	VQY17_RS02840	MYF_RS00710
OG0000516	VQY17_RS02085	MYF_RS01440
OG0000517	VQY17_RS00065	MYF_RS00065
OG0000518	VQY17_RS03095	MYF_RS02630
OG0000519	VQY17_RS00790	MYF_RS02080
OG0000520	VQY17_RS00920	MYF_RS02205
OG0000521	VQY17_RS00270	MYF_RS00230
OG0000523	VQY17_RS03360	MYF_RS02830
OG0000524	VQY17_RS02660	MYF_RS00890
OG0000528	VQY17_RS02090	MYF_RS01435
OG0000529	VQY17_RS02245	MYF_RS01565
OG0000530	VQY17_RS02350	MYF_RS01630
OG0000531	VQY17_RS01420	MYF_RS01750
OG0000532	VQY17_RS01660	MYF_RS00620
OG0000533	VQY17_RS00600	MYF_RS02365
OG0000534	VQY17_RS00385	MYF_RS00345
OG0000535	VQY17_RS00045	MYF_RS00045
OG0000536	VQY17_RS03545	MYF_RS03070
OG0000537	VQY17_RS00725	MYF_RS02025
OG0000538	VQY17_RS01160	MYF_RS02395
OG0000539	VQY17_RS00215	MYF_RS00175
OG0000540	VQY17_RS02630	MYF_RS00910
OG0000541	VQY17_RS02700	MYF_RS00850
OG0000542	VQY17_RS00355	MYF_RS00315
OG0000547	VQY17_RS02895	MYF_RS00660
OG0000548	VQY17_RS01625	MYF_RS01205
OG0000549	VQY17_RS03315	MYF_RS02805
OG0000550	VQY17_RS03465	MYF_RS02925
OG0000596	VQY17_RS01785	MYF_RS00110
OG0000598	VQY17_RS01790	MYF_RS00105
OG0000599	VQY17_RS01795	MYF_RS00100
OG0000602	VQY17_RS02115	MYF_RS01415
