Seq_id	Size	Description
1	894983	IDF72C
2	886877	ID4284
3	956514	IDES2
4	901311	ID116
5	891138	ID1257
6	921093	ID168L
7	879752	IDMHP696
8	923612	ID112B
9	871408	IDMHP694
10	902476	IDMHP691
11	960219	IDUFV02
12	909216	IDMHP650
13	882420	ID98
14	921541	ID111A
15	898495	ID7422
16	892758	ID232
17	898402	IDMHP653
18	913664	IDTB1
19	918900	IDES2L
20	880293	IDMHP709
21	920079	ID7448
22	900736	IDUe273
23	912568	IDMHP682
24	898336	ID11
25	964503	IDKM014
26	897405	IDJ
27	923878	IDMHP699
28	906915	IDMHP679
29	910816	IDUFV01
30	927216	ID133A
31	960532	IDNCTC10127
32	925576	ID168
33	920420	ID154B
34	920587	IDLH
35	920392	ID153B
36	927172	ID131B
--------------------------------------------------------------------------------
Block #30
Seq_id	Strand	Start	End	Length
6	-	156199	139593	16606
7	-	136791	120178	16613
8	+	225159	241758	16599
9	-	139410	122818	16592
10	-	179851	163254	16597
11	+	359384	375978	16594
12	+	358511	375114	16603
13	-	135095	118494	16601
14	+	223268	239868	16600
15	+	224153	240756	16603
16	-	244164	227557	16607
17	+	224316	240911	16595
18	-	138147	121799	16348
19	+	201190	217798	16608
20	-	176160	159547	16613
21	+	205213	221817	16604
22	+	210200	226807	16607
23	+	221345	237972	16627
24	-	795203	778600	16603
25	+	435997	452598	16601
26	+	197788	214400	16612
27	+	226808	243700	16892
28	+	178893	195482	16589
29	+	299048	315642	16594
30	+	227772	244377	16605
31	-	803651	787045	16606
32	-	156241	139637	16604
33	-	161023	144431	16592
34	+	204607	221218	16611
35	-	160998	144407	16591
36	+	227786	244393	16607
--------------------------------------------------------------------------------
Block #5
Seq_id	Strand	Start	End	Length
1	+	158998	199155	40157
2	-	205689	165546	40143
3	+	162293	202476	40183
4	-	199848	159696	40152
5	-	210458	170299	40159
6	-	199216	159108	40108
7	-	178043	137762	40281
8	+	157734	198110	40376
9	-	180738	140381	40357
10	-	226490	186220	40270
11	+	318322	358413	40091
12	+	317065	357256	40191
13	+	757095	797275	40180
14	+	157772	198106	40334
15	+	182981	223183	40202
16	-	285311	245139	40172
17	+	177503	217869	40366
18	-	179579	139384	40195
19	+	160049	200217	40168
20	-	217422	177131	40291
21	+	163994	204243	40249
22	+	163586	203755	40169
23	+	180886	221057	40171
24	-	836353	796178	40175
25	+	394835	435025	40190
26	+	156717	196815	40098
27	+	180270	220428	40158
28	+	137020	177440	40420
29	+	257986	298077	40091
30	+	186638	226801	40163
31	-	844801	804626	40175
32	-	199260	159150	40110
33	-	202199	161994	40205
34	+	163468	203633	40165
35	-	202165	161969	40196
36	+	186650	226815	40165
--------------------------------------------------------------------------------
Block #4
Seq_id	Strand	Start	End	Length
1	+	142910	157826	14916
2	-	219836	206858	12978
3	+	145807	158776	12969
4	-	215615	202620	12995
5	-	226958	213973	12985
6	-	217673	202724	14949
7	-	192148	179189	12959
8	+	141283	154226	12943
9	-	194850	181859	12991
10	-	243186	230271	12915
11	+	301836	314804	12968
12	+	300657	313486	12829
13	-	150390	136584	13806
14	+	141320	154265	12945
15	+	166522	179471	12949
16	-	301799	288830	12969
17	+	160387	173825	13438
18	-	196154	183024	13130
19	+	146038	158932	12894
20	-	231675	218716	12959
21	+	145587	160479	14892
22	+	146922	160070	13148
23	+	165066	177990	12924
24	-	852828	839859	12969
25	+	378411	391322	12911
26	+	140278	153198	12920
27	+	166132	179122	12990
28	+	120619	133596	12977
29	+	241498	254467	12969
30	+	170202	183114	12912
31	-	861296	848324	12972
32	-	217718	202768	14950
33	-	220592	205708	14884
34	+	149406	162322	12916
35	-	220557	205674	14883
36	+	170215	183126	12911
--------------------------------------------------------------------------------
Block #3
Seq_id	Strand	Start	End	Length
1	+	108080	140708	32628
2	+	108311	142368	34057
3	+	105662	139700	34038
4	+	102382	136412	34030
5	+	108707	141672	32965
6	+	100064	134028	33964
7	+	84250	116458	32208
8	+	101151	135181	34030
9	+	88510	119239	30729
10	+	127276	159618	32342
11	+	261675	295729	34054
12	+	264618	296500	31882
13	+	80120	112920	32800
14	+	101182	135209	34027
15	+	106830	137577	30747
16	-	341827	307896	33931
17	+	120733	154142	33409
18	+	85752	118076	32324
19	+	105455	139931	34476
20	+	124029	155827	31798
21	+	106935	139482	32547
22	+	106800	140825	34025
23	+	107441	136958	29517
24	-	892856	858925	33931
25	+	343585	376182	32597
26	+	100197	134166	33969
27	+	131557	161950	30393
28	+	83291	116245	32954
29	+	203150	237234	34084
30	+	130100	164108	34008
31	-	901321	867393	33928
32	+	100121	134073	33952
33	+	106259	138914	32655
34	+	108089	143298	35209
35	+	106253	138883	32630
36	+	130106	164121	34015
--------------------------------------------------------------------------------
Block #2
Seq_id	Strand	Start	End	Length
1	+	34656	102628	67972
2	+	34712	102861	68149
3	+	32180	100202	68022
4	+	28974	96930	67956
5	+	33287	101292	68005
6	+	26605	94609	68004
7	+	10731	78799	68068
8	+	27473	95697	68224
9	+	14460	83053	68593
10	+	53261	121825	68564
11	+	188010	256221	68211
12	+	191302	259269	67967
13	+	6715	74663	67948
14	+	27478	95723	68245
15	+	33394	101375	67981
16	+	34557	104603	70046
17	+	47177	115278	68101
18	+	12089	80294	68205
19	+	32017	100015	67998
20	+	50358	118578	68220
21	+	33372	101485	68113
22	+	33251	101346	68095
23	+	33938	101944	68006
24	+	567388	637380	69992
25	+	224182	294065	69883
26	+	26656	94741	68085
27	+	57988	126101	68113
28	+	9755	77837	68082
29	+	129737	197698	67961
30	+	33280	101255	67975
31	+	34559	104587	70028
32	+	26594	94672	68078
33	+	32808	100809	68001
34	+	34573	102634	68061
35	+	32806	100804	67998
36	+	33283	101260	67977
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	+	1303	14673	13370
2	+	1349	14718	13369
3	+	1380	14748	13368
4	+	1326	14696	13370
5	+	1351	14721	13370
6	+	1303	14673	13370
7	+	850373	863743	13370
8	+	1303	14634	13331
9	-	418695	405324	13371
10	+	26883	40252	13369
11	+	157323	170690	13367
12	+	166182	179549	13367
13	+	862587	875947	13360
14	+	1303	14634	13331
15	+	1509	14899	13390
16	+	1305	14671	13366
17	+	16209	29578	13369
18	+	883271	896665	13394
19	+	1305	14671	13366
20	+	16214	29584	13370
21	+	1509	14882	13373
22	+	1303	14675	13372
23	+	68	13436	13368
24	+	534097	547463	13366
25	+	190897	204263	13366
26	+	1509	14879	13370
27	+	26918	40288	13370
28	+	865124	878493	13369
29	+	98892	112259	13367
30	+	1303	14673	13370
31	+	1305	14671	13366
32	+	1303	14673	13370
33	+	1303	14672	13369
34	+	1303	14675	13372
35	+	1303	14673	13370
36	+	1303	14674	13371
--------------------------------------------------------------------------------
Block #14
Seq_id	Strand	Start	End	Length
1	+	447094	477238	30144
2	-	429071	398938	30133
3	-	471239	441204	30035
4	-	435712	403624	32088
5	-	445371	415314	30057
6	-	463518	433464	30054
7	-	398793	368748	30045
8	+	475614	505722	30108
9	-	404884	374775	30109
10	-	448222	418103	30119
11	-	608531	578454	30077
12	-	586456	556281	30175
13	-	370910	339365	31545
14	+	473705	503820	30115
15	-	456336	426254	30082
16	-	437820	407862	29958
17	-	452267	422924	29343
18	-	433052	403002	30050
19	-	434570	402316	32254
20	-	438869	408823	30046
21	-	447889	417798	30091
22	-	452178	422053	30125
23	-	451614	421841	29773
24	-	96293	66335	29958
25	-	668932	636984	31948
26	-	431361	399131	32230
27	-	462075	431961	30114
28	-	425942	395631	30311
29	-	550392	520309	30083
30	-	459440	429339	30101
31	-	216258	186298	29960
32	-	462498	432446	30052
33	-	435605	405519	30086
34	-	455935	425901	30034
35	-	435588	405495	30093
36	-	459442	429340	30102
--------------------------------------------------------------------------------
Block #15
Seq_id	Strand	Start	End	Length
1	+	499333	511737	12404
2	+	472178	484578	12400
3	+	532744	545138	12394
4	+	499326	511728	12402
5	-	511586	499192	12394
6	-	497411	485008	12403
7	+	460431	472793	12362
8	+	525208	537610	12402
9	+	483713	496220	12507
10	+	491475	503882	12407
11	+	668027	680438	12411
12	+	643922	656319	12397
13	+	414795	427193	12398
14	+	523308	535710	12402
15	+	513480	525874	12394
16	+	480771	493184	12413
17	+	508499	520912	12413
18	-	465317	452852	12465
19	+	497521	509928	12407
20	+	498386	510874	12488
21	+	490913	503309	12396
22	+	497122	509526	12404
23	+	514700	527103	12403
24	+	139105	151518	12413
25	+	730083	742477	12394
26	+	490329	502733	12404
27	+	520437	532846	12409
28	+	482966	495385	12419
29	+	609963	622374	12411
30	+	524521	536932	12411
31	+	259230	271643	12413
32	-	496392	483987	12405
33	+	525218	537615	12397
34	+	518771	531164	12393
35	+	525212	537609	12397
36	+	524501	536912	12411
--------------------------------------------------------------------------------
Block #16
Seq_id	Strand	Start	End	Length
1	+	512030	522614	10584
2	+	484996	495580	10584
3	+	545465	556046	10581
4	+	512129	522713	10584
5	-	498784	488201	10583
6	+	525027	535607	10580
7	+	473327	484026	10699
8	+	538030	548615	10585
9	+	496639	507223	10584
10	+	504294	514862	10568
11	+	680853	691437	10584
12	+	658924	669505	10581
13	+	427613	438197	10584
14	+	536132	546717	10585
15	+	526159	536743	10584
16	+	493474	504058	10584
17	+	524617	535201	10584
18	+	489206	499786	10580
19	+	510197	520778	10581
20	+	511305	521890	10585
21	+	503748	514332	10584
22	+	509940	520524	10584
23	+	527743	538327	10584
24	+	151800	162384	10584
25	+	742917	753497	10580
26	+	503028	513609	10581
27	+	533507	544091	10584
28	+	495802	506383	10581
29	+	622787	633371	10584
30	+	537353	547938	10585
31	+	271929	282513	10584
32	+	524010	534589	10579
33	+	538035	548620	10585
34	+	531454	542038	10584
35	+	538029	548612	10583
36	+	537333	547916	10583
--------------------------------------------------------------------------------
Block #17
Seq_id	Strand	Start	End	Length
1	+	526218	546090	19872
2	+	517632	539428	21796
3	+	583668	603512	19844
4	+	526319	546192	19873
5	+	531937	551815	19878
6	+	539205	560496	21291
7	+	487712	507742	20030
8	+	552228	572104	19876
9	+	508801	528782	19981
10	+	554623	574481	19858
11	+	695053	714749	19696
12	+	673498	694835	21337
13	+	441830	461636	19806
14	+	550318	570193	19875
15	+	540351	560207	19856
16	+	507668	527344	19676
17	+	544346	564193	19847
18	+	503165	524364	21199
19	+	524362	544242	19880
20	+	525366	545245	19879
21	+	540765	562525	21760
22	+	524154	544053	19899
23	+	539429	559308	19879
24	+	165993	185694	19701
25	+	757105	776988	19883
26	+	517227	538842	21615
27	+	548127	568077	19950
28	+	509751	529882	20131
29	+	636983	656677	19694
30	+	551539	571418	19879
31	+	286115	305788	19673
32	+	538198	559495	21297
33	+	552260	572115	19855
34	+	545663	565522	19859
35	+	552242	572096	19854
36	+	551506	571385	19879
--------------------------------------------------------------------------------
Block #18
Seq_id	Strand	Start	End	Length
1	+	561947	575164	13217
2	+	555280	568509	13229
3	+	619485	632752	13267
4	+	562043	575270	13227
5	+	567666	580874	13208
6	+	576697	589936	13239
7	+	523700	537021	13321
8	+	587965	601223	13258
9	+	544666	558000	13334
10	+	590348	603671	13323
11	+	730840	744050	13210
12	+	710909	724130	13221
13	+	465305	478541	13236
14	+	586049	599270	13221
15	+	576075	589282	13207
16	+	543228	556476	13248
17	+	580100	593525	13425
18	+	540231	553523	13292
19	+	560487	573711	13224
20	+	561207	574528	13321
21	+	578390	591573	13183
22	+	559902	573138	13236
23	+	575548	588726	13178
24	+	201570	214818	13248
25	+	792869	806108	13239
26	+	555030	568295	13265
27	+	583955	597338	13383
28	+	539145	552483	13338
29	+	672777	686000	13223
30	+	587303	600509	13206
31	+	321676	334921	13245
32	+	575404	588658	13254
33	+	588021	601243	13222
34	+	581577	594807	13230
35	+	588005	601225	13220
36	+	587264	600466	13202
--------------------------------------------------------------------------------
Block #19
Seq_id	Strand	Start	End	Length
1	+	575165	582521	7356
2	+	568510	575861	7351
3	+	632753	640104	7351
4	+	575271	582627	7356
5	+	580875	588226	7351
6	+	589937	597293	7356
7	+	537022	544378	7356
8	+	601224	608580	7356
9	+	558001	565357	7356
10	+	603672	611028	7356
11	+	744051	751407	7356
12	+	724131	731487	7356
13	+	478542	485898	7356
14	+	599271	606627	7356
15	+	589283	596639	7356
16	+	556477	563833	7356
17	+	593526	600882	7356
18	+	553524	560880	7356
19	+	573712	581068	7356
20	+	574529	581885	7356
21	+	591574	598930	7356
22	+	573139	580495	7356
23	+	588727	596083	7356
24	+	214819	222175	7356
25	+	806109	813455	7346
26	+	568296	575652	7356
27	+	597339	604690	7351
28	+	552484	559840	7356
29	+	686001	693357	7356
30	+	600510	607861	7351
31	+	334922	342278	7356
31	-	960532	953194	7338
32	+	588659	596015	7356
33	+	601244	608600	7356
34	+	594808	602164	7356
35	+	601226	608582	7356
36	+	600467	607818	7351
--------------------------------------------------------------------------------
Block #20
Seq_id	Strand	Start	End	Length
1	+	591240	673023	81783
2	+	584664	665955	81291
3	+	648901	730896	81995
4	+	591429	673299	81870
5	+	597053	677661	80608
6	+	606126	687883	81757
7	+	552714	635374	82660
8	+	617454	698344	80890
9	+	574444	656104	81660
10	+	619330	700981	81651
11	+	763999	845690	81691
12	+	739215	821578	82363
13	+	494721	575233	80512
14	+	615508	696371	80863
15	+	605523	686495	80972
16	+	572688	654114	81426
17	+	606109	688645	82536
18	+	569722	651517	81795
19	+	589882	673552	83670
20	+	590890	673477	82587
21	+	607744	691596	83852
22	+	589374	670265	80891
23	+	607219	689489	82270
24	+	231037	312428	81391
25	+	822276	903718	81442
26	+	584447	669990	85543
27	+	612069	694390	82321
28	+	568383	650177	81794
29	+	702480	784295	81815
30	+	616697	699793	83096
31	+	351130	432560	81430
32	+	604840	686584	81744
33	+	619246	702073	82827
34	+	610992	691955	80963
35	+	619235	702058	82823
36	+	616653	699749	83096
--------------------------------------------------------------------------------
Block #21
Seq_id	Strand	Start	End	Length
1	+	673023	723913	50890
2	+	665955	716841	50886
3	+	730896	781782	50886
4	+	673299	724172	50873
5	+	677661	730474	52813
6	+	687883	738758	50875
7	+	635374	686382	51008
8	+	698344	750038	51694
9	+	656104	707077	50973
10	+	700981	753029	52048
11	+	845690	896586	50896
12	+	821578	872463	50885
13	+	575233	626801	51568
14	+	696371	748063	51692
15	+	686495	737365	50870
16	+	675324	726225	50901
17	+	688645	740426	51781
18	+	651758	702596	50838
19	+	673552	724438	50886
20	+	673477	724466	50989
21	+	691596	742470	50874
22	+	670265	721145	50880
23	+	689489	740575	51086
24	+	318919	369822	50903
25	+	903718	954587	50869
26	+	669990	724829	54839
27	+	694390	745375	50985
28	+	650177	701147	50970
29	+	784295	835201	50906
30	+	699793	751493	51700
31	+	432560	483453	50893
32	+	686584	739400	52816
33	+	702073	753753	51680
34	+	691955	742826	50871
35	+	702058	753737	51679
36	+	699749	751446	51697
--------------------------------------------------------------------------------
Block #22
Seq_id	Strand	Start	End	Length
1	+	747352	764533	17181
2	+	742383	759539	17156
3	+	801608	818810	17202
4	+	745781	762958	17177
5	+	740839	758010	17171
6	+	751296	768473	17177
7	+	696403	713573	17170
8	+	771658	788824	17166
9	+	727814	744993	17179
10	+	763433	780613	17180
11	+	7618	24792	17174
11	+	902034	919208	17174
12	+	10356	27525	17169
13	+	640346	657515	17169
14	+	769682	786849	17167
15	+	746695	763874	17179
16	+	742374	759550	17176
17	+	754350	771523	17173
18	+	712016	729297	17281
19	+	764850	782050	17200
20	+	734722	751892	17170
21	+	764043	781216	17173
22	+	749268	766459	17191
23	+	748241	765414	17173
24	+	380410	397589	17179
25	+	34459	51636	17177
26	+	744453	761624	17171
27	+	756083	773251	17168
28	+	712345	729524	17179
29	+	854566	871740	17174
30	+	773108	790287	17179
31	+	499884	517060	17176
32	+	751924	769101	17177
33	+	775323	792502	17179
34	+	768228	785405	17177
35	+	775310	792488	17178
36	+	773066	790246	17180
--------------------------------------------------------------------------------
Block #23
Seq_id	Strand	Start	End	Length
1	+	764554	797833	33279
2	+	759560	792785	33225
3	+	818831	855457	36626
4	+	762979	799536	36557
5	+	758031	787853	29822
6	+	768494	801733	33239
7	+	713594	747651	34057
8	+	788845	822019	33174
9	+	745014	781316	36302
10	+	780634	814292	33658
11	+	24813	57988	33175
11	+	919229	952404	33175
12	+	27546	62051	34505
13	+	657536	691346	33810
14	+	786870	820032	33162
15	+	763895	797211	33316
16	+	759573	790801	31228
17	+	771544	801874	30330
18	+	729318	762552	33234
19	+	782071	817054	34983
20	+	751913	786193	34280
21	+	781237	814506	33269
22	+	766480	803071	36591
23	+	765435	795991	30556
24	+	397612	430881	33269
25	+	51657	88234	36577
26	+	761645	798257	36612
27	+	796283	831847	35564
28	+	729545	763072	33527
29	+	871761	904984	33223
30	+	790308	823534	33226
31	+	517083	550331	33248
32	+	769122	802361	33239
33	+	792523	825805	33282
34	+	785426	818703	33277
35	+	792509	825784	33275
36	+	790267	823494	33227
--------------------------------------------------------------------------------
Block #24
Seq_id	Strand	Start	End	Length
1	+	800184	809845	9661
2	-	802957	793296	9661
3	+	857810	867471	9661
4	+	800682	810343	9661
5	+	789743	799402	9659
6	+	803624	813285	9661
7	+	749575	759236	9661
8	+	823933	833594	9661
9	+	783667	793328	9661
10	+	816203	825864	9661
11	+	58809	68468	9659
12	+	64284	73945	9661
13	+	693694	703356	9662
14	+	821948	831608	9660
15	+	799105	808766	9661
16	+	793152	802813	9661
17	+	804189	813851	9662
18	+	764402	774063	9661
19	+	819389	829050	9661
20	+	788118	797779	9661
21	+	816856	826515	9659
22	+	804975	814636	9661
23	+	797780	807441	9661
24	+	433231	442892	9661
25	+	90136	99799	9663
26	+	800162	809829	9667
27	+	833710	843371	9661
28	+	764976	774637	9661
29	+	284	9943	9659
30	+	825437	835098	9661
31	+	552684	562345	9661
32	+	804251	813912	9661
33	+	827709	837370	9661
34	+	821056	830717	9661
35	+	827687	837348	9661
36	+	825394	835055	9661
--------------------------------------------------------------------------------
Block #25
Seq_id	Strand	Start	End	Length
1	+	810363	831599	21236
2	+	804111	825338	21227
3	+	867967	895887	27920
4	+	810853	833398	22545
5	+	799914	827821	27907
6	+	813780	841719	27939
7	+	759750	787598	27848
8	+	834098	862021	27923
9	+	793841	821874	28033
10	+	826373	854225	27852
11	+	68913	96850	27937
12	+	74725	103327	28602
13	+	703861	731774	27913
14	+	832113	860041	27928
15	+	809272	837179	27907
16	+	803328	831264	27936
17	+	814470	842321	27851
18	+	774242	802119	27877
19	+	829536	857464	27928
20	+	798290	826140	27850
21	+	827028	854916	27888
22	+	815123	839352	24229
23	+	808013	836115	28102
24	+	443375	471314	27939
25	+	100317	128240	27923
26	+	810343	838253	27910
27	+	843834	871708	27874
28	+	775381	803230	27849
29	+	10461	38400	27939
30	+	835615	863570	27955
31	+	562857	590795	27938
32	+	814402	842339	27937
33	+	837872	859099	21227
34	+	831227	859172	27945
35	+	837849	859073	21224
36	+	835577	863527	27950
--------------------------------------------------------------------------------
Block #26
Seq_id	Strand	Start	End	Length
1	+	831599	869405	37806
2	+	825338	861171	35833
3	+	895887	933169	37282
4	+	833398	869356	35958
5	+	827821	865592	37771
6	+	841719	877582	35863
7	+	787598	823447	35849
8	+	862021	897876	35855
9	+	821874	857814	35940
10	+	854225	890209	35984
11	+	96850	132607	35757
12	+	103327	139254	35927
13	+	799799	835651	35852
14	+	860041	895905	35864
15	+	837179	873074	35895
16	+	831264	867117	35853
17	+	842321	879994	37673
18	+	802119	838109	35990
19	+	857464	893305	35841
20	+	826140	861967	35827
21	+	856873	892734	35861
22	+	839352	875120	35768
23	+	836115	872366	36251
24	+	471314	507158	35844
25	+	128240	163964	35724
26	+	838253	874211	35958
27	+	871708	907928	36220
