Orthogroup	MHP_168_genes	MHP_ES2_genes
OG0000027	MHP168_RS03330	E5E95_RS03575
OG0000028	MHP168_RS02415, MHP168_RS02420	E5E95_RS02625
OG0000029	MHP168_RS00575	E5E95_RS01100
OG0000029	MHP168_RS01050	E5E95_RS00610
OG0000030	MHP168_RS03310	E5E95_RS03550
OG0000030	MHP168_RS03325	E5E95_RS03570
OG0000031	MHP168_RS01815	E5E95_RS01625
OG0000032	MHP168_RS03320	E5E95_RS03565
OG0000035	MHP168_RS03185	E5E95_RS03405
OG0000035	MHP168_RS03170	E5E95_RS03395
OG0000036	MHP168_RS00105	E5E95_RS00105, E5E95_RS00120
OG0000038	MHP168_RS01840	E5E95_RS01865
OG0000039	MHP168_RS01800	E5E95_RS01650, E5E95_RS01645
OG0000040	MHP168_RS03260	E5E95_RS03495
OG0000041	MHP168_RS00980	E5E95_RS00670
OG0000042	MHP168_RS02950	E5E95_RS03140
OG0000043	MHP168_RS01985	E5E95_RS02030
OG0000043	MHP168_RS01205	E5E95_RS02030
OG0000044	MHP168_RS03745	E5E95_RS04290
OG0000045	MHP168_RS01795	E5E95_RS01655
OG0000047	MHP168_RS03530	E5E95_RS01725
OG0000048	MHP168_RS02190	E5E95_RS02215
OG0000049	MHP168_RS03035	E5E95_RS03260
OG0000050	MHP168_RS02450	E5E95_RS02655
OG0000051	MHP168_RS04010	E5E95_RS02855
OG0000052	MHP168_RS00070	E5E95_RS00075
OG0000053	MHP168_RS01535	E5E95_RS01465
OG0000054	MHP168_RS02475	E5E95_RS02680
OG0000055	MHP168_RS00110	E5E95_RS00125
OG0000056	MHP168_RS03500	E5E95_RS03750
OG0000057	MHP168_RS02935	E5E95_RS03125
OG0000059	MHP168_RS03925	E5E95_RS02510
OG0000060	MHP168_RS01270	E5E95_RS01215
OG0000060	MHP168_RS00075	E5E95_RS00080
OG0000062	MHP168_RS03625	E5E95_RS03805
OG0000063	MHP168_RS03620	E5E95_RS03800
OG0000064	MHP168_RS03610	E5E95_RS03790
OG0000065	MHP168_RS02125	E5E95_RS02365
OG0000066	MHP168_RS01440	E5E95_RS01370
OG0000067	MHP168_RS00505	E5E95_RS00525
OG0000068	MHP168_RS03810	E5E95_RS00645
OG0000069	MHP168_RS02825	E5E95_RS03015
OG0000070	MHP168_RS02480	E5E95_RS02685
OG0000071	MHP168_RS03250	E5E95_RS03485
OG0000072	MHP168_RS03255	E5E95_RS03490
OG0000073	MHP168_RS00950	E5E95_RS00705
OG0000074	MHP168_RS00760	E5E95_RS00900
OG0000075	MHP168_RS00315	E5E95_RS00340
OG0000076	MHP168_RS00330	E5E95_RS00355
OG0000077	MHP168_RS00420	E5E95_RS00445
OG0000078	MHP168_RS01745	E5E95_RS01790
OG0000079	MHP168_RS02565	E5E95_RS02760
OG0000080	MHP168_RS03900	E5E95_RS03935
OG0000081	MHP168_RS00310	E5E95_RS00335
OG0000082	MHP168_RS04000	E5E95_RS02605
OG0000083	MHP168_RS02095	E5E95_RS02140
OG0000084	MHP168_RS02245	E5E95_RS02165
OG0000085	MHP168_RS02240	E5E95_RS02170
OG0000086	MHP168_RS02230	E5E95_RS02180
OG0000087	MHP168_RS02215	E5E95_RS02195
OG0000088	MHP168_RS02210	E5E95_RS02200
OG0000089	MHP168_RS02195	E5E95_RS02210
OG0000090	MHP168_RS00065	E5E95_RS00070
OG0000091	MHP168_RS00055	E5E95_RS00055
OG0000092	MHP168_RS00040	E5E95_RS00040
OG0000093	MHP168_RS00035	E5E95_RS00035
OG0000094	MHP168_RS00030	E5E95_RS00030
OG0000095	MHP168_RS00005	E5E95_RS00005
OG0000096	MHP168_RS03660	E5E95_RS03840
OG0000097	MHP168_RS03640	E5E95_RS03820
OG0000098	MHP168_RS03630	E5E95_RS03810
OG0000099	MHP168_RS03510	E5E95_RS03760
OG0000100	MHP168_RS03490	E5E95_RS03740
OG0000101	MHP168_RS03485	E5E95_RS03735
OG0000102	MHP168_RS01720	E5E95_RS01815
OG0000103	MHP168_RS02160	E5E95_RS02330
OG0000104	MHP168_RS02155	E5E95_RS02335
OG0000105	MHP168_RS02140	E5E95_RS02350
OG0000106	MHP168_RS02130	E5E95_RS02360
OG0000107	MHP168_RS02120	E5E95_RS02370
OG0000108	MHP168_RS02115	E5E95_RS02375
OG0000109	MHP168_RS02110	E5E95_RS02380
OG0000110	MHP168_RS02385	E5E95_RS02595
OG0000111	MHP168_RS02380	E5E95_RS02590
OG0000112	MHP168_RS02370	E5E95_RS02580
OG0000113	MHP168_RS02350	E5E95_RS02560
OG0000114	MHP168_RS02340	E5E95_RS04300
OG0000115	MHP168_RS02325	E5E95_RS02535
OG0000116	MHP168_RS01380	E5E95_RS01315
OG0000117	MHP168_RS01385	E5E95_RS01320
OG0000118	MHP168_RS01425	E5E95_RS01355
OG0000119	MHP168_RS01430	E5E95_RS01360
OG0000120	MHP168_RS01445	E5E95_RS01375
OG0000121	MHP168_RS01470	E5E95_RS01400
OG0000122	MHP168_RS01475	E5E95_RS01405
OG0000123	MHP168_RS01495	E5E95_RS01425
OG0000124	MHP168_RS01500	E5E95_RS01430
OG0000125	MHP168_RS01505	E5E95_RS01435
OG0000126	MHP168_RS01515	E5E95_RS01445
OG0000127	MHP168_RS01525	E5E95_RS01455
OG0000128	MHP168_RS01540	E5E95_RS01470
OG0000129	MHP168_RS01545	E5E95_RS01475
OG0000130	MHP168_RS01555	E5E95_RS01485
OG0000131	MHP168_RS01585	E5E95_RS01515
OG0000132	MHP168_RS01600	E5E95_RS01530
OG0000133	MHP168_RS00510	E5E95_RS00530
OG0000134	MHP168_RS00515	E5E95_RS00535
OG0000135	MHP168_RS00530	E5E95_RS00550
OG0000136	MHP168_RS00535	E5E95_RS00555
OG0000137	MHP168_RS00570	E5E95_RS00585
OG0000138	MHP168_RS01030	E5E95_RS00620
OG0000139	MHP168_RS01000	E5E95_RS00650
OG0000140	MHP168_RS00995	E5E95_RS00655
OG0000141	MHP168_RS02945	E5E95_RS03135
OG0000142	MHP168_RS02940	E5E95_RS03130
OG0000143	MHP168_RS02915	E5E95_RS03105
OG0000144	MHP168_RS02905	E5E95_RS03095
OG0000145	MHP168_RS02895	E5E95_RS03085
OG0000146	MHP168_RS02885	E5E95_RS03075
OG0000147	MHP168_RS02880	E5E95_RS03070
OG0000148	MHP168_RS02865	E5E95_RS03055
OG0000149	MHP168_RS02855	E5E95_RS03045
OG0000150	MHP168_RS02840	E5E95_RS03030
OG0000151	MHP168_RS02790	E5E95_RS02985
OG0000152	MHP168_RS02785	E5E95_RS02980
OG0000153	MHP168_RS02780	E5E95_RS02975
OG0000154	MHP168_RS02770	E5E95_RS02965
OG0000155	MHP168_RS02730	E5E95_RS02925
OG0000156	MHP168_RS02720	E5E95_RS02915
OG0000157	MHP168_RS02715	E5E95_RS02910
OG0000158	MHP168_RS04090	E5E95_RS02905
OG0000159	MHP168_RS02465	E5E95_RS04310
OG0000160	MHP168_RS02460	E5E95_RS02665
OG0000161	MHP168_RS02455	E5E95_RS02660
OG0000162	MHP168_RS02445	E5E95_RS02650
OG0000163	MHP168_RS02440	E5E95_RS02645
OG0000164	MHP168_RS01810	E5E95_RS01630
OG0000165	MHP168_RS02010	E5E95_RS02055
OG0000166	MHP168_RS02035	E5E95_RS02080
OG0000167	MHP168_RS02050	E5E95_RS02095
OG0000168	MHP168_RS02055	E5E95_RS02100
OG0000169	MHP168_RS03030	E5E95_RS03255
OG0000170	MHP168_RS03045	E5E95_RS03270
OG0000171	MHP168_RS03055	E5E95_RS03280
OG0000172	MHP168_RS03060	E5E95_RS03285
OG0000173	MHP168_RS03065	E5E95_RS03290
OG0000174	MHP168_RS03070	E5E95_RS03295
OG0000175	MHP168_RS03085	E5E95_RS03310
OG0000176	MHP168_RS03135	E5E95_RS03360
OG0000177	MHP168_RS03140	E5E95_RS03365
OG0000178	MHP168_RS03145	E5E95_RS03370
OG0000179	MHP168_RS03155	E5E95_RS03380
OG0000180	MHP168_RS03160	E5E95_RS03385
OG0000181	MHP168_RS03200	E5E95_RS03435
OG0000182	MHP168_RS03210	E5E95_RS03445
OG0000183	MHP168_RS03245	E5E95_RS03480
OG0000184	MHP168_RS03285	E5E95_RS03525
OG0000185	MHP168_RS03270	E5E95_RS03510
OG0000186	MHP168_RS01610	E5E95_RS01540
OG0000187	MHP168_RS01625	E5E95_RS01555
OG0000188	MHP168_RS01635	E5E95_RS01565
OG0000189	MHP168_RS02300	E5E95_RS02415
OG0000190	MHP168_RS02295	E5E95_RS02410
OG0000191	MHP168_RS02275	E5E95_RS02390
OG0000192	MHP168_RS01290	E5E95_RS01235
OG0000193	MHP168_RS01280	E5E95_RS01225
OG0000194	MHP168_RS00965	E5E95_RS00690
OG0000195	MHP168_RS00960	E5E95_RS00695
OG0000196	MHP168_RS00940	E5E95_RS00715
OG0000197	MHP168_RS00935	E5E95_RS00720
OG0000198	MHP168_RS00920	E5E95_RS00735
OG0000199	MHP168_RS00915	E5E95_RS00740
OG0000200	MHP168_RS00905	E5E95_RS00755
OG0000201	MHP168_RS00895	E5E95_RS00765
OG0000202	MHP168_RS00840	E5E95_RS00820
OG0000203	MHP168_RS00835	E5E95_RS00825
OG0000204	MHP168_RS00830	E5E95_RS00830
OG0000205	MHP168_RS00825	E5E95_RS00835
OG0000206	MHP168_RS00805	E5E95_RS00855
OG0000207	MHP168_RS00790	E5E95_RS00870
OG0000208	MHP168_RS00785	E5E95_RS00875
OG0000209	MHP168_RS00780	E5E95_RS00880
OG0000210	MHP168_RS00730	E5E95_RS00925
OG0000211	MHP168_RS00715	E5E95_RS00955
OG0000212	MHP168_RS00705	E5E95_RS00965
OG0000213	MHP168_RS03705	E5E95_RS00970
OG0000214	MHP168_RS00700	E5E95_RS00975
OG0000215	MHP168_RS00695	E5E95_RS00980
OG0000216	MHP168_RS00690	E5E95_RS00985
OG0000217	MHP168_RS00685	E5E95_RS00995
OG0000218	MHP168_RS00675	E5E95_RS01000
OG0000219	MHP168_RS00670	E5E95_RS01005
OG0000220	MHP168_RS00665	E5E95_RS01010
OG0000221	MHP168_RS00660	E5E95_RS01015
OG0000222	MHP168_RS00655	E5E95_RS01020
OG0000223	MHP168_RS00650	E5E95_RS01025
OG0000224	MHP168_RS00640	E5E95_RS01035
OG0000225	MHP168_RS00630	E5E95_RS01045
OG0000226	MHP168_RS00625	E5E95_RS01050
OG0000227	MHP168_RS00620	E5E95_RS01055
OG0000228	MHP168_RS04100	E5E95_RS04285
OG0000229	MHP168_RS00610	E5E95_RS01065
OG0000230	MHP168_RS00605	E5E95_RS01070
OG0000231	MHP168_RS00595	E5E95_RS01080
OG0000232	MHP168_RS00585	E5E95_RS01090
OG0000233	MHP168_RS01075	E5E95_RS01110
OG0000234	MHP168_RS01110	E5E95_RS01145
OG0000235	MHP168_RS01120	E5E95_RS01155
OG0000236	MHP168_RS01125	E5E95_RS01160
OG0000237	MHP168_RS01130	E5E95_RS01165
OG0000238	MHP168_RS01140	E5E95_RS01175
OG0000239	MHP168_RS02955	E5E95_RS03145
OG0000240	MHP168_RS02960	E5E95_RS03150
OG0000241	MHP168_RS02970	E5E95_RS03160
OG0000242	MHP168_RS02975	E5E95_RS03165
OG0000243	MHP168_RS02980	E5E95_RS03170
OG0000244	MHP168_RS02990	E5E95_RS03180
OG0000245	MHP168_RS03000	E5E95_RS03190
OG0000246	MHP168_RS00115	E5E95_RS00130
OG0000247	MHP168_RS00125	E5E95_RS00140
OG0000248	MHP168_RS00135	E5E95_RS00150
OG0000249	MHP168_RS00140	E5E95_RS00155
OG0000250	MHP168_RS00155	E5E95_RS00170
OG0000251	MHP168_RS00180	E5E95_RS00205
OG0000252	MHP168_RS00190	E5E95_RS00215
OG0000253	MHP168_RS00195	E5E95_RS00220
OG0000254	MHP168_RS00205	E5E95_RS00230
OG0000255	MHP168_RS00215	E5E95_RS00240
OG0000256	MHP168_RS00220	E5E95_RS00245
OG0000257	MHP168_RS00245	E5E95_RS00270
OG0000258	MHP168_RS00255	E5E95_RS00280
OG0000259	MHP168_RS00285	E5E95_RS00310
OG0000260	MHP168_RS00295	E5E95_RS00320
OG0000261	MHP168_RS00305	E5E95_RS00330
OG0000262	MHP168_RS00320	E5E95_RS00350
OG0000263	MHP168_RS00335	E5E95_RS00360
OG0000264	MHP168_RS00350	E5E95_RS00375
OG0000265	MHP168_RS00360	E5E95_RS00385
OG0000266	MHP168_RS00375	E5E95_RS00400
OG0000267	MHP168_RS00390	E5E95_RS00415
OG0000268	MHP168_RS00395	E5E95_RS00420
OG0000269	MHP168_RS00410	E5E95_RS00435
OG0000270	MHP168_RS03460	E5E95_RS03710
OG0000271	MHP168_RS03455	E5E95_RS03705
OG0000272	MHP168_RS03450	E5E95_RS03700
OG0000273	MHP168_RS03445	E5E95_RS03695
OG0000274	MHP168_RS03425	E5E95_RS03675
OG0000275	MHP168_RS03420	E5E95_RS03670
OG0000276	MHP168_RS03415	E5E95_RS03665
OG0000277	MHP168_RS03405	E5E95_RS03655
OG0000278	MHP168_RS03400	E5E95_RS03650
OG0000279	MHP168_RS03390	E5E95_RS03640
OG0000280	MHP168_RS03385	E5E95_RS03635
OG0000281	MHP168_RS03790	E5E95_RS03630
OG0000282	MHP168_RS03360	E5E95_RS03605
OG0000283	MHP168_RS03355	E5E95_RS03600
OG0000284	MHP168_RS03350	E5E95_RS03595
OG0000285	MHP168_RS03345	E5E95_RS03590
OG0000286	MHP168_RS02425	E5E95_RS04305
OG0000287	MHP168_RS02525	E5E95_RS02720
OG0000288	MHP168_RS02535	E5E95_RS02730
OG0000289	MHP168_RS02540	E5E95_RS02735
OG0000290	MHP168_RS02650	E5E95_RS02845
OG0000291	MHP168_RS02640	E5E95_RS02835
OG0000292	MHP168_RS02635	E5E95_RS02830
OG0000293	MHP168_RS02630	E5E95_RS02825
OG0000294	MHP168_RS02620	E5E95_RS02815
OG0000295	MHP168_RS02615	E5E95_RS02810
OG0000296	MHP168_RS02575	E5E95_RS02770
OG0000297	MHP168_RS02570	E5E95_RS02765
OG0000298	MHP168_RS00150	E5E95_RS00165
OG0000299	MHP168_RS03690	E5E95_RS00190
OG0000300	MHP168_RS00345	E5E95_RS00370
OG0000301	MHP168_RS00380	E5E95_RS00405
OG0000302	MHP168_RS00385	E5E95_RS00410
OG0000303	MHP168_RS00540	E5E95_RS00560
OG0000304	MHP168_RS00580	E5E95_RS01095
OG0000305	MHP168_RS02890	E5E95_RS03080
OG0000306	MHP168_RS02810	E5E95_RS03005
OG0000307	MHP168_RS02775	E5E95_RS02970
OG0000308	MHP168_RS02675	E5E95_RS02875
OG0000309	MHP168_RS02605	E5E95_RS02800
OG0000310	MHP168_RS02530	E5E95_RS02725
OG0000311	MHP168_RS02485	E5E95_RS02690
OG0000312	MHP168_RS02470	E5E95_RS02675
OG0000313	MHP168_RS01820	E5E95_RS01620
OG0000314	MHP168_RS02030	E5E95_RS02075
OG0000315	MHP168_RS02060	E5E95_RS02105
OG0000316	MHP168_RS02070	E5E95_RS02115
OG0000317	MHP168_RS02205	E5E95_RS02205
OG0000318	MHP168_RS02075	E5E95_RS02120
OG0000319	MHP168_RS02145	E5E95_RS02345
OG0000320	MHP168_RS02360	E5E95_RS02570
OG0000321	MHP168_RS01420	E5E95_RS01350
OG0000322	MHP168_RS01465	E5E95_RS01395
OG0000323	MHP168_RS01595	E5E95_RS01525
OG0000324	MHP168_RS02270	E5E95_RS02385
OG0000325	MHP168_RS00955	E5E95_RS00700
OG0000326	MHP168_RS00865	E5E95_RS00795
OG0000327	MHP168_RS00860	E5E95_RS00800
OG0000328	MHP168_RS00775	E5E95_RS00885
OG0000329	MHP168_RS00750	E5E95_RS00905
OG0000330	MHP168_RS01085	E5E95_RS01120
OG0000331	MHP168_RS02985	E5E95_RS03175
OG0000332	MHP168_RS03095	E5E95_RS03320
OG0000333	MHP168_RS03105	E5E95_RS03330
OG0000334	MHP168_RS03205	E5E95_RS03440
OG0000335	MHP168_RS03215	E5E95_RS03450
OG0000336	MHP168_RS03375	E5E95_RS03620
OG0000337	MHP168_RS03615	E5E95_RS03795
OG0000338	MHP168_RS03655	E5E95_RS03835
OG0000339	MHP168_RS02330	E5E95_RS02540
OG0000340	MHP168_RS01395	E5E95_RS01330
OG0000341	MHP168_RS02290	E5E95_RS02405
OG0000342	MHP168_RS00925	E5E95_RS00730
OG0000343	MHP168_RS03115	E5E95_RS03340
OG0000344	MHP168_RS00555	E5E95_RS00575
OG0000345	MHP168_RS00635	E5E95_RS01040
OG0000346	MHP168_RS03380	E5E95_RS03625
OG0000347	MHP168_RS01490	E5E95_RS01420
OG0000348	MHP168_RS00855	E5E95_RS00805
OG0000349	MHP168_RS03435	E5E95_RS03685
OG0000350	MHP168_RS02765	E5E95_RS02960
OG0000351	MHP168_RS00475	E5E95_RS00495
OG0000352	MHP168_RS02005	E5E95_RS02050
OG0000353	MHP168_RS01460	E5E95_RS01390
OG0000354	MHP168_RS01015	E5E95_RS00635
OG0000355	MHP168_RS01975	E5E95_RS02020
OG0000356	MHP168_RS02065	E5E95_RS02110
OG0000357	MHP168_RS03075	E5E95_RS03300
OG0000358	MHP168_RS03080	E5E95_RS03305
OG0000359	MHP168_RS00885	E5E95_RS00775
OG0000360	MHP168_RS00250	E5E95_RS00275
OG0000361	MHP168_RS00280	E5E95_RS00305
OG0000362	MHP168_RS02550	E5E95_RS02745
OG0000363	MHP168_RS01530	E5E95_RS03985
OG0000364	MHP168_RS01955	E5E95_RS01995
OG0000365	MHP168_RS02260	E5E95_RS02150
OG0000366	MHP168_RS02235	E5E95_RS02175
OG0000367	MHP168_RS02225	E5E95_RS02185
OG0000368	MHP168_RS00060	E5E95_RS00060
OG0000369	MHP168_RS00025	E5E95_RS00025
OG0000370	MHP168_RS00020	E5E95_RS00020
OG0000371	MHP168_RS00015	E5E95_RS00015
OG0000372	MHP168_RS00010	E5E95_RS00010
OG0000373	MHP168_RS03645	E5E95_RS03825
OG0000374	MHP168_RS03635	E5E95_RS03815
OG0000375	MHP168_RS02150	E5E95_RS02340
OG0000376	MHP168_RS02375	E5E95_RS02585
OG0000377	MHP168_RS02365	E5E95_RS02575
OG0000378	MHP168_RS01375	E5E95_RS01310
OG0000379	MHP168_RS01455	E5E95_RS01385
OG0000380	MHP168_RS01480	E5E95_RS01410
OG0000381	MHP168_RS01520	E5E95_RS01450
OG0000382	MHP168_RS01550	E5E95_RS01480
OG0000383	MHP168_RS01590	E5E95_RS01520
OG0000384	MHP168_RS00495	E5E95_RS00515
OG0000385	MHP168_RS00500	E5E95_RS00520
OG0000386	MHP168_RS00520	E5E95_RS00540
OG0000387	MHP168_RS00545	E5E95_RS00565
OG0000388	MHP168_RS00550	E5E95_RS00570
OG0000389	MHP168_RS01035	E5E95_RS00615
OG0000390	MHP168_RS02910	E5E95_RS03100
OG0000391	MHP168_RS02900	E5E95_RS03090
OG0000392	MHP168_RS02875	E5E95_RS03065
OG0000393	MHP168_RS02815	E5E95_RS03010
OG0000394	MHP168_RS02740	E5E95_RS02940
OG0000395	MHP168_RS02735	E5E95_RS02930
OG0000397	MHP168_RS01990	E5E95_RS02035
OG0000398	MHP168_RS01995	E5E95_RS02040
OG0000399	MHP168_RS02045	E5E95_RS02090
OG0000400	MHP168_RS03040	E5E95_RS03265
OG0000401	MHP168_RS03100	E5E95_RS03325
OG0000402	MHP168_RS03110	E5E95_RS03335
OG0000403	MHP168_RS03120	E5E95_RS03345
OG0000404	MHP168_RS03150	E5E95_RS03375
OG0000405	MHP168_RS03165	E5E95_RS03390
OG0000406	MHP168_RS03220	E5E95_RS03455
OG0000407	MHP168_RS03225	E5E95_RS03460
OG0000408	MHP168_RS03230	E5E95_RS03465
OG0000409	MHP168_RS03235	E5E95_RS03470
OG0000410	MHP168_RS03290	E5E95_RS03530
OG0000411	MHP168_RS03280	E5E95_RS03520
OG0000412	MHP168_RS03275	E5E95_RS03515
OG0000413	MHP168_RS01605	E5E95_RS01535
OG0000414	MHP168_RS01615	E5E95_RS01545
OG0000415	MHP168_RS01620	E5E95_RS01550
OG0000416	MHP168_RS01630	E5E95_RS01560
OG0000417	MHP168_RS03990	E5E95_RS02400
OG0000418	MHP168_RS02280	E5E95_RS02395
OG0000419	MHP168_RS00945	E5E95_RS00710
OG0000420	MHP168_RS00910	E5E95_RS00745
OG0000421	MHP168_RS00880	E5E95_RS00780
OG0000422	MHP168_RS00870	E5E95_RS00790
OG0000423	MHP168_RS00815	E5E95_RS00845
OG0000424	MHP168_RS00810	E5E95_RS00850
OG0000425	MHP168_RS00800	E5E95_RS00860
OG0000426	MHP168_RS00795	E5E95_RS00865
OG0000427	MHP168_RS00770	E5E95_RS00890
OG0000428	MHP168_RS00740	E5E95_RS00915
OG0000429	MHP168_RS00645	E5E95_RS01030
OG0000430	MHP168_RS00600	E5E95_RS01075
OG0000431	MHP168_RS00590	E5E95_RS01085
OG0000432	MHP168_RS01080	E5E95_RS01115
OG0000433	MHP168_RS01095	E5E95_RS01130
OG0000434	MHP168_RS01100	E5E95_RS01135
OG0000435	MHP168_RS01115	E5E95_RS01150
OG0000436	MHP168_RS01145	E5E95_RS01180
OG0000437	MHP168_RS01155	E5E95_RS01190
OG0000438	MHP168_RS01160	E5E95_RS01195
OG0000439	MHP168_RS01165	E5E95_RS01200
OG0000440	MHP168_RS02965	E5E95_RS03155
OG0000441	MHP168_RS03010	E5E95_RS03195
OG0000442	MHP168_RS00120	E5E95_RS00135
OG0000443	MHP168_RS00165	E5E95_RS00185
OG0000444	MHP168_RS00175	E5E95_RS00200
OG0000445	MHP168_RS00200	E5E95_RS00225
OG0000446	MHP168_RS00230	E5E95_RS00255
OG0000447	MHP168_RS00235	E5E95_RS00260
OG0000448	MHP168_RS00265	E5E95_RS00290
OG0000449	MHP168_RS00290	E5E95_RS00315
OG0000450	MHP168_RS00300	E5E95_RS00325
OG0000451	MHP168_RS00340	E5E95_RS00365
OG0000452	MHP168_RS00365	E5E95_RS00390
OG0000453	MHP168_RS00400	E5E95_RS00425
OG0000455	MHP168_RS03480	E5E95_RS03730
OG0000456	MHP168_RS03365	E5E95_RS03610
OG0000457	MHP168_RS03340	E5E95_RS03585
OG0000458	MHP168_RS02520	E5E95_RS02715
OG0000459	MHP168_RS02545	E5E95_RS02740
OG0000460	MHP168_RS02555	E5E95_RS02750
OG0000461	MHP168_RS02600	E5E95_RS02795
OG0000462	MHP168_RS02595	E5E95_RS02790
OG0000463	MHP168_RS02590	E5E95_RS02785
OG0000464	MHP168_RS02585	E5E95_RS02780
OG0000465	MHP168_RS02580	E5E95_RS02775
OG0000466	MHP168_RS00370	E5E95_RS00395
OG0000467	MHP168_RS02685	E5E95_RS02880
OG0000468	MHP168_RS02040	E5E95_RS02085
OG0000469	MHP168_RS02100	E5E95_RS02145
OG0000470	MHP168_RS03855	E5E95_RS03895
OG0000471	MHP168_RS00735	E5E95_RS00920
OG0000472	MHP168_RS03300	E5E95_RS03540
OG0000473	MHP168_RS03465	E5E95_RS03715
OG0000474	MHP168_RS03470	E5E95_RS03720
OG0000475	MHP168_RS03475	E5E95_RS03725
OG0000476	MHP168_RS01640	E5E95_RS01570
OG0000477	MHP168_RS02625	E5E95_RS02820
OG0000478	MHP168_RS03410	E5E95_RS03660
OG0000479	MHP168_RS01415	E5E95_RS01345
OG0000480	MHP168_RS03890	E5E95_RS03865
OG0000481	MHP168_RS00845	E5E95_RS00815
OG0000482	MHP168_RS01285	E5E95_RS01230
OG0000483	MHP168_RS02220	E5E95_RS02190
OG0000484	MHP168_RS00170	E5E95_RS00195
OG0000485	MHP168_RS01150	E5E95_RS01185
OG0000486	MHP168_RS02305	E5E95_RS02420
OG0000487	MHP168_RS02080	E5E95_RS02125
OG0000488	MHP168_RS02250	E5E95_RS02160
OG0000489	MHP168_RS00050	E5E95_RS00050
OG0000490	MHP168_RS03650	E5E95_RS03830
OG0000491	MHP168_RS01435	E5E95_RS01365
OG0000492	MHP168_RS01510	E5E95_RS01440
OG0000493	MHP168_RS00560	E5E95_RS00580
OG0000494	MHP168_RS01010	E5E95_RS00640
OG0000495	MHP168_RS02845	E5E95_RS03035
OG0000496	MHP168_RS02835	E5E95_RS03025
OG0000497	MHP168_RS02830	E5E95_RS03020
OG0000500	MHP168_RS02000	E5E95_RS02045
OG0000501	MHP168_RS03050	E5E95_RS04280, E5E95_RS04275
OG0000502	MHP168_RS01275	E5E95_RS01220
OG0000503	MHP168_RS00900	E5E95_RS00760
OG0000506	MHP168_RS00710	E5E95_RS00960
OG0000508	MHP168_RS00225	E5E95_RS00250
OG0000509	MHP168_RS00260	E5E95_RS00285
OG0000510	MHP168_RS00270	E5E95_RS00295
OG0000511	MHP168_RS00405	E5E95_RS00430
OG0000512	MHP168_RS02560	E5E95_RS02755
