Orthogroup	MFC_MF18_genes	MHP_KM014_genes
OG0000065	DR082_RS01905	CIB43_RS03145
OG0000067	DR082_RS00530	CIB43_RS01410
OG0000068	DR082_RS00640	CIB43_RS01520
OG0000069	DR082_RS00795	CIB43_RS03740
OG0000070	DR082_RS01115	CIB43_RS03400
OG0000071	DR082_RS01840	CIB43_RS00360
OG0000072	DR082_RS03775	CIB43_RS00375
OG0000073	DR082_RS02205	CIB43_RS01580
OG0000075	DR082_RS00360	CIB43_RS01060
OG0000077	DR082_RS03065, DR082_RS00460	CIB43_RS01330
OG0000078	DR082_RS00920	CIB43_RS02560
OG0000079	DR082_RS01035	CIB43_RS03480
OG0000080	DR082_RS03280	CIB43_RS03525
OG0000081	DR082_RS00355	CIB43_RS01055
OG0000082	DR082_RS01095	CIB43_RS03315
OG0000083	DR082_RS02990	CIB43_RS02935
OG0000084	DR082_RS02700	CIB43_RS02955
OG0000086	DR082_RS03910	CIB43_RS02970
OG0000087	DR082_RS02730	CIB43_RS02975
OG0000088	DR082_RS02735	CIB43_RS02980
OG0000089	DR082_RS02745	CIB43_RS02990
OG0000090	DR082_RS00130	CIB43_RS00770
OG0000091	DR082_RS00115	CIB43_RS00760
OG0000092	DR082_RS00100	CIB43_RS00745
OG0000093	DR082_RS00095	CIB43_RS00735
OG0000094	DR082_RS00090	CIB43_RS00730
OG0000095	DR082_RS00065	CIB43_RS00715
OG0000096	DR082_RS00060	CIB43_RS00700
OG0000097	DR082_RS00040	CIB43_RS00690
OG0000100	DR082_RS02410	CIB43_RS00610
OG0000101	DR082_RS02405	CIB43_RS00600
OG0000102	DR082_RS02395	CIB43_RS02580
OG0000103	DR082_RS01870	CIB43_RS03110
OG0000104	DR082_RS01875	CIB43_RS03120
OG0000105	DR082_RS01890	CIB43_RS03130
OG0000106	DR082_RS01900	CIB43_RS03140
OG0000107	DR082_RS01910	CIB43_RS03150
OG0000108	DR082_RS01915	CIB43_RS03155
OG0000109	DR082_RS01920	CIB43_RS03160
OG0000110	DR082_RS01925	CIB43_RS03290
OG0000111	DR082_RS01930	CIB43_RS03285
OG0000112	DR082_RS01940	CIB43_RS03280
OG0000113	DR082_RS03785	CIB43_RS03260
OG0000114	DR082_RS01965	CIB43_RS03245
OG0000115	DR082_RS01975	CIB43_RS03230
OG0000116	DR082_RS01985	CIB43_RS02165
OG0000117	DR082_RS01990	CIB43_RS02170
OG0000118	DR082_RS02020	CIB43_RS02205
OG0000119	DR082_RS02025	CIB43_RS02210
OG0000120	DR082_RS02040	CIB43_RS02230
OG0000121	DR082_RS02065	CIB43_RS02250
OG0000122	DR082_RS02080	CIB43_RS02255
OG0000123	DR082_RS02870	CIB43_RS02275
OG0000124	DR082_RS02865	CIB43_RS02280
OG0000125	DR082_RS02860	CIB43_RS02285
OG0000126	DR082_RS02850	CIB43_RS02295
OG0000127	DR082_RS02840	CIB43_RS02305
OG0000128	DR082_RS02820	CIB43_RS02320
OG0000129	DR082_RS02815	CIB43_RS02330
OG0000130	DR082_RS02805	CIB43_RS02335
OG0000131	DR082_RS02775	CIB43_RS02370
OG0000132	DR082_RS03915	CIB43_RS02385
OG0000133	DR082_RS00535	CIB43_RS01415
OG0000134	DR082_RS03675	CIB43_RS01425
OG0000135	DR082_RS00555	CIB43_RS01435
OG0000136	DR082_RS00560	CIB43_RS01440
OG0000137	DR082_RS00590	CIB43_RS01470
OG0000138	DR082_RS00615	CIB43_RS01495
OG0000139	DR082_RS00645	CIB43_RS01525
OG0000140	DR082_RS00650	CIB43_RS01540
OG0000141	DR082_RS00675	CIB43_RS03850
OG0000142	DR082_RS03690	CIB43_RS03845
OG0000143	DR082_RS00705	CIB43_RS03835
OG0000144	DR082_RS00715	CIB43_RS03815
OG0000145	DR082_RS00725	CIB43_RS03805
OG0000146	DR082_RS00735	CIB43_RS03790
OG0000147	DR082_RS00740	CIB43_RS03785
OG0000148	DR082_RS00755	CIB43_RS03780
OG0000149	DR082_RS00765	CIB43_RS03760
OG0000150	DR082_RS00780	CIB43_RS03745
OG0000151	DR082_RS00840	CIB43_RS03700
OG0000152	DR082_RS00845	CIB43_RS03695
OG0000153	DR082_RS00850	CIB43_RS03690
OG0000154	DR082_RS00860	CIB43_RS03680
OG0000155	DR082_RS00880	CIB43_RS03645
OG0000156	DR082_RS00895	CIB43_RS03635
OG0000157	DR082_RS03695	CIB43_RS03625
OG0000158	DR082_RS03700	CIB43_RS03620
OG0000159	DR082_RS01145	CIB43_RS03385
OG0000160	DR082_RS01150	CIB43_RS03380
OG0000161	DR082_RS01155	CIB43_RS03375
OG0000163	DR082_RS01170	CIB43_RS03370
OG0000164	DR082_RS03710	CIB43_RS02495
OG0000165	DR082_RS02620	CIB43_RS02840
OG0000166	DR082_RS02640	CIB43_RS02860
OG0000167	DR082_RS02655	CIB43_RS02875
OG0000168	DR082_RS02660	CIB43_RS02880
OG0000169	DR082_RS01635	CIB43_RS00130
OG0000171	DR082_RS01680	CIB43_RS00155
OG0000172	DR082_RS01685	CIB43_RS00160
OG0000173	DR082_RS01690	CIB43_RS00165
OG0000174	DR082_RS01695	CIB43_RS00170
OG0000175	DR082_RS01710	CIB43_RS00190
OG0000176	DR082_RS01750	CIB43_RS00235
OG0000177	DR082_RS01755	CIB43_RS00240
OG0000178	DR082_RS01760	CIB43_RS00245
OG0000179	DR082_RS01770	CIB43_RS00255
OG0000180	DR082_RS01775	CIB43_RS00260
OG0000181	DR082_RS03760	CIB43_RS00310
OG0000182	DR082_RS01800	CIB43_RS00320
OG0000183	DR082_RS01835	CIB43_RS00355
OG0000184	DR082_RS02940	CIB43_RS00430
OG0000185	DR082_RS02925	CIB43_RS00380
OG0000186	DR082_RS02095	CIB43_RS02400
OG0000187	DR082_RS02110	CIB43_RS02410
OG0000188	DR082_RS02120	CIB43_RS02425
OG0000189	DR082_RS03800	CIB43_RS03200
OG0000190	DR082_RS02135	CIB43_RS03195
OG0000191	DR082_RS02155	CIB43_RS03180
OG0000192	DR082_RS02165	CIB43_RS02085
OG0000193	DR082_RS02180	CIB43_RS02075
OG0000194	DR082_RS02190	CIB43_RS01560
OG0000195	DR082_RS02195	CIB43_RS01565
OG0000196	DR082_RS03805	CIB43_RS01585
OG0000197	DR082_RS02220	CIB43_RS01590
OG0000198	DR082_RS02235	CIB43_RS01605
OG0000199	DR082_RS02240	CIB43_RS01615
OG0000200	DR082_RS02255	CIB43_RS01630
OG0000201	DR082_RS02265	CIB43_RS01635
OG0000202	DR082_RS02320	CIB43_RS01690
OG0000203	DR082_RS02325	CIB43_RS01695
OG0000204	DR082_RS01220	CIB43_RS01700
OG0000205	DR082_RS01225	CIB43_RS01705
OG0000206	DR082_RS01245	CIB43_RS01735
OG0000207	DR082_RS01260	CIB43_RS01740
OG0000208	DR082_RS01265	CIB43_RS01745
OG0000209	DR082_RS01270	CIB43_RS01750
OG0000210	DR082_RS01315	CIB43_RS01800
OG0000211	DR082_RS01325	CIB43_RS01805
OG0000212	DR082_RS01335	CIB43_RS01815
OG0000213	DR082_RS01340	CIB43_RS01820
OG0000214	DR082_RS01345	CIB43_RS01825
OG0000215	DR082_RS01350	CIB43_RS01830
OG0000216	DR082_RS01355	CIB43_RS01835
OG0000217	DR082_RS01360	CIB43_RS01845
OG0000218	DR082_RS03735	CIB43_RS01850
OG0000219	DR082_RS01375	CIB43_RS01855
OG0000220	DR082_RS01380	CIB43_RS01860
OG0000221	DR082_RS01385	CIB43_RS01865
OG0000222	DR082_RS01390	CIB43_RS01870
OG0000223	DR082_RS01395	CIB43_RS01875
OG0000225	DR082_RS01415	CIB43_RS01895
OG0000226	DR082_RS01420	CIB43_RS01900
OG0000227	DR082_RS01425	CIB43_RS01905
OG0000228	DR082_RS03975	CIB43_RS01910
OG0000229	DR082_RS01435	CIB43_RS01915
OG0000230	DR082_RS01440	CIB43_RS01920
OG0000231	DR082_RS01450	CIB43_RS01935
OG0000232	DR082_RS01460	CIB43_RS01940
OG0000233	DR082_RS01470	CIB43_RS01965
OG0000234	DR082_RS01500	CIB43_RS02000
OG0000235	DR082_RS01510	CIB43_RS02005
OG0000236	DR082_RS01515	CIB43_RS02010
OG0000237	DR082_RS01535	CIB43_RS02015
OG0000238	DR082_RS01540	CIB43_RS02025
OG0000239	DR082_RS01570	CIB43_RS03860
OG0000240	DR082_RS01575	CIB43_RS03870
OG0000241	DR082_RS01585	CIB43_RS03875
OG0000242	DR082_RS01590	CIB43_RS03880
OG0000243	DR082_RS01595	CIB43_RS03885
OG0000244	DR082_RS01605	CIB43_RS03900
OG0000245	DR082_RS01615	CIB43_RS03905
OG0000246	DR082_RS00145	CIB43_RS00845
OG0000247	DR082_RS00155	CIB43_RS00850
OG0000248	DR082_RS00180	CIB43_RS00875
OG0000250	DR082_RS00200	CIB43_RS00885
OG0000251	DR082_RS00230	CIB43_RS00925
OG0000252	DR082_RS00240	CIB43_RS00930
OG0000253	DR082_RS00245	CIB43_RS00940
OG0000254	DR082_RS00255	CIB43_RS00950
OG0000255	DR082_RS00260	CIB43_RS00955
OG0000256	DR082_RS00265	CIB43_RS00960
OG0000257	DR082_RS00290	CIB43_RS00985
OG0000258	DR082_RS00300	CIB43_RS01015
OG0000259	DR082_RS00330	CIB43_RS01030
OG0000260	DR082_RS00340	CIB43_RS01045
OG0000262	DR082_RS00365	CIB43_RS01075
OG0000263	DR082_RS00380	CIB43_RS01080
OG0000264	DR082_RS00395	CIB43_RS01100
OG0000265	DR082_RS00405	CIB43_RS01110
OG0000266	DR082_RS00420	CIB43_RS01120
OG0000267	DR082_RS00435	CIB43_RS01135
OG0000268	DR082_RS00440	CIB43_RS01305
OG0000269	DR082_RS00455	CIB43_RS01320
OG0000270	DR082_RS03820	CIB43_RS00575
OG0000271	DR082_RS02340	CIB43_RS00570
OG0000272	DR082_RS02335	CIB43_RS00565
OG0000273	DR082_RS02330	CIB43_RS00560
OG0000274	DR082_RS02460	CIB43_RS00545
OG0000275	DR082_RS03850	CIB43_RS00535
OG0000276	DR082_RS02470	CIB43_RS00530
OG0000277	DR082_RS03855	CIB43_RS00525
OG0000278	DR082_RS02485	CIB43_RS00515
OG0000279	DR082_RS02495	CIB43_RS00510
OG0000280	DR082_RS02500	CIB43_RS00500
OG0000281	DR082_RS02505	CIB43_RS00495
OG0000283	DR082_RS02535	CIB43_RS00475
OG0000284	DR082_RS02540	CIB43_RS00460
OG0000285	DR082_RS03870	CIB43_RS00455
OG0000286	DR082_RS01100	CIB43_RS03345
OG0000287	DR082_RS01075	CIB43_RS03440
OG0000288	DR082_RS01065	CIB43_RS03450
OG0000289	DR082_RS01060	CIB43_RS03455
OG0000290	DR082_RS03275	CIB43_RS03565
OG0000291	DR082_RS00960	CIB43_RS03560
OG0000292	DR082_RS00965	CIB43_RS03550
OG0000293	DR082_RS00970	CIB43_RS03545
OG0000294	DR082_RS00980	CIB43_RS03540
OG0000295	DR082_RS00985	CIB43_RS03530
OG0000296	DR082_RS01025	CIB43_RS03495
OG0000297	DR082_RS01030	CIB43_RS03485
OG0000298	DR082_RS00195	CIB43_RS00880
OG0000299	DR082_RS00215	CIB43_RS00915
OG0000300	DR082_RS00390	CIB43_RS01090
OG0000301	DR082_RS00425	CIB43_RS01125
OG0000302	DR082_RS00430	CIB43_RS01130
OG0000303	DR082_RS00565	CIB43_RS01455
OG0000304	DR082_RS00600	CIB43_RS01950
OG0000305	DR082_RS00730	CIB43_RS03795
OG0000306	DR082_RS00810	CIB43_RS03725
OG0000307	DR082_RS00855	CIB43_RS03685
OG0000308	DR082_RS00940	CIB43_RS03600
OG0000309	DR082_RS00995	CIB43_RS03520
OG0000310	DR082_RS01070	CIB43_RS03445
OG0000311	DR082_RS01120	CIB43_RS03405
OG0000312	DR082_RS01140	CIB43_RS03390
OG0000313	DR082_RS01190	CIB43_RS02485
OG0000314	DR082_RS02635	CIB43_RS02855
OG0000315	DR082_RS02665	CIB43_RS02885
OG0000316	DR082_RS02675	CIB43_RS02895
OG0000317	DR082_RS02740	CIB43_RS02985
OG0000318	DR082_RS03940	CIB43_RS02900
OG0000319	DR082_RS01885	CIB43_RS03125
OG0000320	DR082_RS01950	CIB43_RS03270
OG0000321	DR082_RS02015	CIB43_RS02200
OG0000322	DR082_RS02060	CIB43_RS02245
OG0000323	DR082_RS02765	CIB43_RS02375
OG0000324	DR082_RS02160	CIB43_RS03170
OG0000325	DR082_RS02200	CIB43_RS01570
OG0000326	DR082_RS02295	CIB43_RS01665
OG0000327	DR082_RS02300	CIB43_RS01670
OG0000328	DR082_RS01275	CIB43_RS01760
OG0000329	DR082_RS01295	CIB43_RS01775
OG0000330	DR082_RS01480	CIB43_RS01970
OG0000331	DR082_RS01600	CIB43_RS03890
OG0000332	DR082_RS01720	CIB43_RS00200
OG0000333	DR082_RS01730	CIB43_RS00210
OG0000334	DR082_RS01795	CIB43_RS00315
OG0000335	DR082_RS03765	CIB43_RS00340
OG0000336	DR082_RS03865	CIB43_RS00485
OG0000337	DR082_RS00015	CIB43_RS00655
OG0000338	DR082_RS00055	CIB43_RS00695
OG0000339	DR082_RS01970	CIB43_RS03235
OG0000340	DR082_RS01995	CIB43_RS02185
OG0000341	DR082_RS02140	CIB43_RS03190
OG0000342	DR082_RS02230	CIB43_RS01600
OG0000343	DR082_RS01740	CIB43_RS00215
OG0000344	DR082_RS00580	CIB43_RS01465
OG0000345	DR082_RS01410	CIB43_RS01890
OG0000346	DR082_RS03860	CIB43_RS00490
OG0000347	DR082_RS02875	CIB43_RS02270
OG0000348	DR082_RS03815	CIB43_RS01685
OG0000349	DR082_RS02450	CIB43_RS00550
OG0000350	DR082_RS00815	CIB43_RS03675
OG0000351	DR082_RS00515	CIB43_RS01385
OG0000352	DR082_RS02615	CIB43_RS02830
OG0000353	DR082_RS02055	CIB43_RS02240
OG0000354	DR082_RS00630	CIB43_RS01515
OG0000355	DR082_RS03715	CIB43_RS02805
OG0000356	DR082_RS03900	CIB43_RS02890
OG0000357	DR082_RS03750	CIB43_RS00175
OG0000358	DR082_RS01705	CIB43_RS00180
OG0000359	DR082_RS03810	CIB43_RS01650
OG0000360	DR082_RS00295	CIB43_RS00990
OG0000361	DR082_RS00325	CIB43_RS01020
OG0000362	DR082_RS01050	CIB43_RS03475
OG0000363	DR082_RS03985	CIB43_RS02310
OG0000369	DR082_RS03655	CIB43_RS00725
OG0000370	DR082_RS00080	CIB43_RS00720
OG0000378	DR082_RS01980	CIB43_RS02160
OG0000379	DR082_RS02050	CIB43_RS02235
OG0000381	DR082_RS02845	CIB43_RS02300
OG0000385	DR082_RS00525	CIB43_RS01405
OG0000389	DR082_RS00610	CIB43_RS01490
OG0000394	DR082_RS00870	CIB43_RS03660
OG0000396	DR082_RS01180	CIB43_RS03350
OG0000403	DR082_RS01745	CIB43_RS00220
OG0000404	DR082_RS03755	CIB43_RS00250
OG0000405	DR082_RS01780	CIB43_RS00265
OG0000409	DR082_RS01825	CIB43_RS00345
OG0000412	DR082_RS02930	CIB43_RS00390
OG0000417	DR082_RS02145	CIB43_RS03185
OG0000428	DR082_RS01305	CIB43_RS01785
OG0000429	DR082_RS01400	CIB43_RS01885
OG0000430	DR082_RS01445	CIB43_RS01925
OG0000434	DR082_RS01490	CIB43_RS01985
OG0000436	DR082_RS01545	CIB43_RS02030
OG0000437	DR082_RS01555	CIB43_RS02065
OG0000441	DR082_RS01620	CIB43_RS03910
OG0000451	DR082_RS00385	CIB43_RS01085
OG0000453	DR082_RS00445	CIB43_RS01315
OG0000457	DR082_RS02550	CIB43_RS00450
OG0000459	DR082_RS01055	CIB43_RS03460
OG0000463	DR082_RS01010	CIB43_RS03515
OG0000464	DR082_RS01015	CIB43_RS03500
OG0000466	DR082_RS00415	CIB43_RS01115
OG0000468	DR082_RS02645	CIB43_RS02870
OG0000471	DR082_RS01310	CIB43_RS01790
OG0000473	DR082_RS02350	CIB43_RS00580
OG0000474	DR082_RS02355	CIB43_RS00585
OG0000475	DR082_RS02360	CIB43_RS00595
OG0000482	DR082_RS02175	CIB43_RS02080
OG0000485	DR082_RS01550	CIB43_RS02035
OG0000486	DR082_RS02125	CIB43_RS03205
OG0000487	DR082_RS03945	CIB43_RS02915
OG0000488	DR082_RS02695	CIB43_RS02940
OG0000489	DR082_RS00110	CIB43_RS00750
OG0000491	DR082_RS02030	CIB43_RS02220
OG0000492	DR082_RS02855	CIB43_RS02290
OG0000495	DR082_RS00775	CIB43_RS03750
OG0000502	DR082_RS02185	CIB43_RS02070
OG0000504	DR082_RS01285	CIB43_RS01770
OG0000506	DR082_RS01330	CIB43_RS01810
OG0000508	DR082_RS00270	CIB43_RS00980
OG0000517	DR082_RS00125	CIB43_RS00765
OG0000519	DR082_RS02285	CIB43_RS01660
OG0000520	DR082_RS01300	CIB43_RS01780
OG0000523	DR082_RS02555	CIB43_RS00445
OG0000529	DR082_RS01895	CIB43_RS03135
OG0000530	DR082_RS01960	CIB43_RS03250
OG0000531	DR082_RS03140	CIB43_RS02265
OG0000537	DR082_RS02225	CIB43_RS01595
OG0000538	DR082_RS01495	CIB43_RS01990
OG0000589	DR082_RS02910	CIB43_RS03055
OG0000595	DR082_RS01655	CIB43_RS03920
OG0000597	DR082_RS01645	CIB43_RS03915
