Orthogroup	MFC_MF18_genes	MFC_ATCC27716_genes
OG0000049	DR082_RS01640	MFC_RS03220, MFC_RS03365
OG0000050	DR082_RS01160	MFC_RS01260
OG0000051	DR082_RS01520	MFC_RS02240
OG0000052	DR082_RS03660	MFC_RS00160
OG0000053	DR082_RS03920	MFC_RS00665
OG0000054	DR082_RS01135	MFC_RS01235
OG0000055	DR082_RS03970	MFC_RS03540
OG0000056	DR082_RS02415	MFC_RS00325
OG0000057	DR082_RS00685	MFC_RS00965
OG0000062	DR082_RS00025	MFC_RS00270
OG0000063	DR082_RS00020	MFC_RS00275
OG0000064	DR082_RS00010	MFC_RS00285
OG0000065	DR082_RS01905	MFC_RS00440
OG0000066	DR082_RS02035	MFC_RS00570
OG0000067	DR082_RS00530	MFC_RS00800
OG0000068	DR082_RS00640	MFC_RS00910
OG0000069	DR082_RS00795	MFC_RS01075
OG0000070	DR082_RS01115	MFC_RS01215
OG0000071	DR082_RS01840	MFC_RS01630
OG0000072	DR082_RS03775	MFC_RS01635
OG0000073	DR082_RS02205	MFC_RS03395, MFC_RS03390
OG0000074	DR082_RS03730	MFC_RS03400
OG0000075	DR082_RS00360	MFC_RS02565
OG0000076	DR082_RS00375	MFC_RS02580
OG0000077	DR082_RS00460	MFC_RS02670
OG0000078	DR082_RS00920	MFC_RS03005
OG0000079	DR082_RS01035	MFC_RS02930, MFC_RS03120
OG0000080	DR082_RS03280	MFC_RS03315
OG0000081	DR082_RS00355	MFC_RS02560
OG0000082	DR082_RS01095	MFC_RS02870
OG0000083	DR082_RS02990	MFC_RS00040
OG0000084	DR082_RS02700	MFC_RS00070
OG0000085	DR082_RS02705	MFC_RS00075
OG0000086	DR082_RS03910	MFC_RS00085
OG0000087	DR082_RS02730	MFC_RS03320
OG0000088	DR082_RS02735	MFC_RS00105
OG0000089	DR082_RS02745	MFC_RS00115
OG0000090	DR082_RS00130	MFC_RS00165
OG0000091	DR082_RS00115	MFC_RS00180
OG0000092	DR082_RS00100	MFC_RS00195
OG0000093	DR082_RS00095	MFC_RS00200
OG0000094	DR082_RS00090	MFC_RS00205
OG0000095	DR082_RS00065	MFC_RS00230
OG0000096	DR082_RS00060	MFC_RS00235
OG0000097	DR082_RS00040	MFC_RS00255
OG0000098	DR082_RS00030	MFC_RS00265
OG0000099	DR082_RS02420	MFC_RS00320
OG0000100	DR082_RS02410	MFC_RS00335
OG0000101	DR082_RS02405	MFC_RS00340
OG0000102	DR082_RS02395	MFC_RS00350
OG0000103	DR082_RS01870	MFC_RS00405
OG0000104	DR082_RS01875	MFC_RS00410
OG0000105	DR082_RS01890	MFC_RS00425
OG0000106	DR082_RS01900	MFC_RS00435
OG0000107	DR082_RS01910	MFC_RS00445
OG0000108	DR082_RS01915	MFC_RS00450
OG0000109	DR082_RS01920	MFC_RS00455
OG0000110	DR082_RS01925	MFC_RS00460
OG0000111	DR082_RS01930	MFC_RS00465
OG0000112	DR082_RS01940	MFC_RS00475
OG0000113	DR082_RS03785	MFC_RS00490
OG0000114	DR082_RS01965	MFC_RS00500
OG0000115	DR082_RS01975	MFC_RS00510
OG0000116	DR082_RS01985	MFC_RS00520
OG0000117	DR082_RS01990	MFC_RS00525
OG0000118	DR082_RS02020	MFC_RS00555
OG0000119	DR082_RS02025	MFC_RS00560
OG0000120	DR082_RS02040	MFC_RS00575
OG0000121	DR082_RS02065	MFC_RS00600
OG0000122	DR082_RS02080	MFC_RS00605
OG0000123	DR082_RS02870	MFC_RS00625
OG0000124	DR082_RS02865	MFC_RS00630
OG0000125	DR082_RS02860	MFC_RS00635
OG0000126	DR082_RS02850	MFC_RS00645
OG0000127	DR082_RS02840	MFC_RS00655
OG0000128	DR082_RS02820	MFC_RS00670
OG0000129	DR082_RS02815	MFC_RS00675
OG0000130	DR082_RS02805	MFC_RS00685
OG0000131	DR082_RS02775	MFC_RS00715
OG0000132	DR082_RS03915	MFC_RS00735
OG0000133	DR082_RS00535	MFC_RS00805
OG0000134	DR082_RS03675	MFC_RS00810
OG0000135	DR082_RS00555	MFC_RS00825
OG0000136	DR082_RS00560	MFC_RS00830
OG0000137	DR082_RS00590	MFC_RS00860
OG0000138	DR082_RS00615	MFC_RS00885
OG0000139	DR082_RS00645	MFC_RS00915
OG0000140	DR082_RS00650	MFC_RS00920
OG0000141	DR082_RS00675	MFC_RS00955
OG0000142	DR082_RS03690	MFC_RS00960
OG0000143	DR082_RS00705	MFC_RS00985
OG0000144	DR082_RS00715	MFC_RS00995
OG0000145	DR082_RS00725	MFC_RS01005
OG0000146	DR082_RS00735	MFC_RS01015
OG0000147	DR082_RS00740	MFC_RS01020
OG0000148	DR082_RS00755	MFC_RS01035
OG0000149	DR082_RS00765	MFC_RS01045
OG0000150	DR082_RS00780	MFC_RS01060
OG0000151	DR082_RS00840	MFC_RS01115
OG0000152	DR082_RS00845	MFC_RS01120
OG0000153	DR082_RS00850	MFC_RS01125
OG0000154	DR082_RS00860	MFC_RS01135
OG0000155	DR082_RS00880	MFC_RS01155
OG0000156	DR082_RS00895	MFC_RS01175
OG0000157	DR082_RS03695	MFC_RS01180
OG0000158	DR082_RS03700	MFC_RS01190
OG0000159	DR082_RS01145	MFC_RS01245
OG0000160	DR082_RS01150	MFC_RS01250
OG0000161	DR082_RS01155	MFC_RS01255
OG0000162	DR082_RS01165	MFC_RS01265
OG0000163	DR082_RS01170	MFC_RS01270
OG0000164	DR082_RS03710	MFC_RS01300
OG0000165	DR082_RS02620	MFC_RS01345
OG0000166	DR082_RS02640	MFC_RS01365
OG0000167	DR082_RS02655	MFC_RS01380
OG0000168	DR082_RS02660	MFC_RS01385
OG0000169	DR082_RS01635	MFC_RS01430
OG0000170	DR082_RS01670	MFC_RS01455
OG0000171	DR082_RS01680	MFC_RS01465
OG0000172	DR082_RS01685	MFC_RS01470
OG0000173	DR082_RS01690	MFC_RS01475
OG0000174	DR082_RS01695	MFC_RS01480
OG0000175	DR082_RS01710	MFC_RS01495
OG0000176	DR082_RS01750	MFC_RS01540
OG0000177	DR082_RS01755	MFC_RS01545
OG0000178	DR082_RS01760	MFC_RS01550
OG0000179	DR082_RS01770	MFC_RS01560
OG0000180	DR082_RS01775	MFC_RS01565
OG0000181	DR082_RS03760	MFC_RS01580
OG0000182	DR082_RS01800	MFC_RS01590
OG0000183	DR082_RS01835	MFC_RS01625
OG0000184	DR082_RS02940	MFC_RS01655
OG0000185	DR082_RS02925	MFC_RS01670
OG0000186	DR082_RS02095	MFC_RS01710
OG0000187	DR082_RS02110	MFC_RS01725
OG0000188	DR082_RS02120	MFC_RS01735
OG0000189	DR082_RS03800	MFC_RS03385
OG0000190	DR082_RS02135	MFC_RS01750
OG0000191	DR082_RS02155	MFC_RS01770
OG0000192	DR082_RS02165	MFC_RS01780
OG0000193	DR082_RS02180	MFC_RS01795
OG0000194	DR082_RS02190	MFC_RS01805
OG0000195	DR082_RS02195	MFC_RS01810
OG0000196	DR082_RS03805	MFC_RS01830
OG0000197	DR082_RS02220	MFC_RS01835
OG0000198	DR082_RS02235	MFC_RS01850
OG0000199	DR082_RS02240	MFC_RS01855
OG0000200	DR082_RS02255	MFC_RS01865
OG0000201	DR082_RS02265	MFC_RS01875
OG0000202	DR082_RS02320	MFC_RS01930
OG0000203	DR082_RS02325	MFC_RS01935
OG0000204	DR082_RS01220	MFC_RS01940
OG0000205	DR082_RS01225	MFC_RS01945
OG0000206	DR082_RS01245	MFC_RS01965
OG0000207	DR082_RS01260	MFC_RS01980
OG0000208	DR082_RS01265	MFC_RS01985
OG0000209	DR082_RS01270	MFC_RS01990
OG0000210	DR082_RS01315	MFC_RS02040
OG0000211	DR082_RS01325	MFC_RS02050
OG0000212	DR082_RS01335	MFC_RS02060
OG0000213	DR082_RS01340	MFC_RS02065
OG0000214	DR082_RS01345	MFC_RS02070
OG0000215	DR082_RS01350	MFC_RS02075
OG0000216	DR082_RS01355	MFC_RS02080
OG0000217	DR082_RS01360	MFC_RS02085
OG0000218	DR082_RS03735	MFC_RS02095
OG0000219	DR082_RS01375	MFC_RS02100
OG0000220	DR082_RS01380	MFC_RS02105
OG0000221	DR082_RS01385	MFC_RS02110
OG0000222	DR082_RS01390	MFC_RS03235
OG0000223	DR082_RS01395	MFC_RS02115
OG0000224	DR082_RS01405	MFC_RS02125
OG0000225	DR082_RS01415	MFC_RS02135
OG0000226	DR082_RS01420	MFC_RS02140
OG0000227	DR082_RS01425	MFC_RS02145
OG0000228	DR082_RS03975	MFC_RS03530
OG0000229	DR082_RS01435	MFC_RS02155
OG0000230	DR082_RS01440	MFC_RS02160
OG0000231	DR082_RS01450	MFC_RS02170
OG0000232	DR082_RS01460	MFC_RS02180
OG0000233	DR082_RS01470	MFC_RS02190
OG0000234	DR082_RS01500	MFC_RS02220
OG0000235	DR082_RS01510	MFC_RS02230
OG0000236	DR082_RS01515	MFC_RS02235
OG0000237	DR082_RS01535	MFC_RS02250
OG0000238	DR082_RS01540	MFC_RS02255
OG0000239	DR082_RS01570	MFC_RS02285
OG0000240	DR082_RS01575	MFC_RS02290
OG0000241	DR082_RS01585	MFC_RS02300
OG0000242	DR082_RS01590	MFC_RS02305
OG0000243	DR082_RS01595	MFC_RS02310
OG0000244	DR082_RS01605	MFC_RS02320
OG0000245	DR082_RS01615	MFC_RS02330
OG0000246	DR082_RS00145	MFC_RS02345
OG0000247	DR082_RS00155	MFC_RS02355
OG0000248	DR082_RS00180	MFC_RS02380
OG0000249	DR082_RS00185	MFC_RS02385
OG0000250	DR082_RS00200	MFC_RS02400
OG0000251	DR082_RS00230	MFC_RS02430
OG0000252	DR082_RS00240	MFC_RS02440
OG0000253	DR082_RS00245	MFC_RS02445
OG0000254	DR082_RS00255	MFC_RS02455
OG0000255	DR082_RS00260	MFC_RS02465
OG0000256	DR082_RS00265	MFC_RS02470
OG0000257	DR082_RS00290	MFC_RS02495
OG0000258	DR082_RS00300	MFC_RS02505
OG0000259	DR082_RS00330	MFC_RS02535
OG0000260	DR082_RS00340	MFC_RS02545
OG0000261	DR082_RS03670	MFC_RS02555
OG0000262	DR082_RS00365	MFC_RS02570
OG0000263	DR082_RS00380	MFC_RS02585
OG0000264	DR082_RS00395	MFC_RS02600
OG0000265	DR082_RS00405	MFC_RS02610
OG0000266	DR082_RS00420	MFC_RS02625
OG0000267	DR082_RS00435	MFC_RS02640
OG0000268	DR082_RS00440	MFC_RS02645
OG0000269	DR082_RS00455	MFC_RS02660
OG0000270	DR082_RS03820	MFC_RS02720
OG0000271	DR082_RS02340	MFC_RS02725
OG0000272	DR082_RS02335	MFC_RS02730
OG0000273	DR082_RS02330	MFC_RS02735
OG0000274	DR082_RS02460	MFC_RS02755
OG0000275	DR082_RS03850	MFC_RS03455
OG0000276	DR082_RS02470	MFC_RS02765
OG0000277	DR082_RS03855	MFC_RS02775
OG0000278	DR082_RS02485	MFC_RS02780
OG0000279	DR082_RS02495	MFC_RS02790
OG0000280	DR082_RS02500	MFC_RS02795
OG0000281	DR082_RS02505	MFC_RS03255
OG0000282	DR082_RS02530	MFC_RS02820
OG0000283	DR082_RS02535	MFC_RS02825
OG0000284	DR082_RS02540	MFC_RS02830
OG0000285	DR082_RS03870	MFC_RS02835
OG0000286	DR082_RS01100	MFC_RS02865
OG0000287	DR082_RS01075	MFC_RS02890
OG0000288	DR082_RS01065	MFC_RS02900
OG0000289	DR082_RS01060	MFC_RS02905
OG0000290	DR082_RS03275	MFC_RS03030
OG0000291	DR082_RS00960	MFC_RS03040
OG0000292	DR082_RS00965	MFC_RS03045
OG0000293	DR082_RS00970	MFC_RS03050
OG0000294	DR082_RS00980	MFC_RS03060
OG0000295	DR082_RS00985	MFC_RS03065
OG0000296	DR082_RS01025	MFC_RS03110
OG0000297	DR082_RS01030	MFC_RS03115
OG0000298	DR082_RS00195	MFC_RS02395
OG0000299	DR082_RS00215	MFC_RS02415
OG0000300	DR082_RS00390	MFC_RS02595
OG0000301	DR082_RS00425	MFC_RS02630
OG0000302	DR082_RS00430	MFC_RS02635
OG0000303	DR082_RS00565	MFC_RS00835
OG0000304	DR082_RS00600	MFC_RS00865
OG0000305	DR082_RS00730	MFC_RS01010
OG0000306	DR082_RS00810	MFC_RS01090
OG0000307	DR082_RS00855	MFC_RS01130
OG0000308	DR082_RS00940	MFC_RS03020
OG0000309	DR082_RS00995	MFC_RS03075
OG0000310	DR082_RS01070	MFC_RS02895
OG0000311	DR082_RS01120	MFC_RS01220
OG0000312	DR082_RS01140	MFC_RS01240
OG0000313	DR082_RS01190	MFC_RS01290
OG0000314	DR082_RS02635	MFC_RS01360
OG0000315	DR082_RS02665	MFC_RS01390
OG0000316	DR082_RS02675	MFC_RS01400
OG0000317	DR082_RS02740	MFC_RS00110
OG0000318	DR082_RS03940	MFC_RS00020
OG0000319	DR082_RS01885	MFC_RS00420
OG0000320	DR082_RS01950	MFC_RS00485
OG0000321	DR082_RS02015	MFC_RS00550
OG0000322	DR082_RS02060	MFC_RS00595
OG0000323	DR082_RS02765	MFC_RS00725
OG0000324	DR082_RS02160	MFC_RS01775
OG0000325	DR082_RS02200	MFC_RS01815
OG0000326	DR082_RS02295	MFC_RS01905
OG0000327	DR082_RS02300	MFC_RS01910
OG0000328	DR082_RS01275	MFC_RS01995
OG0000329	DR082_RS01295	MFC_RS02020
OG0000330	DR082_RS01480	MFC_RS02200
OG0000331	DR082_RS01600	MFC_RS02315
OG0000332	DR082_RS01720	MFC_RS01505
OG0000333	DR082_RS01730	MFC_RS01515
OG0000334	DR082_RS01795	MFC_RS01585
OG0000335	DR082_RS03765	MFC_RS01595
OG0000336	DR082_RS03865	MFC_RS02805
OG0000337	DR082_RS00015	MFC_RS00280
OG0000338	DR082_RS00055	MFC_RS00240
OG0000339	DR082_RS01970	MFC_RS00505
OG0000340	DR082_RS01995	MFC_RS00530
OG0000341	DR082_RS02140	MFC_RS01755
OG0000342	DR082_RS02230	MFC_RS01845
OG0000343	DR082_RS01740	MFC_RS01525
OG0000344	DR082_RS00580	MFC_RS00850
OG0000345	DR082_RS01410	MFC_RS02130
OG0000346	DR082_RS03860	MFC_RS02800
OG0000347	DR082_RS02875	MFC_RS00620
OG0000348	DR082_RS03815	MFC_RS01915
OG0000349	DR082_RS02450	MFC_RS02745
OG0000350	DR082_RS00815	MFC_RS03345
OG0000351	DR082_RS00515	MFC_RS00785
OG0000352	DR082_RS02615	MFC_RS01340
OG0000353	DR082_RS02055	MFC_RS00590
OG0000354	DR082_RS00630	MFC_RS00900
OG0000355	DR082_RS03715	MFC_RS01315
OG0000356	DR082_RS03900	MFC_RS01395
OG0000357	DR082_RS03750	MFC_RS01485
OG0000358	DR082_RS01705	MFC_RS01490
OG0000359	DR082_RS03810	MFC_RS01885
OG0000360	DR082_RS00295	MFC_RS02500
OG0000361	DR082_RS00325	MFC_RS02530
OG0000362	DR082_RS01050	MFC_RS02915
OG0000363	DR082_RS03985	MFC_RS00660
OG0000365	DR082_RS03955	MFC_RS00050
OG0000366	DR082_RS02710	MFC_RS00080
OG0000367	DR082_RS02720	MFC_RS00090
OG0000368	DR082_RS00120	MFC_RS00175
OG0000369	DR082_RS03655	MFC_RS00210
OG0000370	DR082_RS00080	MFC_RS00215
OG0000371	DR082_RS00075	MFC_RS00220
OG0000372	DR082_RS00070	MFC_RS00225
OG0000373	DR082_RS00045	MFC_RS00250
OG0000374	DR082_RS00035	MFC_RS00260
OG0000375	DR082_RS01880	MFC_RS00415
OG0000376	DR082_RS01935	MFC_RS00470
OG0000377	DR082_RS01945	MFC_RS00480
OG0000378	DR082_RS01980	MFC_RS00515
OG0000379	DR082_RS02050	MFC_RS00585
OG0000381	DR082_RS02845	MFC_RS00650
OG0000382	DR082_RS02810	MFC_RS00680
OG0000383	DR082_RS02770	MFC_RS00720
OG0000384	DR082_RS00520	MFC_RS00790
OG0000385	DR082_RS00525	MFC_RS00795
OG0000386	DR082_RS00545	MFC_RS00815
OG0000387	DR082_RS00570	MFC_RS00840
OG0000388	DR082_RS03680	MFC_RS00845
OG0000389	DR082_RS00610	MFC_RS00880
OG0000390	DR082_RS00710	MFC_RS00990
OG0000391	DR082_RS00720	MFC_RS01000
OG0000392	DR082_RS00745	MFC_RS01030
OG0000393	DR082_RS00800	MFC_RS01080
OG0000394	DR082_RS00870	MFC_RS01145
OG0000395	DR082_RS00875	MFC_RS01150
OG0000396	DR082_RS01180	MFC_RS01280
OG0000397	DR082_RS02600	MFC_RS01325
OG0000398	DR082_RS02605	MFC_RS01330
OG0000399	DR082_RS02650	MFC_RS01375
OG0000400	DR082_RS01665	MFC_RS01450
OG0000401	DR082_RS01725	MFC_RS01510
OG0000402	DR082_RS01735	MFC_RS01520
OG0000403	DR082_RS01745	MFC_RS01530
OG0000404	DR082_RS03755	MFC_RS03375, MFC_RS01555
OG0000405	DR082_RS01780	MFC_RS01570
OG0000406	DR082_RS01810	MFC_RS01600
OG0000407	DR082_RS03770	MFC_RS01605
OG0000408	DR082_RS01820	MFC_RS01610
OG0000409	DR082_RS01825	MFC_RS01615
OG0000410	DR082_RS02945	MFC_RS01650
OG0000411	DR082_RS02935	MFC_RS01660
OG0000412	DR082_RS02930	MFC_RS01665
OG0000413	DR082_RS02090	MFC_RS01705
OG0000414	DR082_RS02100	MFC_RS01715
OG0000415	DR082_RS02105	MFC_RS01720
OG0000416	DR082_RS02115	MFC_RS01730
OG0000417	DR082_RS02145	MFC_RS01760
OG0000418	DR082_RS02150	MFC_RS01765
OG0000419	DR082_RS02210	MFC_RS01825
OG0000420	DR082_RS02245	MFC_RS01860
OG0000421	DR082_RS02280	MFC_RS01890
OG0000422	DR082_RS02290	MFC_RS01900
OG0000423	DR082_RS01235	MFC_RS01955
OG0000424	DR082_RS01240	MFC_RS01960
OG0000425	DR082_RS01250	MFC_RS01970
OG0000426	DR082_RS03720	MFC_RS01975
OG0000427	DR082_RS03725	MFC_RS02000
OG0000428	DR082_RS01305	MFC_RS02030
OG0000429	DR082_RS01400	MFC_RS02120
OG0000430	DR082_RS01445	MFC_RS02165
OG0000431	DR082_RS01455	MFC_RS02175
OG0000432	DR082_RS01475	MFC_RS02195
OG0000433	DR082_RS01485	MFC_RS02205
OG0000434	DR082_RS01490	MFC_RS02210
OG0000435	DR082_RS01505	MFC_RS02225
OG0000436	DR082_RS01545	MFC_RS03535
OG0000437	DR082_RS01555	MFC_RS02270
OG0000438	DR082_RS03740	MFC_RS02275
OG0000439	DR082_RS01565	MFC_RS02280
OG0000440	DR082_RS01580	MFC_RS02295
OG0000441	DR082_RS01620	MFC_RS02335
OG0000442	DR082_RS00150	MFC_RS02350
OG0000443	DR082_RS00210	MFC_RS02410
OG0000444	DR082_RS00225	MFC_RS02425
OG0000445	DR082_RS00250	MFC_RS02450
OG0000446	DR082_RS00275	MFC_RS02480
OG0000447	DR082_RS00280	MFC_RS02485
OG0000448	DR082_RS00310	MFC_RS02515
OG0000449	DR082_RS00335	MFC_RS02540
OG0000450	DR082_RS00345	MFC_RS02550
OG0000451	DR082_RS00385	MFC_RS02590
OG0000452	DR082_RS00410	MFC_RS02615
OG0000453	DR082_RS00445	MFC_RS02650
OG0000455	DR082_RS03825	MFC_RS02700
OG0000456	DR082_RS02525	MFC_RS02815
OG0000457	DR082_RS02550	MFC_RS02840
OG0000458	DR082_RS01080	MFC_RS02885
OG0000459	DR082_RS01055	MFC_RS02910
OG0000460	DR082_RS01045	MFC_RS02920
OG0000461	DR082_RS01000	MFC_RS03080
OG0000462	DR082_RS01005	MFC_RS03085
OG0000463	DR082_RS01010	MFC_RS03090
OG0000464	DR082_RS01015	MFC_RS03100
OG0000465	DR082_RS01020	MFC_RS03105
OG0000466	DR082_RS00415	MFC_RS02620
OG0000467	DR082_RS03705	MFC_RS03500
OG0000468	DR082_RS02645	MFC_RS01370
OG0000469	DR082_RS02985	MFC_RS00045
OG0000470	DR082_RS01230	MFC_RS01950
OG0000471	DR082_RS01310	MFC_RS02035
OG0000472	DR082_RS02585	MFC_RS01680
OG0000473	DR082_RS02350	MFC_RS02715
OG0000474	DR082_RS02355	MFC_RS02710
OG0000475	DR082_RS02360	MFC_RS02705
OG0000476	DR082_RS02400	MFC_RS00345
OG0000477	DR082_RS00975	MFC_RS03055
OG0000478	DR082_RS02475	MFC_RS02770
OG0000479	DR082_RS02010	MFC_RS00545
OG0000480	DR082_RS03145	MFC_RS03300
OG0000481	DR082_RS02315	MFC_RS01925
OG0000482	DR082_RS02175	MFC_RS01790
OG0000483	DR082_RS02725	MFC_RS00095
OG0000484	DR082_RS03665	MFC_RS02420
OG0000487	DR082_RS03945	MFC_RS00025
OG0000488	DR082_RS02695	MFC_RS00065
OG0000489	DR082_RS00110	MFC_RS00185
OG0000490	DR082_RS00050	MFC_RS00245
OG0000491	DR082_RS02030	MFC_RS00565
OG0000492	DR082_RS02855	MFC_RS00640
OG0000493	DR082_RS00585	MFC_RS00855
OG0000494	DR082_RS00635	MFC_RS00905
OG0000495	DR082_RS00775	MFC_RS01055
OG0000496	DR082_RS00785	MFC_RS01065
OG0000497	DR082_RS00790	MFC_RS01070
OG0000498	DR082_RS00865	MFC_RS01140
OG0000499	DR082_RS00905	MFC_RS01185
OG0000500	DR082_RS02610	MFC_RS01335
OG0000501	DR082_RS01675	MFC_RS01460
OG0000502	DR082_RS02185	MFC_RS01800
OG0000503	DR082_RS02260	MFC_RS01870
OG0000504	DR082_RS01285	MFC_RS02005
OG0000505	DR082_RS01320	MFC_RS02045
OG0000506	DR082_RS01330	MFC_RS02055
OG0000507	DR082_RS01365	MFC_RS02090
OG0000508	DR082_RS00270	MFC_RS02475
OG0000509	DR082_RS00305	MFC_RS02510
OG0000510	DR082_RS00315	MFC_RS02520
OG0000511	DR082_RS00450	MFC_RS02655
OG0000512	DR082_RS01040	MFC_RS02925
OG0000513	DR082_RS02490	MFC_RS02785
OG0000516	DR082_RS02960	MFC_RS00030
OG0000517	DR082_RS00125	MFC_RS00170
OG0000518	DR082_RS01715	MFC_RS01500
OG0000519	DR082_RS02285	MFC_RS01895
OG0000520	DR082_RS01300	MFC_RS02025
OG0000521	DR082_RS00285	MFC_RS02490
OG0000522	DR082_RS00320	MFC_RS02525
OG0000523	DR082_RS02555	MFC_RS02845
OG0000524	DR082_RS00935	MFC_RS03015
OG0000525	DR082_RS03885	MFC_RS01685
OG0000528	DR082_RS02970	MFC_RS00035
OG0000529	DR082_RS01895	MFC_RS00430
OG0000530	DR082_RS01960	MFC_RS00495
OG0000531	DR082_RS03140	MFC_RS00615
OG0000533	DR082_RS01465	MFC_RS02185
OG0000534	DR082_RS00400	MFC_RS02605
OG0000535	DR082_RS00105	MFC_RS00190
OG0000536	DR082_RS02425	MFC_RS00315
OG0000537	DR082_RS02225	MFC_RS01840
OG0000538	DR082_RS01495	MFC_RS02215
OG0000539	DR082_RS00235	MFC_RS02435
OG0000541	DR082_RS00890	MFC_RS01170
OG0000542	DR082_RS00370	MFC_RS02575
OG0000547	DR082_RS00700	MFC_RS00980
OG0000548	DR082_RS01185	MFC_RS01285
OG0000549	DR082_RS03890	MFC_RS01675
OG0000550	DR082_RS02455	MFC_RS02750
OG0000551	DR082_RS01610	MFC_RS02325
OG0000555	DR082_RS03245	MFC_RS03340
OG0000589	DR082_RS02910	MFC_RS03260
OG0000595	DR082_RS01655	MFC_RS01440
OG0000596	DR082_RS00170	MFC_RS02370
OG0000597	DR082_RS01645	MFC_RS01435
OG0000598	DR082_RS00165	MFC_RS02365
OG0000599	DR082_RS00160	MFC_RS02360
OG0000602	DR082_RS02690	MFC_RS00055
OG0000627	DR082_RS02430	MFC_RS00310
OG0000634	DR082_RS01865	MFC_RS00400
OG0000635	DR082_RS00915	MFC_RS01195
OG0000636	DR082_RS03355	MFC_RS03370
OG0000637	DR082_RS02170	MFC_RS01785
OG0000638	DR082_RS00465	MFC_RS02675
OG0000639	DR082_RS01530	MFC_RS03145
OG0000640	DR082_RS03220	MFC_RS03475
OG0000666	DR082_RS01525	MFC_RS03290
