Orthogroup	MFC_MF18_genes	MHP_ES2L_genes
OG0000122	DR082_RS02080	HZK19_RS01355
OG0000123	DR082_RS02870	HZK19_RS01375
OG0000124	DR082_RS02865	HZK19_RS01380
OG0000125	DR082_RS02860	HZK19_RS01385
OG0000126	DR082_RS02850	HZK19_RS01395
OG0000127	DR082_RS02840	HZK19_RS01405
OG0000128	DR082_RS02820	HZK19_RS01420
OG0000129	DR082_RS02815	HZK19_RS01425
OG0000130	DR082_RS02805	HZK19_RS01435
OG0000131	DR082_RS02775	HZK19_RS01465
OG0000132	DR082_RS03915	HZK19_RS01480
OG0000133	DR082_RS00535	HZK19_RS00520
OG0000134	DR082_RS03675	HZK19_RS00525
OG0000135	DR082_RS00555	HZK19_RS00540
OG0000136	DR082_RS00560	HZK19_RS00545
OG0000137	DR082_RS00590	HZK19_RS00575
OG0000138	DR082_RS00615	HZK19_RS00610
OG0000139	DR082_RS00645	HZK19_RS00640
OG0000140	DR082_RS00650	HZK19_RS00645
OG0000141	DR082_RS00675	HZK19_RS02895
OG0000142	DR082_RS03690	HZK19_RS02890
OG0000143	DR082_RS00705	HZK19_RS02870
OG0000144	DR082_RS00715	HZK19_RS02860
OG0000145	DR082_RS00725	HZK19_RS02850
OG0000146	DR082_RS00735	HZK19_RS02840
OG0000147	DR082_RS00740	HZK19_RS02835
OG0000148	DR082_RS00755	HZK19_RS02820
OG0000149	DR082_RS00765	HZK19_RS02810
OG0000150	DR082_RS00780	HZK19_RS02795
OG0000151	DR082_RS00840	HZK19_RS02750
OG0000152	DR082_RS00845	HZK19_RS02745
OG0000153	DR082_RS00850	HZK19_RS02740
OG0000154	DR082_RS00860	HZK19_RS02730
OG0000155	DR082_RS00880	HZK19_RS02690
OG0000156	DR082_RS00895	HZK19_RS02680
OG0000157	DR082_RS03695	HZK19_RS02675
OG0000158	DR082_RS03700	HZK19_RS03895
OG0000159	DR082_RS01145	HZK19_RS03970
OG0000160	DR082_RS01150	HZK19_RS02425
OG0000161	DR082_RS01155	HZK19_RS02420
OG0000162	DR082_RS01165	HZK19_RS02410
OG0000163	DR082_RS01170	HZK19_RS02405
OG0000164	DR082_RS03710	HZK19_RS01575
OG0000165	DR082_RS02620	HZK19_RS01905
OG0000166	DR082_RS02640	HZK19_RS01925
OG0000167	DR082_RS02655	HZK19_RS01940
OG0000168	DR082_RS02660	HZK19_RS01945
OG0000169	DR082_RS01635	HZK19_RS02990
OG0000170	DR082_RS01670	HZK19_RS03005
OG0000171	DR082_RS01680	HZK19_RS03110
OG0000172	DR082_RS01685	HZK19_RS03115
OG0000173	DR082_RS01690	HZK19_RS03120
OG0000174	DR082_RS01695	HZK19_RS03125
OG0000175	DR082_RS01710	HZK19_RS03140
OG0000176	DR082_RS01750	HZK19_RS03190
OG0000177	DR082_RS01755	HZK19_RS03195
OG0000178	DR082_RS01760	HZK19_RS03200
OG0000179	DR082_RS01770	HZK19_RS03210
OG0000180	DR082_RS01775	HZK19_RS03215
OG0000181	DR082_RS03760	HZK19_RS03265
OG0000182	DR082_RS01800	HZK19_RS03275
OG0000183	DR082_RS01835	HZK19_RS03310
OG0000184	DR082_RS02940	HZK19_RS03355
OG0000185	DR082_RS02925	HZK19_RS03340
OG0000186	DR082_RS02095	HZK19_RS01490
OG0000187	DR082_RS02110	HZK19_RS01505
OG0000188	DR082_RS02120	HZK19_RS01515
OG0000189	DR082_RS03800	HZK19_RS02270
OG0000190	DR082_RS02135	HZK19_RS02265
OG0000191	DR082_RS02155	HZK19_RS02245
OG0000192	DR082_RS02165	HZK19_RS01180
OG0000193	DR082_RS02180	HZK19_RS01175
OG0000194	DR082_RS02190	HZK19_RS00665
OG0000195	DR082_RS02195	HZK19_RS00670
OG0000196	DR082_RS03805	HZK19_RS00690
OG0000197	DR082_RS02220	HZK19_RS00695
OG0000198	DR082_RS02235	HZK19_RS00710
OG0000199	DR082_RS02240	HZK19_RS00715
OG0000200	DR082_RS02255	HZK19_RS00730
OG0000201	DR082_RS02265	HZK19_RS00740
OG0000202	DR082_RS02320	HZK19_RS00795
OG0000203	DR082_RS02325	HZK19_RS00800
OG0000204	DR082_RS01220	HZK19_RS00805
OG0000205	DR082_RS01225	HZK19_RS00810
OG0000206	DR082_RS01245	HZK19_RS00830
OG0000207	DR082_RS01260	HZK19_RS00845
OG0000208	DR082_RS01265	HZK19_RS00850
OG0000209	DR082_RS01270	HZK19_RS00855
OG0000210	DR082_RS01315	HZK19_RS00900
OG0000211	DR082_RS01325	HZK19_RS00910
OG0000212	DR082_RS01335	HZK19_RS00920
OG0000213	DR082_RS01340	HZK19_RS00925
OG0000214	DR082_RS01345	HZK19_RS00930
OG0000215	DR082_RS01350	HZK19_RS00935
OG0000216	DR082_RS01355	HZK19_RS00940
OG0000217	DR082_RS01360	HZK19_RS00945
OG0000218	DR082_RS03735	HZK19_RS00955
OG0000219	DR082_RS01375	HZK19_RS00960
OG0000220	DR082_RS01380	HZK19_RS00965
OG0000221	DR082_RS01385	HZK19_RS00970
OG0000222	DR082_RS01390	HZK19_RS00975
OG0000223	DR082_RS01395	HZK19_RS00980
OG0000224	DR082_RS01405	HZK19_RS00990
OG0000225	DR082_RS01415	HZK19_RS01000
OG0000226	DR082_RS01420	HZK19_RS01005
OG0000227	DR082_RS01425	HZK19_RS01010
OG0000228	DR082_RS03975	HZK19_RS03950
OG0000229	DR082_RS01435	HZK19_RS01020
OG0000230	DR082_RS01440	HZK19_RS01025
OG0000231	DR082_RS01450	HZK19_RS01035
OG0000232	DR082_RS01460	HZK19_RS01045
OG0000233	DR082_RS01470	HZK19_RS01070
OG0000234	DR082_RS01500	HZK19_RS01105
OG0000235	DR082_RS01510	HZK19_RS01115
OG0000236	DR082_RS01515	HZK19_RS01120
OG0000237	DR082_RS01535	HZK19_RS01125
OG0000238	DR082_RS01540	HZK19_RS01130
OG0000239	DR082_RS01570	HZK19_RS02905
OG0000240	DR082_RS01575	HZK19_RS02910
OG0000241	DR082_RS01585	HZK19_RS02920
OG0000242	DR082_RS01590	HZK19_RS02925
OG0000243	DR082_RS01595	HZK19_RS02930
OG0000244	DR082_RS01605	HZK19_RS02940
OG0000245	DR082_RS01615	HZK19_RS02950
OG0000246	DR082_RS00145	HZK19_RS00125
OG0000247	DR082_RS00155	HZK19_RS00135
OG0000248	DR082_RS00180	HZK19_RS00145
OG0000249	DR082_RS00185	HZK19_RS00150
OG0000250	DR082_RS00200	HZK19_RS00165
OG0000251	DR082_RS00230	HZK19_RS00195
OG0000252	DR082_RS00240	HZK19_RS00205
OG0000253	DR082_RS00245	HZK19_RS00210
OG0000254	DR082_RS00255	HZK19_RS00220
OG0000255	DR082_RS00260	HZK19_RS00225
OG0000256	DR082_RS00265	HZK19_RS00230
OG0000257	DR082_RS00290	HZK19_RS00255
OG0000258	DR082_RS00300	HZK19_RS00265
OG0000259	DR082_RS00330	HZK19_RS00295
OG0000260	DR082_RS00340	HZK19_RS00305
OG0000261	DR082_RS03670	HZK19_RS00315
OG0000262	DR082_RS00365	HZK19_RS00330
OG0000263	DR082_RS00380	HZK19_RS00345
OG0000264	DR082_RS00395	HZK19_RS00360
OG0000265	DR082_RS00405	HZK19_RS00370
OG0000266	DR082_RS00420	HZK19_RS00385
OG0000267	DR082_RS00435	HZK19_RS00400
OG0000268	DR082_RS00440	HZK19_RS00405
OG0000269	DR082_RS00455	HZK19_RS00420
OG0000270	DR082_RS03820	HZK19_RS03540
OG0000271	DR082_RS02340	HZK19_RS03535
OG0000272	DR082_RS02335	HZK19_RS03530
OG0000273	DR082_RS02330	HZK19_RS03525
OG0000274	DR082_RS02460	HZK19_RS03505
OG0000275	DR082_RS03850	HZK19_RS03500
OG0000276	DR082_RS02470	HZK19_RS03495
OG0000277	DR082_RS03855	HZK19_RS03485
OG0000278	DR082_RS02485	HZK19_RS03480
OG0000279	DR082_RS02495	HZK19_RS03470
OG0000280	DR082_RS02500	HZK19_RS03465
OG0000281	DR082_RS02505	HZK19_RS03460
OG0000282	DR082_RS02530	HZK19_RS03435
OG0000283	DR082_RS02535	HZK19_RS03430
OG0000284	DR082_RS02540	HZK19_RS03425
OG0000285	DR082_RS03870	HZK19_RS03420
OG0000286	DR082_RS01100	HZK19_RS02390
OG0000287	DR082_RS01075	HZK19_RS02485
OG0000288	DR082_RS01065	HZK19_RS02495
OG0000289	DR082_RS01060	HZK19_RS02500
OG0000290	DR082_RS03275	HZK19_RS02610
OG0000291	DR082_RS00960	HZK19_RS02600
OG0000292	DR082_RS00965	HZK19_RS02595
OG0000293	DR082_RS00970	HZK19_RS02590
OG0000294	DR082_RS00980	HZK19_RS02580
OG0000295	DR082_RS00985	HZK19_RS02575
OG0000296	DR082_RS01025	HZK19_RS02535
OG0000297	DR082_RS01030	HZK19_RS02530
OG0000298	DR082_RS00195	HZK19_RS00160
OG0000299	DR082_RS00215	HZK19_RS00180
OG0000300	DR082_RS00390	HZK19_RS00355
OG0000301	DR082_RS00425	HZK19_RS00390
OG0000302	DR082_RS00430	HZK19_RS00395
OG0000303	DR082_RS00565	HZK19_RS00550
OG0000304	DR082_RS00600	HZK19_RS01055
OG0000305	DR082_RS00730	HZK19_RS02845
OG0000306	DR082_RS00810	HZK19_RS02770
OG0000307	DR082_RS00855	HZK19_RS02735
OG0000308	DR082_RS00940	HZK19_RS02635
OG0000309	DR082_RS00995	HZK19_RS02565
OG0000310	DR082_RS01070	HZK19_RS02490
OG0000311	DR082_RS01120	HZK19_RS02450
OG0000312	DR082_RS01140	HZK19_RS02435
OG0000313	DR082_RS01190	HZK19_RS01565
OG0000314	DR082_RS02635	HZK19_RS01920
OG0000315	DR082_RS02665	HZK19_RS01950
OG0000316	DR082_RS02675	HZK19_RS01960
OG0000317	DR082_RS02740	HZK19_RS02055
OG0000318	DR082_RS03940	HZK19_RS01965
OG0000319	DR082_RS01885	HZK19_RS02200
OG0000320	DR082_RS01950	HZK19_RS02330
OG0000321	DR082_RS02015	HZK19_RS01300
OG0000322	DR082_RS02060	HZK19_RS01345
OG0000323	DR082_RS02765	HZK19_RS01475
OG0000324	DR082_RS02160	HZK19_RS02240
OG0000325	DR082_RS02200	HZK19_RS00675
OG0000326	DR082_RS02295	HZK19_RS00770
OG0000327	DR082_RS02300	HZK19_RS00775
OG0000328	DR082_RS01275	HZK19_RS00860
OG0000329	DR082_RS01295	HZK19_RS00880
OG0000330	DR082_RS01480	HZK19_RS01080
OG0000331	DR082_RS01600	HZK19_RS02935
OG0000332	DR082_RS01720	HZK19_RS03150
OG0000333	DR082_RS01730	HZK19_RS03160
OG0000334	DR082_RS01795	HZK19_RS03270
OG0000335	DR082_RS03765	HZK19_RS03280
OG0000336	DR082_RS03865	HZK19_RS03450
OG0000337	DR082_RS00015	HZK19_RS03620
OG0000338	DR082_RS00055	HZK19_RS03660
OG0000339	DR082_RS01970	HZK19_RS02305
OG0000340	DR082_RS01995	HZK19_RS01280
OG0000341	DR082_RS02140	HZK19_RS02260
OG0000342	DR082_RS02230	HZK19_RS00705
OG0000343	DR082_RS01740	HZK19_RS03170
OG0000344	DR082_RS00580	HZK19_RS00565
OG0000345	DR082_RS01410	HZK19_RS00995
OG0000346	DR082_RS03860	HZK19_RS03455
OG0000347	DR082_RS02875	HZK19_RS01370
OG0000348	DR082_RS03815	HZK19_RS00780
OG0000349	DR082_RS02450	HZK19_RS03515
OG0000350	DR082_RS00815	HZK19_RS02725
OG0000351	DR082_RS00515	HZK19_RS00480
OG0000352	DR082_RS02615	HZK19_RS01895
OG0000353	DR082_RS02055	HZK19_RS01340
OG0000354	DR082_RS00630	HZK19_RS00625
OG0000355	DR082_RS03715	HZK19_RS01870
OG0000356	DR082_RS03900	HZK19_RS01955
OG0000357	DR082_RS03750	HZK19_RS03130
OG0000358	DR082_RS01705	HZK19_RS03135
OG0000359	DR082_RS03810	HZK19_RS00750
OG0000360	DR082_RS00295	HZK19_RS00260
OG0000361	DR082_RS00325	HZK19_RS00290
OG0000362	DR082_RS01050	HZK19_RS02510
OG0000363	DR082_RS03985	HZK19_RS03730
OG0000365	DR082_RS03955	HZK19_RS02000
OG0000366	DR082_RS02710	HZK19_RS02025
OG0000367	DR082_RS02720	HZK19_RS02035
OG0000368	DR082_RS00120	HZK19_RS00060
OG0000369	DR082_RS03655	HZK19_RS00025
OG0000370	DR082_RS00080	HZK19_RS00020
OG0000371	DR082_RS00075	HZK19_RS00015
OG0000372	DR082_RS00070	HZK19_RS00010
OG0000373	DR082_RS00045	HZK19_RS03650
OG0000374	DR082_RS00035	HZK19_RS03640
OG0000375	DR082_RS01880	HZK19_RS02195
OG0000376	DR082_RS01935	HZK19_RS02345
OG0000377	DR082_RS01945	HZK19_RS02335
OG0000378	DR082_RS01980	HZK19_RS01260
OG0000379	DR082_RS02050	HZK19_RS01335
OG0000381	DR082_RS02845	HZK19_RS01400
OG0000382	DR082_RS02810	HZK19_RS01430
OG0000383	DR082_RS02770	HZK19_RS01470
OG0000384	DR082_RS00520	HZK19_RS00505
OG0000385	DR082_RS00525	HZK19_RS00510
OG0000386	DR082_RS00545	HZK19_RS00530
OG0000387	DR082_RS00570	HZK19_RS00555
OG0000388	DR082_RS03680	HZK19_RS00560
OG0000389	DR082_RS00610	HZK19_RS00605
OG0000390	DR082_RS00710	HZK19_RS02865
OG0000391	DR082_RS00720	HZK19_RS02855
OG0000392	DR082_RS00745	HZK19_RS02830
OG0000393	DR082_RS00800	HZK19_RS02775
OG0000394	DR082_RS00870	HZK19_RS02700
OG0000395	DR082_RS00875	HZK19_RS02695
OG0000396	DR082_RS01180	HZK19_RS02395
OG0000397	DR082_RS02600	HZK19_RS01880
OG0000398	DR082_RS02605	HZK19_RS01885
OG0000399	DR082_RS02650	HZK19_RS01935
OG0000400	DR082_RS01665	HZK19_RS03000
OG0000401	DR082_RS01725	HZK19_RS03155
OG0000402	DR082_RS01735	HZK19_RS03165
OG0000403	DR082_RS01745	HZK19_RS03175
OG0000404	DR082_RS03755	HZK19_RS03205
OG0000405	DR082_RS01780	HZK19_RS03220
OG0000406	DR082_RS01810	HZK19_RS03285
OG0000407	DR082_RS03770	HZK19_RS03290
OG0000408	DR082_RS01820	HZK19_RS03295
OG0000409	DR082_RS01825	HZK19_RS03300
OG0000410	DR082_RS02945	HZK19_RS03360
OG0000411	DR082_RS02935	HZK19_RS03350
OG0000412	DR082_RS02930	HZK19_RS03345
OG0000413	DR082_RS02090	HZK19_RS01485
OG0000414	DR082_RS02100	HZK19_RS01495
OG0000415	DR082_RS02105	HZK19_RS01500
OG0000416	DR082_RS02115	HZK19_RS01510
OG0000417	DR082_RS02145	HZK19_RS02255
OG0000418	DR082_RS02150	HZK19_RS02250
OG0000419	DR082_RS02210	HZK19_RS00685
OG0000420	DR082_RS02245	HZK19_RS00720
OG0000421	DR082_RS02280	HZK19_RS00755
OG0000422	DR082_RS02290	HZK19_RS00765
OG0000423	DR082_RS01235	HZK19_RS00820
OG0000424	DR082_RS01240	HZK19_RS00825
OG0000425	DR082_RS01250	HZK19_RS00835
OG0000426	DR082_RS03720	HZK19_RS00840
OG0000427	DR082_RS03725	HZK19_RS00865
OG0000428	DR082_RS01305	HZK19_RS00890
OG0000429	DR082_RS01400	HZK19_RS00985
OG0000430	DR082_RS01445	HZK19_RS01030
OG0000431	DR082_RS01455	HZK19_RS01040
OG0000432	DR082_RS01475	HZK19_RS01075
OG0000433	DR082_RS01485	HZK19_RS01090
OG0000434	DR082_RS01490	HZK19_RS01095
OG0000435	DR082_RS01505	HZK19_RS01110
OG0000436	DR082_RS01545	HZK19_RS01135
OG0000437	DR082_RS01555	HZK19_RS01145
OG0000438	DR082_RS03740	HZK19_RS01150
OG0000439	DR082_RS01565	HZK19_RS01155
OG0000440	DR082_RS01580	HZK19_RS02915
OG0000441	DR082_RS01620	HZK19_RS02955
OG0000442	DR082_RS00150	HZK19_RS00130
OG0000443	DR082_RS00210	HZK19_RS00175
OG0000444	DR082_RS00225	HZK19_RS00190
OG0000445	DR082_RS00250	HZK19_RS00215
OG0000446	DR082_RS00275	HZK19_RS00240
OG0000447	DR082_RS00280	HZK19_RS00245
OG0000448	DR082_RS00310	HZK19_RS00275
OG0000449	DR082_RS00335	HZK19_RS00300
OG0000450	DR082_RS00345	HZK19_RS00310
OG0000451	DR082_RS00385	HZK19_RS00350
OG0000452	DR082_RS00410	HZK19_RS00375
OG0000453	DR082_RS00445	HZK19_RS00410
OG0000455	DR082_RS03825	HZK19_RS03560
OG0000456	DR082_RS02525	HZK19_RS03440
OG0000457	DR082_RS02550	HZK19_RS03415
OG0000458	DR082_RS01080	HZK19_RS02480
OG0000459	DR082_RS01055	HZK19_RS02505
OG0000460	DR082_RS01045	HZK19_RS02520
OG0000461	DR082_RS01000	HZK19_RS02560
OG0000462	DR082_RS01005	HZK19_RS02555
OG0000463	DR082_RS01010	HZK19_RS02550
OG0000465	DR082_RS01020	HZK19_RS02545
OG0000466	DR082_RS00415	HZK19_RS00380
OG0000467	DR082_RS03705	HZK19_RS02645
OG0000468	DR082_RS02645	HZK19_RS01930
OG0000469	DR082_RS02985	HZK19_RS01990
OG0000470	DR082_RS01230	HZK19_RS00815
OG0000471	DR082_RS01310	HZK19_RS00895
OG0000472	DR082_RS02585	HZK19_RS03370
OG0000473	DR082_RS02350	HZK19_RS03545
OG0000474	DR082_RS02355	HZK19_RS03550
OG0000475	DR082_RS02360	HZK19_RS03555
OG0000476	DR082_RS02400	HZK19_RS01520
OG0000477	DR082_RS00975	HZK19_RS02585
OG0000478	DR082_RS02475	HZK19_RS03490
OG0000479	DR082_RS02010	HZK19_RS01295
OG0000480	DR082_RS03145	HZK19_RS01995
OG0000481	DR082_RS02315	HZK19_RS00790
OG0000483	DR082_RS02725	HZK19_RS02040
OG0000484	DR082_RS03665	HZK19_RS00185
OG0000485	DR082_RS01550	HZK19_RS01140
OG0000486	DR082_RS02125	HZK19_RS02275
OG0000487	DR082_RS03945	HZK19_RS01970
OG0000488	DR082_RS02695	HZK19_RS02010
OG0000489	DR082_RS00110	HZK19_RS00050
OG0000490	DR082_RS00050	HZK19_RS03655
OG0000491	DR082_RS02030	HZK19_RS01315
OG0000492	DR082_RS02855	HZK19_RS01390
OG0000493	DR082_RS00585	HZK19_RS00570
OG0000494	DR082_RS00635	HZK19_RS00630
OG0000495	DR082_RS00775	HZK19_RS02800
OG0000496	DR082_RS00785	HZK19_RS02790
OG0000497	DR082_RS00790	HZK19_RS02785
OG0000498	DR082_RS00865	HZK19_RS02705
OG0000499	DR082_RS00905	HZK19_RS02670
OG0000500	DR082_RS02610	HZK19_RS01890
OG0000501	DR082_RS01675	HZK19_RS03010
OG0000502	DR082_RS02185	HZK19_RS01165
OG0000503	DR082_RS02260	HZK19_RS00735
OG0000504	DR082_RS01285	HZK19_RS00870
OG0000505	DR082_RS01320	HZK19_RS00905
OG0000506	DR082_RS01330	HZK19_RS00915
OG0000507	DR082_RS01365	HZK19_RS00950
OG0000508	DR082_RS00270	HZK19_RS00235
OG0000509	DR082_RS00305	HZK19_RS00270
OG0000510	DR082_RS00315	HZK19_RS00280
OG0000511	DR082_RS00450	HZK19_RS00415
OG0000513	DR082_RS02490	HZK19_RS03475
OG0000514	DR082_RS00750	HZK19_RS02825
OG0000516	DR082_RS02960	HZK19_RS01975
OG0000517	DR082_RS00125	HZK19_RS00065
OG0000518	DR082_RS01715	HZK19_RS03145
OG0000519	DR082_RS02285	HZK19_RS00760
OG0000520	DR082_RS01300	HZK19_RS00885
OG0000521	DR082_RS00285	HZK19_RS00250
OG0000522	DR082_RS00320	HZK19_RS00285
OG0000523	DR082_RS02555	HZK19_RS03410
OG0000524	DR082_RS00935	HZK19_RS02640
OG0000525	DR082_RS03885	HZK19_RS03375
OG0000528	DR082_RS02970	HZK19_RS01980
OG0000529	DR082_RS01895	HZK19_RS02210
OG0000530	DR082_RS01960	HZK19_RS02315
OG0000531	DR082_RS03140	HZK19_RS01365
OG0000533	DR082_RS01465	HZK19_RS00590
OG0000534	DR082_RS00400	HZK19_RS00365
OG0000535	DR082_RS00105	HZK19_RS00045
OG0000536	DR082_RS02425	HZK19_RS03590
OG0000537	DR082_RS02225	HZK19_RS00700
OG0000538	DR082_RS01495	HZK19_RS01100
OG0000539	DR082_RS00235	HZK19_RS00200
OG0000541	DR082_RS00890	HZK19_RS02685
OG0000542	DR082_RS00370	HZK19_RS00335
OG0000547	DR082_RS00700	HZK19_RS02875
OG0000548	DR082_RS01185	HZK19_RS01560
OG0000549	DR082_RS03890	HZK19_RS03365
OG0000550	DR082_RS02455	HZK19_RS03510
OG0000551	DR082_RS01610	HZK19_RS02945
OG0000555	DR082_RS03245	HZK19_RS02880
OG0000589	DR082_RS02910	HZK19_RS02120
OG0000595	DR082_RS01655	HZK19_RS02965
OG0000597	DR082_RS01645	HZK19_RS02960
OG0000602	DR082_RS02690	HZK19_RS02005
