Orthogroup	MHP_UFV01_proteins	MHP_4284_proteins
OG0000091	WP_243215921.1	WP_020835487.1
OG0000092	WP_243215917.1	WP_011205847.1
OG0000093	WP_243215915.1	WP_020835484.1
OG0000094	WP_233688588.1	WP_160606485.1
OG0000095	WP_243215907.1	WP_044272251.1
OG0000096	WP_243215905.1	WP_011206529.1
OG0000097	WP_243215900.1	WP_406823206.1
OG0000098	WP_243215898.1	WP_404924345.1
OG0000099	WP_243215895.1	WP_406823200.1
OG0000100	WP_243215892.1	WP_404924338.1
OG0000101	WP_243215891.1	WP_011206510.1
OG0000102	WP_243216094.1	WP_348602859.1
OG0000103	WP_243216182.1	WP_406823095.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_094521691.1
OG0000106	WP_243216184.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_179696020.1	WP_192894278.1
OG0000109	WP_243216186.1	WP_160606848.1
OG0000110	WP_243216208.1	WP_406823119.1
OG0000111	WP_243216207.1	WP_404924516.1
OG0000112	WP_243216205.1	WP_406823117.1
OG0000113	WP_020835765.1	WP_406823114.1
OG0000114	WP_243216202.1	WP_258555507.1
OG0000115	WP_014579859.1	WP_011290245.1
OG0000116	WP_243216047.1	WP_011290103.1
OG0000117	WP_243216048.1	WP_044272388.1
OG0000118	WP_228729171.1	WP_011290108.1
OG0000119	WP_179696055.1	WP_160585678.1
OG0000120	WP_011284027.1	WP_406823252.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_011205958.1	WP_020835643.1
OG0000123	WP_243216054.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_243216059.1	WP_406823256.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_011284047.1
OG0000132	WP_135618714.1	WP_160588229.1
OG0000133	WP_014579589.1	WP_094521764.1
OG0000134	WP_020835541.1	WP_228365407.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_135618563.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_243215985.1	WP_160584795.1
OG0000141	WP_011284290.1	WP_406823167.1
OG0000142	WP_011284289.1	WP_406823166.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_044272582.1	WP_406823165.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_243216296.1	WP_135619012.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_243216288.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_020835828.1
OG0000152	WP_020835827.1	WP_406823158.1
OG0000153	WP_011206347.1	WP_406823157.1
OG0000154	WP_243216280.1	WP_011206345.1
OG0000155	WP_011290311.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_406823151.1
OG0000157	WP_011290309.1	WP_020835818.1
OG0000158	WP_308704549.1	WP_406823149.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011290271.1	WP_406823128.1
OG0000161	WP_011206287.1	WP_406823127.1
OG0000162	WP_044272532.1	WP_135619210.1
OG0000163	WP_243216224.1	WP_406823125.1
OG0000164	WP_160601269.1	WP_406823258.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011290193.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_233688406.1	WP_135618848.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_011290367.1	WP_011290367.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_243216312.1	WP_011206425.1
OG0000174	WP_011290369.1	WP_406823176.1
OG0000175	WP_011206429.1	WP_160606707.1
OG0000176	WP_243216326.1	WP_406823178.1
OG0000177	WP_233688536.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_044272620.1
OG0000179	WP_179221227.1	WP_020835880.1
OG0000180	WP_160590181.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_011206465.1	WP_146379740.1
OG0000186	WP_020835656.1	WP_348572074.1
OG0000187	WP_243216062.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_243216195.1	WP_406823100.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_011206251.1	WP_020835755.1
OG0000192	WP_011205992.1	WP_404912441.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_243215993.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_179695841.1
OG0000197	WP_011206090.1	WP_406823236.1
OG0000198	WP_243215996.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_160588272.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011283943.1	WP_406823234.1
OG0000203	WP_011283944.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_011206071.1
OG0000205	WP_243216001.1	WP_160585610.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_094521594.1
OG0000208	WP_011206062.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_243216005.1	WP_160606686.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_011290055.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_011206041.1
OG0000220	WP_020835592.1	WP_406823232.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_160585734.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_160608021.1	WP_406823231.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_044284822.1	WP_041361598.1
OG0000235	WP_243216014.1	WP_020835611.1
OG0000236	WP_011283989.1	WP_020835612.1
OG0000237	WP_243216016.1	WP_406823239.1
OG0000238	WP_011283991.1	WP_406823240.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_135619036.1	WP_160585231.1
OG0000242	WP_243216305.1	WP_348571822.1
OG0000243	WP_011290352.1	WP_348602596.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_020835856.1	WP_406823170.1
OG0000246	WP_232039502.1	WP_050195463.1
OG0000247	WP_243215932.1	WP_179695932.1
OG0000248	WP_014579535.1	WP_052259122.1
OG0000249	WP_243216353.1, WP_243215934.1	WP_348571927.1
OG0000250	WP_243215937.1	WP_160584772.1
OG0000251	WP_014579544.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011283860.1	WP_135618489.1
OG0000254	WP_014579548.1	WP_348602687.1
OG0000255	WP_044284572.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_011205894.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_243215945.1	WP_041361723.1
OG0000260	WP_243215948.1	WP_011289982.1
OG0000261	WP_243215950.1	WP_406823217.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_160585532.1
OG0000264	WP_011205916.1	WP_011283887.1
OG0000265	WP_243215961.1	WP_233688622.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_044284773.1
OG0000268	WP_011289993.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_406823221.1
OG0000270	WP_243215887.1	WP_348571879.1
OG0000271	WP_135619152.1	WP_404924334.1
OG0000272	WP_243215885.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_243215879.1	WP_011290423.1
OG0000275	WP_238374142.1	WP_238374142.1
OG0000276	WP_243215878.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_160588182.1
OG0000279	WP_243215875.1	WP_011290418.1
OG0000280	WP_044284728.1	WP_094521520.1
OG0000281	WP_081430772.1	WP_014580012.1
OG0000282	WP_243215874.1	WP_160590212.1
OG0000283	WP_243215873.1	WP_014580009.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_243215870.1	WP_011290413.1
OG0000286	WP_146379652.1	WP_044272526.1
OG0000287	WP_243216240.1	WP_406823133.1
OG0000288	WP_160600959.1	WP_348602548.1
OG0000289	WP_243216242.1	WP_348602549.1
OG0000290	WP_243216258.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_243216256.1	WP_044284681.1
OG0000293	WP_243216254.1	WP_348571776.1
OG0000294	WP_243216251.1	WP_406823142.1
OG0000295	WP_243216250.1	WP_011206315.1
OG0000296	WP_233688476.1	WP_041361673.1
OG0000297	WP_011206306.1	WP_406823135.1
OG0000298	WP_243215936.1	WP_160606533.1
OG0000299	WP_011205878.1	WP_406823213.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_044272575.1	WP_404924282.1
OG0000306	WP_243216282.1	WP_406823160.1
OG0000307	WP_044284687.1	WP_348602578.1
OG0000308	WP_243216263.1	WP_020835811.1
OG0000309	WP_243216248.1	WP_406823140.1
OG0000310	WP_160606445.1	WP_406823134.1
OG0000311	WP_011206293.1	WP_014579885.1
OG0000312	WP_041361671.1	WP_406823129.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_094521675.1	WP_406823290.1
OG0000315	WP_243216153.1	WP_011290197.1
OG0000316	WP_014579818.1	WP_179696008.1
OG0000317	WP_011290211.1	WP_146379589.1
OG0000318	WP_243216157.1	WP_406823292.1
OG0000319	WP_146379629.1	WP_406823096.1
OG0000320	WP_243216204.1	WP_406823116.1
OG0000321	WP_243216051.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_406823254.1
OG0000323	WP_135618712.1	WP_044284744.1
OG0000324	WP_243216187.1	WP_094521693.1
OG0000325	WP_243215994.1	WP_011206094.1
OG0000326	WP_243216000.1	WP_404924411.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_011206060.1	WP_041361583.1
OG0000329	WP_011206056.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_020835889.1
OG0000335	WP_243216335.1	WP_348571841.1
OG0000336	WP_011284361.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_050195472.1
OG0000338	WP_243215903.1	WP_014580051.1
OG0000339	WP_243216236.1	WP_406823113.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_243216193.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_243215977.1	WP_406823228.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_243216053.1	WP_011205955.1
OG0000348	WP_160600882.1	WP_014579636.1
OG0000349	WP_243215882.1	WP_348571875.1
OG0000350	WP_228366105.1	WP_406823156.1
OG0000351	WP_233688626.1	WP_011206131.1
OG0000352	WP_243216148.1	WP_406823287.1
OG0000353	WP_044284615.1	WP_160607804.1
OG0000354	WP_237697228.1	WP_308507053.1
OG0000355	WP_243216143.1	WP_011206194.1
OG0000356	WP_243216155.1	WP_308507057.1
OG0000357	WP_228366113.1	WP_228366113.1
OG0000358	WP_243216314.1	WP_160606709.1
OG0000359	WP_243215998.1	WP_406823235.1
OG0000360	WP_228365406.1	WP_225973008.1
OG0000361	WP_243215944.1	WP_406823216.1
OG0000362	WP_011206302.1	WP_348602551.1
OG0000363	WP_269076322.1	WP_269076322.1
OG0000364	WP_243216141.1	WP_160585026.1
OG0000365	WP_243216163.1	WP_406823088.1
OG0000366	WP_146379594.1	WP_011206224.1
OG0000367	WP_220190703.1	WP_406823092.1
OG0000368	WP_011283833.1	WP_011289935.1
OG0000369	WP_243215913.1	WP_011289930.1
OG0000370	WP_135618444.1	WP_044272260.1
OG0000371	WP_243215911.1	WP_044272256.1
OG0000372	WP_243215909.1	WP_135618439.1
OG0000373	WP_243215901.1	WP_406823207.1
OG0000374	WP_243215899.1	WP_406823205.1
OG0000375	WP_135618878.1	WP_146379628.1
OG0000376	WP_243216206.1	WP_406823118.1
OG0000377	WP_011206271.1	WP_011206271.1
OG0000378	WP_179221065.1	WP_406823251.1
OG0000379	WP_011205962.1	WP_406823253.1
OG0000380	WP_233688710.1	WP_160588252.1
OG0000381	WP_243216055.1	WP_348572061.1
OG0000382	WP_243216060.1	WP_406823257.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_243215971.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011290004.1
OG0000387	WP_243215975.1	WP_406823226.1
OG0000388	WP_243215976.1	WP_406823227.1
OG0000389	WP_243215983.1	WP_011290013.1
OG0000390	WP_011290340.1	WP_011290340.1
OG0000391	WP_044272578.1	WP_020835843.1
OG0000392	WP_243216301.1	WP_406823164.1
OG0000393	WP_243216285.1	WP_406823161.1
OG0000394	WP_011290313.1	WP_014579921.1
OG0000395	WP_243216274.1	WP_406823152.1
OG0000396	WP_160585153.1	WP_348571728.1
OG0000397	WP_243216145.1	WP_011206196.1
OG0000398	WP_243216146.1	WP_146379611.1
OG0000399	WP_160600914.1	WP_348571612.1
OG0000400	WP_243216310.1	WP_044272610.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_243216318.1	WP_406823177.1
OG0000403	WP_243216321.1	WP_220200714.1
OG0000404	WP_243216329.1	WP_406823179.1
OG0000405	WP_243216331.1	WP_406823180.1
OG0000406	WP_014579989.1	WP_406823185.1
OG0000407	WP_243216339.1	WP_406823186.1
OG0000408	WP_044284717.1	WP_044284717.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_406823190.1
OG0000411	WP_146379742.1	WP_406823191.1
OG0000412	WP_011290399.1	WP_406823192.1
OG0000413	WP_243216061.1	WP_243216061.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_020835657.1	WP_020835657.1
OG0000416	WP_160601243.1	WP_011284056.1
OG0000417	WP_243216192.1	WP_406823099.1
OG0000418	WP_243216189.1	WP_406823098.1
OG0000419	WP_011206092.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_243215999.1	WP_146379504.1
OG0000423	WP_011206068.1	WP_135618585.1
OG0000424	WP_011206067.1	WP_135618587.1
OG0000425	WP_011206065.1	WP_011206065.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_011283954.1	WP_135618593.1
OG0000428	WP_243216004.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_243216006.1	WP_050195474.1
OG0000431	WP_146379524.1	WP_011290067.1
OG0000432	WP_243216010.1	WP_406823238.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_233688674.1	WP_160584674.1
OG0000435	WP_020835610.1	WP_020835610.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_233688689.1	WP_044272373.1
OG0000438	WP_243216021.1	WP_160606769.1
OG0000439	WP_243216023.1	WP_044272377.1
OG0000440	WP_243216303.1	WP_406823169.1
OG0000442	WP_243215931.1	WP_160607726.1
OG0000443	WP_243215940.1	WP_406823212.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_135618491.1
OG0000446	WP_233688612.1	WP_347952358.1
OG0000447	WP_243215941.1	WP_014579553.1
OG0000448	WP_011283873.1	WP_011289976.1
OG0000449	WP_243215947.1	WP_011289981.1
OG0000450	WP_160600685.1	WP_160584761.1
OG0000451	WP_243215959.1	WP_011205913.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_243215963.1	WP_406823220.1
OG0000455	WP_243215890.1	WP_348571882.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_243215868.1	WP_406823198.1
OG0000458	WP_179221160.1	WP_406823132.1
OG0000459	WP_014579890.1	WP_348602550.1
OG0000460	WP_011206303.1	WP_348602552.1
OG0000461	WP_243216245.1	WP_406823139.1
OG0000462	WP_011284228.1	WP_406823138.1
OG0000463	WP_011206310.1	WP_406823137.1
OG0000464	WP_011206309.1	WP_094521720.1
OG0000465	WP_233688477.1	WP_406823136.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_243216269.1	WP_406823146.1
OG0000468	WP_243216151.1	WP_406823291.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_243216002.1	WP_011206069.1
OG0000471	WP_094521595.1	WP_044272348.1
OG0000472	WP_243215853.1	WP_406823195.1
OG0000473	WP_243215889.1	WP_044272671.1
OG0000474	WP_011284377.1	WP_348571881.1
OG0000475	WP_044889046.1	WP_160584892.1
OG0000476	WP_243216064.1	WP_014579742.1
OG0000477	WP_243216252.1	WP_348571773.1
OG0000478	WP_243215877.1	WP_146379753.1
OG0000479	WP_243216050.1	WP_020835636.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_160600884.1	WP_044272343.1
OG0000482	WP_014579695.1	WP_020835622.1
OG0000483	WP_011206227.1	WP_348602501.1
OG0000484	WP_233688609.1	WP_406823214.1
OG0000485	WP_243216018.1	WP_020835615.1
OG0000486	WP_243216198.1	WP_406823101.1
OG0000487	WP_243216159.1	WP_406823293.1
OG0000488	WP_020835728.1	WP_406823090.1
OG0000489	WP_243215919.1	WP_011205849.1
OG0000490	WP_243215902.1	WP_160606487.1
OG0000491	WP_011205966.1	WP_020835639.1
OG0000492	WP_160607802.1	WP_348572060.1
OG0000493	WP_243215978.1	WP_160585737.1
OG0000494	WP_052259108.1	WP_052269169.1
OG0000495	WP_243216290.1	WP_011284272.1
OG0000496	WP_011284271.1	WP_011206375.1
OG0000497	WP_014579936.1	WP_406823162.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_406823150.1
OG0000500	WP_243216147.1	WP_406823286.1
OG0000502	WP_243216028.1	WP_406823241.1
OG0000503	WP_020835576.1	WP_016340193.1
OG0000504	WP_088764595.1	WP_146379513.1
OG0000505	WP_011290053.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_406823233.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_233688611.1	WP_044272682.1
OG0000509	WP_193325077.1	WP_406823215.1
OG0000510	WP_011289977.1	WP_404924072.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_011206304.1	WP_011206304.1
OG0000513	WP_243215876.1	WP_348571873.1
OG0000514	WP_243216299.1	WP_406823163.1
OG0000516	WP_011206214.1	WP_011206214.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_243216317.1	WP_160585644.1
OG0000519	WP_135618573.1	WP_160584803.1
OG0000520	WP_243216003.1	WP_011290050.1
OG0000521	WP_243215942.1	WP_348571936.1
OG0000522	WP_243215943.1	WP_135618505.1
OG0000523	WP_243215866.1	WP_406823197.1
OG0000524	WP_243216266.1	WP_406823145.1
OG0000525	WP_243215854.1	WP_160585255.1
OG0000526	WP_243216125.1	WP_406823280.1
OG0000527	WP_011206174.1	WP_348602820.1
OG0000528	WP_243216161.1	WP_406823087.1
OG0000529	WP_011206243.1	WP_406823097.1
OG0000530	WP_011284186.1	WP_160585298.1
OG0000531	WP_011205956.1	WP_020835645.1
OG0000532	WP_243216074.1	WP_406823262.1
OG0000534	WP_160600697.1	WP_179695948.1
OG0000535	WP_160588116.1	WP_020835486.1
OG0000536	WP_243215896.1	WP_406823201.1
OG0000537	WP_011206089.1	WP_011290028.1
OG0000538	WP_243216013.1	WP_146379532.1
OG0000539	WP_160600661.1	WP_160585545.1
OG0000540	WP_243216257.1	WP_406823143.1
OG0000542	WP_044284771.1	WP_406823219.1
OG0000544	WP_014579703.1	WP_308507042.1
OG0000545	WP_243216121.1	WP_406823278.1
OG0000546	WP_020835829.1	WP_406823159.1
OG0000547	WP_020835845.1	WP_348571811.1
OG0000548	WP_243216071.1	WP_160606621.1
OG0000549	WP_243215852.1	WP_406823194.1
OG0000550	WP_243215880.1	WP_406823199.1
OG0000551	WP_011206407.1	WP_011206407.1
OG0000552	WP_243216323.1	WP_044284704.1
OG0000553	WP_243216271.1	WP_011206330.1
OG0000554	WP_243216210.1	WP_406823120.1
OG0000557	WP_011205983.1	WP_406823247.1
OG0000558	WP_243216031.1	WP_406823244.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_243216012.1	WP_094521603.1
OG0000562	WP_243216120.1	WP_146379618.1
OG0000563	WP_014579786.1	WP_011284098.1
OG0000564	WP_094521768.1	WP_041361605.1
OG0000565	WP_243216135.1	WP_406823284.1
OG0000566	WP_243216130.1	WP_406823283.1
OG0000567	WP_243216124.1	WP_406823279.1
OG0000568	WP_243215991.1	WP_146379498.1
OG0000569	WP_243216033.1	WP_406823245.1
OG0000570	WP_014579701.1	WP_406823246.1
OG0000571	WP_243216034.1	WP_011205986.1
OG0000572	WP_243216038.1	WP_406823248.1
