Orthogroup	MHP_KM014_proteins	MFC_Ms42_proteins
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_011205846.1	WP_002557472.1
OG0000094	WP_014579519.1	WP_002557473.1
OG0000095	WP_094521532.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_094521757.1	WP_002557483.1
OG0000100	WP_094521527.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_094521648.1	WP_002557499.1
OG0000103	WP_011206238.1	WP_002557509.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_094521691.1	WP_002557514.1
OG0000106	WP_011290218.1	WP_002557516.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_014579827.1	WP_002557519.1
OG0000109	WP_094521692.1	WP_002557520.1
OG0000110	WP_094521705.1	WP_002557522.1
OG0000111	WP_094521704.1	WP_002557523.1
OG0000112	WP_094521703.1	WP_002557525.1
OG0000113	WP_094521701.1	WP_002557528.1
OG0000114	WP_094521777.1	WP_002557530.1
OG0000115	WP_094521698.1	WP_002557532.1
OG0000116	WP_094521621.1	WP_002557534.1
OG0000117	WP_094521622.1	WP_002557535.1
OG0000118	WP_094521624.1	WP_002557540.1
OG0000119	WP_094521625.1	WP_002557541.1
OG0000120	WP_011284027.1	WP_002557544.1
OG0000121	WP_011205959.1	WP_002557548.1
OG0000122	WP_094521627.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_002557553.1
OG0000124	WP_011290118.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_094521629.1	WP_002557557.1
OG0000127	WP_094521631.1	WP_002557559.1
OG0000128	WP_094521634.1	WP_002557562.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_002557565.1
OG0000131	WP_094521635.1	WP_002557566.1
OG0000132	WP_094521636.1	WP_002557569.1
OG0000133	WP_094521764.1	WP_002557574.1
OG0000134	WP_094521765.1	WP_002557575.1
OG0000135	WP_011206120.1	WP_002557577.1
OG0000136	WP_094521576.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_002557585.1
OG0000138	WP_011206106.1	WP_002557590.1
OG0000139	WP_011206102.1	WP_002557594.1
OG0000140	WP_011206101.1	WP_002557595.1
OG0000141	WP_011290345.1	WP_002557602.1
OG0000142	WP_094521740.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_002557607.1
OG0000144	WP_094521739.1	WP_002557609.1
OG0000145	WP_011290337.1	WP_002557611.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_094521737.1	WP_002557618.1
OG0000149	WP_011206379.1	WP_002557620.1
OG0000150	WP_011206376.1	WP_002557623.1
OG0000151	WP_094521732.1	WP_002557634.1
OG0000152	WP_094521731.1	WP_002557635.1
OG0000153	WP_011206347.1	WP_002557636.1
OG0000154	WP_094521730.1	WP_002557638.1
OG0000155	WP_020835820.1	WP_002557642.1
OG0000156	WP_011206335.1	WP_002557647.1
OG0000157	WP_011206334.1	WP_002557648.1
OG0000158	WP_094521727.1	WP_002557650.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_081430769.1	WP_002557668.1
OG0000161	WP_011206287.1	WP_002557669.1
OG0000163	WP_094521716.1	WP_002557672.1
OG0000164	WP_094521642.1	WP_002557677.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_094521676.1	WP_002557689.1
OG0000167	WP_011206207.1	WP_002557692.1
OG0000168	WP_044284793.1	WP_002557693.1
OG0000169	WP_094521497.1	WP_002557698.1
OG0000171	WP_011206422.1	WP_002557706.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_094521499.1	WP_002557708.1
OG0000174	WP_094521500.1	WP_002557709.1
OG0000175	WP_094521754.1	WP_002557712.1
OG0000176	WP_094521505.1	WP_002557719.1
OG0000177	WP_094521506.1	WP_039387687.1
OG0000178	WP_020835878.1	WP_002557721.1
OG0000179	WP_014579979.1	WP_002557724.1
OG0000180	WP_011206445.1	WP_002557725.1
OG0000181	WP_020835888.1	WP_039387691.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_011206468.1	WP_002557740.1
OG0000185	WP_094521514.1	WP_002557743.1
OG0000186	WP_094521637.1	WP_002557750.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_094521695.1	WP_039387623.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_011290223.1	WP_002557761.1
OG0000192	WP_011205992.1	WP_002557763.1
OG0000193	WP_094521610.1	WP_002557766.1
OG0000194	WP_094521582.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_094521584.1	WP_002557774.1
OG0000197	WP_041361572.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_094521587.1	WP_002557781.1
OG0000201	WP_094521588.1	WP_002557783.1
OG0000202	WP_011283943.1	WP_002557791.1
OG0000203	WP_094521591.1	WP_002557792.1
OG0000204	WP_014579633.1	WP_002557793.1
OG0000205	WP_094521592.1	WP_002557794.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_094521594.1	WP_002557801.1
OG0000208	WP_011290046.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_094521596.1	WP_002557811.1
OG0000211	WP_011206050.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011206046.1	WP_002557818.1
OG0000216	WP_011283965.1	WP_002557819.1
OG0000217	WP_011206044.1	WP_002557820.1
OG0000218	WP_094521597.1	WP_002557822.1
OG0000219	WP_051129924.1	WP_002557823.1
OG0000220	WP_011206040.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000225	WP_094521598.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011206031.1	WP_002557833.1
OG0000228	WP_094521599.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_014579605.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_002557838.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_011290071.1	WP_002557842.1
OG0000234	WP_044284822.1	WP_002557848.1
OG0000235	WP_094521605.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_002557851.1
OG0000237	WP_094521606.1	WP_002557855.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_011206399.1	WP_002557863.1
OG0000240	WP_011206400.1	WP_002557864.1
OG0000241	WP_011206402.1	WP_002557866.1
OG0000242	WP_094521742.1	WP_002557867.1
OG0000243	WP_014579955.1	WP_002557868.1
OG0000244	WP_094521744.1	WP_002557870.1
OG0000245	WP_011206408.1	WP_002557872.1
OG0000246	WP_094521541.1	WP_002557875.1
OG0000247	WP_094521542.1	WP_002557877.1
OG0000248	WP_052259122.1	WP_002557882.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_094521546.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_002557893.1
OG0000253	WP_094521547.1	WP_002557894.1
OG0000254	WP_050195453.1	WP_002557896.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_002557904.1
OG0000258	WP_011289974.1	WP_002557905.1
OG0000259	WP_094521759.1	WP_002557911.1
OG0000260	WP_094521550.1	WP_002557913.1
OG0000262	WP_041361531.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_011283887.1	WP_002557925.1
OG0000265	WP_044284579.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_094521554.1	WP_002557932.1
OG0000268	WP_011283894.1	WP_002557933.1
OG0000269	WP_011206134.1	WP_002557936.1
OG0000270	WP_094521524.1	WP_002557945.1
OG0000271	WP_094521523.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_094521521.1	WP_002557951.1
OG0000275	WP_011290422.1	WP_039387710.1
OG0000276	WP_011290421.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_002557956.1
OG0000278	WP_011206493.1	WP_002557957.1
OG0000279	WP_011290418.1	WP_002557959.1
OG0000280	WP_094521520.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000283	WP_014580009.1	WP_002557965.1
OG0000284	WP_094521519.1	WP_002557966.1
OG0000285	WP_094521518.1	WP_002557967.1
OG0000286	WP_094521714.1	WP_002557972.1
OG0000287	WP_011206297.1	WP_002557978.1
OG0000288	WP_094521779.1	WP_002557980.1
OG0000289	WP_020835793.1	WP_002557981.1
OG0000290	WP_094521724.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_044284681.1	WP_002558006.1
OG0000293	WP_094521723.1	WP_002558007.1
OG0000294	WP_094521780.1	WP_002558009.1
OG0000295	WP_094521722.1	WP_002558010.1
OG0000296	WP_044272552.1	WP_002558018.1
OG0000297	WP_011284225.1	WP_002558019.1
OG0000298	WP_094521544.1	WP_039387485.1
OG0000299	WP_094521545.1	WP_039387487.1
OG0000300	WP_011205915.1	WP_039387496.1
OG0000301	WP_011283891.1	WP_039387501.1
OG0000302	WP_014579576.1	WP_039387504.1
OG0000303	WP_011206118.1	WP_039387509.1
OG0000304	WP_094521601.1	WP_039387510.1
OG0000305	WP_094521738.1	WP_039387514.1
OG0000306	WP_094521734.1	WP_039387523.1
OG0000307	WP_011206346.1	WP_039387525.1
OG0000308	WP_157696721.1	WP_039387535.1
OG0000309	WP_011206313.1	WP_039387539.1
OG0000310	WP_094521718.1	WP_039387544.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_094521778.1	WP_039387550.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_094521675.1	WP_039387562.1
OG0000315	WP_011206209.1	WP_039387569.1
OG0000316	WP_094521679.1	WP_039387574.1
OG0000317	WP_094521685.1	WP_039387578.1
OG0000318	WP_094521775.1	WP_039387594.1
OG0000319	WP_094521690.1	WP_236681771.1
OG0000320	WP_094521702.1	WP_039387609.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_011205960.1	WP_039387613.1
OG0000323	WP_094521770.1	WP_039387619.1
OG0000324	WP_094521693.1	WP_039387626.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_094521590.1	WP_039387636.1
OG0000327	WP_011206076.1	WP_039387638.1
OG0000328	WP_011290047.1	WP_039387644.1
OG0000329	WP_044284742.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_039387658.1
OG0000331	WP_094521743.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_094521511.1	WP_039387693.1
OG0000335	WP_041361699.1	WP_039387695.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_094521528.1	WP_039387722.1
OG0000338	WP_094521531.1	WP_039387723.1
OG0000339	WP_094521699.1	WP_039387775.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_011284176.1	WP_039387782.1
OG0000342	WP_094521586.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_094521577.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_041361706.1	WP_051054328.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_014579636.1	WP_081605285.1
OG0000349	WP_094521522.1	WP_155897264.1
OG0000350	WP_094521782.1	WP_201771011.1
OG0000351	WP_094521571.1	WP_220189978.1
OG0000352	WP_094521673.1	WP_002557683.1
OG0000353	WP_094521626.1	WP_002557547.1
OG0000354	WP_094521580.1	WP_002557591.1
OG0000355	WP_011284115.1	WP_231237866.1
OG0000356	WP_094521678.1	WP_231237867.1
OG0000357	WP_094521501.1	WP_002557710.1
OG0000358	WP_094521502.1	WP_231237872.1
OG0000359	WP_094521589.1	WP_236681774.1
OG0000360	WP_094521548.1	WP_231237879.1
OG0000361	WP_094521549.1	WP_231237880.1
OG0000362	WP_094521719.1	WP_231237889.1
OG0000363	WP_094521632.1	WP_323749062.1
OG0000369	WP_094521533.1	WP_039387473.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000378	WP_094521620.1	WP_002557533.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_094521769.1	WP_002557550.1
OG0000381	WP_094521630.1	WP_002557558.1
OG0000385	WP_094521574.1	WP_002557572.1
OG0000389	WP_094521579.1	WP_002557589.1
OG0000394	WP_094521728.1	WP_002557640.1
OG0000396	WP_094521715.1	WP_002557673.1
OG0000403	WP_094521503.1	WP_002557717.1
OG0000404	WP_094521507.1	WP_039387689.1
OG0000405	WP_094521755.1	WP_002557726.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000412	WP_011290399.1	WP_002557742.1
OG0000417	WP_094521694.1	WP_002557759.1
OG0000428	WP_011283958.1	WP_002557810.1
OG0000429	WP_011206036.1	WP_002557828.1
OG0000430	WP_094521600.1	WP_002557837.1
OG0000434	WP_157696710.1	WP_002557846.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_011206003.1	WP_002557860.1
OG0000441	WP_094521745.1	WP_236681776.1
OG0000451	WP_094521553.1	WP_002557923.1
OG0000453	WP_011283895.1	WP_002557934.1
OG0000457	WP_094521517.1	WP_002557968.1
OG0000459	WP_014579890.1	WP_002557982.1
OG0000463	WP_094521721.1	WP_002558014.1
OG0000464	WP_094521720.1	WP_002558016.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000468	WP_094521677.1	WP_039387564.1
OG0000471	WP_094521595.1	WP_039387651.1
OG0000473	WP_094521525.1	WP_039387713.1
OG0000474	WP_011284377.1	WP_039387714.1
OG0000475	WP_094521526.1	WP_039387715.1
OG0000482	WP_094521611.1	WP_201771017.1
OG0000485	WP_094521607.1	WP_039387661.1
OG0000486	WP_094521696.1	WP_236681773.1
OG0000487	WP_157696720.1	WP_052234586.1
OG0000488	WP_094521682.1	WP_002557450.1
OG0000489	WP_094521534.1	WP_002557469.1
OG0000491	WP_011205966.1	WP_002557542.1
OG0000492	WP_094521628.1	WP_002557556.1
OG0000495	WP_094521735.1	WP_002557622.1
OG0000502	WP_094521609.1	WP_002557767.1
OG0000504	WP_094521766.1	WP_002557806.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000508	WP_094521758.1	WP_002557900.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000519	WP_020835579.1	WP_002557785.1
OG0000520	WP_011283957.1	WP_002557809.1
OG0000523	WP_094521516.1	WP_002557969.1
OG0000529	WP_014579831.1	WP_002557515.1
OG0000530	WP_011284186.1	WP_002557529.1
OG0000531	WP_157696712.1	WP_002557551.1
OG0000537	WP_094521585.1	WP_002557776.1
OG0000538	WP_094521604.1	WP_002557847.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000595	WP_094521746.1	WP_002557700.1
OG0000597	WP_094521784.1	WP_051054290.1
