Orthogroup	Species	MHP_REF_protein	Orthologs
OG0000031	MHP_MHP653_protein	WP_011205867.1	WP_160584826.1
OG0000031	MHP_MHP682_protein	WP_011205867.1	WP_160584826.1
OG0000031	MHP_MHP699_protein	WP_011205867.1	WP_160584826.1
OG0000031	MHP_ES2L_protein	WP_011205867.1	WP_135618462.1
OG0000031	MHP_LH_protein	WP_011205867.1	WP_135618462.1
OG0000031	MHP_ES2_protein	WP_011205867.1	WP_135618462.1
OG0000031	MFC_MS42_protein	WP_011205867.1	WP_323749063.1, WP_002557874.1
OG0000031	MFC_ATCC27716_protein	WP_011205867.1	WP_323749063.1, WP_002557874.1
OG0000031	MFC_MF30_protein	WP_011205867.1	WP_323749063.1, WP_002557874.1
OG0000031	MFC_MF18_protein	WP_011205867.1	WP_323749063.1
OG0000031	MFC_MF22_protein	WP_011205867.1	WP_334296057.1, WP_002557874.1
OG0000031	MFC_MF29_protein	WP_011205867.1	WP_308704649.1
OG0000031	MHP_MHP694_protein	WP_011205867.1	WP_160606887.1
OG0000031	MHP_MHP691_protein	WP_011205867.1	WP_160607724.1
OG0000031	MHP_98_protein	WP_011205867.1	WP_160607724.1
OG0000031	MHP_MHP709_protein	WP_011205867.1	WP_146379455.1
OG0000031	MHP_F72C_protein	WP_011205867.1	WP_146379455.1
OG0000031	MHP_MHP696_protein	WP_011205867.1	WP_146379455.1
OG0000035	MHP_7448_protein	WP_044272427.1	WP_044272427.1
OG0000035	MHP_98_protein	WP_044272427.1	WP_179696073.1
OG0000035	MHP_MHP691_protein	WP_044272427.1	WP_160607947.1
OG0000035	MHP_MHP696_protein	WP_044272427.1	WP_160588203.1
OG0000035	MHP_MHP709_protein	WP_044272427.1	WP_160588203.1
OG0000035	MHP_MHP650_protein	WP_044272427.1	WP_160601010.1
OG0000035	MHP_F72C_protein	WP_044272427.1	WP_146379578.1
OG0000035	MHP_MHP679_protein	WP_044272427.1	WP_160590237.1
OG0000035	MHP_MHP694_protein	WP_044272427.1	WP_160606781.1
OG0000035	MHP_7422_protein	WP_044272427.1	WP_020835673.1
OG0000035	MHP_UFV01_protein	WP_044272427.1	WP_243216087.1
OG0000035	MHP_UFV02_protein	WP_044272427.1	WP_243216087.1
OG0000035	MHP_MHP653_protein	WP_044272427.1	WP_258555938.1, WP_258555939.1
OG0000035	MHP_ES2L_protein	WP_044272427.1	WP_179221103.1
OG0000035	MHP_LH_protein	WP_044272427.1	WP_233688734.1
OG0000035	MHP_ES2_protein	WP_044272427.1	WP_135618771.1
OG0000035	MHP_168L_protein	WP_044272427.1	WP_014579762.1
OG0000035	MHP_168_protein	WP_044272427.1	WP_014579762.1
OG0000035	MHP_TB1_protein	WP_044272427.1	WP_014579762.1
OG0000035	MHP_J_protein	WP_044272427.1	WP_044284629.1
OG0000035	MHP_11_protein	WP_044272427.1	WP_088172554.1
OG0000035	MHP_232_protein	WP_044272427.1	WP_011206157.1
OG0000035	MHP_NCTC10127_protein	WP_044272427.1	WP_011206157.1
OG0000035	MFC_MS42_protein	WP_044272427.1	WP_002557996.1
OG0000035	MFC_ATCC27716_protein	WP_044272427.1	WP_002557996.1
OG0000035	MFC_MF30_protein	WP_044272427.1	WP_160605360.1
OG0000035	MFC_MF18_protein	WP_044272427.1	WP_160593384.1
OG0000035	MFC_MF33_protein	WP_044272427.1	WP_160609283.1
OG0000035	MFC_MF29_protein	WP_044272427.1	WP_160580948.1
OG0000035	MFC_MF11_protein	WP_044272427.1	WP_160603073.1
OG0000035	MFC_MF22_protein	WP_044272427.1	WP_160583639.1
OG0000035	MHP_MHP682_protein	WP_044272427.1	WP_160585694.1
OG0000035	MHP_MHP699_protein	WP_044272427.1	WP_160585058.1
OG0000043	MHP_7448_protein	WP_011290432.1	WP_011290432.1
OG0000043	MHP_MHP653_protein	WP_011290432.1	WP_011290432.1
OG0000043	MHP_MHP679_protein	WP_011290432.1	WP_011290432.1
OG0000043	MHP_MHP691_protein	WP_011290432.1	WP_011290432.1
OG0000043	MHP_MHP709_protein	WP_011290432.1	WP_160585575.1
OG0000043	MHP_MHP696_protein	WP_011290432.1	WP_160585575.1
OG0000043	MHP_MHP682_protein	WP_011290432.1	WP_160585575.1
OG0000043	MHP_F72C_protein	WP_011290432.1	WP_146379762.1
OG0000043	MHP_MHP699_protein	WP_011290432.1	WP_160584888.1
OG0000043	MHP_98_protein	WP_011290432.1	WP_160584888.1
OG0000043	MFC_MF30_protein	WP_011290432.1	WP_160605582.1
OG0000043	MFC_MF29_protein	WP_011290432.1	WP_160581126.1
OG0000043	MFC_MF11_protein	WP_011290432.1	WP_002557496.1
OG0000043	MFC_MF22_protein	WP_011290432.1	WP_002557496.1
OG0000043	MFC_MF18_protein	WP_011290432.1	WP_002557496.1
OG0000043	MFC_MS42_protein	WP_011290432.1	WP_002557496.1
OG0000043	MFC_ATCC27716_protein	WP_011290432.1	WP_002557496.1
OG0000043	MFC_MF33_protein	WP_011290432.1	WP_160609398.1
OG0000043	MHP_7422_protein	WP_011290432.1	WP_020835921.1
OG0000043	MHP_ES2_protein	WP_011290432.1	WP_135619158.1
OG0000043	MHP_LH_protein	WP_011290432.1	WP_233688571.1
OG0000043	MHP_168L_protein	WP_011290432.1	WP_014580027.1
OG0000043	MHP_168_protein	WP_011290432.1	WP_014580027.1
OG0000043	MHP_TB1_protein	WP_011290432.1	WP_014580027.1
OG0000043	MHP_MHP650_protein	WP_011290432.1	WP_160600806.1
OG0000043	MHP_MHP694_protein	WP_011290432.1	WP_160606905.1
OG0000043	MHP_UFV02_protein	WP_011290432.1	WP_243215892.1
OG0000043	MHP_UFV01_protein	WP_011290432.1	WP_243215892.1
OG0000043	MHP_ES2L_protein	WP_011290432.1	WP_179221270.1
OG0000043	MHP_J_protein	WP_011290432.1	WP_011284380.1
OG0000043	MHP_11_protein	WP_011290432.1	WP_011206511.1
OG0000043	MHP_232_protein	WP_011290432.1	WP_011206511.1
OG0000043	MHP_NCTC10127_protein	WP_011290432.1	WP_011206511.1
OG0000047	MHP_MHP691_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_MHP709_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_F72C_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_98_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_MHP699_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_MHP696_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_MHP682_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_ES2_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_UFV01_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_7422_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_7448_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_UFV02_protein	WP_225972996.1	WP_225972996.1
OG0000047	MHP_MHP653_protein	WP_225972996.1	WP_228365394.1
OG0000047	MHP_TB1_protein	WP_225972996.1	WP_044278029.1
OG0000047	MHP_ES2L_protein	WP_225972996.1	WP_228365394.1
OG0000047	MHP_J_protein	WP_225972996.1	WP_228365394.1
OG0000047	MHP_MHP679_protein	WP_225972996.1	WP_258555674.1
OG0000047	MHP_MHP650_protein	WP_225972996.1	WP_228365394.1
OG0000047	MHP_LH_protein	WP_225972996.1	WP_228365394.1
OG0000047	MHP_168_protein	WP_225972996.1	WP_228365394.1
OG0000047	MHP_168L_protein	WP_225972996.1	WP_228365394.1
OG0000047	MHP_MHP694_protein	WP_225972996.1	WP_258555421.1
OG0000047	MHP_11_protein	WP_225972996.1	WP_173670097.1
OG0000047	MHP_NCTC10127_protein	WP_225972996.1	WP_173670097.1
OG0000047	MHP_232_protein	WP_225972996.1	WP_173670097.1
OG0000047	MFC_MF30_protein	WP_225972996.1	WP_002557611.1
OG0000047	MFC_MS42_protein	WP_225972996.1	WP_002557611.1
OG0000047	MFC_ATCC27716_protein	WP_225972996.1	WP_002557611.1
OG0000047	MFC_MF18_protein	WP_225972996.1	WP_160583671.1
OG0000047	MFC_MF11_protein	WP_225972996.1	WP_160583671.1
OG0000047	MFC_MF22_protein	WP_225972996.1	WP_160583671.1
OG0000047	MFC_MF33_protein	WP_225972996.1	WP_160583671.1
OG0000047	MFC_MF29_protein	WP_225972996.1	WP_160580888.1
OG0000048	MHP_LH_protein	WP_044272567.1	WP_044272567.1
OG0000048	MHP_7448_protein	WP_044272567.1	WP_044272567.1
OG0000048	MHP_ES2_protein	WP_044272567.1	WP_135619004.1
OG0000048	MHP_MHP679_protein	WP_044272567.1	WP_160585682.1
OG0000048	MHP_MHP682_protein	WP_044272567.1	WP_160585682.1
OG0000048	MHP_MHP691_protein	WP_044272567.1	WP_160607842.1
OG0000048	MHP_J_protein	WP_044272567.1	WP_011206374.1
OG0000048	MHP_7422_protein	WP_044272567.1	WP_011206374.1
OG0000048	MHP_ES2L_protein	WP_044272567.1	WP_160587850.1
OG0000048	MHP_MHP709_protein	WP_044272567.1	WP_160587850.1
OG0000048	MHP_MHP696_protein	WP_044272567.1	WP_160587850.1
OG0000048	MHP_NCTC10127_protein	WP_044272567.1	WP_011206374.1
OG0000048	MHP_11_protein	WP_044272567.1	WP_011206374.1
OG0000048	MHP_MHP694_protein	WP_044272567.1	WP_160606579.1
OG0000048	MHP_UFV02_protein	WP_044272567.1	WP_014579936.1
OG0000048	MHP_168_protein	WP_044272567.1	WP_014579936.1
OG0000048	MHP_UFV01_protein	WP_044272567.1	WP_014579936.1
OG0000048	MHP_168L_protein	WP_044272567.1	WP_014579936.1
OG0000048	MHP_98_protein	WP_044272567.1	WP_179695927.1
OG0000048	MHP_F72C_protein	WP_044272567.1	WP_146379688.1
OG0000048	MHP_MHP650_protein	WP_044272567.1	WP_011206374.1
OG0000048	MHP_232_protein	WP_044272567.1	WP_011206374.1
OG0000048	MHP_MHP699_protein	WP_044272567.1	WP_011206374.1
OG0000048	MHP_MHP653_protein	WP_044272567.1	WP_160615657.1
OG0000048	MHP_TB1_protein	WP_044272567.1	WP_252862148.1
OG0000048	MFC_MF33_protein	WP_044272567.1	WP_160609268.1
OG0000048	MFC_ATCC27716_protein	WP_044272567.1	WP_002557625.1
OG0000048	MFC_MF29_protein	WP_044272567.1	WP_002557625.1
OG0000048	MFC_MS42_protein	WP_044272567.1	WP_002557625.1
OG0000048	MFC_MF30_protein	WP_044272567.1	WP_002557625.1
OG0000048	MFC_MF22_protein	WP_044272567.1	WP_002557625.1
OG0000048	MFC_MF18_protein	WP_044272567.1	WP_002557625.1
OG0000048	MFC_MF11_protein	WP_044272567.1	WP_002557625.1
OG0000053	MFC_MF33_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_MHP696_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_MHP709_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_NCTC10127_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_UFV02_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_7448_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_J_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_168_protein	WP_002557698.1	WP_002557698.1
OG0000053	MFC_MF22_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_UFV01_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_168L_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_MHP653_protein	WP_002557698.1	WP_160615597.1
OG0000053	MFC_ATCC27716_protein	WP_002557698.1	WP_002557698.1
OG0000053	MFC_MF18_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_ES2_protein	WP_002557698.1	WP_002557698.1
OG0000053	MFC_MF29_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_MHP694_protein	WP_002557698.1	WP_160606931.1
OG0000053	MFC_MS42_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_11_protein	WP_002557698.1	WP_002557698.1
OG0000053	MFC_MF30_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_232_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_TB1_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_MHP691_protein	WP_002557698.1	WP_160607789.1
OG0000053	MHP_F72C_protein	WP_002557698.1	WP_094521497.1
OG0000053	MHP_LH_protein	WP_002557698.1	WP_094521497.1
OG0000053	MFC_MF11_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_98_protein	WP_002557698.1	WP_179221201.1
OG0000053	MHP_ES2L_protein	WP_002557698.1	WP_179221201.1
OG0000053	MHP_MHP699_protein	WP_002557698.1	WP_160584919.1
OG0000053	MHP_MHP682_protein	WP_002557698.1	WP_160585654.1
OG0000053	MHP_MHP679_protein	WP_002557698.1	WP_160585654.1
OG0000053	MHP_MHP650_protein	WP_002557698.1	WP_002557698.1
OG0000053	MHP_7422_protein	WP_002557698.1	WP_002557698.1
OG0000057	MHP_MHP653_protein	WP_011290028.1	WP_160615784.1
OG0000057	MHP_ES2L_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_MHP691_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_MHP709_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_F72C_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_MHP696_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_7422_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_MHP699_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_MHP694_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_MHP679_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_MHP682_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_98_protein	WP_011290028.1	WP_011290028.1
OG0000057	MHP_7448_protein	WP_011290028.1	WP_011290028.1
OG0000057	MFC_MF33_protein	WP_011290028.1	WP_002557776.1
OG0000057	MFC_MF30_protein	WP_011290028.1	WP_002557776.1
OG0000057	MFC_ATCC27716_protein	WP_011290028.1	WP_002557776.1
OG0000057	MFC_MF22_protein	WP_011290028.1	WP_002557776.1
OG0000057	MFC_MS42_protein	WP_011290028.1	WP_002557776.1
OG0000057	MFC_MF18_protein	WP_011290028.1	WP_002557776.1
OG0000057	MFC_MF29_protein	WP_011290028.1	WP_002557776.1
OG0000057	MFC_MF11_protein	WP_011290028.1	WP_002557776.1
OG0000057	MHP_ES2_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_TB1_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_NCTC10127_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_168_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_UFV02_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_232_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_168L_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_LH_protein	WP_011290028.1	WP_233688645.1
OG0000057	MHP_11_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_UFV01_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_MHP650_protein	WP_011290028.1	WP_011206089.1
OG0000057	MHP_J_protein	WP_011290028.1	WP_011206089.1
OG0000058	MHP_7422_protein	WP_011290048.1	WP_011290048.1
OG0000058	MHP_7448_protein	WP_011290048.1	WP_011290048.1
OG0000058	MHP_MHP653_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_MHP696_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_MHP699_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_MHP650_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_MHP679_protein	WP_011290048.1	WP_160590415.1
OG0000058	MHP_ES2_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_MHP709_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_MHP694_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_98_protein	WP_011290048.1	WP_135618593.1
OG0000058	MHP_MHP691_protein	WP_011290048.1	WP_160608008.1
OG0000058	MHP_F72C_protein	WP_011290048.1	WP_146379512.1
OG0000058	MHP_NCTC10127_protein	WP_011290048.1	WP_011206059.1
OG0000058	MHP_232_protein	WP_011290048.1	WP_011206059.1
OG0000058	MHP_11_protein	WP_011290048.1	WP_011206059.1
OG0000058	MHP_MHP682_protein	WP_011290048.1	WP_160585608.1
OG0000058	MHP_168_protein	WP_011290048.1	WP_014579626.1
OG0000058	MHP_168L_protein	WP_011290048.1	WP_014579626.1
OG0000058	MHP_TB1_protein	WP_011290048.1	WP_014579626.1
OG0000058	MHP_LH_protein	WP_011290048.1	WP_233688659.1
OG0000058	MHP_UFV02_protein	WP_011290048.1	WP_011283954.1
OG0000058	MHP_J_protein	WP_011290048.1	WP_011283954.1
