Orthogroup	MFC_ATCC27716_genes	MHP_MHP650_genes
OG0000342	MFC_RS01845	DR083_RS01290
OG0000343	MFC_RS01525	DR083_RS01745
OG0000344	MFC_RS00850	DR083_RS02400
OG0000345	MFC_RS02130	DR083_RS02585
OG0000346	MFC_RS02800	DR083_RS04950
OG0000347	MFC_RS00620	DR083_RS01080
OG0000348	MFC_RS01915	DR083_RS01365
OG0000349	MFC_RS02745	DR083_RS04610
OG0000350	MFC_RS03345	DR083_RS00550
OG0000351	MFC_RS00785	DR083_RS03285
OG0000352	MFC_RS01340	DR083_RS01540
OG0000353	MFC_RS00590	DR083_RS01110
OG0000354	MFC_RS00900	DR083_RS03170
OG0000355	MFC_RS01315	DR083_RS04705
OG0000356	MFC_RS01395	DR083_RS04710
OG0000357	MFC_RS01485	DR083_RS04740
OG0000358	MFC_RS01490	DR083_RS01710
OG0000359	MFC_RS01885	DR083_RS04680
OG0000360	MFC_RS02500	DR083_RS00155
OG0000361	MFC_RS02530	DR083_RS00185
OG0000362	MFC_RS02915	DR083_RS01830
OG0000363	MFC_RS00660	DR083_RS04670
OG0000365	MFC_RS00050	DR083_RS03815
OG0000366	MFC_RS00080	DR083_RS02900
OG0000367	MFC_RS00090	DR083_RS02890
OG0000368	MFC_RS00175	DR083_RS05110
OG0000369	MFC_RS00210	DR083_RS04650
OG0000370	MFC_RS00215	DR083_RS00920
OG0000371	MFC_RS00220	DR083_RS00915
OG0000372	MFC_RS00225	DR083_RS00910
OG0000373	MFC_RS00250	DR083_RS00885
OG0000374	MFC_RS00260	DR083_RS00875
OG0000375	MFC_RS00415	DR083_RS02740
OG0000376	MFC_RS00470	DR083_RS03130
OG0000377	MFC_RS00480	DR083_RS03120
OG0000378	MFC_RS00515	DR083_RS01190
OG0000379	MFC_RS00585	DR083_RS01115
OG0000380	MFC_RS00610	DR083_RS01090
OG0000381	MFC_RS00650	DR083_RS01050
OG0000382	MFC_RS00680	DR083_RS01020
OG0000383	MFC_RS00720	DR083_RS00980
OG0000384	MFC_RS00790	DR083_RS02340
OG0000385	MFC_RS00795	DR083_RS02345
OG0000386	MFC_RS00815	DR083_RS02365
OG0000387	MFC_RS00840	DR083_RS02390
OG0000388	MFC_RS00845	DR083_RS04795
OG0000390	MFC_RS00990	DR083_RS00690
OG0000391	MFC_RS01000	DR083_RS00680
OG0000392	MFC_RS01030	DR083_RS00655
OG0000393	MFC_RS01080	DR083_RS04620
OG0000394	MFC_RS01145	DR083_RS03350
OG0000395	MFC_RS01150	DR083_RS03345
OG0000396	MFC_RS01280	DR083_RS00330
OG0000397	MFC_RS01325	DR083_RS01525
OG0000398	MFC_RS01330	DR083_RS01530
OG0000399	MFC_RS01375	DR083_RS01575
OG0000400	MFC_RS01450	DR083_RS01665
OG0000401	MFC_RS01510	DR083_RS01730
OG0000402	MFC_RS01520	DR083_RS01740
OG0000403	MFC_RS01530	DR083_RS01750
OG0000404	MFC_RS03375, MFC_RS01555	DR083_RS01780
OG0000406	MFC_RS01600	DR083_RS02820
OG0000407	MFC_RS01605	DR083_RS04825
OG0000408	MFC_RS01610	DR083_RS02810
OG0000409	MFC_RS01615	DR083_RS02805
OG0000410	MFC_RS01650	DR083_RS03105
OG0000411	MFC_RS01660	DR083_RS03095
OG0000412	MFC_RS01665	DR083_RS03090
OG0000413	MFC_RS01705	DR083_RS03435
OG0000414	MFC_RS01715	DR083_RS03425
OG0000415	MFC_RS01720	DR083_RS03420
OG0000416	MFC_RS01730	DR083_RS03410
OG0000417	MFC_RS01760	DR083_RS03015
OG0000418	MFC_RS01765	DR083_RS03010
OG0000419	MFC_RS01825	DR083_RS01270
OG0000420	MFC_RS01860	DR083_RS01305
OG0000421	MFC_RS01890	DR083_RS01340
OG0000422	MFC_RS01900	DR083_RS01350
OG0000423	MFC_RS01955	DR083_RS01405
OG0000424	MFC_RS01960	DR083_RS01410
OG0000425	MFC_RS01970	DR083_RS01420
OG0000426	MFC_RS01975	DR083_RS04690
OG0000427	MFC_RS02000	DR083_RS04695
OG0000428	MFC_RS02030	DR083_RS01475
OG0000429	MFC_RS02120	DR083_RS02595
OG0000430	MFC_RS02165	DR083_RS02550
OG0000431	MFC_RS02175	DR083_RS02540
OG0000432	MFC_RS02195	DR083_RS02025
OG0000433	MFC_RS02205	DR083_RS02010
OG0000434	MFC_RS02210	DR083_RS02005
OG0000435	MFC_RS02225	DR083_RS01990
OG0000436	MFC_RS03535	DR083_RS01960
OG0000437	MFC_RS02270	DR083_RS01950
OG0000438	MFC_RS02275	DR083_RS01945
OG0000439	MFC_RS02280	DR083_RS04745
OG0000440	MFC_RS02295	DR083_RS00745
OG0000441	MFC_RS02335	DR083_RS00785
OG0000442	MFC_RS02350	DR083_RS00015
OG0000443	MFC_RS02410	DR083_RS00065
OG0000444	MFC_RS02425	DR083_RS00080
OG0000445	MFC_RS02450	DR083_RS00105
OG0000446	MFC_RS02480	DR083_RS00135
OG0000447	MFC_RS02485	DR083_RS00140
OG0000448	MFC_RS02515	DR083_RS00170
OG0000449	MFC_RS02540	DR083_RS00195
OG0000450	MFC_RS02550	DR083_RS00205
OG0000451	MFC_RS02590	DR083_RS00245
OG0000452	MFC_RS02615	DR083_RS00270
OG0000453	MFC_RS02650	DR083_RS00305
OG0000455	MFC_RS02700	DR083_RS00795
OG0000456	MFC_RS02815	DR083_RS00420
OG0000457	MFC_RS02840	DR083_RS00395
OG0000458	MFC_RS02885	DR083_RS01800
OG0000459	MFC_RS02910	DR083_RS01825
OG0000460	MFC_RS02920	DR083_RS01835
OG0000461	MFC_RS03080	DR083_RS01880
OG0000462	MFC_RS03085	DR083_RS01875
OG0000463	MFC_RS03090	DR083_RS01870
OG0000464	MFC_RS03100	DR083_RS01865
OG0000465	MFC_RS03105	DR083_RS01860
OG0000466	MFC_RS02620	DR083_RS00275
OG0000467	MFC_RS03500	DR083_RS04780
OG0000468	MFC_RS01370	DR083_RS01570
OG0000469	MFC_RS00045	DR083_RS01630
OG0000470	MFC_RS01950	DR083_RS03825
OG0000471	MFC_RS02035	DR083_RS03775
OG0000472	MFC_RS01680	DR083_RS02975
OG0000473	MFC_RS02715	DR083_RS00525
OG0000474	MFC_RS02710	DR083_RS00530
OG0000476	MFC_RS00345	DR083_RS03485
OG0000477	MFC_RS03055	DR083_RS01905
OG0000478	MFC_RS02770	DR083_RS00470
OG0000479	MFC_RS00545	DR083_RS01155
OG0000480	MFC_RS03300	DR083_RS03830
OG0000481	MFC_RS01925	DR083_RS01375
OG0000482	MFC_RS01790	DR083_RS02485
OG0000483	MFC_RS00095	DR083_RS02885
OG0000484	MFC_RS02420	DR083_RS04580
OG0000487	MFC_RS00025	DR083_RS04720
OG0000489	MFC_RS00185	DR083_RS00950
OG0000490	MFC_RS00245	DR083_RS00890
OG0000491	MFC_RS00565	DR083_RS01135
OG0000492	MFC_RS00640	DR083_RS01060
OG0000493	MFC_RS00855	DR083_RS02405
OG0000494	MFC_RS00905	DR083_RS03165
OG0000495	MFC_RS01055	DR083_RS00625
OG0000496	MFC_RS01065	DR083_RS00615
OG0000497	MFC_RS01070	DR083_RS00610
OG0000498	MFC_RS01140	DR083_RS03355
OG0000499	MFC_RS01185	DR083_RS02150
OG0000500	MFC_RS01335	DR083_RS01535
OG0000501	MFC_RS01460	DR083_RS01675
OG0000502	MFC_RS01800	DR083_RS02495
OG0000503	MFC_RS01870	DR083_RS01320
OG0000504	MFC_RS02005	DR083_RS01455
OG0000505	MFC_RS02045	DR083_RS02675
OG0000506	MFC_RS02055	DR083_RS02665
OG0000507	MFC_RS02090	DR083_RS02630
OG0000508	MFC_RS02475	DR083_RS00130
OG0000509	MFC_RS02510	DR083_RS00165
OG0000510	MFC_RS02520	DR083_RS00175
OG0000512	MFC_RS02925	DR083_RS01840
OG0000513	MFC_RS02785	DR083_RS00455
OG0000516	MFC_RS00030	DR083_RS04725
OG0000518	MFC_RS01500	DR083_RS01720
OG0000519	MFC_RS01895	DR083_RS01345
OG0000521	MFC_RS02490	DR083_RS00145
OG0000522	MFC_RS02525	DR083_RS00180
OG0000524	MFC_RS03015	DR083_RS02180
OG0000525	MFC_RS01685	DR083_RS04850
OG0000528	MFC_RS00035	DR083_RS04730
OG0000529	MFC_RS00430	DR083_RS02725
OG0000530	MFC_RS00495	DR083_RS03310
OG0000531	MFC_RS00615	DR083_RS01085
OG0000532	MFC_RS00940	DR083_RS05100
OG0000533	MFC_RS02185	DR083_RS03335
OG0000534	MFC_RS02605	DR083_RS00260
OG0000535	MFC_RS00190	DR083_RS04655
OG0000536	MFC_RS00315	DR083_RS00825
OG0000537	MFC_RS01840	DR083_RS01285
OG0000538	MFC_RS02215	DR083_RS02000
OG0000539	MFC_RS02435	DR083_RS00090
OG0000540	MFC_RS03035	DR083_RS01925
OG0000541	MFC_RS01170	DR083_RS02135
OG0000542	MFC_RS02575	DR083_RS00230
OG0000547	MFC_RS00980	DR083_RS05065
OG0000548	MFC_RS01285	DR083_RS03570
OG0000549	MFC_RS01675	DR083_RS04845
OG0000550	MFC_RS02750	DR083_RS00490
OG0000589	MFC_RS03260	DR083_RS03545
