Orthogroup	MFC_ATCC27716_genes	MHP_98_genes
OG0000153	MFC_RS01125	GOM18_RS03105
OG0000154	MFC_RS01135	GOM18_RS03095
OG0000155	MFC_RS01155	GOM18_RS02160
OG0000156	MFC_RS01175	GOM18_RS02150
OG0000157	MFC_RS01180	GOM18_RS04415
OG0000158	MFC_RS01190	GOM18_RS04410
OG0000159	MFC_RS01245	GOM18_RS01915
OG0000160	MFC_RS01250	GOM18_RS01910
OG0000161	MFC_RS01255	GOM18_RS01905
OG0000162	MFC_RS01265	GOM18_RS01895
OG0000163	MFC_RS01270	GOM18_RS01890
OG0000164	MFC_RS01300	GOM18_RS03635
OG0000165	MFC_RS01345	GOM18_RS03260
OG0000166	MFC_RS01365	GOM18_RS02185
OG0000167	MFC_RS01380	GOM18_RS02200
OG0000168	MFC_RS01385	GOM18_RS02205
OG0000169	MFC_RS01430	GOM18_RS01040
OG0000170	MFC_RS01455	GOM18_RS01025
OG0000171	MFC_RS01465	GOM18_RS01015
OG0000172	MFC_RS01470	GOM18_RS01010
OG0000173	MFC_RS01475	GOM18_RS01005
OG0000174	MFC_RS01480	GOM18_RS01000
OG0000175	MFC_RS01495	GOM18_RS00985
OG0000176	MFC_RS01540	GOM18_RS00935
OG0000177	MFC_RS01545	GOM18_RS00930
OG0000178	MFC_RS01550	GOM18_RS00925
OG0000179	MFC_RS01560	GOM18_RS00915
OG0000180	MFC_RS01565	GOM18_RS00910
OG0000181	MFC_RS01580	GOM18_RS04365
OG0000182	MFC_RS01590	GOM18_RS00860
OG0000183	MFC_RS01625	GOM18_RS00825
OG0000184	MFC_RS01655	GOM18_RS00780
OG0000185	MFC_RS01670	GOM18_RS00795
OG0000186	MFC_RS01710	GOM18_RS04465
OG0000187	MFC_RS01725	GOM18_RS02595
OG0000188	MFC_RS01735	GOM18_RS02585
OG0000189	MFC_RS03385	GOM18_RS04445
OG0000190	MFC_RS01750	GOM18_RS02440
OG0000191	MFC_RS01770	GOM18_RS02420
OG0000192	MFC_RS01780	GOM18_RS03170
OG0000193	MFC_RS01795	GOM18_RS03155
OG0000194	MFC_RS01805	GOM18_RS00120
OG0000195	MFC_RS01810	GOM18_RS00125
OG0000196	MFC_RS01830	GOM18_RS00145
OG0000197	MFC_RS01835	GOM18_RS00150
OG0000198	MFC_RS01850	GOM18_RS00165
OG0000199	MFC_RS01855	GOM18_RS00170
OG0000200	MFC_RS01865	GOM18_RS00185
OG0000201	MFC_RS01875	GOM18_RS00195
OG0000202	MFC_RS01930	GOM18_RS00250
OG0000203	MFC_RS01935	GOM18_RS00255
OG0000204	MFC_RS01940	GOM18_RS00260
OG0000205	MFC_RS01945	GOM18_RS00265
OG0000206	MFC_RS01965	GOM18_RS00285
OG0000207	MFC_RS01980	GOM18_RS00300
OG0000208	MFC_RS01985	GOM18_RS00305
OG0000209	MFC_RS01990	GOM18_RS00310
OG0000210	MFC_RS02040	GOM18_RS00360
OG0000211	MFC_RS02050	GOM18_RS01855
OG0000212	MFC_RS02060	GOM18_RS01845
OG0000213	MFC_RS02065	GOM18_RS01840
OG0000214	MFC_RS02070	GOM18_RS01835
OG0000215	MFC_RS02075	GOM18_RS01830
OG0000216	MFC_RS02080	GOM18_RS01825
OG0000217	MFC_RS02085	GOM18_RS01820
OG0000218	MFC_RS02095	GOM18_RS01810
OG0000219	MFC_RS02100	GOM18_RS01805
OG0000220	MFC_RS02105	GOM18_RS01800
OG0000221	MFC_RS02110	GOM18_RS01795
OG0000222	MFC_RS03235	GOM18_RS01790
OG0000223	MFC_RS02115	GOM18_RS01785
OG0000224	MFC_RS02125	GOM18_RS01775
OG0000225	MFC_RS02135	GOM18_RS01765
OG0000226	MFC_RS02140	GOM18_RS01760
OG0000227	MFC_RS02145	GOM18_RS01755
OG0000228	MFC_RS03530	GOM18_RS04580
OG0000229	MFC_RS02155	GOM18_RS01745
OG0000230	MFC_RS02160	GOM18_RS01740
OG0000231	MFC_RS02170	GOM18_RS01730
OG0000232	MFC_RS02180	GOM18_RS01720
OG0000233	MFC_RS02190	GOM18_RS02880
OG0000234	MFC_RS02220	GOM18_RS02915
OG0000235	MFC_RS02230	GOM18_RS02925
OG0000236	MFC_RS02235	GOM18_RS02930
OG0000237	MFC_RS02250	GOM18_RS02935
OG0000238	MFC_RS02255	GOM18_RS02940
OG0000239	MFC_RS02285	GOM18_RS01115
OG0000240	MFC_RS02290	GOM18_RS01110
OG0000241	MFC_RS02300	GOM18_RS01100
OG0000242	MFC_RS02305	GOM18_RS01095
OG0000243	MFC_RS02310	GOM18_RS01090
OG0000244	MFC_RS02320	GOM18_RS01080
OG0000245	MFC_RS02330	GOM18_RS01070
OG0000246	MFC_RS02345	GOM18_RS01250
OG0000247	MFC_RS02355	GOM18_RS01260
OG0000248	MFC_RS02380	GOM18_RS01270
OG0000249	MFC_RS02385	GOM18_RS01275
OG0000250	MFC_RS02400	GOM18_RS01290
OG0000251	MFC_RS02430	GOM18_RS01320
OG0000252	MFC_RS02440	GOM18_RS01330
OG0000253	MFC_RS02445	GOM18_RS01335
OG0000254	MFC_RS02455	GOM18_RS01345
OG0000255	MFC_RS02465	GOM18_RS01350
OG0000256	MFC_RS02470	GOM18_RS01355
OG0000257	MFC_RS02495	GOM18_RS01380
OG0000258	MFC_RS02505	GOM18_RS01390
OG0000259	MFC_RS02535	GOM18_RS01420
OG0000260	MFC_RS02545	GOM18_RS01430
OG0000261	MFC_RS02555	GOM18_RS04390
OG0000262	MFC_RS02570	GOM18_RS01455
OG0000263	MFC_RS02585	GOM18_RS01470
OG0000264	MFC_RS02600	GOM18_RS01485
OG0000265	MFC_RS02610	GOM18_RS01495
OG0000266	MFC_RS02625	GOM18_RS01510
OG0000267	MFC_RS02640	GOM18_RS01525
OG0000268	MFC_RS02645	GOM18_RS01530
OG0000269	MFC_RS02660	GOM18_RS01545
OG0000270	MFC_RS02720	GOM18_RS04280
OG0000271	MFC_RS02725	GOM18_RS00450
OG0000272	MFC_RS02730	GOM18_RS00445
OG0000273	MFC_RS02735	GOM18_RS00440
OG0000274	MFC_RS02755	GOM18_RS00420
OG0000275	MFC_RS03455	GOM18_RS04270
OG0000276	MFC_RS02765	GOM18_RS00410
OG0000277	MFC_RS02775	GOM18_RS00400
OG0000278	MFC_RS02780	GOM18_RS00395
OG0000279	MFC_RS02790	GOM18_RS00385
OG0000280	MFC_RS02795	GOM18_RS00380
OG0000281	MFC_RS03255	GOM18_RS00375
OG0000282	MFC_RS02820	GOM18_RS04310
OG0000283	MFC_RS02825	GOM18_RS00705
OG0000284	MFC_RS02830	GOM18_RS00710
OG0000285	MFC_RS02835	GOM18_RS04315
OG0000286	MFC_RS02865	GOM18_RS01875
OG0000287	MFC_RS02890	GOM18_RS01965
OG0000288	MFC_RS02900	GOM18_RS01975
OG0000289	MFC_RS02905	GOM18_RS01980
OG0000290	MFC_RS03030	GOM18_RS02090
OG0000291	MFC_RS03040	GOM18_RS02080
OG0000292	MFC_RS03045	GOM18_RS02075
OG0000293	MFC_RS03050	GOM18_RS02070
OG0000294	MFC_RS03060	GOM18_RS02060
OG0000295	MFC_RS03065	GOM18_RS02055
OG0000296	MFC_RS03110	GOM18_RS02015
OG0000297	MFC_RS03115	GOM18_RS02010
OG0000298	MFC_RS02395	GOM18_RS01285
OG0000299	MFC_RS02415	GOM18_RS03940
OG0000300	MFC_RS02595	GOM18_RS01480
OG0000301	MFC_RS02630	GOM18_RS01515
OG0000302	MFC_RS02635	GOM18_RS01520
OG0000303	MFC_RS00835	GOM18_RS01665
OG0000304	MFC_RS00865	GOM18_RS01710
OG0000305	MFC_RS01010	GOM18_RS01175
OG0000306	MFC_RS01090	GOM18_RS03130
OG0000307	MFC_RS01130	GOM18_RS03100
OG0000308	MFC_RS03020	GOM18_RS02110
OG0000309	MFC_RS03075	GOM18_RS02045
OG0000310	MFC_RS02895	GOM18_RS01970
OG0000311	MFC_RS01220	GOM18_RS01935
OG0000312	MFC_RS01240	GOM18_RS01920
OG0000313	MFC_RS01290	GOM18_RS03620
OG0000314	MFC_RS01360	GOM18_RS03245
OG0000315	MFC_RS01390	GOM18_RS02210
OG0000316	MFC_RS01400	GOM18_RS02220
OG0000317	MFC_RS00110	GOM18_RS02315
OG0000318	MFC_RS00020	GOM18_RS04425
OG0000319	MFC_RS00420	GOM18_RS02375
OG0000320	MFC_RS00485	GOM18_RS02500
OG0000321	MFC_RS00550	GOM18_RS02820
OG0000322	MFC_RS00595	GOM18_RS02780
OG0000323	MFC_RS00725	GOM18_RS02625
OG0000324	MFC_RS01775	GOM18_RS02415
OG0000325	MFC_RS01815	GOM18_RS00130
OG0000326	MFC_RS01905	GOM18_RS00225
OG0000327	MFC_RS01910	GOM18_RS00230
OG0000328	MFC_RS01995	GOM18_RS00315
OG0000329	MFC_RS02020	GOM18_RS00335
OG0000330	MFC_RS02200	GOM18_RS02890
OG0000331	MFC_RS02315	GOM18_RS01085
OG0000332	MFC_RS01505	GOM18_RS00975
OG0000333	MFC_RS01515	GOM18_RS00965
OG0000334	MFC_RS01585	GOM18_RS00865
OG0000335	MFC_RS01595	GOM18_RS00855
OG0000336	MFC_RS02805	GOM18_RS04265
OG0000337	MFC_RS00280	GOM18_RS00535
OG0000338	MFC_RS00240	GOM18_RS00575
OG0000339	MFC_RS00505	GOM18_RS02475
OG0000340	MFC_RS00530	GOM18_RS02840
OG0000341	MFC_RS01755	GOM18_RS02435
OG0000342	MFC_RS01845	GOM18_RS00160
OG0000343	MFC_RS01525	GOM18_RS00955
OG0000344	MFC_RS00850	GOM18_RS01680
OG0000345	MFC_RS02130	GOM18_RS01770
OG0000346	MFC_RS02800	GOM18_RS00370
OG0000347	MFC_RS00620	GOM18_RS02755
OG0000348	MFC_RS01915	GOM18_RS00235
OG0000349	MFC_RS02745	GOM18_RS04275
OG0000350	MFC_RS03345	GOM18_RS03090
OG0000351	MFC_RS00785	GOM18_RS01600
OG0000352	MFC_RS01340	GOM18_RS03265
OG0000353	MFC_RS00590	GOM18_RS02785
OG0000354	MFC_RS00900	GOM18_RS03455
OG0000355	MFC_RS01315	GOM18_RS04535
OG0000356	MFC_RS01395	GOM18_RS04420
OG0000357	MFC_RS01485	GOM18_RS04370
OG0000358	MFC_RS01490	GOM18_RS00990
OG0000359	MFC_RS01885	GOM18_RS04245
OG0000360	MFC_RS02500	GOM18_RS01385
OG0000361	MFC_RS02530	GOM18_RS01415
OG0000362	MFC_RS02915	GOM18_RS01990
OG0000363	MFC_RS00660	GOM18_RS04485
OG0000365	MFC_RS00050	GOM18_RS04440
OG0000366	MFC_RS00080	GOM18_RS02285
OG0000367	MFC_RS00090	GOM18_RS02295
OG0000368	MFC_RS00175	GOM18_RS00640
OG0000369	MFC_RS00210	GOM18_RS04300
OG0000370	MFC_RS00215	GOM18_RS00600
OG0000371	MFC_RS00220	GOM18_RS00595
OG0000372	MFC_RS00225	GOM18_RS00590
OG0000373	MFC_RS00250	GOM18_RS00565
OG0000374	MFC_RS00260	GOM18_RS00555
OG0000375	MFC_RS00415	GOM18_RS02370
OG0000376	MFC_RS00470	GOM18_RS02515
OG0000377	MFC_RS00480	GOM18_RS02505
OG0000378	MFC_RS00515	GOM18_RS02860
OG0000380	MFC_RS00610	GOM18_RS02765
OG0000381	MFC_RS00650	GOM18_RS02725
OG0000382	MFC_RS00680	GOM18_RS02695
OG0000383	MFC_RS00720	GOM18_RS02630
OG0000384	MFC_RS00790	GOM18_RS01620
OG0000385	MFC_RS00795	GOM18_RS01625
OG0000386	MFC_RS00815	GOM18_RS01645
OG0000387	MFC_RS00840	GOM18_RS01670
OG0000388	MFC_RS00845	GOM18_RS04395
OG0000389	MFC_RS00880	GOM18_RS03480
OG0000390	MFC_RS00990	GOM18_RS01155
OG0000391	MFC_RS01000	GOM18_RS01165
OG0000392	MFC_RS01030	GOM18_RS01190
OG0000393	MFC_RS01080	GOM18_RS04515
OG0000395	MFC_RS01150	GOM18_RS02165
OG0000396	MFC_RS01280	GOM18_RS01880
OG0000397	MFC_RS01325	GOM18_RS03280
OG0000398	MFC_RS01330	GOM18_RS03275
OG0000399	MFC_RS01375	GOM18_RS02195
OG0000400	MFC_RS01450	GOM18_RS01030
OG0000401	MFC_RS01510	GOM18_RS00970
OG0000402	MFC_RS01520	GOM18_RS00960
OG0000403	MFC_RS01530	GOM18_RS00950
OG0000404	MFC_RS03375, MFC_RS01555	GOM18_RS00920
OG0000405	MFC_RS01570	GOM18_RS00905
OG0000406	MFC_RS01600	GOM18_RS00850
OG0000407	MFC_RS01605	GOM18_RS04360
OG0000408	MFC_RS01610	GOM18_RS00840
OG0000409	MFC_RS01615	GOM18_RS00835
OG0000410	MFC_RS01650	GOM18_RS00775
OG0000411	MFC_RS01660	GOM18_RS00785
OG0000412	MFC_RS01665	GOM18_RS00790
OG0000413	MFC_RS01705	GOM18_RS02615
OG0000414	MFC_RS01715	GOM18_RS02605
OG0000415	MFC_RS01720	GOM18_RS02600
OG0000416	MFC_RS01730	GOM18_RS02590
OG0000417	MFC_RS01760	GOM18_RS02430
OG0000418	MFC_RS01765	GOM18_RS02425
OG0000419	MFC_RS01825	GOM18_RS00140
OG0000420	MFC_RS01860	GOM18_RS00175
OG0000421	MFC_RS01890	GOM18_RS00210
OG0000422	MFC_RS01900	GOM18_RS00220
OG0000423	MFC_RS01955	GOM18_RS00275
OG0000424	MFC_RS01960	GOM18_RS00280
OG0000425	MFC_RS01970	GOM18_RS00290
OG0000426	MFC_RS01975	GOM18_RS04250
OG0000427	MFC_RS02000	GOM18_RS04255
OG0000428	MFC_RS02030	GOM18_RS00345
OG0000429	MFC_RS02120	GOM18_RS01780
OG0000430	MFC_RS02165	GOM18_RS01735
OG0000431	MFC_RS02175	GOM18_RS01725
OG0000432	MFC_RS02195	GOM18_RS02885
OG0000433	MFC_RS02205	GOM18_RS02900
OG0000434	MFC_RS02210	GOM18_RS02905
OG0000435	MFC_RS02225	GOM18_RS02920
OG0000436	MFC_RS03535	GOM18_RS02945
OG0000437	MFC_RS02270	GOM18_RS02955
OG0000438	MFC_RS02275	GOM18_RS02960
OG0000439	MFC_RS02280	GOM18_RS04495
OG0000440	MFC_RS02295	GOM18_RS04375
OG0000441	MFC_RS02335	GOM18_RS01065
OG0000442	MFC_RS02350	GOM18_RS01255
OG0000443	MFC_RS02410	GOM18_RS01300
OG0000444	MFC_RS02425	GOM18_RS01315
OG0000445	MFC_RS02450	GOM18_RS03665
OG0000446	MFC_RS02480	GOM18_RS01365
OG0000447	MFC_RS02485	GOM18_RS01370
OG0000448	MFC_RS02515	GOM18_RS01400
OG0000449	MFC_RS02540	GOM18_RS01425
OG0000450	MFC_RS02550	GOM18_RS01435
OG0000451	MFC_RS02590	GOM18_RS01475
OG0000452	MFC_RS02615	GOM18_RS01500
OG0000453	MFC_RS02650	GOM18_RS01535
OG0000455	MFC_RS02700	GOM18_RS00475
OG0000456	MFC_RS02815	GOM18_RS00695
OG0000457	MFC_RS02840	GOM18_RS00720
OG0000458	MFC_RS02885	GOM18_RS01960
OG0000459	MFC_RS02910	GOM18_RS01985
OG0000460	MFC_RS02920	GOM18_RS01995
OG0000461	MFC_RS03080	GOM18_RS02040
OG0000462	MFC_RS03085	GOM18_RS02035
OG0000463	MFC_RS03090	GOM18_RS02030
OG0000464	MFC_RS03100	GOM18_RS02025
OG0000465	MFC_RS03105	GOM18_RS02020
OG0000466	MFC_RS02620	GOM18_RS01505
OG0000467	MFC_RS03500	GOM18_RS04400
OG0000468	MFC_RS01370	GOM18_RS02190
OG0000469	MFC_RS00045	GOM18_RS02250
OG0000470	MFC_RS01950	GOM18_RS00270
OG0000471	MFC_RS02035	GOM18_RS00350
OG0000472	MFC_RS01680	GOM18_RS00765
OG0000473	MFC_RS02715	GOM18_RS00460
OG0000474	MFC_RS02710	GOM18_RS00465
OG0000475	MFC_RS02705	GOM18_RS00470
OG0000476	MFC_RS00345	GOM18_RS02580
OG0000477	MFC_RS03055	GOM18_RS02065
OG0000478	MFC_RS02770	GOM18_RS00405
OG0000479	MFC_RS00545	GOM18_RS02825
OG0000480	MFC_RS03300	GOM18_RS02255
OG0000481	MFC_RS01925	GOM18_RS00245
OG0000482	MFC_RS01790	GOM18_RS03160
OG0000483	MFC_RS00095	GOM18_RS02300
OG0000484	MFC_RS02420	GOM18_RS04385
OG0000487	MFC_RS00025	GOM18_RS04430
OG0000488	MFC_RS00065	GOM18_RS02270
OG0000489	MFC_RS00185	GOM18_RS00630
OG0000490	MFC_RS00245	GOM18_RS00570
OG0000491	MFC_RS00565	GOM18_RS02805
OG0000492	MFC_RS00640	GOM18_RS02735
OG0000493	MFC_RS00855	GOM18_RS01685
OG0000494	MFC_RS00905	GOM18_RS03450
OG0000495	MFC_RS01055	GOM18_RS01220
OG0000496	MFC_RS01065	GOM18_RS01230
OG0000497	MFC_RS01070	GOM18_RS01235
OG0000498	MFC_RS01140	GOM18_RS03070
OG0000499	MFC_RS01185	GOM18_RS02140
OG0000500	MFC_RS01335	GOM18_RS03270
OG0000501	MFC_RS01460	GOM18_RS01020
OG0000502	MFC_RS01800	GOM18_RS03150
OG0000503	MFC_RS01870	GOM18_RS00190
OG0000504	MFC_RS02005	GOM18_RS00325
OG0000505	MFC_RS02045	GOM18_RS01860
OG0000506	MFC_RS02055	GOM18_RS01850
OG0000507	MFC_RS02090	GOM18_RS01815
OG0000508	MFC_RS02475	GOM18_RS01360
OG0000509	MFC_RS02510	GOM18_RS01395
OG0000510	MFC_RS02520	GOM18_RS01405
OG0000511	MFC_RS02655	GOM18_RS01540
OG0000512	MFC_RS02925	GOM18_RS02000
OG0000513	MFC_RS02785	GOM18_RS00390
OG0000516	MFC_RS00030	GOM18_RS04435
OG0000517	MFC_RS00170	GOM18_RS00645
OG0000518	MFC_RS01500	GOM18_RS00980
OG0000519	MFC_RS01895	GOM18_RS00215
OG0000520	MFC_RS02025	GOM18_RS00340
OG0000521	MFC_RS02490	GOM18_RS01375
OG0000522	MFC_RS02525	GOM18_RS01410
OG0000523	MFC_RS02845	GOM18_RS00725
OG0000524	MFC_RS03015	GOM18_RS02115
OG0000525	MFC_RS01685	GOM18_RS04345
OG0000528	MFC_RS00035	GOM18_RS02240
OG0000529	MFC_RS00430	GOM18_RS02385
OG0000530	MFC_RS00495	GOM18_RS02485
OG0000531	MFC_RS00615	GOM18_RS02760
OG0000532	MFC_RS00940	GOM18_RS03550
OG0000534	MFC_RS02605	GOM18_RS01490
OG0000535	MFC_RS00190	GOM18_RS04305
OG0000536	MFC_RS00315	GOM18_RS00505
OG0000537	MFC_RS01840	GOM18_RS00155
OG0000538	MFC_RS02215	GOM18_RS02910
OG0000539	MFC_RS02435	GOM18_RS01325
OG0000540	MFC_RS03035	GOM18_RS02085
OG0000541	MFC_RS01170	GOM18_RS02155
OG0000542	MFC_RS02575	GOM18_RS01460
OG0000547	MFC_RS00980	GOM18_RS01145
OG0000548	MFC_RS01285	GOM18_RS03615
OG0000549	MFC_RS01675	GOM18_RS04350
OG0000550	MFC_RS02750	GOM18_RS00425
OG0000551	MFC_RS02325	GOM18_RS01075
OG0000555	MFC_RS03340	GOM18_RS03930
OG0000595	MFC_RS01440	GOM18_RS01055
OG0000602	MFC_RS00055	GOM18_RS02265
