Orthogroup	MFC_ATCC27716_genes	MHP_LH_genes
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	KUD10_RS03345
OG0000042	MFC_RS00930, MFC_RS01085	KUD10_RS03010
OG0000043	MFC_RS01320	KUD10_RS01965
OG0000045	MFC_RS00950	KUD10_RS01680
OG0000048	MFC_RS00140	KUD10_RS02150
OG0000050	MFC_RS01260	KUD10_RS02530
OG0000051	MFC_RS02240	KUD10_RS02740
OG0000052	MFC_RS00160	KUD10_RS00075
OG0000053	MFC_RS00665	KUD10_RS01520
OG0000054	MFC_RS01235	KUD10_RS02555
OG0000055	MFC_RS03415, MFC_RS03540	KUD10_RS00135
OG0000056	MFC_RS00325	KUD10_RS03605
OG0000057	MFC_RS00965	KUD10_RS02995
OG0000062	MFC_RS00270	KUD10_RS03655
OG0000063	MFC_RS00275	KUD10_RS03650
OG0000064	MFC_RS00285	KUD10_RS03640
OG0000065	MFC_RS00440	KUD10_RS02315
OG0000066	MFC_RS00570	KUD10_RS01425
OG0000068	MFC_RS00910	KUD10_RS00655
OG0000069	MFC_RS01075	KUD10_RS02890
OG0000070	MFC_RS01215	KUD10_RS02560
OG0000071	MFC_RS01630	KUD10_RS03335
OG0000072	MFC_RS01635	KUD10_RS03340
OG0000073	MFC_RS03395, MFC_RS03390	KUD10_RS00700
OG0000074	MFC_RS03400	KUD10_RS00895
OG0000075	MFC_RS02565	KUD10_RS00340
OG0000076	MFC_RS02580	KUD10_RS00355
OG0000077	MFC_RS02670	KUD10_RS00440
OG0000078	MFC_RS03005	KUD10_RS01740
OG0000079	MFC_RS02930, MFC_RS03120	KUD10_RS02640
OG0000080	MFC_RS03315	KUD10_RS02690
OG0000081	MFC_RS03430, MFC_RS02560	KUD10_RS00335
OG0000082	MFC_RS02870	KUD10_RS02460
OG0000083	MFC_RS00040	KUD10_RS02070
OG0000084	MFC_RS00070	KUD10_RS02100
OG0000085	MFC_RS00075	KUD10_RS02105
OG0000086	MFC_RS00085	KUD10_RS02115
OG0000087	MFC_RS03320	KUD10_RS02130
OG0000088	MFC_RS00105	KUD10_RS02135
OG0000089	MFC_RS00115	KUD10_RS02145
OG0000090	MFC_RS00165	KUD10_RS00070
OG0000091	MFC_RS00180	KUD10_RS00055
OG0000092	MFC_RS00195	KUD10_RS00040
OG0000093	MFC_RS00200	KUD10_RS00035
OG0000094	MFC_RS00205	KUD10_RS00030
OG0000095	MFC_RS00230	KUD10_RS00005
OG0000096	MFC_RS00235	KUD10_RS03690
OG0000097	MFC_RS00255	KUD10_RS03670
OG0000099	MFC_RS00320	KUD10_RS03610
OG0000100	MFC_RS00335	KUD10_RS03590
OG0000101	MFC_RS00340	KUD10_RS03585
OG0000102	MFC_RS00350	KUD10_RS01765
OG0000103	MFC_RS00405	KUD10_RS02280
OG0000104	MFC_RS00410	KUD10_RS02285
OG0000105	MFC_RS00425	KUD10_RS02300
OG0000106	MFC_RS00435	KUD10_RS02310
OG0000107	MFC_RS00445	KUD10_RS02320
OG0000108	MFC_RS00450	KUD10_RS02325
OG0000109	MFC_RS00455	KUD10_RS02330
OG0000110	MFC_RS00460	KUD10_RS02450
OG0000111	MFC_RS00465	KUD10_RS02445
OG0000112	MFC_RS00475	KUD10_RS02435
OG0000113	MFC_RS00490	KUD10_RS02415
OG0000114	MFC_RS00500	KUD10_RS02405
OG0000115	MFC_RS00510	KUD10_RS02395
OG0000116	MFC_RS00520	KUD10_RS01370
OG0000117	MFC_RS00525	KUD10_RS01375
OG0000118	MFC_RS00555	KUD10_RS01410
OG0000119	MFC_RS00560	KUD10_RS01415
OG0000120	MFC_RS00575	KUD10_RS01430
OG0000121	MFC_RS00600	KUD10_RS01455
OG0000122	MFC_RS00605	KUD10_RS01460
OG0000123	MFC_RS00625	KUD10_RS01480
OG0000124	MFC_RS00630	KUD10_RS01485
OG0000125	MFC_RS00635	KUD10_RS01490
OG0000126	MFC_RS00645	KUD10_RS01500
OG0000127	MFC_RS00655	KUD10_RS01510
OG0000128	MFC_RS00670	KUD10_RS01525
OG0000129	MFC_RS00675	KUD10_RS01530
OG0000130	MFC_RS00685	KUD10_RS01540
OG0000131	MFC_RS00715	KUD10_RS01570
OG0000132	MFC_RS00735	KUD10_RS01585
OG0000133	MFC_RS00805	KUD10_RS00535
OG0000134	MFC_RS00810	KUD10_RS00540
OG0000135	MFC_RS00825	KUD10_RS00555
OG0000136	MFC_RS00830	KUD10_RS00560
OG0000137	MFC_RS00860	KUD10_RS00600
OG0000138	MFC_RS00885	KUD10_RS00630
OG0000139	MFC_RS00915	KUD10_RS00660
OG0000140	MFC_RS00920	KUD10_RS00665
OG0000141	MFC_RS00955	KUD10_RS03005
OG0000142	MFC_RS00960	KUD10_RS03000
OG0000143	MFC_RS00985	KUD10_RS02980
OG0000144	MFC_RS00995	KUD10_RS02970
OG0000145	MFC_RS01005	KUD10_RS02960
OG0000146	MFC_RS01015	KUD10_RS02950
OG0000147	MFC_RS01020	KUD10_RS02945
OG0000148	MFC_RS01035	KUD10_RS02930
OG0000149	MFC_RS01045	KUD10_RS02920
OG0000150	MFC_RS01060	KUD10_RS02905
OG0000151	MFC_RS01115	KUD10_RS02860
OG0000152	MFC_RS01120	KUD10_RS02855
OG0000153	MFC_RS01125	KUD10_RS02850
OG0000154	MFC_RS01135	KUD10_RS02840
OG0000155	MFC_RS01155	KUD10_RS02805
OG0000156	MFC_RS01175	KUD10_RS02795
OG0000157	MFC_RS01180	KUD10_RS02790
OG0000158	MFC_RS01190	KUD10_RS03710
OG0000159	MFC_RS01245	KUD10_RS02545
OG0000160	MFC_RS01250	KUD10_RS02540
OG0000161	MFC_RS01255	KUD10_RS02535
OG0000162	MFC_RS01265	KUD10_RS02525
OG0000163	MFC_RS01270	KUD10_RS02520
OG0000164	MFC_RS01300	KUD10_RS01670
OG0000165	MFC_RS01345	KUD10_RS01990
OG0000166	MFC_RS01365	KUD10_RS02010
OG0000167	MFC_RS01380	KUD10_RS02025
OG0000168	MFC_RS01385	KUD10_RS02030
OG0000169	MFC_RS01430	KUD10_RS03115
OG0000170	MFC_RS01455	KUD10_RS03130
OG0000171	MFC_RS01465	KUD10_RS03140
OG0000172	MFC_RS01470	KUD10_RS03145
OG0000173	MFC_RS01475	KUD10_RS03150
OG0000174	MFC_RS01480	KUD10_RS03155
OG0000175	MFC_RS01495	KUD10_RS03170
OG0000176	MFC_RS01540	KUD10_RS03215
OG0000177	MFC_RS01545	KUD10_RS03220
OG0000178	MFC_RS01550	KUD10_RS03225
OG0000179	MFC_RS01560	KUD10_RS03235
OG0000180	MFC_RS01565	KUD10_RS03240
OG0000181	MFC_RS01580	KUD10_RS03285
OG0000182	MFC_RS01590	KUD10_RS03295
OG0000183	MFC_RS01625	KUD10_RS03330
OG0000184	MFC_RS01655	KUD10_RS03375
OG0000185	MFC_RS01670	KUD10_RS03360
OG0000186	MFC_RS01710	KUD10_RS01595
OG0000187	MFC_RS01725	KUD10_RS01610
OG0000188	MFC_RS01735	KUD10_RS01620
OG0000189	MFC_RS03385	KUD10_RS02365
OG0000190	MFC_RS01750	KUD10_RS02360
OG0000191	MFC_RS01770	KUD10_RS02340
OG0000192	MFC_RS01780	KUD10_RS01290
OG0000193	MFC_RS01795	KUD10_RS01275
OG0000194	MFC_RS01805	KUD10_RS00685
OG0000195	MFC_RS01810	KUD10_RS00690
OG0000196	MFC_RS01830	KUD10_RS00710
OG0000197	MFC_RS01835	KUD10_RS00715
OG0000198	MFC_RS01850	KUD10_RS00730
OG0000199	MFC_RS01855	KUD10_RS00735
OG0000200	MFC_RS01865	KUD10_RS00750
OG0000201	MFC_RS01875	KUD10_RS00760
OG0000202	MFC_RS01930	KUD10_RS00815
OG0000203	MFC_RS01935	KUD10_RS00820
OG0000204	MFC_RS01940	KUD10_RS00825
OG0000205	MFC_RS01945	KUD10_RS00830
OG0000206	MFC_RS01965	KUD10_RS00850
OG0000207	MFC_RS01980	KUD10_RS00865
OG0000208	MFC_RS01985	KUD10_RS00870
OG0000209	MFC_RS01990	KUD10_RS00875
OG0000210	MFC_RS02040	KUD10_RS00920
OG0000211	MFC_RS02050	KUD10_RS00930
OG0000212	MFC_RS02060	KUD10_RS00940
OG0000213	MFC_RS02065	KUD10_RS00945
OG0000214	MFC_RS02070	KUD10_RS00950
OG0000215	MFC_RS02075	KUD10_RS00955
OG0000216	MFC_RS02080	KUD10_RS00960
OG0000217	MFC_RS02085	KUD10_RS00965
OG0000218	MFC_RS02095	KUD10_RS00975
OG0000219	MFC_RS02100	KUD10_RS00980
OG0000220	MFC_RS02105	KUD10_RS00985
OG0000221	MFC_RS02110	KUD10_RS00990
OG0000222	MFC_RS03235	KUD10_RS00995
OG0000223	MFC_RS02115	KUD10_RS01000
OG0000224	MFC_RS02125	KUD10_RS01010
OG0000225	MFC_RS02135	KUD10_RS01020
OG0000226	MFC_RS02140	KUD10_RS01025
OG0000227	MFC_RS02145	KUD10_RS01030
OG0000228	MFC_RS03530	KUD10_RS03740
OG0000229	MFC_RS02155	KUD10_RS01040
OG0000230	MFC_RS02160	KUD10_RS01045
OG0000231	MFC_RS02170	KUD10_RS01055
OG0000232	MFC_RS02180	KUD10_RS01065
OG0000233	MFC_RS02190	KUD10_RS01090
OG0000234	MFC_RS02220	KUD10_RS01125
OG0000235	MFC_RS02230	KUD10_RS01135
OG0000236	MFC_RS02235	KUD10_RS01140
OG0000237	MFC_RS02250	KUD10_RS01230
OG0000238	MFC_RS02255	KUD10_RS01235
OG0000239	MFC_RS02285	KUD10_RS03015
OG0000240	MFC_RS02290	KUD10_RS03020
OG0000241	MFC_RS02300	KUD10_RS03030
OG0000242	MFC_RS02305	KUD10_RS03035
OG0000243	MFC_RS02310	KUD10_RS03040
OG0000244	MFC_RS02320	KUD10_RS03050
OG0000245	MFC_RS02330	KUD10_RS03055
OG0000246	MFC_RS02345	KUD10_RS00140
OG0000247	MFC_RS02355	KUD10_RS00150
OG0000248	MFC_RS02380	KUD10_RS00160
OG0000249	MFC_RS02385	KUD10_RS00165
OG0000250	MFC_RS02400	KUD10_RS00180
OG0000251	MFC_RS02430	KUD10_RS00210
OG0000252	MFC_RS02440	KUD10_RS00220
OG0000253	MFC_RS02445	KUD10_RS00225
OG0000254	MFC_RS02455	KUD10_RS00235
OG0000255	MFC_RS02465	KUD10_RS00240
OG0000256	MFC_RS02470	KUD10_RS00245
OG0000257	MFC_RS02495	KUD10_RS00270
OG0000258	MFC_RS02505	KUD10_RS00280
OG0000259	MFC_RS02535	KUD10_RS00310
OG0000260	MFC_RS02545	KUD10_RS00320
OG0000261	MFC_RS02555	KUD10_RS00330
OG0000262	MFC_RS02570	KUD10_RS00345
OG0000263	MFC_RS02585	KUD10_RS00360
OG0000264	MFC_RS02600	KUD10_RS00375
OG0000265	MFC_RS02610	KUD10_RS00385
OG0000266	MFC_RS02625	KUD10_RS00400
OG0000267	MFC_RS02640	KUD10_RS00415
OG0000268	MFC_RS02645	KUD10_RS00420
OG0000269	MFC_RS02660	KUD10_RS00435
OG0000270	MFC_RS02720	KUD10_RS03560
OG0000271	MFC_RS02725	KUD10_RS03555
OG0000272	MFC_RS02730	KUD10_RS03550
OG0000273	MFC_RS02735	KUD10_RS03545
OG0000274	MFC_RS02755	KUD10_RS03525
OG0000275	MFC_RS03455	KUD10_RS03520
OG0000276	MFC_RS02765	KUD10_RS03515
OG0000277	MFC_RS02775	KUD10_RS03505
OG0000278	MFC_RS02780	KUD10_RS03500
OG0000279	MFC_RS02790	KUD10_RS03490
OG0000280	MFC_RS02795	KUD10_RS03485
OG0000281	MFC_RS03255	KUD10_RS03480
OG0000282	MFC_RS02820	KUD10_RS03455
OG0000283	MFC_RS02825	KUD10_RS03450
OG0000284	MFC_RS02830	KUD10_RS03445
OG0000285	MFC_RS02835	KUD10_RS03440
OG0000286	MFC_RS02865	KUD10_RS02505
OG0000287	MFC_RS02890	KUD10_RS02600
OG0000288	MFC_RS02900	KUD10_RS02610
OG0000289	MFC_RS02905	KUD10_RS02615
OG0000290	MFC_RS03030	KUD10_RS02730
OG0000291	MFC_RS03040	KUD10_RS02720
OG0000292	MFC_RS03045	KUD10_RS02715
OG0000293	MFC_RS03050	KUD10_RS02710
OG0000294	MFC_RS03060	KUD10_RS02700
OG0000295	MFC_RS03065	KUD10_RS02695
OG0000296	MFC_RS03110	KUD10_RS02650
OG0000297	MFC_RS03115	KUD10_RS02645
OG0000298	MFC_RS02395	KUD10_RS00175
OG0000299	MFC_RS02415	KUD10_RS00195
OG0000300	MFC_RS02595	KUD10_RS00370
OG0000301	MFC_RS02630	KUD10_RS00405
OG0000302	MFC_RS02635	KUD10_RS00410
OG0000303	MFC_RS00835	KUD10_RS00565
OG0000304	MFC_RS00865	KUD10_RS01070
OG0000305	MFC_RS01010	KUD10_RS02955
OG0000306	MFC_RS01090	KUD10_RS02880
OG0000307	MFC_RS01130	KUD10_RS02845
OG0000308	MFC_RS03020	KUD10_RS02750
OG0000309	MFC_RS03075	KUD10_RS02685
OG0000310	MFC_RS02895	KUD10_RS02605
OG0000311	MFC_RS01220	KUD10_RS02565
OG0000312	MFC_RS01240	KUD10_RS02550
OG0000313	MFC_RS01290	KUD10_RS01660
OG0000314	MFC_RS01360	KUD10_RS02005
OG0000315	MFC_RS01390	KUD10_RS02035
OG0000316	MFC_RS01400	KUD10_RS02045
OG0000317	MFC_RS00110	KUD10_RS02140
OG0000318	MFC_RS00020	KUD10_RS02050
OG0000319	MFC_RS00420	KUD10_RS02295
OG0000320	MFC_RS00485	KUD10_RS02425
OG0000321	MFC_RS00550	KUD10_RS01405
OG0000322	MFC_RS00595	KUD10_RS01450
OG0000323	MFC_RS00725	KUD10_RS01580
OG0000324	MFC_RS01775	KUD10_RS02335
OG0000325	MFC_RS01815	KUD10_RS00695
OG0000326	MFC_RS01905	KUD10_RS00790
OG0000327	MFC_RS01910	KUD10_RS00795
OG0000328	MFC_RS01995	KUD10_RS00880
OG0000329	MFC_RS02020	KUD10_RS00900
OG0000330	MFC_RS02200	KUD10_RS01100
OG0000331	MFC_RS02315	KUD10_RS03045
OG0000332	MFC_RS01505	KUD10_RS03180
OG0000333	MFC_RS01515	KUD10_RS03190
OG0000334	MFC_RS01585	KUD10_RS03290
OG0000335	MFC_RS01595	KUD10_RS03300
OG0000336	MFC_RS02805	KUD10_RS03470
OG0000337	MFC_RS00280	KUD10_RS03645
OG0000338	MFC_RS00240	KUD10_RS03685
OG0000339	MFC_RS00505	KUD10_RS02400
OG0000340	MFC_RS00530	KUD10_RS01385
OG0000341	MFC_RS01755	KUD10_RS02355
OG0000342	MFC_RS01845	KUD10_RS00725
OG0000343	MFC_RS01525	KUD10_RS03200
OG0000344	MFC_RS00850	KUD10_RS00580
OG0000345	MFC_RS02130	KUD10_RS01015
OG0000346	MFC_RS02800	KUD10_RS03475
OG0000347	MFC_RS00620	KUD10_RS01475
OG0000348	MFC_RS01915	KUD10_RS00800
OG0000349	MFC_RS02745	KUD10_RS03535
OG0000350	MFC_RS03345	KUD10_RS02835
OG0000351	MFC_RS00785	KUD10_RS00490
OG0000352	MFC_RS01340	KUD10_RS01985
OG0000353	MFC_RS00590	KUD10_RS01445
OG0000354	MFC_RS00900	KUD10_RS00645
OG0000355	MFC_RS01315	KUD10_RS01960
OG0000356	MFC_RS01395	KUD10_RS02040
OG0000357	MFC_RS01485	KUD10_RS03160
OG0000358	MFC_RS01490	KUD10_RS03165
OG0000359	MFC_RS01885	KUD10_RS00770
OG0000360	MFC_RS02500	KUD10_RS00275
OG0000361	MFC_RS02530	KUD10_RS00305
OG0000362	MFC_RS02915	KUD10_RS02625
OG0000363	MFC_RS00660	KUD10_RS01515
OG0000365	MFC_RS00050	KUD10_RS02085
OG0000366	MFC_RS00080	KUD10_RS02110
OG0000367	MFC_RS00090	KUD10_RS02120
OG0000368	MFC_RS00175	KUD10_RS00060
OG0000369	MFC_RS00210	KUD10_RS00025
OG0000370	MFC_RS00215	KUD10_RS00020
OG0000371	MFC_RS00220	KUD10_RS00015
OG0000372	MFC_RS00225	KUD10_RS00010
OG0000373	MFC_RS00250	KUD10_RS03675
OG0000374	MFC_RS00260	KUD10_RS03665
OG0000375	MFC_RS00415	KUD10_RS02290
OG0000376	MFC_RS00470	KUD10_RS02440
OG0000377	MFC_RS00480	KUD10_RS02430
OG0000378	MFC_RS00515	KUD10_RS01365
OG0000379	MFC_RS00585	KUD10_RS01440
OG0000380	MFC_RS00610	KUD10_RS01465
OG0000381	MFC_RS00650	KUD10_RS01505
OG0000382	MFC_RS00680	KUD10_RS01535
OG0000383	MFC_RS00720	KUD10_RS01575
OG0000384	MFC_RS00790	KUD10_RS00520
OG0000385	MFC_RS00795	KUD10_RS00525
OG0000386	MFC_RS00815	KUD10_RS00545
OG0000387	MFC_RS00840	KUD10_RS00570
OG0000388	MFC_RS00845	KUD10_RS00575
OG0000389	MFC_RS00880	KUD10_RS00625
OG0000390	MFC_RS00990	KUD10_RS02975
OG0000391	MFC_RS01000	KUD10_RS02965
OG0000392	MFC_RS01030	KUD10_RS02940
OG0000393	MFC_RS01080	KUD10_RS02885
OG0000394	MFC_RS01145	KUD10_RS02815
OG0000395	MFC_RS01150	KUD10_RS02810
OG0000396	MFC_RS01280	KUD10_RS02510
OG0000397	MFC_RS01325	KUD10_RS01970
OG0000398	MFC_RS01330	KUD10_RS01975
OG0000399	MFC_RS01375	KUD10_RS02020
OG0000400	MFC_RS01450	KUD10_RS03125
OG0000401	MFC_RS01510	KUD10_RS03185
OG0000402	MFC_RS01520	KUD10_RS03195
OG0000403	MFC_RS01530	KUD10_RS03205
OG0000404	MFC_RS03375, MFC_RS01555	KUD10_RS03230
OG0000405	MFC_RS01570	KUD10_RS03245
OG0000406	MFC_RS01600	KUD10_RS03305
OG0000407	MFC_RS01605	KUD10_RS03310
OG0000408	MFC_RS01610	KUD10_RS03315
OG0000409	MFC_RS01615	KUD10_RS03320
OG0000410	MFC_RS01650	KUD10_RS03380
OG0000411	MFC_RS01660	KUD10_RS03370
OG0000412	MFC_RS01665	KUD10_RS03365
OG0000413	MFC_RS01705	KUD10_RS01590
OG0000414	MFC_RS01715	KUD10_RS01600
OG0000415	MFC_RS01720	KUD10_RS01605
OG0000416	MFC_RS01730	KUD10_RS01615
OG0000417	MFC_RS01760	KUD10_RS02350
OG0000418	MFC_RS01765	KUD10_RS02345
OG0000419	MFC_RS01825	KUD10_RS00705
OG0000420	MFC_RS01860	KUD10_RS00740
OG0000421	MFC_RS01890	KUD10_RS00775
OG0000422	MFC_RS01900	KUD10_RS00785
OG0000423	MFC_RS01955	KUD10_RS00840
OG0000424	MFC_RS01960	KUD10_RS00845
OG0000425	MFC_RS01970	KUD10_RS00855
OG0000426	MFC_RS01975	KUD10_RS00860
OG0000427	MFC_RS02000	KUD10_RS00885
OG0000428	MFC_RS02030	KUD10_RS00910
OG0000429	MFC_RS02120	KUD10_RS01005
OG0000430	MFC_RS02165	KUD10_RS01050
OG0000431	MFC_RS02175	KUD10_RS01060
OG0000432	MFC_RS02195	KUD10_RS01095
OG0000433	MFC_RS02205	KUD10_RS01110
OG0000434	MFC_RS02210	KUD10_RS01115
OG0000435	MFC_RS02225	KUD10_RS01130
OG0000436	MFC_RS03535	KUD10_RS01240
OG0000437	MFC_RS02270	KUD10_RS01250
OG0000438	MFC_RS02275	KUD10_RS01255
OG0000439	MFC_RS02280	KUD10_RS01260
OG0000440	MFC_RS02295	KUD10_RS03025
OG0000441	MFC_RS02335	KUD10_RS03060
OG0000442	MFC_RS02350	KUD10_RS00145
OG0000443	MFC_RS02410	KUD10_RS00190
OG0000444	MFC_RS02425	KUD10_RS00205
OG0000445	MFC_RS02450	KUD10_RS00230
OG0000446	MFC_RS02480	KUD10_RS00255
OG0000447	MFC_RS02485	KUD10_RS00260
OG0000448	MFC_RS02515	KUD10_RS00290
OG0000449	MFC_RS02540	KUD10_RS00315
OG0000450	MFC_RS02550	KUD10_RS00325
OG0000451	MFC_RS02590	KUD10_RS00365
OG0000452	MFC_RS02615	KUD10_RS00390
OG0000453	MFC_RS02650	KUD10_RS00425
OG0000454	MFC_RS03440, MFC_RS03435	KUD10_RS01220
OG0000455	MFC_RS02700	KUD10_RS03580
OG0000456	MFC_RS02815	KUD10_RS03460
OG0000457	MFC_RS02840	KUD10_RS03435
OG0000458	MFC_RS02885	KUD10_RS02595
OG0000459	MFC_RS02910	KUD10_RS02620
OG0000460	MFC_RS02920	KUD10_RS02630
OG0000461	MFC_RS03080	KUD10_RS02680
OG0000462	MFC_RS03085	KUD10_RS02670
OG0000463	MFC_RS03090	KUD10_RS02665
OG0000464	MFC_RS03100	KUD10_RS02660
OG0000465	MFC_RS03105	KUD10_RS02655
OG0000466	MFC_RS02620	KUD10_RS00395
OG0000467	MFC_RS03500	KUD10_RS02760
OG0000468	MFC_RS01370	KUD10_RS02015
OG0000469	MFC_RS00045	KUD10_RS02075
OG0000470	MFC_RS01950	KUD10_RS00835
OG0000471	MFC_RS02035	KUD10_RS00915
OG0000472	MFC_RS01680	KUD10_RS03390
OG0000473	MFC_RS02715	KUD10_RS03565
OG0000474	MFC_RS02710	KUD10_RS03570
OG0000475	MFC_RS02705	KUD10_RS03575
OG0000476	MFC_RS00345	KUD10_RS01625
OG0000477	MFC_RS03055	KUD10_RS02705
OG0000478	MFC_RS02770	KUD10_RS03510
OG0000479	MFC_RS00545	KUD10_RS01400
OG0000480	MFC_RS03300	KUD10_RS02080
OG0000481	MFC_RS01925	KUD10_RS00810
OG0000482	MFC_RS01790	KUD10_RS01280
OG0000483	MFC_RS00095	KUD10_RS02125
OG0000484	MFC_RS02420	KUD10_RS00200
OG0000487	MFC_RS00025	KUD10_RS02055
OG0000488	MFC_RS00065	KUD10_RS02095
OG0000489	MFC_RS00185	KUD10_RS00050
OG0000490	MFC_RS00245	KUD10_RS03680
OG0000491	MFC_RS00565	KUD10_RS01420
OG0000492	MFC_RS00640	KUD10_RS01495
OG0000493	MFC_RS00855	KUD10_RS00585
OG0000494	MFC_RS00905	KUD10_RS00650
OG0000495	MFC_RS01055	KUD10_RS02910
OG0000496	MFC_RS01065	KUD10_RS02900
OG0000497	MFC_RS01070	KUD10_RS02895
OG0000498	MFC_RS01140	KUD10_RS02820
OG0000499	MFC_RS01185	KUD10_RS02785
OG0000500	MFC_RS01335	KUD10_RS01980
OG0000501	MFC_RS01460	KUD10_RS03135
OG0000502	MFC_RS01800	KUD10_RS01270
OG0000503	MFC_RS01870	KUD10_RS00755
OG0000504	MFC_RS02005	KUD10_RS00890
OG0000505	MFC_RS02045	KUD10_RS00925
OG0000506	MFC_RS02055	KUD10_RS00935
OG0000507	MFC_RS02090	KUD10_RS00970
OG0000508	MFC_RS02475	KUD10_RS00250
OG0000509	MFC_RS02510	KUD10_RS00285
OG0000510	MFC_RS02520	KUD10_RS00295
OG0000511	MFC_RS02655	KUD10_RS00430
OG0000512	MFC_RS02925	KUD10_RS02635
OG0000513	MFC_RS02785	KUD10_RS03495
OG0000516	MFC_RS00030	KUD10_RS02060
OG0000517	MFC_RS00170	KUD10_RS00065
OG0000518	MFC_RS01500	KUD10_RS03175
OG0000519	MFC_RS01895	KUD10_RS00780
OG0000520	MFC_RS02025	KUD10_RS00905
OG0000521	MFC_RS02490	KUD10_RS00265
OG0000522	MFC_RS02525	KUD10_RS00300
OG0000523	MFC_RS02845	KUD10_RS03430
OG0000524	MFC_RS03015	KUD10_RS02755
OG0000525	MFC_RS01685	KUD10_RS03395
OG0000528	MFC_RS00035	KUD10_RS02065
OG0000529	MFC_RS00430	KUD10_RS02305
OG0000530	MFC_RS00495	KUD10_RS02410
OG0000531	MFC_RS00615	KUD10_RS01470
OG0000532	MFC_RS00940	KUD10_RS01685
OG0000533	MFC_RS02185	KUD10_RS00605
OG0000534	MFC_RS02605	KUD10_RS00380
OG0000535	MFC_RS00190	KUD10_RS00045
OG0000536	MFC_RS00315	KUD10_RS03615
OG0000537	MFC_RS01840	KUD10_RS00720
OG0000538	MFC_RS02215	KUD10_RS01120
OG0000539	MFC_RS02435	KUD10_RS00215
OG0000540	MFC_RS03035	KUD10_RS02725
OG0000541	MFC_RS01170	KUD10_RS02800
OG0000542	MFC_RS02575	KUD10_RS00350
OG0000547	MFC_RS00980	KUD10_RS02985
OG0000548	MFC_RS01285	KUD10_RS01655
OG0000549	MFC_RS01675	KUD10_RS03385
OG0000550	MFC_RS02750	KUD10_RS03530
OG0000555	MFC_RS03340	KUD10_RS02990
OG0000589	MFC_RS03260	KUD10_RS02220
OG0000596	MFC_RS02370	KUD10_RS01795
OG0000598	MFC_RS02365	KUD10_RS01800
OG0000599	MFC_RS02360	KUD10_RS01805
OG0000602	MFC_RS00055	KUD10_RS02090
