Orthogroup	MFC_ATCC27716_genes	MHP_NCTC10127_genes
OG0000168	MFC_RS01385	EXC50_RS00925
OG0000169	MFC_RS01430	EXC50_RS01885
OG0000170	MFC_RS01455	EXC50_RS01900
OG0000171	MFC_RS01465	EXC50_RS01910
OG0000172	MFC_RS01470	EXC50_RS01915
OG0000173	MFC_RS01475	EXC50_RS01920
OG0000174	MFC_RS01480	EXC50_RS01925
OG0000175	MFC_RS01495	EXC50_RS01940
OG0000176	MFC_RS01540	EXC50_RS01990
OG0000177	MFC_RS01545	EXC50_RS01995
OG0000178	MFC_RS01550	EXC50_RS02000
OG0000179	MFC_RS01560	EXC50_RS02010
OG0000180	MFC_RS01565	EXC50_RS02015
OG0000181	MFC_RS01580	EXC50_RS02060
OG0000182	MFC_RS01590	EXC50_RS02070
OG0000183	MFC_RS01625	EXC50_RS02105
OG0000184	MFC_RS01655	EXC50_RS02150
OG0000185	MFC_RS01670	EXC50_RS02135
OG0000186	MFC_RS01710	EXC50_RS02565
OG0000187	MFC_RS01725	EXC50_RS02550
OG0000188	MFC_RS01735	EXC50_RS02540
OG0000189	MFC_RS03385	EXC50_RS01150
OG0000190	MFC_RS01750	EXC50_RS01145
OG0000191	MFC_RS01770	EXC50_RS01125
OG0000192	MFC_RS01780	EXC50_RS02870
OG0000193	MFC_RS01795	EXC50_RS02880
OG0000194	MFC_RS01805	EXC50_RS03395
OG0000195	MFC_RS01810	EXC50_RS03390
OG0000196	MFC_RS01830	EXC50_RS03370
OG0000197	MFC_RS01835	EXC50_RS03365
OG0000198	MFC_RS01850	EXC50_RS03350
OG0000199	MFC_RS01855	EXC50_RS03345
OG0000200	MFC_RS01865	EXC50_RS03330
OG0000201	MFC_RS01875	EXC50_RS03320
OG0000202	MFC_RS01930	EXC50_RS03265
OG0000203	MFC_RS01935	EXC50_RS03260
OG0000204	MFC_RS01940	EXC50_RS03255
OG0000205	MFC_RS01945	EXC50_RS03250
OG0000206	MFC_RS01965	EXC50_RS03230
OG0000207	MFC_RS01980	EXC50_RS03215
OG0000208	MFC_RS01985	EXC50_RS03210
OG0000209	MFC_RS01990	EXC50_RS03205
OG0000210	MFC_RS02040	EXC50_RS03160
OG0000211	MFC_RS02050	EXC50_RS03150
OG0000212	MFC_RS02060	EXC50_RS03140
OG0000213	MFC_RS02065	EXC50_RS03135
OG0000214	MFC_RS02070	EXC50_RS03130
OG0000215	MFC_RS02075	EXC50_RS03125
OG0000216	MFC_RS02080	EXC50_RS03120
OG0000217	MFC_RS02085	EXC50_RS03115
OG0000218	MFC_RS02095	EXC50_RS03105
OG0000219	MFC_RS02100	EXC50_RS03100
OG0000220	MFC_RS02105	EXC50_RS03095
OG0000221	MFC_RS02110	EXC50_RS03090
OG0000222	MFC_RS03235	EXC50_RS03085
OG0000223	MFC_RS02115	EXC50_RS03080
OG0000224	MFC_RS02125	EXC50_RS03070
OG0000225	MFC_RS02135	EXC50_RS03060
OG0000226	MFC_RS02140	EXC50_RS03055
OG0000227	MFC_RS02145	EXC50_RS03050
OG0000228	MFC_RS03530	EXC50_RS03045
OG0000229	MFC_RS02155	EXC50_RS03040
OG0000230	MFC_RS02160	EXC50_RS03035
OG0000231	MFC_RS02170	EXC50_RS03025
OG0000232	MFC_RS02180	EXC50_RS03015
OG0000233	MFC_RS02190	EXC50_RS02995
OG0000234	MFC_RS02220	EXC50_RS02960
OG0000235	MFC_RS02230	EXC50_RS02950
OG0000236	MFC_RS02235	EXC50_RS02945
OG0000237	MFC_RS02250	EXC50_RS02940
OG0000238	MFC_RS02255	EXC50_RS02930
OG0000239	MFC_RS02285	EXC50_RS01785
OG0000240	MFC_RS02290	EXC50_RS01790
OG0000241	MFC_RS02300	EXC50_RS01800
OG0000242	MFC_RS02305	EXC50_RS01805
OG0000243	MFC_RS02310	EXC50_RS01810
OG0000244	MFC_RS02320	EXC50_RS01820
OG0000245	MFC_RS02330	EXC50_RS01830
OG0000246	MFC_RS02345	EXC50_RS00140
OG0000247	MFC_RS02355	EXC50_RS00150
OG0000248	MFC_RS02380	EXC50_RS00160
OG0000249	MFC_RS02385	EXC50_RS00165
OG0000250	MFC_RS02400	EXC50_RS00180
OG0000251	MFC_RS02430	EXC50_RS00215
OG0000252	MFC_RS02440	EXC50_RS00225
OG0000253	MFC_RS02445	EXC50_RS00230
OG0000254	MFC_RS02455	EXC50_RS00240
OG0000255	MFC_RS02465	EXC50_RS00250
OG0000256	MFC_RS02470	EXC50_RS00255
OG0000257	MFC_RS02495	EXC50_RS00280
OG0000258	MFC_RS02505	EXC50_RS00290
OG0000259	MFC_RS02535	EXC50_RS00320
OG0000260	MFC_RS02545	EXC50_RS00330
OG0000261	MFC_RS02555	EXC50_RS00340
OG0000262	MFC_RS02570	EXC50_RS00360
OG0000263	MFC_RS02585	EXC50_RS00375
OG0000264	MFC_RS02600	EXC50_RS00390
OG0000265	MFC_RS02610	EXC50_RS00400
OG0000266	MFC_RS02625	EXC50_RS00420
OG0000267	MFC_RS02640	EXC50_RS00435
OG0000268	MFC_RS02645	EXC50_RS03665
OG0000269	MFC_RS02660	EXC50_RS03650
OG0000270	MFC_RS02720	EXC50_RS02335
OG0000271	MFC_RS02725	EXC50_RS02330
OG0000272	MFC_RS02730	EXC50_RS02325
OG0000273	MFC_RS02735	EXC50_RS02320
OG0000274	MFC_RS02755	EXC50_RS02300
OG0000275	MFC_RS03455	EXC50_RS02295
OG0000276	MFC_RS02765	EXC50_RS02290
OG0000277	MFC_RS02775	EXC50_RS02280
OG0000278	MFC_RS02780	EXC50_RS02275
OG0000279	MFC_RS02790	EXC50_RS02265
OG0000280	MFC_RS02795	EXC50_RS02260
OG0000281	MFC_RS03255	EXC50_RS02255
OG0000282	MFC_RS02820	EXC50_RS02230
OG0000283	MFC_RS02825	EXC50_RS02225
OG0000284	MFC_RS02830	EXC50_RS02220
OG0000285	MFC_RS02835	EXC50_RS02215
OG0000286	MFC_RS02865	EXC50_RS01270
OG0000287	MFC_RS02890	EXC50_RS01365
OG0000288	MFC_RS02900	EXC50_RS01375
OG0000289	MFC_RS02905	EXC50_RS01380
OG0000290	MFC_RS03030	EXC50_RS01490
OG0000291	MFC_RS03040	EXC50_RS01480
OG0000292	MFC_RS03045	EXC50_RS01475
OG0000293	MFC_RS03050	EXC50_RS01470
OG0000294	MFC_RS03060	EXC50_RS01460
OG0000295	MFC_RS03065	EXC50_RS01455
OG0000296	MFC_RS03110	EXC50_RS01415
OG0000297	MFC_RS03115	EXC50_RS01410
OG0000298	MFC_RS02395	EXC50_RS00175
OG0000299	MFC_RS02415	EXC50_RS00200
OG0000300	MFC_RS02595	EXC50_RS00385
OG0000301	MFC_RS02630	EXC50_RS00425
OG0000302	MFC_RS02635	EXC50_RS00430
OG0000303	MFC_RS00835	EXC50_RS03525
OG0000304	MFC_RS00865	EXC50_RS03010
OG0000305	MFC_RS01010	EXC50_RS01720
OG0000306	MFC_RS01090	EXC50_RS01645
OG0000307	MFC_RS01130	EXC50_RS01610
OG0000308	MFC_RS03020	EXC50_RS01510
OG0000309	MFC_RS03075	EXC50_RS01445
OG0000310	MFC_RS02895	EXC50_RS01370
OG0000311	MFC_RS01220	EXC50_RS01330
OG0000312	MFC_RS01240	EXC50_RS01315
OG0000313	MFC_RS01290	EXC50_RS00540
OG0000314	MFC_RS01360	EXC50_RS00900
OG0000315	MFC_RS01390	EXC50_RS00930
OG0000316	MFC_RS01400	EXC50_RS00940
OG0000317	MFC_RS00110	EXC50_RS01030
OG0000318	MFC_RS00020	EXC50_RS00945
OG0000319	MFC_RS00420	EXC50_RS01080
OG0000320	MFC_RS00485	EXC50_RS01215
OG0000321	MFC_RS00550	EXC50_RS02755
OG0000322	MFC_RS00595	EXC50_RS02710
OG0000323	MFC_RS00725	EXC50_RS02580
OG0000324	MFC_RS01775	EXC50_RS01120
OG0000325	MFC_RS01815	EXC50_RS03385
OG0000326	MFC_RS01905	EXC50_RS03290
OG0000327	MFC_RS01910	EXC50_RS03285
OG0000328	MFC_RS01995	EXC50_RS03200
OG0000329	MFC_RS02020	EXC50_RS03180
OG0000330	MFC_RS02200	EXC50_RS02985
OG0000331	MFC_RS02315	EXC50_RS01815
OG0000332	MFC_RS01505	EXC50_RS01950
OG0000333	MFC_RS01515	EXC50_RS01960
OG0000334	MFC_RS01585	EXC50_RS02065
OG0000335	MFC_RS01595	EXC50_RS02075
OG0000336	MFC_RS02805	EXC50_RS02245
OG0000337	MFC_RS00280	EXC50_RS02415
OG0000338	MFC_RS00240	EXC50_RS02455
OG0000339	MFC_RS00505	EXC50_RS01185
OG0000340	MFC_RS00530	EXC50_RS02775
OG0000341	MFC_RS01755	EXC50_RS01140
OG0000342	MFC_RS01845	EXC50_RS03355
OG0000343	MFC_RS01525	EXC50_RS01970
OG0000344	MFC_RS00850	EXC50_RS03510
OG0000345	MFC_RS02130	EXC50_RS03065
OG0000346	MFC_RS02800	EXC50_RS02250
OG0000347	MFC_RS00620	EXC50_RS02685
OG0000348	MFC_RS01915	EXC50_RS03280
OG0000349	MFC_RS02745	EXC50_RS02310
OG0000350	MFC_RS03345	EXC50_RS01600
OG0000351	MFC_RS00785	EXC50_RS03590
OG0000352	MFC_RS01340	EXC50_RS00880
OG0000353	MFC_RS00590	EXC50_RS02715
OG0000354	MFC_RS00900	EXC50_RS03450
OG0000355	MFC_RS01315	EXC50_RS00850
OG0000356	MFC_RS01395	EXC50_RS00935
OG0000357	MFC_RS01485	EXC50_RS01930
OG0000358	MFC_RS01490	EXC50_RS01935
OG0000359	MFC_RS01885	EXC50_RS03310
OG0000360	MFC_RS02500	EXC50_RS00285
OG0000361	MFC_RS02530	EXC50_RS00315
OG0000362	MFC_RS02915	EXC50_RS01390
OG0000363	MFC_RS00660	EXC50_RS02645
OG0000365	MFC_RS00050	EXC50_RS00975
OG0000366	MFC_RS00080	EXC50_RS01000
OG0000367	MFC_RS00090	EXC50_RS01010
OG0000368	MFC_RS00175	EXC50_RS00060
OG0000369	MFC_RS00210	EXC50_RS00025
OG0000370	MFC_RS00215	EXC50_RS00020
OG0000371	MFC_RS00220	EXC50_RS00015
OG0000372	MFC_RS00225	EXC50_RS00010
OG0000373	MFC_RS00250	EXC50_RS02445
OG0000374	MFC_RS00260	EXC50_RS02435
OG0000375	MFC_RS00415	EXC50_RS01075
OG0000376	MFC_RS00470	EXC50_RS01230
OG0000377	MFC_RS00480	EXC50_RS01220
OG0000378	MFC_RS00515	EXC50_RS02795
OG0000379	MFC_RS00585	EXC50_RS02720
OG0000380	MFC_RS00610	EXC50_RS02695
OG0000381	MFC_RS00650	EXC50_RS02655
OG0000382	MFC_RS00680	EXC50_RS02625
OG0000383	MFC_RS00720	EXC50_RS02585
OG0000384	MFC_RS00790	EXC50_RS03570
OG0000385	MFC_RS00795	EXC50_RS03565
OG0000386	MFC_RS00815	EXC50_RS03545
OG0000387	MFC_RS00840	EXC50_RS03520
OG0000388	MFC_RS00845	EXC50_RS03515
OG0000389	MFC_RS00880	EXC50_RS03470
OG0000390	MFC_RS00990	EXC50_RS01740
OG0000391	MFC_RS01000	EXC50_RS01730
OG0000392	MFC_RS01030	EXC50_RS01705
OG0000393	MFC_RS01080	EXC50_RS01650
OG0000394	MFC_RS01145	EXC50_RS01575
OG0000395	MFC_RS01150	EXC50_RS01570
OG0000396	MFC_RS01280	EXC50_RS01275
OG0000397	MFC_RS01325	EXC50_RS00865
OG0000398	MFC_RS01330	EXC50_RS00870
OG0000399	MFC_RS01375	EXC50_RS00915
OG0000400	MFC_RS01450	EXC50_RS01895
OG0000401	MFC_RS01510	EXC50_RS01955
OG0000402	MFC_RS01520	EXC50_RS01965
OG0000403	MFC_RS01530	EXC50_RS01975
OG0000404	MFC_RS03375, MFC_RS01555	EXC50_RS02005
OG0000405	MFC_RS01570	EXC50_RS02020
OG0000406	MFC_RS01600	EXC50_RS02080
OG0000407	MFC_RS01605	EXC50_RS02085
OG0000408	MFC_RS01610	EXC50_RS02090
OG0000409	MFC_RS01615	EXC50_RS02095
OG0000410	MFC_RS01650	EXC50_RS02155
OG0000411	MFC_RS01660	EXC50_RS02145
OG0000412	MFC_RS01665	EXC50_RS02140
OG0000413	MFC_RS01705	EXC50_RS02570
OG0000414	MFC_RS01715	EXC50_RS02560
OG0000415	MFC_RS01720	EXC50_RS02555
OG0000416	MFC_RS01730	EXC50_RS02545
OG0000417	MFC_RS01760	EXC50_RS01135
OG0000418	MFC_RS01765	EXC50_RS01130
OG0000419	MFC_RS01825	EXC50_RS03375
OG0000420	MFC_RS01860	EXC50_RS03340
OG0000421	MFC_RS01890	EXC50_RS03305
OG0000422	MFC_RS01900	EXC50_RS03295
OG0000423	MFC_RS01955	EXC50_RS03240
OG0000424	MFC_RS01960	EXC50_RS03235
OG0000425	MFC_RS01970	EXC50_RS03225
OG0000426	MFC_RS01975	EXC50_RS03220
OG0000427	MFC_RS02000	EXC50_RS03195
OG0000428	MFC_RS02030	EXC50_RS03170
OG0000429	MFC_RS02120	EXC50_RS03075
OG0000430	MFC_RS02165	EXC50_RS03030
OG0000431	MFC_RS02175	EXC50_RS03020
OG0000432	MFC_RS02195	EXC50_RS02990
OG0000433	MFC_RS02205	EXC50_RS02975
OG0000434	MFC_RS02210	EXC50_RS02970
OG0000435	MFC_RS02225	EXC50_RS02955
OG0000436	MFC_RS03535	EXC50_RS02925
OG0000437	MFC_RS02270	EXC50_RS02915
OG0000438	MFC_RS02275	EXC50_RS02910
OG0000439	MFC_RS02280	EXC50_RS02905
OG0000440	MFC_RS02295	EXC50_RS01795
OG0000441	MFC_RS02335	EXC50_RS01835
OG0000442	MFC_RS02350	EXC50_RS00145
OG0000443	MFC_RS02410	EXC50_RS00195
OG0000444	MFC_RS02425	EXC50_RS00210
OG0000445	MFC_RS02450	EXC50_RS00235
OG0000446	MFC_RS02480	EXC50_RS00265
OG0000447	MFC_RS02485	EXC50_RS00270
OG0000448	MFC_RS02515	EXC50_RS00300
OG0000449	MFC_RS02540	EXC50_RS00325
OG0000450	MFC_RS02550	EXC50_RS00335
OG0000451	MFC_RS02590	EXC50_RS00380
OG0000452	MFC_RS02615	EXC50_RS00410
OG0000453	MFC_RS02650	EXC50_RS03660
OG0000454	MFC_RS03440, MFC_RS03435	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675
OG0000455	MFC_RS02700	EXC50_RS02355
OG0000456	MFC_RS02815	EXC50_RS02235
OG0000457	MFC_RS02840	EXC50_RS02210
OG0000458	MFC_RS02885	EXC50_RS01360
OG0000459	MFC_RS02910	EXC50_RS01385
OG0000460	MFC_RS02920	EXC50_RS01395
OG0000461	MFC_RS03080	EXC50_RS01440
OG0000462	MFC_RS03085	EXC50_RS01435
OG0000463	MFC_RS03090	EXC50_RS01430
OG0000464	MFC_RS03100	EXC50_RS01425
OG0000465	MFC_RS03105	EXC50_RS01420
OG0000466	MFC_RS02620	EXC50_RS00415
OG0000467	MFC_RS03500	EXC50_RS01520
OG0000468	MFC_RS01370	EXC50_RS00910
OG0000469	MFC_RS00045	EXC50_RS00970
OG0000470	MFC_RS01950	EXC50_RS03950
OG0000471	MFC_RS02035	EXC50_RS03165
OG0000472	MFC_RS01680	EXC50_RS02165
OG0000473	MFC_RS02715	EXC50_RS02340
OG0000474	MFC_RS02710	EXC50_RS02345
OG0000475	MFC_RS02705	EXC50_RS02350
OG0000476	MFC_RS00345	EXC50_RS02535
OG0000477	MFC_RS03055	EXC50_RS01465
OG0000478	MFC_RS02770	EXC50_RS02285
OG0000479	MFC_RS00545	EXC50_RS02760
OG0000480	MFC_RS03300	EXC50_RS03895
OG0000481	MFC_RS01925	EXC50_RS03270
OG0000482	MFC_RS01790	EXC50_RS02875
OG0000483	MFC_RS00095	EXC50_RS01015
OG0000484	MFC_RS02420	EXC50_RS00205
OG0000487	MFC_RS00025	EXC50_RS00950
OG0000488	MFC_RS00065	EXC50_RS00985
OG0000489	MFC_RS00185	EXC50_RS00050
OG0000490	MFC_RS00245	EXC50_RS02450
OG0000491	MFC_RS00565	EXC50_RS02740
OG0000492	MFC_RS00640	EXC50_RS02665
OG0000493	MFC_RS00855	EXC50_RS03505
OG0000494	MFC_RS00905	EXC50_RS03445
OG0000495	MFC_RS01055	EXC50_RS01675
OG0000496	MFC_RS01065	EXC50_RS01665
OG0000497	MFC_RS01070	EXC50_RS01660
OG0000498	MFC_RS01140	EXC50_RS01580
OG0000499	MFC_RS01185	EXC50_RS01545
OG0000500	MFC_RS01335	EXC50_RS00875
OG0000501	MFC_RS01460	EXC50_RS01905
OG0000502	MFC_RS01800	EXC50_RS02885
OG0000503	MFC_RS01870	EXC50_RS03325
OG0000504	MFC_RS02005	EXC50_RS03190
OG0000505	MFC_RS02045	EXC50_RS03155
OG0000506	MFC_RS02055	EXC50_RS03145
OG0000507	MFC_RS02090	EXC50_RS03110
OG0000508	MFC_RS02475	EXC50_RS00260
OG0000509	MFC_RS02510	EXC50_RS00295
OG0000510	MFC_RS02520	EXC50_RS00305
OG0000511	MFC_RS02655	EXC50_RS03655
OG0000512	MFC_RS02925	EXC50_RS01400
OG0000513	MFC_RS02785	EXC50_RS02270
OG0000516	MFC_RS00030	EXC50_RS00955
OG0000517	MFC_RS00170	EXC50_RS00065
OG0000518	MFC_RS01500	EXC50_RS01945
OG0000519	MFC_RS01895	EXC50_RS03300
OG0000520	MFC_RS02025	EXC50_RS03175
OG0000521	MFC_RS02490	EXC50_RS00275
OG0000522	MFC_RS02525	EXC50_RS00310
OG0000523	MFC_RS02845	EXC50_RS02205
OG0000524	MFC_RS03015	EXC50_RS01515
OG0000525	MFC_RS01685	EXC50_RS02170
OG0000528	MFC_RS00035	EXC50_RS00960
OG0000529	MFC_RS00430	EXC50_RS01090
OG0000530	MFC_RS00495	EXC50_RS01200
OG0000531	MFC_RS00615	EXC50_RS02690
OG0000532	MFC_RS00940	EXC50_RS00575
OG0000533	MFC_RS02185	EXC50_RS03490
OG0000534	MFC_RS02605	EXC50_RS00395
OG0000535	MFC_RS00190	EXC50_RS00045
OG0000536	MFC_RS00315	EXC50_RS02385
OG0000537	MFC_RS01840	EXC50_RS03360
OG0000538	MFC_RS02215	EXC50_RS02965
OG0000539	MFC_RS02435	EXC50_RS00220
OG0000540	MFC_RS03035	EXC50_RS01485
OG0000541	MFC_RS01170	EXC50_RS01560
OG0000542	MFC_RS02575	EXC50_RS00365
OG0000547	MFC_RS00980	EXC50_RS01750
OG0000548	MFC_RS01285	EXC50_RS00535
OG0000549	MFC_RS01675	EXC50_RS02160
OG0000550	MFC_RS02750	EXC50_RS02305
OG0000551	MFC_RS02325	EXC50_RS01825
OG0000555	MFC_RS03340	EXC50_RS04055
OG0000598	MFC_RS02365	EXC50_RS00690
OG0000599	MFC_RS02360	EXC50_RS00695
OG0000602	MFC_RS00055	EXC50_RS00980
