Orthogroup	MFC_ATCC27716_genes	MHP_TB1_genes
OG0000124	MFC_RS00630	B5M19_RS01160
OG0000125	MFC_RS00635	B5M19_RS01155
OG0000126	MFC_RS00645	B5M19_RS01145
OG0000127	MFC_RS00655	B5M19_RS01135
OG0000128	MFC_RS00670	B5M19_RS01115
OG0000129	MFC_RS00675	B5M19_RS01110
OG0000130	MFC_RS00685	B5M19_RS01100
OG0000131	MFC_RS00715	B5M19_RS01075
OG0000132	MFC_RS00735	B5M19_RS01060
OG0000133	MFC_RS00805	B5M19_RS02380
OG0000134	MFC_RS00810	B5M19_RS02385
OG0000135	MFC_RS00825	B5M19_RS02400
OG0000136	MFC_RS00830	B5M19_RS02405
OG0000137	MFC_RS00860	B5M19_RS02445
OG0000138	MFC_RS00885	B5M19_RS03090
OG0000139	MFC_RS00915	B5M19_RS03070
OG0000140	MFC_RS00920	B5M19_RS03065
OG0000141	MFC_RS00955	B5M19_RS01330
OG0000142	MFC_RS00960	B5M19_RS01335
OG0000143	MFC_RS00985	B5M19_RS01360
OG0000144	MFC_RS00995	B5M19_RS01370
OG0000145	MFC_RS01005	B5M19_RS01380
OG0000146	MFC_RS01015	B5M19_RS01390
OG0000147	MFC_RS01020	B5M19_RS01395
OG0000148	MFC_RS01035	B5M19_RS01410
OG0000149	MFC_RS01045	B5M19_RS01420
OG0000150	MFC_RS01060	B5M19_RS04180
OG0000151	MFC_RS01115	B5M19_RS02540
OG0000152	MFC_RS01120	B5M19_RS02535
OG0000153	MFC_RS01125	B5M19_RS02530
OG0000154	MFC_RS01135	B5M19_RS02520
OG0000155	MFC_RS01155	B5M19_RS02480
OG0000156	MFC_RS01175	B5M19_RS00860
OG0000157	MFC_RS01180	B5M19_RS00865
OG0000158	MFC_RS01190	B5M19_RS04580
OG0000159	MFC_RS01245	B5M19_RS02810
OG0000160	MFC_RS01250	B5M19_RS02815
OG0000161	MFC_RS01255	B5M19_RS02820
OG0000162	MFC_RS01265	B5M19_RS02830
OG0000163	MFC_RS01270	B5M19_RS02835
OG0000164	MFC_RS01300	B5M19_RS04495
OG0000165	MFC_RS01345	B5M19_RS00760
OG0000166	MFC_RS01365	B5M19_RS00785
OG0000167	MFC_RS01380	B5M19_RS00800
OG0000168	MFC_RS01385	B5M19_RS00805
OG0000169	MFC_RS01430	B5M19_RS01450
OG0000170	MFC_RS01455	B5M19_RS01465
OG0000171	MFC_RS01465	B5M19_RS01475
OG0000172	MFC_RS01470	B5M19_RS01480
OG0000173	MFC_RS01475	B5M19_RS01490
OG0000174	MFC_RS01480	B5M19_RS01495
OG0000175	MFC_RS01495	B5M19_RS01510
OG0000176	MFC_RS01540	B5M19_RS01560
OG0000177	MFC_RS01545	B5M19_RS01565
OG0000178	MFC_RS01550	B5M19_RS04200
OG0000179	MFC_RS01560	B5M19_RS01580
OG0000180	MFC_RS01565	B5M19_RS01585
OG0000181	MFC_RS01580	B5M19_RS03045
OG0000182	MFC_RS01590	B5M19_RS03035
OG0000183	MFC_RS01625	B5M19_RS03000
OG0000184	MFC_RS01655	B5M19_RS03105
OG0000185	MFC_RS01670	B5M19_RS03120
OG0000186	MFC_RS01710	B5M19_RS03550
OG0000187	MFC_RS01725	B5M19_RS03535
OG0000188	MFC_RS01735	B5M19_RS03525
OG0000189	MFC_RS03385	B5M19_RS03210
OG0000190	MFC_RS01750	B5M19_RS03215
OG0000191	MFC_RS01770	B5M19_RS03235
OG0000192	MFC_RS01780	B5M19_RS03675
OG0000193	MFC_RS01795	B5M19_RS02360
OG0000194	MFC_RS01805	B5M19_RS01855
OG0000195	MFC_RS01810	B5M19_RS01850
OG0000196	MFC_RS01830	B5M19_RS01830
OG0000197	MFC_RS01835	B5M19_RS01825
OG0000198	MFC_RS01850	B5M19_RS01810
OG0000199	MFC_RS01855	B5M19_RS01805
OG0000200	MFC_RS01865	B5M19_RS01790
OG0000201	MFC_RS01875	B5M19_RS01780
OG0000202	MFC_RS01930	B5M19_RS01725
OG0000203	MFC_RS01935	B5M19_RS01720
OG0000204	MFC_RS01940	B5M19_RS01715
OG0000205	MFC_RS01945	B5M19_RS01710
OG0000206	MFC_RS01965	B5M19_RS01690
OG0000207	MFC_RS01980	B5M19_RS01675
OG0000208	MFC_RS01985	B5M19_RS01670
OG0000209	MFC_RS01990	B5M19_RS01665
OG0000210	MFC_RS02040	B5M19_RS01620
OG0000211	MFC_RS02050	B5M19_RS03415
OG0000212	MFC_RS02060	B5M19_RS03405
OG0000213	MFC_RS02065	B5M19_RS03400
OG0000214	MFC_RS02070	B5M19_RS03395
OG0000215	MFC_RS02075	B5M19_RS03390
OG0000216	MFC_RS02080	B5M19_RS03385
OG0000217	MFC_RS02085	B5M19_RS03380
OG0000218	MFC_RS02095	B5M19_RS03370
OG0000219	MFC_RS02100	B5M19_RS03365
OG0000220	MFC_RS02105	B5M19_RS03360
OG0000221	MFC_RS02110	B5M19_RS03355
OG0000222	MFC_RS03235	B5M19_RS03350
OG0000223	MFC_RS02115	B5M19_RS03345
OG0000224	MFC_RS02125	B5M19_RS03130
OG0000225	MFC_RS02135	B5M19_RS03140
OG0000226	MFC_RS02140	B5M19_RS03145
OG0000227	MFC_RS02145	B5M19_RS03150
OG0000228	MFC_RS03530	B5M19_RS04630
OG0000229	MFC_RS02155	B5M19_RS03160
OG0000230	MFC_RS02160	B5M19_RS03165
OG0000231	MFC_RS02170	B5M19_RS03175
OG0000232	MFC_RS02180	B5M19_RS03185
OG0000233	MFC_RS02190	B5M19_RS02225
OG0000234	MFC_RS02220	B5M19_RS04335
OG0000235	MFC_RS02230	B5M19_RS02175
OG0000236	MFC_RS02235	B5M19_RS02170
OG0000237	MFC_RS02250	B5M19_RS02165
OG0000238	MFC_RS02255	B5M19_RS02155
OG0000239	MFC_RS02285	B5M19_RS01315
OG0000240	MFC_RS02290	B5M19_RS01310
OG0000241	MFC_RS02300	B5M19_RS01300
OG0000242	MFC_RS02305	B5M19_RS04160
OG0000243	MFC_RS02310	B5M19_RS01290
OG0000244	MFC_RS02320	B5M19_RS01280
OG0000245	MFC_RS02330	B5M19_RS01270
OG0000246	MFC_RS02345	B5M19_RS00050
OG0000247	MFC_RS02355	B5M19_RS00060
OG0000248	MFC_RS02380	B5M19_RS00070
OG0000249	MFC_RS02385	B5M19_RS00075
OG0000250	MFC_RS02400	B5M19_RS03880
OG0000251	MFC_RS02430	B5M19_RS00125
OG0000252	MFC_RS02440	B5M19_RS00135
OG0000253	MFC_RS02445	B5M19_RS00140
OG0000254	MFC_RS02455	B5M19_RS00150
OG0000255	MFC_RS02465	B5M19_RS00160
OG0000256	MFC_RS02470	B5M19_RS00165
OG0000257	MFC_RS02495	B5M19_RS00190
OG0000258	MFC_RS02505	B5M19_RS04020
OG0000259	MFC_RS02535	B5M19_RS00230
OG0000260	MFC_RS02545	B5M19_RS00240
OG0000261	MFC_RS02555	B5M19_RS00250
OG0000262	MFC_RS02570	B5M19_RS00270
OG0000263	MFC_RS02585	B5M19_RS00285
OG0000264	MFC_RS02600	B5M19_RS04030
OG0000265	MFC_RS02610	B5M19_RS00315
OG0000266	MFC_RS02625	B5M19_RS00335
OG0000267	MFC_RS02640	B5M19_RS04035
OG0000268	MFC_RS02645	B5M19_RS00355
OG0000269	MFC_RS02660	B5M19_RS03680
OG0000270	MFC_RS02720	B5M19_RS00415
OG0000271	MFC_RS02725	B5M19_RS00420
OG0000272	MFC_RS02730	B5M19_RS00425
OG0000273	MFC_RS02735	B5M19_RS00430
OG0000274	MFC_RS02755	B5M19_RS00450
OG0000275	MFC_RS03455	B5M19_RS00455
OG0000276	MFC_RS02765	B5M19_RS00460
OG0000277	MFC_RS02775	B5M19_RS00470
OG0000278	MFC_RS02780	B5M19_RS00475
OG0000279	MFC_RS02790	B5M19_RS00485
OG0000280	MFC_RS02795	B5M19_RS00490
OG0000281	MFC_RS03255	B5M19_RS00495
OG0000282	MFC_RS02820	B5M19_RS00520
OG0000283	MFC_RS02825	B5M19_RS00525
OG0000284	MFC_RS02830	B5M19_RS00530
OG0000285	MFC_RS02835	B5M19_RS00535
OG0000286	MFC_RS02865	B5M19_RS02850
OG0000287	MFC_RS02890	B5M19_RS01050
OG0000288	MFC_RS02900	B5M19_RS01040
OG0000289	MFC_RS02905	B5M19_RS01035
OG0000290	MFC_RS03030	B5M19_RS04120
OG0000291	MFC_RS03040	B5M19_RS00935
OG0000292	MFC_RS03045	B5M19_RS00940
OG0000293	MFC_RS03050	B5M19_RS00945
OG0000294	MFC_RS03060	B5M19_RS00955
OG0000295	MFC_RS03065	B5M19_RS00960
OG0000296	MFC_RS03110	B5M19_RS01000
OG0000297	MFC_RS03115	B5M19_RS01005
OG0000298	MFC_RS02395	B5M19_RS00085
OG0000299	MFC_RS02415	B5M19_RS00110
OG0000300	MFC_RS02595	B5M19_RS00300
OG0000301	MFC_RS02630	B5M19_RS00340
OG0000302	MFC_RS02635	B5M19_RS00345
OG0000303	MFC_RS00835	B5M19_RS02410
OG0000304	MFC_RS00865	B5M19_RS03190
OG0000305	MFC_RS01010	B5M19_RS01385
OG0000306	MFC_RS01090	B5M19_RS02560
OG0000307	MFC_RS01130	B5M19_RS02525
OG0000308	MFC_RS03020	B5M19_RS00905
OG0000309	MFC_RS03075	B5M19_RS00970
OG0000310	MFC_RS02895	B5M19_RS01045
OG0000311	MFC_RS01220	B5M19_RS02790
OG0000312	MFC_RS01240	B5M19_RS02805
OG0000313	MFC_RS01290	B5M19_RS03300
OG0000314	MFC_RS01360	B5M19_RS00780
OG0000315	MFC_RS01390	B5M19_RS00810
OG0000316	MFC_RS01400	B5M19_RS00820
OG0000317	MFC_RS00110	B5M19_RS02720
OG0000318	MFC_RS00020	B5M19_RS00825
OG0000319	MFC_RS00420	B5M19_RS02945
OG0000320	MFC_RS00485	B5M19_RS04425
OG0000321	MFC_RS00550	B5M19_RS01240
OG0000322	MFC_RS00595	B5M19_RS01195
OG0000323	MFC_RS00725	B5M19_RS01065
OG0000324	MFC_RS01775	B5M19_RS03240
OG0000325	MFC_RS01815	B5M19_RS01845
OG0000326	MFC_RS01905	B5M19_RS01750
OG0000327	MFC_RS01910	B5M19_RS01745
OG0000328	MFC_RS01995	B5M19_RS01660
OG0000329	MFC_RS02020	B5M19_RS01640
OG0000330	MFC_RS02200	B5M19_RS02210
OG0000331	MFC_RS02315	B5M19_RS01285
OG0000332	MFC_RS01505	B5M19_RS01520
OG0000333	MFC_RS01515	B5M19_RS01530
OG0000334	MFC_RS01585	B5M19_RS03040
OG0000335	MFC_RS01595	B5M19_RS03030
OG0000336	MFC_RS02805	B5M19_RS00505
OG0000337	MFC_RS00280	B5M19_RS01985
OG0000338	MFC_RS00240	B5M19_RS01940
OG0000339	MFC_RS00505	B5M19_RS03615
OG0000340	MFC_RS00530	B5M19_RS02565
OG0000341	MFC_RS01755	B5M19_RS03220
OG0000342	MFC_RS01845	B5M19_RS01815
OG0000343	MFC_RS01525	B5M19_RS04195
OG0000344	MFC_RS00850	B5M19_RS02425
OG0000345	MFC_RS02130	B5M19_RS03135
OG0000346	MFC_RS02800	B5M19_RS04590
OG0000347	MFC_RS00620	B5M19_RS01170
OG0000348	MFC_RS01915	B5M19_RS01740
OG0000349	MFC_RS02745	B5M19_RS00440
OG0000350	MFC_RS03345	B5M19_RS02515
OG0000351	MFC_RS00785	B5M19_RS03490
OG0000352	MFC_RS01340	B5M19_RS00755
OG0000353	MFC_RS00590	B5M19_RS01200
OG0000354	MFC_RS00900	B5M19_RS03080
OG0000355	MFC_RS01315	B5M19_RS00725
OG0000356	MFC_RS01395	B5M19_RS00815
OG0000357	MFC_RS01485	B5M19_RS01500
OG0000358	MFC_RS01490	B5M19_RS01505
OG0000359	MFC_RS01885	B5M19_RS01770
OG0000360	MFC_RS02500	B5M19_RS00195
OG0000361	MFC_RS02530	B5M19_RS00225
OG0000362	MFC_RS02915	B5M19_RS01025
OG0000363	MFC_RS00660	B5M19_RS01125
OG0000365	MFC_RS00050	B5M19_RS02775
OG0000366	MFC_RS00080	B5M19_RS02750
OG0000367	MFC_RS00090	B5M19_RS02740
OG0000368	MFC_RS00175	B5M19_RS04270
OG0000369	MFC_RS00210	B5M19_RS01910
OG0000370	MFC_RS00215	B5M19_RS01915
OG0000371	MFC_RS00220	B5M19_RS01920
OG0000372	MFC_RS00225	B5M19_RS01925
OG0000373	MFC_RS00250	B5M19_RS01950
OG0000374	MFC_RS00260	B5M19_RS01960
OG0000375	MFC_RS00415	B5M19_RS02950
OG0000376	MFC_RS00470	B5M19_RS02670
OG0000377	MFC_RS00480	B5M19_RS02680
OG0000378	MFC_RS00515	B5M19_RS02585
OG0000379	MFC_RS00585	B5M19_RS01205
OG0000380	MFC_RS00610	B5M19_RS01180
OG0000381	MFC_RS00650	B5M19_RS01140
OG0000382	MFC_RS00680	B5M19_RS01105
OG0000383	MFC_RS00720	B5M19_RS01070
OG0000384	MFC_RS00790	B5M19_RS02365
OG0000385	MFC_RS00795	B5M19_RS02370
OG0000386	MFC_RS00815	B5M19_RS02390
OG0000387	MFC_RS00840	B5M19_RS02415
OG0000388	MFC_RS00845	B5M19_RS02420
OG0000389	MFC_RS00880	B5M19_RS03095
OG0000390	MFC_RS00990	B5M19_RS01365
OG0000391	MFC_RS01000	B5M19_RS01375
OG0000392	MFC_RS01030	B5M19_RS01400
OG0000393	MFC_RS01080	B5M19_RS03515
OG0000394	MFC_RS01145	B5M19_RS02490
OG0000395	MFC_RS01150	B5M19_RS02485
OG0000396	MFC_RS01280	B5M19_RS02845
OG0000397	MFC_RS01325	B5M19_RS00740
OG0000398	MFC_RS01330	B5M19_RS00745
OG0000399	MFC_RS01375	B5M19_RS00795
OG0000400	MFC_RS01450	B5M19_RS01460
OG0000401	MFC_RS01510	B5M19_RS01525
OG0000402	MFC_RS01520	B5M19_RS01535
OG0000404	MFC_RS03375, MFC_RS01555	B5M19_RS04205
OG0000405	MFC_RS01570	B5M19_RS01590
OG0000406	MFC_RS01600	B5M19_RS03025
OG0000407	MFC_RS01605	B5M19_RS03020
OG0000408	MFC_RS01610	B5M19_RS03015
OG0000409	MFC_RS01615	B5M19_RS03010
OG0000410	MFC_RS01650	B5M19_RS03100
OG0000411	MFC_RS01660	B5M19_RS03110
OG0000412	MFC_RS01665	B5M19_RS03115
OG0000413	MFC_RS01705	B5M19_RS03555
OG0000414	MFC_RS01715	B5M19_RS03545
OG0000415	MFC_RS01720	B5M19_RS03540
OG0000416	MFC_RS01730	B5M19_RS03530
OG0000417	MFC_RS01760	B5M19_RS03225
OG0000418	MFC_RS01765	B5M19_RS03230
OG0000419	MFC_RS01825	B5M19_RS01835
OG0000420	MFC_RS01860	B5M19_RS01800
OG0000421	MFC_RS01890	B5M19_RS01765
OG0000422	MFC_RS01900	B5M19_RS01755
OG0000423	MFC_RS01955	B5M19_RS01700
OG0000424	MFC_RS01960	B5M19_RS01695
OG0000425	MFC_RS01970	B5M19_RS01685
OG0000426	MFC_RS01975	B5M19_RS01680
OG0000427	MFC_RS02000	B5M19_RS01655
OG0000428	MFC_RS02030	B5M19_RS01630
OG0000430	MFC_RS02165	B5M19_RS03170
OG0000431	MFC_RS02175	B5M19_RS03180
OG0000432	MFC_RS02195	B5M19_RS04345
OG0000433	MFC_RS02205	B5M19_RS02200
OG0000434	MFC_RS02210	B5M19_RS02195
OG0000435	MFC_RS02225	B5M19_RS02180
OG0000436	MFC_RS03535	B5M19_RS02150
OG0000437	MFC_RS02270	B5M19_RS02140
OG0000438	MFC_RS02275	B5M19_RS02135
OG0000439	MFC_RS02280	B5M19_RS02130
OG0000440	MFC_RS02295	B5M19_RS04165
OG0000441	MFC_RS02335	B5M19_RS01265
OG0000442	MFC_RS02350	B5M19_RS00055
OG0000443	MFC_RS02410	B5M19_RS00105
OG0000444	MFC_RS02425	B5M19_RS00120
OG0000445	MFC_RS02450	B5M19_RS00145
OG0000446	MFC_RS02480	B5M19_RS00175
OG0000447	MFC_RS02485	B5M19_RS00180
OG0000448	MFC_RS02515	B5M19_RS00210
OG0000449	MFC_RS02540	B5M19_RS00235
OG0000450	MFC_RS02550	B5M19_RS00245
OG0000451	MFC_RS02590	B5M19_RS00295
OG0000452	MFC_RS02615	B5M19_RS00330
OG0000453	MFC_RS02650	B5M19_RS04040
OG0000454	MFC_RS03440, MFC_RS03435	B5M19_RS03255
OG0000455	MFC_RS02700	B5M19_RS00395
OG0000456	MFC_RS02815	B5M19_RS00515
OG0000457	MFC_RS02840	B5M19_RS00540
OG0000458	MFC_RS02885	B5M19_RS01055
OG0000459	MFC_RS02910	B5M19_RS01030
OG0000460	MFC_RS02920	B5M19_RS01020
OG0000461	MFC_RS03080	B5M19_RS04125
OG0000462	MFC_RS03085	B5M19_RS00980
OG0000463	MFC_RS03090	B5M19_RS04130
OG0000464	MFC_RS03100	B5M19_RS00990
OG0000465	MFC_RS03105	B5M19_RS00995
OG0000467	MFC_RS03500	B5M19_RS00895
OG0000468	MFC_RS01370	B5M19_RS00790
OG0000469	MFC_RS00045	B5M19_RS00850
OG0000470	MFC_RS01950	B5M19_RS03910
OG0000471	MFC_RS02035	B5M19_RS01625
OG0000472	MFC_RS01680	B5M19_RS00580
OG0000473	MFC_RS02715	B5M19_RS00410
OG0000474	MFC_RS02710	B5M19_RS00405
OG0000475	MFC_RS02705	B5M19_RS00400
OG0000476	MFC_RS00345	B5M19_RS03280
OG0000477	MFC_RS03055	B5M19_RS00950
OG0000478	MFC_RS02770	B5M19_RS00465
OG0000479	MFC_RS00545	B5M19_RS04145
OG0000480	MFC_RS03300	B5M19_RS03895
OG0000481	MFC_RS01925	B5M19_RS01730
OG0000482	MFC_RS01790	B5M19_RS03730
OG0000483	MFC_RS00095	B5M19_RS02735
OG0000484	MFC_RS02420	B5M19_RS00115
OG0000487	MFC_RS00025	B5M19_RS00830
OG0000488	MFC_RS00065	B5M19_RS02770
OG0000489	MFC_RS00185	B5M19_RS01885
OG0000490	MFC_RS00245	B5M19_RS01945
OG0000491	MFC_RS00565	B5M19_RS01225
OG0000492	MFC_RS00640	B5M19_RS04140
OG0000493	MFC_RS00855	B5M19_RS02430
OG0000494	MFC_RS00905	B5M19_RS03075
OG0000495	MFC_RS01055	B5M19_RS01430
OG0000497	MFC_RS01070	B5M19_RS01445
OG0000498	MFC_RS01140	B5M19_RS02495
OG0000499	MFC_RS01185	B5M19_RS00870
OG0000500	MFC_RS01335	B5M19_RS00750
OG0000501	MFC_RS01460	B5M19_RS01470
OG0000502	MFC_RS01800	B5M19_RS02350
OG0000503	MFC_RS01870	B5M19_RS04250
OG0000504	MFC_RS02005	B5M19_RS01650
OG0000505	MFC_RS02045	B5M19_RS03420
OG0000506	MFC_RS02055	B5M19_RS03410
OG0000507	MFC_RS02090	B5M19_RS03375
OG0000508	MFC_RS02475	B5M19_RS00170
OG0000509	MFC_RS02510	B5M19_RS00205
OG0000510	MFC_RS02520	B5M19_RS00215
OG0000511	MFC_RS02655	B5M19_RS03685
OG0000512	MFC_RS02925	B5M19_RS01015
OG0000513	MFC_RS02785	B5M19_RS00480
OG0000516	MFC_RS00030	B5M19_RS00835
OG0000517	MFC_RS00170	B5M19_RS01870
OG0000518	MFC_RS01500	B5M19_RS01515
OG0000519	MFC_RS01895	B5M19_RS01760
OG0000520	MFC_RS02025	B5M19_RS01635
OG0000521	MFC_RS02490	B5M19_RS00185
OG0000522	MFC_RS02525	B5M19_RS00220
OG0000523	MFC_RS02845	B5M19_RS00545
OG0000524	MFC_RS03015	B5M19_RS00900
OG0000525	MFC_RS01685	B5M19_RS00575
OG0000528	MFC_RS00035	B5M19_RS00840
OG0000529	MFC_RS00430	B5M19_RS02935
OG0000530	MFC_RS00495	B5M19_RS02705
OG0000531	MFC_RS00615	B5M19_RS01175
OG0000532	MFC_RS00940	B5M19_RS04500
OG0000533	MFC_RS02185	B5M19_RS04515
OG0000535	MFC_RS00190	B5M19_RS04610
OG0000536	MFC_RS00315	B5M19_RS00365
OG0000537	MFC_RS01840	B5M19_RS01820
OG0000538	MFC_RS02215	B5M19_RS04340
OG0000539	MFC_RS02435	B5M19_RS00130
OG0000540	MFC_RS03035	B5M19_RS00930
OG0000541	MFC_RS01170	B5M19_RS00855
OG0000542	MFC_RS02575	B5M19_RS00275
OG0000547	MFC_RS00980	B5M19_RS01355
OG0000548	MFC_RS01285	B5M19_RS03295
OG0000549	MFC_RS01675	B5M19_RS00585
OG0000550	MFC_RS02750	B5M19_RS04055
OG0000551	MFC_RS02325	B5M19_RS01275
OG0000555	MFC_RS03340	B5M19_RS01350
OG0000596	MFC_RS02370	B5M19_RS02110
OG0000598	MFC_RS02365	B5M19_RS02115
OG0000599	MFC_RS02360	B5M19_RS02120
