Orthogroup	MFC_ATCC27716_genes	MFC_Ms42_genes
OG0000030	MFC_RS02855	MYF_RS02820
OG0000031	MFC_RS01295	MYF_RS01215
OG0000032	MFC_RS02685	MYF_RS03490
OG0000032	MFC_RS02860	MYF_RS02815
OG0000033	MFC_RS01210	MYF_RS01130
OG0000037	MFC_RS03185	MYF_RS03495
OG0000037	MFC_RS00375	MYF_RS03005
OG0000039	MFC_RS03135	MYF_RS03160
OG0000039	MFC_RS00935	MYF_RS00615
OG0000040	MFC_RS01640	MYF_RS02770
OG0000040	MFC_RS01160	MYF_RS00840
OG0000042	MFC_RS00930	MYF_RS00610
OG0000042	MFC_RS01085	MYF_RS00765
OG0000043	MFC_RS01320	MYF_RS01240
OG0000045	MFC_RS00950	MYF_RS00630
OG0000047	MFC_RS03280	MYF_RS03335
OG0000048	MFC_RS00140	MYF_RS01350
OG0000049	MFC_RS03220	MYF_RS03265
OG0000049	MFC_RS03365	MYF_RS03455
OG0000050	MFC_RS01260	MYF_RS01180
OG0000051	MFC_RS02240	MYF_RS02420
OG0000052	MFC_RS00160	MYF_RS00075
OG0000053	MFC_RS00665	MYF_RS01800
OG0000054	MFC_RS01235	MYF_RS01155
OG0000055	MFC_RS03415	MYF_RS03395
OG0000055	MFC_RS03540	MYF_RS03525
OG0000056	MFC_RS00325	MYF_RS03060
OG0000057	MFC_RS00965	MYF_RS00645
OG0000062	MFC_RS00270	MYF_RS03115
OG0000063	MFC_RS00275	MYF_RS03110
OG0000064	MFC_RS00285	MYF_RS03100
OG0000065	MFC_RS00440	MYF_RS01575
OG0000066	MFC_RS00570	MYF_RS01705
OG0000067	MFC_RS00800	MYF_RS00480
OG0000068	MFC_RS00910	MYF_RS00590
OG0000069	MFC_RS01075	MYF_RS00755
OG0000070	MFC_RS01215	MYF_RS01135
OG0000071	MFC_RS01630	MYF_RS02760
OG0000072	MFC_RS01635	MYF_RS02765
OG0000073	MFC_RS03395, MFC_RS03390	MYF_RS02005
OG0000074	MFC_RS03400	MYF_RS02195
OG0000075	MFC_RS02565	MYF_RS00305
OG0000076	MFC_RS02580	MYF_RS00320
OG0000077	MFC_RS02670	MYF_RS00410
OG0000078	MFC_RS03005	MYF_RS00880
OG0000079	MFC_RS02930, MFC_RS03120	MYF_RS01050
OG0000080	MFC_RS03315	MYF_RS01000, MYF_RS03365
OG0000081	MFC_RS02560	MYF_RS00300
OG0000082	MFC_RS02870	MYF_RS01110
OG0000083	MFC_RS00040	MYF_RS01430
OG0000084	MFC_RS00070	MYF_RS01400
OG0000085	MFC_RS00075	MYF_RS01395
OG0000086	MFC_RS00085	MYF_RS01385
OG0000087	MFC_RS03320	MYF_RS01370
OG0000088	MFC_RS00105	MYF_RS01365
OG0000089	MFC_RS00115	MYF_RS01355
OG0000090	MFC_RS00165	MYF_RS00070
OG0000091	MFC_RS00180	MYF_RS00055
OG0000092	MFC_RS00195	MYF_RS00040
OG0000093	MFC_RS00200	MYF_RS00035
OG0000094	MFC_RS00205	MYF_RS00030
OG0000095	MFC_RS00230	MYF_RS00005
OG0000096	MFC_RS00235	MYF_RS03150
OG0000097	MFC_RS00255	MYF_RS03130
OG0000098	MFC_RS00265	MYF_RS03120
OG0000099	MFC_RS00320	MYF_RS03065
OG0000100	MFC_RS00335	MYF_RS03050
OG0000101	MFC_RS00340	MYF_RS03045
OG0000102	MFC_RS00350	MYF_RS03035
OG0000103	MFC_RS00405	MYF_RS01540
OG0000104	MFC_RS00410	MYF_RS01545
OG0000105	MFC_RS00425	MYF_RS01560
OG0000106	MFC_RS00435	MYF_RS01570
OG0000107	MFC_RS00445	MYF_RS01580
OG0000108	MFC_RS00450	MYF_RS01585
OG0000109	MFC_RS00455	MYF_RS01590
OG0000110	MFC_RS00460	MYF_RS01595
OG0000111	MFC_RS00465	MYF_RS01600
OG0000112	MFC_RS00475	MYF_RS01610
OG0000113	MFC_RS00490	MYF_RS01625
OG0000114	MFC_RS00500	MYF_RS01635
OG0000115	MFC_RS00510	MYF_RS01645
OG0000116	MFC_RS00520	MYF_RS01655
OG0000117	MFC_RS00525	MYF_RS01660
OG0000118	MFC_RS00555	MYF_RS01690
OG0000119	MFC_RS00560	MYF_RS01695
OG0000120	MFC_RS00575	MYF_RS01710
OG0000121	MFC_RS00600	MYF_RS01735
OG0000122	MFC_RS00605	MYF_RS01740
OG0000123	MFC_RS00625	MYF_RS01760
OG0000124	MFC_RS00630	MYF_RS01765
OG0000125	MFC_RS00635	MYF_RS01770
OG0000126	MFC_RS00645	MYF_RS01780
OG0000127	MFC_RS00655	MYF_RS01790
OG0000128	MFC_RS00670	MYF_RS01805
OG0000129	MFC_RS00675	MYF_RS01810
OG0000130	MFC_RS00685	MYF_RS01820
OG0000131	MFC_RS00715	MYF_RS01850
OG0000132	MFC_RS00735	MYF_RS01865
OG0000133	MFC_RS00805	MYF_RS00485
OG0000134	MFC_RS00810	MYF_RS00490
OG0000135	MFC_RS00825	MYF_RS00505
OG0000136	MFC_RS00830	MYF_RS00510
OG0000137	MFC_RS00860	MYF_RS00540
OG0000138	MFC_RS00885	MYF_RS00565
OG0000139	MFC_RS00915	MYF_RS00595
OG0000140	MFC_RS00920	MYF_RS00600
OG0000141	MFC_RS00955	MYF_RS00635
OG0000142	MFC_RS00960	MYF_RS00640
OG0000143	MFC_RS00985	MYF_RS00665
OG0000144	MFC_RS00995	MYF_RS00675
OG0000145	MFC_RS01005	MYF_RS00685
OG0000146	MFC_RS01015	MYF_RS00695
OG0000147	MFC_RS01020	MYF_RS00700
OG0000148	MFC_RS01035	MYF_RS00715
OG0000149	MFC_RS01045	MYF_RS00725
OG0000150	MFC_RS01060	MYF_RS00740
OG0000151	MFC_RS01115	MYF_RS00795
OG0000152	MFC_RS01120	MYF_RS00800
OG0000153	MFC_RS01125	MYF_RS00805
OG0000154	MFC_RS01135	MYF_RS00815
OG0000155	MFC_RS01155	MYF_RS00835
OG0000156	MFC_RS01175	MYF_RS00855
OG0000157	MFC_RS01180	MYF_RS00860
OG0000158	MFC_RS01190	MYF_RS00870
OG0000159	MFC_RS01245	MYF_RS01165
OG0000160	MFC_RS01250	MYF_RS01170
OG0000161	MFC_RS01255	MYF_RS01175
OG0000162	MFC_RS01265	MYF_RS01185
OG0000163	MFC_RS01270	MYF_RS01190
OG0000164	MFC_RS01300	MYF_RS01220
OG0000165	MFC_RS01345	MYF_RS01265
OG0000166	MFC_RS01365	MYF_RS01285
OG0000167	MFC_RS01380	MYF_RS01300
OG0000168	MFC_RS01385	MYF_RS01305
OG0000169	MFC_RS01430	MYF_RS02560
OG0000170	MFC_RS01455	MYF_RS02585
OG0000171	MFC_RS01465	MYF_RS02595
OG0000172	MFC_RS01470	MYF_RS02600
OG0000173	MFC_RS01475	MYF_RS02605
OG0000174	MFC_RS01480	MYF_RS02610
OG0000175	MFC_RS01495	MYF_RS02625
OG0000176	MFC_RS01540	MYF_RS02670
OG0000177	MFC_RS01545	MYF_RS02675
OG0000178	MFC_RS01550	MYF_RS02680
OG0000179	MFC_RS01560	MYF_RS02690
OG0000180	MFC_RS01565	MYF_RS02695
OG0000181	MFC_RS01580	MYF_RS02710
OG0000182	MFC_RS01590	MYF_RS02720
OG0000183	MFC_RS01625	MYF_RS02755
OG0000184	MFC_RS01655	MYF_RS02785
OG0000185	MFC_RS01670	MYF_RS02800
OG0000186	MFC_RS01710	MYF_RS01895
OG0000187	MFC_RS01725	MYF_RS01910
OG0000188	MFC_RS01735	MYF_RS01920
OG0000189	MFC_RS03385	MYF_RS01930
OG0000190	MFC_RS01750	MYF_RS01935
OG0000191	MFC_RS01770	MYF_RS01955
OG0000192	MFC_RS01780	MYF_RS01965
OG0000193	MFC_RS01795	MYF_RS01980
OG0000194	MFC_RS01805	MYF_RS01990
OG0000195	MFC_RS01810	MYF_RS01995
OG0000196	MFC_RS01830	MYF_RS02015
OG0000197	MFC_RS01835	MYF_RS02020
OG0000198	MFC_RS01850	MYF_RS02035
OG0000199	MFC_RS01855	MYF_RS02040
OG0000200	MFC_RS01865	MYF_RS02050
OG0000201	MFC_RS01875	MYF_RS02060
OG0000202	MFC_RS01930	MYF_RS02115
OG0000203	MFC_RS01935	MYF_RS02120
OG0000204	MFC_RS01940	MYF_RS02125
OG0000205	MFC_RS01945	MYF_RS02130
OG0000206	MFC_RS01965	MYF_RS02150
OG0000207	MFC_RS01980	MYF_RS02165
OG0000208	MFC_RS01985	MYF_RS02170
OG0000209	MFC_RS01990	MYF_RS02175
OG0000210	MFC_RS02040	MYF_RS02220
OG0000211	MFC_RS02050	MYF_RS02230
OG0000212	MFC_RS02060	MYF_RS02240
OG0000213	MFC_RS02065	MYF_RS02245
OG0000214	MFC_RS02070	MYF_RS02250
OG0000215	MFC_RS02075	MYF_RS02255
OG0000216	MFC_RS02080	MYF_RS02260
OG0000217	MFC_RS02085	MYF_RS02265
OG0000218	MFC_RS02095	MYF_RS02275
OG0000219	MFC_RS02100	MYF_RS02280
OG0000220	MFC_RS02105	MYF_RS02285
OG0000221	MFC_RS02110	MYF_RS02290
OG0000222	MFC_RS03235	MYF_RS03240
OG0000223	MFC_RS02115	MYF_RS02295
OG0000224	MFC_RS02125	MYF_RS02305
OG0000225	MFC_RS02135	MYF_RS02315
OG0000226	MFC_RS02140	MYF_RS02320
OG0000227	MFC_RS02145	MYF_RS02325
OG0000228	MFC_RS03530	MYF_RS03530
OG0000229	MFC_RS02155	MYF_RS02335
OG0000230	MFC_RS02160	MYF_RS02340
OG0000231	MFC_RS02170	MYF_RS02350
OG0000232	MFC_RS02180	MYF_RS02360
OG0000233	MFC_RS02190	MYF_RS02370
OG0000234	MFC_RS02220	MYF_RS02400
OG0000235	MFC_RS02230	MYF_RS02410
OG0000236	MFC_RS02235	MYF_RS02415
OG0000237	MFC_RS02250	MYF_RS02430
OG0000238	MFC_RS02255	MYF_RS02435
OG0000239	MFC_RS02285	MYF_RS02465
OG0000240	MFC_RS02290	MYF_RS02470
OG0000241	MFC_RS02300	MYF_RS02480
OG0000242	MFC_RS02305	MYF_RS02485
OG0000243	MFC_RS02310	MYF_RS02490
OG0000244	MFC_RS02320	MYF_RS02500
OG0000245	MFC_RS02330	MYF_RS02510
OG0000246	MFC_RS02345	MYF_RS00085
OG0000247	MFC_RS02355	MYF_RS00095
OG0000248	MFC_RS02380	MYF_RS00120
OG0000249	MFC_RS02385	MYF_RS00125
OG0000250	MFC_RS02400	MYF_RS00140
OG0000251	MFC_RS02430	MYF_RS00170
OG0000252	MFC_RS02440	MYF_RS00180
OG0000253	MFC_RS02445	MYF_RS00185
OG0000254	MFC_RS02455	MYF_RS00195
OG0000255	MFC_RS02465	MYF_RS00205
OG0000256	MFC_RS02470	MYF_RS00210
OG0000257	MFC_RS02495	MYF_RS00235
OG0000258	MFC_RS02505	MYF_RS00245
OG0000259	MFC_RS02535	MYF_RS00275
OG0000260	MFC_RS02545	MYF_RS00285
OG0000261	MFC_RS02555	MYF_RS00295
OG0000262	MFC_RS02570	MYF_RS00310
OG0000263	MFC_RS02585	MYF_RS00325
OG0000264	MFC_RS02600	MYF_RS00340
OG0000265	MFC_RS02610	MYF_RS00350
OG0000266	MFC_RS02625	MYF_RS00365
OG0000267	MFC_RS02640	MYF_RS00380
OG0000268	MFC_RS02645	MYF_RS00385
OG0000269	MFC_RS02660	MYF_RS00400
OG0000270	MFC_RS02720	MYF_RS02955
OG0000271	MFC_RS02725	MYF_RS02950
OG0000272	MFC_RS02730	MYF_RS02945
OG0000273	MFC_RS02735	MYF_RS02940
OG0000274	MFC_RS02755	MYF_RS02920
OG0000275	MFC_RS03455	MYF_RS02915
OG0000276	MFC_RS02765	MYF_RS02910
OG0000277	MFC_RS02775	MYF_RS02900
OG0000278	MFC_RS02780	MYF_RS02895
OG0000279	MFC_RS02790	MYF_RS02885
OG0000280	MFC_RS02795	MYF_RS02880
OG0000281	MFC_RS03255	MYF_RS03275
OG0000282	MFC_RS02820	MYF_RS02855
OG0000283	MFC_RS02825	MYF_RS02850
OG0000284	MFC_RS02830	MYF_RS02845
OG0000285	MFC_RS02835	MYF_RS02840
OG0000286	MFC_RS02865	MYF_RS01115
OG0000287	MFC_RS02890	MYF_RS01090
OG0000288	MFC_RS02900	MYF_RS01080
OG0000289	MFC_RS02905	MYF_RS01075
OG0000290	MFC_RS03030	MYF_RS00905
OG0000291	MFC_RS03040	MYF_RS00915
OG0000292	MFC_RS03045	MYF_RS00920
OG0000293	MFC_RS03050	MYF_RS00925
OG0000294	MFC_RS03060	MYF_RS00935
OG0000295	MFC_RS03065	MYF_RS00940
OG0000296	MFC_RS03110	MYF_RS01040
OG0000297	MFC_RS03115	MYF_RS01045
OG0000298	MFC_RS02395	MYF_RS00135
OG0000299	MFC_RS02415	MYF_RS00155
OG0000300	MFC_RS02595	MYF_RS00335
OG0000301	MFC_RS02630	MYF_RS00370
OG0000302	MFC_RS02635	MYF_RS00375
OG0000303	MFC_RS00835	MYF_RS00515
OG0000304	MFC_RS00865	MYF_RS00545
OG0000305	MFC_RS01010	MYF_RS00690
OG0000306	MFC_RS01090	MYF_RS00770
OG0000307	MFC_RS01130	MYF_RS00810
OG0000308	MFC_RS03020	MYF_RS00895
OG0000309	MFC_RS03075	MYF_RS01005
OG0000310	MFC_RS02895	MYF_RS01085
OG0000311	MFC_RS01220	MYF_RS01140
OG0000312	MFC_RS01240	MYF_RS01160
OG0000313	MFC_RS01290	MYF_RS01210
OG0000314	MFC_RS01360	MYF_RS01280
OG0000315	MFC_RS01390	MYF_RS01310
OG0000316	MFC_RS01400	MYF_RS01320
OG0000317	MFC_RS00110	MYF_RS01360
OG0000318	MFC_RS00020	MYF_RS01450
OG0000319	MFC_RS00420	MYF_RS01555
OG0000320	MFC_RS00485	MYF_RS01620
OG0000321	MFC_RS00550	MYF_RS01685
OG0000322	MFC_RS00595	MYF_RS01730
OG0000323	MFC_RS00725	MYF_RS01860
OG0000324	MFC_RS01775	MYF_RS01960
OG0000325	MFC_RS01815	MYF_RS02000
OG0000326	MFC_RS01905	MYF_RS02090
OG0000327	MFC_RS01910	MYF_RS02095
OG0000328	MFC_RS01995	MYF_RS02180
OG0000329	MFC_RS02020	MYF_RS02200
OG0000330	MFC_RS02200	MYF_RS02380
OG0000331	MFC_RS02315	MYF_RS02495
OG0000332	MFC_RS01505	MYF_RS02635
OG0000333	MFC_RS01515	MYF_RS02645
OG0000334	MFC_RS01585	MYF_RS02715
OG0000335	MFC_RS01595	MYF_RS02725
OG0000336	MFC_RS02805	MYF_RS02870
OG0000337	MFC_RS00280	MYF_RS03105
OG0000338	MFC_RS00240	MYF_RS03145
OG0000339	MFC_RS00505	MYF_RS01640
OG0000340	MFC_RS00530	MYF_RS01665
OG0000341	MFC_RS01755	MYF_RS01940
OG0000342	MFC_RS01845	MYF_RS02030
OG0000343	MFC_RS01525	MYF_RS02655
OG0000344	MFC_RS00850	MYF_RS00530
OG0000345	MFC_RS02130	MYF_RS02310
OG0000346	MFC_RS02800	MYF_RS02875
OG0000347	MFC_RS00620	MYF_RS01755
OG0000348	MFC_RS01915	MYF_RS02100
OG0000349	MFC_RS02745	MYF_RS02930
OG0000350	MFC_RS03345	MYF_RS03360
OG0000351	MFC_RS00785	MYF_RS00465
OG0000352	MFC_RS01340	MYF_RS01260
OG0000353	MFC_RS00590	MYF_RS01725
OG0000354	MFC_RS00900	MYF_RS00580
OG0000355	MFC_RS01315	MYF_RS01235
OG0000356	MFC_RS01395	MYF_RS01315
OG0000357	MFC_RS01485	MYF_RS02615
OG0000358	MFC_RS01490	MYF_RS02620
OG0000359	MFC_RS01885	MYF_RS02070
OG0000360	MFC_RS02500	MYF_RS00240
OG0000361	MFC_RS02530	MYF_RS00270
OG0000362	MFC_RS02915	MYF_RS01065
OG0000363	MFC_RS00660	MYF_RS01795
OG0000365	MFC_RS00050	MYF_RS01420
OG0000366	MFC_RS00080	MYF_RS01390
OG0000367	MFC_RS00090	MYF_RS01380
OG0000368	MFC_RS00175	MYF_RS00060
OG0000369	MFC_RS00210	MYF_RS00025
OG0000370	MFC_RS00215	MYF_RS00020
OG0000371	MFC_RS00220	MYF_RS00015
OG0000372	MFC_RS00225	MYF_RS00010
OG0000373	MFC_RS00250	MYF_RS03135
OG0000374	MFC_RS00260	MYF_RS03125
OG0000375	MFC_RS00415	MYF_RS01550
OG0000376	MFC_RS00470	MYF_RS01605
OG0000377	MFC_RS00480	MYF_RS01615
OG0000378	MFC_RS00515	MYF_RS01650
OG0000379	MFC_RS00585	MYF_RS01720
OG0000380	MFC_RS00610	MYF_RS01745
OG0000381	MFC_RS00650	MYF_RS01785
OG0000382	MFC_RS00680	MYF_RS01815
OG0000383	MFC_RS00720	MYF_RS01855
OG0000384	MFC_RS00790	MYF_RS00470
OG0000385	MFC_RS00795	MYF_RS00475
OG0000386	MFC_RS00815	MYF_RS00495
OG0000387	MFC_RS00840	MYF_RS00520
OG0000388	MFC_RS00845	MYF_RS00525
OG0000389	MFC_RS00880	MYF_RS00560
OG0000390	MFC_RS00990	MYF_RS00670
OG0000391	MFC_RS01000	MYF_RS00680
OG0000392	MFC_RS01030	MYF_RS00705
OG0000393	MFC_RS01080	MYF_RS00760
OG0000394	MFC_RS01145	MYF_RS00825
OG0000395	MFC_RS01150	MYF_RS00830
OG0000396	MFC_RS01280	MYF_RS01200
OG0000397	MFC_RS01325	MYF_RS01245
OG0000398	MFC_RS01330	MYF_RS01250
OG0000399	MFC_RS01375	MYF_RS01295
OG0000400	MFC_RS01450	MYF_RS02580
OG0000401	MFC_RS01510	MYF_RS02640
OG0000402	MFC_RS01520	MYF_RS02650
OG0000403	MFC_RS01530	MYF_RS02660
OG0000404	MFC_RS03375, MFC_RS01555	MYF_RS02685
OG0000405	MFC_RS01570	MYF_RS02700
OG0000406	MFC_RS01600	MYF_RS02730
OG0000407	MFC_RS01605	MYF_RS02735
OG0000408	MFC_RS01610	MYF_RS02740
OG0000409	MFC_RS01615	MYF_RS02745
OG0000410	MFC_RS01650	MYF_RS02780
OG0000411	MFC_RS01660	MYF_RS02790
OG0000412	MFC_RS01665	MYF_RS02795
OG0000413	MFC_RS01705	MYF_RS01890
OG0000414	MFC_RS01715	MYF_RS01900
OG0000415	MFC_RS01720	MYF_RS01905
OG0000416	MFC_RS01730	MYF_RS01915
OG0000417	MFC_RS01760	MYF_RS01945
OG0000418	MFC_RS01765	MYF_RS01950
OG0000419	MFC_RS01825	MYF_RS02010
OG0000420	MFC_RS01860	MYF_RS02045
OG0000421	MFC_RS01890	MYF_RS02075
OG0000422	MFC_RS01900	MYF_RS02085
OG0000423	MFC_RS01955	MYF_RS02140
OG0000424	MFC_RS01960	MYF_RS02145
OG0000425	MFC_RS01970	MYF_RS02155
OG0000426	MFC_RS01975	MYF_RS02160
OG0000427	MFC_RS02000	MYF_RS02185
OG0000428	MFC_RS02030	MYF_RS02210
OG0000429	MFC_RS02120	MYF_RS02300
OG0000430	MFC_RS02165	MYF_RS02345
OG0000431	MFC_RS02175	MYF_RS02355
OG0000432	MFC_RS02195	MYF_RS02375
OG0000433	MFC_RS02205	MYF_RS02385
OG0000434	MFC_RS02210	MYF_RS02390
OG0000435	MFC_RS02225	MYF_RS02405
OG0000436	MFC_RS03535	MYF_RS02440
OG0000437	MFC_RS02270	MYF_RS02450
OG0000438	MFC_RS02275	MYF_RS02455
OG0000439	MFC_RS02280	MYF_RS02460
OG0000440	MFC_RS02295	MYF_RS02475
OG0000441	MFC_RS02335	MYF_RS02515
OG0000442	MFC_RS02350	MYF_RS00090
OG0000443	MFC_RS02410	MYF_RS00150
OG0000444	MFC_RS02425	MYF_RS00165
OG0000445	MFC_RS02450	MYF_RS00190
OG0000446	MFC_RS02480	MYF_RS00220
OG0000447	MFC_RS02485	MYF_RS00225
OG0000448	MFC_RS02515	MYF_RS00255
OG0000449	MFC_RS02540	MYF_RS00280
OG0000450	MFC_RS02550	MYF_RS00290
OG0000451	MFC_RS02590	MYF_RS00330
OG0000452	MFC_RS02615	MYF_RS00355
OG0000453	MFC_RS02650	MYF_RS00390
OG0000454	MFC_RS03440	MYF_RS03480
OG0000454	MFC_RS03435	MYF_RS03485
OG0000455	MFC_RS02700	MYF_RS02975
OG0000456	MFC_RS02815	MYF_RS02860
OG0000457	MFC_RS02840	MYF_RS02835
OG0000458	MFC_RS02885	MYF_RS01095
OG0000459	MFC_RS02910	MYF_RS01070
OG0000460	MFC_RS02920	MYF_RS01060
OG0000461	MFC_RS03080	MYF_RS01010
OG0000462	MFC_RS03085	MYF_RS01015
OG0000463	MFC_RS03090	MYF_RS01020
OG0000464	MFC_RS03100	MYF_RS01030
OG0000465	MFC_RS03105	MYF_RS01035
OG0000466	MFC_RS02620	MYF_RS00360
OG0000467	MFC_RS03500	MYF_RS03505
OG0000468	MFC_RS01370	MYF_RS01290
OG0000469	MFC_RS00045	MYF_RS01425
OG0000470	MFC_RS01950	MYF_RS02135
OG0000471	MFC_RS02035	MYF_RS02215
OG0000472	MFC_RS01680	MYF_RS03535
OG0000473	MFC_RS02715	MYF_RS02960
OG0000474	MFC_RS02710	MYF_RS02965
OG0000475	MFC_RS02705	MYF_RS02970
OG0000476	MFC_RS00345	MYF_RS03040
OG0000477	MFC_RS03055	MYF_RS00930
OG0000478	MFC_RS02770	MYF_RS02905
OG0000479	MFC_RS00545	MYF_RS01680
OG0000480	MFC_RS03300	MYF_RS03350
OG0000481	MFC_RS01925	MYF_RS02110
OG0000482	MFC_RS01790	MYF_RS01975
OG0000483	MFC_RS00095	MYF_RS01375
OG0000484	MFC_RS02420	MYF_RS00160
OG0000487	MFC_RS00025	MYF_RS01445
OG0000488	MFC_RS00065	MYF_RS01405
OG0000489	MFC_RS00185	MYF_RS00050
OG0000490	MFC_RS00245	MYF_RS03140
OG0000491	MFC_RS00565	MYF_RS01700
OG0000492	MFC_RS00640	MYF_RS01775
OG0000493	MFC_RS00855	MYF_RS00535
OG0000494	MFC_RS00905	MYF_RS00585
OG0000495	MFC_RS01055	MYF_RS00735
OG0000496	MFC_RS01065	MYF_RS00745
OG0000497	MFC_RS01070	MYF_RS00750
OG0000498	MFC_RS01140	MYF_RS00820
OG0000499	MFC_RS01185	MYF_RS00865
OG0000500	MFC_RS01335	MYF_RS01255
OG0000501	MFC_RS01460	MYF_RS02590
OG0000502	MFC_RS01800	MYF_RS01985
OG0000503	MFC_RS01870	MYF_RS02055
OG0000504	MFC_RS02005	MYF_RS02190
OG0000505	MFC_RS02045	MYF_RS02225
OG0000506	MFC_RS02055	MYF_RS02235
OG0000507	MFC_RS02090	MYF_RS02270
OG0000508	MFC_RS02475	MYF_RS00215
OG0000509	MFC_RS02510	MYF_RS00250
OG0000510	MFC_RS02520	MYF_RS00260
OG0000511	MFC_RS02655	MYF_RS00395
OG0000512	MFC_RS02925	MYF_RS01055
OG0000513	MFC_RS02785	MYF_RS02890
OG0000516	MFC_RS00030	MYF_RS01440
OG0000517	MFC_RS00170	MYF_RS00065
OG0000518	MFC_RS01500	MYF_RS02630
OG0000519	MFC_RS01895	MYF_RS02080
OG0000520	MFC_RS02025	MYF_RS02205
OG0000521	MFC_RS02490	MYF_RS00230
OG0000522	MFC_RS02525	MYF_RS00265
OG0000523	MFC_RS02845	MYF_RS02830
OG0000524	MFC_RS03015	MYF_RS00890
OG0000528	MFC_RS00035	MYF_RS01435
OG0000529	MFC_RS00430	MYF_RS01565
OG0000530	MFC_RS00495	MYF_RS01630
OG0000531	MFC_RS00615	MYF_RS01750
OG0000532	MFC_RS00940	MYF_RS00620
OG0000533	MFC_RS02185	MYF_RS02365
OG0000534	MFC_RS02605	MYF_RS00345
OG0000535	MFC_RS00190	MYF_RS00045
OG0000536	MFC_RS00315	MYF_RS03070
OG0000537	MFC_RS01840	MYF_RS02025
OG0000538	MFC_RS02215	MYF_RS02395
OG0000539	MFC_RS02435	MYF_RS00175
OG0000540	MFC_RS03035	MYF_RS00910
OG0000541	MFC_RS01170	MYF_RS00850
OG0000542	MFC_RS02575	MYF_RS00315
OG0000547	MFC_RS00980	MYF_RS00660
OG0000548	MFC_RS01285	MYF_RS01205
OG0000549	MFC_RS01675	MYF_RS02805
OG0000550	MFC_RS02750	MYF_RS02925
OG0000551	MFC_RS02325	MYF_RS02505
OG0000555	MFC_RS03340	MYF_RS03410
OG0000589	MFC_RS03260	MYF_RS03220
OG0000595	MFC_RS01440	MYF_RS02570
OG0000596	MFC_RS02370	MYF_RS00110
OG0000597	MFC_RS01435	MYF_RS02565
OG0000598	MFC_RS02365	MYF_RS00105
OG0000599	MFC_RS02360	MYF_RS00100
OG0000602	MFC_RS00055	MYF_RS01415
OG0000627	MFC_RS00310	MYF_RS03075
OG0000634	MFC_RS00400	MYF_RS01535
OG0000635	MFC_RS01195	MYF_RS00875
OG0000636	MFC_RS03370	MYF_RS03460
OG0000637	MFC_RS01785	MYF_RS01970
OG0000638	MFC_RS02675	MYF_RS00415
OG0000639	MFC_RS03145	MYF_RS03175
OG0000640	MFC_RS03475	MYF_RS03500
OG0000641	MFC_RS03485	MYF_RS03510
OG0000641	MFC_RS03490	MYF_RS03515
OG0000643	MFC_RS03150	MYF_RS03180
OG0000655	MFC_RS01700	MYF_RS01885
OG0000666	MFC_RS03290	MYF_RS03340
OG0000679	MFC_RS03425	MYF_RS03405
OG0000680	MFC_RS03445	MYF_RS03475
