Orthogroup	MFC_ATCC27716_genes	MHP_MHP679_genes
OG0000276	MFC_RS02765	DR086_RS01460
OG0000277	MFC_RS02775	DR086_RS01470
OG0000278	MFC_RS02780	DR086_RS01475
OG0000279	MFC_RS02790	DR086_RS01485
OG0000280	MFC_RS02795	DR086_RS01490
OG0000281	MFC_RS03255	DR086_RS01495
OG0000282	MFC_RS02820	DR086_RS04860
OG0000283	MFC_RS02825	DR086_RS01525
OG0000284	MFC_RS02830	DR086_RS01530
OG0000285	MFC_RS02835	DR086_RS04865
OG0000286	MFC_RS02865	DR086_RS02220
OG0000287	MFC_RS02890	DR086_RS00990
OG0000288	MFC_RS02900	DR086_RS00980
OG0000289	MFC_RS02905	DR086_RS00975
OG0000290	MFC_RS03030	DR086_RS00865
OG0000291	MFC_RS03040	DR086_RS00875
OG0000292	MFC_RS03045	DR086_RS00880
OG0000293	MFC_RS03050	DR086_RS00885
OG0000294	MFC_RS03060	DR086_RS00895
OG0000295	MFC_RS03065	DR086_RS00900
OG0000296	MFC_RS03110	DR086_RS00940
OG0000297	MFC_RS03115	DR086_RS00945
OG0000298	MFC_RS02395	DR086_RS00035
OG0000299	MFC_RS02415	DR086_RS00060
OG0000300	MFC_RS02595	DR086_RS00240
OG0000301	MFC_RS02630	DR086_RS00275
OG0000302	MFC_RS02635	DR086_RS00280
OG0000303	MFC_RS00835	DR086_RS02275
OG0000304	MFC_RS00865	DR086_RS02725
OG0000305	MFC_RS01010	DR086_RS01090
OG0000306	MFC_RS01090	DR086_RS01015
OG0000307	MFC_RS01130	DR086_RS03215
OG0000308	MFC_RS03020	DR086_RS00845
OG0000309	MFC_RS03075	DR086_RS00910
OG0000310	MFC_RS02895	DR086_RS00985
OG0000311	MFC_RS01220	DR086_RS02160
OG0000312	MFC_RS01240	DR086_RS02175
OG0000313	MFC_RS01290	DR086_RS03315
OG0000314	MFC_RS01360	DR086_RS00455
OG0000315	MFC_RS01390	DR086_RS00485
OG0000316	MFC_RS01400	DR086_RS00495
OG0000317	MFC_RS00110	DR086_RS00585
OG0000318	MFC_RS00020	DR086_RS04760
OG0000319	MFC_RS00420	DR086_RS02100
OG0000320	MFC_RS00485	DR086_RS03145
OG0000321	MFC_RS00550	DR086_RS02000
OG0000322	MFC_RS00595	DR086_RS01955
OG0000323	MFC_RS00725	DR086_RS01820
OG0000324	MFC_RS01775	DR086_RS02060
OG0000325	MFC_RS01815	DR086_RS03035
OG0000326	MFC_RS01905	DR086_RS03370
OG0000327	MFC_RS01910	DR086_RS03365
OG0000328	MFC_RS01995	DR086_RS02855
OG0000329	MFC_RS02020	DR086_RS02875
OG0000330	MFC_RS02200	DR086_RS01690
OG0000331	MFC_RS02315	DR086_RS02930
OG0000332	MFC_RS01505	DR086_RS01370
OG0000333	MFC_RS01515	DR086_RS01360
OG0000334	MFC_RS01585	DR086_RS03540
OG0000335	MFC_RS01595	DR086_RS02315
OG0000336	MFC_RS02805	DR086_RS04855
OG0000337	MFC_RS00280	DR086_RS01270
OG0000338	MFC_RS00240	DR086_RS01230
OG0000339	MFC_RS00505	DR086_RS03465
OG0000340	MFC_RS00530	DR086_RS02020
OG0000341	MFC_RS01755	DR086_RS02040
OG0000342	MFC_RS01845	DR086_RS03065
OG0000343	MFC_RS01525	DR086_RS01350
OG0000344	MFC_RS00850	DR086_RS02290
OG0000345	MFC_RS02130	DR086_RS02665
OG0000346	MFC_RS02800	DR086_RS05090
OG0000347	MFC_RS00620	DR086_RS01930
OG0000348	MFC_RS01915	DR086_RS03360
OG0000349	MFC_RS02745	DR086_RS04845
OG0000350	MFC_RS03345	DR086_RS03205
OG0000351	MFC_RS00785	DR086_RS00370
OG0000352	MFC_RS01340	DR086_RS00435
OG0000353	MFC_RS00590	DR086_RS01960
OG0000354	MFC_RS00900	DR086_RS02760
OG0000355	MFC_RS01315	DR086_RS04750
OG0000356	MFC_RS01395	DR086_RS04755
OG0000357	MFC_RS01485	DR086_RS04840
OG0000358	MFC_RS01490	DR086_RS01385
OG0000359	MFC_RS01885	DR086_RS05045
OG0000360	MFC_RS02500	DR086_RS00145
OG0000361	MFC_RS02530	DR086_RS00175
OG0000362	MFC_RS02915	DR086_RS00965
OG0000363	MFC_RS00660	DR086_RS04910
OG0000365	MFC_RS00050	DR086_RS00535
OG0000366	MFC_RS00080	DR086_RS00555
OG0000367	MFC_RS00090	DR086_RS00565
OG0000368	MFC_RS00175	DR086_RS01165
OG0000369	MFC_RS00210	DR086_RS04830
OG0000370	MFC_RS00215	DR086_RS01205
OG0000371	MFC_RS00220	DR086_RS01210
OG0000372	MFC_RS00225	DR086_RS01215
OG0000373	MFC_RS00250	DR086_RS01240
OG0000374	MFC_RS00260	DR086_RS01250
OG0000375	MFC_RS00415	DR086_RS02105
OG0000376	MFC_RS00470	DR086_RS03130
OG0000377	MFC_RS00480	DR086_RS03140
OG0000378	MFC_RS00515	DR086_RS03415
OG0000379	MFC_RS00585	DR086_RS01965
OG0000380	MFC_RS00610	DR086_RS01940
OG0000381	MFC_RS00650	DR086_RS01895
OG0000382	MFC_RS00680	DR086_RS01865
OG0000383	MFC_RS00720	DR086_RS01825
OG0000384	MFC_RS00790	DR086_RS02230
OG0000385	MFC_RS00795	DR086_RS02235
OG0000386	MFC_RS00815	DR086_RS02255
OG0000387	MFC_RS00840	DR086_RS02280
OG0000388	MFC_RS00845	DR086_RS04925
OG0000389	MFC_RS00880	DR086_RS02785
OG0000390	MFC_RS00990	DR086_RS01110
OG0000391	MFC_RS01000	DR086_RS01100
OG0000392	MFC_RS01030	DR086_RS01075
OG0000393	MFC_RS01080	DR086_RS04815
OG0000394	MFC_RS01145	DR086_RS03645
OG0000395	MFC_RS01150	DR086_RS03015
OG0000396	MFC_RS01280	DR086_RS02215
OG0000397	MFC_RS01325	DR086_RS00420
OG0000398	MFC_RS01330	DR086_RS00425
OG0000399	MFC_RS01375	DR086_RS00470
OG0000400	MFC_RS01450	DR086_RS01425
OG0000401	MFC_RS01510	DR086_RS01365
OG0000402	MFC_RS01520	DR086_RS01355
OG0000403	MFC_RS01530	DR086_RS01345
OG0000404	MFC_RS03375, MFC_RS01555	DR086_RS01315
OG0000405	MFC_RS01570	DR086_RS01300
OG0000406	MFC_RS01600	DR086_RS02320
OG0000407	MFC_RS01605	DR086_RS04930
OG0000408	MFC_RS01610	DR086_RS02330
OG0000409	MFC_RS01615	DR086_RS02335
OG0000410	MFC_RS01650	DR086_RS02395
OG0000411	MFC_RS01660	DR086_RS02385
OG0000412	MFC_RS01665	DR086_RS02380
OG0000413	MFC_RS01705	DR086_RS01810
OG0000414	MFC_RS01715	DR086_RS01800
OG0000415	MFC_RS01720	DR086_RS01795
OG0000416	MFC_RS01730	DR086_RS01785
OG0000417	MFC_RS01760	DR086_RS02045
OG0000418	MFC_RS01765	DR086_RS02050
OG0000419	MFC_RS01825	DR086_RS03045
OG0000420	MFC_RS01860	DR086_RS03080
OG0000421	MFC_RS01890	DR086_RS03385
OG0000422	MFC_RS01900	DR086_RS03375
OG0000423	MFC_RS01955	DR086_RS02815
OG0000424	MFC_RS01960	DR086_RS02820
OG0000425	MFC_RS01970	DR086_RS02830
OG0000426	MFC_RS01975	DR086_RS04980
OG0000427	MFC_RS02000	DR086_RS04985
OG0000428	MFC_RS02030	DR086_RS02885
OG0000429	MFC_RS02120	DR086_RS02655
OG0000430	MFC_RS02165	DR086_RS02700
OG0000431	MFC_RS02175	DR086_RS02710
OG0000432	MFC_RS02195	DR086_RS01685
OG0000433	MFC_RS02205	DR086_RS01700
OG0000434	MFC_RS02210	DR086_RS01705
OG0000435	MFC_RS02225	DR086_RS01720
OG0000436	MFC_RS03535	DR086_RS01750
OG0000437	MFC_RS02270	DR086_RS01760
OG0000438	MFC_RS02275	DR086_RS01765
OG0000439	MFC_RS02280	DR086_RS01770
OG0000440	MFC_RS02295	DR086_RS02950
OG0000441	MFC_RS02335	DR086_RS02910
OG0000442	MFC_RS02350	DR086_RS03280
OG0000443	MFC_RS02410	DR086_RS00055
OG0000444	MFC_RS02425	DR086_RS00070
OG0000445	MFC_RS02450	DR086_RS00095
OG0000446	MFC_RS02480	DR086_RS00125
OG0000447	MFC_RS02485	DR086_RS00130
OG0000448	MFC_RS02515	DR086_RS00160
OG0000449	MFC_RS02540	DR086_RS00185
OG0000450	MFC_RS02550	DR086_RS00195
OG0000451	MFC_RS02590	DR086_RS00235
OG0000452	MFC_RS02615	DR086_RS00260
OG0000453	MFC_RS02650	DR086_RS00295
OG0000455	MFC_RS02700	DR086_RS02435
OG0000456	MFC_RS02815	DR086_RS01515
OG0000457	MFC_RS02840	DR086_RS01540
OG0000458	MFC_RS02885	DR086_RS03680
OG0000459	MFC_RS02910	DR086_RS00970
OG0000460	MFC_RS02920	DR086_RS00960
OG0000461	MFC_RS03080	DR086_RS00915
OG0000462	MFC_RS03085	DR086_RS00920
OG0000463	MFC_RS03090	DR086_RS00925
OG0000464	MFC_RS03100	DR086_RS00930
OG0000465	MFC_RS03105	DR086_RS00935
OG0000466	MFC_RS02620	DR086_RS00265
OG0000467	MFC_RS03500	DR086_RS04810
OG0000468	MFC_RS01370	DR086_RS00465
OG0000469	MFC_RS00045	DR086_RS00525
OG0000470	MFC_RS01950	DR086_RS03975
OG0000471	MFC_RS02035	DR086_RS02890
OG0000472	MFC_RS01680	DR086_RS03165
OG0000473	MFC_RS02715	DR086_RS02420
OG0000474	MFC_RS02710	DR086_RS02425
OG0000475	MFC_RS02705	DR086_RS02430
OG0000476	MFC_RS00345	DR086_RS01775
OG0000477	MFC_RS03055	DR086_RS00890
OG0000478	MFC_RS02770	DR086_RS01465
OG0000479	MFC_RS00545	DR086_RS02005
OG0000480	MFC_RS03300	DR086_RS03935
OG0000481	MFC_RS01925	DR086_RS03350
OG0000482	MFC_RS01790	DR086_RS02505
OG0000483	MFC_RS00095	DR086_RS00570
OG0000484	MFC_RS02420	DR086_RS04740
OG0000487	MFC_RS00025	DR086_RS04765
OG0000488	MFC_RS00065	DR086_RS00540
OG0000489	MFC_RS00185	DR086_RS01175
OG0000490	MFC_RS00245	DR086_RS01235
OG0000491	MFC_RS00565	DR086_RS01985
OG0000492	MFC_RS00640	DR086_RS01910
OG0000493	MFC_RS00855	DR086_RS02295
OG0000494	MFC_RS00905	DR086_RS02755
OG0000495	MFC_RS01055	DR086_RS01045
OG0000496	MFC_RS01065	DR086_RS01035
OG0000497	MFC_RS01070	DR086_RS01030
OG0000498	MFC_RS01140	DR086_RS03185
OG0000499	MFC_RS01185	DR086_RS02985
OG0000500	MFC_RS01335	DR086_RS00430
OG0000501	MFC_RS01460	DR086_RS01415
OG0000502	MFC_RS01800	DR086_RS02495
OG0000503	MFC_RS01870	DR086_RS03095
OG0000504	MFC_RS02005	DR086_RS02865
OG0000505	MFC_RS02045	DR086_RS02575
OG0000506	MFC_RS02055	DR086_RS02585
OG0000507	MFC_RS02090	DR086_RS02620
OG0000508	MFC_RS02475	DR086_RS00120
OG0000509	MFC_RS02510	DR086_RS00155
OG0000510	MFC_RS02520	DR086_RS00165
OG0000511	MFC_RS02655	DR086_RS00300
OG0000512	MFC_RS02925	DR086_RS00955
OG0000513	MFC_RS02785	DR086_RS01480
OG0000516	MFC_RS00030	DR086_RS04770
OG0000517	MFC_RS00170	DR086_RS01160
OG0000518	MFC_RS01500	DR086_RS01375
OG0000519	MFC_RS01895	DR086_RS03380
OG0000520	MFC_RS02025	DR086_RS02880
OG0000521	MFC_RS02490	DR086_RS00135
OG0000522	MFC_RS02525	DR086_RS00170
OG0000523	MFC_RS02845	DR086_RS01545
OG0000524	MFC_RS03015	DR086_RS00840
OG0000525	MFC_RS01685	DR086_RS05020
OG0000528	MFC_RS00035	DR086_RS04775
OG0000529	MFC_RS00430	DR086_RS02090
OG0000530	MFC_RS00495	DR086_RS03450
OG0000531	MFC_RS00615	DR086_RS01935
OG0000532	MFC_RS00940	DR086_RS03285
OG0000533	MFC_RS02185	DR086_RS02795
OG0000534	MFC_RS02605	DR086_RS00250
OG0000535	MFC_RS00190	DR086_RS04825
OG0000536	MFC_RS00315	DR086_RS02465
OG0000537	MFC_RS01840	DR086_RS03060
OG0000538	MFC_RS02215	DR086_RS01710
OG0000539	MFC_RS02435	DR086_RS00080
OG0000540	MFC_RS03035	DR086_RS00870
OG0000541	MFC_RS01170	DR086_RS03000
OG0000542	MFC_RS02575	DR086_RS00220
OG0000547	MFC_RS00980	DR086_RS01120
OG0000548	MFC_RS01285	DR086_RS03320
OG0000549	MFC_RS01675	DR086_RS05015
OG0000550	MFC_RS02750	DR086_RS01445
OG0000551	MFC_RS02325	DR086_RS02920
OG0000589	MFC_RS03260	DR086_RS03515
OG0000595	MFC_RS01440	DR086_RS02900
OG0000597	MFC_RS01435	DR086_RS02905
