Orthogroup	MHP_MHP653_proteins	MFC_ATCC27716_proteins
OG0000106	WP_135618884.1	WP_002557516.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_308507045.1	WP_002557519.1
OG0000109	WP_146379632.1	WP_002557520.1
OG0000110	WP_146379648.1	WP_002557522.1
OG0000111	WP_225972982.1	WP_002557523.1
OG0000112	WP_258555931.1	WP_002557525.1
OG0000113	WP_020835765.1	WP_002557528.1
OG0000114	WP_258555964.1	WP_002557530.1
OG0000115	WP_011290245.1	WP_002557532.1
OG0000116	WP_160615716.1	WP_002557534.1
OG0000117	WP_160615714.1	WP_002557535.1
OG0000118	WP_308507037.1	WP_002557540.1
OG0000119	WP_160615708.1	WP_002557541.1
OG0000120	WP_160585676.1	WP_002557544.1
OG0000121	WP_011284032.1	WP_002557548.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_002557553.1
OG0000124	WP_011290118.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_011290120.1	WP_002557557.1
OG0000127	WP_011290122.1	WP_002557559.1
OG0000128	WP_160585820.1	WP_002557562.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_002557565.1
OG0000131	WP_146379566.1	WP_002557566.1
OG0000132	WP_094521636.1	WP_002557569.1
OG0000133	WP_094521764.1	WP_002557574.1
OG0000134	WP_308507044.1	WP_002557575.1
OG0000135	WP_160585148.1	WP_002557577.1
OG0000136	WP_135618546.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_002557585.1
OG0000138	WP_160584793.1	WP_002557590.1
OG0000139	WP_011290017.1	WP_002557594.1
OG0000140	WP_160584795.1	WP_002557595.1
OG0000141	WP_011290345.1	WP_002557602.1
OG0000142	WP_160615645.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_002557607.1
OG0000144	WP_160615647.1	WP_002557609.1
OG0000145	WP_228365394.1	WP_002557611.1
OG0000146	WP_160615649.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_135619012.1	WP_002557618.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_135619006.1	WP_002557623.1
OG0000151	WP_020835828.1	WP_002557634.1
OG0000152	WP_020835827.1	WP_002557635.1
OG0000153	WP_160615699.1	WP_002557636.1
OG0000154	WP_011206345.1	WP_002557638.1
OG0000155	WP_020835820.1	WP_002557642.1
OG0000156	WP_011206335.1	WP_002557647.1
OG0000157	WP_020835818.1	WP_002557648.1
OG0000158	WP_160615687.1	WP_002557650.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_160590318.1	WP_002557668.1
OG0000161	WP_011206287.1	WP_002557669.1
OG0000162	WP_044272532.1	WP_002557671.1
OG0000163	WP_160615892.1	WP_002557672.1
OG0000164	WP_146379571.1	WP_002557677.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_160615554.1	WP_002557689.1
OG0000167	WP_011206207.1	WP_002557692.1
OG0000168	WP_160585173.1	WP_002557693.1
OG0000169	WP_160615597.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_002557704.1
OG0000171	WP_146379717.1	WP_002557706.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_011290368.1	WP_002557708.1
OG0000174	WP_160615593.1	WP_002557709.1
OG0000175	WP_160615587.1	WP_002557712.1
OG0000176	WP_146379725.1	WP_002557719.1
OG0000177	WP_160585273.1	WP_002557720.1
OG0000178	WP_044272620.1	WP_002557721.1
OG0000179	WP_160590183.1	WP_002557724.1
OG0000180	WP_160585638.1	WP_002557725.1
OG0000181	WP_160585796.1	WP_002557727.1
OG0000182	WP_011284337.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_160585238.1	WP_002557740.1
OG0000185	WP_020835897.1	WP_002557743.1
OG0000186	WP_020835656.1	WP_002557750.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_160615909.1	WP_002557756.1
OG0000190	WP_160615911.1	WP_002557757.1
OG0000191	WP_020835755.1	WP_002557761.1
OG0000192	WP_011205992.1	WP_002557763.1
OG0000193	WP_011283999.1	WP_002557766.1
OG0000194	WP_011290023.1	WP_002557768.1
OG0000195	WP_160615782.1	WP_002557769.1
OG0000196	WP_179695841.1	WP_002557774.1
OG0000197	WP_041361572.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_014579644.1	WP_002557781.1
OG0000201	WP_011283934.1	WP_002557783.1
OG0000202	WP_011206073.1	WP_002557791.1
OG0000203	WP_011206072.1	WP_002557792.1
OG0000204	WP_160615804.1	WP_002557793.1
OG0000205	WP_160584811.1	WP_002557794.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_011206063.1	WP_002557801.1
OG0000208	WP_135618591.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_135618604.1	WP_002557811.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_160585195.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011290055.1	WP_002557818.1
OG0000216	WP_160585193.1	WP_002557819.1
OG0000217	WP_160585731.1	WP_002557820.1
OG0000218	WP_011290058.1	WP_002557822.1
OG0000219	WP_011206041.1	WP_002557823.1
OG0000220	WP_135618616.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_160615864.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011290064.1	WP_002557833.1
OG0000228	WP_160615866.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_011206027.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_002557838.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_146379528.1	WP_002557842.1
OG0000234	WP_160615752.1	WP_002557848.1
OG0000235	WP_160615754.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_002557851.1
OG0000237	WP_160615756.1	WP_002557855.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_146379700.1	WP_002557863.1
OG0000240	WP_020835851.1	WP_002557864.1
OG0000241	WP_044272588.1	WP_002557866.1
OG0000242	WP_020835854.1	WP_002557867.1
OG0000243	WP_146379703.1	WP_002557868.1
OG0000244	WP_160615603.1	WP_002557870.1
OG0000245	WP_146379707.1	WP_002557872.1
OG0000246	WP_258555948.1	WP_002557875.1
OG0000247	WP_308507025.1	WP_002557877.1
OG0000248	WP_052259122.1	WP_002557882.1
OG0000249	WP_160615537.1	WP_002557883.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_146379462.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_002557893.1
OG0000253	WP_160589983.1	WP_002557894.1
OG0000254	WP_160589986.1	WP_002557896.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_002557904.1
OG0000258	WP_011289974.1	WP_002557905.1
OG0000259	WP_220191250.1	WP_002557911.1
OG0000260	WP_146379471.1	WP_002557913.1
OG0000261	WP_160615523.1	WP_002557915.1
OG0000262	WP_135618519.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_011283887.1	WP_002557925.1
OG0000265	WP_044284579.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_146379477.1	WP_002557932.1
OG0000268	WP_160615515.1	WP_002557933.1
OG0000269	WP_011206134.1	WP_002557936.1
OG0000270	WP_160615634.1	WP_002557945.1
OG0000271	WP_160615632.1	WP_002557946.1
OG0000272	WP_146379758.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_160590207.1	WP_002557951.1
OG0000275	WP_308507031.1	WP_002557952.1
OG0000276	WP_160600741.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_002557956.1
OG0000278	WP_011206493.1	WP_002557957.1
OG0000279	WP_011290418.1	WP_002557959.1
OG0000280	WP_011206490.1	WP_002557960.1
OG0000281	WP_011290416.1	WP_002557961.1
OG0000282	WP_160615626.1	WP_002557964.1
OG0000283	WP_014580009.1	WP_002557965.1
OG0000284	WP_011206484.1	WP_002557966.1
OG0000285	WP_160615625.1	WP_002557967.1
OG0000286	WP_160615969.1	WP_002557972.1
OG0000287	WP_160585766.1	WP_002557978.1
OG0000288	WP_160615882.1	WP_002557980.1
OG0000289	WP_160615884.1	WP_002557981.1
OG0000290	WP_160590123.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_160615820.1	WP_002558006.1
OG0000293	WP_160615822.1	WP_002558007.1
OG0000294	WP_160615824.1	WP_002558009.1
OG0000295	WP_160615826.1	WP_002558010.1
OG0000296	WP_044272552.1	WP_002558018.1
OG0000297	WP_160608046.1	WP_002558019.1
OG0000298	WP_160615535.1	WP_039387485.1
OG0000299	WP_094521545.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_135618529.1	WP_039387501.1
OG0000302	WP_011205925.1	WP_039387504.1
OG0000303	WP_146379484.1	WP_039387509.1
OG0000304	WP_011283978.1	WP_039387510.1
OG0000305	WP_160590159.1	WP_039387514.1
OG0000306	WP_044272563.1	WP_039387523.1
OG0000307	WP_011206346.1	WP_039387525.1
OG0000308	WP_160607822.1	WP_039387535.1
OG0000309	WP_146379668.1	WP_039387539.1
OG0000310	WP_011206298.1	WP_039387544.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_160585159.1	WP_039387550.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_160615552.1	WP_039387562.1
OG0000315	WP_160585171.1	WP_039387569.1
OG0000316	WP_160615557.1	WP_039387574.1
OG0000317	WP_135618864.1	WP_039387578.1
OG0000318	WP_220191255.1	WP_039387594.1
OG0000319	WP_135618880.1	WP_039387606.1
OG0000320	WP_160615720.1	WP_039387609.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_146379567.1	WP_039387619.1
OG0000324	WP_094521693.1	WP_039387626.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_160615787.1	WP_039387636.1
OG0000327	WP_146379506.1	WP_039387638.1
OG0000328	WP_041361583.1	WP_039387644.1
OG0000329	WP_135618597.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_039387658.1
OG0000331	WP_160615605.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_014579986.1	WP_039387693.1
OG0000335	WP_160615903.1	WP_039387695.1
OG0000336	WP_011284361.1	WP_039387704.1
OG0000337	WP_011284387.1	WP_039387722.1
OG0000338	WP_094521531.1	WP_039387723.1
OG0000339	WP_160590509.1	WP_039387775.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_011290226.1	WP_039387782.1
OG0000342	WP_146379499.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_160615858.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_308507030.1	WP_051054328.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_225973015.1	WP_081605285.1
OG0000349	WP_094521522.1	WP_155897264.1
OG0000350	WP_258555926.1	WP_201771011.1
OG0000351	WP_308507022.1	WP_220189978.1
OG0000352	WP_160615546.1	WP_220190833.1
OG0000353	WP_160607804.1	WP_231237861.1
OG0000354	WP_308507047.1	WP_231237863.1
OG0000355	WP_220191254.1	WP_231237866.1
OG0000356	WP_308507027.1	WP_231237867.1
OG0000357	WP_308507029.1	WP_231237871.1
OG0000358	WP_160615589.1	WP_231237872.1
OG0000359	WP_308507041.1	WP_231237874.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_160615527.1	WP_231237880.1
OG0000362	WP_011290282.1	WP_231237889.1
OG0000363	WP_308507035.1	WP_334199004.1
OG0000365	WP_160615561.1	WP_002557448.1
OG0000366	WP_160615564.1	WP_002557453.1
OG0000367	WP_220191257.1	WP_002557455.1
OG0000368	WP_011289935.1	WP_002557467.1
OG0000369	WP_011289930.1	WP_002557475.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000371	WP_160615744.1	WP_002557477.1
OG0000372	WP_160584860.1	WP_002557478.1
OG0000373	WP_160584865.1	WP_002557482.1
OG0000374	WP_160615738.1	WP_002557484.1
OG0000375	WP_160615869.1	WP_002557511.1
OG0000376	WP_146379646.1	WP_002557524.1
OG0000377	WP_160615722.1	WP_002557526.1
OG0000378	WP_160615718.1	WP_002557533.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_160588252.1	WP_002557550.1
OG0000381	WP_160615661.1	WP_002557558.1
OG0000382	WP_160590276.1	WP_002557564.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_014579586.1	WP_002557571.1
OG0000385	WP_160615953.1	WP_002557572.1
OG0000386	WP_160615852.1	WP_002557576.1
OG0000387	WP_160615854.1	WP_002557580.1
OG0000388	WP_160615856.1	WP_002557581.1
OG0000389	WP_160615931.1	WP_002557589.1
OG0000390	WP_160584967.1	WP_002557608.1
OG0000391	WP_160590161.1	WP_002557610.1
OG0000392	WP_020835840.1	WP_002557615.1
OG0000393	WP_160615659.1	WP_002557627.1
OG0000394	WP_160615695.1	WP_002557640.1
OG0000395	WP_160615693.1	WP_002557641.1
OG0000396	WP_160615894.1	WP_002557673.1
OG0000397	WP_160585022.1	WP_002557680.1
OG0000398	WP_146379611.1	WP_002557681.1
OG0000399	WP_160590031.1	WP_002557691.1
OG0000400	WP_044272610.1	WP_002557703.1
OG0000401	WP_135619070.1	WP_002557714.1
OG0000402	WP_160615583.1	WP_002557715.1
OG0000403	WP_220191264.1	WP_002557717.1
OG0000404	WP_160615581.1	WP_002557722.1, WP_002557723.1
OG0000405	WP_160615579.1	WP_002557726.1
OG0000406	WP_160585802.1	WP_002557731.1
OG0000407	WP_160615901.1	WP_002557732.1
OG0000408	WP_160606868.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_160615907.1	WP_002557739.1
OG0000411	WP_160615905.1	WP_002557741.1
OG0000412	WP_146379741.1	WP_002557742.1
OG0000413	WP_160615667.1	WP_002557749.1
OG0000414	WP_011290131.1	WP_002557751.1
OG0000415	WP_135618720.1	WP_002557752.1
OG0000416	WP_011284056.1	WP_002557754.1
OG0000417	WP_160615914.1	WP_002557759.1
OG0000418	WP_160588285.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_011206085.1	WP_002557780.1
OG0000421	WP_146379503.1	WP_002557784.1
OG0000422	WP_146379504.1	WP_002557786.1
OG0000423	WP_160584813.1	WP_002557796.1
OG0000424	WP_160584816.1	WP_002557797.1
OG0000425	WP_011206065.1	WP_002557799.1
OG0000426	WP_011206064.1	WP_002557800.1
OG0000427	WP_135618593.1	WP_002557805.1
OG0000428	WP_160615808.1	WP_002557810.1
OG0000429	WP_011206036.1	WP_002557828.1
OG0000430	WP_050195474.1	WP_002557837.1
OG0000431	WP_011290067.1	WP_002557839.1
OG0000432	WP_160615748.1	WP_002557843.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000434	WP_044284602.1	WP_002557846.1
OG0000435	WP_160584678.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_160615758.1	WP_002557860.1
OG0000438	WP_160615760.1	WP_002557861.1
OG0000439	WP_160590263.1	WP_002557862.1
OG0000440	WP_160615607.1	WP_002557865.1
OG0000441	WP_011284299.1	WP_002557873.1
OG0000442	WP_160615834.1	WP_002557876.1
OG0000443	WP_044272282.1	WP_002557888.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_044284571.1	WP_002557895.1
OG0000446	WP_160615529.1	WP_002557901.1
OG0000447	WP_014579553.1	WP_002557902.1
OG0000448	WP_011289976.1	WP_002557907.1
OG0000449	WP_011289981.1	WP_002557912.1
OG0000450	WP_160615525.1	WP_002557914.1
OG0000451	WP_160615519.1	WP_002557923.1
OG0000452	WP_258555899.1	WP_002557928.1
OG0000453	WP_011289994.1	WP_002557934.1
OG0000455	WP_160590360.1	WP_002557941.1
OG0000456	WP_011206487.1	WP_002557963.1
OG0000457	WP_160615623.1	WP_002557968.1
OG0000458	WP_020835790.1	WP_002557977.1
OG0000459	WP_014579890.1	WP_002557982.1
OG0000460	WP_160615886.1	WP_002557984.1
OG0000461	WP_160615828.1	WP_002558012.1
OG0000462	WP_160615830.1	WP_002558013.1
OG0000463	WP_135618955.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_002558016.1
OG0000465	WP_160585762.1	WP_002558017.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_160615679.1	WP_039387531.1
OG0000468	WP_160607658.1	WP_039387564.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_135618603.1	WP_039387651.1
OG0000472	WP_160615918.1	WP_039387700.1
OG0000473	WP_044272671.1	WP_039387713.1
OG0000474	WP_160615636.1	WP_039387714.1
OG0000475	WP_160615638.1	WP_039387715.1
OG0000476	WP_011205931.1	WP_039387719.1
OG0000477	WP_160590131.1	WP_039387750.1
OG0000478	WP_160615628.1	WP_039387817.1
OG0000479	WP_020835636.1	WP_051054268.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_044272343.1	WP_196792421.1
OG0000482	WP_160585562.1	WP_201771017.1
OG0000483	WP_146379591.1	WP_231237857.1
OG0000484	WP_308507023.1	WP_231237877.1
OG0000487	WP_220191256.1	WP_002557443.1
OG0000488	WP_160615563.1	WP_002557450.1
OG0000489	WP_011205849.1	WP_002557469.1
OG0000490	WP_160615740.1	WP_002557481.1
OG0000491	WP_020835639.1	WP_002557542.1
OG0000492	WP_160615704.1	WP_002557556.1
OG0000493	WP_160585737.1	WP_002557584.1
OG0000494	WP_052269169.1	WP_002557592.1
OG0000495	WP_146379689.1	WP_002557622.1
OG0000496	WP_160615655.1	WP_002557624.1
OG0000497	WP_160615657.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_160615689.1	WP_002557649.1
OG0000500	WP_146379610.1	WP_002557682.1
OG0000501	WP_220191265.1	WP_002557705.1
OG0000502	WP_160585563.1	WP_002557767.1
OG0000503	WP_160606653.1	WP_002557782.1
OG0000504	WP_011283955.1	WP_002557806.1
OG0000505	WP_011290053.1	WP_002557812.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000507	WP_020835590.1	WP_002557821.1
OG0000508	WP_020835512.1	WP_002557900.1
OG0000509	WP_020835518.1	WP_002557906.1
OG0000510	WP_011289977.1	WP_002557908.1
OG0000511	WP_011283896.1	WP_002557935.1
OG0000512	WP_160615888.1	WP_002557985.1
OG0000513	WP_041361708.1	WP_039387707.1
OG0000516	WP_011206214.1	WP_002557444.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000518	WP_160615585.1	WP_002557713.1
OG0000519	WP_160584803.1	WP_002557785.1
OG0000520	WP_135618599.1	WP_002557809.1
OG0000521	WP_020835515.1	WP_002557903.1
OG0000522	WP_135618505.1	WP_002557909.1
OG0000523	WP_258555910.1	WP_002557969.1
OG0000524	WP_160615677.1	WP_039387533.1
OG0000525	WP_160615921.1	WP_040538380.1
OG0000528	WP_160615559.1	WP_002557445.1
OG0000529	WP_011206243.1	WP_002557515.1
OG0000530	WP_160615927.1	WP_002557529.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000532	WP_011284067.1	WP_002557598.1
OG0000533	WP_011206110.1	WP_002557841.1
OG0000534	WP_160615517.1	WP_002557926.1
OG0000535	WP_160584854.1	WP_002557470.1
OG0000537	WP_160615784.1	WP_002557776.1
OG0000538	WP_160615750.1	WP_002557847.1
OG0000539	WP_146379463.1	WP_002557892.1
OG0000540	WP_160615818.1	WP_002558004.1
OG0000541	WP_160615691.1	WP_002557646.1
OG0000542	WP_011289986.1	WP_002557920.1
OG0000547	WP_011284286.1	WP_002557606.1
OG0000548	WP_020835662.1	WP_002557674.1
OG0000549	WP_160615916.1	WP_002557744.1
OG0000550	WP_220191147.1	WP_002557950.1
OG0000551	WP_146379706.1	WP_231237875.1
OG0000555	WP_308507032.1	WP_002557605.1
OG0000589	WP_160615957.1	WP_002557988.1
OG0000596	WP_014579752.1	WP_002557880.1
OG0000597	WP_220191267.1	WP_051054290.1
OG0000598	WP_258555966.1	WP_002557879.1
OG0000599	WP_160615943.1	WP_039387482.1
