Orthogroup	MHP_ES2L_protein	MHP_MHP682_protein
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_179220977.1	WP_020835484.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_179220974.1	WP_146379443.1
OG0000101	WP_011205841.1	WP_160584860.1
OG0000102	WP_179220973.1	WP_160585829.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_179221280.1	WP_160585758.1
OG0000105	WP_179221279.1	WP_258555535.1
OG0000106	WP_179221278.1	WP_160585759.1
OG0000107	WP_179221277.1	WP_160585760.1
OG0000108	WP_011206522.1	WP_011206522.1
OG0000109	WP_179221276.1	WP_160585761.1
OG0000110	WP_179221275.1	WP_011290440.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_240536650.1	WP_160585050.1
OG0000113	WP_179221106.1	WP_160585693.1
OG0000114	WP_179221107.1	WP_160585692.1
OG0000115	WP_160585202.1	WP_160585769.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011206240.1	WP_011284163.1
OG0000118	WP_011206242.1	WP_135618882.1
OG0000119	WP_179221138.1	WP_160585770.1
OG0000120	WP_160585203.1	WP_160585771.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_192894278.1
OG0000123	WP_179221149.1	WP_160585726.1
OG0000124	WP_240536600.1	WP_258555345.1
OG0000125	WP_179221147.1	WP_160585724.1
OG0000126	WP_240536599.1	WP_237697204.1
OG0000127	WP_044284661.1	WP_011206271.1
OG0000128	WP_011206268.1	WP_160585296.1
OG0000129	WP_240536596.1	WP_258555347.1
OG0000130	WP_179221143.1	WP_160585718.1
OG0000131	WP_179221065.1	WP_160585556.1
OG0000132	WP_179221066.1	WP_135618674.1
OG0000133	WP_179221067.1	WP_160585555.1
OG0000134	WP_179221068.1	WP_160585681.1
OG0000135	WP_179221069.1	WP_160585680.1
OG0000136	WP_179221071.1	WP_011290108.1
OG0000137	WP_179221072.1	WP_160585678.1
OG0000138	WP_179221073.1	WP_160585677.1
OG0000139	WP_011205965.1	WP_011205965.1
OG0000140	WP_011284027.1	WP_160585676.1
OG0000141	WP_179221074.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_160585674.1
OG0000144	WP_020835645.1	WP_160585673.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011205953.1	WP_011205953.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_160585671.1
OG0000149	WP_179221078.1	WP_160585670.1
OG0000150	WP_011205948.1	WP_011290122.1
OG0000151	WP_179221080.1	WP_160585821.1
OG0000152	WP_179221081.1	WP_160585820.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_179221082.1	WP_160585810.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_179221083.1	WP_146379566.1
OG0000157	WP_179221084.1	WP_160585809.1
OG0000158	WP_179221086.1	WP_094521636.1
OG0000159	WP_041361727.1	WP_160585832.1
OG0000160	WP_179221011.1	WP_160585740.1
OG0000161	WP_179221012.1	WP_094521764.1
OG0000162	WP_237697227.1	WP_308507009.1
OG0000163	WP_011290004.1	WP_011206121.1
OG0000164	WP_160585148.1	WP_011206120.1
OG0000165	WP_011206119.1	WP_011206119.1
OG0000166	WP_179221013.1	WP_160585739.1
OG0000167	WP_179221014.1	WP_160585142.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_179221020.1	WP_160584791.1
OG0000170	WP_179221021.1	WP_160585793.1
OG0000171	WP_179221023.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_011206101.1
OG0000173	WP_160600792.1	WP_146379698.1
OG0000174	WP_179221197.1	WP_160585625.1
OG0000175	WP_160600789.1	WP_160585624.1
OG0000176	WP_011206391.1	WP_011206391.1
OG0000177	WP_011206390.1	WP_011290340.1
OG0000178	WP_179221195.1	WP_160585623.1
OG0000179	WP_179221194.1	WP_020835843.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_020835840.1	WP_160585621.1
OG0000183	WP_179221191.1	WP_135619012.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_179221190.1	WP_160585619.1
OG0000186	WP_135619008.1	WP_146379689.1
OG0000187	WP_135619006.1	WP_135619006.1
OG0000188	WP_179221189.1	WP_160585683.1
OG0000189	WP_160600765.1	WP_160585685.1
OG0000190	WP_011206348.1	WP_160585686.1
OG0000191	WP_160615699.1	WP_011206347.1
OG0000192	WP_011206345.1	WP_011206345.1
OG0000193	WP_179221184.1	WP_160585121.1
OG0000194	WP_179221183.1	WP_020835820.1
OG0000195	WP_179221182.1	WP_160585657.1
OG0000196	WP_179221181.1	WP_160585658.1
OG0000197	WP_011206334.1	WP_014579918.1
OG0000198	WP_179221179.1	WP_146379680.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_179221158.1	WP_160590318.1
OG0000201	WP_146379654.1	WP_011206287.1
OG0000202	WP_179221092.1	WP_011290136.1
OG0000203	WP_011290137.1	WP_011284063.1
OG0000204	WP_179221094.1	WP_135618732.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_011206196.1	WP_011206196.1
OG0000207	WP_020835709.1	WP_146379611.1
OG0000208	WP_179221117.1	WP_160585603.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_179221120.1	WP_011284126.1
OG0000211	WP_179221122.1	WP_160585597.1
OG0000212	WP_135618846.1	WP_011206207.1
OG0000213	WP_135618848.1	WP_160585173.1
OG0000214	WP_179221203.1	WP_160585652.1
OG0000215	WP_050195447.1	WP_160585650.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_135619059.1	WP_160585649.1
OG0000218	WP_011290369.1	WP_160585648.1
OG0000219	WP_179221218.1	WP_160585644.1
OG0000220	WP_179221220.1	WP_011206432.1
OG0000221	WP_179221221.1	WP_160585643.1
OG0000222	WP_179221225.1	WP_011284321.1
OG0000223	WP_160585273.1	WP_160585273.1
OG0000224	WP_011206441.1	WP_044272620.1
OG0000225	WP_179221226.1	WP_160585640.1
OG0000226	WP_179221227.1	WP_160585639.1
OG0000227	WP_160600945.1	WP_160585638.1
OG0000228	WP_179221228.1	WP_160585637.1
OG0000229	WP_179221235.1	WP_160585796.1
OG0000230	WP_014579987.1	WP_160585798.1
OG0000231	WP_179221237.1	WP_160585802.1
OG0000232	WP_179221238.1	WP_160585800.1
OG0000233	WP_011206457.1	WP_044284717.1
OG0000234	WP_011206458.1	WP_160585801.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_146379743.1	WP_011206468.1
OG0000239	WP_179221244.1	WP_160585787.1
OG0000240	WP_179221243.1	WP_146379741.1
OG0000241	WP_011290398.1	WP_020835897.1
OG0000242	WP_179221245.1	WP_160585783.1
OG0000243	WP_146379568.1	WP_146379568.1
OG0000244	WP_011205937.1	WP_160585782.1
OG0000245	WP_179221087.1	WP_011290131.1
OG0000246	WP_179221088.1	WP_135618720.1
OG0000247	WP_011284055.1	WP_160585781.1
OG0000248	WP_011284056.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_179221142.1	WP_160585791.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_240536592.1	WP_160585789.1
OG0000253	WP_135619204.1	WP_020835755.1
OG0000254	WP_179221288.1	WP_011284001.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_179221058.1	WP_160585563.1
OG0000257	WP_011290023.1	WP_011283923.1
OG0000258	WP_011290024.1	WP_094521583.1
OG0000259	WP_011206093.1	WP_160584799.1
OG0000260	WP_020835572.1	WP_160585616.1
OG0000261	WP_179221025.1	WP_228729168.1
OG0000262	WP_041361572.1	WP_160584800.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_020835574.1
OG0000266	WP_179221026.1	WP_160585615.1
OG0000267	WP_020835576.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_179221028.1	WP_011290034.1
OG0000270	WP_179221029.1	WP_160585613.1
OG0000271	WP_179221030.1	WP_146379504.1
OG0000272	WP_011206073.1	WP_160584809.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_179221034.1	WP_160585611.1
OG0000275	WP_179221035.1	WP_160585610.1
OG0000276	WP_011206068.1	WP_135618585.1
OG0000277	WP_179221037.1	WP_011290043.1
OG0000278	WP_011206066.1	WP_011290044.1
OG0000279	WP_011283949.1	WP_011206065.1
OG0000280	WP_011283950.1	WP_011206064.1
OG0000281	WP_179221038.1	WP_160585609.1
OG0000282	WP_179221039.1	WP_135618591.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_179221042.1	WP_135618601.1
OG0000285	WP_044284597.1	WP_135618604.1
OG0000286	WP_135618610.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_160585195.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_014579616.1	WP_160585193.1
OG0000292	WP_011206044.1	WP_160585731.1
OG0000293	WP_179221043.1	WP_011290058.1
OG0000294	WP_020835591.1	WP_220190714.1
OG0000295	WP_179221044.1	WP_160585732.1
OG0000296	WP_011206039.1	WP_160585733.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_179221045.1	WP_041361589.1
OG0000299	WP_044284599.1	WP_160585734.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_179221046.1	WP_011206031.1
OG0000302	WP_179221047.1	WP_160585735.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_011206027.1
OG0000305	WP_014579604.1	WP_011290066.1
OG0000306	WP_179221048.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_179221050.1	WP_011290071.1
OG0000310	WP_179221051.1	WP_160585570.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_179221053.1	WP_160585569.1
OG0000313	WP_044284822.1	WP_160585568.1
OG0000314	WP_020835610.1	WP_160584678.1
OG0000315	WP_160587980.1	WP_160585567.1
OG0000316	WP_011283989.1	WP_011283989.1
OG0000317	WP_179221055.1	WP_160585566.1
OG0000318	WP_011206006.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_160584684.1	WP_014579672.1
OG0000321	WP_179221056.1	WP_160585565.1
OG0000322	WP_179221057.1	WP_160585564.1
OG0000323	WP_011206399.1	WP_011290347.1
OG0000324	WP_011206400.1	WP_160585627.1
OG0000325	WP_160585229.1	WP_160585628.1
OG0000326	WP_160585231.1	WP_044284696.1
OG0000327	WP_179221199.1	WP_160585629.1
OG0000328	WP_014579955.1	WP_160585630.1
OG0000329	WP_011206406.1	WP_160585631.1
OG0000330	WP_020835856.1	WP_160585633.1
OG0000331	WP_011284299.1	WP_011284299.1
OG0000332	WP_240536630.1	WP_050195463.1
OG0000333	WP_179220985.1	WP_160585550.1
OG0000334	WP_179220986.1	WP_160585549.1
OG0000335	WP_020835500.1	WP_020835500.1
OG0000336	WP_179220988.1	WP_160585547.1
OG0000337	WP_011289957.1	WP_160584772.1
OG0000338	WP_160600657.1	WP_044272282.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_179220991.1	WP_014579544.1
OG0000341	WP_011205882.1	WP_160585545.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_179220992.1	WP_135618489.1
OG0000344	WP_044284571.1	WP_160585544.1
OG0000345	WP_160584767.1	WP_160585543.1
OG0000346	WP_014579550.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_179220993.1	WP_044272682.1
OG0000349	WP_135618497.1	WP_160585542.1
OG0000350	WP_014579553.1	WP_014579553.1
OG0000351	WP_020835515.1	WP_160585541.1
OG0000352	WP_011289973.1	WP_160585540.1
OG0000353	WP_011283871.1	WP_011289974.1
OG0000354	WP_179220994.1	WP_020835518.1
OG0000355	WP_179220995.1	WP_011205897.1
OG0000356	WP_160600677.1	WP_160585539.1
OG0000357	WP_179220996.1	WP_160585538.1
OG0000358	WP_240536633.1	WP_041361723.1
OG0000359	WP_179220998.1	WP_160585537.1
OG0000360	WP_011289982.1	WP_011289982.1
OG0000361	WP_179220999.1	WP_160585536.1
OG0000362	WP_179221000.1	WP_160585535.1
OG0000363	WP_135618519.1	WP_135618519.1
OG0000364	WP_179221002.1	WP_160584756.1
OG0000365	WP_011283885.1	WP_160585532.1
OG0000366	WP_011205916.1	WP_011283887.1
OG0000367	WP_044284579.1	WP_146379476.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_014579577.1
OG0000371	WP_179221004.1	WP_160585530.1
OG0000372	WP_179221005.1	WP_160585807.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_179221269.1	WP_160585576.1
OG0000375	WP_179221266.1	WP_160585579.1
OG0000376	WP_179221265.1	WP_020835915.1
OG0000377	WP_011284373.1	WP_011284373.1
OG0000378	WP_179221264.1	WP_011206502.1
OG0000379	WP_179221262.1	WP_220191147.1
OG0000380	WP_179221261.1	WP_011290423.1
OG0000381	WP_240536623.1	WP_308507002.1
OG0000382	WP_011284368.1	WP_011290421.1
OG0000383	WP_179221259.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_011290418.1
OG0000385	WP_135619140.1	WP_094521520.1
OG0000386	WP_014580012.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_160585583.1
OG0000388	WP_179221256.1	WP_160585584.1
OG0000389	WP_044272663.1	WP_014580009.1
OG0000390	WP_179221255.1	WP_160585585.1
OG0000391	WP_179221254.1	WP_160585586.1
OG0000392	WP_179221253.1	WP_160585587.1
OG0000393	WP_179221154.1	WP_160585702.1
OG0000394	WP_179221161.1	WP_160585766.1
OG0000395	WP_179221163.1	WP_160585765.1
OG0000396	WP_179221164.1	WP_160585764.1
OG0000397	WP_179221165.1	WP_044272549.1
OG0000398	WP_135618967.1	WP_160585665.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_179221172.1	WP_160585667.1
OG0000401	WP_179221171.1	WP_160585668.1
OG0000402	WP_179221170.1	WP_160585803.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_179221169.1	WP_220191203.1
OG0000405	WP_179221168.1	WP_011284228.1
OG0000406	WP_179221167.1	WP_160585762.1
OG0000407	WP_011206307.1	WP_044272552.1
OG0000408	WP_020835798.1	WP_146379664.1
OG0000409	WP_179220989.1	WP_160585546.1
OG0000410	WP_011205878.1	WP_094521545.1
OG0000411	WP_014579572.1	WP_041361533.1
OG0000412	WP_011283891.1	WP_011283891.1
OG0000413	WP_014579576.1	WP_014579576.1
OG0000414	WP_146379484.1	WP_160585146.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_179221193.1	WP_160585622.1
OG0000417	WP_160608072.1	WP_020835826.1
OG0000418	WP_179221177.1	WP_160585660.1
OG0000419	WP_179221175.1	WP_020835811.1
OG0000420	WP_011206313.1	WP_146379668.1
OG0000421	WP_179221162.1	WP_011206298.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_179221093.1	WP_011206141.1
OG0000424	WP_179221119.1	WP_160585599.1
OG0000425	WP_179221124.1	WP_160585171.1
OG0000426	WP_179221125.1	WP_160585596.1
OG0000427	WP_179221134.1	WP_160585126.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_240536661.1	WP_220190711.1
OG0000430	WP_135618880.1	WP_044272490.1
OG0000431	WP_179221145.1	WP_160585723.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_179221085.1	WP_160585808.1
OG0000435	WP_135618886.1	WP_094521693.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_179221031.1	WP_160585612.1
OG0000438	WP_011206076.1	WP_160584807.1
OG0000439	WP_179221036.1	WP_011206069.1
OG0000440	WP_220200845.1	WP_041361583.1
OG0000441	WP_044284742.1	WP_160585607.1
OG0000442	WP_014579622.1	WP_160585606.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_011206405.1	WP_011206405.1
OG0000445	WP_179221219.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160601134.1	WP_160585797.1
OG0000448	WP_179221236.1	WP_160585799.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_011206492.1	WP_160585582.1
OG0000451	WP_179221267.1	WP_044272671.1
OG0000452	WP_179221089.1	WP_011205931.1
OG0000453	WP_011206520.1	WP_050195472.1
OG0000454	WP_011284394.1	WP_011284394.1
OG0000455	WP_011206317.1	WP_011290293.1
OG0000456	WP_011284150.1	WP_160585777.1
OG0000457	WP_179221144.1	WP_160585719.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_135618892.1	WP_011290226.1
OG0000460	WP_011290029.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_011284367.1	WP_146379753.1
OG0000463	WP_179221070.1	WP_160585679.1
OG0000464	WP_052269168.1	WP_160585738.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_240536622.1	WP_232039558.1
OG0000467	WP_179221272.1	WP_160585574.1
OG0000468	WP_179221076.1	WP_011205955.1
OG0000469	WP_179221032.1	WP_240536364.1
OG0000470	WP_020835837.1	WP_011206380.1
OG0000471	WP_179221263.1	WP_094521522.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_179221033.1	WP_228729169.1
OG0000474	WP_240536608.1	WP_146379684.1
OG0000475	WP_179221007.1	WP_308507015.1
OG0000476	WP_011290189.1	WP_160585602.1
OG0000477	WP_011206227.1	WP_011206227.1
OG0000478	WP_179221075.1	WP_146379556.1
OG0000479	WP_237697228.1	WP_308507014.1
OG0000480	WP_020835708.1	WP_020835708.1
OG0000481	WP_240536660.1	WP_308506994.1
OG0000482	WP_240536619.1	WP_308507005.1
OG0000483	WP_135619062.1	WP_160585646.1
OG0000484	WP_240536632.1	WP_225973007.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_179220997.1	WP_011289979.1
OG0000487	WP_011206302.1	WP_160585763.1
OG0000488	WP_179221202.1	WP_160585653.1
OG0000489	WP_276310607.1	WP_308507006.1
OG0000490	WP_220191083.1	WP_225973002.1, WP_240536367.1
OG0000491	WP_011283834.1	WP_160585773.1
OG0000492	WP_179220976.1	WP_160585775.1
OG0000493	WP_179220975.1	WP_160585776.1
OG0000494	WP_179221281.1	WP_160585828.1
OG0000495	WP_240536625.1	WP_160585812.1
OG0000496	WP_011284186.1	WP_160585722.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_160588252.1	WP_146379558.1
OG0000499	WP_179221077.1	WP_160585672.1
OG0000500	WP_179221010.1	WP_160585716.1
OG0000501	WP_179221015.1	WP_160585737.1
OG0000502	WP_179221022.1	WP_020835567.1
OG0000503	WP_179221196.1	WP_225972997.1
OG0000504	WP_011206375.1	WP_011206375.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_179221185.1	WP_160585688.1
OG0000507	WP_179221180.1	WP_011284249.1
OG0000508	WP_179221155.1	WP_014579876.1
OG0000509	WP_240536614.1	WP_220191163.1
OG0000510	WP_179221222.1	WP_220191162.1
OG0000511	WP_179221212.1	WP_160585708.1
OG0000512	WP_179221141.1	WP_160585790.1
OG0000513	WP_011283957.1	WP_135618599.1
OG0000514	WP_011283961.1	WP_011290053.1
OG0000515	WP_160585191.1	WP_020835590.1
OG0000516	WP_011206036.1	WP_011206036.1
OG0000517	WP_011289986.1	WP_160585533.1
OG0000518	WP_160600695.1	WP_160585531.1
OG0000519	WP_160600697.1	WP_014579573.1
OG0000522	WP_179221251.1	WP_160585589.1
OG0000523	WP_179221250.1	WP_160584917.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000526	WP_135618955.1	WP_011206310.1
OG0000528	WP_179221003.1	WP_011205922.1
OG0000529	WP_179221176.1	WP_160585661.1
OG0000530	WP_179221121.1	WP_160585598.1
OG0000531	WP_011284377.1	WP_160585578.1
OG0000532	WP_179221268.1	WP_160585577.1
OG0000534	WP_020835615.1	WP_020835615.1
OG0000535	WP_179221192.1	WP_160585620.1
OG0000536	WP_011290228.1	WP_160585249.1
OG0000539	WP_011283955.1	WP_011283955.1
OG0000540	WP_179221247.1	WP_160585785.1
OG0000541	WP_179221205.1	WP_160585715.1
OG0000541	WP_240536615.1	WP_240536615.1
OG0000542	WP_240536624.1	WP_160585813.1
OG0000543	WP_179221017.1	WP_160584784.1
OG0000544	WP_179221242.1	WP_160585788.1
OG0000545	WP_179221096.1	WP_160585826.1
OG0000546	WP_011206407.1	WP_160585632.1
OG0000547	WP_135618906.1	WP_160585706.1
OG0000548	WP_179221173.1	WP_160585666.1
OG0000550	WP_179221130.1	WP_160585591.1
OG0000551	WP_240536641.1	WP_160585748.1, WP_160585744.1
OG0000552	WP_094521665.1	WP_160585753.1
OG0000554	WP_240536654.1	WP_258555841.1
OG0000557	WP_240536627.1	WP_020835495.1
OG0000558	WP_179221150.1	WP_160585727.1
OG0000559	WP_179221178.1	WP_146379678.1
OG0000560	WP_179221187.1	WP_160585684.1
OG0000561	WP_179221223.1	WP_160585642.1
OG0000562	WP_240536642.1	WP_258555849.1, WP_258555848.1
OG0000564	WP_179221211.1	WP_160585709.1
OG0000565	WP_146379449.1	WP_160585749.1
OG0000566	WP_179220982.1	WP_146379450.1
OG0000567	WP_179221064.1	WP_160585558.1
OG0000568	WP_160606544.1	WP_146379545.1
OG0000569	WP_240536638.1	WP_308507001.1
OG0000570	WP_179221062.1	WP_011205986.1
OG0000571	WP_179221061.1	WP_160584704.1
OG0000572	WP_179221060.1	WP_160585559.1
OG0000573	WP_179221059.1	WP_160585560.1
OG0000574	WP_135618654.1	WP_135618654.1
OG0000575	WP_179221052.1	WP_160584672.1
OG0000576	WP_160585617.1	WP_160585617.1
OG0000577	WP_011206153.1	WP_011290145.1
OG0000578	WP_179221100.1	WP_160585696.1
OG0000579	WP_179221101.1	WP_146379576.1
OG0000580	WP_179221104.1	WP_160585056.1
OG0000581	WP_011206160.1	WP_160585052.1
OG0000582	WP_011206161.1	WP_011206161.1
OG0000583	WP_179221110.1	WP_160585756.1
OG0000584	WP_011206182.1	WP_011284100.1
OG0000585	WP_179221111.1	WP_160585755.1
OG0000586	WP_240536653.1	WP_308507010.1
OG0000587	WP_179221114.1	WP_160585752.1
