Orthogroup	MHP_ES2L_proteins	MFC_MF18_proteins
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_011205953.1	WP_160593536.1
OG0000125	WP_011205952.1	WP_160581203.1
OG0000126	WP_011290120.1	WP_002557557.1
OG0000127	WP_011205948.1	WP_160593532.1
OG0000128	WP_179221081.1	WP_160593528.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_160593526.1
OG0000131	WP_179221083.1	WP_002557566.1
OG0000132	WP_179221086.1	WP_160584038.1
OG0000133	WP_179221012.1	WP_002557574.1
OG0000134	WP_237697227.1	WP_160583695.1
OG0000135	WP_160585148.1	WP_002557577.1
OG0000136	WP_011206119.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_160583687.1
OG0000138	WP_179221021.1	WP_160580868.1
OG0000139	WP_179221023.1	WP_160583681.1
OG0000140	WP_011206101.1	WP_160583679.1
OG0000141	WP_160600792.1	WP_002557602.1
OG0000142	WP_179221197.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_160593367.1
OG0000144	WP_179221195.1	WP_002557609.1
OG0000145	WP_228365394.1	WP_160583671.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_179221191.1	WP_160583667.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_135619006.1	WP_002557623.1
OG0000151	WP_160600765.1	WP_160580918.1
OG0000152	WP_011206348.1	WP_160583657.1
OG0000153	WP_160615699.1	WP_160580922.1
OG0000154	WP_011206345.1	WP_002557638.1
OG0000155	WP_179221183.1	WP_002557642.1
OG0000156	WP_179221181.1	WP_160583648.1
OG0000157	WP_011206334.1	WP_160583646.1
OG0000158	WP_179221179.1	WP_160583643.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_179221158.1	WP_002557668.1
OG0000161	WP_146379654.1	WP_160593407.1
OG0000162	WP_135619210.1	WP_160581406.1
OG0000163	WP_179221156.1	WP_160584006.1
OG0000164	WP_179221094.1	WP_160593411.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_179221120.1	WP_002557689.1
OG0000167	WP_135618846.1	WP_160581429.1
OG0000168	WP_135618848.1	WP_160584058.1
OG0000169	WP_179221201.1	WP_002557698.1
OG0000170	WP_179221204.1	WP_002557704.1
OG0000171	WP_050195447.1	WP_160581256.1
OG0000172	WP_011206424.1	WP_160583901.1
OG0000173	WP_135619059.1	WP_002557708.1
OG0000174	WP_011290369.1	WP_160583903.1
OG0000175	WP_011206429.1	WP_002557712.1
OG0000176	WP_179221225.1	WP_160593449.1
OG0000177	WP_160585273.1	WP_160581270.1
OG0000178	WP_011206441.1	WP_002557721.1
OG0000179	WP_179221227.1	WP_160581274.1
OG0000180	WP_160600945.1	WP_002557725.1
OG0000181	WP_179221235.1	WP_039387691.1
OG0000182	WP_014579987.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_146379743.1	WP_160584044.1
OG0000185	WP_011290398.1	WP_160584048.1
OG0000186	WP_011205937.1	WP_160583995.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_179221142.1	WP_160593473.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_135619204.1	WP_255454511.1
OG0000192	WP_179221288.1	WP_002557763.1
OG0000193	WP_011283999.1	WP_002557766.1
OG0000194	WP_011290023.1	WP_002557768.1
OG0000195	WP_011290024.1	WP_002557769.1
OG0000196	WP_179221025.1	WP_160581303.1
OG0000197	WP_041361572.1	WP_160593477.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_179221026.1	WP_002557781.1
OG0000201	WP_011283934.1	WP_002557783.1
OG0000202	WP_011206073.1	WP_160593482.1
OG0000203	WP_011206072.1	WP_160583979.1
OG0000204	WP_179221034.1	WP_160593422.1
OG0000205	WP_179221035.1	WP_160593424.1
OG0000206	WP_011206066.1	WP_002557798.1
OG0000207	WP_179221038.1	WP_160583853.1
OG0000208	WP_179221039.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_044284597.1	WP_160581347.1
OG0000211	WP_135618610.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011206046.1	WP_002557818.1
OG0000216	WP_014579616.1	WP_160581343.1
OG0000217	WP_011206044.1	WP_160583863.1
OG0000218	WP_179221043.1	WP_160581339.1
OG0000219	WP_020835591.1	WP_160583865.1
OG0000220	WP_179221044.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_179221045.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_044284599.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_160593426.1
OG0000227	WP_179221046.1	WP_002557833.1
OG0000228	WP_179221047.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_014579605.1	WP_002557836.1
OG0000231	WP_179221048.1	WP_160581334.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_179221050.1	WP_002557842.1
OG0000234	WP_044284822.1	WP_318026338.1
OG0000235	WP_160587980.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_160581215.1
OG0000237	WP_179221055.1	WP_160593437.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_011206399.1	WP_160583887.1
OG0000240	WP_011206400.1	WP_160583889.1
OG0000241	WP_160585231.1	WP_002557866.1
OG0000242	WP_179221199.1	WP_160583893.1
OG0000243	WP_014579955.1	WP_002557868.1
OG0000244	WP_011206406.1	WP_002557870.1
OG0000245	WP_020835856.1	WP_002557872.1
OG0000246	WP_240536630.1	WP_002557875.1
OG0000247	WP_179220986.1	WP_160593344.1
OG0000248	WP_179221284.1	WP_160583743.1
OG0000249	WP_179220987.1	WP_160583741.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_179220991.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_160581051.1
OG0000253	WP_179220992.1	WP_160583733.1
OG0000254	WP_160584767.1	WP_160583731.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_160583725.1
OG0000258	WP_011283871.1	WP_002557905.1
OG0000259	WP_240536633.1	WP_160583721.1
OG0000260	WP_011289982.1	WP_002557913.1
OG0000261	WP_179221000.1	WP_160593354.1
OG0000262	WP_135618519.1	WP_160583709.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_011205916.1	WP_160581017.1
OG0000265	WP_044284579.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_014579577.1	WP_160581015.1
OG0000268	WP_179221004.1	WP_160581013.1
OG0000269	WP_011206134.1	WP_160583703.1
OG0000270	WP_179221266.1	WP_160593486.1
OG0000271	WP_179221265.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_179221264.1	WP_002557948.1
OG0000274	WP_179221261.1	WP_160583796.1
OG0000275	WP_240536623.1	WP_160581377.1
OG0000276	WP_011284368.1	WP_160593503.1
OG0000277	WP_179221259.1	WP_160581382.1
OG0000278	WP_179221258.1	WP_160583802.1
OG0000279	WP_014580014.1	WP_002557959.1
OG0000280	WP_135619140.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_179221256.1	WP_160593507.1
OG0000283	WP_044272663.1	WP_002557965.1
OG0000284	WP_179221255.1	WP_002557966.1
OG0000285	WP_179221254.1	WP_160583808.1
OG0000286	WP_179221154.1	WP_002557972.1
OG0000287	WP_179221161.1	WP_160593397.1
OG0000288	WP_179221163.1	WP_002557980.1
OG0000289	WP_179221164.1	WP_160583616.1
OG0000290	WP_135618967.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_160593389.1
OG0000292	WP_179221172.1	WP_160583633.1
OG0000293	WP_179221171.1	WP_160583631.1
OG0000294	WP_179221170.1	WP_160583629.1
OG0000295	WP_011206315.1	WP_160580958.1
OG0000296	WP_011206307.1	WP_160593391.1
OG0000297	WP_020835798.1	WP_160593393.1
OG0000298	WP_179220989.1	WP_160593350.1
OG0000299	WP_011205878.1	WP_039387487.1
OG0000300	WP_014579572.1	WP_039387496.1
OG0000301	WP_011283891.1	WP_039387501.1
OG0000302	WP_014579576.1	WP_039387504.1
OG0000303	WP_146379484.1	WP_160580856.1
OG0000304	WP_011283978.1	WP_160580864.1
OG0000305	WP_179221193.1	WP_160580890.1
OG0000306	WP_179221188.1	WP_160583660.1
OG0000307	WP_160608072.1	WP_160593378.1
OG0000308	WP_179221175.1	WP_160583637.1
OG0000309	WP_011206313.1	WP_160580960.1
OG0000310	WP_179221162.1	WP_160593395.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_179221159.1	WP_160580991.1
OG0000313	WP_179221093.1	WP_039387554.1
OG0000314	WP_179221119.1	WP_160593518.1
OG0000315	WP_179221124.1	WP_160581431.1
OG0000316	WP_179221125.1	WP_160581432.1
OG0000317	WP_179221134.1	WP_160581441.1
OG0000318	WP_240536661.1	WP_160593540.1
OG0000319	WP_135618880.1	WP_236681771.1
OG0000320	WP_179221145.1	WP_160583953.1
OG0000321	WP_011205969.1	WP_160583967.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_179221085.1	WP_039387619.1
OG0000324	WP_135618886.1	WP_160581297.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_179221031.1	WP_039387636.1
OG0000327	WP_011206076.1	WP_160581309.1
OG0000328	WP_220200845.1	WP_039387644.1
OG0000329	WP_044284742.1	WP_160583857.1
OG0000330	WP_011206016.1	WP_160593428.1
OG0000331	WP_011206405.1	WP_039387665.1
OG0000332	WP_179221219.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_160601134.1	WP_039387693.1
OG0000335	WP_179221236.1	WP_160593451.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_011206520.1	WP_160581112.1
OG0000338	WP_011284394.1	WP_039387723.1
OG0000339	WP_179221144.1	WP_160593467.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_135618892.1	WP_039387782.1
OG0000342	WP_011290029.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_052269168.1	WP_160583688.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_240536622.1	WP_051054328.1
OG0000347	WP_179221076.1	WP_081605280.1
OG0000348	WP_179221032.1	WP_308507114.1
OG0000349	WP_179221263.1	WP_155897264.1
OG0000350	WP_240536608.1	WP_220190179.1
OG0000351	WP_179221007.1	WP_220190182.1
OG0000352	WP_011290189.1	WP_220190084.1
OG0000353	WP_179221075.1	WP_308507110.1
OG0000354	WP_237697228.1	WP_220190180.1
OG0000355	WP_020835708.1	WP_308507104.1
OG0000356	WP_240536660.1	WP_308507120.1
OG0000357	WP_240536619.1	WP_002557710.1
OG0000358	WP_135619062.1	WP_160583905.1
OG0000359	WP_240536635.1	WP_308507113.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_179220997.1	WP_255454451.1
OG0000362	WP_011206302.1	WP_255454460.1
OG0000363	WP_276310607.1	WP_334296055.1
OG0000365	WP_179221129.1	WP_160584029.1
OG0000366	WP_011206224.1	WP_002557453.1
OG0000367	WP_240536587.1	WP_160584023.1
OG0000368	WP_179220980.1	WP_160583751.1
OG0000369	WP_179220976.1	WP_160583756.1
OG0000370	WP_179220975.1	WP_002557476.1
OG0000371	WP_179220974.1	WP_160593339.1
OG0000372	WP_011205841.1	WP_160583760.1
OG0000373	WP_179221280.1	WP_160583762.1
OG0000374	WP_179221278.1	WP_160583766.1
OG0000375	WP_011206240.1	WP_002557511.1
OG0000376	WP_179221147.1	WP_160583947.1
OG0000377	WP_044284661.1	WP_160583951.1
OG0000378	WP_179221065.1	WP_160583959.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000381	WP_179221078.1	WP_160593534.1
OG0000382	WP_179221082.1	WP_160581461.1
OG0000383	WP_179221084.1	WP_002557567.1
OG0000384	WP_041361727.1	WP_160581005.1
OG0000385	WP_179221010.1	WP_160580848.1
OG0000386	WP_011290004.1	WP_002557576.1
OG0000387	WP_179221013.1	WP_160583691.1
OG0000388	WP_179221014.1	WP_160593359.1
OG0000389	WP_179221020.1	WP_002557589.1
OG0000390	WP_011206390.1	WP_160583674.1
OG0000391	WP_179221194.1	WP_160583673.1
OG0000392	WP_020835840.1	WP_160593369.1
OG0000393	WP_179221189.1	WP_160583663.1
OG0000394	WP_179221185.1	WP_002557640.1
OG0000395	WP_179221184.1	WP_160583653.1
OG0000396	WP_179221155.1	WP_002557673.1
OG0000397	WP_011206196.1	WP_160584011.1
OG0000398	WP_020835709.1	WP_160593513.1
OG0000399	WP_179221122.1	WP_220190081.1
OG0000400	WP_179221203.1	WP_002557703.1
OG0000401	WP_179221220.1	WP_160581263.1
OG0000402	WP_179221221.1	WP_160581265.1
OG0000403	WP_179221222.1	WP_160583910.1
OG0000404	WP_179221226.1	WP_039387689.1
OG0000405	WP_179221228.1	WP_002557726.1
OG0000406	WP_179221237.1	WP_002557731.1
OG0000407	WP_179221238.1	WP_160583916.1
OG0000408	WP_011206457.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_011206469.1	WP_002557739.1
OG0000411	WP_179221244.1	WP_160584046.1
OG0000412	WP_179221243.1	WP_002557742.1
OG0000413	WP_146379568.1	WP_002557749.1
OG0000414	WP_179221087.1	WP_002557751.1
OG0000415	WP_179221088.1	WP_002557752.1
OG0000416	WP_011284056.1	WP_002557754.1
OG0000417	WP_179221141.1	WP_160583991.1
OG0000418	WP_240536592.1	WP_220190413.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_020835574.1	WP_002557780.1
OG0000421	WP_179221028.1	WP_002557784.1
OG0000422	WP_179221030.1	WP_160581307.1
OG0000423	WP_011206068.1	WP_002557796.1
OG0000424	WP_179221037.1	WP_160583849.1
OG0000425	WP_011283949.1	WP_160583851.1
OG0000426	WP_011283950.1	WP_308507107.1
OG0000427	WP_179221040.1	WP_160583922.1
OG0000428	WP_179221042.1	WP_160583859.1
OG0000429	WP_011206036.1	WP_160581337.1
OG0000430	WP_014579604.1	WP_002557837.1
OG0000431	WP_011290067.1	WP_002557839.1
OG0000432	WP_179221051.1	WP_160583869.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000434	WP_179221053.1	WP_160583871.1
OG0000435	WP_020835610.1	WP_160593430.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_160584684.1	WP_160581219.1
OG0000438	WP_179221056.1	WP_160593439.1
OG0000439	WP_179221057.1	WP_160583885.1
OG0000440	WP_160585229.1	WP_160593441.1
OG0000441	WP_011284299.1	WP_160583926.1
OG0000442	WP_179220985.1	WP_002557876.1
OG0000443	WP_160600657.1	WP_002557888.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_044284571.1	WP_002557895.1
OG0000446	WP_135618497.1	WP_002557901.1
OG0000447	WP_014579553.1	WP_160583729.1
OG0000448	WP_179220995.1	WP_160581042.1
OG0000449	WP_179220998.1	WP_002557912.1
OG0000450	WP_179220999.1	WP_160583715.1
OG0000451	WP_160600695.1	WP_160581019.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_011283895.1	WP_002557934.1
OG0000455	WP_179221269.1	WP_160583788.1
OG0000456	WP_011206487.1	WP_160583804.1
OG0000457	WP_179221253.1	WP_160583810.1
OG0000458	WP_179221160.1	WP_002557977.1
OG0000459	WP_014579890.1	WP_160580973.1
OG0000460	WP_179221165.1	WP_002557984.1
OG0000461	WP_179221169.1	WP_160583627.1
OG0000462	WP_179221168.1	WP_160583626.1
OG0000463	WP_135618955.1	WP_002558014.1
OG0000465	WP_179221167.1	WP_002558017.1
OG0000466	WP_179221003.1	WP_039387498.1
OG0000467	WP_179221177.1	WP_308507106.1
OG0000468	WP_179221121.1	WP_039387564.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_179221036.1	WP_039387641.1
OG0000471	WP_014579622.1	WP_039387651.1
OG0000472	WP_179221246.1	WP_160583820.1
OG0000473	WP_179221267.1	WP_039387713.1
OG0000474	WP_011284377.1	WP_039387714.1
OG0000475	WP_179221268.1	WP_220190185.1
OG0000476	WP_179221089.1	WP_039387719.1
OG0000477	WP_011206317.1	WP_039387750.1
OG0000478	WP_011284367.1	WP_160583800.1
OG0000479	WP_179221070.1	WP_160583965.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_179221033.1	WP_308507115.1
OG0000483	WP_011206227.1	WP_255454526.1
OG0000484	WP_240536632.1	WP_308507103.1
OG0000485	WP_020835615.1	WP_039387661.1
OG0000486	WP_011290228.1	WP_255454510.1
OG0000487	WP_240536662.1	WP_052234586.1
OG0000488	WP_011206221.1	WP_002557450.1
OG0000489	WP_011205849.1	WP_002557469.1
OG0000490	WP_179221281.1	WP_002557481.1
OG0000491	WP_179221073.1	WP_002557542.1
OG0000492	WP_179221077.1	WP_160583973.1
OG0000493	WP_179221015.1	WP_160580862.1
OG0000494	WP_179221022.1	WP_160583682.1
OG0000495	WP_135619008.1	WP_160580903.1
OG0000496	WP_011206375.1	WP_160593374.1
OG0000497	WP_160587850.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_179221180.1	WP_160593382.1
OG0000500	WP_179221117.1	WP_160593515.1
OG0000501	WP_240536614.1	WP_160593447.1
OG0000502	WP_179221058.1	WP_160593475.1
OG0000503	WP_020835576.1	WP_002557782.1
OG0000504	WP_011283955.1	WP_160583855.1
OG0000505	WP_011283961.1	WP_160581345.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000507	WP_160585191.1	WP_002557821.1
OG0000508	WP_179220993.1	WP_002557900.1
OG0000509	WP_179220994.1	WP_220190183.1
OG0000510	WP_160600677.1	WP_002557908.1
OG0000511	WP_179221005.1	WP_002557935.1
OG0000513	WP_011206492.1	WP_160593505.1
OG0000514	WP_179221192.1	WP_160593371.1
OG0000516	WP_179221126.1	WP_160593542.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000518	WP_179221218.1	WP_160583907.1
OG0000519	WP_179221029.1	WP_002557785.1
OG0000520	WP_011283957.1	WP_160581350.1
OG0000521	WP_020835515.1	WP_160583727.1
OG0000522	WP_179220996.1	WP_002557909.1
OG0000523	WP_179221252.1	WP_160583812.1
OG0000524	WP_179221176.1	WP_220190397.1
OG0000525	WP_179221247.1	WP_160583818.1
OG0000528	WP_179221127.1	WP_160581474.1
OG0000529	WP_179221138.1	WP_160583937.1
OG0000530	WP_011284186.1	WP_160593464.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000533	WP_179221017.1	WP_160581332.1
OG0000534	WP_160600697.1	WP_002557926.1
OG0000535	WP_179220978.1	WP_160583753.1
OG0000536	WP_240536624.1	WP_160593497.1
OG0000537	WP_011290028.1	WP_002557776.1
OG0000538	WP_179221054.1	WP_160583873.1
OG0000539	WP_011205882.1	WP_002557892.1
OG0000541	WP_179221182.1	WP_160583649.1
OG0000542	WP_011289986.1	WP_160581026.1
OG0000547	WP_160600789.1	WP_160580878.1
OG0000548	WP_179221092.1	WP_160581410.1
OG0000549	WP_179221245.1	WP_160593511.1
OG0000550	WP_179221262.1	WP_002557950.1
OG0000551	WP_011206407.1	WP_258556254.1
OG0000555	WP_179221196.1	WP_255454458.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000595	WP_020835859.1	WP_160593445.1
OG0000597	WP_179221200.1	WP_220190408.1
OG0000602	WP_179221130.1	WP_220190419.1
