Orthogroup	MHP_ES2L_proteins	MHP_MHP653_proteins
OG0000191	WP_135619204.1	WP_020835755.1
OG0000192	WP_179221288.1	WP_011205992.1
OG0000193	WP_011283999.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_011290024.1	WP_160615782.1
OG0000196	WP_179221025.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_179221026.1	WP_014579644.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011206073.1	WP_011206073.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_179221034.1	WP_160615804.1
OG0000205	WP_179221035.1	WP_160584811.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_179221038.1	WP_011206063.1
OG0000208	WP_179221039.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_044284597.1	WP_135618604.1
OG0000211	WP_135618610.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_014579616.1	WP_160585193.1
OG0000217	WP_011206044.1	WP_160585731.1
OG0000218	WP_179221043.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_179221044.1	WP_135618616.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_179221045.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_044284599.1	WP_160615864.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_179221046.1	WP_011290064.1
OG0000228	WP_179221047.1	WP_160615866.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_179221048.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_179221050.1	WP_146379528.1
OG0000234	WP_044284822.1	WP_160615752.1
OG0000235	WP_160587980.1	WP_160615754.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_179221055.1	WP_160615756.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_146379700.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_160585231.1	WP_044272588.1
OG0000242	WP_179221199.1	WP_020835854.1
OG0000243	WP_014579955.1	WP_146379703.1
OG0000244	WP_011206406.1	WP_160615603.1
OG0000245	WP_020835856.1	WP_146379707.1
OG0000246	WP_240536630.1	WP_258555948.1
OG0000247	WP_179220986.1	WP_308507025.1
OG0000248	WP_179221284.1	WP_052259122.1
OG0000249	WP_179220987.1	WP_160615537.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_179220991.1	WP_146379462.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_179220992.1	WP_160589983.1
OG0000254	WP_160584767.1	WP_160589986.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_240536633.1	WP_220191250.1
OG0000260	WP_011289982.1	WP_146379471.1
OG0000261	WP_179221000.1	WP_160615523.1
OG0000262	WP_135618519.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011205916.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_146379477.1
OG0000268	WP_179221004.1	WP_160615515.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_179221266.1	WP_160615634.1
OG0000271	WP_179221265.1	WP_160615632.1
OG0000272	WP_011284373.1	WP_146379758.1
OG0000273	WP_179221264.1	WP_011206502.1
OG0000274	WP_179221261.1	WP_160590207.1
OG0000275	WP_240536623.1	WP_308507031.1
OG0000276	WP_011284368.1	WP_160600741.1
OG0000277	WP_179221259.1	WP_011206494.1
OG0000278	WP_179221258.1	WP_011206493.1
OG0000279	WP_014580014.1	WP_011290418.1
OG0000280	WP_135619140.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_179221256.1	WP_160615626.1
OG0000283	WP_044272663.1	WP_014580009.1
OG0000284	WP_179221255.1	WP_011206484.1
OG0000285	WP_179221254.1	WP_160615625.1
OG0000286	WP_179221154.1	WP_160615969.1
OG0000287	WP_179221161.1	WP_160585766.1
OG0000288	WP_179221163.1	WP_160615882.1
OG0000289	WP_179221164.1	WP_160615884.1
OG0000290	WP_135618967.1	WP_160590123.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_179221172.1	WP_160615820.1
OG0000293	WP_179221171.1	WP_160615822.1
OG0000294	WP_179221170.1	WP_160615824.1
OG0000295	WP_011206315.1	WP_160615826.1
OG0000296	WP_011206307.1	WP_044272552.1
OG0000297	WP_020835798.1	WP_160608046.1
OG0000298	WP_179220989.1	WP_160615535.1
OG0000299	WP_011205878.1	WP_094521545.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_179221193.1	WP_160590159.1
OG0000306	WP_179221188.1	WP_044272563.1
OG0000307	WP_160608072.1	WP_011206346.1
OG0000308	WP_179221175.1	WP_160607822.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_179221162.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_179221159.1	WP_160585159.1
OG0000313	WP_179221093.1	WP_011206141.1
OG0000314	WP_179221119.1	WP_160615552.1
OG0000315	WP_179221124.1	WP_160585171.1
OG0000316	WP_179221125.1	WP_160615557.1
OG0000317	WP_179221134.1	WP_135618864.1
OG0000318	WP_240536661.1	WP_220191255.1
OG0000319	WP_135618880.1	WP_135618880.1
OG0000320	WP_179221145.1	WP_160615720.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_179221085.1	WP_146379567.1
OG0000324	WP_135618886.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_179221031.1	WP_160615787.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_220200845.1	WP_041361583.1
OG0000329	WP_044284742.1	WP_135618597.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_160615605.1
OG0000332	WP_179221219.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_014579986.1
OG0000335	WP_179221236.1	WP_160615903.1
OG0000336	WP_011206488.1	WP_011284361.1
OG0000337	WP_011206520.1	WP_011284387.1
OG0000338	WP_011284394.1	WP_094521531.1
OG0000339	WP_179221144.1	WP_160590509.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_135618892.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_146379499.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052269168.1	WP_160615858.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_240536622.1	WP_308507030.1
OG0000347	WP_179221076.1	WP_011205955.1
OG0000348	WP_179221032.1	WP_225973015.1
OG0000349	WP_179221263.1	WP_094521522.1
OG0000350	WP_240536608.1	WP_258555926.1
OG0000351	WP_179221007.1	WP_308507022.1
OG0000352	WP_011290189.1	WP_160615546.1
OG0000353	WP_179221075.1	WP_160607804.1
OG0000354	WP_237697228.1	WP_308507047.1
OG0000355	WP_020835708.1	WP_220191254.1
OG0000356	WP_240536660.1	WP_308507027.1
OG0000357	WP_240536619.1	WP_308507029.1
OG0000358	WP_135619062.1	WP_160615589.1
OG0000359	WP_240536635.1	WP_308507041.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_179220997.1	WP_160615527.1
OG0000362	WP_011206302.1	WP_011290282.1
OG0000363	WP_276310607.1	WP_308507035.1
OG0000364	WP_236607972.1	WP_160590015.1
OG0000365	WP_179221129.1	WP_160615561.1
OG0000366	WP_011206224.1	WP_160615564.1
OG0000367	WP_240536587.1	WP_220191257.1
OG0000368	WP_179220980.1	WP_011289935.1
OG0000369	WP_179220976.1	WP_011289930.1
OG0000370	WP_179220975.1	WP_044272260.1
OG0000371	WP_179220974.1	WP_160615744.1
OG0000372	WP_011205841.1	WP_160584860.1
OG0000373	WP_179221280.1	WP_160584865.1
OG0000374	WP_179221278.1	WP_160615738.1
OG0000375	WP_011206240.1	WP_160615869.1
OG0000376	WP_179221147.1	WP_146379646.1
OG0000377	WP_044284661.1	WP_160615722.1
OG0000378	WP_179221065.1	WP_160615718.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_160588252.1
OG0000381	WP_179221078.1	WP_160615661.1
OG0000382	WP_179221082.1	WP_160590276.1
OG0000383	WP_179221084.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_014579586.1
OG0000385	WP_179221010.1	WP_160615953.1
OG0000386	WP_011290004.1	WP_160615852.1
OG0000387	WP_179221013.1	WP_160615854.1
OG0000388	WP_179221014.1	WP_160615856.1
OG0000389	WP_179221020.1	WP_160615931.1
OG0000390	WP_011206390.1	WP_160584967.1
OG0000391	WP_179221194.1	WP_160590161.1
OG0000392	WP_020835840.1	WP_020835840.1
OG0000393	WP_179221189.1	WP_160615659.1
OG0000394	WP_179221185.1	WP_160615695.1
OG0000395	WP_179221184.1	WP_160615693.1
OG0000396	WP_179221155.1	WP_160615894.1
OG0000397	WP_011206196.1	WP_160585022.1
OG0000398	WP_020835709.1	WP_146379611.1
OG0000399	WP_179221122.1	WP_160590031.1
OG0000400	WP_179221203.1	WP_044272610.1
OG0000401	WP_179221220.1	WP_135619070.1
OG0000402	WP_179221221.1	WP_160615583.1
OG0000403	WP_179221222.1	WP_220191264.1
OG0000404	WP_179221226.1	WP_160615581.1
OG0000405	WP_179221228.1	WP_160615579.1
OG0000406	WP_179221237.1	WP_160585802.1
OG0000407	WP_179221238.1	WP_160615901.1
OG0000408	WP_011206457.1	WP_160606868.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_160615907.1
OG0000411	WP_179221244.1	WP_160615905.1
OG0000412	WP_179221243.1	WP_146379741.1
OG0000413	WP_146379568.1	WP_160615667.1
OG0000414	WP_179221087.1	WP_011290131.1
OG0000415	WP_179221088.1	WP_135618720.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_179221141.1	WP_160615914.1
OG0000418	WP_240536592.1	WP_160588285.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_011206085.1
OG0000421	WP_179221028.1	WP_146379503.1
OG0000422	WP_179221030.1	WP_146379504.1
OG0000423	WP_011206068.1	WP_160584813.1
OG0000424	WP_179221037.1	WP_160584816.1
OG0000425	WP_011283949.1	WP_011206065.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_179221040.1	WP_135618593.1
OG0000428	WP_179221042.1	WP_160615808.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_014579604.1	WP_050195474.1
OG0000431	WP_011290067.1	WP_011290067.1
OG0000432	WP_179221051.1	WP_160615748.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_179221053.1	WP_044284602.1
OG0000435	WP_020835610.1	WP_160584678.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_160584684.1	WP_160615758.1
OG0000438	WP_179221056.1	WP_160615760.1
OG0000439	WP_179221057.1	WP_160590263.1
OG0000440	WP_160585229.1	WP_160615607.1
OG0000441	WP_011284299.1	WP_011284299.1
OG0000442	WP_179220985.1	WP_160615834.1
OG0000443	WP_160600657.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_044284571.1
OG0000446	WP_135618497.1	WP_160615529.1
OG0000447	WP_014579553.1	WP_014579553.1
OG0000448	WP_179220995.1	WP_011289976.1
OG0000449	WP_179220998.1	WP_011289981.1
OG0000450	WP_179220999.1	WP_160615525.1
OG0000451	WP_160600695.1	WP_160615519.1
OG0000452	WP_011205921.1	WP_258555899.1
OG0000453	WP_011283895.1	WP_011289994.1
OG0000455	WP_179221269.1	WP_160590360.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_179221253.1	WP_160615623.1
OG0000458	WP_179221160.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_179221165.1	WP_160615886.1
OG0000461	WP_179221169.1	WP_160615828.1
OG0000462	WP_179221168.1	WP_160615830.1
OG0000463	WP_135618955.1	WP_135618955.1
OG0000465	WP_179221167.1	WP_160585762.1
OG0000466	WP_179221003.1	WP_011205922.1
OG0000467	WP_179221177.1	WP_160615679.1
OG0000468	WP_179221121.1	WP_160607658.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_179221036.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_135618603.1
OG0000472	WP_179221246.1	WP_160615918.1
OG0000473	WP_179221267.1	WP_044272671.1
OG0000474	WP_011284377.1	WP_160615636.1
OG0000475	WP_179221268.1	WP_160615638.1
OG0000476	WP_179221089.1	WP_011205931.1
OG0000477	WP_011206317.1	WP_160590131.1
OG0000478	WP_011284367.1	WP_160615628.1
OG0000479	WP_179221070.1	WP_020835636.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_179221033.1	WP_044272343.1
OG0000483	WP_011206227.1	WP_146379591.1
OG0000484	WP_240536632.1	WP_308507023.1
OG0000485	WP_020835615.1	WP_020835615.1
OG0000486	WP_011290228.1	WP_011290228.1
OG0000487	WP_240536662.1	WP_220191256.1
OG0000488	WP_011206221.1	WP_160615563.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_179221281.1	WP_160615740.1
OG0000491	WP_179221073.1	WP_020835639.1
OG0000492	WP_179221077.1	WP_160615704.1
OG0000493	WP_179221015.1	WP_160585737.1
OG0000494	WP_179221022.1	WP_052269169.1
OG0000495	WP_135619008.1	WP_146379689.1
OG0000496	WP_011206375.1	WP_160615655.1
OG0000497	WP_160587850.1	WP_160615657.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_179221180.1	WP_160615689.1
OG0000500	WP_179221117.1	WP_146379610.1
OG0000501	WP_240536614.1	WP_220191265.1
OG0000502	WP_179221058.1	WP_160585563.1
OG0000503	WP_020835576.1	WP_160606653.1
OG0000504	WP_011283955.1	WP_011283955.1
OG0000505	WP_011283961.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160585191.1	WP_020835590.1
OG0000508	WP_179220993.1	WP_020835512.1
OG0000509	WP_179220994.1	WP_020835518.1
OG0000510	WP_160600677.1	WP_011289977.1
OG0000511	WP_179221005.1	WP_011283896.1
OG0000513	WP_011206492.1	WP_041361708.1
OG0000514	WP_179221192.1	WP_160615651.1
OG0000516	WP_179221126.1	WP_011206214.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_179221218.1	WP_160615585.1
OG0000519	WP_179221029.1	WP_160584803.1
OG0000520	WP_011283957.1	WP_135618599.1
OG0000521	WP_020835515.1	WP_020835515.1
OG0000522	WP_179220996.1	WP_135618505.1
OG0000523	WP_179221252.1	WP_258555910.1
OG0000524	WP_179221176.1	WP_160615677.1
OG0000525	WP_179221247.1	WP_160615921.1
OG0000526	WP_240536654.1	WP_258555903.1
OG0000527	WP_240536651.1	WP_160615963.1
OG0000528	WP_179221127.1	WP_160615559.1
OG0000529	WP_179221138.1	WP_011206243.1
OG0000530	WP_011284186.1	WP_160615927.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_179221096.1	WP_011284067.1
OG0000533	WP_179221017.1	WP_011206110.1
OG0000534	WP_160600697.1	WP_160615517.1
OG0000535	WP_179220978.1	WP_160584854.1
OG0000537	WP_011290028.1	WP_160615784.1
OG0000538	WP_179221054.1	WP_160615750.1
OG0000539	WP_011205882.1	WP_146379463.1
OG0000540	WP_179221173.1	WP_160615818.1
OG0000541	WP_179221182.1	WP_160615691.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000543	WP_240536646.1, WP_135618906.1	WP_220191275.1
OG0000544	WP_240536637.1	WP_308507042.1
OG0000545	WP_094521665.1	WP_160590087.1
OG0000546	WP_179221187.1	WP_258555918.1, WP_258555624.1
OG0000547	WP_160600789.1	WP_011284286.1
OG0000548	WP_179221092.1	WP_020835662.1
OG0000549	WP_179221245.1	WP_160615916.1
OG0000550	WP_179221262.1	WP_220191147.1
OG0000551	WP_011206407.1	WP_146379706.1
OG0000552	WP_179221223.1	WP_160585642.1
OG0000553	WP_179221178.1	WP_160615683.1
OG0000554	WP_179221150.1	WP_160615726.1
OG0000555	WP_179221196.1	WP_308507032.1
OG0000557	WP_160606544.1	WP_011205983.1
OG0000558	WP_179221059.1	WP_160615795.1
OG0000559	WP_011206161.1	WP_020835677.1
OG0000560	WP_011206182.1	WP_011284100.1
OG0000561	WP_179221052.1	WP_160584672.1
