Orthogroup	MHP_ES2L_proteins	MHP_F72C_proteins
OG0000376	WP_179221147.1	WP_146379646.1
OG0000377	WP_044284661.1	WP_146379644.1
OG0000378	WP_179221065.1	WP_146379548.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_146379558.1
OG0000381	WP_179221078.1	WP_146379561.1
OG0000382	WP_179221082.1	WP_146379565.1
OG0000383	WP_179221084.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_179221010.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011206121.1
OG0000387	WP_179221013.1	WP_146379485.1
OG0000388	WP_179221014.1	WP_146379486.1
OG0000389	WP_179221020.1	WP_146379493.1
OG0000390	WP_011206390.1	WP_146379695.1
OG0000391	WP_179221194.1	WP_146379693.1
OG0000392	WP_020835840.1	WP_020835840.1
OG0000393	WP_179221189.1	WP_146379687.1
OG0000394	WP_179221185.1	WP_011290313.1
OG0000395	WP_179221184.1	WP_146379682.1
OG0000396	WP_179221155.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_020835709.1	WP_146379611.1
OG0000399	WP_179221122.1	WP_146379605.1
OG0000400	WP_179221203.1	WP_146379715.1
OG0000401	WP_179221220.1	WP_135619070.1
OG0000402	WP_179221221.1	WP_020835872.1
OG0000403	WP_179221222.1	WP_192894281.1
OG0000404	WP_179221226.1	WP_146379727.1
OG0000405	WP_179221228.1	WP_081642900.1
OG0000406	WP_179221237.1	WP_146379732.1
OG0000407	WP_179221238.1	WP_146379733.1
OG0000408	WP_011206457.1	WP_146379734.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_179221244.1	WP_146379742.1
OG0000412	WP_179221243.1	WP_146379741.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_179221087.1	WP_011290131.1
OG0000415	WP_179221088.1	WP_020835657.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_179221141.1	WP_146379635.1
OG0000418	WP_240536592.1	WP_225972976.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_146379500.1
OG0000421	WP_179221028.1	WP_146379503.1
OG0000422	WP_179221030.1	WP_146379504.1
OG0000423	WP_011206068.1	WP_146379510.1
OG0000424	WP_179221037.1	WP_146379511.1
OG0000425	WP_011283949.1	WP_044277967.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_179221040.1	WP_146379512.1
OG0000428	WP_179221042.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_014579604.1	WP_146379523.1
OG0000431	WP_011290067.1	WP_146379524.1
OG0000432	WP_179221051.1	WP_146379529.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_179221053.1	WP_146379531.1
OG0000435	WP_020835610.1	WP_146379534.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_160584684.1	WP_044272373.1
OG0000438	WP_179221056.1	WP_146379539.1
OG0000439	WP_179221057.1	WP_044272377.1
OG0000440	WP_160585229.1	WP_146379701.1
OG0000441	WP_011284299.1	WP_011284299.1
OG0000442	WP_179220985.1	WP_146379456.1
OG0000443	WP_160600657.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_044284571.1
OG0000446	WP_135618497.1	WP_146379467.1
OG0000447	WP_014579553.1	WP_044284573.1
OG0000448	WP_179220995.1	WP_146379469.1
OG0000449	WP_179220998.1	WP_146379470.1
OG0000450	WP_179220999.1	WP_146379472.1
OG0000451	WP_160600695.1	WP_011205913.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_011283895.1
OG0000455	WP_179221269.1	WP_146379761.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_179221253.1	WP_146379749.1
OG0000458	WP_179221160.1	WP_146379658.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_179221165.1	WP_044272549.1
OG0000461	WP_179221169.1	WP_146379667.1
OG0000462	WP_179221168.1	WP_011284228.1
OG0000463	WP_135618955.1	WP_146379666.1
OG0000465	WP_179221167.1	WP_146379665.1
OG0000466	WP_179221003.1	WP_011205922.1
OG0000467	WP_179221177.1	WP_146379676.1
OG0000468	WP_179221121.1	WP_146379606.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_179221036.1	WP_192894286.1
OG0000471	WP_014579622.1	WP_044272348.1
OG0000472	WP_179221246.1	WP_146379745.1
OG0000473	WP_179221267.1	WP_020835917.1
OG0000474	WP_011284377.1	WP_041361711.1
OG0000475	WP_179221268.1	WP_146379760.1
OG0000476	WP_179221089.1	WP_011205931.1
OG0000477	WP_011206317.1	WP_135618962.1
OG0000478	WP_011284367.1	WP_146379753.1
OG0000479	WP_179221070.1	WP_146379554.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_179221033.1	WP_044272343.1
OG0000483	WP_011206227.1	WP_146379591.1
OG0000484	WP_240536632.1	WP_225973007.1
OG0000485	WP_020835615.1	WP_146379538.1
OG0000486	WP_011290228.1	WP_011290228.1
OG0000487	WP_240536662.1	WP_225973041.1
OG0000488	WP_011206221.1	WP_146379596.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_179221281.1	WP_146379773.1
OG0000491	WP_179221073.1	WP_020835639.1
OG0000492	WP_179221077.1	WP_146379559.1
OG0000493	WP_179221015.1	WP_146379488.1
OG0000494	WP_179221022.1	WP_052269169.1
OG0000495	WP_135619008.1	WP_146379689.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_160587850.1	WP_146379688.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_179221180.1	WP_020835817.1
OG0000500	WP_179221117.1	WP_146379610.1
OG0000501	WP_240536614.1	WP_192894280.1
OG0000502	WP_179221058.1	WP_146379540.1
OG0000503	WP_020835576.1	WP_020835576.1
OG0000504	WP_011283955.1	WP_146379513.1
OG0000505	WP_011283961.1	WP_146379519.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160585191.1	WP_020835590.1
OG0000508	WP_179220993.1	WP_020835512.1
OG0000509	WP_179220994.1	WP_020835518.1
OG0000510	WP_160600677.1	WP_011289977.1
OG0000511	WP_179221005.1	WP_011206135.1
OG0000513	WP_011206492.1	WP_146379751.1
OG0000514	WP_179221192.1	WP_146379691.1
OG0000515	WP_240536642.1	WP_014579793.1
OG0000516	WP_179221126.1	WP_146379601.1
OG0000517	WP_011283834.1	WP_146379446.1
OG0000518	WP_179221218.1	WP_146379722.1
OG0000519	WP_179221029.1	WP_135618573.1
OG0000520	WP_011283957.1	WP_146379514.1
OG0000521	WP_020835515.1	WP_146379468.1
OG0000522	WP_179220996.1	WP_135618505.1
OG0000523	WP_179221252.1	WP_146379748.1
OG0000524	WP_179221176.1	WP_146379675.1
OG0000525	WP_179221247.1	WP_146379746.1
OG0000526	WP_240536654.1	WP_225972970.1
OG0000527	WP_240536651.1	WP_225972972.1
OG0000528	WP_179221127.1	WP_146379600.1
OG0000529	WP_179221138.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_146379640.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_179221096.1	WP_011284067.1
OG0000534	WP_160600697.1	WP_014579573.1
OG0000535	WP_179220978.1	WP_146379445.1
OG0000536	WP_240536624.1	WP_146379766.1
OG0000537	WP_011290028.1	WP_011290028.1
OG0000538	WP_179221054.1	WP_146379532.1
OG0000539	WP_011205882.1	WP_146379463.1
OG0000540	WP_179221173.1	WP_146379671.1
OG0000541	WP_179221182.1	WP_146379681.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000544	WP_240536637.1	WP_014579703.1
OG0000545	WP_094521665.1	WP_146379616.1
OG0000546	WP_179221187.1	WP_225972993.1
OG0000547	WP_160600789.1	WP_146379696.1
OG0000548	WP_179221092.1	WP_146379570.1
OG0000549	WP_179221245.1	WP_146379744.1
OG0000550	WP_179221262.1	WP_192894282.1
OG0000551	WP_011206407.1	WP_146379706.1
OG0000552	WP_179221223.1	WP_146379724.1
