Orthogroup	MHP_UFV01_proteins	MHP_KM014_proteins
OG0000059	WP_243216109.1	WP_094521751.1, WP_094521761.1
OG0000060	WP_243216026.1	WP_011283837.1
OG0000061	WP_044284624.1	WP_094521669.1
OG0000062	WP_094521530.1	WP_094521530.1
OG0000063	WP_011206521.1	WP_094521529.1
OG0000064	WP_160615736.1	WP_011290440.1
OG0000065	WP_160601112.1	WP_011290219.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_044272640.1	WP_094521512.1
OG0000072	WP_243216342.1	WP_094521513.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000075	WP_243215955.1	WP_094521552.1
OG0000077	WP_243215965.1	WP_094521763.1
OG0000078	WP_243216087.1	WP_094521645.1
OG0000079	WP_233688475.1	WP_011206305.1
OG0000080	WP_179695988.1	WP_014579900.1
OG0000081	WP_243215952.1	WP_094521551.1
OG0000082	WP_243216212.1	WP_094521707.1
OG0000083	WP_014579823.1	WP_094521681.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000086	WP_243216167.1	WP_094521683.1
OG0000087	WP_044272477.1	WP_094521684.1
OG0000088	WP_044272480.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_094521535.1
OG0000091	WP_243215921.1	WP_020835487.1
OG0000092	WP_243215917.1	WP_011205847.1
OG0000093	WP_243215915.1	WP_011205846.1
OG0000094	WP_233688588.1	WP_014579519.1
OG0000095	WP_243215907.1	WP_094521532.1
OG0000096	WP_243215905.1	WP_011206529.1
OG0000097	WP_243215900.1	WP_094521757.1
OG0000100	WP_243215892.1	WP_094521527.1
OG0000101	WP_243215891.1	WP_011206510.1
OG0000102	WP_243216094.1	WP_094521648.1
OG0000103	WP_243216182.1	WP_011206238.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_094521691.1
OG0000106	WP_243216184.1	WP_011290218.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_179696020.1	WP_014579827.1
OG0000109	WP_243216186.1	WP_094521692.1
OG0000110	WP_243216208.1	WP_094521705.1
OG0000111	WP_243216207.1	WP_094521704.1
OG0000112	WP_243216205.1	WP_094521703.1
OG0000113	WP_020835765.1	WP_094521701.1
OG0000114	WP_243216202.1	WP_094521777.1
OG0000115	WP_014579859.1	WP_094521698.1
OG0000116	WP_243216047.1	WP_094521621.1
OG0000117	WP_243216048.1	WP_094521622.1
OG0000118	WP_228729171.1	WP_094521624.1
OG0000119	WP_179696055.1	WP_094521625.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011205959.1
OG0000122	WP_011205958.1	WP_094521627.1
OG0000123	WP_243216054.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_094521629.1
OG0000127	WP_011290122.1	WP_094521631.1
OG0000128	WP_243216059.1	WP_094521634.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_094521635.1
OG0000132	WP_135618714.1	WP_094521636.1
OG0000133	WP_014579589.1	WP_094521764.1
OG0000134	WP_020835541.1	WP_094521765.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_094521576.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_135618563.1	WP_011206106.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_243215985.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_011290345.1
OG0000142	WP_011284289.1	WP_094521740.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_044272582.1	WP_094521739.1
OG0000145	WP_225972996.1	WP_011290337.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_243216296.1	WP_094521737.1
OG0000149	WP_011206379.1	WP_011206379.1
OG0000150	WP_243216288.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_094521732.1
OG0000152	WP_020835827.1	WP_094521731.1
OG0000153	WP_011206347.1	WP_011206347.1
OG0000154	WP_243216280.1	WP_094521730.1
OG0000155	WP_011290311.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011290309.1	WP_011206334.1
OG0000158	WP_308704549.1	WP_094521727.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011290271.1	WP_081430769.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000163	WP_243216224.1	WP_094521716.1
OG0000164	WP_160601269.1	WP_094521642.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011290193.1	WP_094521676.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_233688406.1	WP_044284793.1
OG0000169	WP_002557698.1	WP_094521497.1
OG0000171	WP_011290367.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_243216312.1	WP_094521499.1
OG0000174	WP_011290369.1	WP_094521500.1
OG0000175	WP_011206429.1	WP_094521754.1
OG0000176	WP_243216326.1	WP_094521505.1
OG0000177	WP_233688536.1	WP_094521506.1
OG0000178	WP_011206441.1	WP_020835878.1
OG0000179	WP_179221227.1	WP_014579979.1
OG0000180	WP_160590181.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_011206465.1	WP_094521514.1
OG0000186	WP_020835656.1	WP_094521637.1
OG0000187	WP_243216062.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_243216195.1	WP_094521695.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_011206251.1	WP_011290223.1
OG0000192	WP_011205992.1	WP_011205992.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_243215993.1	WP_094521582.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_094521584.1
OG0000197	WP_011206090.1	WP_041361572.1
OG0000198	WP_243215996.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_094521587.1
OG0000201	WP_011283934.1	WP_094521588.1
OG0000202	WP_011283943.1	WP_011283943.1
OG0000203	WP_011283944.1	WP_094521591.1
OG0000204	WP_014579633.1	WP_014579633.1
OG0000205	WP_243216001.1	WP_094521592.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_094521594.1
OG0000208	WP_011206062.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_243216005.1	WP_094521596.1
OG0000211	WP_011290054.1	WP_011206050.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_011206046.1
OG0000216	WP_014579616.1	WP_011283965.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_094521597.1
OG0000219	WP_011206041.1	WP_051129924.1
OG0000220	WP_020835592.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000225	WP_020835596.1	WP_094521598.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_160608021.1	WP_094521599.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_044284822.1	WP_044284822.1
OG0000235	WP_243216014.1	WP_094521605.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_243216016.1	WP_094521606.1
OG0000238	WP_011283991.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_011206400.1
OG0000241	WP_135619036.1	WP_011206402.1
OG0000242	WP_243216305.1	WP_094521742.1
OG0000243	WP_011290352.1	WP_014579955.1
OG0000244	WP_041361690.1	WP_094521744.1
OG0000245	WP_020835856.1	WP_011206408.1
OG0000246	WP_232039502.1	WP_094521541.1
OG0000247	WP_243215932.1	WP_094521542.1
OG0000248	WP_014579535.1	WP_052259122.1
OG0000250	WP_243215937.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_094521546.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011283860.1	WP_094521547.1
OG0000254	WP_014579548.1	WP_050195453.1
OG0000255	WP_044284572.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_011205894.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_243215945.1	WP_094521759.1
OG0000260	WP_243215948.1	WP_094521550.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011205916.1	WP_011283887.1
OG0000265	WP_243215961.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_094521554.1
OG0000268	WP_011289993.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_243215887.1	WP_094521524.1
OG0000271	WP_135619152.1	WP_094521523.1
OG0000272	WP_243215885.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_243215879.1	WP_094521521.1
OG0000275	WP_238374142.1	WP_011290422.1
OG0000276	WP_243215878.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_243215875.1	WP_011290418.1
OG0000280	WP_044284728.1	WP_094521520.1
OG0000281	WP_081430772.1	WP_014580012.1
OG0000283	WP_243215873.1	WP_014580009.1
OG0000284	WP_011206484.1	WP_094521519.1
OG0000285	WP_243215870.1	WP_094521518.1
OG0000286	WP_146379652.1	WP_094521714.1
OG0000287	WP_243216240.1	WP_011206297.1
OG0000288	WP_160600959.1	WP_094521779.1
OG0000289	WP_243216242.1	WP_020835793.1
OG0000290	WP_243216258.1	WP_094521724.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_243216256.1	WP_044284681.1
OG0000293	WP_243216254.1	WP_094521723.1
OG0000294	WP_243216251.1	WP_094521780.1
OG0000295	WP_243216250.1	WP_094521722.1
OG0000296	WP_233688476.1	WP_044272552.1
OG0000297	WP_011206306.1	WP_011284225.1
OG0000298	WP_243215936.1	WP_094521544.1
OG0000299	WP_011205878.1	WP_094521545.1
OG0000300	WP_014579572.1	WP_011205915.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_011206118.1
OG0000304	WP_011283978.1	WP_094521601.1
OG0000305	WP_044272575.1	WP_094521738.1
OG0000306	WP_243216282.1	WP_094521734.1
OG0000307	WP_044284687.1	WP_011206346.1
OG0000308	WP_243216263.1	WP_157696721.1
OG0000309	WP_243216248.1	WP_011206313.1
OG0000310	WP_160606445.1	WP_094521718.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_094521778.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_094521675.1	WP_094521675.1
OG0000315	WP_243216153.1	WP_011206209.1
OG0000316	WP_014579818.1	WP_094521679.1
OG0000317	WP_011290211.1	WP_094521685.1
OG0000318	WP_243216157.1	WP_094521775.1
OG0000319	WP_146379629.1	WP_094521690.1
OG0000320	WP_243216204.1	WP_094521702.1
OG0000321	WP_243216051.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_011205960.1
OG0000323	WP_135618712.1	WP_094521770.1
OG0000324	WP_243216187.1	WP_094521693.1
OG0000325	WP_243215994.1	WP_011206094.1
OG0000326	WP_243216000.1	WP_094521590.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_011206060.1	WP_011290047.1
OG0000329	WP_011206056.1	WP_044284742.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_094521743.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_094521511.1
OG0000335	WP_243216335.1	WP_041361699.1
OG0000336	WP_011284361.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_094521528.1
OG0000338	WP_243215903.1	WP_094521531.1
OG0000339	WP_243216236.1	WP_094521699.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_243216193.1	WP_011284176.1
OG0000342	WP_011290029.1	WP_094521586.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_243215977.1	WP_094521577.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_041361706.1
OG0000347	WP_243216053.1	WP_011205955.1
OG0000348	WP_160600882.1	WP_014579636.1
OG0000349	WP_243215882.1	WP_094521522.1
OG0000350	WP_228366105.1	WP_094521782.1
OG0000351	WP_233688626.1	WP_094521571.1
OG0000352	WP_243216148.1	WP_094521673.1
OG0000353	WP_044284615.1	WP_094521626.1
OG0000354	WP_237697228.1	WP_094521580.1
OG0000355	WP_243216143.1	WP_011284115.1
OG0000356	WP_243216155.1	WP_094521678.1
OG0000357	WP_228366113.1	WP_094521501.1
OG0000358	WP_243216314.1	WP_094521502.1
OG0000359	WP_243215998.1	WP_094521589.1
OG0000360	WP_228365406.1	WP_094521548.1
OG0000361	WP_243215944.1	WP_094521549.1
OG0000362	WP_011206302.1	WP_094521719.1
OG0000363	WP_269076322.1	WP_094521632.1
OG0000364	WP_243216141.1	WP_094521773.1
OG0000369	WP_243215913.1	WP_094521533.1
OG0000370	WP_135618444.1	WP_044272260.1
OG0000378	WP_179221065.1	WP_094521620.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_233688710.1	WP_094521769.1
OG0000381	WP_243216055.1	WP_094521630.1
OG0000385	WP_243215971.1	WP_094521574.1
OG0000389	WP_243215983.1	WP_094521579.1
OG0000394	WP_011290313.1	WP_094521728.1
OG0000396	WP_160585153.1	WP_094521715.1
OG0000403	WP_243216321.1	WP_094521503.1
OG0000404	WP_243216329.1	WP_094521507.1
OG0000405	WP_243216331.1	WP_094521755.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000412	WP_011290399.1	WP_011290399.1
OG0000417	WP_243216192.1	WP_094521694.1
OG0000428	WP_243216004.1	WP_011283958.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_243216006.1	WP_094521600.1
OG0000434	WP_233688674.1	WP_157696710.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_233688689.1	WP_011206003.1
OG0000441	WP_020835857.1	WP_094521745.1
OG0000451	WP_243215959.1	WP_094521553.1
OG0000453	WP_243215963.1	WP_011283895.1
OG0000457	WP_243215868.1	WP_094521517.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000463	WP_011206310.1	WP_094521721.1
OG0000464	WP_011206309.1	WP_094521720.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000468	WP_243216151.1	WP_094521677.1
OG0000471	WP_094521595.1	WP_094521595.1
OG0000473	WP_243215889.1	WP_094521525.1
OG0000474	WP_011284377.1	WP_011284377.1
OG0000475	WP_044889046.1	WP_094521526.1
OG0000482	WP_014579695.1	WP_094521611.1
OG0000485	WP_243216018.1	WP_094521607.1
OG0000486	WP_243216198.1	WP_094521696.1
OG0000487	WP_243216159.1	WP_157696720.1
OG0000488	WP_020835728.1	WP_094521682.1
OG0000489	WP_243215919.1	WP_094521534.1
OG0000491	WP_011205966.1	WP_011205966.1
OG0000492	WP_160607802.1	WP_094521628.1
OG0000495	WP_243216290.1	WP_094521735.1
OG0000502	WP_243216028.1	WP_094521609.1
OG0000504	WP_088764595.1	WP_094521766.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000508	WP_233688611.1	WP_094521758.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000519	WP_135618573.1	WP_020835579.1
OG0000520	WP_243216003.1	WP_011283957.1
OG0000523	WP_243215866.1	WP_094521516.1
OG0000526	WP_243216125.1	WP_041361763.1
OG0000527	WP_011206174.1	WP_094521656.1
OG0000529	WP_011206243.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000531	WP_011205956.1	WP_157696712.1
OG0000537	WP_011206089.1	WP_094521585.1
OG0000538	WP_243216013.1	WP_094521604.1
OG0000544	WP_014579703.1	WP_011284008.1
OG0000545	WP_243216121.1	WP_094521665.1
OG0000546	WP_020835829.1	WP_094521733.1
OG0000553	WP_243216271.1	WP_094521781.1
OG0000554	WP_243216210.1	WP_094521706.1
OG0000556	WP_243216111.1	WP_094521569.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_243216031.1	WP_094521614.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_243216012.1	WP_094521603.1
OG0000562	WP_243216120.1	WP_094521660.1
OG0000563	WP_014579786.1	WP_094521772.1
OG0000564	WP_094521768.1	WP_094521768.1
OG0000565	WP_243216135.1	WP_094521671.1
OG0000566	WP_243216130.1	WP_094521668.1
OG0000568	WP_243215991.1	WP_011206097.1
OG0000569	WP_243216033.1	WP_094521615.1
OG0000570	WP_014579701.1	WP_094521616.1
OG0000571	WP_243216034.1	WP_094521617.1
OG0000572	WP_243216038.1	WP_094521618.1
OG0000573	WP_243216093.1	WP_094521647.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000575	WP_243216030.1	WP_094521612.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011206325.1
OG0000579	WP_243216118.1	WP_094521659.1
OG0000580	WP_041361798.1	WP_041361798.1
OG0000581	WP_233688744.1	WP_094521657.1
OG0000584	WP_243216106.1	WP_094521568.1
OG0000585	WP_243216181.1	WP_094521689.1
OG0000588	WP_243216079.1	WP_094521644.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_011290233.1	WP_011290233.1
OG0000592	WP_243216259.1	WP_094521725.1
OG0000594	WP_160584731.1	WP_094521613.1
OG0000595	WP_020835859.1	WP_094521746.1
OG0000597	WP_243216307.1	WP_094521784.1
OG0000600	WP_014579686.1	WP_094521558.1, WP_094521490.1
OG0000601	WP_243216119.1	WP_020835695.1
OG0000603	WP_014579683.1	WP_014579683.1
OG0000606	WP_014579783.1	WP_094521658.1
OG0000614	WP_020835740.1	WP_094521688.1
OG0000628	WP_041361554.1	WP_014579677.1
OG0000629	WP_243216100.1	WP_044277979.1
OG0000630	WP_243216114.1	WP_014579675.1
OG0000631	WP_020835551.1	WP_094521494.1
