#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:248345-250141|+ -            599 501at2085            -            526  5.4e-249  822.6   9.1   1   1  8.8e-251  1.1e-248  821.6   9.1     1   526     1   594     1   594 0.93 scf00000000_183 # 248345 # 250141 # 1 # ID=1_183;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
scf00000000:851755-852963|- -            403 501at2085            -            526   2.1e-18   61.7   2.9   1   2   4.4e-20   5.6e-18   60.3   0.2     8   140    20   155    14   168 0.88 scf00000000_657 # 851755 # 852963 # -1 # ID=1_657;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.401
scf00000000:851755-852963|- -            403 501at2085            -            526   2.1e-18   61.7   2.9   2   2     0.028       3.5    1.6   0.2   161   256   205   309   194   325 0.67 scf00000000_657 # 851755 # 852963 # -1 # ID=1_657;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.401
scf00000000:246486-247787|+ -            434 501at2085            -            526   1.5e-13   45.7   0.6   1   2   4.4e-06   0.00055   14.2   0.1    62   180    45   170    35   173 0.76 scf00000000_180 # 246486 # 247787 # 1 # ID=1_180;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
scf00000000:246486-247787|+ -            434 501at2085            -            526   1.5e-13   45.7   0.6   2   2   7.8e-11   9.8e-09   29.8   0.1    78   168   238   340   214   363 0.81 scf00000000_180 # 246486 # 247787 # 1 # ID=1_180;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/UFV02/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/UFV02/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/UFV02/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/UFV02/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/UFV02/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/UFV02/Use
# Date:            Sun Dec  1 19:13:20 2024
# [ok]
