Orthogroup	MHP_LH_genes	MFC_Ms42_genes
OG0000063	KUD10_RS03650	MYF_RS03110
OG0000064	KUD10_RS03640	MYF_RS03100
OG0000065	KUD10_RS02315	MYF_RS01575
OG0000066	KUD10_RS01425	MYF_RS01705
OG0000068	KUD10_RS00655	MYF_RS00590
OG0000069	KUD10_RS02890	MYF_RS00755
OG0000070	KUD10_RS02560	MYF_RS01135
OG0000071	KUD10_RS03335	MYF_RS02760
OG0000072	KUD10_RS03340	MYF_RS02765
OG0000073	KUD10_RS00700	MYF_RS02005
OG0000074	KUD10_RS00895	MYF_RS02195
OG0000075	KUD10_RS00340	MYF_RS00305
OG0000076	KUD10_RS00355	MYF_RS00320
OG0000077	KUD10_RS00440	MYF_RS00410
OG0000078	KUD10_RS01740	MYF_RS00880
OG0000079	KUD10_RS02640	MYF_RS01050
OG0000080	KUD10_RS02690	MYF_RS01000, MYF_RS03365
OG0000081	KUD10_RS00335	MYF_RS00300
OG0000082	KUD10_RS02460	MYF_RS01110
OG0000083	KUD10_RS02070	MYF_RS01430
OG0000084	KUD10_RS02100	MYF_RS01400
OG0000085	KUD10_RS02105	MYF_RS01395
OG0000086	KUD10_RS02115	MYF_RS01385
OG0000087	KUD10_RS02130	MYF_RS01370
OG0000088	KUD10_RS02135	MYF_RS01365
OG0000089	KUD10_RS02145	MYF_RS01355
OG0000090	KUD10_RS00070	MYF_RS00070
OG0000091	KUD10_RS00055	MYF_RS00055
OG0000092	KUD10_RS00040	MYF_RS00040
OG0000093	KUD10_RS00035	MYF_RS00035
OG0000094	KUD10_RS00030	MYF_RS00030
OG0000095	KUD10_RS00005	MYF_RS00005
OG0000096	KUD10_RS03690	MYF_RS03150
OG0000097	KUD10_RS03670	MYF_RS03130
OG0000099	KUD10_RS03610	MYF_RS03065
OG0000100	KUD10_RS03590	MYF_RS03050
OG0000101	KUD10_RS03585	MYF_RS03045
OG0000102	KUD10_RS01765	MYF_RS03035
OG0000103	KUD10_RS02280	MYF_RS01540
OG0000104	KUD10_RS02285	MYF_RS01545
OG0000105	KUD10_RS02300	MYF_RS01560
OG0000106	KUD10_RS02310	MYF_RS01570
OG0000107	KUD10_RS02320	MYF_RS01580
OG0000108	KUD10_RS02325	MYF_RS01585
OG0000109	KUD10_RS02330	MYF_RS01590
OG0000110	KUD10_RS02450	MYF_RS01595
OG0000111	KUD10_RS02445	MYF_RS01600
OG0000112	KUD10_RS02435	MYF_RS01610
OG0000113	KUD10_RS02415	MYF_RS01625
OG0000114	KUD10_RS02405	MYF_RS01635
OG0000115	KUD10_RS02395	MYF_RS01645
OG0000116	KUD10_RS01370	MYF_RS01655
OG0000117	KUD10_RS01375	MYF_RS01660
OG0000118	KUD10_RS01410	MYF_RS01690
OG0000119	KUD10_RS01415	MYF_RS01695
OG0000120	KUD10_RS01430	MYF_RS01710
OG0000121	KUD10_RS01455	MYF_RS01735
OG0000122	KUD10_RS01460	MYF_RS01740
OG0000123	KUD10_RS01480	MYF_RS01760
OG0000124	KUD10_RS01485	MYF_RS01765
OG0000125	KUD10_RS01490	MYF_RS01770
OG0000126	KUD10_RS01500	MYF_RS01780
OG0000127	KUD10_RS01510	MYF_RS01790
OG0000128	KUD10_RS01525	MYF_RS01805
OG0000129	KUD10_RS01530	MYF_RS01810
OG0000130	KUD10_RS01540	MYF_RS01820
OG0000131	KUD10_RS01570	MYF_RS01850
OG0000132	KUD10_RS01585	MYF_RS01865
OG0000133	KUD10_RS00535	MYF_RS00485
OG0000134	KUD10_RS00540	MYF_RS00490
OG0000135	KUD10_RS00555	MYF_RS00505
OG0000136	KUD10_RS00560	MYF_RS00510
OG0000137	KUD10_RS00600	MYF_RS00540
OG0000138	KUD10_RS00630	MYF_RS00565
OG0000139	KUD10_RS00660	MYF_RS00595
OG0000140	KUD10_RS00665	MYF_RS00600
OG0000141	KUD10_RS03005	MYF_RS00635
OG0000142	KUD10_RS03000	MYF_RS00640
OG0000143	KUD10_RS02980	MYF_RS00665
OG0000144	KUD10_RS02970	MYF_RS00675
OG0000145	KUD10_RS02960	MYF_RS00685
OG0000146	KUD10_RS02950	MYF_RS00695
OG0000147	KUD10_RS02945	MYF_RS00700
OG0000148	KUD10_RS02930	MYF_RS00715
OG0000149	KUD10_RS02920	MYF_RS00725
OG0000150	KUD10_RS02905	MYF_RS00740
OG0000151	KUD10_RS02860	MYF_RS00795
OG0000152	KUD10_RS02855	MYF_RS00800
OG0000153	KUD10_RS02850	MYF_RS00805
OG0000154	KUD10_RS02840	MYF_RS00815
OG0000155	KUD10_RS02805	MYF_RS00835
OG0000156	KUD10_RS02795	MYF_RS00855
OG0000157	KUD10_RS02790	MYF_RS00860
OG0000158	KUD10_RS03710	MYF_RS00870
OG0000159	KUD10_RS02545	MYF_RS01165
OG0000160	KUD10_RS02540	MYF_RS01170
OG0000161	KUD10_RS02535	MYF_RS01175
OG0000162	KUD10_RS02525	MYF_RS01185
OG0000163	KUD10_RS02520	MYF_RS01190
OG0000164	KUD10_RS01670	MYF_RS01220
OG0000165	KUD10_RS01990	MYF_RS01265
OG0000166	KUD10_RS02010	MYF_RS01285
OG0000167	KUD10_RS02025	MYF_RS01300
OG0000168	KUD10_RS02030	MYF_RS01305
OG0000169	KUD10_RS03115	MYF_RS02560
OG0000170	KUD10_RS03130	MYF_RS02585
OG0000171	KUD10_RS03140	MYF_RS02595
OG0000172	KUD10_RS03145	MYF_RS02600
OG0000173	KUD10_RS03150	MYF_RS02605
OG0000174	KUD10_RS03155	MYF_RS02610
OG0000175	KUD10_RS03170	MYF_RS02625
OG0000176	KUD10_RS03215	MYF_RS02670
OG0000177	KUD10_RS03220	MYF_RS02675
OG0000178	KUD10_RS03225	MYF_RS02680
OG0000179	KUD10_RS03235	MYF_RS02690
OG0000180	KUD10_RS03240	MYF_RS02695
OG0000181	KUD10_RS03285	MYF_RS02710
OG0000182	KUD10_RS03295	MYF_RS02720
OG0000183	KUD10_RS03330	MYF_RS02755
OG0000184	KUD10_RS03375	MYF_RS02785
OG0000185	KUD10_RS03360	MYF_RS02800
OG0000186	KUD10_RS01595	MYF_RS01895
OG0000187	KUD10_RS01610	MYF_RS01910
OG0000188	KUD10_RS01620	MYF_RS01920
OG0000189	KUD10_RS02365	MYF_RS01930
OG0000190	KUD10_RS02360	MYF_RS01935
OG0000191	KUD10_RS02340	MYF_RS01955
OG0000192	KUD10_RS01290	MYF_RS01965
OG0000193	KUD10_RS01275	MYF_RS01980
OG0000194	KUD10_RS00685	MYF_RS01990
OG0000195	KUD10_RS00690	MYF_RS01995
OG0000196	KUD10_RS00710	MYF_RS02015
OG0000197	KUD10_RS00715	MYF_RS02020
OG0000198	KUD10_RS00730	MYF_RS02035
OG0000199	KUD10_RS00735	MYF_RS02040
OG0000200	KUD10_RS00750	MYF_RS02050
OG0000201	KUD10_RS00760	MYF_RS02060
OG0000202	KUD10_RS00815	MYF_RS02115
OG0000203	KUD10_RS00820	MYF_RS02120
OG0000204	KUD10_RS00825	MYF_RS02125
OG0000205	KUD10_RS00830	MYF_RS02130
OG0000206	KUD10_RS00850	MYF_RS02150
OG0000207	KUD10_RS00865	MYF_RS02165
OG0000208	KUD10_RS00870	MYF_RS02170
OG0000209	KUD10_RS00875	MYF_RS02175
OG0000210	KUD10_RS00920	MYF_RS02220
OG0000211	KUD10_RS00930	MYF_RS02230
OG0000212	KUD10_RS00940	MYF_RS02240
OG0000213	KUD10_RS00945	MYF_RS02245
OG0000214	KUD10_RS00950	MYF_RS02250
OG0000215	KUD10_RS00955	MYF_RS02255
OG0000216	KUD10_RS00960	MYF_RS02260
OG0000217	KUD10_RS00965	MYF_RS02265
OG0000218	KUD10_RS00975	MYF_RS02275
OG0000219	KUD10_RS00980	MYF_RS02280
OG0000220	KUD10_RS00985	MYF_RS02285
OG0000221	KUD10_RS00990	MYF_RS02290
OG0000222	KUD10_RS00995	MYF_RS03240
OG0000223	KUD10_RS01000	MYF_RS02295
OG0000224	KUD10_RS01010	MYF_RS02305
OG0000225	KUD10_RS01020	MYF_RS02315
OG0000226	KUD10_RS01025	MYF_RS02320
OG0000227	KUD10_RS01030	MYF_RS02325
OG0000228	KUD10_RS03740	MYF_RS03530
OG0000229	KUD10_RS01040	MYF_RS02335
OG0000230	KUD10_RS01045	MYF_RS02340
OG0000231	KUD10_RS01055	MYF_RS02350
OG0000232	KUD10_RS01065	MYF_RS02360
OG0000233	KUD10_RS01090	MYF_RS02370
OG0000234	KUD10_RS01125	MYF_RS02400
OG0000235	KUD10_RS01135	MYF_RS02410
OG0000236	KUD10_RS01140	MYF_RS02415
OG0000237	KUD10_RS01230	MYF_RS02430
OG0000238	KUD10_RS01235	MYF_RS02435
OG0000239	KUD10_RS03015	MYF_RS02465
OG0000240	KUD10_RS03020	MYF_RS02470
OG0000241	KUD10_RS03030	MYF_RS02480
OG0000242	KUD10_RS03035	MYF_RS02485
OG0000243	KUD10_RS03040	MYF_RS02490
OG0000244	KUD10_RS03050	MYF_RS02500
OG0000245	KUD10_RS03055	MYF_RS02510
OG0000246	KUD10_RS00140	MYF_RS00085
OG0000247	KUD10_RS00150	MYF_RS00095
OG0000248	KUD10_RS00160	MYF_RS00120
OG0000249	KUD10_RS00165	MYF_RS00125
OG0000250	KUD10_RS00180	MYF_RS00140
OG0000251	KUD10_RS00210	MYF_RS00170
OG0000252	KUD10_RS00220	MYF_RS00180
OG0000253	KUD10_RS00225	MYF_RS00185
OG0000254	KUD10_RS00235	MYF_RS00195
OG0000255	KUD10_RS00240	MYF_RS00205
OG0000256	KUD10_RS00245	MYF_RS00210
OG0000257	KUD10_RS00270	MYF_RS00235
OG0000258	KUD10_RS00280	MYF_RS00245
OG0000259	KUD10_RS00310	MYF_RS00275
OG0000260	KUD10_RS00320	MYF_RS00285
OG0000261	KUD10_RS00330	MYF_RS00295
OG0000262	KUD10_RS00345	MYF_RS00310
OG0000263	KUD10_RS00360	MYF_RS00325
OG0000264	KUD10_RS00375	MYF_RS00340
OG0000265	KUD10_RS00385	MYF_RS00350
OG0000266	KUD10_RS00400	MYF_RS00365
OG0000267	KUD10_RS00415	MYF_RS00380
OG0000268	KUD10_RS00420	MYF_RS00385
OG0000269	KUD10_RS00435	MYF_RS00400
OG0000270	KUD10_RS03560	MYF_RS02955
OG0000271	KUD10_RS03555	MYF_RS02950
OG0000272	KUD10_RS03550	MYF_RS02945
OG0000273	KUD10_RS03545	MYF_RS02940
OG0000274	KUD10_RS03525	MYF_RS02920
OG0000275	KUD10_RS03520	MYF_RS02915
OG0000276	KUD10_RS03515	MYF_RS02910
OG0000277	KUD10_RS03505	MYF_RS02900
OG0000278	KUD10_RS03500	MYF_RS02895
OG0000279	KUD10_RS03490	MYF_RS02885
OG0000280	KUD10_RS03485	MYF_RS02880
OG0000281	KUD10_RS03480	MYF_RS03275
OG0000282	KUD10_RS03455	MYF_RS02855
OG0000283	KUD10_RS03450	MYF_RS02850
OG0000284	KUD10_RS03445	MYF_RS02845
OG0000285	KUD10_RS03440	MYF_RS02840
OG0000286	KUD10_RS02505	MYF_RS01115
OG0000287	KUD10_RS02600	MYF_RS01090
OG0000288	KUD10_RS02610	MYF_RS01080
OG0000289	KUD10_RS02615	MYF_RS01075
OG0000290	KUD10_RS02730	MYF_RS00905
OG0000291	KUD10_RS02720	MYF_RS00915
OG0000292	KUD10_RS02715	MYF_RS00920
OG0000293	KUD10_RS02710	MYF_RS00925
OG0000294	KUD10_RS02700	MYF_RS00935
OG0000295	KUD10_RS02695	MYF_RS00940
OG0000296	KUD10_RS02650	MYF_RS01040
OG0000297	KUD10_RS02645	MYF_RS01045
OG0000298	KUD10_RS00175	MYF_RS00135
OG0000299	KUD10_RS00195	MYF_RS00155
OG0000300	KUD10_RS00370	MYF_RS00335
OG0000301	KUD10_RS00405	MYF_RS00370
OG0000302	KUD10_RS00410	MYF_RS00375
OG0000303	KUD10_RS00565	MYF_RS00515
OG0000304	KUD10_RS01070	MYF_RS00545
OG0000305	KUD10_RS02955	MYF_RS00690
OG0000306	KUD10_RS02880	MYF_RS00770
OG0000307	KUD10_RS02845	MYF_RS00810
OG0000308	KUD10_RS02750	MYF_RS00895
OG0000309	KUD10_RS02685	MYF_RS01005
OG0000310	KUD10_RS02605	MYF_RS01085
OG0000311	KUD10_RS02565	MYF_RS01140
OG0000312	KUD10_RS02550	MYF_RS01160
OG0000313	KUD10_RS01660	MYF_RS01210
OG0000314	KUD10_RS02005	MYF_RS01280
OG0000315	KUD10_RS02035	MYF_RS01310
OG0000316	KUD10_RS02045	MYF_RS01320
OG0000317	KUD10_RS02140	MYF_RS01360
OG0000318	KUD10_RS02050	MYF_RS01450
OG0000319	KUD10_RS02295	MYF_RS01555
OG0000320	KUD10_RS02425	MYF_RS01620
OG0000321	KUD10_RS01405	MYF_RS01685
OG0000322	KUD10_RS01450	MYF_RS01730
OG0000323	KUD10_RS01580	MYF_RS01860
OG0000324	KUD10_RS02335	MYF_RS01960
OG0000325	KUD10_RS00695	MYF_RS02000
OG0000326	KUD10_RS00790	MYF_RS02090
OG0000327	KUD10_RS00795	MYF_RS02095
OG0000328	KUD10_RS00880	MYF_RS02180
OG0000329	KUD10_RS00900	MYF_RS02200
OG0000330	KUD10_RS01100	MYF_RS02380
OG0000331	KUD10_RS03045	MYF_RS02495
OG0000332	KUD10_RS03180	MYF_RS02635
OG0000333	KUD10_RS03190	MYF_RS02645
OG0000334	KUD10_RS03290	MYF_RS02715
OG0000335	KUD10_RS03300	MYF_RS02725
OG0000336	KUD10_RS03470	MYF_RS02870
OG0000337	KUD10_RS03645	MYF_RS03105
OG0000338	KUD10_RS03685	MYF_RS03145
OG0000339	KUD10_RS02400	MYF_RS01640
OG0000340	KUD10_RS01385	MYF_RS01665
OG0000341	KUD10_RS02355	MYF_RS01940
OG0000342	KUD10_RS00725	MYF_RS02030
OG0000343	KUD10_RS03200	MYF_RS02655
OG0000344	KUD10_RS00580	MYF_RS00530
OG0000345	KUD10_RS01015	MYF_RS02310
OG0000346	KUD10_RS03475	MYF_RS02875
OG0000347	KUD10_RS01475	MYF_RS01755
OG0000348	KUD10_RS00800	MYF_RS02100
OG0000349	KUD10_RS03535	MYF_RS02930
OG0000350	KUD10_RS02835	MYF_RS03360
OG0000351	KUD10_RS00490	MYF_RS00465
OG0000352	KUD10_RS01985	MYF_RS01260
OG0000353	KUD10_RS01445	MYF_RS01725
OG0000354	KUD10_RS00645	MYF_RS00580
OG0000355	KUD10_RS01960	MYF_RS01235
OG0000356	KUD10_RS02040	MYF_RS01315
OG0000357	KUD10_RS03160	MYF_RS02615
OG0000358	KUD10_RS03165	MYF_RS02620
OG0000359	KUD10_RS00770	MYF_RS02070
OG0000360	KUD10_RS00275	MYF_RS00240
OG0000361	KUD10_RS00305	MYF_RS00270
OG0000362	KUD10_RS02625	MYF_RS01065
OG0000363	KUD10_RS01515	MYF_RS01795
OG0000365	KUD10_RS02085	MYF_RS01420
OG0000366	KUD10_RS02110	MYF_RS01390
OG0000367	KUD10_RS02120	MYF_RS01380
OG0000368	KUD10_RS00060	MYF_RS00060
OG0000369	KUD10_RS00025	MYF_RS00025
OG0000370	KUD10_RS00020	MYF_RS00020
OG0000371	KUD10_RS00015	MYF_RS00015
OG0000372	KUD10_RS00010	MYF_RS00010
OG0000373	KUD10_RS03675	MYF_RS03135
OG0000374	KUD10_RS03665	MYF_RS03125
OG0000375	KUD10_RS02290	MYF_RS01550
OG0000376	KUD10_RS02440	MYF_RS01605
OG0000377	KUD10_RS02430	MYF_RS01615
OG0000378	KUD10_RS01365	MYF_RS01650
OG0000379	KUD10_RS01440	MYF_RS01720
OG0000380	KUD10_RS01465	MYF_RS01745
OG0000381	KUD10_RS01505	MYF_RS01785
OG0000382	KUD10_RS01535	MYF_RS01815
OG0000383	KUD10_RS01575	MYF_RS01855
OG0000384	KUD10_RS00520	MYF_RS00470
OG0000385	KUD10_RS00525	MYF_RS00475
OG0000386	KUD10_RS00545	MYF_RS00495
OG0000387	KUD10_RS00570	MYF_RS00520
OG0000388	KUD10_RS00575	MYF_RS00525
OG0000389	KUD10_RS00625	MYF_RS00560
OG0000390	KUD10_RS02975	MYF_RS00670
OG0000391	KUD10_RS02965	MYF_RS00680
OG0000392	KUD10_RS02940	MYF_RS00705
OG0000393	KUD10_RS02885	MYF_RS00760
OG0000394	KUD10_RS02815	MYF_RS00825
OG0000395	KUD10_RS02810	MYF_RS00830
OG0000396	KUD10_RS02510	MYF_RS01200
OG0000397	KUD10_RS01970	MYF_RS01245
OG0000398	KUD10_RS01975	MYF_RS01250
OG0000399	KUD10_RS02020	MYF_RS01295
OG0000400	KUD10_RS03125	MYF_RS02580
OG0000401	KUD10_RS03185	MYF_RS02640
OG0000402	KUD10_RS03195	MYF_RS02650
OG0000403	KUD10_RS03205	MYF_RS02660
OG0000404	KUD10_RS03230	MYF_RS02685
OG0000405	KUD10_RS03245	MYF_RS02700
OG0000406	KUD10_RS03305	MYF_RS02730
OG0000407	KUD10_RS03310	MYF_RS02735
OG0000408	KUD10_RS03315	MYF_RS02740
OG0000409	KUD10_RS03320	MYF_RS02745
OG0000410	KUD10_RS03380	MYF_RS02780
OG0000411	KUD10_RS03370	MYF_RS02790
OG0000412	KUD10_RS03365	MYF_RS02795
OG0000413	KUD10_RS01590	MYF_RS01890
OG0000414	KUD10_RS01600	MYF_RS01900
OG0000415	KUD10_RS01605	MYF_RS01905
OG0000416	KUD10_RS01615	MYF_RS01915
OG0000417	KUD10_RS02350	MYF_RS01945
OG0000418	KUD10_RS02345	MYF_RS01950
OG0000419	KUD10_RS00705	MYF_RS02010
OG0000420	KUD10_RS00740	MYF_RS02045
OG0000421	KUD10_RS00775	MYF_RS02075
OG0000422	KUD10_RS00785	MYF_RS02085
OG0000423	KUD10_RS00840	MYF_RS02140
OG0000424	KUD10_RS00845	MYF_RS02145
OG0000425	KUD10_RS00855	MYF_RS02155
OG0000426	KUD10_RS00860	MYF_RS02160
OG0000427	KUD10_RS00885	MYF_RS02185
OG0000428	KUD10_RS00910	MYF_RS02210
OG0000429	KUD10_RS01005	MYF_RS02300
OG0000430	KUD10_RS01050	MYF_RS02345
OG0000431	KUD10_RS01060	MYF_RS02355
OG0000432	KUD10_RS01095	MYF_RS02375
OG0000433	KUD10_RS01110	MYF_RS02385
OG0000434	KUD10_RS01115	MYF_RS02390
OG0000435	KUD10_RS01130	MYF_RS02405
OG0000436	KUD10_RS01240	MYF_RS02440
OG0000437	KUD10_RS01250	MYF_RS02450
OG0000438	KUD10_RS01255	MYF_RS02455
OG0000439	KUD10_RS01260	MYF_RS02460
OG0000440	KUD10_RS03025	MYF_RS02475
OG0000441	KUD10_RS03060	MYF_RS02515
OG0000442	KUD10_RS00145	MYF_RS00090
OG0000443	KUD10_RS00190	MYF_RS00150
OG0000444	KUD10_RS00205	MYF_RS00165
OG0000445	KUD10_RS00230	MYF_RS00190
OG0000446	KUD10_RS00255	MYF_RS00220
OG0000447	KUD10_RS00260	MYF_RS00225
OG0000448	KUD10_RS00290	MYF_RS00255
OG0000449	KUD10_RS00315	MYF_RS00280
OG0000450	KUD10_RS00325	MYF_RS00290
OG0000451	KUD10_RS00365	MYF_RS00330
OG0000452	KUD10_RS00390	MYF_RS00355
OG0000453	KUD10_RS00425	MYF_RS00390
OG0000454	KUD10_RS01220	MYF_RS03480, MYF_RS03485
OG0000455	KUD10_RS03580	MYF_RS02975
OG0000456	KUD10_RS03460	MYF_RS02860
OG0000457	KUD10_RS03435	MYF_RS02835
OG0000458	KUD10_RS02595	MYF_RS01095
OG0000459	KUD10_RS02620	MYF_RS01070
OG0000460	KUD10_RS02630	MYF_RS01060
OG0000461	KUD10_RS02680	MYF_RS01010
OG0000462	KUD10_RS02670	MYF_RS01015
OG0000463	KUD10_RS02665	MYF_RS01020
OG0000464	KUD10_RS02660	MYF_RS01030
OG0000465	KUD10_RS02655	MYF_RS01035
OG0000466	KUD10_RS00395	MYF_RS00360
OG0000467	KUD10_RS02760	MYF_RS03505
OG0000468	KUD10_RS02015	MYF_RS01290
OG0000469	KUD10_RS02075	MYF_RS01425
OG0000470	KUD10_RS00835	MYF_RS02135
OG0000471	KUD10_RS00915	MYF_RS02215
OG0000472	KUD10_RS03390	MYF_RS03535
OG0000473	KUD10_RS03565	MYF_RS02960
OG0000474	KUD10_RS03570	MYF_RS02965
OG0000475	KUD10_RS03575	MYF_RS02970
OG0000476	KUD10_RS01625	MYF_RS03040
OG0000477	KUD10_RS02705	MYF_RS00930
OG0000478	KUD10_RS03510	MYF_RS02905
OG0000479	KUD10_RS01400	MYF_RS01680
OG0000480	KUD10_RS02080	MYF_RS03350
OG0000481	KUD10_RS00810	MYF_RS02110
OG0000482	KUD10_RS01280	MYF_RS01975
OG0000483	KUD10_RS02125	MYF_RS01375
OG0000484	KUD10_RS00200	MYF_RS00160
OG0000485	KUD10_RS01245	MYF_RS02445
OG0000486	KUD10_RS02370	MYF_RS01925
OG0000487	KUD10_RS02055	MYF_RS01445
OG0000488	KUD10_RS02095	MYF_RS01405
OG0000489	KUD10_RS00050	MYF_RS00050
OG0000490	KUD10_RS03680	MYF_RS03140
OG0000491	KUD10_RS01420	MYF_RS01700
OG0000492	KUD10_RS01495	MYF_RS01775
OG0000493	KUD10_RS00585	MYF_RS00535
OG0000494	KUD10_RS00650	MYF_RS00585
OG0000495	KUD10_RS02910	MYF_RS00735
OG0000496	KUD10_RS02900	MYF_RS00745
OG0000497	KUD10_RS02895	MYF_RS00750
OG0000498	KUD10_RS02820	MYF_RS00820
OG0000499	KUD10_RS02785	MYF_RS00865
OG0000500	KUD10_RS01980	MYF_RS01255
OG0000501	KUD10_RS03135	MYF_RS02590
OG0000502	KUD10_RS01270	MYF_RS01985
OG0000503	KUD10_RS00755	MYF_RS02055
OG0000504	KUD10_RS00890	MYF_RS02190
OG0000505	KUD10_RS00925	MYF_RS02225
OG0000506	KUD10_RS00935	MYF_RS02235
OG0000507	KUD10_RS00970	MYF_RS02270
OG0000508	KUD10_RS00250	MYF_RS00215
OG0000509	KUD10_RS00285	MYF_RS00250
OG0000510	KUD10_RS00295	MYF_RS00260
OG0000511	KUD10_RS00430	MYF_RS00395
OG0000512	KUD10_RS02635	MYF_RS01055
OG0000513	KUD10_RS03495	MYF_RS02890
OG0000514	KUD10_RS02935	MYF_RS00710
OG0000516	KUD10_RS02060	MYF_RS01440
OG0000517	KUD10_RS00065	MYF_RS00065
OG0000518	KUD10_RS03175	MYF_RS02630
OG0000519	KUD10_RS00780	MYF_RS02080
OG0000520	KUD10_RS00905	MYF_RS02205
OG0000521	KUD10_RS00265	MYF_RS00230
OG0000522	KUD10_RS00300	MYF_RS00265
OG0000523	KUD10_RS03430	MYF_RS02830
OG0000524	KUD10_RS02755	MYF_RS00890
OG0000528	KUD10_RS02065	MYF_RS01435
OG0000529	KUD10_RS02305	MYF_RS01565
OG0000530	KUD10_RS02410	MYF_RS01630
OG0000531	KUD10_RS01470	MYF_RS01750
OG0000532	KUD10_RS01685	MYF_RS00620
OG0000533	KUD10_RS00605	MYF_RS02365
OG0000534	KUD10_RS00380	MYF_RS00345
OG0000535	KUD10_RS00045	MYF_RS00045
OG0000536	KUD10_RS03615	MYF_RS03070
OG0000537	KUD10_RS00720	MYF_RS02025
OG0000538	KUD10_RS01120	MYF_RS02395
OG0000539	KUD10_RS00215	MYF_RS00175
OG0000540	KUD10_RS02725	MYF_RS00910
OG0000541	KUD10_RS02800	MYF_RS00850
OG0000542	KUD10_RS00350	MYF_RS00315
OG0000547	KUD10_RS02985	MYF_RS00660
OG0000548	KUD10_RS01655	MYF_RS01205
OG0000549	KUD10_RS03385	MYF_RS02805
OG0000550	KUD10_RS03530	MYF_RS02925
OG0000555	KUD10_RS02990	MYF_RS03410
OG0000589	KUD10_RS02220	MYF_RS03220
OG0000596	KUD10_RS01795	MYF_RS00110
OG0000598	KUD10_RS01800	MYF_RS00105
OG0000599	KUD10_RS01805	MYF_RS00100
OG0000602	KUD10_RS02090	MYF_RS01415
