Orthogroup	MHP_LH_genes	MHP_UFV02_genes
OG0000015	KUD10_RS01635	FEF31_RS01295
OG0000016	KUD10_RS02915	FEF31_RS02580
OG0000016	KUD10_RS00170	FEF31_RS03440
OG0000017	KUD10_RS00155	FEF31_RS03425
OG0000017	KUD10_RS02925	FEF31_RS02590
OG0000018	KUD10_RS01395	FEF31_RS04420
OG0000020	KUD10_RS03620	FEF31_RS03220
OG0000020	KUD10_RS03625	FEF31_RS04270
OG0000021	KUD10_RS01825	FEF31_RS01520
OG0000022	KUD10_RS01720	FEF31_RS01320
OG0000022	KUD10_RS01775	FEF31_RS04450
OG0000023	KUD10_RS01390	FEF31_RS00975
OG0000024	KUD10_RS02825	FEF31_RS02485
OG0000024	KUD10_RS01345	FEF31_RS00930
OG0000025	KUD10_RS01725	FEF31_RS04445
OG0000025	KUD10_RS01770	FEF31_RS01370
OG0000026	KUD10_RS01435	FEF31_RS01025
OG0000026	KUD10_RS01750	FEF31_RS01350
OG0000027	KUD10_RS03410	FEF31_RS03015
OG0000027	KUD10_RS03425	FEF31_RS04605
OG0000028	KUD10_RS02500	FEF31_RS02145, FEF31_RS04525
OG0000029	KUD10_RS01075	FEF31_RS00735
OG0000029	KUD10_RS00620	FEF31_RS00270
OG0000030	KUD10_RS03400	FEF31_RS04590
OG0000030	KUD10_RS03420	FEF31_RS04600
OG0000033	KUD10_RS02475	FEF31_RS02140
OG0000034	KUD10_RS02225	FEF31_RS01895
OG0000035	KUD10_RS03270	FEF31_RS03765
OG0000036	KUD10_RS00115	FEF31_RS03385
OG0000036	KUD10_RS00130	FEF31_RS03400
OG0000038	KUD10_RS01815	FEF31_RS01510
OG0000038	KUD10_RS00495	FEF31_RS00160
OG0000039	KUD10_RS01675	FEF31_RS01275
OG0000040	KUD10_RS03345	FEF31_RS03890
OG0000042	KUD10_RS03010	FEF31_RS02675
OG0000043	KUD10_RS01965	FEF31_RS01660, FEF31_RS01455
OG0000044	KUD10_RS01860	FEF31_RS01545
OG0000045	KUD10_RS01680	FEF31_RS01280, FEF31_RS01285
OG0000046	KUD10_RS03355	FEF31_RS02960, FEF31_RS02245
OG0000048	KUD10_RS02150	FEF31_RS01845
OG0000049	KUD10_RS03120	FEF31_RS03620
OG0000050	KUD10_RS02530	FEF31_RS02180
OG0000051	KUD10_RS02740	FEF31_RS02395
OG0000052	KUD10_RS00075	FEF31_RS03360
OG0000053	KUD10_RS01520	FEF31_RS04425
OG0000054	KUD10_RS02555	FEF31_RS02205
OG0000055	KUD10_RS00135	FEF31_RS03405
OG0000056	KUD10_RS03605	FEF31_RS03205
OG0000057	KUD10_RS02995	FEF31_RS02660
OG0000058	KUD10_RS01145	FEF31_RS01470
OG0000061	KUD10_RS01920	FEF31_RS01245
OG0000062	KUD10_RS03655	FEF31_RS03250
OG0000063	KUD10_RS03650	FEF31_RS04645
OG0000064	KUD10_RS03640	FEF31_RS03235
OG0000065	KUD10_RS02315	FEF31_RS01990
OG0000066	KUD10_RS01425	FEF31_RS01015
OG0000067	KUD10_RS00530	FEF31_RS00185
OG0000068	KUD10_RS00655	FEF31_RS00305
OG0000069	KUD10_RS02890	FEF31_RS02555
OG0000070	KUD10_RS02560	FEF31_RS02210
OG0000071	KUD10_RS03335	FEF31_RS03835
OG0000072	KUD10_RS03340	FEF31_RS04700
OG0000073	KUD10_RS00700	FEF31_RS00360
OG0000074	KUD10_RS00895	FEF31_RS04395
OG0000075	KUD10_RS00340	FEF31_RS00005
OG0000076	KUD10_RS00355	FEF31_RS00020
OG0000077	KUD10_RS00440	FEF31_RS00105
OG0000079	KUD10_RS02640	FEF31_RS02300
OG0000080	KUD10_RS02690	FEF31_RS02345
OG0000081	KUD10_RS00335	FEF31_RS03610
OG0000082	KUD10_RS02460	FEF31_RS02130
OG0000083	KUD10_RS02070	FEF31_RS01765
OG0000084	KUD10_RS02100	FEF31_RS01795
OG0000085	KUD10_RS02105	FEF31_RS01800
OG0000086	KUD10_RS02115	FEF31_RS01810
OG0000087	KUD10_RS02130	FEF31_RS01825
OG0000088	KUD10_RS02135	FEF31_RS01830
OG0000089	KUD10_RS02145	FEF31_RS01840
OG0000090	KUD10_RS00070	FEF31_RS03355
OG0000091	KUD10_RS00055	FEF31_RS03340
OG0000092	KUD10_RS00040	FEF31_RS03325
OG0000093	KUD10_RS00035	FEF31_RS03320
OG0000094	KUD10_RS00030	FEF31_RS03315
OG0000095	KUD10_RS00005	FEF31_RS03290
OG0000096	KUD10_RS03690	FEF31_RS03285
OG0000097	KUD10_RS03670	FEF31_RS03265
OG0000099	KUD10_RS03610	FEF31_RS04640
OG0000100	KUD10_RS03590	FEF31_RS03195
OG0000101	KUD10_RS03585	FEF31_RS03190
OG0000102	KUD10_RS01765	FEF31_RS01365
OG0000103	KUD10_RS02280	FEF31_RS01955
OG0000104	KUD10_RS02285	FEF31_RS01960
OG0000105	KUD10_RS02300	FEF31_RS01975
OG0000106	KUD10_RS02310	FEF31_RS01985
OG0000107	KUD10_RS02320	FEF31_RS01995
OG0000108	KUD10_RS02325	FEF31_RS02000
OG0000109	KUD10_RS02330	FEF31_RS02005
OG0000110	KUD10_RS02450	FEF31_RS02120
OG0000111	KUD10_RS02445	FEF31_RS02115
OG0000112	KUD10_RS02435	FEF31_RS02105
OG0000113	KUD10_RS02415	FEF31_RS02085
OG0000114	KUD10_RS02405	FEF31_RS02075
OG0000115	KUD10_RS02395	FEF31_RS02065
OG0000116	KUD10_RS01370	FEF31_RS00955
OG0000117	KUD10_RS01375	FEF31_RS00960
OG0000118	KUD10_RS01410	FEF31_RS00995
OG0000119	KUD10_RS01415	FEF31_RS01000
OG0000120	KUD10_RS01430	FEF31_RS01020
OG0000121	KUD10_RS01455	FEF31_RS01045
OG0000122	KUD10_RS01460	FEF31_RS01050
OG0000123	KUD10_RS01480	FEF31_RS01070
OG0000124	KUD10_RS01485	FEF31_RS01075
OG0000125	KUD10_RS01490	FEF31_RS01080
OG0000126	KUD10_RS01500	FEF31_RS01090
OG0000127	KUD10_RS01510	FEF31_RS01100
OG0000128	KUD10_RS01525	FEF31_RS01115
OG0000129	KUD10_RS01530	FEF31_RS01120
OG0000130	KUD10_RS01540	FEF31_RS01130
OG0000131	KUD10_RS01570	FEF31_RS01160
OG0000132	KUD10_RS01585	FEF31_RS04430
OG0000133	KUD10_RS00535	FEF31_RS00190
OG0000134	KUD10_RS00540	FEF31_RS00195
OG0000135	KUD10_RS00555	FEF31_RS00210
OG0000136	KUD10_RS00560	FEF31_RS00215
OG0000137	KUD10_RS00600	FEF31_RS00245
OG0000138	KUD10_RS00630	FEF31_RS00280
OG0000139	KUD10_RS00660	FEF31_RS00310
OG0000140	KUD10_RS00665	FEF31_RS00315
OG0000141	KUD10_RS03005	FEF31_RS02670
OG0000142	KUD10_RS03000	FEF31_RS04555
OG0000143	KUD10_RS02980	FEF31_RS02645
OG0000144	KUD10_RS02970	FEF31_RS02635
OG0000145	KUD10_RS02960	FEF31_RS02625
OG0000146	KUD10_RS02950	FEF31_RS02615
OG0000147	KUD10_RS02945	FEF31_RS02610
OG0000148	KUD10_RS02930	FEF31_RS02595
OG0000149	KUD10_RS02920	FEF31_RS02585
OG0000150	KUD10_RS02905	FEF31_RS02570
OG0000151	KUD10_RS02860	FEF31_RS02525
OG0000152	KUD10_RS02855	FEF31_RS02520
OG0000153	KUD10_RS02850	FEF31_RS02515
OG0000154	KUD10_RS02840	FEF31_RS02505
OG0000155	KUD10_RS02805	FEF31_RS02465
OG0000156	KUD10_RS02795	FEF31_RS02455
OG0000157	KUD10_RS02790	FEF31_RS04545
OG0000158	KUD10_RS03710	FEF31_RS04540
OG0000159	KUD10_RS02545	FEF31_RS02195
OG0000160	KUD10_RS02540	FEF31_RS02190
OG0000161	KUD10_RS02535	FEF31_RS02185
OG0000162	KUD10_RS02525	FEF31_RS02175
OG0000163	KUD10_RS02520	FEF31_RS02170
OG0000164	KUD10_RS01670	FEF31_RS01270
OG0000165	KUD10_RS01990	FEF31_RS01685
OG0000166	KUD10_RS02010	FEF31_RS01705
OG0000167	KUD10_RS02025	FEF31_RS01720
OG0000168	KUD10_RS02030	FEF31_RS01725
OG0000169	KUD10_RS03115	FEF31_RS03615
OG0000170	KUD10_RS03130	FEF31_RS04785, FEF31_RS04795
OG0000171	KUD10_RS03140	FEF31_RS03640
OG0000172	KUD10_RS03145	FEF31_RS03645
OG0000173	KUD10_RS03150	FEF31_RS03650
OG0000174	KUD10_RS03155	FEF31_RS03655
OG0000175	KUD10_RS03170	FEF31_RS03670
OG0000176	KUD10_RS03215	FEF31_RS03715
OG0000177	KUD10_RS03220	FEF31_RS03720
OG0000178	KUD10_RS03225	FEF31_RS03725
OG0000179	KUD10_RS03235	FEF31_RS03735
OG0000180	KUD10_RS03240	FEF31_RS03740
OG0000181	KUD10_RS03285	FEF31_RS04690
OG0000182	KUD10_RS03295	FEF31_RS03795
OG0000183	KUD10_RS03330	FEF31_RS03830
OG0000184	KUD10_RS03375	FEF31_RS02980
OG0000185	KUD10_RS03360	FEF31_RS02965
OG0000186	KUD10_RS01595	FEF31_RS04435
OG0000187	KUD10_RS01610	FEF31_RS01200
OG0000188	KUD10_RS01620	FEF31_RS01210
OG0000189	KUD10_RS02365	FEF31_RS04520
OG0000190	KUD10_RS02360	FEF31_RS02035
OG0000191	KUD10_RS02340	FEF31_RS02015
OG0000192	KUD10_RS01290	FEF31_RS00875
OG0000193	KUD10_RS01275	FEF31_RS00860
OG0000194	KUD10_RS00685	FEF31_RS00345
OG0000195	KUD10_RS00690	FEF31_RS00350
OG0000196	KUD10_RS00710	FEF31_RS00370
OG0000197	KUD10_RS00715	FEF31_RS00375
OG0000198	KUD10_RS00730	FEF31_RS00390
OG0000199	KUD10_RS00735	FEF31_RS00395
OG0000200	KUD10_RS00750	FEF31_RS00410
OG0000201	KUD10_RS00760	FEF31_RS00420
OG0000202	KUD10_RS00815	FEF31_RS00475
OG0000203	KUD10_RS00820	FEF31_RS00480
OG0000204	KUD10_RS00825	FEF31_RS00485
OG0000205	KUD10_RS00830	FEF31_RS00490
OG0000206	KUD10_RS00850	FEF31_RS00510
OG0000207	KUD10_RS00865	FEF31_RS00525
OG0000208	KUD10_RS00870	FEF31_RS00530
OG0000209	KUD10_RS00875	FEF31_RS00535
OG0000210	KUD10_RS00920	FEF31_RS00580
OG0000211	KUD10_RS00930	FEF31_RS00590
OG0000212	KUD10_RS00940	FEF31_RS00600
OG0000213	KUD10_RS00945	FEF31_RS00605
OG0000214	KUD10_RS00950	FEF31_RS00610
OG0000215	KUD10_RS00955	FEF31_RS00615
OG0000216	KUD10_RS00960	FEF31_RS00620
OG0000217	KUD10_RS00965	FEF31_RS00625
OG0000218	KUD10_RS00975	FEF31_RS00635
OG0000219	KUD10_RS00980	FEF31_RS00640
OG0000220	KUD10_RS00985	FEF31_RS00645
OG0000221	KUD10_RS00990	FEF31_RS00650
OG0000222	KUD10_RS00995	FEF31_RS00655
OG0000223	KUD10_RS01000	FEF31_RS00660
OG0000224	KUD10_RS01010	FEF31_RS00670
OG0000225	KUD10_RS01020	FEF31_RS00680
OG0000226	KUD10_RS01025	FEF31_RS00685
OG0000227	KUD10_RS01030	FEF31_RS00690
OG0000228	KUD10_RS03740	FEF31_RS04770
OG0000229	KUD10_RS01040	FEF31_RS00700
OG0000230	KUD10_RS01045	FEF31_RS00705
OG0000231	KUD10_RS01055	FEF31_RS00715
OG0000232	KUD10_RS01065	FEF31_RS00725
OG0000233	KUD10_RS01090	FEF31_RS00750
OG0000234	KUD10_RS01125	FEF31_RS00785
OG0000235	KUD10_RS01135	FEF31_RS00795
OG0000236	KUD10_RS01140	FEF31_RS00800
OG0000237	KUD10_RS01230	FEF31_RS00805
OG0000238	KUD10_RS01235	FEF31_RS00810
OG0000239	KUD10_RS03015	FEF31_RS02680
OG0000240	KUD10_RS03020	FEF31_RS02685
OG0000241	KUD10_RS03030	FEF31_RS02695
OG0000242	KUD10_RS03035	FEF31_RS02700
OG0000243	KUD10_RS03040	FEF31_RS02705
OG0000244	KUD10_RS03050	FEF31_RS02715
OG0000245	KUD10_RS03055	FEF31_RS02720
OG0000246	KUD10_RS00140	FEF31_RS03410
OG0000247	KUD10_RS00150	FEF31_RS03420
OG0000248	KUD10_RS00160	FEF31_RS03430
OG0000249	KUD10_RS00165	FEF31_RS03435
OG0000250	KUD10_RS00180	FEF31_RS03450
OG0000251	KUD10_RS00210	FEF31_RS03480
OG0000252	KUD10_RS00220	FEF31_RS03490
OG0000253	KUD10_RS00225	FEF31_RS03495
OG0000254	KUD10_RS00235	FEF31_RS03505
OG0000255	KUD10_RS00240	FEF31_RS03510
OG0000256	KUD10_RS00245	FEF31_RS03515
OG0000257	KUD10_RS00270	FEF31_RS03540
OG0000258	KUD10_RS00280	FEF31_RS03550
OG0000259	KUD10_RS00310	FEF31_RS03580
OG0000260	KUD10_RS00320	FEF31_RS03590
OG0000261	KUD10_RS00330	FEF31_RS04680
OG0000262	KUD10_RS00345	FEF31_RS00010
OG0000263	KUD10_RS00360	FEF31_RS00025
OG0000264	KUD10_RS00375	FEF31_RS00040
OG0000265	KUD10_RS00385	FEF31_RS00050
OG0000266	KUD10_RS00400	FEF31_RS00065
OG0000267	KUD10_RS00415	FEF31_RS00080
OG0000268	KUD10_RS00420	FEF31_RS00085
OG0000269	KUD10_RS00435	FEF31_RS00100
OG0000270	KUD10_RS03560	FEF31_RS04635
OG0000271	KUD10_RS03555	FEF31_RS03160
OG0000272	KUD10_RS03550	FEF31_RS03155
OG0000273	KUD10_RS03545	FEF31_RS03150
OG0000274	KUD10_RS03525	FEF31_RS03130
OG0000275	KUD10_RS03520	FEF31_RS04625
OG0000276	KUD10_RS03515	FEF31_RS03120
OG0000277	KUD10_RS03505	FEF31_RS03110
OG0000278	KUD10_RS03500	FEF31_RS03105
OG0000279	KUD10_RS03490	FEF31_RS03095
OG0000280	KUD10_RS03485	FEF31_RS03090
OG0000281	KUD10_RS03480	FEF31_RS03085
OG0000282	KUD10_RS03455	FEF31_RS04615
OG0000283	KUD10_RS03450	FEF31_RS03055
OG0000284	KUD10_RS03445	FEF31_RS03050
OG0000285	KUD10_RS03440	FEF31_RS04610
OG0000286	KUD10_RS02505	FEF31_RS02155
OG0000287	KUD10_RS02600	FEF31_RS02260
OG0000288	KUD10_RS02610	FEF31_RS02270
OG0000289	KUD10_RS02615	FEF31_RS02275
OG0000290	KUD10_RS02730	FEF31_RS02385
OG0000291	KUD10_RS02720	FEF31_RS02375
OG0000292	KUD10_RS02715	FEF31_RS02370
OG0000293	KUD10_RS02710	FEF31_RS02365
OG0000294	KUD10_RS02700	FEF31_RS02355
OG0000295	KUD10_RS02695	FEF31_RS02350
OG0000296	KUD10_RS02650	FEF31_RS02310
OG0000297	KUD10_RS02645	FEF31_RS02305
OG0000298	KUD10_RS00175	FEF31_RS03445
OG0000299	KUD10_RS00195	FEF31_RS03465
OG0000300	KUD10_RS00370	FEF31_RS00035
OG0000301	KUD10_RS00405	FEF31_RS00070
OG0000302	KUD10_RS00410	FEF31_RS00075
OG0000303	KUD10_RS00565	FEF31_RS00220
OG0000304	KUD10_RS01070	FEF31_RS00730
OG0000305	KUD10_RS02955	FEF31_RS02620
OG0000306	KUD10_RS02880	FEF31_RS02545
OG0000307	KUD10_RS02845	FEF31_RS02510
OG0000308	KUD10_RS02750	FEF31_RS02405
OG0000309	KUD10_RS02685	FEF31_RS02340
OG0000310	KUD10_RS02605	FEF31_RS02265
OG0000311	KUD10_RS02565	FEF31_RS02215
OG0000312	KUD10_RS02550	FEF31_RS02200
OG0000313	KUD10_RS01660	FEF31_RS01260
OG0000314	KUD10_RS02005	FEF31_RS01700
OG0000315	KUD10_RS02035	FEF31_RS01730
OG0000316	KUD10_RS02045	FEF31_RS01740
OG0000317	KUD10_RS02140	FEF31_RS01835
OG0000318	KUD10_RS02050	FEF31_RS04480
OG0000319	KUD10_RS02295	FEF31_RS01970
OG0000320	KUD10_RS02425	FEF31_RS02095
OG0000321	KUD10_RS01405	FEF31_RS00990
OG0000322	KUD10_RS01450	FEF31_RS01040
OG0000323	KUD10_RS01580	FEF31_RS01170
OG0000324	KUD10_RS02335	FEF31_RS02010
OG0000325	KUD10_RS00695	FEF31_RS00355
OG0000326	KUD10_RS00790	FEF31_RS00450
OG0000327	KUD10_RS00795	FEF31_RS00455
OG0000328	KUD10_RS00880	FEF31_RS00540
OG0000329	KUD10_RS00900	FEF31_RS00560
OG0000330	KUD10_RS01100	FEF31_RS00760
OG0000331	KUD10_RS03045	FEF31_RS02710
OG0000332	KUD10_RS03180	FEF31_RS03680
OG0000333	KUD10_RS03190	FEF31_RS03690
OG0000334	KUD10_RS03290	FEF31_RS03790
OG0000335	KUD10_RS03300	FEF31_RS03800
OG0000336	KUD10_RS03470	FEF31_RS04620
OG0000337	KUD10_RS03645	FEF31_RS03240
OG0000338	KUD10_RS03685	FEF31_RS03280
OG0000339	KUD10_RS02400	FEF31_RS02070
OG0000340	KUD10_RS01385	FEF31_RS00970
OG0000341	KUD10_RS02355	FEF31_RS02030
OG0000342	KUD10_RS00725	FEF31_RS00385
OG0000343	KUD10_RS03200	FEF31_RS03700
OG0000344	KUD10_RS00580	FEF31_RS00235
OG0000345	KUD10_RS01015	FEF31_RS00675
OG0000346	KUD10_RS03475	FEF31_RS03080
OG0000347	KUD10_RS01475	FEF31_RS01065
OG0000348	KUD10_RS00800	FEF31_RS00460
OG0000349	KUD10_RS03535	FEF31_RS04630
OG0000350	KUD10_RS02835	FEF31_RS02500
OG0000351	KUD10_RS00490	FEF31_RS00155
OG0000352	KUD10_RS01985	FEF31_RS01680
OG0000353	KUD10_RS01445	FEF31_RS01035
OG0000354	KUD10_RS00645	FEF31_RS00295
OG0000355	KUD10_RS01960	FEF31_RS04470
OG0000356	KUD10_RS02040	FEF31_RS04475
OG0000357	KUD10_RS03160	FEF31_RS04685
OG0000358	KUD10_RS03165	FEF31_RS03665
OG0000359	KUD10_RS00770	FEF31_RS04380
OG0000360	KUD10_RS00275	FEF31_RS03545
OG0000361	KUD10_RS00305	FEF31_RS03575
OG0000362	KUD10_RS02625	FEF31_RS02285
OG0000363	KUD10_RS01515	FEF31_RS01105
OG0000364	KUD10_RS01940	FEF31_RS01635
OG0000365	KUD10_RS02085	FEF31_RS01785
OG0000366	KUD10_RS02110	FEF31_RS01805
OG0000367	KUD10_RS02120	FEF31_RS01815
OG0000368	KUD10_RS00060	FEF31_RS03345
OG0000369	KUD10_RS00025	FEF31_RS04650
OG0000370	KUD10_RS00020	FEF31_RS03305
OG0000371	KUD10_RS00015	FEF31_RS03300
OG0000372	KUD10_RS00010	FEF31_RS03295
OG0000373	KUD10_RS03675	FEF31_RS03270
OG0000374	KUD10_RS03665	FEF31_RS03260
OG0000375	KUD10_RS02290	FEF31_RS01965
OG0000376	KUD10_RS02440	FEF31_RS02110
OG0000377	KUD10_RS02430	FEF31_RS02100
OG0000378	KUD10_RS01365	FEF31_RS00950
OG0000379	KUD10_RS01440	FEF31_RS01030
OG0000380	KUD10_RS01465	FEF31_RS01055
OG0000381	KUD10_RS01505	FEF31_RS01095
OG0000382	KUD10_RS01535	FEF31_RS01125
OG0000383	KUD10_RS01575	FEF31_RS01165
OG0000384	KUD10_RS00520	FEF31_RS00175
OG0000385	KUD10_RS00525	FEF31_RS00180
OG0000386	KUD10_RS00545	FEF31_RS00200
OG0000387	KUD10_RS00570	FEF31_RS00225
OG0000388	KUD10_RS00575	FEF31_RS04370
OG0000389	KUD10_RS00625	FEF31_RS00275
OG0000390	KUD10_RS02975	FEF31_RS02640
OG0000391	KUD10_RS02965	FEF31_RS02630
OG0000392	KUD10_RS02940	FEF31_RS02605
OG0000393	KUD10_RS02885	FEF31_RS04550
OG0000394	KUD10_RS02815	FEF31_RS02475
OG0000395	KUD10_RS02810	FEF31_RS02470
OG0000396	KUD10_RS02510	FEF31_RS02160
OG0000397	KUD10_RS01970	FEF31_RS01665
OG0000398	KUD10_RS01975	FEF31_RS01670
OG0000399	KUD10_RS02020	FEF31_RS01715
OG0000400	KUD10_RS03125	FEF31_RS03625
OG0000401	KUD10_RS03185	FEF31_RS03685
OG0000402	KUD10_RS03195	FEF31_RS03695
OG0000403	KUD10_RS03205	FEF31_RS03705
OG0000404	KUD10_RS03230	FEF31_RS03730
OG0000405	KUD10_RS03245	FEF31_RS04800
OG0000406	KUD10_RS03305	FEF31_RS03805
OG0000407	KUD10_RS03310	FEF31_RS04695
OG0000408	KUD10_RS03315	FEF31_RS03815
OG0000409	KUD10_RS03320	FEF31_RS03820
OG0000410	KUD10_RS03380	FEF31_RS02985
OG0000411	KUD10_RS03370	FEF31_RS02975
OG0000412	KUD10_RS03365	FEF31_RS02970
OG0000413	KUD10_RS01590	FEF31_RS01180
OG0000414	KUD10_RS01600	FEF31_RS01190
OG0000415	KUD10_RS01605	FEF31_RS01195
OG0000416	KUD10_RS01615	FEF31_RS01205
OG0000417	KUD10_RS02350	FEF31_RS02025
OG0000418	KUD10_RS02345	FEF31_RS02020
OG0000419	KUD10_RS00705	FEF31_RS00365
OG0000420	KUD10_RS00740	FEF31_RS00400
OG0000421	KUD10_RS00775	FEF31_RS00435
OG0000422	KUD10_RS00785	FEF31_RS00445
OG0000423	KUD10_RS00840	FEF31_RS00500
OG0000424	KUD10_RS00845	FEF31_RS00505
OG0000425	KUD10_RS00855	FEF31_RS00515
OG0000426	KUD10_RS00860	FEF31_RS04385
OG0000427	KUD10_RS00885	FEF31_RS04390
OG0000428	KUD10_RS00910	FEF31_RS00570
OG0000429	KUD10_RS01005	FEF31_RS00665
OG0000430	KUD10_RS01050	FEF31_RS00710
OG0000431	KUD10_RS01060	FEF31_RS00720
OG0000432	KUD10_RS01095	FEF31_RS00755
OG0000433	KUD10_RS01110	FEF31_RS00770
OG0000434	KUD10_RS01115	FEF31_RS00775
OG0000435	KUD10_RS01130	FEF31_RS00790
OG0000436	KUD10_RS01240	FEF31_RS00815
OG0000437	KUD10_RS01250	FEF31_RS00825
OG0000438	KUD10_RS01255	FEF31_RS00830
OG0000439	KUD10_RS01260	FEF31_RS04400
OG0000440	KUD10_RS03025	FEF31_RS02690
OG0000441	KUD10_RS03060	FEF31_RS02725
OG0000442	KUD10_RS00145	FEF31_RS03415
OG0000443	KUD10_RS00190	FEF31_RS03460
OG0000444	KUD10_RS00205	FEF31_RS03475
OG0000445	KUD10_RS00230	FEF31_RS03500
OG0000446	KUD10_RS00255	FEF31_RS03525
OG0000447	KUD10_RS00260	FEF31_RS03530
OG0000448	KUD10_RS00290	FEF31_RS03560
OG0000449	KUD10_RS00315	FEF31_RS03585
OG0000450	KUD10_RS00325	FEF31_RS03595
OG0000451	KUD10_RS00365	FEF31_RS00030
OG0000452	KUD10_RS00390	FEF31_RS00055
OG0000453	KUD10_RS00425	FEF31_RS00090
OG0000455	KUD10_RS03580	FEF31_RS03185
OG0000456	KUD10_RS03460	FEF31_RS03065
OG0000457	KUD10_RS03435	FEF31_RS03040
OG0000458	KUD10_RS02595	FEF31_RS02255
OG0000459	KUD10_RS02620	FEF31_RS02280
OG0000460	KUD10_RS02630	FEF31_RS02290
OG0000461	KUD10_RS02680	FEF31_RS02335
OG0000462	KUD10_RS02670	FEF31_RS02330
OG0000463	KUD10_RS02665	FEF31_RS02325
OG0000464	KUD10_RS02660	FEF31_RS02320
OG0000465	KUD10_RS02655	FEF31_RS02315
OG0000466	KUD10_RS00395	FEF31_RS00060
OG0000467	KUD10_RS02760	FEF31_RS04530
OG0000468	KUD10_RS02015	FEF31_RS01710
OG0000469	KUD10_RS02075	FEF31_RS01770
OG0000470	KUD10_RS00835	FEF31_RS00495
OG0000471	KUD10_RS00915	FEF31_RS00575
OG0000472	KUD10_RS03390	FEF31_RS02995
OG0000473	KUD10_RS03565	FEF31_RS03170
OG0000474	KUD10_RS03570	FEF31_RS03175
OG0000475	KUD10_RS03575	FEF31_RS03180
OG0000476	KUD10_RS01625	FEF31_RS01215
OG0000477	KUD10_RS02705	FEF31_RS02360
OG0000478	KUD10_RS03510	FEF31_RS03115
OG0000479	KUD10_RS01400	FEF31_RS00985
OG0000480	KUD10_RS02080	FEF31_RS01775
OG0000481	KUD10_RS00810	FEF31_RS00470
OG0000482	KUD10_RS01280	FEF31_RS00865
OG0000483	KUD10_RS02125	FEF31_RS01820
OG0000484	KUD10_RS00200	FEF31_RS04675
OG0000485	KUD10_RS01245	FEF31_RS00820
OG0000486	KUD10_RS02370	FEF31_RS02045
OG0000487	KUD10_RS02055	FEF31_RS04485
OG0000488	KUD10_RS02095	FEF31_RS01790
OG0000489	KUD10_RS00050	FEF31_RS03335
OG0000490	KUD10_RS03680	FEF31_RS03275
OG0000491	KUD10_RS01420	FEF31_RS01005
OG0000492	KUD10_RS01495	FEF31_RS01085
OG0000493	KUD10_RS00585	FEF31_RS00240
OG0000494	KUD10_RS00650	FEF31_RS00300
OG0000495	KUD10_RS02910	FEF31_RS02575
OG0000496	KUD10_RS02900	FEF31_RS02565
OG0000497	KUD10_RS02895	FEF31_RS02560
OG0000498	KUD10_RS02820	FEF31_RS02480
OG0000499	KUD10_RS02785	FEF31_RS02445
OG0000500	KUD10_RS01980	FEF31_RS01675
OG0000502	KUD10_RS01270	FEF31_RS00855
OG0000503	KUD10_RS00755	FEF31_RS00415
OG0000504	KUD10_RS00890	FEF31_RS00550
OG0000505	KUD10_RS00925	FEF31_RS00585
OG0000506	KUD10_RS00935	FEF31_RS00595
