Orthogroup	MHP_LH_genes	MHP_116_genes
OG0000094	KUD10_RS00030	ABJ972_RS00030
OG0000095	KUD10_RS00005	ABJ972_RS00005
OG0000096	KUD10_RS03690	ABJ972_RS03550
OG0000097	KUD10_RS03670	ABJ972_RS03530
OG0000098	KUD10_RS03660	ABJ972_RS03490
OG0000099	KUD10_RS03610	ABJ972_RS03440
OG0000100	KUD10_RS03590	ABJ972_RS03425
OG0000101	KUD10_RS03585	ABJ972_RS03420
OG0000102	KUD10_RS01765	ABJ972_RS01680
OG0000103	KUD10_RS02280	ABJ972_RS02165
OG0000104	KUD10_RS02285	ABJ972_RS02170
OG0000105	KUD10_RS02300	ABJ972_RS02185
OG0000106	KUD10_RS02310	ABJ972_RS02195
OG0000107	KUD10_RS02320	ABJ972_RS02205
OG0000108	KUD10_RS02325	ABJ972_RS02210
OG0000109	KUD10_RS02330	ABJ972_RS02215
OG0000110	KUD10_RS02450	ABJ972_RS02335
OG0000111	KUD10_RS02445	ABJ972_RS02330
OG0000112	KUD10_RS02435	ABJ972_RS02320
OG0000113	KUD10_RS02415	ABJ972_RS02300
OG0000114	KUD10_RS02405	ABJ972_RS02290
OG0000115	KUD10_RS02395	ABJ972_RS02280
OG0000116	KUD10_RS01370	ABJ972_RS01285
OG0000117	KUD10_RS01375	ABJ972_RS01290
OG0000118	KUD10_RS01410	ABJ972_RS01325
OG0000119	KUD10_RS01415	ABJ972_RS01330
OG0000120	KUD10_RS01430	ABJ972_RS01345
OG0000121	KUD10_RS01455	ABJ972_RS01370
OG0000122	KUD10_RS01460	ABJ972_RS01375
OG0000123	KUD10_RS01480	ABJ972_RS01395
OG0000124	KUD10_RS01485	ABJ972_RS01400
OG0000125	KUD10_RS01490	ABJ972_RS01405
OG0000126	KUD10_RS01500	ABJ972_RS01415
OG0000127	KUD10_RS01510	ABJ972_RS01425
OG0000128	KUD10_RS01525	ABJ972_RS01440
OG0000129	KUD10_RS01530	ABJ972_RS01445
OG0000130	KUD10_RS01540	ABJ972_RS01455
OG0000131	KUD10_RS01570	ABJ972_RS01485
OG0000132	KUD10_RS01585	ABJ972_RS01500
OG0000133	KUD10_RS00535	ABJ972_RS00515
OG0000134	KUD10_RS00540	ABJ972_RS00520
OG0000135	KUD10_RS00555	ABJ972_RS00535
OG0000136	KUD10_RS00560	ABJ972_RS00540
OG0000137	KUD10_RS00600	ABJ972_RS00570
OG0000138	KUD10_RS00630	ABJ972_RS01050
OG0000139	KUD10_RS00660	ABJ972_RS01020
OG0000140	KUD10_RS00665	ABJ972_RS01015
OG0000141	KUD10_RS03005	ABJ972_RS02855
OG0000142	KUD10_RS03000	ABJ972_RS02850
OG0000143	KUD10_RS02980	ABJ972_RS02830
OG0000144	KUD10_RS02970	ABJ972_RS02820
OG0000145	KUD10_RS02960	ABJ972_RS02810
OG0000146	KUD10_RS02950	ABJ972_RS02800
OG0000147	KUD10_RS02945	ABJ972_RS02795
OG0000148	KUD10_RS02930	ABJ972_RS02780
OG0000149	KUD10_RS02920	ABJ972_RS02770
OG0000150	KUD10_RS02905	ABJ972_RS02755
OG0000151	KUD10_RS02860	ABJ972_RS02705
OG0000152	KUD10_RS02855	ABJ972_RS02700
OG0000153	KUD10_RS02850	ABJ972_RS02695
OG0000154	KUD10_RS02840	ABJ972_RS02685
OG0000155	KUD10_RS02805	ABJ972_RS02650
OG0000156	KUD10_RS02795	ABJ972_RS02645
OG0000157	KUD10_RS02790	ABJ972_RS02635
OG0000158	KUD10_RS03710	ABJ972_RS02625
OG0000159	KUD10_RS02545	ABJ972_RS02405
OG0000160	KUD10_RS02540	ABJ972_RS02400
OG0000161	KUD10_RS02535	ABJ972_RS02395
OG0000162	KUD10_RS02525	ABJ972_RS02385
OG0000163	KUD10_RS02520	ABJ972_RS02380
OG0000164	KUD10_RS01670	ABJ972_RS01585
OG0000165	KUD10_RS01990	ABJ972_RS01905
OG0000166	KUD10_RS02010	ABJ972_RS01925
OG0000167	KUD10_RS02025	ABJ972_RS01940
OG0000168	KUD10_RS02030	ABJ972_RS01945
OG0000169	KUD10_RS03115	ABJ972_RS02955
OG0000170	KUD10_RS03130	ABJ972_RS02970
OG0000171	KUD10_RS03140	ABJ972_RS02980
OG0000172	KUD10_RS03145	ABJ972_RS02985
OG0000173	KUD10_RS03150	ABJ972_RS02990
OG0000174	KUD10_RS03155	ABJ972_RS02995
OG0000175	KUD10_RS03170	ABJ972_RS03010
OG0000176	KUD10_RS03215	ABJ972_RS03055
OG0000177	KUD10_RS03220	ABJ972_RS03060
OG0000178	KUD10_RS03225	ABJ972_RS03065
OG0000179	KUD10_RS03235	ABJ972_RS03075
OG0000180	KUD10_RS03240	ABJ972_RS03080
OG0000181	KUD10_RS03285	ABJ972_RS03130
OG0000182	KUD10_RS03295	ABJ972_RS03140
OG0000183	KUD10_RS03330	ABJ972_RS03175
OG0000184	KUD10_RS03375	ABJ972_RS03220
OG0000185	KUD10_RS03360	ABJ972_RS03205
OG0000186	KUD10_RS01595	ABJ972_RS01510
OG0000187	KUD10_RS01610	ABJ972_RS01525
OG0000188	KUD10_RS01620	ABJ972_RS01535
OG0000189	KUD10_RS02365	ABJ972_RS02250
OG0000190	KUD10_RS02360	ABJ972_RS02245
OG0000191	KUD10_RS02340	ABJ972_RS02225
OG0000192	KUD10_RS01290	ABJ972_RS01205
OG0000193	KUD10_RS01275	ABJ972_RS01195
OG0000194	KUD10_RS00685	ABJ972_RS00980
OG0000195	KUD10_RS00690	ABJ972_RS00975
OG0000196	KUD10_RS00710	ABJ972_RS00955
OG0000197	KUD10_RS00715	ABJ972_RS00950
OG0000198	KUD10_RS00730	ABJ972_RS00930
OG0000199	KUD10_RS00735	ABJ972_RS00925
OG0000200	KUD10_RS00750	ABJ972_RS00910
OG0000201	KUD10_RS00760	ABJ972_RS00900
OG0000202	KUD10_RS00815	ABJ972_RS00845
OG0000203	KUD10_RS00820	ABJ972_RS00840
OG0000204	KUD10_RS00825	ABJ972_RS00835
OG0000205	KUD10_RS00830	ABJ972_RS00830
OG0000206	KUD10_RS00850	ABJ972_RS00810
OG0000207	KUD10_RS00865	ABJ972_RS00795
OG0000208	KUD10_RS00870	ABJ972_RS00790
OG0000209	KUD10_RS00875	ABJ972_RS00785
OG0000210	KUD10_RS00920	ABJ972_RS00740
OG0000211	KUD10_RS00930	ABJ972_RS00730
OG0000212	KUD10_RS00940	ABJ972_RS00720
OG0000213	KUD10_RS00945	ABJ972_RS00715
OG0000214	KUD10_RS00950	ABJ972_RS00710
OG0000215	KUD10_RS00955	ABJ972_RS00705
OG0000216	KUD10_RS00960	ABJ972_RS00700
OG0000217	KUD10_RS00965	ABJ972_RS00695
OG0000218	KUD10_RS00975	ABJ972_RS00685
OG0000219	KUD10_RS00980	ABJ972_RS00680
OG0000220	KUD10_RS00985	ABJ972_RS00675
OG0000221	KUD10_RS00990	ABJ972_RS00670
OG0000222	KUD10_RS00995	ABJ972_RS00665
OG0000223	KUD10_RS01000	ABJ972_RS00660
OG0000224	KUD10_RS01010	ABJ972_RS00650
OG0000225	KUD10_RS01020	ABJ972_RS00640
OG0000226	KUD10_RS01025	ABJ972_RS00635
OG0000227	KUD10_RS01030	ABJ972_RS00630
OG0000228	KUD10_RS03740	ABJ972_RS00625
OG0000229	KUD10_RS01040	ABJ972_RS00620
OG0000230	KUD10_RS01045	ABJ972_RS00615
OG0000231	KUD10_RS01055	ABJ972_RS00605
OG0000232	KUD10_RS01065	ABJ972_RS00595
OG0000233	KUD10_RS01090	ABJ972_RS01080
OG0000234	KUD10_RS01125	ABJ972_RS01115
OG0000235	KUD10_RS01135	ABJ972_RS01125
OG0000236	KUD10_RS01140	ABJ972_RS01130
OG0000237	KUD10_RS01230	ABJ972_RS01135
OG0000238	KUD10_RS01235	ABJ972_RS01140
OG0000239	KUD10_RS03015	ABJ972_RS02865
OG0000240	KUD10_RS03020	ABJ972_RS02870
OG0000241	KUD10_RS03030	ABJ972_RS02880
OG0000242	KUD10_RS03035	ABJ972_RS02885
OG0000243	KUD10_RS03040	ABJ972_RS02890
OG0000244	KUD10_RS03050	ABJ972_RS02900
OG0000245	KUD10_RS03055	ABJ972_RS02910
OG0000246	KUD10_RS00140	ABJ972_RS00125
OG0000247	KUD10_RS00150	ABJ972_RS00135
OG0000248	KUD10_RS00160	ABJ972_RS00145
OG0000249	KUD10_RS00165	ABJ972_RS00150
OG0000250	KUD10_RS00180	ABJ972_RS00165
OG0000251	KUD10_RS00210	ABJ972_RS00195
OG0000252	KUD10_RS00220	ABJ972_RS00205
OG0000253	KUD10_RS00225	ABJ972_RS00210
OG0000254	KUD10_RS00235	ABJ972_RS00220
OG0000255	KUD10_RS00240	ABJ972_RS00225
OG0000256	KUD10_RS00245	ABJ972_RS00230
OG0000257	KUD10_RS00270	ABJ972_RS00255
OG0000258	KUD10_RS00280	ABJ972_RS00265
OG0000259	KUD10_RS00310	ABJ972_RS00295
OG0000260	KUD10_RS00320	ABJ972_RS00305
OG0000261	KUD10_RS00330	ABJ972_RS00315
OG0000262	KUD10_RS00345	ABJ972_RS00330
OG0000263	KUD10_RS00360	ABJ972_RS00345
OG0000264	KUD10_RS00375	ABJ972_RS00360
OG0000265	KUD10_RS00385	ABJ972_RS00370
OG0000266	KUD10_RS00400	ABJ972_RS00385
OG0000267	KUD10_RS00415	ABJ972_RS00400
OG0000268	KUD10_RS00420	ABJ972_RS00405
OG0000269	KUD10_RS00435	ABJ972_RS00420
OG0000270	KUD10_RS03560	ABJ972_RS03395
OG0000271	KUD10_RS03555	ABJ972_RS03390
OG0000272	KUD10_RS03550	ABJ972_RS03385
OG0000273	KUD10_RS03545	ABJ972_RS03380
OG0000274	KUD10_RS03525	ABJ972_RS03360
OG0000275	KUD10_RS03520	ABJ972_RS03355
OG0000276	KUD10_RS03515	ABJ972_RS03350
OG0000277	KUD10_RS03505	ABJ972_RS03340
OG0000278	KUD10_RS03500	ABJ972_RS03335
OG0000279	KUD10_RS03490	ABJ972_RS03325
OG0000280	KUD10_RS03485	ABJ972_RS03320
OG0000281	KUD10_RS03480	ABJ972_RS03315
OG0000282	KUD10_RS03455	ABJ972_RS03290
OG0000283	KUD10_RS03450	ABJ972_RS03285
OG0000284	KUD10_RS03445	ABJ972_RS03280
OG0000285	KUD10_RS03440	ABJ972_RS03275
OG0000286	KUD10_RS02505	ABJ972_RS02365
OG0000287	KUD10_RS02600	ABJ972_RS02455
OG0000288	KUD10_RS02610	ABJ972_RS02465
OG0000289	KUD10_RS02615	ABJ972_RS02470
OG0000290	KUD10_RS02730	ABJ972_RS02580
OG0000291	KUD10_RS02720	ABJ972_RS02570
OG0000292	KUD10_RS02715	ABJ972_RS02565
OG0000293	KUD10_RS02710	ABJ972_RS02560
OG0000294	KUD10_RS02700	ABJ972_RS02550
OG0000295	KUD10_RS02695	ABJ972_RS02545
OG0000296	KUD10_RS02650	ABJ972_RS02505
OG0000297	KUD10_RS02645	ABJ972_RS02500
OG0000298	KUD10_RS00175	ABJ972_RS00160
OG0000299	KUD10_RS00195	ABJ972_RS00180
OG0000300	KUD10_RS00370	ABJ972_RS00355
OG0000301	KUD10_RS00405	ABJ972_RS00390
OG0000302	KUD10_RS00410	ABJ972_RS00395
OG0000303	KUD10_RS00565	ABJ972_RS00545
OG0000304	KUD10_RS01070	ABJ972_RS00590
OG0000305	KUD10_RS02955	ABJ972_RS02805
OG0000306	KUD10_RS02880	ABJ972_RS02730
OG0000307	KUD10_RS02845	ABJ972_RS02690
OG0000308	KUD10_RS02750	ABJ972_RS02600
OG0000309	KUD10_RS02685	ABJ972_RS02535
OG0000310	KUD10_RS02605	ABJ972_RS02460
OG0000311	KUD10_RS02565	ABJ972_RS02425
OG0000312	KUD10_RS02550	ABJ972_RS02410
OG0000313	KUD10_RS01660	ABJ972_RS01575
OG0000314	KUD10_RS02005	ABJ972_RS01920
OG0000315	KUD10_RS02035	ABJ972_RS01950
OG0000316	KUD10_RS02045	ABJ972_RS01960
OG0000317	KUD10_RS02140	ABJ972_RS02055
OG0000318	KUD10_RS02050	ABJ972_RS01965
OG0000319	KUD10_RS02295	ABJ972_RS02180
OG0000320	KUD10_RS02425	ABJ972_RS02310
OG0000321	KUD10_RS01405	ABJ972_RS01320
OG0000322	KUD10_RS01450	ABJ972_RS01365
OG0000323	KUD10_RS01580	ABJ972_RS01495
OG0000324	KUD10_RS02335	ABJ972_RS02220
OG0000325	KUD10_RS00695	ABJ972_RS00970
OG0000326	KUD10_RS00790	ABJ972_RS00870
OG0000327	KUD10_RS00795	ABJ972_RS00865
OG0000328	KUD10_RS00880	ABJ972_RS00780
OG0000329	KUD10_RS00900	ABJ972_RS00760
OG0000330	KUD10_RS01100	ABJ972_RS01090
OG0000331	KUD10_RS03045	ABJ972_RS02895
OG0000332	KUD10_RS03180	ABJ972_RS03020
OG0000333	KUD10_RS03190	ABJ972_RS03030
OG0000334	KUD10_RS03290	ABJ972_RS03135
OG0000335	KUD10_RS03300	ABJ972_RS03145
OG0000336	KUD10_RS03470	ABJ972_RS03305
OG0000337	KUD10_RS03645	ABJ972_RS03505
OG0000338	KUD10_RS03685	ABJ972_RS03545
OG0000339	KUD10_RS02400	ABJ972_RS02285
OG0000340	KUD10_RS01385	ABJ972_RS01300
OG0000341	KUD10_RS02355	ABJ972_RS02240
OG0000342	KUD10_RS00725	ABJ972_RS00935
OG0000343	KUD10_RS03200	ABJ972_RS03040
OG0000344	KUD10_RS00580	ABJ972_RS00560
OG0000345	KUD10_RS01015	ABJ972_RS00645
OG0000346	KUD10_RS03475	ABJ972_RS03310
OG0000347	KUD10_RS01475	ABJ972_RS01390
OG0000348	KUD10_RS00800	ABJ972_RS00860
OG0000349	KUD10_RS03535	ABJ972_RS03370
OG0000350	KUD10_RS02835	ABJ972_RS02680
OG0000351	KUD10_RS00490	ABJ972_RS00480
OG0000352	KUD10_RS01985	ABJ972_RS01900
OG0000353	KUD10_RS01445	ABJ972_RS01360
OG0000354	KUD10_RS00645	ABJ972_RS01035
OG0000355	KUD10_RS01960	ABJ972_RS01875
OG0000356	KUD10_RS02040	ABJ972_RS01955
OG0000357	KUD10_RS03160	ABJ972_RS03000
OG0000358	KUD10_RS03165	ABJ972_RS03005
OG0000359	KUD10_RS00770	ABJ972_RS00890
OG0000360	KUD10_RS00275	ABJ972_RS00260
OG0000361	KUD10_RS00305	ABJ972_RS00290
OG0000362	KUD10_RS02625	ABJ972_RS02480
OG0000363	KUD10_RS01515	ABJ972_RS01430
OG0000365	KUD10_RS02085	ABJ972_RS02005
OG0000366	KUD10_RS02110	ABJ972_RS02025
OG0000367	KUD10_RS02120	ABJ972_RS02035
OG0000368	KUD10_RS00060	ABJ972_RS00060
OG0000369	KUD10_RS00025	ABJ972_RS00025
OG0000370	KUD10_RS00020	ABJ972_RS00020
OG0000371	KUD10_RS00015	ABJ972_RS00015
OG0000372	KUD10_RS00010	ABJ972_RS00010
OG0000373	KUD10_RS03675	ABJ972_RS03535
OG0000374	KUD10_RS03665	ABJ972_RS03525
OG0000375	KUD10_RS02290	ABJ972_RS02175
OG0000376	KUD10_RS02440	ABJ972_RS02325
OG0000377	KUD10_RS02430	ABJ972_RS02315
OG0000378	KUD10_RS01365	ABJ972_RS01280
OG0000379	KUD10_RS01440	ABJ972_RS01355
OG0000380	KUD10_RS01465	ABJ972_RS01380
OG0000381	KUD10_RS01505	ABJ972_RS01420
OG0000382	KUD10_RS01535	ABJ972_RS01450
OG0000383	KUD10_RS01575	ABJ972_RS01490
OG0000384	KUD10_RS00520	ABJ972_RS00500
OG0000385	KUD10_RS00525	ABJ972_RS00505
OG0000386	KUD10_RS00545	ABJ972_RS00525
OG0000387	KUD10_RS00570	ABJ972_RS00550
OG0000388	KUD10_RS00575	ABJ972_RS00555
OG0000389	KUD10_RS00625	ABJ972_RS01055
OG0000390	KUD10_RS02975	ABJ972_RS02825
OG0000391	KUD10_RS02965	ABJ972_RS02815
OG0000392	KUD10_RS02940	ABJ972_RS02790
OG0000393	KUD10_RS02885	ABJ972_RS02735
OG0000394	KUD10_RS02815	ABJ972_RS02660
OG0000395	KUD10_RS02810	ABJ972_RS02655
OG0000396	KUD10_RS02510	ABJ972_RS02370
OG0000397	KUD10_RS01970	ABJ972_RS01885
OG0000398	KUD10_RS01975	ABJ972_RS01890
OG0000399	KUD10_RS02020	ABJ972_RS01935
OG0000400	KUD10_RS03125	ABJ972_RS02965
OG0000401	KUD10_RS03185	ABJ972_RS03025
OG0000402	KUD10_RS03195	ABJ972_RS03035
OG0000403	KUD10_RS03205	ABJ972_RS03045
OG0000404	KUD10_RS03230	ABJ972_RS03070
OG0000405	KUD10_RS03245	ABJ972_RS03090
OG0000406	KUD10_RS03305	ABJ972_RS03150
OG0000407	KUD10_RS03310	ABJ972_RS03155
OG0000408	KUD10_RS03315	ABJ972_RS03160
OG0000409	KUD10_RS03320	ABJ972_RS03165
OG0000410	KUD10_RS03380	ABJ972_RS03225
OG0000411	KUD10_RS03370	ABJ972_RS03215
OG0000412	KUD10_RS03365	ABJ972_RS03210
OG0000413	KUD10_RS01590	ABJ972_RS01505
OG0000414	KUD10_RS01600	ABJ972_RS01515
OG0000415	KUD10_RS01605	ABJ972_RS01520
OG0000416	KUD10_RS01615	ABJ972_RS01530
OG0000417	KUD10_RS02350	ABJ972_RS02235
OG0000418	KUD10_RS02345	ABJ972_RS02230
OG0000419	KUD10_RS00705	ABJ972_RS00960
OG0000420	KUD10_RS00740	ABJ972_RS00920
OG0000421	KUD10_RS00775	ABJ972_RS00885
OG0000422	KUD10_RS00785	ABJ972_RS00875
OG0000423	KUD10_RS00840	ABJ972_RS00820
OG0000424	KUD10_RS00845	ABJ972_RS00815
OG0000425	KUD10_RS00855	ABJ972_RS00805
OG0000426	KUD10_RS00860	ABJ972_RS00800
OG0000427	KUD10_RS00885	ABJ972_RS00775
OG0000428	KUD10_RS00910	ABJ972_RS00750
OG0000429	KUD10_RS01005	ABJ972_RS00655
OG0000430	KUD10_RS01050	ABJ972_RS00610
OG0000431	KUD10_RS01060	ABJ972_RS00600
OG0000432	KUD10_RS01095	ABJ972_RS01085
OG0000433	KUD10_RS01110	ABJ972_RS01100
OG0000434	KUD10_RS01115	ABJ972_RS01105
OG0000435	KUD10_RS01130	ABJ972_RS01120
OG0000436	KUD10_RS01240	ABJ972_RS01145
OG0000437	KUD10_RS01250	ABJ972_RS01155
OG0000438	KUD10_RS01255	ABJ972_RS01160
OG0000439	KUD10_RS01260	ABJ972_RS01165
OG0000440	KUD10_RS03025	ABJ972_RS02875
OG0000441	KUD10_RS03060	ABJ972_RS02915
OG0000442	KUD10_RS00145	ABJ972_RS00130
OG0000443	KUD10_RS00190	ABJ972_RS00175
OG0000444	KUD10_RS00205	ABJ972_RS00190
OG0000445	KUD10_RS00230	ABJ972_RS00215
OG0000446	KUD10_RS00255	ABJ972_RS00240
OG0000447	KUD10_RS00260	ABJ972_RS00245
OG0000448	KUD10_RS00290	ABJ972_RS00275
OG0000449	KUD10_RS00315	ABJ972_RS00300
OG0000450	KUD10_RS00325	ABJ972_RS00310
OG0000451	KUD10_RS00365	ABJ972_RS00350
OG0000452	KUD10_RS00390	ABJ972_RS00375
OG0000453	KUD10_RS00425	ABJ972_RS00410
OG0000454	KUD10_RS01220	ABJ972_RS01550
OG0000455	KUD10_RS03580	ABJ972_RS03415
OG0000456	KUD10_RS03460	ABJ972_RS03295
OG0000457	KUD10_RS03435	ABJ972_RS03270
OG0000458	KUD10_RS02595	ABJ972_RS02450
OG0000459	KUD10_RS02620	ABJ972_RS02475
OG0000460	KUD10_RS02630	ABJ972_RS02485
OG0000461	KUD10_RS02680	ABJ972_RS02530
OG0000462	KUD10_RS02670	ABJ972_RS02525
OG0000463	KUD10_RS02665	ABJ972_RS02520
OG0000464	KUD10_RS02660	ABJ972_RS02515
OG0000465	KUD10_RS02655	ABJ972_RS02510
OG0000466	KUD10_RS00395	ABJ972_RS00380
OG0000467	KUD10_RS02760	ABJ972_RS02610
OG0000468	KUD10_RS02015	ABJ972_RS01930
OG0000469	KUD10_RS02075	ABJ972_RS01990
OG0000470	KUD10_RS00835	ABJ972_RS00825
OG0000471	KUD10_RS00915	ABJ972_RS00745
OG0000472	KUD10_RS03390	ABJ972_RS03235
OG0000473	KUD10_RS03565	ABJ972_RS03400
OG0000474	KUD10_RS03570	ABJ972_RS03405
OG0000475	KUD10_RS03575	ABJ972_RS03410
OG0000476	KUD10_RS01625	ABJ972_RS01540
OG0000477	KUD10_RS02705	ABJ972_RS02555
OG0000478	KUD10_RS03510	ABJ972_RS03345
OG0000479	KUD10_RS01400	ABJ972_RS01315
OG0000480	KUD10_RS02080	ABJ972_RS01995
OG0000481	KUD10_RS00810	ABJ972_RS00850
OG0000482	KUD10_RS01280	ABJ972_RS01200
OG0000483	KUD10_RS02125	ABJ972_RS02040
OG0000484	KUD10_RS00200	ABJ972_RS00185
OG0000485	KUD10_RS01245	ABJ972_RS01150
OG0000486	KUD10_RS02370	ABJ972_RS02255
OG0000487	KUD10_RS02055	ABJ972_RS01970
OG0000488	KUD10_RS02095	ABJ972_RS02010
OG0000489	KUD10_RS00050	ABJ972_RS00050
OG0000490	KUD10_RS03680	ABJ972_RS03540
OG0000491	KUD10_RS01420	ABJ972_RS01335
OG0000492	KUD10_RS01495	ABJ972_RS01410
