Orthogroup	MHP_LH_genes	MHP_NCTC10127_genes
OG0000030	KUD10_RS03400	EXC50_RS02175
OG0000030	KUD10_RS03420	EXC50_RS02195
OG0000031	KUD10_RS01150	EXC50_RS02515, EXC50_RS03805
OG0000031	KUD10_RS01665	EXC50_RS00545
OG0000032	KUD10_RS03415	EXC50_RS02190
OG0000033	KUD10_RS02475	EXC50_RS01260
OG0000035	KUD10_RS03270	EXC50_RS02045
OG0000035	KUD10_RS03250	EXC50_RS02025
OG0000036	KUD10_RS00115	EXC50_RS00115
OG0000036	KUD10_RS00130	EXC50_RS00130
OG0000037	KUD10_RS01650	EXC50_RS03970
OG0000038	KUD10_RS01815	EXC50_RS00705
OG0000039	KUD10_RS01675	EXC50_RS03975, EXC50_RS00560
OG0000040	KUD10_RS03345	EXC50_RS02120
OG0000042	KUD10_RS03010	EXC50_RS01780
OG0000043	KUD10_RS01965	EXC50_RS00860
OG0000044	KUD10_RS01860	EXC50_RS00745
OG0000045	KUD10_RS01680	EXC50_RS00570
OG0000046	KUD10_RS03355	EXC50_RS02130
OG0000047	KUD10_RS01210	EXC50_RS00500
OG0000048	KUD10_RS02150	EXC50_RS01040
OG0000049	KUD10_RS03120	EXC50_RS01890
OG0000050	KUD10_RS02530	EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	KUD10_RS02740	EXC50_RS01500
OG0000052	KUD10_RS00075	EXC50_RS00075
OG0000053	KUD10_RS01520	EXC50_RS02640
OG0000054	KUD10_RS02555	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250
OG0000055	KUD10_RS00135	EXC50_RS00135
OG0000056	KUD10_RS03605, KUD10_RS03600	EXC50_RS02375
OG0000057	KUD10_RS02995	EXC50_RS01765
OG0000059	KUD10_RS01155	EXC50_RS03800
OG0000059	KUD10_RS01165	EXC50_RS02510
OG0000060	KUD10_RS00080	EXC50_RS03960
OG0000061	KUD10_RS01920	EXC50_RS00525
OG0000062	KUD10_RS03655	EXC50_RS02425
OG0000063	KUD10_RS03650	EXC50_RS02420
OG0000064	KUD10_RS03640	EXC50_RS02410
OG0000065	KUD10_RS02315	EXC50_RS01100
OG0000066	KUD10_RS01425	EXC50_RS02735
OG0000067	KUD10_RS00530	EXC50_RS03560
OG0000068	KUD10_RS00655	EXC50_RS03440
OG0000069	KUD10_RS02890	EXC50_RS01655
OG0000070	KUD10_RS02560	EXC50_RS03840, EXC50_RS01325
OG0000071	KUD10_RS03335	EXC50_RS02110
OG0000072	KUD10_RS03340	EXC50_RS02115
OG0000073	KUD10_RS00700	EXC50_RS03380
OG0000074	KUD10_RS00895	EXC50_RS03185
OG0000075	KUD10_RS00340	EXC50_RS00355
OG0000076	KUD10_RS00355	EXC50_RS00370
OG0000077	KUD10_RS00440	EXC50_RS03640
OG0000078	KUD10_RS01740	EXC50_RS00635
OG0000079	KUD10_RS02640	EXC50_RS01405
OG0000080	KUD10_RS02690	EXC50_RS03930
OG0000081	KUD10_RS00335	EXC50_RS00350
OG0000082	KUD10_RS02460	EXC50_RS01250
OG0000083	KUD10_RS02070	EXC50_RS00965
OG0000084	KUD10_RS02100	EXC50_RS00990
OG0000085	KUD10_RS02105	EXC50_RS00995
OG0000086	KUD10_RS02115	EXC50_RS01005
OG0000087	KUD10_RS02130	EXC50_RS01020
OG0000088	KUD10_RS02135	EXC50_RS01025
OG0000089	KUD10_RS02145	EXC50_RS01035
OG0000090	KUD10_RS00070	EXC50_RS00070
OG0000091	KUD10_RS00055	EXC50_RS00055
OG0000092	KUD10_RS00040	EXC50_RS00040
OG0000093	KUD10_RS00035	EXC50_RS00035
OG0000094	KUD10_RS00030	EXC50_RS00030
OG0000095	KUD10_RS00005	EXC50_RS00005
OG0000096	KUD10_RS03690	EXC50_RS02460
OG0000097	KUD10_RS03670	EXC50_RS02440
OG0000099	KUD10_RS03610	EXC50_RS02380
OG0000100	KUD10_RS03590	EXC50_RS02365
OG0000101	KUD10_RS03585	EXC50_RS02360
OG0000102	KUD10_RS01765	EXC50_RS00660
OG0000103	KUD10_RS02280	EXC50_RS01065
OG0000104	KUD10_RS02285	EXC50_RS01070
OG0000105	KUD10_RS02300	EXC50_RS01085
OG0000106	KUD10_RS02310	EXC50_RS01095
OG0000107	KUD10_RS02320	EXC50_RS01105
OG0000108	KUD10_RS02325	EXC50_RS01110
OG0000109	KUD10_RS02330	EXC50_RS01115
OG0000110	KUD10_RS02450	EXC50_RS01240
OG0000111	KUD10_RS02445	EXC50_RS01235
OG0000112	KUD10_RS02435	EXC50_RS01225
OG0000113	KUD10_RS02415	EXC50_RS01205
OG0000114	KUD10_RS02405	EXC50_RS01195
OG0000115	KUD10_RS02395	EXC50_RS01180
OG0000116	KUD10_RS01370	EXC50_RS02790
OG0000117	KUD10_RS01375	EXC50_RS02785
OG0000118	KUD10_RS01410	EXC50_RS02750
OG0000119	KUD10_RS01415	EXC50_RS02745
OG0000120	KUD10_RS01430	EXC50_RS02730
OG0000121	KUD10_RS01455	EXC50_RS02705
OG0000122	KUD10_RS01460	EXC50_RS02700
OG0000123	KUD10_RS01480	EXC50_RS02680
OG0000124	KUD10_RS01485	EXC50_RS02675
OG0000125	KUD10_RS01490	EXC50_RS02670
OG0000126	KUD10_RS01500	EXC50_RS02660
OG0000127	KUD10_RS01510	EXC50_RS02650
OG0000128	KUD10_RS01525	EXC50_RS02635
OG0000129	KUD10_RS01530	EXC50_RS02630
OG0000130	KUD10_RS01540	EXC50_RS02620
OG0000131	KUD10_RS01570	EXC50_RS02590
OG0000132	KUD10_RS01585	EXC50_RS02575
OG0000133	KUD10_RS00535	EXC50_RS03555
OG0000134	KUD10_RS00540	EXC50_RS03550
OG0000135	KUD10_RS00555	EXC50_RS03535
OG0000136	KUD10_RS00560	EXC50_RS03530
OG0000137	KUD10_RS00600	EXC50_RS03500
OG0000138	KUD10_RS00630	EXC50_RS03465
OG0000139	KUD10_RS00660	EXC50_RS03435
OG0000140	KUD10_RS00665	EXC50_RS03430
OG0000141	KUD10_RS03005	EXC50_RS01775
OG0000142	KUD10_RS03000	EXC50_RS01770
OG0000143	KUD10_RS02980	EXC50_RS01745
OG0000144	KUD10_RS02970	EXC50_RS01735
OG0000145	KUD10_RS02960	EXC50_RS01725
OG0000146	KUD10_RS02950	EXC50_RS01715
OG0000147	KUD10_RS02945	EXC50_RS01710
OG0000148	KUD10_RS02930	EXC50_RS01695
OG0000149	KUD10_RS02920	EXC50_RS01685
OG0000150	KUD10_RS02905	EXC50_RS01670
OG0000151	KUD10_RS02860	EXC50_RS01625
OG0000152	KUD10_RS02855	EXC50_RS01620
OG0000153	KUD10_RS02850	EXC50_RS01615
OG0000154	KUD10_RS02840	EXC50_RS01605
OG0000155	KUD10_RS02805	EXC50_RS01565
OG0000156	KUD10_RS02795	EXC50_RS01555
OG0000157	KUD10_RS02790	EXC50_RS01550
OG0000158	KUD10_RS03710	EXC50_RS04235
OG0000159	KUD10_RS02545	EXC50_RS03825
OG0000160	KUD10_RS02540	EXC50_RS03820
OG0000161	KUD10_RS02535	EXC50_RS03815
OG0000162	KUD10_RS02525	EXC50_RS01290
OG0000163	KUD10_RS02520	EXC50_RS01285
OG0000164	KUD10_RS01670	EXC50_RS00550
OG0000165	KUD10_RS01990	EXC50_RS00885
OG0000166	KUD10_RS02010	EXC50_RS00905
OG0000167	KUD10_RS02025	EXC50_RS00920
OG0000168	KUD10_RS02030	EXC50_RS00925
OG0000169	KUD10_RS03115	EXC50_RS01885
OG0000170	KUD10_RS03130	EXC50_RS01900
OG0000171	KUD10_RS03140	EXC50_RS01910
OG0000172	KUD10_RS03145	EXC50_RS01915
OG0000173	KUD10_RS03150	EXC50_RS01920
OG0000174	KUD10_RS03155	EXC50_RS01925
OG0000175	KUD10_RS03170	EXC50_RS01940
OG0000176	KUD10_RS03215	EXC50_RS01990
OG0000177	KUD10_RS03220	EXC50_RS01995
OG0000178	KUD10_RS03225	EXC50_RS02000
OG0000179	KUD10_RS03235	EXC50_RS02010
OG0000180	KUD10_RS03240	EXC50_RS02015
OG0000181	KUD10_RS03285	EXC50_RS02060
OG0000182	KUD10_RS03295	EXC50_RS02070
OG0000183	KUD10_RS03330	EXC50_RS02105
OG0000184	KUD10_RS03375	EXC50_RS02150
OG0000185	KUD10_RS03360	EXC50_RS02135
OG0000186	KUD10_RS01595	EXC50_RS02565
OG0000187	KUD10_RS01610	EXC50_RS02550
OG0000188	KUD10_RS01620	EXC50_RS02540
OG0000189	KUD10_RS02365	EXC50_RS01150
OG0000190	KUD10_RS02360	EXC50_RS01145
OG0000191	KUD10_RS02340	EXC50_RS01125
OG0000192	KUD10_RS01290	EXC50_RS02870
OG0000193	KUD10_RS01275	EXC50_RS02880
OG0000194	KUD10_RS00685	EXC50_RS03395
OG0000195	KUD10_RS00690	EXC50_RS03390
OG0000196	KUD10_RS00710	EXC50_RS03370
OG0000197	KUD10_RS00715	EXC50_RS03365
OG0000198	KUD10_RS00730	EXC50_RS03350
OG0000199	KUD10_RS00735	EXC50_RS03345
OG0000200	KUD10_RS00750	EXC50_RS03330
OG0000201	KUD10_RS00760	EXC50_RS03320
OG0000202	KUD10_RS00815	EXC50_RS03265
OG0000203	KUD10_RS00820	EXC50_RS03260
OG0000204	KUD10_RS00825	EXC50_RS03255
OG0000205	KUD10_RS00830	EXC50_RS03250
OG0000206	KUD10_RS00850	EXC50_RS03230
OG0000207	KUD10_RS00865	EXC50_RS03215
OG0000208	KUD10_RS00870	EXC50_RS03210
OG0000209	KUD10_RS00875	EXC50_RS03205
OG0000210	KUD10_RS00920	EXC50_RS03160
OG0000211	KUD10_RS00930	EXC50_RS03150
OG0000212	KUD10_RS00940	EXC50_RS03140
OG0000213	KUD10_RS00945	EXC50_RS03135
OG0000214	KUD10_RS00950	EXC50_RS03130
OG0000215	KUD10_RS00955	EXC50_RS03125
OG0000216	KUD10_RS00960	EXC50_RS03120
OG0000217	KUD10_RS00965	EXC50_RS03115
OG0000218	KUD10_RS00975	EXC50_RS03105
OG0000219	KUD10_RS00980	EXC50_RS03100
OG0000220	KUD10_RS00985	EXC50_RS03095
OG0000221	KUD10_RS00990	EXC50_RS03090
OG0000222	KUD10_RS00995	EXC50_RS03085
OG0000223	KUD10_RS01000	EXC50_RS03080
OG0000224	KUD10_RS01010	EXC50_RS03070
OG0000225	KUD10_RS01020	EXC50_RS03060
OG0000226	KUD10_RS01025	EXC50_RS03055
OG0000227	KUD10_RS01030	EXC50_RS03050
OG0000228	KUD10_RS03740	EXC50_RS03045
OG0000229	KUD10_RS01040	EXC50_RS03040
OG0000230	KUD10_RS01045	EXC50_RS03035
OG0000231	KUD10_RS01055	EXC50_RS03025
OG0000232	KUD10_RS01065	EXC50_RS03015
OG0000233	KUD10_RS01090	EXC50_RS02995
OG0000234	KUD10_RS01125	EXC50_RS02960
OG0000235	KUD10_RS01135	EXC50_RS02950
OG0000236	KUD10_RS01140	EXC50_RS02945
OG0000237	KUD10_RS01230	EXC50_RS02940
OG0000238	KUD10_RS01235	EXC50_RS02930
OG0000239	KUD10_RS03015	EXC50_RS01785
OG0000240	KUD10_RS03020	EXC50_RS01790
OG0000241	KUD10_RS03030	EXC50_RS01800
OG0000242	KUD10_RS03035	EXC50_RS01805
OG0000243	KUD10_RS03040	EXC50_RS01810
OG0000244	KUD10_RS03050	EXC50_RS01820
OG0000245	KUD10_RS03055	EXC50_RS01830
OG0000246	KUD10_RS00140	EXC50_RS00140
OG0000247	KUD10_RS00150	EXC50_RS00150
OG0000248	KUD10_RS00160	EXC50_RS00160
OG0000249	KUD10_RS00165	EXC50_RS00165
OG0000250	KUD10_RS00180	EXC50_RS00180
OG0000251	KUD10_RS00210	EXC50_RS00215
OG0000252	KUD10_RS00220	EXC50_RS00225
OG0000253	KUD10_RS00225	EXC50_RS00230
OG0000254	KUD10_RS00235	EXC50_RS00240
OG0000255	KUD10_RS00240	EXC50_RS00250
OG0000256	KUD10_RS00245	EXC50_RS00255
OG0000257	KUD10_RS00270	EXC50_RS00280
OG0000258	KUD10_RS00280	EXC50_RS00290
OG0000259	KUD10_RS00310	EXC50_RS00320
OG0000260	KUD10_RS00320	EXC50_RS00330
OG0000261	KUD10_RS00330	EXC50_RS00340
OG0000262	KUD10_RS00345	EXC50_RS00360
OG0000263	KUD10_RS00360	EXC50_RS00375
OG0000264	KUD10_RS00375	EXC50_RS00390
OG0000265	KUD10_RS00385	EXC50_RS00400
OG0000266	KUD10_RS00400	EXC50_RS00420
OG0000267	KUD10_RS00415	EXC50_RS00435
OG0000268	KUD10_RS00420	EXC50_RS03665
OG0000269	KUD10_RS00435	EXC50_RS03650
OG0000270	KUD10_RS03560	EXC50_RS02335
OG0000271	KUD10_RS03555	EXC50_RS02330
OG0000272	KUD10_RS03550	EXC50_RS02325
OG0000273	KUD10_RS03545	EXC50_RS02320
OG0000274	KUD10_RS03525	EXC50_RS02300
OG0000275	KUD10_RS03520	EXC50_RS02295
OG0000276	KUD10_RS03515	EXC50_RS02290
OG0000277	KUD10_RS03505	EXC50_RS02280
OG0000278	KUD10_RS03500	EXC50_RS02275
OG0000279	KUD10_RS03490	EXC50_RS02265
OG0000280	KUD10_RS03485	EXC50_RS02260
OG0000281	KUD10_RS03480	EXC50_RS02255
OG0000282	KUD10_RS03455	EXC50_RS02230
OG0000283	KUD10_RS03450	EXC50_RS02225
OG0000284	KUD10_RS03445	EXC50_RS02220
OG0000285	KUD10_RS03440	EXC50_RS02215
OG0000286	KUD10_RS02505	EXC50_RS01270
OG0000287	KUD10_RS02600	EXC50_RS01365
OG0000288	KUD10_RS02610	EXC50_RS01375
OG0000289	KUD10_RS02615	EXC50_RS01380
OG0000290	KUD10_RS02730	EXC50_RS01490
OG0000291	KUD10_RS02720	EXC50_RS01480
OG0000292	KUD10_RS02715	EXC50_RS01475
OG0000293	KUD10_RS02710	EXC50_RS01470
OG0000294	KUD10_RS02700	EXC50_RS01460
OG0000295	KUD10_RS02695	EXC50_RS01455
OG0000296	KUD10_RS02650	EXC50_RS01415
OG0000297	KUD10_RS02645	EXC50_RS01410
OG0000298	KUD10_RS00175	EXC50_RS00175
OG0000299	KUD10_RS00195	EXC50_RS00200
OG0000300	KUD10_RS00370	EXC50_RS00385
OG0000301	KUD10_RS00405	EXC50_RS00425
OG0000302	KUD10_RS00410	EXC50_RS00430
OG0000303	KUD10_RS00565	EXC50_RS03525
OG0000304	KUD10_RS01070	EXC50_RS03010
OG0000305	KUD10_RS02955	EXC50_RS01720
OG0000306	KUD10_RS02880	EXC50_RS01645
OG0000307	KUD10_RS02845	EXC50_RS01610
OG0000308	KUD10_RS02750	EXC50_RS01510
OG0000309	KUD10_RS02685	EXC50_RS01445
OG0000310	KUD10_RS02605	EXC50_RS01370
OG0000311	KUD10_RS02565	EXC50_RS01330
OG0000312	KUD10_RS02550	EXC50_RS01315
OG0000313	KUD10_RS01660	EXC50_RS00540
OG0000314	KUD10_RS02005	EXC50_RS00900
OG0000315	KUD10_RS02035	EXC50_RS00930
OG0000316	KUD10_RS02045	EXC50_RS00940
OG0000317	KUD10_RS02140	EXC50_RS01030
OG0000318	KUD10_RS02050	EXC50_RS00945
OG0000319	KUD10_RS02295	EXC50_RS01080
OG0000320	KUD10_RS02425	EXC50_RS01215
OG0000321	KUD10_RS01405	EXC50_RS02755
OG0000322	KUD10_RS01450	EXC50_RS02710
OG0000323	KUD10_RS01580	EXC50_RS02580
OG0000324	KUD10_RS02335	EXC50_RS01120
OG0000325	KUD10_RS00695	EXC50_RS03385
OG0000326	KUD10_RS00790	EXC50_RS03290
OG0000327	KUD10_RS00795	EXC50_RS03285
OG0000328	KUD10_RS00880	EXC50_RS03200
OG0000329	KUD10_RS00900	EXC50_RS03180
OG0000330	KUD10_RS01100	EXC50_RS02985
OG0000331	KUD10_RS03045	EXC50_RS01815
OG0000332	KUD10_RS03180	EXC50_RS01950
OG0000333	KUD10_RS03190	EXC50_RS01960
OG0000334	KUD10_RS03290	EXC50_RS02065
OG0000335	KUD10_RS03300	EXC50_RS02075
OG0000336	KUD10_RS03470	EXC50_RS02245
OG0000337	KUD10_RS03645	EXC50_RS02415
OG0000338	KUD10_RS03685	EXC50_RS02455
OG0000339	KUD10_RS02400	EXC50_RS01185
OG0000340	KUD10_RS01385	EXC50_RS02775
OG0000341	KUD10_RS02355	EXC50_RS01140
OG0000342	KUD10_RS00725	EXC50_RS03355
OG0000343	KUD10_RS03200	EXC50_RS01970
OG0000344	KUD10_RS00580	EXC50_RS03510
OG0000345	KUD10_RS01015	EXC50_RS03065
OG0000346	KUD10_RS03475	EXC50_RS02250
OG0000347	KUD10_RS01475	EXC50_RS02685
OG0000348	KUD10_RS00800	EXC50_RS03280
OG0000349	KUD10_RS03535	EXC50_RS02310
OG0000350	KUD10_RS02835	EXC50_RS01600
OG0000351	KUD10_RS00490	EXC50_RS03590
OG0000352	KUD10_RS01985	EXC50_RS00880
OG0000353	KUD10_RS01445	EXC50_RS02715
OG0000354	KUD10_RS00645	EXC50_RS03450
OG0000355	KUD10_RS01960	EXC50_RS00850
OG0000356	KUD10_RS02040	EXC50_RS00935
OG0000357	KUD10_RS03160	EXC50_RS01930
OG0000358	KUD10_RS03165	EXC50_RS01935
OG0000359	KUD10_RS00770	EXC50_RS03310
OG0000360	KUD10_RS00275	EXC50_RS00285
OG0000361	KUD10_RS00305	EXC50_RS00315
OG0000362	KUD10_RS02625	EXC50_RS01390
OG0000363	KUD10_RS01515	EXC50_RS02645
OG0000364	KUD10_RS01940	EXC50_RS03920
OG0000365	KUD10_RS02085	EXC50_RS00975
OG0000366	KUD10_RS02110	EXC50_RS01000
OG0000367	KUD10_RS02120	EXC50_RS01010
OG0000368	KUD10_RS00060	EXC50_RS00060
OG0000369	KUD10_RS00025	EXC50_RS00025
OG0000370	KUD10_RS00020	EXC50_RS00020
OG0000371	KUD10_RS00015	EXC50_RS00015
OG0000372	KUD10_RS00010	EXC50_RS00010
OG0000373	KUD10_RS03675	EXC50_RS02445
OG0000374	KUD10_RS03665	EXC50_RS02435
OG0000375	KUD10_RS02290	EXC50_RS01075
OG0000376	KUD10_RS02440	EXC50_RS01230
OG0000377	KUD10_RS02430	EXC50_RS01220
OG0000378	KUD10_RS01365	EXC50_RS02795
OG0000379	KUD10_RS01440	EXC50_RS02720
OG0000380	KUD10_RS01465	EXC50_RS02695
OG0000381	KUD10_RS01505	EXC50_RS02655
OG0000382	KUD10_RS01535	EXC50_RS02625
OG0000383	KUD10_RS01575	EXC50_RS02585
OG0000384	KUD10_RS00520	EXC50_RS03570
OG0000385	KUD10_RS00525	EXC50_RS03565
OG0000386	KUD10_RS00545	EXC50_RS03545
OG0000387	KUD10_RS00570	EXC50_RS03520
OG0000388	KUD10_RS00575	EXC50_RS03515
OG0000389	KUD10_RS00625	EXC50_RS03470
OG0000390	KUD10_RS02975	EXC50_RS01740
OG0000391	KUD10_RS02965	EXC50_RS01730
OG0000392	KUD10_RS02940	EXC50_RS01705
OG0000393	KUD10_RS02885	EXC50_RS01650
OG0000394	KUD10_RS02815	EXC50_RS01575
OG0000395	KUD10_RS02810	EXC50_RS01570
OG0000396	KUD10_RS02510	EXC50_RS01275
OG0000397	KUD10_RS01970	EXC50_RS00865
OG0000398	KUD10_RS01975	EXC50_RS00870
OG0000399	KUD10_RS02020	EXC50_RS00915
OG0000400	KUD10_RS03125	EXC50_RS01895
OG0000401	KUD10_RS03185	EXC50_RS01955
OG0000402	KUD10_RS03195	EXC50_RS01965
OG0000403	KUD10_RS03205	EXC50_RS01975
OG0000404	KUD10_RS03230	EXC50_RS02005
OG0000405	KUD10_RS03245	EXC50_RS02020
OG0000406	KUD10_RS03305	EXC50_RS02080
OG0000407	KUD10_RS03310	EXC50_RS02085
OG0000408	KUD10_RS03315	EXC50_RS02090
OG0000409	KUD10_RS03320	EXC50_RS02095
OG0000410	KUD10_RS03380	EXC50_RS02155
OG0000411	KUD10_RS03370	EXC50_RS02145
OG0000412	KUD10_RS03365	EXC50_RS02140
OG0000413	KUD10_RS01590	EXC50_RS02570
OG0000414	KUD10_RS01600	EXC50_RS02560
OG0000415	KUD10_RS01605	EXC50_RS02555
OG0000416	KUD10_RS01615	EXC50_RS02545
OG0000417	KUD10_RS02350	EXC50_RS01135
OG0000418	KUD10_RS02345	EXC50_RS01130
OG0000419	KUD10_RS00705	EXC50_RS03375
OG0000420	KUD10_RS00740	EXC50_RS03340
OG0000421	KUD10_RS00775	EXC50_RS03305
OG0000422	KUD10_RS00785	EXC50_RS03295
OG0000423	KUD10_RS00840	EXC50_RS03240
OG0000424	KUD10_RS00845	EXC50_RS03235
OG0000425	KUD10_RS00855	EXC50_RS03225
OG0000426	KUD10_RS00860	EXC50_RS03220
OG0000427	KUD10_RS00885	EXC50_RS03195
OG0000428	KUD10_RS00910	EXC50_RS03170
OG0000429	KUD10_RS01005	EXC50_RS03075
OG0000430	KUD10_RS01050	EXC50_RS03030
OG0000431	KUD10_RS01060	EXC50_RS03020
OG0000432	KUD10_RS01095	EXC50_RS02990
OG0000433	KUD10_RS01110	EXC50_RS02975
OG0000434	KUD10_RS01115	EXC50_RS02970
OG0000435	KUD10_RS01130	EXC50_RS02955
OG0000436	KUD10_RS01240	EXC50_RS02925
OG0000437	KUD10_RS01250	EXC50_RS02915
OG0000438	KUD10_RS01255	EXC50_RS02910
OG0000439	KUD10_RS01260	EXC50_RS02905
OG0000440	KUD10_RS03025	EXC50_RS01795
OG0000441	KUD10_RS03060	EXC50_RS01835
OG0000442	KUD10_RS00145	EXC50_RS00145
OG0000443	KUD10_RS00190	EXC50_RS00195
OG0000444	KUD10_RS00205	EXC50_RS00210
OG0000445	KUD10_RS00230	EXC50_RS00235
OG0000446	KUD10_RS00255	EXC50_RS00265
OG0000447	KUD10_RS00260	EXC50_RS00270
OG0000448	KUD10_RS00290	EXC50_RS00300
OG0000449	KUD10_RS00315	EXC50_RS00325
OG0000450	KUD10_RS00325	EXC50_RS00335
OG0000451	KUD10_RS00365	EXC50_RS00380
OG0000452	KUD10_RS00390	EXC50_RS00410
OG0000453	KUD10_RS00425	EXC50_RS03660
OG0000454	KUD10_RS01220	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675
OG0000455	KUD10_RS03580	EXC50_RS02355
OG0000456	KUD10_RS03460	EXC50_RS02235
OG0000457	KUD10_RS03435	EXC50_RS02210
OG0000458	KUD10_RS02595	EXC50_RS01360
OG0000459	KUD10_RS02620	EXC50_RS01385
OG0000460	KUD10_RS02630	EXC50_RS01395
OG0000461	KUD10_RS02680	EXC50_RS01440
OG0000462	KUD10_RS02670	EXC50_RS01435
OG0000463	KUD10_RS02665	EXC50_RS01430
OG0000464	KUD10_RS02660	EXC50_RS01425
OG0000465	KUD10_RS02655	EXC50_RS01420
OG0000466	KUD10_RS00395	EXC50_RS00415
OG0000467	KUD10_RS02760	EXC50_RS01520
OG0000468	KUD10_RS02015	EXC50_RS00910
OG0000469	KUD10_RS02075	EXC50_RS00970
OG0000470	KUD10_RS00835	EXC50_RS03950
OG0000471	KUD10_RS00915	EXC50_RS03165
OG0000472	KUD10_RS03390	EXC50_RS02165
OG0000473	KUD10_RS03565	EXC50_RS02340
OG0000474	KUD10_RS03570	EXC50_RS02345
OG0000475	KUD10_RS03575	EXC50_RS02350
OG0000476	KUD10_RS01625	EXC50_RS02535
OG0000477	KUD10_RS02705	EXC50_RS01465
OG0000478	KUD10_RS03510	EXC50_RS02285
OG0000479	KUD10_RS01400	EXC50_RS02760
OG0000480	KUD10_RS02080	EXC50_RS03895
OG0000481	KUD10_RS00810	EXC50_RS03270
OG0000482	KUD10_RS01280	EXC50_RS02875
OG0000483	KUD10_RS02125	EXC50_RS01015
OG0000484	KUD10_RS00200	EXC50_RS00205
OG0000485	KUD10_RS01245	EXC50_RS02920
OG0000486	KUD10_RS02370	EXC50_RS01155
OG0000487	KUD10_RS02055	EXC50_RS00950
OG0000488	KUD10_RS02095	EXC50_RS00985
OG0000489	KUD10_RS00050	EXC50_RS00050
OG0000490	KUD10_RS03680	EXC50_RS02450
OG0000491	KUD10_RS01420	EXC50_RS02740
OG0000492	KUD10_RS01495	EXC50_RS02665
OG0000493	KUD10_RS00585	EXC50_RS03505
OG0000494	KUD10_RS00650	EXC50_RS03445
OG0000495	KUD10_RS02910	EXC50_RS01675
OG0000496	KUD10_RS02900	EXC50_RS01665
OG0000497	KUD10_RS02895	EXC50_RS01660
