Orthogroup	MHP_LH_genes	MHP_ES2_genes
OG0000009	KUD10_RS01265	E5E95_RS01210
OG0000009	KUD10_RS00675	E5E95_RS00680
OG0000010	KUD10_RS01910	E5E95_RS01970
OG0000011	KUD10_RS02000	E5E95_RS02065, E5E95_RS02070
OG0000011	KUD10_RS01995	E5E95_RS02060
OG0000012	KUD10_RS01085	E5E95_RS02435
OG0000013	KUD10_RS02465	E5E95_RS02610
OG0000013	KUD10_RS00185	E5E95_RS03955
OG0000014	KUD10_RS01080	E5E95_RS01105
OG0000014	KUD10_RS00610	E5E95_RS00605
OG0000015	KUD10_RS01225	E5E95_RS04195
OG0000015	KUD10_RS01635	E5E95_RS01745
OG0000016	KUD10_RS02915	E5E95_RS03040
OG0000016	KUD10_RS00170	E5E95_RS00160
OG0000017	KUD10_RS00155	E5E95_RS00145
OG0000017	KUD10_RS02925	E5E95_RS03050
OG0000019	KUD10_RS03080	E5E95_RS04175
OG0000019	KUD10_RS03110, KUD10_RS03090	E5E95_RS04180
OG0000020	KUD10_RS03620	E5E95_RS03770
OG0000022	KUD10_RS01720	E5E95_RS01770
OG0000022	KUD10_RS01775	E5E95_RS01825
OG0000024	KUD10_RS02825	E5E95_RS02945
OG0000024	KUD10_RS01345	E5E95_RS01290
OG0000025	KUD10_RS01725	E5E95_RS01775
OG0000025	KUD10_RS01770	E5E95_RS01820
OG0000026	KUD10_RS01435	E5E95_RS01380
OG0000026	KUD10_RS01750	E5E95_RS01800
OG0000027	KUD10_RS03410	E5E95_RS03560
OG0000027	KUD10_RS03425	E5E95_RS03575
OG0000028	KUD10_RS02500	E5E95_RS02625
OG0000029	KUD10_RS01075	E5E95_RS01100
OG0000029	KUD10_RS00620	E5E95_RS00610
OG0000030	KUD10_RS03400	E5E95_RS03550
OG0000030	KUD10_RS03420	E5E95_RS03570
OG0000031	KUD10_RS01665	E5E95_RS01625
OG0000032	KUD10_RS01640	E5E95_RS03995
OG0000034	KUD10_RS02225	E5E95_RS04045
OG0000034	KUD10_RS02230	E5E95_RS04050
OG0000035	KUD10_RS03270	E5E95_RS03405
OG0000035	KUD10_RS03250	E5E95_RS03395
OG0000036	KUD10_RS00130	E5E95_RS00120
OG0000037	KUD10_RS01650	E5E95_RS04000
OG0000038	KUD10_RS01815	E5E95_RS01865
OG0000039	KUD10_RS01675	E5E95_RS01650, E5E95_RS01645
OG0000040	KUD10_RS03345	E5E95_RS03495
OG0000042	KUD10_RS03010	E5E95_RS03140
OG0000043	KUD10_RS01965	E5E95_RS02030
OG0000045	KUD10_RS01680	E5E95_RS01655
OG0000046	KUD10_RS03355	E5E95_RS03505
OG0000047	KUD10_RS01210	E5E95_RS01725
OG0000048	KUD10_RS02150	E5E95_RS02215
OG0000049	KUD10_RS03120	E5E95_RS03260
OG0000050	KUD10_RS02530	E5E95_RS02655
OG0000051	KUD10_RS02740	E5E95_RS02855
OG0000052	KUD10_RS00075	E5E95_RS00075
OG0000053	KUD10_RS01520	E5E95_RS01465
OG0000054	KUD10_RS02555	E5E95_RS02680
OG0000055	KUD10_RS00135	E5E95_RS00125
OG0000056	KUD10_RS03605, KUD10_RS03600	E5E95_RS03750
OG0000057	KUD10_RS02995	E5E95_RS03125
OG0000058	KUD10_RS01145	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530
OG0000061	KUD10_RS01920	E5E95_RS01980
OG0000062	KUD10_RS03655	E5E95_RS03805
OG0000063	KUD10_RS03650	E5E95_RS03800
OG0000064	KUD10_RS03640	E5E95_RS03790
OG0000065	KUD10_RS02315	E5E95_RS02365
OG0000066	KUD10_RS01425	E5E95_RS01370
OG0000067	KUD10_RS00530	E5E95_RS00525
OG0000068	KUD10_RS00655	E5E95_RS00645
OG0000069	KUD10_RS02890	E5E95_RS03015
OG0000070	KUD10_RS02560	E5E95_RS02685
OG0000071	KUD10_RS03335	E5E95_RS03485
OG0000072	KUD10_RS03340	E5E95_RS03490
OG0000073	KUD10_RS00700	E5E95_RS00705
OG0000074	KUD10_RS00895	E5E95_RS00900
OG0000075	KUD10_RS00340	E5E95_RS00340
OG0000076	KUD10_RS00355	E5E95_RS00355
OG0000077	KUD10_RS00440	E5E95_RS00445
OG0000078	KUD10_RS01740	E5E95_RS01790
OG0000079	KUD10_RS02640	E5E95_RS02760
OG0000080	KUD10_RS02690	E5E95_RS03935
OG0000081	KUD10_RS00335	E5E95_RS00335
OG0000082	KUD10_RS02460	E5E95_RS02605
OG0000083	KUD10_RS02070	E5E95_RS02140
OG0000084	KUD10_RS02100	E5E95_RS02165
OG0000085	KUD10_RS02105	E5E95_RS02170
OG0000086	KUD10_RS02115	E5E95_RS02180
OG0000087	KUD10_RS02130	E5E95_RS02195
OG0000088	KUD10_RS02135	E5E95_RS02200
OG0000089	KUD10_RS02145	E5E95_RS02210
OG0000090	KUD10_RS00070	E5E95_RS00070
OG0000091	KUD10_RS00055	E5E95_RS00055
OG0000092	KUD10_RS00040	E5E95_RS00040
OG0000093	KUD10_RS00035	E5E95_RS00035
OG0000094	KUD10_RS00030	E5E95_RS00030
OG0000095	KUD10_RS00005	E5E95_RS00005
OG0000096	KUD10_RS03690	E5E95_RS03840
OG0000097	KUD10_RS03670	E5E95_RS03820
OG0000099	KUD10_RS03610	E5E95_RS03760
OG0000100	KUD10_RS03590	E5E95_RS03740
OG0000101	KUD10_RS03585	E5E95_RS03735
OG0000102	KUD10_RS01765	E5E95_RS01815
OG0000103	KUD10_RS02280	E5E95_RS02330
OG0000104	KUD10_RS02285	E5E95_RS02335
OG0000105	KUD10_RS02300	E5E95_RS02350
OG0000106	KUD10_RS02310	E5E95_RS02360
OG0000107	KUD10_RS02320	E5E95_RS02370
OG0000108	KUD10_RS02325	E5E95_RS02375
OG0000109	KUD10_RS02330	E5E95_RS02380
OG0000110	KUD10_RS02450	E5E95_RS02595
OG0000111	KUD10_RS02445	E5E95_RS02590
OG0000112	KUD10_RS02435	E5E95_RS02580
OG0000113	KUD10_RS02415	E5E95_RS02560
OG0000114	KUD10_RS02405	E5E95_RS04300
OG0000115	KUD10_RS02395	E5E95_RS02535
OG0000116	KUD10_RS01370	E5E95_RS01315
OG0000117	KUD10_RS01375	E5E95_RS01320
OG0000118	KUD10_RS01410	E5E95_RS01355
OG0000119	KUD10_RS01415	E5E95_RS01360
OG0000120	KUD10_RS01430	E5E95_RS01375
OG0000121	KUD10_RS01455	E5E95_RS01400
OG0000122	KUD10_RS01460	E5E95_RS01405
OG0000123	KUD10_RS01480	E5E95_RS01425
OG0000124	KUD10_RS01485	E5E95_RS01430
OG0000125	KUD10_RS01490	E5E95_RS01435
OG0000126	KUD10_RS01500	E5E95_RS01445
OG0000127	KUD10_RS01510	E5E95_RS01455
OG0000128	KUD10_RS01525	E5E95_RS01470
OG0000129	KUD10_RS01530	E5E95_RS01475
OG0000130	KUD10_RS01540	E5E95_RS01485
OG0000131	KUD10_RS01570	E5E95_RS01515
OG0000132	KUD10_RS01585	E5E95_RS01530
OG0000133	KUD10_RS00535	E5E95_RS00530
OG0000134	KUD10_RS00540	E5E95_RS00535
OG0000135	KUD10_RS00555	E5E95_RS00550
OG0000136	KUD10_RS00560	E5E95_RS00555
OG0000137	KUD10_RS00600	E5E95_RS00585
OG0000138	KUD10_RS00630	E5E95_RS00620
OG0000139	KUD10_RS00660	E5E95_RS00650
OG0000140	KUD10_RS00665	E5E95_RS00655
OG0000141	KUD10_RS03005	E5E95_RS03135
OG0000142	KUD10_RS03000	E5E95_RS03130
OG0000143	KUD10_RS02980	E5E95_RS03105
OG0000144	KUD10_RS02970	E5E95_RS03095
OG0000145	KUD10_RS02960	E5E95_RS03085
OG0000146	KUD10_RS02950	E5E95_RS03075
OG0000147	KUD10_RS02945	E5E95_RS03070
OG0000148	KUD10_RS02930	E5E95_RS03055
OG0000149	KUD10_RS02920	E5E95_RS03045
OG0000150	KUD10_RS02905	E5E95_RS03030
OG0000151	KUD10_RS02860	E5E95_RS02985
OG0000152	KUD10_RS02855	E5E95_RS02980
OG0000153	KUD10_RS02850	E5E95_RS02975
OG0000154	KUD10_RS02840	E5E95_RS02965
OG0000155	KUD10_RS02805	E5E95_RS02925
OG0000156	KUD10_RS02795	E5E95_RS02915
OG0000157	KUD10_RS02790	E5E95_RS02910
OG0000158	KUD10_RS03710	E5E95_RS02905
OG0000159	KUD10_RS02545	E5E95_RS04310
OG0000160	KUD10_RS02540	E5E95_RS02665
OG0000161	KUD10_RS02535	E5E95_RS02660
OG0000162	KUD10_RS02525	E5E95_RS02650
OG0000163	KUD10_RS02520	E5E95_RS02645
OG0000164	KUD10_RS01670	E5E95_RS01630
OG0000165	KUD10_RS01990	E5E95_RS02055
OG0000166	KUD10_RS02010	E5E95_RS02080
OG0000167	KUD10_RS02025	E5E95_RS02095
OG0000168	KUD10_RS02030	E5E95_RS02100
OG0000169	KUD10_RS03115	E5E95_RS03255
OG0000170	KUD10_RS03130	E5E95_RS03270
OG0000171	KUD10_RS03140	E5E95_RS03280
OG0000172	KUD10_RS03145	E5E95_RS03285
OG0000173	KUD10_RS03150	E5E95_RS03290
OG0000174	KUD10_RS03155	E5E95_RS03295
OG0000175	KUD10_RS03170	E5E95_RS03310
OG0000176	KUD10_RS03215	E5E95_RS03360
OG0000177	KUD10_RS03220	E5E95_RS03365
OG0000178	KUD10_RS03225	E5E95_RS03370
OG0000179	KUD10_RS03235	E5E95_RS03380
OG0000180	KUD10_RS03240	E5E95_RS03385
OG0000181	KUD10_RS03285	E5E95_RS03435
OG0000182	KUD10_RS03295	E5E95_RS03445
OG0000183	KUD10_RS03330	E5E95_RS03480
OG0000184	KUD10_RS03375	E5E95_RS03525
OG0000185	KUD10_RS03360	E5E95_RS03510
OG0000186	KUD10_RS01595	E5E95_RS01540
OG0000187	KUD10_RS01610	E5E95_RS01555
OG0000188	KUD10_RS01620	E5E95_RS01565
OG0000189	KUD10_RS02365	E5E95_RS02415
OG0000190	KUD10_RS02360	E5E95_RS02410
OG0000191	KUD10_RS02340	E5E95_RS02390
OG0000192	KUD10_RS01290	E5E95_RS01235
OG0000193	KUD10_RS01275	E5E95_RS01225
OG0000194	KUD10_RS00685	E5E95_RS00690
OG0000195	KUD10_RS00690	E5E95_RS00695
OG0000196	KUD10_RS00710	E5E95_RS00715
OG0000197	KUD10_RS00715	E5E95_RS00720
OG0000198	KUD10_RS00730	E5E95_RS00735
OG0000199	KUD10_RS00735	E5E95_RS00740
OG0000200	KUD10_RS00750	E5E95_RS00755
OG0000201	KUD10_RS00760	E5E95_RS00765
OG0000202	KUD10_RS00815	E5E95_RS00820
OG0000203	KUD10_RS00820	E5E95_RS00825
OG0000204	KUD10_RS00825	E5E95_RS00830
OG0000205	KUD10_RS00830	E5E95_RS00835
OG0000206	KUD10_RS00850	E5E95_RS00855
OG0000207	KUD10_RS00865	E5E95_RS00870
OG0000208	KUD10_RS00870	E5E95_RS00875
OG0000209	KUD10_RS00875	E5E95_RS00880
OG0000210	KUD10_RS00920	E5E95_RS00925
OG0000211	KUD10_RS00930	E5E95_RS00955
OG0000212	KUD10_RS00940	E5E95_RS00965
OG0000213	KUD10_RS00945	E5E95_RS00970
OG0000214	KUD10_RS00950	E5E95_RS00975
OG0000215	KUD10_RS00955	E5E95_RS00980
OG0000216	KUD10_RS00960	E5E95_RS00985
OG0000217	KUD10_RS00965	E5E95_RS00995
OG0000218	KUD10_RS00975	E5E95_RS01000
OG0000219	KUD10_RS00980	E5E95_RS01005
OG0000220	KUD10_RS00985	E5E95_RS01010
OG0000221	KUD10_RS00990	E5E95_RS01015
OG0000222	KUD10_RS00995	E5E95_RS01020
OG0000223	KUD10_RS01000	E5E95_RS01025
OG0000224	KUD10_RS01010	E5E95_RS01035
OG0000225	KUD10_RS01020	E5E95_RS01045
OG0000226	KUD10_RS01025	E5E95_RS01050
OG0000227	KUD10_RS01030	E5E95_RS01055
OG0000228	KUD10_RS03740	E5E95_RS04285
OG0000229	KUD10_RS01040	E5E95_RS01065
OG0000230	KUD10_RS01045	E5E95_RS01070
OG0000231	KUD10_RS01055	E5E95_RS01080
OG0000232	KUD10_RS01065	E5E95_RS01090
OG0000233	KUD10_RS01090	E5E95_RS01110
OG0000234	KUD10_RS01125	E5E95_RS01145
OG0000235	KUD10_RS01135	E5E95_RS01155
OG0000236	KUD10_RS01140	E5E95_RS01160
OG0000237	KUD10_RS01230	E5E95_RS01165
OG0000238	KUD10_RS01235	E5E95_RS01175
OG0000239	KUD10_RS03015	E5E95_RS03145
OG0000240	KUD10_RS03020	E5E95_RS03150
OG0000241	KUD10_RS03030	E5E95_RS03160
OG0000242	KUD10_RS03035	E5E95_RS03165
OG0000243	KUD10_RS03040	E5E95_RS03170
OG0000244	KUD10_RS03050	E5E95_RS03180
OG0000245	KUD10_RS03055	E5E95_RS03190
OG0000246	KUD10_RS00140	E5E95_RS00130
OG0000247	KUD10_RS00150	E5E95_RS00140
OG0000248	KUD10_RS00160	E5E95_RS00150
OG0000249	KUD10_RS00165	E5E95_RS00155
OG0000250	KUD10_RS00180	E5E95_RS00170
OG0000251	KUD10_RS00210	E5E95_RS00205
OG0000252	KUD10_RS00220	E5E95_RS00215
OG0000253	KUD10_RS00225	E5E95_RS00220
OG0000254	KUD10_RS00235	E5E95_RS00230
OG0000255	KUD10_RS00240	E5E95_RS00240
OG0000256	KUD10_RS00245	E5E95_RS00245
OG0000257	KUD10_RS00270	E5E95_RS00270
OG0000258	KUD10_RS00280	E5E95_RS00280
OG0000259	KUD10_RS00310	E5E95_RS00310
OG0000260	KUD10_RS00320	E5E95_RS00320
OG0000261	KUD10_RS00330	E5E95_RS00330
OG0000262	KUD10_RS00345	E5E95_RS00350
OG0000263	KUD10_RS00360	E5E95_RS00360
OG0000264	KUD10_RS00375	E5E95_RS00375
OG0000265	KUD10_RS00385	E5E95_RS00385
OG0000266	KUD10_RS00400	E5E95_RS00400
OG0000267	KUD10_RS00415	E5E95_RS00415
OG0000268	KUD10_RS00420	E5E95_RS00420
OG0000269	KUD10_RS00435	E5E95_RS00435
OG0000270	KUD10_RS03560	E5E95_RS03710
OG0000271	KUD10_RS03555	E5E95_RS03705
OG0000272	KUD10_RS03550	E5E95_RS03700
OG0000273	KUD10_RS03545	E5E95_RS03695
OG0000274	KUD10_RS03525	E5E95_RS03675
OG0000275	KUD10_RS03520	E5E95_RS03670
OG0000276	KUD10_RS03515	E5E95_RS03665
OG0000277	KUD10_RS03505	E5E95_RS03655
OG0000278	KUD10_RS03500	E5E95_RS03650
OG0000279	KUD10_RS03490	E5E95_RS03640
OG0000280	KUD10_RS03485	E5E95_RS03635
OG0000281	KUD10_RS03480	E5E95_RS03630
OG0000282	KUD10_RS03455	E5E95_RS03605
OG0000283	KUD10_RS03450	E5E95_RS03600
OG0000284	KUD10_RS03445	E5E95_RS03595
OG0000285	KUD10_RS03440	E5E95_RS03590
OG0000286	KUD10_RS02505	E5E95_RS04305
OG0000287	KUD10_RS02600	E5E95_RS02720
OG0000288	KUD10_RS02610	E5E95_RS02730
OG0000289	KUD10_RS02615	E5E95_RS02735
OG0000290	KUD10_RS02730	E5E95_RS02845
OG0000291	KUD10_RS02720	E5E95_RS02835
OG0000292	KUD10_RS02715	E5E95_RS02830
OG0000293	KUD10_RS02710	E5E95_RS02825
OG0000294	KUD10_RS02700	E5E95_RS02815
OG0000295	KUD10_RS02695	E5E95_RS02810
OG0000296	KUD10_RS02650	E5E95_RS02770
OG0000297	KUD10_RS02645	E5E95_RS02765
OG0000298	KUD10_RS00175	E5E95_RS00165
OG0000299	KUD10_RS00195	E5E95_RS00190
OG0000300	KUD10_RS00370	E5E95_RS00370
OG0000301	KUD10_RS00405	E5E95_RS00405
OG0000302	KUD10_RS00410	E5E95_RS00410
OG0000303	KUD10_RS00565	E5E95_RS00560
OG0000304	KUD10_RS01070	E5E95_RS01095
OG0000305	KUD10_RS02955	E5E95_RS03080
OG0000306	KUD10_RS02880	E5E95_RS03005
OG0000307	KUD10_RS02845	E5E95_RS02970
OG0000308	KUD10_RS02750	E5E95_RS02875
OG0000309	KUD10_RS02685	E5E95_RS02800
OG0000310	KUD10_RS02605	E5E95_RS02725
OG0000311	KUD10_RS02565	E5E95_RS02690
OG0000312	KUD10_RS02550	E5E95_RS02675
OG0000313	KUD10_RS01660	E5E95_RS01620
OG0000314	KUD10_RS02005	E5E95_RS02075
OG0000315	KUD10_RS02035	E5E95_RS02105
OG0000316	KUD10_RS02045	E5E95_RS02115
OG0000317	KUD10_RS02140	E5E95_RS02205
OG0000318	KUD10_RS02050	E5E95_RS02120
OG0000319	KUD10_RS02295	E5E95_RS02345
OG0000320	KUD10_RS02425	E5E95_RS02570
OG0000321	KUD10_RS01405	E5E95_RS01350
OG0000322	KUD10_RS01450	E5E95_RS01395
OG0000323	KUD10_RS01580	E5E95_RS01525
OG0000324	KUD10_RS02335	E5E95_RS02385
OG0000325	KUD10_RS00695	E5E95_RS00700
OG0000326	KUD10_RS00790	E5E95_RS00795
OG0000327	KUD10_RS00795	E5E95_RS00800
OG0000328	KUD10_RS00880	E5E95_RS00885
OG0000329	KUD10_RS00900	E5E95_RS00905
OG0000330	KUD10_RS01100	E5E95_RS01120
OG0000331	KUD10_RS03045	E5E95_RS03175
OG0000332	KUD10_RS03180	E5E95_RS03320
OG0000333	KUD10_RS03190	E5E95_RS03330
OG0000334	KUD10_RS03290	E5E95_RS03440
OG0000335	KUD10_RS03300	E5E95_RS03450
OG0000336	KUD10_RS03470	E5E95_RS03620
OG0000337	KUD10_RS03645	E5E95_RS03795
OG0000338	KUD10_RS03685	E5E95_RS03835
OG0000339	KUD10_RS02400	E5E95_RS02540
OG0000340	KUD10_RS01385	E5E95_RS01330
OG0000341	KUD10_RS02355	E5E95_RS02405
OG0000342	KUD10_RS00725	E5E95_RS00730
OG0000343	KUD10_RS03200	E5E95_RS03340
OG0000344	KUD10_RS00580	E5E95_RS00575
OG0000345	KUD10_RS01015	E5E95_RS01040
OG0000346	KUD10_RS03475	E5E95_RS03625
OG0000347	KUD10_RS01475	E5E95_RS01420
OG0000348	KUD10_RS00800	E5E95_RS00805
OG0000349	KUD10_RS03535	E5E95_RS03685
OG0000350	KUD10_RS02835	E5E95_RS02960
OG0000351	KUD10_RS00490	E5E95_RS00495
OG0000352	KUD10_RS01985	E5E95_RS02050
OG0000353	KUD10_RS01445	E5E95_RS01390
OG0000354	KUD10_RS00645	E5E95_RS00635
OG0000355	KUD10_RS01960	E5E95_RS02020
OG0000356	KUD10_RS02040	E5E95_RS02110
OG0000357	KUD10_RS03160	E5E95_RS03300
OG0000358	KUD10_RS03165	E5E95_RS03305
OG0000359	KUD10_RS00770	E5E95_RS00775
OG0000360	KUD10_RS00275	E5E95_RS00275
OG0000361	KUD10_RS00305	E5E95_RS00305
OG0000362	KUD10_RS02625	E5E95_RS02745
OG0000363	KUD10_RS01515	E5E95_RS03985
OG0000364	KUD10_RS01940	E5E95_RS01995
OG0000365	KUD10_RS02085	E5E95_RS02150
OG0000366	KUD10_RS02110	E5E95_RS02175
OG0000367	KUD10_RS02120	E5E95_RS02185
OG0000368	KUD10_RS00060	E5E95_RS00060
OG0000369	KUD10_RS00025	E5E95_RS00025
OG0000370	KUD10_RS00020	E5E95_RS00020
OG0000371	KUD10_RS00015	E5E95_RS00015
OG0000372	KUD10_RS00010	E5E95_RS00010
OG0000373	KUD10_RS03675	E5E95_RS03825
OG0000374	KUD10_RS03665	E5E95_RS03815
OG0000375	KUD10_RS02290	E5E95_RS02340
OG0000376	KUD10_RS02440	E5E95_RS02585
OG0000377	KUD10_RS02430	E5E95_RS02575
OG0000378	KUD10_RS01365	E5E95_RS01310
OG0000379	KUD10_RS01440	E5E95_RS01385
OG0000380	KUD10_RS01465	E5E95_RS01410
OG0000381	KUD10_RS01505	E5E95_RS01450
OG0000382	KUD10_RS01535	E5E95_RS01480
OG0000383	KUD10_RS01575	E5E95_RS01520
OG0000384	KUD10_RS00520	E5E95_RS00515
OG0000385	KUD10_RS00525	E5E95_RS00520
OG0000386	KUD10_RS00545	E5E95_RS00540
OG0000387	KUD10_RS00570	E5E95_RS00565
OG0000388	KUD10_RS00575	E5E95_RS00570
OG0000389	KUD10_RS00625	E5E95_RS00615
OG0000390	KUD10_RS02975	E5E95_RS03100
OG0000391	KUD10_RS02965	E5E95_RS03090
OG0000392	KUD10_RS02940	E5E95_RS03065
OG0000393	KUD10_RS02885	E5E95_RS03010
OG0000394	KUD10_RS02815	E5E95_RS02940
OG0000395	KUD10_RS02810	E5E95_RS02930
OG0000397	KUD10_RS01970	E5E95_RS02035
OG0000398	KUD10_RS01975	E5E95_RS02040
OG0000399	KUD10_RS02020	E5E95_RS02090
OG0000400	KUD10_RS03125	E5E95_RS03265
OG0000401	KUD10_RS03185	E5E95_RS03325
OG0000402	KUD10_RS03195	E5E95_RS03335
OG0000403	KUD10_RS03205	E5E95_RS03345
OG0000404	KUD10_RS03230	E5E95_RS03375
OG0000405	KUD10_RS03245	E5E95_RS03390
OG0000406	KUD10_RS03305	E5E95_RS03455
OG0000407	KUD10_RS03310	E5E95_RS03460
OG0000408	KUD10_RS03315	E5E95_RS03465
OG0000409	KUD10_RS03320	E5E95_RS03470
OG0000410	KUD10_RS03380	E5E95_RS03530
OG0000411	KUD10_RS03370	E5E95_RS03520
OG0000412	KUD10_RS03365	E5E95_RS03515
OG0000413	KUD10_RS01590	E5E95_RS01535
OG0000414	KUD10_RS01600	E5E95_RS01545
OG0000415	KUD10_RS01605	E5E95_RS01550
OG0000416	KUD10_RS01615	E5E95_RS01560
OG0000417	KUD10_RS02350	E5E95_RS02400
OG0000418	KUD10_RS02345	E5E95_RS02395
OG0000419	KUD10_RS00705	E5E95_RS00710
OG0000420	KUD10_RS00740	E5E95_RS00745
OG0000421	KUD10_RS00775	E5E95_RS00780
OG0000422	KUD10_RS00785	E5E95_RS00790
OG0000423	KUD10_RS00840	E5E95_RS00845
OG0000424	KUD10_RS00845	E5E95_RS00850
OG0000425	KUD10_RS00855	E5E95_RS00860
OG0000426	KUD10_RS00860	E5E95_RS00865
OG0000427	KUD10_RS00885	E5E95_RS00890
OG0000428	KUD10_RS00910	E5E95_RS00915
OG0000429	KUD10_RS01005	E5E95_RS01030
OG0000430	KUD10_RS01050	E5E95_RS01075
OG0000431	KUD10_RS01060	E5E95_RS01085
OG0000432	KUD10_RS01095	E5E95_RS01115
OG0000433	KUD10_RS01110	E5E95_RS01130
OG0000434	KUD10_RS01115	E5E95_RS01135
OG0000435	KUD10_RS01130	E5E95_RS01150
OG0000436	KUD10_RS01240	E5E95_RS01180
OG0000437	KUD10_RS01250	E5E95_RS01190
OG0000438	KUD10_RS01255	E5E95_RS01195
OG0000439	KUD10_RS01260	E5E95_RS01200
OG0000440	KUD10_RS03025	E5E95_RS03155
OG0000441	KUD10_RS03060	E5E95_RS03195
OG0000442	KUD10_RS00145	E5E95_RS00135
OG0000443	KUD10_RS00190	E5E95_RS00185
OG0000444	KUD10_RS00205	E5E95_RS00200
OG0000445	KUD10_RS00230	E5E95_RS00225
OG0000446	KUD10_RS00255	E5E95_RS00255
OG0000447	KUD10_RS00260	E5E95_RS00260
OG0000448	KUD10_RS00290	E5E95_RS00290
OG0000449	KUD10_RS00315	E5E95_RS00315
OG0000450	KUD10_RS00325	E5E95_RS00325
OG0000451	KUD10_RS00365	E5E95_RS00365
OG0000452	KUD10_RS00390	E5E95_RS00390
OG0000453	KUD10_RS00425	E5E95_RS00425
OG0000454	KUD10_RS01220	E5E95_RS02455
OG0000455	KUD10_RS03580	E5E95_RS03730
OG0000456	KUD10_RS03460	E5E95_RS03610
OG0000457	KUD10_RS03435	E5E95_RS03585
OG0000458	KUD10_RS02595	E5E95_RS02715
OG0000459	KUD10_RS02620	E5E95_RS02740
OG0000460	KUD10_RS02630	E5E95_RS02750
OG0000461	KUD10_RS02680	E5E95_RS02795
OG0000462	KUD10_RS02670	E5E95_RS02790
OG0000463	KUD10_RS02665	E5E95_RS02785
OG0000464	KUD10_RS02660	E5E95_RS02780
OG0000465	KUD10_RS02655	E5E95_RS02775
OG0000466	KUD10_RS00395	E5E95_RS00395
OG0000467	KUD10_RS02760	E5E95_RS02880
OG0000468	KUD10_RS02015	E5E95_RS02085
OG0000469	KUD10_RS02075	E5E95_RS02145
OG0000470	KUD10_RS00835	E5E95_RS03895
OG0000471	KUD10_RS00915	E5E95_RS00920
OG0000472	KUD10_RS03390	E5E95_RS03540
OG0000473	KUD10_RS03565	E5E95_RS03715
OG0000474	KUD10_RS03570	E5E95_RS03720
OG0000475	KUD10_RS03575	E5E95_RS03725
OG0000476	KUD10_RS01625	E5E95_RS01570
OG0000477	KUD10_RS02705	E5E95_RS02820
OG0000478	KUD10_RS03510	E5E95_RS03660
OG0000479	KUD10_RS01400	E5E95_RS01345
OG0000480	KUD10_RS02080	E5E95_RS03865
OG0000481	KUD10_RS00810	E5E95_RS00815
OG0000482	KUD10_RS01280	E5E95_RS01230
OG0000483	KUD10_RS02125	E5E95_RS02190
OG0000484	KUD10_RS00200	E5E95_RS00195
OG0000485	KUD10_RS01245	E5E95_RS01185
OG0000486	KUD10_RS02370	E5E95_RS02420
OG0000487	KUD10_RS02055	E5E95_RS02125
OG0000488	KUD10_RS02095	E5E95_RS02160
OG0000489	KUD10_RS00050	E5E95_RS00050
OG0000490	KUD10_RS03680	E5E95_RS03830
OG0000491	KUD10_RS01420	E5E95_RS01365
OG0000492	KUD10_RS01495	E5E95_RS01440
OG0000493	KUD10_RS00585	E5E95_RS00580
OG0000494	KUD10_RS00650	E5E95_RS00640
OG0000495	KUD10_RS02910	E5E95_RS03035
