Orthogroup	MHP_LH_genes	MHP_KM014_genes
OG0000079	KUD10_RS02640	CIB43_RS03480
OG0000080	KUD10_RS02690	CIB43_RS03525
OG0000081	KUD10_RS00335	CIB43_RS01055
OG0000082	KUD10_RS02460	CIB43_RS03315
OG0000083	KUD10_RS02070	CIB43_RS02935
OG0000084	KUD10_RS02100	CIB43_RS02955
OG0000086	KUD10_RS02115	CIB43_RS02970
OG0000087	KUD10_RS02130	CIB43_RS02975
OG0000088	KUD10_RS02135	CIB43_RS02980
OG0000089	KUD10_RS02145	CIB43_RS02990
OG0000090	KUD10_RS00070	CIB43_RS00770
OG0000091	KUD10_RS00055	CIB43_RS00760
OG0000092	KUD10_RS00040	CIB43_RS00745
OG0000093	KUD10_RS00035	CIB43_RS00735
OG0000094	KUD10_RS00030	CIB43_RS00730
OG0000095	KUD10_RS00005	CIB43_RS00715
OG0000096	KUD10_RS03690	CIB43_RS00700
OG0000097	KUD10_RS03670	CIB43_RS00690
OG0000100	KUD10_RS03590	CIB43_RS00610
OG0000101	KUD10_RS03585	CIB43_RS00600
OG0000102	KUD10_RS01765	CIB43_RS02580
OG0000103	KUD10_RS02280	CIB43_RS03110
OG0000104	KUD10_RS02285	CIB43_RS03120
OG0000105	KUD10_RS02300	CIB43_RS03130
OG0000106	KUD10_RS02310	CIB43_RS03140
OG0000107	KUD10_RS02320	CIB43_RS03150
OG0000108	KUD10_RS02325	CIB43_RS03155
OG0000109	KUD10_RS02330	CIB43_RS03160
OG0000110	KUD10_RS02450	CIB43_RS03290
OG0000111	KUD10_RS02445	CIB43_RS03285
OG0000112	KUD10_RS02435	CIB43_RS03280
OG0000113	KUD10_RS02415	CIB43_RS03260
OG0000114	KUD10_RS02405	CIB43_RS03245
OG0000115	KUD10_RS02395	CIB43_RS03230
OG0000116	KUD10_RS01370	CIB43_RS02165
OG0000117	KUD10_RS01375	CIB43_RS02170
OG0000118	KUD10_RS01410	CIB43_RS02205
OG0000119	KUD10_RS01415	CIB43_RS02210
OG0000120	KUD10_RS01430	CIB43_RS02230
OG0000121	KUD10_RS01455	CIB43_RS02250
OG0000122	KUD10_RS01460	CIB43_RS02255
OG0000123	KUD10_RS01480	CIB43_RS02275
OG0000124	KUD10_RS01485	CIB43_RS02280
OG0000125	KUD10_RS01490	CIB43_RS02285
OG0000126	KUD10_RS01500	CIB43_RS02295
OG0000127	KUD10_RS01510	CIB43_RS02305
OG0000128	KUD10_RS01525	CIB43_RS02320
OG0000129	KUD10_RS01530	CIB43_RS02330
OG0000130	KUD10_RS01540	CIB43_RS02335
OG0000131	KUD10_RS01570	CIB43_RS02370
OG0000132	KUD10_RS01585	CIB43_RS02385
OG0000133	KUD10_RS00535	CIB43_RS01415
OG0000134	KUD10_RS00540	CIB43_RS01425
OG0000135	KUD10_RS00555	CIB43_RS01435
OG0000136	KUD10_RS00560	CIB43_RS01440
OG0000137	KUD10_RS00600	CIB43_RS01470
OG0000138	KUD10_RS00630	CIB43_RS01495
OG0000139	KUD10_RS00660	CIB43_RS01525
OG0000140	KUD10_RS00665	CIB43_RS01540
OG0000141	KUD10_RS03005	CIB43_RS03850
OG0000142	KUD10_RS03000	CIB43_RS03845
OG0000143	KUD10_RS02980	CIB43_RS03835
OG0000144	KUD10_RS02970	CIB43_RS03815
OG0000145	KUD10_RS02960	CIB43_RS03805
OG0000146	KUD10_RS02950	CIB43_RS03790
OG0000147	KUD10_RS02945	CIB43_RS03785
OG0000148	KUD10_RS02930	CIB43_RS03780
OG0000149	KUD10_RS02920	CIB43_RS03760
OG0000150	KUD10_RS02905	CIB43_RS03745
OG0000151	KUD10_RS02860	CIB43_RS03700
OG0000152	KUD10_RS02855	CIB43_RS03695
OG0000153	KUD10_RS02850	CIB43_RS03690
OG0000154	KUD10_RS02840	CIB43_RS03680
OG0000155	KUD10_RS02805	CIB43_RS03645
OG0000156	KUD10_RS02795	CIB43_RS03635
OG0000157	KUD10_RS02790	CIB43_RS03625
OG0000158	KUD10_RS03710	CIB43_RS03620
OG0000159	KUD10_RS02545	CIB43_RS03385
OG0000160	KUD10_RS02540	CIB43_RS03380
OG0000161	KUD10_RS02535	CIB43_RS03375
OG0000163	KUD10_RS02520	CIB43_RS03370
OG0000164	KUD10_RS01670	CIB43_RS02495
OG0000165	KUD10_RS01990	CIB43_RS02840
OG0000166	KUD10_RS02010	CIB43_RS02860
OG0000167	KUD10_RS02025	CIB43_RS02875
OG0000168	KUD10_RS02030	CIB43_RS02880
OG0000169	KUD10_RS03115	CIB43_RS00130
OG0000171	KUD10_RS03140	CIB43_RS00155
OG0000172	KUD10_RS03145	CIB43_RS00160
OG0000173	KUD10_RS03150	CIB43_RS00165
OG0000174	KUD10_RS03155	CIB43_RS00170
OG0000175	KUD10_RS03170	CIB43_RS00190
OG0000176	KUD10_RS03215	CIB43_RS00235
OG0000177	KUD10_RS03220	CIB43_RS00240
OG0000178	KUD10_RS03225	CIB43_RS00245
OG0000179	KUD10_RS03235	CIB43_RS00255
OG0000180	KUD10_RS03240	CIB43_RS00260
OG0000181	KUD10_RS03285	CIB43_RS00310
OG0000182	KUD10_RS03295	CIB43_RS00320
OG0000183	KUD10_RS03330	CIB43_RS00355
OG0000184	KUD10_RS03375	CIB43_RS00430
OG0000185	KUD10_RS03360	CIB43_RS00380
OG0000186	KUD10_RS01595	CIB43_RS02400
OG0000187	KUD10_RS01610	CIB43_RS02410
OG0000188	KUD10_RS01620	CIB43_RS02425
OG0000189	KUD10_RS02365	CIB43_RS03200
OG0000190	KUD10_RS02360	CIB43_RS03195
OG0000191	KUD10_RS02340	CIB43_RS03180
OG0000192	KUD10_RS01290	CIB43_RS02085
OG0000193	KUD10_RS01275	CIB43_RS02075
OG0000194	KUD10_RS00685	CIB43_RS01560
OG0000195	KUD10_RS00690	CIB43_RS01565
OG0000196	KUD10_RS00710	CIB43_RS01585
OG0000197	KUD10_RS00715	CIB43_RS01590
OG0000198	KUD10_RS00730	CIB43_RS01605
OG0000199	KUD10_RS00735	CIB43_RS01615
OG0000200	KUD10_RS00750	CIB43_RS01630
OG0000201	KUD10_RS00760	CIB43_RS01635
OG0000202	KUD10_RS00815	CIB43_RS01690
OG0000203	KUD10_RS00820	CIB43_RS01695
OG0000204	KUD10_RS00825	CIB43_RS01700
OG0000205	KUD10_RS00830	CIB43_RS01705
OG0000206	KUD10_RS00850	CIB43_RS01735
OG0000207	KUD10_RS00865	CIB43_RS01740
OG0000208	KUD10_RS00870	CIB43_RS01745
OG0000209	KUD10_RS00875	CIB43_RS01750
OG0000210	KUD10_RS00920	CIB43_RS01800
OG0000211	KUD10_RS00930	CIB43_RS01805
OG0000212	KUD10_RS00940	CIB43_RS01815
OG0000213	KUD10_RS00945	CIB43_RS01820
OG0000214	KUD10_RS00950	CIB43_RS01825
OG0000215	KUD10_RS00955	CIB43_RS01830
OG0000216	KUD10_RS00960	CIB43_RS01835
OG0000217	KUD10_RS00965	CIB43_RS01845
OG0000218	KUD10_RS00975	CIB43_RS01850
OG0000219	KUD10_RS00980	CIB43_RS01855
OG0000220	KUD10_RS00985	CIB43_RS01860
OG0000221	KUD10_RS00990	CIB43_RS01865
OG0000222	KUD10_RS00995	CIB43_RS01870
OG0000223	KUD10_RS01000	CIB43_RS01875
OG0000225	KUD10_RS01020	CIB43_RS01895
OG0000226	KUD10_RS01025	CIB43_RS01900
OG0000227	KUD10_RS01030	CIB43_RS01905
OG0000228	KUD10_RS03740	CIB43_RS01910
OG0000229	KUD10_RS01040	CIB43_RS01915
OG0000230	KUD10_RS01045	CIB43_RS01920
OG0000231	KUD10_RS01055	CIB43_RS01935
OG0000232	KUD10_RS01065	CIB43_RS01940
OG0000233	KUD10_RS01090	CIB43_RS01965
OG0000234	KUD10_RS01125	CIB43_RS02000
OG0000235	KUD10_RS01135	CIB43_RS02005
OG0000236	KUD10_RS01140	CIB43_RS02010
OG0000237	KUD10_RS01230	CIB43_RS02015
OG0000238	KUD10_RS01235	CIB43_RS02025
OG0000239	KUD10_RS03015	CIB43_RS03860
OG0000240	KUD10_RS03020	CIB43_RS03870
OG0000241	KUD10_RS03030	CIB43_RS03875
OG0000242	KUD10_RS03035	CIB43_RS03880
OG0000243	KUD10_RS03040	CIB43_RS03885
OG0000244	KUD10_RS03050	CIB43_RS03900
OG0000245	KUD10_RS03055	CIB43_RS03905
OG0000246	KUD10_RS00140	CIB43_RS00845
OG0000247	KUD10_RS00150	CIB43_RS00850
OG0000248	KUD10_RS00160	CIB43_RS00875
OG0000250	KUD10_RS00180	CIB43_RS00885
OG0000251	KUD10_RS00210	CIB43_RS00925
OG0000252	KUD10_RS00220	CIB43_RS00930
OG0000253	KUD10_RS00225	CIB43_RS00940
OG0000254	KUD10_RS00235	CIB43_RS00950
OG0000255	KUD10_RS00240	CIB43_RS00955
OG0000256	KUD10_RS00245	CIB43_RS00960
OG0000257	KUD10_RS00270	CIB43_RS00985
OG0000258	KUD10_RS00280	CIB43_RS01015
OG0000259	KUD10_RS00310	CIB43_RS01030
OG0000260	KUD10_RS00320	CIB43_RS01045
OG0000262	KUD10_RS00345	CIB43_RS01075
OG0000263	KUD10_RS00360	CIB43_RS01080
OG0000264	KUD10_RS00375	CIB43_RS01100
OG0000265	KUD10_RS00385	CIB43_RS01110
OG0000266	KUD10_RS00400	CIB43_RS01120
OG0000267	KUD10_RS00415	CIB43_RS01135
OG0000268	KUD10_RS00420	CIB43_RS01305
OG0000269	KUD10_RS00435	CIB43_RS01320
OG0000270	KUD10_RS03560	CIB43_RS00575
OG0000271	KUD10_RS03555	CIB43_RS00570
OG0000272	KUD10_RS03550	CIB43_RS00565
OG0000273	KUD10_RS03545	CIB43_RS00560
OG0000274	KUD10_RS03525	CIB43_RS00545
OG0000275	KUD10_RS03520	CIB43_RS00535
OG0000276	KUD10_RS03515	CIB43_RS00530
OG0000277	KUD10_RS03505	CIB43_RS00525
OG0000278	KUD10_RS03500	CIB43_RS00515
OG0000279	KUD10_RS03490	CIB43_RS00510
OG0000280	KUD10_RS03485	CIB43_RS00500
OG0000281	KUD10_RS03480	CIB43_RS00495
OG0000283	KUD10_RS03450	CIB43_RS00475
OG0000284	KUD10_RS03445	CIB43_RS00460
OG0000285	KUD10_RS03440	CIB43_RS00455
OG0000286	KUD10_RS02505	CIB43_RS03345
OG0000287	KUD10_RS02600	CIB43_RS03440
OG0000288	KUD10_RS02610	CIB43_RS03450
OG0000289	KUD10_RS02615	CIB43_RS03455
OG0000290	KUD10_RS02730	CIB43_RS03565
OG0000291	KUD10_RS02720	CIB43_RS03560
OG0000292	KUD10_RS02715	CIB43_RS03550
OG0000293	KUD10_RS02710	CIB43_RS03545
OG0000294	KUD10_RS02700	CIB43_RS03540
OG0000295	KUD10_RS02695	CIB43_RS03530
OG0000296	KUD10_RS02650	CIB43_RS03495
OG0000297	KUD10_RS02645	CIB43_RS03485
OG0000298	KUD10_RS00175	CIB43_RS00880
OG0000299	KUD10_RS00195	CIB43_RS00915
OG0000300	KUD10_RS00370	CIB43_RS01090
OG0000301	KUD10_RS00405	CIB43_RS01125
OG0000302	KUD10_RS00410	CIB43_RS01130
OG0000303	KUD10_RS00565	CIB43_RS01455
OG0000304	KUD10_RS01070	CIB43_RS01950
OG0000305	KUD10_RS02955	CIB43_RS03795
OG0000306	KUD10_RS02880	CIB43_RS03725
OG0000307	KUD10_RS02845	CIB43_RS03685
OG0000308	KUD10_RS02750	CIB43_RS03600
OG0000309	KUD10_RS02685	CIB43_RS03520
OG0000310	KUD10_RS02605	CIB43_RS03445
OG0000311	KUD10_RS02565	CIB43_RS03405
OG0000312	KUD10_RS02550	CIB43_RS03390
OG0000313	KUD10_RS01660	CIB43_RS02485
OG0000314	KUD10_RS02005	CIB43_RS02855
OG0000315	KUD10_RS02035	CIB43_RS02885
OG0000316	KUD10_RS02045	CIB43_RS02895
OG0000317	KUD10_RS02140	CIB43_RS02985
OG0000318	KUD10_RS02050	CIB43_RS02900
OG0000319	KUD10_RS02295	CIB43_RS03125
OG0000320	KUD10_RS02425	CIB43_RS03270
OG0000321	KUD10_RS01405	CIB43_RS02200
OG0000322	KUD10_RS01450	CIB43_RS02245
OG0000323	KUD10_RS01580	CIB43_RS02375
OG0000324	KUD10_RS02335	CIB43_RS03170
OG0000325	KUD10_RS00695	CIB43_RS01570
OG0000326	KUD10_RS00790	CIB43_RS01665
OG0000327	KUD10_RS00795	CIB43_RS01670
OG0000328	KUD10_RS00880	CIB43_RS01760
OG0000329	KUD10_RS00900	CIB43_RS01775
OG0000330	KUD10_RS01100	CIB43_RS01970
OG0000331	KUD10_RS03045	CIB43_RS03890
OG0000332	KUD10_RS03180	CIB43_RS00200
OG0000333	KUD10_RS03190	CIB43_RS00210
OG0000334	KUD10_RS03290	CIB43_RS00315
OG0000335	KUD10_RS03300	CIB43_RS00340
OG0000336	KUD10_RS03470	CIB43_RS00485
OG0000337	KUD10_RS03645	CIB43_RS00655
OG0000338	KUD10_RS03685	CIB43_RS00695
OG0000339	KUD10_RS02400	CIB43_RS03235
OG0000340	KUD10_RS01385	CIB43_RS02185
OG0000341	KUD10_RS02355	CIB43_RS03190
OG0000342	KUD10_RS00725	CIB43_RS01600
OG0000343	KUD10_RS03200	CIB43_RS00215
OG0000344	KUD10_RS00580	CIB43_RS01465
OG0000345	KUD10_RS01015	CIB43_RS01890
OG0000346	KUD10_RS03475	CIB43_RS00490
OG0000347	KUD10_RS01475	CIB43_RS02270
OG0000348	KUD10_RS00800	CIB43_RS01685
OG0000349	KUD10_RS03535	CIB43_RS00550
OG0000350	KUD10_RS02835	CIB43_RS03675
OG0000351	KUD10_RS00490	CIB43_RS01385
OG0000352	KUD10_RS01985	CIB43_RS02830
OG0000353	KUD10_RS01445	CIB43_RS02240
OG0000354	KUD10_RS00645	CIB43_RS01515
OG0000355	KUD10_RS01960	CIB43_RS02805
OG0000356	KUD10_RS02040	CIB43_RS02890
OG0000357	KUD10_RS03160	CIB43_RS00175
OG0000358	KUD10_RS03165	CIB43_RS00180
OG0000359	KUD10_RS00770	CIB43_RS01650
OG0000360	KUD10_RS00275	CIB43_RS00990
OG0000361	KUD10_RS00305	CIB43_RS01020
OG0000362	KUD10_RS02625	CIB43_RS03475
OG0000363	KUD10_RS01515	CIB43_RS02310
OG0000364	KUD10_RS01940	CIB43_RS02775
OG0000369	KUD10_RS00025	CIB43_RS00725
OG0000370	KUD10_RS00020	CIB43_RS00720
OG0000378	KUD10_RS01365	CIB43_RS02160
OG0000379	KUD10_RS01440	CIB43_RS02235
OG0000380	KUD10_RS01465	CIB43_RS02260
OG0000381	KUD10_RS01505	CIB43_RS02300
OG0000385	KUD10_RS00525	CIB43_RS01405
OG0000389	KUD10_RS00625	CIB43_RS01490
OG0000394	KUD10_RS02815	CIB43_RS03660
OG0000396	KUD10_RS02510	CIB43_RS03350
OG0000403	KUD10_RS03205	CIB43_RS00220
OG0000404	KUD10_RS03230	CIB43_RS00250
OG0000405	KUD10_RS03245	CIB43_RS00265
OG0000409	KUD10_RS03320	CIB43_RS00345
OG0000412	KUD10_RS03365	CIB43_RS00390
OG0000417	KUD10_RS02350	CIB43_RS03185
OG0000428	KUD10_RS00910	CIB43_RS01785
OG0000429	KUD10_RS01005	CIB43_RS01885
OG0000430	KUD10_RS01050	CIB43_RS01925
OG0000434	KUD10_RS01115	CIB43_RS01985
OG0000436	KUD10_RS01240	CIB43_RS02030
OG0000437	KUD10_RS01250	CIB43_RS02065
OG0000441	KUD10_RS03060	CIB43_RS03910
OG0000451	KUD10_RS00365	CIB43_RS01085
OG0000453	KUD10_RS00425	CIB43_RS01315
OG0000457	KUD10_RS03435	CIB43_RS00450
OG0000459	KUD10_RS02620	CIB43_RS03460
OG0000463	KUD10_RS02665	CIB43_RS03515
OG0000464	KUD10_RS02660	CIB43_RS03500
OG0000466	KUD10_RS00395	CIB43_RS01115
OG0000468	KUD10_RS02015	CIB43_RS02870
OG0000471	KUD10_RS00915	CIB43_RS01790
OG0000473	KUD10_RS03565	CIB43_RS00580
OG0000474	KUD10_RS03570	CIB43_RS00585
OG0000475	KUD10_RS03575	CIB43_RS00595
OG0000482	KUD10_RS01280	CIB43_RS02080
OG0000485	KUD10_RS01245	CIB43_RS02035
OG0000486	KUD10_RS02370	CIB43_RS03205
OG0000487	KUD10_RS02055	CIB43_RS02915
OG0000488	KUD10_RS02095	CIB43_RS02940
OG0000489	KUD10_RS00050	CIB43_RS00750
OG0000491	KUD10_RS01420	CIB43_RS02220
OG0000492	KUD10_RS01495	CIB43_RS02290
OG0000495	KUD10_RS02910	CIB43_RS03750
OG0000502	KUD10_RS01270	CIB43_RS02070
OG0000504	KUD10_RS00890	CIB43_RS01770
OG0000506	KUD10_RS00935	CIB43_RS01810
OG0000508	KUD10_RS00250	CIB43_RS00980
OG0000517	KUD10_RS00065	CIB43_RS00765
OG0000519	KUD10_RS00780	CIB43_RS01660
OG0000520	KUD10_RS00905	CIB43_RS01780
OG0000523	KUD10_RS03430	CIB43_RS00445
OG0000526	KUD10_RS01895	CIB43_RS02720
OG0000527	KUD10_RS01830	CIB43_RS02640
OG0000529	KUD10_RS02305	CIB43_RS03135
OG0000530	KUD10_RS02410	CIB43_RS03250
OG0000531	KUD10_RS01470	CIB43_RS02265
OG0000537	KUD10_RS00720	CIB43_RS01595
OG0000538	KUD10_RS01120	CIB43_RS01990
OG0000543	KUD10_RS01215	CIB43_RS01215
OG0000544	KUD10_RS01325	CIB43_RS02125
OG0000545	KUD10_RS01885	CIB43_RS02715
OG0000546	KUD10_RS02865	CIB43_RS03705
OG0000553	KUD10_RS02770	CIB43_RS03610
OG0000554	KUD10_RS02455	CIB43_RS03295
OG0000556	KUD10_RS01160	CIB43_RS01290
OG0000557	KUD10_RS01335	CIB43_RS02130
OG0000558	KUD10_RS01305	CIB43_RS02100
OG0000559	KUD10_RS01760	CIB43_RS02575
OG0000560	KUD10_RS01875	CIB43_RS02680
OG0000561	KUD10_RS01105	CIB43_RS01980
OG0000562	KUD10_RS01880	CIB43_RS02685
OG0000563	KUD10_RS01865	CIB43_RS02670
OG0000564	KUD10_RS01360	CIB43_RS02155
OG0000565	KUD10_RS01930	CIB43_RS02760
OG0000566	KUD10_RS01915	CIB43_RS02740
OG0000568	KUD10_RS00680	CIB43_RS01555
OG0000569	KUD10_RS01310	CIB43_RS02105
OG0000570	KUD10_RS01315	CIB43_RS02110
OG0000571	KUD10_RS01320	CIB43_RS02115
OG0000572	KUD10_RS01340	CIB43_RS02135
OG0000573	KUD10_RS01755	CIB43_RS02570
OG0000574	KUD10_RS01380	CIB43_RS02175
OG0000575	KUD10_RS01295	CIB43_RS02090
OG0000576	KUD10_RS01715	CIB43_RS02530
OG0000577	KUD10_RS02745	CIB43_RS03580
OG0000579	KUD10_RS01855	CIB43_RS02660
OG0000580	KUD10_RS02870	CIB43_RS03710
OG0000581	KUD10_RS01835	CIB43_RS02645
OG0000584	KUD10_RS01190	CIB43_RS01180, CIB43_RS00035, CIB43_RS01255
OG0000585	KUD10_RS02275	CIB43_RS03105
OG0000588	KUD10_RS01705	CIB43_RS02525
OG0000589	KUD10_RS02220	CIB43_RS03055
OG0000590	KUD10_RS01200	CIB43_RS01190
OG0000592	KUD10_RS02735	CIB43_RS03570
OG0000594	KUD10_RS01300	CIB43_RS02095
OG0000595	KUD10_RS03070	CIB43_RS03920
OG0000597	KUD10_RS03065	CIB43_RS03915
OG0000600	KUD10_RS01185	CIB43_RS01175, CIB43_RS00040, CIB43_RS01260
OG0000601	KUD10_RS01870	CIB43_RS02675
OG0000603	KUD10_RS01180	CIB43_RS01270
OG0000606	KUD10_RS01840	CIB43_RS02655
OG0000609	KUD10_RS01905	CIB43_RS02730
OG0000613	KUD10_RS01945	CIB43_RS02785
OG0000614	KUD10_RS02240	CIB43_RS03070
