Orthogroup	MHP_ES2L_genes	MHP_LH_genes
OG0000117	HZK19_RS01270	KUD10_RS01375
OG0000118	HZK19_RS01305	KUD10_RS01410
OG0000119	HZK19_RS01310	KUD10_RS01415
OG0000120	HZK19_RS01325	KUD10_RS01430
OG0000121	HZK19_RS01350	KUD10_RS01455
OG0000122	HZK19_RS01355	KUD10_RS01460
OG0000123	HZK19_RS01375	KUD10_RS01480
OG0000124	HZK19_RS01380	KUD10_RS01485
OG0000125	HZK19_RS01385	KUD10_RS01490
OG0000126	HZK19_RS01395	KUD10_RS01500
OG0000127	HZK19_RS01405	KUD10_RS01510
OG0000128	HZK19_RS01420	KUD10_RS01525
OG0000129	HZK19_RS01425	KUD10_RS01530
OG0000130	HZK19_RS01435	KUD10_RS01540
OG0000131	HZK19_RS01465	KUD10_RS01570
OG0000132	HZK19_RS01480	KUD10_RS01585
OG0000133	HZK19_RS00520	KUD10_RS00535
OG0000134	HZK19_RS00525	KUD10_RS00540
OG0000135	HZK19_RS00540	KUD10_RS00555
OG0000136	HZK19_RS00545	KUD10_RS00560
OG0000137	HZK19_RS00575	KUD10_RS00600
OG0000138	HZK19_RS00610	KUD10_RS00630
OG0000139	HZK19_RS00640	KUD10_RS00660
OG0000140	HZK19_RS00645	KUD10_RS00665
OG0000141	HZK19_RS02895	KUD10_RS03005
OG0000142	HZK19_RS02890	KUD10_RS03000
OG0000143	HZK19_RS02870	KUD10_RS02980
OG0000144	HZK19_RS02860	KUD10_RS02970
OG0000145	HZK19_RS02850	KUD10_RS02960
OG0000146	HZK19_RS02840	KUD10_RS02950
OG0000147	HZK19_RS02835	KUD10_RS02945
OG0000148	HZK19_RS02820	KUD10_RS02930
OG0000149	HZK19_RS02810	KUD10_RS02920
OG0000150	HZK19_RS02795	KUD10_RS02905
OG0000151	HZK19_RS02750	KUD10_RS02860
OG0000152	HZK19_RS02745	KUD10_RS02855
OG0000153	HZK19_RS02740	KUD10_RS02850
OG0000154	HZK19_RS02730	KUD10_RS02840
OG0000155	HZK19_RS02690	KUD10_RS02805
OG0000156	HZK19_RS02680	KUD10_RS02795
OG0000157	HZK19_RS02675	KUD10_RS02790
OG0000158	HZK19_RS03895	KUD10_RS03710
OG0000159	HZK19_RS03970	KUD10_RS02545
OG0000160	HZK19_RS02425	KUD10_RS02540
OG0000161	HZK19_RS02420	KUD10_RS02535
OG0000162	HZK19_RS02410	KUD10_RS02525
OG0000163	HZK19_RS02405	KUD10_RS02520
OG0000164	HZK19_RS01575	KUD10_RS01670
OG0000165	HZK19_RS01905	KUD10_RS01990
OG0000166	HZK19_RS01925	KUD10_RS02010
OG0000167	HZK19_RS01940	KUD10_RS02025
OG0000168	HZK19_RS01945	KUD10_RS02030
OG0000169	HZK19_RS02990	KUD10_RS03115
OG0000170	HZK19_RS03005	KUD10_RS03130
OG0000171	HZK19_RS03110	KUD10_RS03140
OG0000172	HZK19_RS03115	KUD10_RS03145
OG0000173	HZK19_RS03120	KUD10_RS03150
OG0000174	HZK19_RS03125	KUD10_RS03155
OG0000175	HZK19_RS03140	KUD10_RS03170
OG0000176	HZK19_RS03190	KUD10_RS03215
OG0000177	HZK19_RS03195	KUD10_RS03220
OG0000178	HZK19_RS03200	KUD10_RS03225
OG0000179	HZK19_RS03210	KUD10_RS03235
OG0000180	HZK19_RS03215	KUD10_RS03240
OG0000181	HZK19_RS03265	KUD10_RS03285
OG0000182	HZK19_RS03275	KUD10_RS03295
OG0000183	HZK19_RS03310	KUD10_RS03330
OG0000184	HZK19_RS03355	KUD10_RS03375
OG0000185	HZK19_RS03340	KUD10_RS03360
OG0000186	HZK19_RS01490	KUD10_RS01595
OG0000187	HZK19_RS01505	KUD10_RS01610
OG0000188	HZK19_RS01515	KUD10_RS01620
OG0000189	HZK19_RS02270	KUD10_RS02365
OG0000190	HZK19_RS02265	KUD10_RS02360
OG0000191	HZK19_RS02245	KUD10_RS02340
OG0000192	HZK19_RS01180	KUD10_RS01290
OG0000193	HZK19_RS01175	KUD10_RS01275
OG0000194	HZK19_RS00665	KUD10_RS00685
OG0000195	HZK19_RS00670	KUD10_RS00690
OG0000196	HZK19_RS00690	KUD10_RS00710
OG0000197	HZK19_RS00695	KUD10_RS00715
OG0000198	HZK19_RS00710	KUD10_RS00730
OG0000199	HZK19_RS00715	KUD10_RS00735
OG0000200	HZK19_RS00730	KUD10_RS00750
OG0000201	HZK19_RS00740	KUD10_RS00760
OG0000202	HZK19_RS00795	KUD10_RS00815
OG0000203	HZK19_RS00800	KUD10_RS00820
OG0000204	HZK19_RS00805	KUD10_RS00825
OG0000205	HZK19_RS00810	KUD10_RS00830
OG0000206	HZK19_RS00830	KUD10_RS00850
OG0000207	HZK19_RS00845	KUD10_RS00865
OG0000208	HZK19_RS00850	KUD10_RS00870
OG0000209	HZK19_RS00855	KUD10_RS00875
OG0000210	HZK19_RS00900	KUD10_RS00920
OG0000211	HZK19_RS00910	KUD10_RS00930
OG0000212	HZK19_RS00920	KUD10_RS00940
OG0000213	HZK19_RS00925	KUD10_RS00945
OG0000214	HZK19_RS00930	KUD10_RS00950
OG0000215	HZK19_RS00935	KUD10_RS00955
OG0000216	HZK19_RS00940	KUD10_RS00960
OG0000217	HZK19_RS00945	KUD10_RS00965
OG0000218	HZK19_RS00955	KUD10_RS00975
OG0000219	HZK19_RS00960	KUD10_RS00980
OG0000220	HZK19_RS00965	KUD10_RS00985
OG0000221	HZK19_RS00970	KUD10_RS00990
OG0000222	HZK19_RS00975	KUD10_RS00995
OG0000223	HZK19_RS00980	KUD10_RS01000
OG0000224	HZK19_RS00990	KUD10_RS01010
OG0000225	HZK19_RS01000	KUD10_RS01020
OG0000226	HZK19_RS01005	KUD10_RS01025
OG0000227	HZK19_RS01010	KUD10_RS01030
OG0000228	HZK19_RS03950	KUD10_RS03740
OG0000229	HZK19_RS01020	KUD10_RS01040
OG0000230	HZK19_RS01025	KUD10_RS01045
OG0000231	HZK19_RS01035	KUD10_RS01055
OG0000232	HZK19_RS01045	KUD10_RS01065
OG0000233	HZK19_RS01070	KUD10_RS01090
OG0000234	HZK19_RS01105	KUD10_RS01125
OG0000235	HZK19_RS01115	KUD10_RS01135
OG0000236	HZK19_RS01120	KUD10_RS01140
OG0000237	HZK19_RS01125	KUD10_RS01230
OG0000238	HZK19_RS01130	KUD10_RS01235
OG0000239	HZK19_RS02905	KUD10_RS03015
OG0000240	HZK19_RS02910	KUD10_RS03020
OG0000241	HZK19_RS02920	KUD10_RS03030
OG0000242	HZK19_RS02925	KUD10_RS03035
OG0000243	HZK19_RS02930	KUD10_RS03040
OG0000244	HZK19_RS02940	KUD10_RS03050
OG0000245	HZK19_RS02950	KUD10_RS03055
OG0000246	HZK19_RS00125	KUD10_RS00140
OG0000247	HZK19_RS00135	KUD10_RS00150
OG0000248	HZK19_RS00145	KUD10_RS00160
OG0000249	HZK19_RS00150	KUD10_RS00165
OG0000250	HZK19_RS00165	KUD10_RS00180
OG0000251	HZK19_RS00195	KUD10_RS00210
OG0000252	HZK19_RS00205	KUD10_RS00220
OG0000253	HZK19_RS00210	KUD10_RS00225
OG0000254	HZK19_RS00220	KUD10_RS00235
OG0000255	HZK19_RS00225	KUD10_RS00240
OG0000256	HZK19_RS00230	KUD10_RS00245
OG0000257	HZK19_RS00255	KUD10_RS00270
OG0000258	HZK19_RS00265	KUD10_RS00280
OG0000259	HZK19_RS00295	KUD10_RS00310
OG0000260	HZK19_RS00305	KUD10_RS00320
OG0000261	HZK19_RS00315	KUD10_RS00330
OG0000262	HZK19_RS00330	KUD10_RS00345
OG0000263	HZK19_RS00345	KUD10_RS00360
OG0000264	HZK19_RS00360	KUD10_RS00375
OG0000265	HZK19_RS00370	KUD10_RS00385
OG0000266	HZK19_RS00385	KUD10_RS00400
OG0000267	HZK19_RS00400	KUD10_RS00415
OG0000268	HZK19_RS00405	KUD10_RS00420
OG0000269	HZK19_RS00420	KUD10_RS00435
OG0000270	HZK19_RS03540	KUD10_RS03560
OG0000271	HZK19_RS03535	KUD10_RS03555
OG0000272	HZK19_RS03530	KUD10_RS03550
OG0000273	HZK19_RS03525	KUD10_RS03545
OG0000274	HZK19_RS03505	KUD10_RS03525
OG0000275	HZK19_RS03500	KUD10_RS03520
OG0000276	HZK19_RS03495	KUD10_RS03515
OG0000277	HZK19_RS03485	KUD10_RS03505
OG0000278	HZK19_RS03480	KUD10_RS03500
OG0000279	HZK19_RS03470	KUD10_RS03490
OG0000280	HZK19_RS03465	KUD10_RS03485
OG0000281	HZK19_RS03460	KUD10_RS03480
OG0000282	HZK19_RS03435	KUD10_RS03455
OG0000283	HZK19_RS03430	KUD10_RS03450
OG0000284	HZK19_RS03425	KUD10_RS03445
OG0000285	HZK19_RS03420	KUD10_RS03440
OG0000286	HZK19_RS02390	KUD10_RS02505
OG0000287	HZK19_RS02485	KUD10_RS02600
OG0000288	HZK19_RS02495	KUD10_RS02610
OG0000289	HZK19_RS02500	KUD10_RS02615
OG0000290	HZK19_RS02610	KUD10_RS02730
OG0000291	HZK19_RS02600	KUD10_RS02720
OG0000292	HZK19_RS02595	KUD10_RS02715
OG0000293	HZK19_RS02590	KUD10_RS02710
OG0000294	HZK19_RS02580	KUD10_RS02700
OG0000295	HZK19_RS02575	KUD10_RS02695
OG0000296	HZK19_RS02535	KUD10_RS02650
OG0000297	HZK19_RS02530	KUD10_RS02645
OG0000298	HZK19_RS00160	KUD10_RS00175
OG0000299	HZK19_RS00180	KUD10_RS00195
OG0000300	HZK19_RS00355	KUD10_RS00370
OG0000301	HZK19_RS00390	KUD10_RS00405
OG0000302	HZK19_RS00395	KUD10_RS00410
OG0000303	HZK19_RS00550	KUD10_RS00565
OG0000304	HZK19_RS01055	KUD10_RS01070
OG0000305	HZK19_RS02845	KUD10_RS02955
OG0000306	HZK19_RS02770	KUD10_RS02880
OG0000307	HZK19_RS02735	KUD10_RS02845
OG0000308	HZK19_RS02635	KUD10_RS02750
OG0000309	HZK19_RS02565	KUD10_RS02685
OG0000310	HZK19_RS02490	KUD10_RS02605
OG0000311	HZK19_RS02450	KUD10_RS02565
OG0000312	HZK19_RS02435	KUD10_RS02550
OG0000313	HZK19_RS01565	KUD10_RS01660
OG0000314	HZK19_RS01920	KUD10_RS02005
OG0000315	HZK19_RS01950	KUD10_RS02035
OG0000316	HZK19_RS01960	KUD10_RS02045
OG0000317	HZK19_RS02055	KUD10_RS02140
OG0000318	HZK19_RS01965	KUD10_RS02050
OG0000319	HZK19_RS02200	KUD10_RS02295
OG0000320	HZK19_RS02330	KUD10_RS02425
OG0000321	HZK19_RS01300	KUD10_RS01405
OG0000322	HZK19_RS01345	KUD10_RS01450
OG0000323	HZK19_RS01475	KUD10_RS01580
OG0000324	HZK19_RS02240	KUD10_RS02335
OG0000325	HZK19_RS00675	KUD10_RS00695
OG0000326	HZK19_RS00770	KUD10_RS00790
OG0000327	HZK19_RS00775	KUD10_RS00795
OG0000328	HZK19_RS00860	KUD10_RS00880
OG0000329	HZK19_RS00880	KUD10_RS00900
OG0000330	HZK19_RS01080	KUD10_RS01100
OG0000331	HZK19_RS02935	KUD10_RS03045
OG0000332	HZK19_RS03150	KUD10_RS03180
OG0000333	HZK19_RS03160	KUD10_RS03190
OG0000334	HZK19_RS03270	KUD10_RS03290
OG0000335	HZK19_RS03280	KUD10_RS03300
OG0000336	HZK19_RS03450	KUD10_RS03470
OG0000337	HZK19_RS03620	KUD10_RS03645
OG0000338	HZK19_RS03660	KUD10_RS03685
OG0000339	HZK19_RS02305	KUD10_RS02400
OG0000340	HZK19_RS01280	KUD10_RS01385
OG0000341	HZK19_RS02260	KUD10_RS02355
OG0000342	HZK19_RS00705	KUD10_RS00725
OG0000343	HZK19_RS03170	KUD10_RS03200
OG0000344	HZK19_RS00565	KUD10_RS00580
OG0000345	HZK19_RS00995	KUD10_RS01015
OG0000346	HZK19_RS03455	KUD10_RS03475
OG0000347	HZK19_RS01370	KUD10_RS01475
OG0000348	HZK19_RS00780	KUD10_RS00800
OG0000349	HZK19_RS03515	KUD10_RS03535
OG0000350	HZK19_RS02725	KUD10_RS02835
OG0000351	HZK19_RS00480	KUD10_RS00490
OG0000352	HZK19_RS01895	KUD10_RS01985
OG0000353	HZK19_RS01340	KUD10_RS01445
OG0000354	HZK19_RS00625	KUD10_RS00645
OG0000355	HZK19_RS01870	KUD10_RS01960
OG0000356	HZK19_RS01955	KUD10_RS02040
OG0000357	HZK19_RS03130	KUD10_RS03160
OG0000358	HZK19_RS03135	KUD10_RS03165
OG0000359	HZK19_RS00750	KUD10_RS00770
OG0000360	HZK19_RS00260	KUD10_RS00275
OG0000361	HZK19_RS00290	KUD10_RS00305
OG0000362	HZK19_RS02510	KUD10_RS02625
OG0000363	HZK19_RS03730	KUD10_RS01515
OG0000364	HZK19_RS01855	KUD10_RS01940
OG0000365	HZK19_RS02000	KUD10_RS02085
OG0000366	HZK19_RS02025	KUD10_RS02110
OG0000367	HZK19_RS02035	KUD10_RS02120
OG0000368	HZK19_RS00060	KUD10_RS00060
OG0000369	HZK19_RS00025	KUD10_RS00025
OG0000370	HZK19_RS00020	KUD10_RS00020
OG0000371	HZK19_RS00015	KUD10_RS00015
OG0000372	HZK19_RS00010	KUD10_RS00010
OG0000373	HZK19_RS03650	KUD10_RS03675
OG0000374	HZK19_RS03640	KUD10_RS03665
OG0000375	HZK19_RS02195	KUD10_RS02290
OG0000376	HZK19_RS02345	KUD10_RS02440
OG0000377	HZK19_RS02335	KUD10_RS02430
OG0000378	HZK19_RS01260	KUD10_RS01365
OG0000379	HZK19_RS01335	KUD10_RS01440
OG0000380	HZK19_RS01360	KUD10_RS01465
OG0000381	HZK19_RS01400	KUD10_RS01505
OG0000382	HZK19_RS01430	KUD10_RS01535
OG0000383	HZK19_RS01470	KUD10_RS01575
OG0000384	HZK19_RS00505	KUD10_RS00520
OG0000385	HZK19_RS00510	KUD10_RS00525
OG0000386	HZK19_RS00530	KUD10_RS00545
OG0000387	HZK19_RS00555	KUD10_RS00570
OG0000388	HZK19_RS00560	KUD10_RS00575
OG0000389	HZK19_RS00605	KUD10_RS00625
OG0000390	HZK19_RS02865	KUD10_RS02975
OG0000391	HZK19_RS02855	KUD10_RS02965
OG0000392	HZK19_RS02830	KUD10_RS02940
OG0000393	HZK19_RS02775	KUD10_RS02885
OG0000394	HZK19_RS02700	KUD10_RS02815
OG0000395	HZK19_RS02695	KUD10_RS02810
OG0000396	HZK19_RS02395	KUD10_RS02510
OG0000397	HZK19_RS01880	KUD10_RS01970
OG0000398	HZK19_RS01885	KUD10_RS01975
OG0000399	HZK19_RS01935	KUD10_RS02020
OG0000400	HZK19_RS03000	KUD10_RS03125
OG0000401	HZK19_RS03155	KUD10_RS03185
OG0000402	HZK19_RS03165	KUD10_RS03195
OG0000403	HZK19_RS03175	KUD10_RS03205
OG0000404	HZK19_RS03205	KUD10_RS03230
OG0000405	HZK19_RS03220	KUD10_RS03245
OG0000406	HZK19_RS03285	KUD10_RS03305
OG0000407	HZK19_RS03290	KUD10_RS03310
OG0000408	HZK19_RS03295	KUD10_RS03315
OG0000409	HZK19_RS03300	KUD10_RS03320
OG0000410	HZK19_RS03360	KUD10_RS03380
OG0000411	HZK19_RS03350	KUD10_RS03370
OG0000412	HZK19_RS03345	KUD10_RS03365
OG0000413	HZK19_RS01485	KUD10_RS01590
OG0000414	HZK19_RS01495	KUD10_RS01600
OG0000415	HZK19_RS01500	KUD10_RS01605
OG0000416	HZK19_RS01510	KUD10_RS01615
OG0000417	HZK19_RS02255	KUD10_RS02350
OG0000418	HZK19_RS02250	KUD10_RS02345
OG0000419	HZK19_RS00685	KUD10_RS00705
OG0000420	HZK19_RS00720	KUD10_RS00740
OG0000421	HZK19_RS00755	KUD10_RS00775
OG0000422	HZK19_RS00765	KUD10_RS00785
OG0000423	HZK19_RS00820	KUD10_RS00840
OG0000424	HZK19_RS00825	KUD10_RS00845
OG0000425	HZK19_RS00835	KUD10_RS00855
OG0000426	HZK19_RS00840	KUD10_RS00860
OG0000427	HZK19_RS00865	KUD10_RS00885
OG0000428	HZK19_RS00890	KUD10_RS00910
OG0000429	HZK19_RS00985	KUD10_RS01005
OG0000430	HZK19_RS01030	KUD10_RS01050
OG0000431	HZK19_RS01040	KUD10_RS01060
OG0000432	HZK19_RS01075	KUD10_RS01095
OG0000433	HZK19_RS01090	KUD10_RS01110
OG0000434	HZK19_RS01095	KUD10_RS01115
OG0000435	HZK19_RS01110	KUD10_RS01130
OG0000436	HZK19_RS01135	KUD10_RS01240
OG0000437	HZK19_RS01145	KUD10_RS01250
OG0000438	HZK19_RS01150	KUD10_RS01255
OG0000439	HZK19_RS01155	KUD10_RS01260
OG0000440	HZK19_RS02915	KUD10_RS03025
OG0000441	HZK19_RS02955	KUD10_RS03060
OG0000442	HZK19_RS00130	KUD10_RS00145
OG0000443	HZK19_RS00175	KUD10_RS00190
OG0000444	HZK19_RS00190	KUD10_RS00205
OG0000445	HZK19_RS00215	KUD10_RS00230
OG0000446	HZK19_RS00240	KUD10_RS00255
OG0000447	HZK19_RS00245	KUD10_RS00260
OG0000448	HZK19_RS00275	KUD10_RS00290
OG0000449	HZK19_RS00300	KUD10_RS00315
OG0000450	HZK19_RS00310	KUD10_RS00325
OG0000451	HZK19_RS00350	KUD10_RS00365
OG0000452	HZK19_RS00375	KUD10_RS00390
OG0000453	HZK19_RS00410	KUD10_RS00425
OG0000454	HZK19_RS03100	KUD10_RS01220
OG0000455	HZK19_RS03560	KUD10_RS03580
OG0000456	HZK19_RS03440	KUD10_RS03460
OG0000457	HZK19_RS03415	KUD10_RS03435
OG0000458	HZK19_RS02480	KUD10_RS02595
OG0000459	HZK19_RS02505	KUD10_RS02620
OG0000460	HZK19_RS02520	KUD10_RS02630
OG0000461	HZK19_RS02560	KUD10_RS02680
OG0000462	HZK19_RS02555	KUD10_RS02670
OG0000463	HZK19_RS02550	KUD10_RS02665
OG0000465	HZK19_RS02545	KUD10_RS02655
OG0000466	HZK19_RS00380	KUD10_RS00395
OG0000467	HZK19_RS02645	KUD10_RS02760
OG0000468	HZK19_RS01930	KUD10_RS02015
OG0000469	HZK19_RS01990	KUD10_RS02075
OG0000470	HZK19_RS00815	KUD10_RS00835
OG0000471	HZK19_RS00895	KUD10_RS00915
OG0000472	HZK19_RS03370	KUD10_RS03390
OG0000473	HZK19_RS03545	KUD10_RS03565
OG0000474	HZK19_RS03550	KUD10_RS03570
OG0000475	HZK19_RS03555	KUD10_RS03575
OG0000476	HZK19_RS01520	KUD10_RS01625
OG0000477	HZK19_RS02585	KUD10_RS02705
OG0000478	HZK19_RS03490	KUD10_RS03510
OG0000479	HZK19_RS01295	KUD10_RS01400
OG0000480	HZK19_RS01995	KUD10_RS02080
OG0000481	HZK19_RS00790	KUD10_RS00810
OG0000483	HZK19_RS02040	KUD10_RS02125
OG0000484	HZK19_RS00185	KUD10_RS00200
OG0000485	HZK19_RS01140	KUD10_RS01245
OG0000486	HZK19_RS02275	KUD10_RS02370
OG0000487	HZK19_RS01970	KUD10_RS02055
OG0000488	HZK19_RS02010	KUD10_RS02095
OG0000489	HZK19_RS00050	KUD10_RS00050
OG0000490	HZK19_RS03655	KUD10_RS03680
OG0000491	HZK19_RS01315	KUD10_RS01420
OG0000492	HZK19_RS01390	KUD10_RS01495
OG0000493	HZK19_RS00570	KUD10_RS00585
OG0000494	HZK19_RS00630	KUD10_RS00650
OG0000495	HZK19_RS02800	KUD10_RS02910
OG0000496	HZK19_RS02790	KUD10_RS02900
OG0000497	HZK19_RS02785	KUD10_RS02895
OG0000498	HZK19_RS02705	KUD10_RS02820
OG0000499	HZK19_RS02670	KUD10_RS02785
OG0000500	HZK19_RS01890	KUD10_RS01980
OG0000501	HZK19_RS03010	KUD10_RS03135
OG0000502	HZK19_RS01165	KUD10_RS01270
