Orthogroup	MHP_ES2L_genes	MHP_KM014_genes
OG0000092	HZK19_RS00040	CIB43_RS00745
OG0000093	HZK19_RS00035	CIB43_RS00735
OG0000094	HZK19_RS00030	CIB43_RS00730
OG0000095	HZK19_RS00005	CIB43_RS00715
OG0000096	HZK19_RS03665	CIB43_RS00700
OG0000097	HZK19_RS03645	CIB43_RS00690
OG0000100	HZK19_RS03570	CIB43_RS00610
OG0000101	HZK19_RS03565	CIB43_RS00600
OG0000102	HZK19_RS01675	CIB43_RS02580
OG0000103	HZK19_RS02185	CIB43_RS03110
OG0000104	HZK19_RS02190	CIB43_RS03120
OG0000105	HZK19_RS02205	CIB43_RS03130
OG0000106	HZK19_RS02215	CIB43_RS03140
OG0000107	HZK19_RS02225	CIB43_RS03150
OG0000108	HZK19_RS02230	CIB43_RS03155
OG0000109	HZK19_RS02235	CIB43_RS03160
OG0000110	HZK19_RS02355	CIB43_RS03290
OG0000111	HZK19_RS02350	CIB43_RS03285
OG0000112	HZK19_RS02340	CIB43_RS03280
OG0000113	HZK19_RS02320	CIB43_RS03260
OG0000114	HZK19_RS02310	CIB43_RS03245
OG0000115	HZK19_RS02300	CIB43_RS03230
OG0000116	HZK19_RS01265	CIB43_RS02165
OG0000117	HZK19_RS01270	CIB43_RS02170
OG0000118	HZK19_RS01305	CIB43_RS02205
OG0000119	HZK19_RS01310	CIB43_RS02210
OG0000120	HZK19_RS01325	CIB43_RS02230
OG0000121	HZK19_RS01350	CIB43_RS02250
OG0000122	HZK19_RS01355	CIB43_RS02255
OG0000123	HZK19_RS01375	CIB43_RS02275
OG0000124	HZK19_RS01380	CIB43_RS02280
OG0000125	HZK19_RS01385	CIB43_RS02285
OG0000126	HZK19_RS01395	CIB43_RS02295
OG0000127	HZK19_RS01405	CIB43_RS02305
OG0000128	HZK19_RS01420	CIB43_RS02320
OG0000129	HZK19_RS01425	CIB43_RS02330
OG0000130	HZK19_RS01435	CIB43_RS02335
OG0000131	HZK19_RS01465	CIB43_RS02370
OG0000132	HZK19_RS01480	CIB43_RS02385
OG0000133	HZK19_RS00520	CIB43_RS01415
OG0000134	HZK19_RS00525	CIB43_RS01425
OG0000135	HZK19_RS00540	CIB43_RS01435
OG0000136	HZK19_RS00545	CIB43_RS01440
OG0000137	HZK19_RS00575	CIB43_RS01470
OG0000138	HZK19_RS00610	CIB43_RS01495
OG0000139	HZK19_RS00640	CIB43_RS01525
OG0000140	HZK19_RS00645	CIB43_RS01540
OG0000141	HZK19_RS02895	CIB43_RS03850
OG0000142	HZK19_RS02890	CIB43_RS03845
OG0000143	HZK19_RS02870	CIB43_RS03835
OG0000144	HZK19_RS02860	CIB43_RS03815
OG0000145	HZK19_RS02850	CIB43_RS03805
OG0000146	HZK19_RS02840	CIB43_RS03790
OG0000147	HZK19_RS02835	CIB43_RS03785
OG0000148	HZK19_RS02820	CIB43_RS03780
OG0000149	HZK19_RS02810	CIB43_RS03760
OG0000150	HZK19_RS02795	CIB43_RS03745
OG0000151	HZK19_RS02750	CIB43_RS03700
OG0000152	HZK19_RS02745	CIB43_RS03695
OG0000153	HZK19_RS02740	CIB43_RS03690
OG0000154	HZK19_RS02730	CIB43_RS03680
OG0000155	HZK19_RS02690	CIB43_RS03645
OG0000156	HZK19_RS02680	CIB43_RS03635
OG0000157	HZK19_RS02675	CIB43_RS03625
OG0000158	HZK19_RS03895	CIB43_RS03620
OG0000159	HZK19_RS03970	CIB43_RS03385
OG0000160	HZK19_RS02425	CIB43_RS03380
OG0000161	HZK19_RS02420	CIB43_RS03375
OG0000163	HZK19_RS02405	CIB43_RS03370
OG0000164	HZK19_RS01575	CIB43_RS02495
OG0000165	HZK19_RS01905	CIB43_RS02840
OG0000166	HZK19_RS01925	CIB43_RS02860
OG0000167	HZK19_RS01940	CIB43_RS02875
OG0000168	HZK19_RS01945	CIB43_RS02880
OG0000169	HZK19_RS02990	CIB43_RS00130
OG0000171	HZK19_RS03110	CIB43_RS00155
OG0000172	HZK19_RS03115	CIB43_RS00160
OG0000173	HZK19_RS03120	CIB43_RS00165
OG0000174	HZK19_RS03125	CIB43_RS00170
OG0000175	HZK19_RS03140	CIB43_RS00190
OG0000176	HZK19_RS03190	CIB43_RS00235
OG0000177	HZK19_RS03195	CIB43_RS00240
OG0000178	HZK19_RS03200	CIB43_RS00245
OG0000179	HZK19_RS03210	CIB43_RS00255
OG0000180	HZK19_RS03215	CIB43_RS00260
OG0000181	HZK19_RS03265	CIB43_RS00310
OG0000182	HZK19_RS03275	CIB43_RS00320
OG0000183	HZK19_RS03310	CIB43_RS00355
OG0000184	HZK19_RS03355	CIB43_RS00430
OG0000185	HZK19_RS03340	CIB43_RS00380
OG0000186	HZK19_RS01490	CIB43_RS02400
OG0000187	HZK19_RS01505	CIB43_RS02410
OG0000188	HZK19_RS01515	CIB43_RS02425
OG0000189	HZK19_RS02270	CIB43_RS03200
OG0000190	HZK19_RS02265	CIB43_RS03195
OG0000191	HZK19_RS02245	CIB43_RS03180
OG0000192	HZK19_RS01180	CIB43_RS02085
OG0000193	HZK19_RS01175	CIB43_RS02075
OG0000194	HZK19_RS00665	CIB43_RS01560
OG0000195	HZK19_RS00670	CIB43_RS01565
OG0000196	HZK19_RS00690	CIB43_RS01585
OG0000197	HZK19_RS00695	CIB43_RS01590
OG0000198	HZK19_RS00710	CIB43_RS01605
OG0000199	HZK19_RS00715	CIB43_RS01615
OG0000200	HZK19_RS00730	CIB43_RS01630
OG0000201	HZK19_RS00740	CIB43_RS01635
OG0000202	HZK19_RS00795	CIB43_RS01690
OG0000203	HZK19_RS00800	CIB43_RS01695
OG0000204	HZK19_RS00805	CIB43_RS01700
OG0000205	HZK19_RS00810	CIB43_RS01705
OG0000206	HZK19_RS00830	CIB43_RS01735
OG0000207	HZK19_RS00845	CIB43_RS01740
OG0000208	HZK19_RS00850	CIB43_RS01745
OG0000209	HZK19_RS00855	CIB43_RS01750
OG0000210	HZK19_RS00900	CIB43_RS01800
OG0000211	HZK19_RS00910	CIB43_RS01805
OG0000212	HZK19_RS00920	CIB43_RS01815
OG0000213	HZK19_RS00925	CIB43_RS01820
OG0000214	HZK19_RS00930	CIB43_RS01825
OG0000215	HZK19_RS00935	CIB43_RS01830
OG0000216	HZK19_RS00940	CIB43_RS01835
OG0000217	HZK19_RS00945	CIB43_RS01845
OG0000218	HZK19_RS00955	CIB43_RS01850
OG0000219	HZK19_RS00960	CIB43_RS01855
OG0000220	HZK19_RS00965	CIB43_RS01860
OG0000221	HZK19_RS00970	CIB43_RS01865
OG0000222	HZK19_RS00975	CIB43_RS01870
OG0000223	HZK19_RS00980	CIB43_RS01875
OG0000225	HZK19_RS01000	CIB43_RS01895
OG0000226	HZK19_RS01005	CIB43_RS01900
OG0000227	HZK19_RS01010	CIB43_RS01905
OG0000228	HZK19_RS03950	CIB43_RS01910
OG0000229	HZK19_RS01020	CIB43_RS01915
OG0000230	HZK19_RS01025	CIB43_RS01920
OG0000231	HZK19_RS01035	CIB43_RS01935
OG0000232	HZK19_RS01045	CIB43_RS01940
OG0000233	HZK19_RS01070	CIB43_RS01965
OG0000234	HZK19_RS01105	CIB43_RS02000
OG0000235	HZK19_RS01115	CIB43_RS02005
OG0000236	HZK19_RS01120	CIB43_RS02010
OG0000237	HZK19_RS01125	CIB43_RS02015
OG0000238	HZK19_RS01130	CIB43_RS02025
OG0000239	HZK19_RS02905	CIB43_RS03860
OG0000240	HZK19_RS02910	CIB43_RS03870
OG0000241	HZK19_RS02920	CIB43_RS03875
OG0000242	HZK19_RS02925	CIB43_RS03880
OG0000243	HZK19_RS02930	CIB43_RS03885
OG0000244	HZK19_RS02940	CIB43_RS03900
OG0000245	HZK19_RS02950	CIB43_RS03905
OG0000246	HZK19_RS00125	CIB43_RS00845
OG0000247	HZK19_RS00135	CIB43_RS00850
OG0000248	HZK19_RS00145	CIB43_RS00875
OG0000250	HZK19_RS00165	CIB43_RS00885
OG0000251	HZK19_RS00195	CIB43_RS00925
OG0000252	HZK19_RS00205	CIB43_RS00930
OG0000253	HZK19_RS00210	CIB43_RS00940
OG0000254	HZK19_RS00220	CIB43_RS00950
OG0000255	HZK19_RS00225	CIB43_RS00955
OG0000256	HZK19_RS00230	CIB43_RS00960
OG0000257	HZK19_RS00255	CIB43_RS00985
OG0000258	HZK19_RS00265	CIB43_RS01015
OG0000259	HZK19_RS00295	CIB43_RS01030
OG0000260	HZK19_RS00305	CIB43_RS01045
OG0000262	HZK19_RS00330	CIB43_RS01075
OG0000263	HZK19_RS00345	CIB43_RS01080
OG0000264	HZK19_RS00360	CIB43_RS01100
OG0000265	HZK19_RS00370	CIB43_RS01110
OG0000266	HZK19_RS00385	CIB43_RS01120
OG0000267	HZK19_RS00400	CIB43_RS01135
OG0000268	HZK19_RS00405	CIB43_RS01305
OG0000269	HZK19_RS00420	CIB43_RS01320
OG0000270	HZK19_RS03540	CIB43_RS00575
OG0000271	HZK19_RS03535	CIB43_RS00570
OG0000272	HZK19_RS03530	CIB43_RS00565
OG0000273	HZK19_RS03525	CIB43_RS00560
OG0000274	HZK19_RS03505	CIB43_RS00545
OG0000275	HZK19_RS03500	CIB43_RS00535
OG0000276	HZK19_RS03495	CIB43_RS00530
OG0000277	HZK19_RS03485	CIB43_RS00525
OG0000278	HZK19_RS03480	CIB43_RS00515
OG0000279	HZK19_RS03470	CIB43_RS00510
OG0000280	HZK19_RS03465	CIB43_RS00500
OG0000281	HZK19_RS03460	CIB43_RS00495
OG0000283	HZK19_RS03430	CIB43_RS00475
OG0000284	HZK19_RS03425	CIB43_RS00460
OG0000285	HZK19_RS03420	CIB43_RS00455
OG0000286	HZK19_RS02390	CIB43_RS03345
OG0000287	HZK19_RS02485	CIB43_RS03440
OG0000288	HZK19_RS02495	CIB43_RS03450
OG0000289	HZK19_RS02500	CIB43_RS03455
OG0000290	HZK19_RS02610	CIB43_RS03565
OG0000291	HZK19_RS02600	CIB43_RS03560
OG0000292	HZK19_RS02595	CIB43_RS03550
OG0000293	HZK19_RS02590	CIB43_RS03545
OG0000294	HZK19_RS02580	CIB43_RS03540
OG0000295	HZK19_RS02575	CIB43_RS03530
OG0000296	HZK19_RS02535	CIB43_RS03495
OG0000297	HZK19_RS02530	CIB43_RS03485
OG0000298	HZK19_RS00160	CIB43_RS00880
OG0000299	HZK19_RS00180	CIB43_RS00915
OG0000300	HZK19_RS00355	CIB43_RS01090
OG0000301	HZK19_RS00390	CIB43_RS01125
OG0000302	HZK19_RS00395	CIB43_RS01130
OG0000303	HZK19_RS00550	CIB43_RS01455
OG0000304	HZK19_RS01055	CIB43_RS01950
OG0000305	HZK19_RS02845	CIB43_RS03795
OG0000306	HZK19_RS02770	CIB43_RS03725
OG0000307	HZK19_RS02735	CIB43_RS03685
OG0000308	HZK19_RS02635	CIB43_RS03600
OG0000309	HZK19_RS02565	CIB43_RS03520
OG0000310	HZK19_RS02490	CIB43_RS03445
OG0000311	HZK19_RS02450	CIB43_RS03405
OG0000312	HZK19_RS02435	CIB43_RS03390
OG0000313	HZK19_RS01565	CIB43_RS02485
OG0000314	HZK19_RS01920	CIB43_RS02855
OG0000315	HZK19_RS01950	CIB43_RS02885
OG0000316	HZK19_RS01960	CIB43_RS02895
OG0000317	HZK19_RS02055	CIB43_RS02985
OG0000318	HZK19_RS01965	CIB43_RS02900
OG0000319	HZK19_RS02200	CIB43_RS03125
OG0000320	HZK19_RS02330	CIB43_RS03270
OG0000321	HZK19_RS01300	CIB43_RS02200
OG0000322	HZK19_RS01345	CIB43_RS02245
OG0000323	HZK19_RS01475	CIB43_RS02375
OG0000324	HZK19_RS02240	CIB43_RS03170
OG0000325	HZK19_RS00675	CIB43_RS01570
OG0000326	HZK19_RS00770	CIB43_RS01665
OG0000327	HZK19_RS00775	CIB43_RS01670
OG0000328	HZK19_RS00860	CIB43_RS01760
OG0000329	HZK19_RS00880	CIB43_RS01775
OG0000330	HZK19_RS01080	CIB43_RS01970
OG0000331	HZK19_RS02935	CIB43_RS03890
OG0000332	HZK19_RS03150	CIB43_RS00200
OG0000333	HZK19_RS03160	CIB43_RS00210
OG0000334	HZK19_RS03270	CIB43_RS00315
OG0000335	HZK19_RS03280	CIB43_RS00340
OG0000336	HZK19_RS03450	CIB43_RS00485
OG0000337	HZK19_RS03620	CIB43_RS00655
OG0000338	HZK19_RS03660	CIB43_RS00695
OG0000339	HZK19_RS02305	CIB43_RS03235
OG0000340	HZK19_RS01280	CIB43_RS02185
OG0000341	HZK19_RS02260	CIB43_RS03190
OG0000342	HZK19_RS00705	CIB43_RS01600
OG0000343	HZK19_RS03170	CIB43_RS00215
OG0000344	HZK19_RS00565	CIB43_RS01465
OG0000345	HZK19_RS00995	CIB43_RS01890
OG0000346	HZK19_RS03455	CIB43_RS00490
OG0000347	HZK19_RS01370	CIB43_RS02270
OG0000348	HZK19_RS00780	CIB43_RS01685
OG0000349	HZK19_RS03515	CIB43_RS00550
OG0000350	HZK19_RS02725	CIB43_RS03675
OG0000351	HZK19_RS00480	CIB43_RS01385
OG0000352	HZK19_RS01895	CIB43_RS02830
OG0000353	HZK19_RS01340	CIB43_RS02240
OG0000354	HZK19_RS00625	CIB43_RS01515
OG0000355	HZK19_RS01870	CIB43_RS02805
OG0000356	HZK19_RS01955	CIB43_RS02890
OG0000357	HZK19_RS03130	CIB43_RS00175
OG0000358	HZK19_RS03135	CIB43_RS00180
OG0000359	HZK19_RS00750	CIB43_RS01650
OG0000360	HZK19_RS00260	CIB43_RS00990
OG0000361	HZK19_RS00290	CIB43_RS01020
OG0000362	HZK19_RS02510	CIB43_RS03475
OG0000363	HZK19_RS03730	CIB43_RS02310
OG0000364	HZK19_RS01855	CIB43_RS02775
OG0000369	HZK19_RS00025	CIB43_RS00725
OG0000370	HZK19_RS00020	CIB43_RS00720
OG0000378	HZK19_RS01260	CIB43_RS02160
OG0000379	HZK19_RS01335	CIB43_RS02235
OG0000380	HZK19_RS01360	CIB43_RS02260
OG0000381	HZK19_RS01400	CIB43_RS02300
OG0000385	HZK19_RS00510	CIB43_RS01405
OG0000389	HZK19_RS00605	CIB43_RS01490
OG0000394	HZK19_RS02700	CIB43_RS03660
OG0000396	HZK19_RS02395	CIB43_RS03350
OG0000403	HZK19_RS03175	CIB43_RS00220
OG0000404	HZK19_RS03205	CIB43_RS00250
OG0000405	HZK19_RS03220	CIB43_RS00265
OG0000409	HZK19_RS03300	CIB43_RS00345
OG0000412	HZK19_RS03345	CIB43_RS00390
OG0000417	HZK19_RS02255	CIB43_RS03185
OG0000428	HZK19_RS00890	CIB43_RS01785
OG0000429	HZK19_RS00985	CIB43_RS01885
OG0000430	HZK19_RS01030	CIB43_RS01925
OG0000434	HZK19_RS01095	CIB43_RS01985
OG0000436	HZK19_RS01135	CIB43_RS02030
OG0000437	HZK19_RS01145	CIB43_RS02065
OG0000441	HZK19_RS02955	CIB43_RS03910
OG0000451	HZK19_RS00350	CIB43_RS01085
OG0000453	HZK19_RS00410	CIB43_RS01315
OG0000457	HZK19_RS03415	CIB43_RS00450
OG0000459	HZK19_RS02505	CIB43_RS03460
OG0000463	HZK19_RS02550	CIB43_RS03515
OG0000466	HZK19_RS00380	CIB43_RS01115
OG0000468	HZK19_RS01930	CIB43_RS02870
OG0000471	HZK19_RS00895	CIB43_RS01790
OG0000473	HZK19_RS03545	CIB43_RS00580
OG0000474	HZK19_RS03550	CIB43_RS00585
OG0000475	HZK19_RS03555	CIB43_RS00595
OG0000485	HZK19_RS01140	CIB43_RS02035
OG0000486	HZK19_RS02275	CIB43_RS03205
OG0000487	HZK19_RS01970	CIB43_RS02915
OG0000488	HZK19_RS02010	CIB43_RS02940
OG0000489	HZK19_RS00050	CIB43_RS00750
OG0000491	HZK19_RS01315	CIB43_RS02220
OG0000492	HZK19_RS01390	CIB43_RS02290
OG0000495	HZK19_RS02800	CIB43_RS03750
OG0000502	HZK19_RS01165	CIB43_RS02070
OG0000504	HZK19_RS00870	CIB43_RS01770
OG0000506	HZK19_RS00915	CIB43_RS01810
OG0000508	HZK19_RS00235	CIB43_RS00980
OG0000517	HZK19_RS00065	CIB43_RS00765
OG0000519	HZK19_RS00760	CIB43_RS01660
OG0000520	HZK19_RS00885	CIB43_RS01780
OG0000523	HZK19_RS03410	CIB43_RS00445
OG0000526	HZK19_RS03755	CIB43_RS02720
OG0000527	HZK19_RS01730	CIB43_RS02640
OG0000529	HZK19_RS02210	CIB43_RS03135
OG0000530	HZK19_RS02315	CIB43_RS03250
OG0000531	HZK19_RS01365	CIB43_RS02265
OG0000537	HZK19_RS00700	CIB43_RS01595
OG0000538	HZK19_RS01100	CIB43_RS01990
OG0000543	HZK19_RS01600, HZK19_RS03095	CIB43_RS01215
OG0000544	HZK19_RS01215	CIB43_RS02125
OG0000545	HZK19_RS01785	CIB43_RS02715
OG0000546	HZK19_RS02755	CIB43_RS03705
OG0000552	HZK19_RS03180	CIB43_RS00225
OG0000553	HZK19_RS02655	CIB43_RS03610
OG0000554	HZK19_RS02360	CIB43_RS03295
OG0000556	HZK19_RS03035	CIB43_RS01290
OG0000557	HZK19_RS01230	CIB43_RS02130
OG0000558	HZK19_RS01195	CIB43_RS02100
OG0000559	HZK19_RS01670	CIB43_RS02575
OG0000560	HZK19_RS01770	CIB43_RS02680
OG0000561	HZK19_RS01085	CIB43_RS01980
OG0000562	HZK19_RS01775	CIB43_RS02685
OG0000563	HZK19_RS01760	CIB43_RS02670
OG0000564	HZK19_RS03725	CIB43_RS02155
OG0000565	HZK19_RS01835	CIB43_RS02760
OG0000566	HZK19_RS01815	CIB43_RS02740
OG0000568	HZK19_RS00660	CIB43_RS01555
OG0000569	HZK19_RS01200	CIB43_RS02105
OG0000570	HZK19_RS01205	CIB43_RS02110
OG0000571	HZK19_RS01210	CIB43_RS02115
OG0000572	HZK19_RS01235	CIB43_RS02135
OG0000573	HZK19_RS01665	CIB43_RS02570
OG0000574	HZK19_RS01275	CIB43_RS02175
OG0000575	HZK19_RS01185	CIB43_RS02090
OG0000576	HZK19_RS01615	CIB43_RS02530
OG0000577	HZK19_RS02625	CIB43_RS03580
OG0000579	HZK19_RS01750	CIB43_RS02660
OG0000580	HZK19_RS02760	CIB43_RS03710
OG0000581	HZK19_RS01735	CIB43_RS02645
OG0000584	HZK19_RS03070	CIB43_RS01255
OG0000585	HZK19_RS02180	CIB43_RS03105
OG0000588	HZK19_RS01610	CIB43_RS02525
OG0000589	HZK19_RS02120	CIB43_RS03055
OG0000590	HZK19_RS03080	CIB43_RS01190
OG0000592	HZK19_RS02615	CIB43_RS03570
OG0000594	HZK19_RS01190	CIB43_RS02095
OG0000595	HZK19_RS02965	CIB43_RS03920
OG0000597	HZK19_RS02960	CIB43_RS03915
OG0000600	HZK19_RS03065	CIB43_RS01175
OG0000601	HZK19_RS01765	CIB43_RS02675
OG0000603	HZK19_RS03060	CIB43_RS00060, CIB43_RS01270, CIB43_RS01170
OG0000606	HZK19_RS01740	CIB43_RS02655
OG0000608	HZK19_RS01780	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	HZK19_RS01805	CIB43_RS02730
OG0000614	HZK19_RS02140	CIB43_RS03070
OG0000616	HZK19_RS03045	CIB43_RS01280
OG0000620	HZK19_RS01845	CIB43_RS04010
