Orthogroup	MHP_KM014_genes	MFC_MF11_genes
OG0000128	CIB43_RS02320	DR093_RS02120
OG0000129	CIB43_RS02330	DR093_RS02125
OG0000130	CIB43_RS02335	DR093_RS02135
OG0000131	CIB43_RS02370	DR093_RS02165
OG0000132	CIB43_RS02385	DR093_RS03945
OG0000133	CIB43_RS01415	DR093_RS00535
OG0000134	CIB43_RS01425	DR093_RS03795
OG0000135	CIB43_RS01435	DR093_RS00555
OG0000136	CIB43_RS01440	DR093_RS00560
OG0000137	CIB43_RS01470	DR093_RS00590
OG0000138	CIB43_RS01495	DR093_RS00615
OG0000139	CIB43_RS01525	DR093_RS00645
OG0000140	CIB43_RS01540	DR093_RS00650
OG0000141	CIB43_RS03850	DR093_RS00675
OG0000142	CIB43_RS03845	DR093_RS03810
OG0000143	CIB43_RS03835	DR093_RS00705
OG0000144	CIB43_RS03815	DR093_RS00715
OG0000145	CIB43_RS03805	DR093_RS00725
OG0000146	CIB43_RS03790	DR093_RS00735
OG0000147	CIB43_RS03785	DR093_RS00740
OG0000148	CIB43_RS03780	DR093_RS00755
OG0000149	CIB43_RS03760	DR093_RS00765
OG0000150	CIB43_RS03745	DR093_RS00780
OG0000151	CIB43_RS03700	DR093_RS00845
OG0000152	CIB43_RS03695	DR093_RS00850
OG0000153	CIB43_RS03690	DR093_RS00855
OG0000154	CIB43_RS03680	DR093_RS00865
OG0000155	CIB43_RS03645	DR093_RS00885
OG0000156	CIB43_RS03635	DR093_RS00905
OG0000157	CIB43_RS03625	DR093_RS03815
OG0000158	CIB43_RS03620	DR093_RS03820
OG0000159	CIB43_RS03385	DR093_RS01150
OG0000160	CIB43_RS03380	DR093_RS01155
OG0000161	CIB43_RS03375	DR093_RS01165
OG0000163	CIB43_RS03370	DR093_RS02710
OG0000164	CIB43_RS02495	DR093_RS04010
OG0000165	CIB43_RS02840	DR093_RS02995
OG0000166	CIB43_RS02860	DR093_RS02980
OG0000167	CIB43_RS02875	DR093_RS02890
OG0000168	CIB43_RS02880	DR093_RS02895
OG0000169	CIB43_RS00130	DR093_RS02185
OG0000171	CIB43_RS00155	DR093_RS02210
OG0000172	CIB43_RS00160	DR093_RS02215
OG0000173	CIB43_RS00165	DR093_RS02220
OG0000174	CIB43_RS00170	DR093_RS02225
OG0000175	CIB43_RS00190	DR093_RS02240
OG0000176	CIB43_RS00235	DR093_RS02280
OG0000177	CIB43_RS00240	DR093_RS02285
OG0000178	CIB43_RS00245	DR093_RS02290
OG0000179	CIB43_RS00255	DR093_RS02300
OG0000180	CIB43_RS00260	DR093_RS02305
OG0000181	CIB43_RS00310	DR093_RS03965
OG0000182	CIB43_RS00320	DR093_RS02330
OG0000183	CIB43_RS00355	DR093_RS02365
OG0000184	CIB43_RS00430	DR093_RS02865
OG0000185	CIB43_RS00380	DR093_RS02880
OG0000186	CIB43_RS02400	DR093_RS02615
OG0000187	CIB43_RS02410	DR093_RS02600
OG0000188	CIB43_RS02425	DR093_RS02590
OG0000189	CIB43_RS03200	DR093_RS04000
OG0000190	CIB43_RS03195	DR093_RS02575
OG0000191	CIB43_RS03180	DR093_RS02555
OG0000192	CIB43_RS02085	DR093_RS02545
OG0000193	CIB43_RS02075	DR093_RS02530
OG0000194	CIB43_RS01560	DR093_RS02520
OG0000195	CIB43_RS01565	DR093_RS02515
OG0000196	CIB43_RS01585	DR093_RS03995
OG0000197	CIB43_RS01590	DR093_RS02490
OG0000198	CIB43_RS01605	DR093_RS02475
OG0000199	CIB43_RS01615	DR093_RS02470
OG0000200	CIB43_RS01630	DR093_RS02455
OG0000201	CIB43_RS01635	DR093_RS02445
OG0000202	CIB43_RS01690	DR093_RS02390
OG0000203	CIB43_RS01695	DR093_RS02385
OG0000204	CIB43_RS01700	DR093_RS03900
OG0000205	CIB43_RS01705	DR093_RS01450
OG0000206	CIB43_RS01735	DR093_RS01470
OG0000207	CIB43_RS01740	DR093_RS01485
OG0000208	CIB43_RS01745	DR093_RS01490
OG0000209	CIB43_RS01750	DR093_RS01495
OG0000210	CIB43_RS01800	DR093_RS01540
OG0000211	CIB43_RS01805	DR093_RS01550
OG0000212	CIB43_RS01815	DR093_RS01560
OG0000213	CIB43_RS01820	DR093_RS01565
OG0000214	CIB43_RS01825	DR093_RS01570
OG0000215	CIB43_RS01830	DR093_RS01575
OG0000216	CIB43_RS01835	DR093_RS01580
OG0000217	CIB43_RS01845	DR093_RS01585
OG0000218	CIB43_RS01850	DR093_RS03920
OG0000219	CIB43_RS01855	DR093_RS01600
OG0000220	CIB43_RS01860	DR093_RS01605
OG0000221	CIB43_RS01865	DR093_RS01610
OG0000222	CIB43_RS01870	DR093_RS01615
OG0000223	CIB43_RS01875	DR093_RS01620
OG0000225	CIB43_RS01895	DR093_RS01640
OG0000226	CIB43_RS01900	DR093_RS01645
OG0000227	CIB43_RS01905	DR093_RS01650
OG0000228	CIB43_RS01910	DR093_RS04160
OG0000229	CIB43_RS01915	DR093_RS01660
OG0000230	CIB43_RS01920	DR093_RS01665
OG0000231	CIB43_RS01935	DR093_RS01675
OG0000232	CIB43_RS01940	DR093_RS01685
OG0000233	CIB43_RS01965	DR093_RS01695
OG0000234	CIB43_RS02000	DR093_RS01725
OG0000235	CIB43_RS02005	DR093_RS01735
OG0000236	CIB43_RS02010	DR093_RS01740
OG0000237	CIB43_RS02015	DR093_RS01755
OG0000238	CIB43_RS02025	DR093_RS01760
OG0000239	CIB43_RS03860	DR093_RS01790
OG0000240	CIB43_RS03870	DR093_RS01795
OG0000241	CIB43_RS03875	DR093_RS01805
OG0000242	CIB43_RS03880	DR093_RS01810
OG0000243	CIB43_RS03885	DR093_RS01815
OG0000244	CIB43_RS03900	DR093_RS01825
OG0000245	CIB43_RS03905	DR093_RS01835
OG0000246	CIB43_RS00845	DR093_RS00145
OG0000247	CIB43_RS00850	DR093_RS00155
OG0000248	CIB43_RS00875	DR093_RS00180
OG0000250	CIB43_RS00885	DR093_RS00200
OG0000251	CIB43_RS00925	DR093_RS00230
OG0000252	CIB43_RS00930	DR093_RS00240
OG0000253	CIB43_RS00940	DR093_RS00245
OG0000254	CIB43_RS00950	DR093_RS00255
OG0000255	CIB43_RS00955	DR093_RS00260
OG0000256	CIB43_RS00960	DR093_RS00265
OG0000257	CIB43_RS00985	DR093_RS00290
OG0000258	CIB43_RS01015	DR093_RS00300
OG0000259	CIB43_RS01030	DR093_RS00330
OG0000260	CIB43_RS01045	DR093_RS00340
OG0000262	CIB43_RS01075	DR093_RS00365
OG0000263	CIB43_RS01080	DR093_RS00380
OG0000264	CIB43_RS01100	DR093_RS00395
OG0000265	CIB43_RS01110	DR093_RS00405
OG0000266	CIB43_RS01120	DR093_RS00420
OG0000267	CIB43_RS01135	DR093_RS00435
OG0000268	CIB43_RS01305	DR093_RS00440
OG0000269	CIB43_RS01320	DR093_RS00455
OG0000270	CIB43_RS00575	DR093_RS03855
OG0000271	CIB43_RS00570	DR093_RS01280
OG0000272	CIB43_RS00565	DR093_RS01285
OG0000273	CIB43_RS00560	DR093_RS01290
OG0000274	CIB43_RS00545	DR093_RS01310
OG0000275	CIB43_RS00535	DR093_RS03860
OG0000276	CIB43_RS00530	DR093_RS01320
OG0000277	CIB43_RS00525	DR093_RS03865
OG0000278	CIB43_RS00515	DR093_RS01335
OG0000279	CIB43_RS00510	DR093_RS01345
OG0000280	CIB43_RS00500	DR093_RS01350
OG0000281	CIB43_RS00495	DR093_RS01355
OG0000283	CIB43_RS00475	DR093_RS01385
OG0000284	CIB43_RS00460	DR093_RS01390
OG0000285	CIB43_RS00455	DR093_RS03880
OG0000286	CIB43_RS03345	DR093_RS01105
OG0000287	CIB43_RS03440	DR093_RS01080
OG0000288	CIB43_RS03450	DR093_RS01070
OG0000289	CIB43_RS03455	DR093_RS01065
OG0000290	CIB43_RS03565	DR093_RS03410
OG0000291	CIB43_RS03560	DR093_RS00965
OG0000292	CIB43_RS03550	DR093_RS00970
OG0000293	CIB43_RS03545	DR093_RS00975
OG0000294	CIB43_RS03540	DR093_RS00985
OG0000295	CIB43_RS03530	DR093_RS00990
OG0000296	CIB43_RS03495	DR093_RS01030
OG0000297	CIB43_RS03485	DR093_RS01035
OG0000298	CIB43_RS00880	DR093_RS00195
OG0000299	CIB43_RS00915	DR093_RS00215
OG0000300	CIB43_RS01090	DR093_RS00390
OG0000301	CIB43_RS01125	DR093_RS00425
OG0000302	CIB43_RS01130	DR093_RS00430
OG0000303	CIB43_RS01455	DR093_RS00565
OG0000304	CIB43_RS01950	DR093_RS00600
OG0000305	CIB43_RS03795	DR093_RS00730
OG0000306	CIB43_RS03725	DR093_RS00815
OG0000307	CIB43_RS03685	DR093_RS00860
OG0000308	CIB43_RS03600	DR093_RS00945
OG0000309	CIB43_RS03520	DR093_RS01000
OG0000310	CIB43_RS03445	DR093_RS01075
OG0000311	CIB43_RS03405	DR093_RS01125
OG0000312	CIB43_RS03390	DR093_RS01145
OG0000313	CIB43_RS02485	DR093_RS02690
OG0000314	CIB43_RS02855	DR093_RS02975
OG0000315	CIB43_RS02885	DR093_RS02900
OG0000316	CIB43_RS02895	DR093_RS02910
OG0000317	CIB43_RS02985	DR093_RS02750
OG0000318	CIB43_RS02900	DR093_RS04040
OG0000319	CIB43_RS03125	DR093_RS01870
OG0000320	CIB43_RS03270	DR093_RS01935
OG0000321	CIB43_RS02200	DR093_RS02000
OG0000322	CIB43_RS02245	DR093_RS02045
OG0000323	CIB43_RS02375	DR093_RS02175
OG0000324	CIB43_RS03170	DR093_RS02550
OG0000325	CIB43_RS01570	DR093_RS02510
OG0000326	CIB43_RS01665	DR093_RS02415
OG0000327	CIB43_RS01670	DR093_RS02410
OG0000328	CIB43_RS01760	DR093_RS01500
OG0000329	CIB43_RS01775	DR093_RS01520
OG0000330	CIB43_RS01970	DR093_RS01705
OG0000331	CIB43_RS03890	DR093_RS01820
OG0000332	CIB43_RS00200	DR093_RS02250
OG0000333	CIB43_RS00210	DR093_RS02260
OG0000334	CIB43_RS00315	DR093_RS02325
OG0000335	CIB43_RS00340	DR093_RS03970
OG0000336	CIB43_RS00485	DR093_RS03875
OG0000337	CIB43_RS00655	DR093_RS00015
OG0000338	CIB43_RS00695	DR093_RS00055
OG0000339	CIB43_RS03235	DR093_RS01955
OG0000340	CIB43_RS02185	DR093_RS01980
OG0000341	CIB43_RS03190	DR093_RS02570
OG0000342	CIB43_RS01600	DR093_RS02480
OG0000343	CIB43_RS00215	DR093_RS02270
OG0000344	CIB43_RS01465	DR093_RS00580
OG0000345	CIB43_RS01890	DR093_RS01635
OG0000346	CIB43_RS00490	DR093_RS03870
OG0000347	CIB43_RS02270	DR093_RS02070
OG0000348	CIB43_RS01685	DR093_RS03985
OG0000349	CIB43_RS00550	DR093_RS01300
OG0000350	CIB43_RS03675	DR093_RS00820
OG0000351	CIB43_RS01385	DR093_RS00515
OG0000352	CIB43_RS02830	DR093_RS02990
OG0000353	CIB43_RS02240	DR093_RS02040
OG0000354	CIB43_RS01515	DR093_RS00630
OG0000355	CIB43_RS02805	DR093_RS04005
OG0000356	CIB43_RS02890	DR093_RS04035
OG0000357	CIB43_RS00175	DR093_RS03955
OG0000358	CIB43_RS00180	DR093_RS02235
OG0000359	CIB43_RS01650	DR093_RS03990
OG0000360	CIB43_RS00990	DR093_RS00295
OG0000361	CIB43_RS01020	DR093_RS00325
OG0000362	CIB43_RS03475	DR093_RS01055
OG0000363	CIB43_RS02310	DR093_RS02110
OG0000370	CIB43_RS00720	DR093_RS04150
OG0000378	CIB43_RS02160	DR093_RS01965
OG0000379	CIB43_RS02235	DR093_RS02035
OG0000380	CIB43_RS02260	DR093_RS02060
OG0000381	CIB43_RS02300	DR093_RS02100
OG0000385	CIB43_RS01405	DR093_RS00525
OG0000389	CIB43_RS01490	DR093_RS00610
OG0000394	CIB43_RS03660	DR093_RS00875
OG0000396	CIB43_RS03350	DR093_RS02700
OG0000403	CIB43_RS00220	DR093_RS02275
OG0000404	CIB43_RS00250	DR093_RS03960
OG0000405	CIB43_RS00265	DR093_RS02310
OG0000409	CIB43_RS00345	DR093_RS02355
OG0000412	CIB43_RS00390	DR093_RS02875
OG0000417	CIB43_RS03185	DR093_RS02565
OG0000428	CIB43_RS01785	DR093_RS01530
OG0000429	CIB43_RS01885	DR093_RS01625
OG0000430	CIB43_RS01925	DR093_RS01670
OG0000434	CIB43_RS01985	DR093_RS01715
OG0000436	CIB43_RS02030	DR093_RS01765
OG0000437	CIB43_RS02065	DR093_RS01775
OG0000441	CIB43_RS03910	DR093_RS01840
OG0000451	CIB43_RS01085	DR093_RS00385
OG0000453	CIB43_RS01315	DR093_RS00445
OG0000457	CIB43_RS00450	DR093_RS01400
OG0000459	CIB43_RS03460	DR093_RS01060
OG0000463	CIB43_RS03515	DR093_RS01015
OG0000464	CIB43_RS03500	DR093_RS01020
OG0000466	CIB43_RS01115	DR093_RS00415
OG0000468	CIB43_RS02870	DR093_RS02985
OG0000471	CIB43_RS01790	DR093_RS01535
OG0000473	CIB43_RS00580	DR093_RS01270
OG0000474	CIB43_RS00585	DR093_RS01265
OG0000475	CIB43_RS00595	DR093_RS01260
OG0000482	CIB43_RS02080	DR093_RS02535
OG0000485	CIB43_RS02035	DR093_RS01770
OG0000486	CIB43_RS03205	DR093_RS02585
OG0000487	CIB43_RS02915	DR093_RS04045
OG0000488	CIB43_RS02940	DR093_RS02795
OG0000489	CIB43_RS00750	DR093_RS00110
OG0000491	CIB43_RS02220	DR093_RS02015
OG0000492	CIB43_RS02290	DR093_RS02090
OG0000495	CIB43_RS03750	DR093_RS00775
OG0000502	CIB43_RS02070	DR093_RS02525
OG0000504	CIB43_RS01770	DR093_RS01510
OG0000506	CIB43_RS01810	DR093_RS01555
OG0000508	CIB43_RS00980	DR093_RS00270
OG0000517	CIB43_RS00765	DR093_RS00125
OG0000519	CIB43_RS01660	DR093_RS02425
OG0000520	CIB43_RS01780	DR093_RS01525
OG0000523	CIB43_RS00445	DR093_RS01405
OG0000529	CIB43_RS03135	DR093_RS01880
OG0000530	CIB43_RS03250	DR093_RS01945
OG0000531	CIB43_RS02265	DR093_RS02065
OG0000537	CIB43_RS01595	DR093_RS02485
OG0000538	CIB43_RS01990	DR093_RS01720
OG0000589	CIB43_RS03055	DR093_RS02830
