Orthogroup	MHP_KM014_genes	MHP_112B_genes
OG0000113	CIB43_RS03260	NBX26_RS02500
OG0000114	CIB43_RS03245	NBX26_RS02490
OG0000115	CIB43_RS03230	NBX26_RS02480
OG0000116	CIB43_RS02165	NBX26_RS01420
OG0000117	CIB43_RS02170	NBX26_RS01425
OG0000118	CIB43_RS02205	NBX26_RS01460
OG0000119	CIB43_RS02210	NBX26_RS01470
OG0000120	CIB43_RS02230	NBX26_RS01485
OG0000121	CIB43_RS02250	NBX26_RS01515
OG0000122	CIB43_RS02255	NBX26_RS01520
OG0000123	CIB43_RS02275	NBX26_RS01540
OG0000124	CIB43_RS02280	NBX26_RS01545
OG0000125	CIB43_RS02285	NBX26_RS01550
OG0000126	CIB43_RS02295	NBX26_RS01560
OG0000127	CIB43_RS02305	NBX26_RS01570
OG0000128	CIB43_RS02320	NBX26_RS01585
OG0000129	CIB43_RS02330	NBX26_RS01590
OG0000130	CIB43_RS02335	NBX26_RS01600
OG0000131	CIB43_RS02370	NBX26_RS01630
OG0000132	CIB43_RS02385	NBX26_RS01645
OG0000133	CIB43_RS01415	NBX26_RS00530
OG0000134	CIB43_RS01425	NBX26_RS00535
OG0000135	CIB43_RS01435	NBX26_RS00550
OG0000136	CIB43_RS01440	NBX26_RS00555
OG0000137	CIB43_RS01470	NBX26_RS00595
OG0000138	CIB43_RS01495	NBX26_RS00620
OG0000139	CIB43_RS01525	NBX26_RS00650
OG0000140	CIB43_RS01540	NBX26_RS00655
OG0000141	CIB43_RS03850	NBX26_RS03105
OG0000142	CIB43_RS03845	NBX26_RS03100
OG0000143	CIB43_RS03835	NBX26_RS03085
OG0000144	CIB43_RS03815	NBX26_RS03070
OG0000145	CIB43_RS03805	NBX26_RS03060
OG0000146	CIB43_RS03790	NBX26_RS03050
OG0000147	CIB43_RS03785	NBX26_RS03045
OG0000148	CIB43_RS03780	NBX26_RS03030
OG0000149	CIB43_RS03760	NBX26_RS03020
OG0000150	CIB43_RS03745	NBX26_RS03005
OG0000151	CIB43_RS03700	NBX26_RS02955
OG0000152	CIB43_RS03695	NBX26_RS02950
OG0000153	CIB43_RS03690	NBX26_RS02945
OG0000154	CIB43_RS03680	NBX26_RS02935
OG0000155	CIB43_RS03645	NBX26_RS02895
OG0000156	CIB43_RS03635	NBX26_RS02890
OG0000157	CIB43_RS03625	NBX26_RS02880
OG0000158	CIB43_RS03620	NBX26_RS02870
OG0000159	CIB43_RS03385	NBX26_RS02625
OG0000160	CIB43_RS03380	NBX26_RS02620
OG0000161	CIB43_RS03375	NBX26_RS02615
OG0000163	CIB43_RS03370	NBX26_RS02600
OG0000164	CIB43_RS02495	NBX26_RS01730
OG0000165	CIB43_RS02840	NBX26_RS02160
OG0000166	CIB43_RS02860	NBX26_RS02140
OG0000167	CIB43_RS02875	NBX26_RS02125
OG0000168	CIB43_RS02880	NBX26_RS02120
OG0000169	CIB43_RS00130	NBX26_RS03215
OG0000171	CIB43_RS00155	NBX26_RS03240
OG0000172	CIB43_RS00160	NBX26_RS03245
OG0000173	CIB43_RS00165	NBX26_RS03250
OG0000174	CIB43_RS00170	NBX26_RS03255
OG0000175	CIB43_RS00190	NBX26_RS03270
OG0000176	CIB43_RS00235	NBX26_RS03330
OG0000177	CIB43_RS00240	NBX26_RS03335
OG0000178	CIB43_RS00245	NBX26_RS03340
OG0000179	CIB43_RS00255	NBX26_RS03350
OG0000180	CIB43_RS00260	NBX26_RS03355
OG0000181	CIB43_RS00310	NBX26_RS03395
OG0000182	CIB43_RS00320	NBX26_RS03405
OG0000183	CIB43_RS00355	NBX26_RS03440
OG0000184	CIB43_RS00430	NBX26_RS03495
OG0000185	CIB43_RS00380	NBX26_RS03480
OG0000186	CIB43_RS02400	NBX26_RS01655
OG0000187	CIB43_RS02410	NBX26_RS01670
OG0000188	CIB43_RS02425	NBX26_RS01680
OG0000189	CIB43_RS03200	NBX26_RS02455
OG0000190	CIB43_RS03195	NBX26_RS02450
OG0000191	CIB43_RS03180	NBX26_RS02425
OG0000192	CIB43_RS02085	NBX26_RS01345
OG0000193	CIB43_RS02075	NBX26_RS01330
OG0000194	CIB43_RS01560	NBX26_RS00695
OG0000195	CIB43_RS01565	NBX26_RS00700
OG0000196	CIB43_RS01585	NBX26_RS00725
OG0000197	CIB43_RS01590	NBX26_RS00735
OG0000198	CIB43_RS01605	NBX26_RS00745
OG0000199	CIB43_RS01615	NBX26_RS00750
OG0000200	CIB43_RS01630	NBX26_RS00765
OG0000201	CIB43_RS01635	NBX26_RS00775
OG0000202	CIB43_RS01690	NBX26_RS00830
OG0000203	CIB43_RS01695	NBX26_RS00835
OG0000204	CIB43_RS01700	NBX26_RS00840
OG0000205	CIB43_RS01705	NBX26_RS00845
OG0000206	CIB43_RS01735	NBX26_RS00865
OG0000207	CIB43_RS01740	NBX26_RS00880
OG0000208	CIB43_RS01745	NBX26_RS00885
OG0000209	CIB43_RS01750	NBX26_RS00890
OG0000210	CIB43_RS01800	NBX26_RS00935
OG0000211	CIB43_RS01805	NBX26_RS01080
OG0000212	CIB43_RS01815	NBX26_RS01085
OG0000213	CIB43_RS01820	NBX26_RS01090
OG0000214	CIB43_RS01825	NBX26_RS01095
OG0000215	CIB43_RS01830	NBX26_RS01100
OG0000216	CIB43_RS01835	NBX26_RS01105
OG0000217	CIB43_RS01845	NBX26_RS01110
OG0000218	CIB43_RS01850	NBX26_RS01120
OG0000219	CIB43_RS01855	NBX26_RS01125
OG0000220	CIB43_RS01860	NBX26_RS01130
OG0000221	CIB43_RS01865	NBX26_RS01135
OG0000222	CIB43_RS01870	NBX26_RS01140
OG0000223	CIB43_RS01875	NBX26_RS01145
OG0000225	CIB43_RS01895	NBX26_RS01165
OG0000226	CIB43_RS01900	NBX26_RS01170
OG0000227	CIB43_RS01905	NBX26_RS01175
OG0000228	CIB43_RS01910	NBX26_RS01180
OG0000229	CIB43_RS01915	NBX26_RS01185
OG0000230	CIB43_RS01920	NBX26_RS01190
OG0000231	CIB43_RS01935	NBX26_RS01200
OG0000232	CIB43_RS01940	NBX26_RS01210
OG0000233	CIB43_RS01965	NBX26_RS01230
OG0000234	CIB43_RS02000	NBX26_RS01265
OG0000235	CIB43_RS02005	NBX26_RS01275
OG0000236	CIB43_RS02010	NBX26_RS01280
OG0000237	CIB43_RS02015	NBX26_RS01285
OG0000238	CIB43_RS02025	NBX26_RS01295
OG0000239	CIB43_RS03860	NBX26_RS03115
OG0000240	CIB43_RS03870	NBX26_RS03120
OG0000241	CIB43_RS03875	NBX26_RS03130
OG0000242	CIB43_RS03880	NBX26_RS03135
OG0000243	CIB43_RS03885	NBX26_RS03140
OG0000244	CIB43_RS03900	NBX26_RS03150
OG0000245	CIB43_RS03905	NBX26_RS03160
OG0000246	CIB43_RS00845	NBX26_RS00130
OG0000247	CIB43_RS00850	NBX26_RS00140
OG0000248	CIB43_RS00875	NBX26_RS00150
OG0000250	CIB43_RS00885	NBX26_RS00180
OG0000251	CIB43_RS00925	NBX26_RS00210
OG0000252	CIB43_RS00930	NBX26_RS00215
OG0000253	CIB43_RS00940	NBX26_RS00220
OG0000254	CIB43_RS00950	NBX26_RS00230
OG0000255	CIB43_RS00955	NBX26_RS00235
OG0000256	CIB43_RS00960	NBX26_RS00240
OG0000257	CIB43_RS00985	NBX26_RS00265
OG0000258	CIB43_RS01015	NBX26_RS00280
OG0000259	CIB43_RS01030	NBX26_RS00305
OG0000260	CIB43_RS01045	NBX26_RS00315
OG0000262	CIB43_RS01075	NBX26_RS00340
OG0000263	CIB43_RS01080	NBX26_RS00355
OG0000264	CIB43_RS01100	NBX26_RS00370
OG0000265	CIB43_RS01110	NBX26_RS00380
OG0000266	CIB43_RS01120	NBX26_RS00395
OG0000267	CIB43_RS01135	NBX26_RS00410
OG0000268	CIB43_RS01305	NBX26_RS00415
OG0000269	CIB43_RS01320	NBX26_RS00430
OG0000270	CIB43_RS00575	NBX26_RS03690
OG0000271	CIB43_RS00570	NBX26_RS03685
OG0000272	CIB43_RS00565	NBX26_RS03680
OG0000273	CIB43_RS00560	NBX26_RS03675
OG0000274	CIB43_RS00545	NBX26_RS03660
OG0000275	CIB43_RS00535	NBX26_RS03650
OG0000276	CIB43_RS00530	NBX26_RS03645
OG0000277	CIB43_RS00525	NBX26_RS03635
OG0000278	CIB43_RS00515	NBX26_RS03630
OG0000279	CIB43_RS00510	NBX26_RS03620
OG0000280	CIB43_RS00500	NBX26_RS03615
OG0000281	CIB43_RS00495	NBX26_RS03610
OG0000283	CIB43_RS00475	NBX26_RS03580
OG0000284	CIB43_RS00460	NBX26_RS03575
OG0000285	CIB43_RS00455	NBX26_RS03570
OG0000286	CIB43_RS03345	NBX26_RS02585
OG0000287	CIB43_RS03440	NBX26_RS02680
OG0000288	CIB43_RS03450	NBX26_RS02690
OG0000289	CIB43_RS03455	NBX26_RS02695
OG0000290	CIB43_RS03565	NBX26_RS02815
OG0000291	CIB43_RS03560	NBX26_RS02800
OG0000292	CIB43_RS03550	NBX26_RS02795
OG0000293	CIB43_RS03545	NBX26_RS02785
OG0000294	CIB43_RS03540	NBX26_RS02775
OG0000295	CIB43_RS03530	NBX26_RS02770
OG0000296	CIB43_RS03495	NBX26_RS02730
OG0000297	CIB43_RS03485	NBX26_RS02725
OG0000298	CIB43_RS00880	NBX26_RS00165
OG0000299	CIB43_RS00915	NBX26_RS00190
OG0000300	CIB43_RS01090	NBX26_RS00365
OG0000301	CIB43_RS01125	NBX26_RS00400
OG0000302	CIB43_RS01130	NBX26_RS00405
OG0000303	CIB43_RS01455	NBX26_RS00560
OG0000304	CIB43_RS01950	NBX26_RS01215
OG0000305	CIB43_RS03795	NBX26_RS03055
OG0000306	CIB43_RS03725	NBX26_RS02980
OG0000307	CIB43_RS03685	NBX26_RS02940
OG0000308	CIB43_RS03600	NBX26_RS02850
OG0000309	CIB43_RS03520	NBX26_RS02760
OG0000310	CIB43_RS03445	NBX26_RS02685
OG0000311	CIB43_RS03405	NBX26_RS02645
OG0000312	CIB43_RS03390	NBX26_RS02630
OG0000313	CIB43_RS02485	NBX26_RS01720
OG0000314	CIB43_RS02855	NBX26_RS02145
OG0000315	CIB43_RS02885	NBX26_RS02115
OG0000316	CIB43_RS02895	NBX26_RS02105
OG0000317	CIB43_RS02985	NBX26_RS02005
OG0000318	CIB43_RS02900	NBX26_RS02100
OG0000319	CIB43_RS03125	NBX26_RS02380
OG0000320	CIB43_RS03270	NBX26_RS02510
OG0000321	CIB43_RS02200	NBX26_RS01455
OG0000322	CIB43_RS02245	NBX26_RS01510
OG0000323	CIB43_RS02375	NBX26_RS01640
OG0000324	CIB43_RS03170	NBX26_RS02420
OG0000325	CIB43_RS01570	NBX26_RS00710
OG0000326	CIB43_RS01665	NBX26_RS00805
OG0000327	CIB43_RS01670	NBX26_RS00810
OG0000328	CIB43_RS01760	NBX26_RS00895
OG0000329	CIB43_RS01775	NBX26_RS00920
OG0000330	CIB43_RS01970	NBX26_RS01240
OG0000331	CIB43_RS03890	NBX26_RS03145
OG0000332	CIB43_RS00200	NBX26_RS03285
OG0000333	CIB43_RS00210	NBX26_RS03295
OG0000334	CIB43_RS00315	NBX26_RS03400
OG0000335	CIB43_RS00340	NBX26_RS03410
OG0000336	CIB43_RS00485	NBX26_RS03600
OG0000337	CIB43_RS00655	NBX26_RS03765
OG0000338	CIB43_RS00695	NBX26_RS03805
OG0000339	CIB43_RS03235	NBX26_RS02485
OG0000340	CIB43_RS02185	NBX26_RS01435
OG0000341	CIB43_RS03190	NBX26_RS02445
OG0000342	CIB43_RS01600	NBX26_RS00740
OG0000343	CIB43_RS00215	NBX26_RS03305
OG0000344	CIB43_RS01465	NBX26_RS00575
OG0000345	CIB43_RS01890	NBX26_RS01160
OG0000346	CIB43_RS00490	NBX26_RS03605
OG0000347	CIB43_RS02270	NBX26_RS01535
OG0000348	CIB43_RS01685	NBX26_RS00815
OG0000349	CIB43_RS00550	NBX26_RS03665
OG0000350	CIB43_RS03675	NBX26_RS02930
OG0000351	CIB43_RS01385	NBX26_RS00485
OG0000352	CIB43_RS02830	NBX26_RS02165
OG0000353	CIB43_RS02240	NBX26_RS01500
OG0000354	CIB43_RS01515	NBX26_RS00635
OG0000355	CIB43_RS02805	NBX26_RS02190
OG0000356	CIB43_RS02890	NBX26_RS02110
OG0000357	CIB43_RS00175	NBX26_RS03260
OG0000358	CIB43_RS00180	NBX26_RS03265
OG0000359	CIB43_RS01650	NBX26_RS00785
OG0000360	CIB43_RS00990	NBX26_RS00270
OG0000361	CIB43_RS01020	NBX26_RS00300
OG0000362	CIB43_RS03475	NBX26_RS02705
OG0000363	CIB43_RS02310	NBX26_RS01575
OG0000369	CIB43_RS00725	NBX26_RS00025
OG0000370	CIB43_RS00720	NBX26_RS00020
OG0000378	CIB43_RS02160	NBX26_RS01415
OG0000379	CIB43_RS02235	NBX26_RS01495
OG0000380	CIB43_RS02260	NBX26_RS01530
OG0000381	CIB43_RS02300	NBX26_RS01565
OG0000385	CIB43_RS01405	NBX26_RS00525
OG0000389	CIB43_RS01490	NBX26_RS00615
OG0000394	CIB43_RS03660	NBX26_RS02905
OG0000396	CIB43_RS03350	NBX26_RS02590
OG0000403	CIB43_RS00220	NBX26_RS03310
OG0000404	CIB43_RS00250	NBX26_RS03345
OG0000405	CIB43_RS00265	NBX26_RS03360
OG0000409	CIB43_RS00345	NBX26_RS03430
OG0000412	CIB43_RS00390	NBX26_RS03485
OG0000417	CIB43_RS03185	NBX26_RS02440
OG0000428	CIB43_RS01785	NBX26_RS00925
OG0000429	CIB43_RS01885	NBX26_RS01150
OG0000430	CIB43_RS01925	NBX26_RS01195
OG0000437	CIB43_RS02065	NBX26_RS01305
OG0000441	CIB43_RS03910	NBX26_RS03165
OG0000451	CIB43_RS01085	NBX26_RS00360
OG0000453	CIB43_RS01315	NBX26_RS00420
OG0000457	CIB43_RS00450	NBX26_RS03565
OG0000459	CIB43_RS03460	NBX26_RS02700
OG0000463	CIB43_RS03515	NBX26_RS02745
OG0000464	CIB43_RS03500	NBX26_RS02740
OG0000466	CIB43_RS01115	NBX26_RS00390
OG0000468	CIB43_RS02870	NBX26_RS02135
OG0000471	CIB43_RS01790	NBX26_RS00930
OG0000473	CIB43_RS00580	NBX26_RS03695
OG0000474	CIB43_RS00585	NBX26_RS03700
OG0000475	CIB43_RS00595	NBX26_RS03705
OG0000482	CIB43_RS02080	NBX26_RS01335
OG0000485	CIB43_RS02035	NBX26_RS01300
OG0000486	CIB43_RS03205	NBX26_RS02460
OG0000487	CIB43_RS02915	NBX26_RS02095
OG0000488	CIB43_RS02940	NBX26_RS02055
OG0000489	CIB43_RS00750	NBX26_RS00050
OG0000492	CIB43_RS02290	NBX26_RS01555
OG0000495	CIB43_RS03750	NBX26_RS03015
OG0000502	CIB43_RS02070	NBX26_RS01325
OG0000504	CIB43_RS01770	NBX26_RS00905
OG0000508	CIB43_RS00980	NBX26_RS00245
OG0000517	CIB43_RS00765	NBX26_RS00065
OG0000523	CIB43_RS00445	NBX26_RS03560
OG0000526	CIB43_RS02720	NBX26_RS02270
OG0000527	CIB43_RS02640	NBX26_RS02325
OG0000530	CIB43_RS03250	NBX26_RS02495
OG0000543	CIB43_RS01215	NBX26_RS01930
OG0000544	CIB43_RS02125	NBX26_RS01380
OG0000545	CIB43_RS02715	NBX26_RS02280
OG0000546	CIB43_RS03705	NBX26_RS02960
OG0000552	CIB43_RS00225	NBX26_RS03320
OG0000553	CIB43_RS03610	NBX26_RS02865
OG0000554	CIB43_RS03295	NBX26_RS02545
OG0000557	CIB43_RS02130	NBX26_RS01390
OG0000558	CIB43_RS02100	NBX26_RS01360
OG0000559	CIB43_RS02575	NBX26_RS01830
OG0000560	CIB43_RS02680	NBX26_RS02300
OG0000561	CIB43_RS01980	NBX26_RS01245
OG0000562	CIB43_RS02685	NBX26_RS02290
OG0000563	CIB43_RS02670	NBX26_RS02305
OG0000564	CIB43_RS02155	NBX26_RS01410
OG0000565	CIB43_RS02760	NBX26_RS02225
OG0000566	CIB43_RS02740	NBX26_RS02245
OG0000568	CIB43_RS01555	NBX26_RS00690
OG0000569	CIB43_RS02105	NBX26_RS01365
OG0000570	CIB43_RS02110	NBX26_RS01370
OG0000571	CIB43_RS02115	NBX26_RS01375
OG0000572	CIB43_RS02135	NBX26_RS01395
OG0000573	CIB43_RS02570	NBX26_RS01825
OG0000574	CIB43_RS02175	NBX26_RS01430
OG0000575	CIB43_RS02090	NBX26_RS01355
OG0000576	CIB43_RS02530	NBX26_RS01780
OG0000577	CIB43_RS03580	NBX26_RS02830
OG0000579	CIB43_RS02660	NBX26_RS02315
OG0000580	CIB43_RS03710	NBX26_RS02965
OG0000581	CIB43_RS02645	NBX26_RS02320
OG0000584	CIB43_RS01180, CIB43_RS00035, CIB43_RS01255	NBX26_RS01955
OG0000585	CIB43_RS03105	NBX26_RS02360
OG0000588	CIB43_RS02525	NBX26_RS01770
OG0000589	CIB43_RS03055	NBX26_RS01005
OG0000590	CIB43_RS01190	NBX26_RS01945
OG0000592	CIB43_RS03570	NBX26_RS02820
OG0000595	CIB43_RS03920	NBX26_RS03175
OG0000597	CIB43_RS03915	NBX26_RS03170
OG0000600	CIB43_RS01175, CIB43_RS00040, CIB43_RS01260	NBX26_RS01960
OG0000603	CIB43_RS01270	NBX26_RS01965
OG0000608	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690	NBX26_RS02285
OG0000609	CIB43_RS02730	NBX26_RS02260
OG0000613	CIB43_RS02785	NBX26_RS02210
OG0000614	CIB43_RS03070	NBX26_RS00970
OG0000616	CIB43_RS01280	NBX26_RS01980
OG0000624	CIB43_RS00230	NBX26_RS03325
