Orthogroup	MHP_KM014_genes	MHP_168L_genes
OG0000075	CIB43_RS01060	MHP168L_RS00320
OG0000077	CIB43_RS01330	MHP168L_RS00425
OG0000078	CIB43_RS02560	MHP168L_RS01760
OG0000079	CIB43_RS03480	MHP168L_RS02590
OG0000080	CIB43_RS03525	MHP168L_RS03895
OG0000081	CIB43_RS01055	MHP168L_RS00315
OG0000082	CIB43_RS03315	MHP168L_RS04020
OG0000083	CIB43_RS02935	MHP168L_RS02110
OG0000084	CIB43_RS02955	MHP168L_RS02265
OG0000086	CIB43_RS02970	MHP168L_RS02250
OG0000087	CIB43_RS02975	MHP168L_RS02235
OG0000088	CIB43_RS02980	MHP168L_RS02230
OG0000089	CIB43_RS02990	MHP168L_RS02215
OG0000090	CIB43_RS00770	MHP168L_RS00070
OG0000091	CIB43_RS00760	MHP168L_RS00055
OG0000092	CIB43_RS00745	MHP168L_RS00040
OG0000093	CIB43_RS00735	MHP168L_RS00035
OG0000094	CIB43_RS00730	MHP168L_RS00030
OG0000095	CIB43_RS00715	MHP168L_RS00005
OG0000096	CIB43_RS00700	MHP168L_RS03665
OG0000097	CIB43_RS00690	MHP168L_RS03645
OG0000100	CIB43_RS00610	MHP168L_RS03505
OG0000101	CIB43_RS00600	MHP168L_RS03500
OG0000102	CIB43_RS02580	MHP168L_RS01735
OG0000103	CIB43_RS03110	MHP168L_RS02175
OG0000104	CIB43_RS03120	MHP168L_RS02170
OG0000105	CIB43_RS03130	MHP168L_RS02155
OG0000106	CIB43_RS03140	MHP168L_RS02145
OG0000107	CIB43_RS03150	MHP168L_RS02135
OG0000108	CIB43_RS03155	MHP168L_RS02130
OG0000109	CIB43_RS03160	MHP168L_RS02125
OG0000110	CIB43_RS03290	MHP168L_RS02410
OG0000111	CIB43_RS03285	MHP168L_RS02405
OG0000112	CIB43_RS03280	MHP168L_RS02395
OG0000113	CIB43_RS03260	MHP168L_RS02375
OG0000114	CIB43_RS03245	MHP168L_RS02365
OG0000115	CIB43_RS03230	MHP168L_RS02350
OG0000116	CIB43_RS02165	MHP168L_RS01385
OG0000117	CIB43_RS02170	MHP168L_RS01390
OG0000118	CIB43_RS02205	MHP168L_RS01430
OG0000119	CIB43_RS02210	MHP168L_RS01435
OG0000120	CIB43_RS02230	MHP168L_RS01450
OG0000121	CIB43_RS02250	MHP168L_RS01475
OG0000122	CIB43_RS02255	MHP168L_RS01480
OG0000123	CIB43_RS02275	MHP168L_RS01500
OG0000124	CIB43_RS02280	MHP168L_RS01505
OG0000125	CIB43_RS02285	MHP168L_RS01510
OG0000126	CIB43_RS02295	MHP168L_RS01520
OG0000127	CIB43_RS02305	MHP168L_RS01530
OG0000128	CIB43_RS02320	MHP168L_RS01545
OG0000129	CIB43_RS02330	MHP168L_RS01550
OG0000130	CIB43_RS02335	MHP168L_RS01560
OG0000131	CIB43_RS02370	MHP168L_RS01590
OG0000132	CIB43_RS02385	MHP168L_RS01605
OG0000133	CIB43_RS01415	MHP168L_RS00515
OG0000134	CIB43_RS01425	MHP168L_RS00520
OG0000135	CIB43_RS01435	MHP168L_RS00535
OG0000136	CIB43_RS01440	MHP168L_RS00540
OG0000137	CIB43_RS01470	MHP168L_RS00575
OG0000138	CIB43_RS01495	MHP168L_RS01030
OG0000139	CIB43_RS01525	MHP168L_RS01005
OG0000140	CIB43_RS01540	MHP168L_RS01000
OG0000141	CIB43_RS03850	MHP168L_RS02965
OG0000142	CIB43_RS03845	MHP168L_RS02960
OG0000143	CIB43_RS03835	MHP168L_RS02935
OG0000144	CIB43_RS03815	MHP168L_RS02925
OG0000145	CIB43_RS03805	MHP168L_RS02915
OG0000146	CIB43_RS03790	MHP168L_RS02905
OG0000147	CIB43_RS03785	MHP168L_RS02900
OG0000148	CIB43_RS03780	MHP168L_RS02885
OG0000149	CIB43_RS03760	MHP168L_RS02875
OG0000150	CIB43_RS03745	MHP168L_RS02860
OG0000151	CIB43_RS03700	MHP168L_RS02815
OG0000152	CIB43_RS03695	MHP168L_RS02810
OG0000153	CIB43_RS03690	MHP168L_RS02805
OG0000154	CIB43_RS03680	MHP168L_RS02795
OG0000155	CIB43_RS03645	MHP168L_RS02755
OG0000156	CIB43_RS03635	MHP168L_RS02745
OG0000157	CIB43_RS03625	MHP168L_RS02740
OG0000158	CIB43_RS03620	MHP168L_RS04120
OG0000159	CIB43_RS03385	MHP168L_RS04145
OG0000160	CIB43_RS03380	MHP168L_RS02485
OG0000161	CIB43_RS03375	MHP168L_RS02480
OG0000163	CIB43_RS03370	MHP168L_RS02465
OG0000164	CIB43_RS02495	MHP168L_RS01825
OG0000165	CIB43_RS02840	MHP168L_RS02030
OG0000166	CIB43_RS02860	MHP168L_RS02050
OG0000167	CIB43_RS02875	MHP168L_RS02065
OG0000168	CIB43_RS02880	MHP168L_RS02070
OG0000169	CIB43_RS00130	MHP168L_RS03045
OG0000171	CIB43_RS00155	MHP168L_RS03070
OG0000172	CIB43_RS00160	MHP168L_RS03075
OG0000173	CIB43_RS00165	MHP168L_RS03080
OG0000174	CIB43_RS00170	MHP168L_RS03085
OG0000175	CIB43_RS00190	MHP168L_RS03100
OG0000176	CIB43_RS00235	MHP168L_RS03150
OG0000177	CIB43_RS00240	MHP168L_RS03155
OG0000178	CIB43_RS00245	MHP168L_RS03160
OG0000179	CIB43_RS00255	MHP168L_RS03170
OG0000180	CIB43_RS00260	MHP168L_RS03175
OG0000181	CIB43_RS00310	MHP168L_RS03215
OG0000182	CIB43_RS00320	MHP168L_RS03225
OG0000183	CIB43_RS00355	MHP168L_RS03260
OG0000184	CIB43_RS00430	MHP168L_RS03300
OG0000185	CIB43_RS00380	MHP168L_RS03285
OG0000186	CIB43_RS02400	MHP168L_RS01615
OG0000187	CIB43_RS02410	MHP168L_RS01630
OG0000188	CIB43_RS02425	MHP168L_RS01640
OG0000189	CIB43_RS03200	MHP168L_RS02320
OG0000190	CIB43_RS03195	MHP168L_RS02315
OG0000191	CIB43_RS03180	MHP168L_RS02295
OG0000192	CIB43_RS02085	MHP168L_RS01300
OG0000193	CIB43_RS02075	MHP168L_RS01290
OG0000194	CIB43_RS01560	MHP168L_RS00970
OG0000195	CIB43_RS01565	MHP168L_RS00965
OG0000196	CIB43_RS01585	MHP168L_RS00945
OG0000197	CIB43_RS01590	MHP168L_RS00940
OG0000198	CIB43_RS01605	MHP168L_RS00925
OG0000199	CIB43_RS01615	MHP168L_RS00920
OG0000200	CIB43_RS01630	MHP168L_RS00910
OG0000201	CIB43_RS01635	MHP168L_RS00900
OG0000202	CIB43_RS01690	MHP168L_RS00845
OG0000203	CIB43_RS01695	MHP168L_RS00840
OG0000204	CIB43_RS01700	MHP168L_RS00835
OG0000205	CIB43_RS01705	MHP168L_RS00830
OG0000206	CIB43_RS01735	MHP168L_RS00810
OG0000207	CIB43_RS01740	MHP168L_RS00795
OG0000208	CIB43_RS01745	MHP168L_RS00790
OG0000209	CIB43_RS01750	MHP168L_RS00785
OG0000210	CIB43_RS01800	MHP168L_RS00735
OG0000211	CIB43_RS01805	MHP168L_RS00720
OG0000212	CIB43_RS01815	MHP168L_RS00710
OG0000213	CIB43_RS01820	MHP168L_RS03705
OG0000214	CIB43_RS01825	MHP168L_RS00705
OG0000215	CIB43_RS01830	MHP168L_RS00700
OG0000216	CIB43_RS01835	MHP168L_RS00695
OG0000217	CIB43_RS01845	MHP168L_RS00690
OG0000218	CIB43_RS01850	MHP168L_RS00680
OG0000219	CIB43_RS01855	MHP168L_RS00675
OG0000220	CIB43_RS01860	MHP168L_RS00670
OG0000221	CIB43_RS01865	MHP168L_RS00665
OG0000222	CIB43_RS01870	MHP168L_RS00660
OG0000223	CIB43_RS01875	MHP168L_RS00655
OG0000225	CIB43_RS01895	MHP168L_RS00635
OG0000226	CIB43_RS01900	MHP168L_RS00630
OG0000227	CIB43_RS01905	MHP168L_RS00625
OG0000228	CIB43_RS01910	MHP168L_RS04125
OG0000229	CIB43_RS01915	MHP168L_RS00615
OG0000230	CIB43_RS01920	MHP168L_RS00610
OG0000231	CIB43_RS01935	MHP168L_RS00600
OG0000232	CIB43_RS01940	MHP168L_RS00590
OG0000233	CIB43_RS01965	MHP168L_RS01075
OG0000234	CIB43_RS02000	MHP168L_RS01110
OG0000235	CIB43_RS02005	MHP168L_RS01120
OG0000236	CIB43_RS02010	MHP168L_RS01125
OG0000237	CIB43_RS02015	MHP168L_RS01130
OG0000238	CIB43_RS02025	MHP168L_RS01140
OG0000239	CIB43_RS03860	MHP168L_RS02975
OG0000240	CIB43_RS03870	MHP168L_RS02980
OG0000241	CIB43_RS03875	MHP168L_RS02990
OG0000242	CIB43_RS03880	MHP168L_RS02995
OG0000243	CIB43_RS03885	MHP168L_RS03000
OG0000244	CIB43_RS03900	MHP168L_RS03010
OG0000245	CIB43_RS03905	MHP168L_RS03020
OG0000246	CIB43_RS00845	MHP168L_RS00120
OG0000247	CIB43_RS00850	MHP168L_RS00130
OG0000248	CIB43_RS00875	MHP168L_RS00140
OG0000250	CIB43_RS00885	MHP168L_RS00160
OG0000251	CIB43_RS00925	MHP168L_RS00185
OG0000252	CIB43_RS00930	MHP168L_RS00195
OG0000253	CIB43_RS00940	MHP168L_RS00200
OG0000254	CIB43_RS00950	MHP168L_RS00210
OG0000255	CIB43_RS00955	MHP168L_RS00220
OG0000256	CIB43_RS00960	MHP168L_RS00225
OG0000257	CIB43_RS00985	MHP168L_RS00250
OG0000258	CIB43_RS01015	MHP168L_RS00260
OG0000259	CIB43_RS01030	MHP168L_RS00290
OG0000260	CIB43_RS01045	MHP168L_RS00300
OG0000262	CIB43_RS01075	MHP168L_RS00325
OG0000263	CIB43_RS01080	MHP168L_RS00340
OG0000264	CIB43_RS01100	MHP168L_RS00355
OG0000265	CIB43_RS01110	MHP168L_RS00365
OG0000266	CIB43_RS01120	MHP168L_RS00380
OG0000267	CIB43_RS01135	MHP168L_RS00395
OG0000268	CIB43_RS01305	MHP168L_RS00400
OG0000269	CIB43_RS01320	MHP168L_RS00415
OG0000270	CIB43_RS00575	MHP168L_RS03475
OG0000271	CIB43_RS00570	MHP168L_RS03470
OG0000272	CIB43_RS00565	MHP168L_RS03465
OG0000273	CIB43_RS00560	MHP168L_RS03460
OG0000274	CIB43_RS00545	MHP168L_RS03440
OG0000275	CIB43_RS00535	MHP168L_RS03435
OG0000276	CIB43_RS00530	MHP168L_RS03430
OG0000277	CIB43_RS00525	MHP168L_RS03420
OG0000278	CIB43_RS00515	MHP168L_RS03415
OG0000279	CIB43_RS00510	MHP168L_RS03405
OG0000280	CIB43_RS00500	MHP168L_RS03400
OG0000281	CIB43_RS00495	MHP168L_RS03780
OG0000283	CIB43_RS00475	MHP168L_RS03370
OG0000284	CIB43_RS00460	MHP168L_RS03365
OG0000285	CIB43_RS00455	MHP168L_RS03360
OG0000286	CIB43_RS03345	MHP168L_RS02450
OG0000287	CIB43_RS03440	MHP168L_RS02550
OG0000288	CIB43_RS03450	MHP168L_RS02560
OG0000289	CIB43_RS03455	MHP168L_RS02565
OG0000290	CIB43_RS03565	MHP168L_RS02675
OG0000291	CIB43_RS03560	MHP168L_RS02665
OG0000292	CIB43_RS03550	MHP168L_RS02660
OG0000293	CIB43_RS03545	MHP168L_RS02655
OG0000294	CIB43_RS03540	MHP168L_RS02645
OG0000295	CIB43_RS03530	MHP168L_RS02640
OG0000296	CIB43_RS03495	MHP168L_RS02600
OG0000297	CIB43_RS03485	MHP168L_RS02595
OG0000298	CIB43_RS00880	MHP168L_RS00155
OG0000299	CIB43_RS00915	MHP168L_RS03690
OG0000300	CIB43_RS01090	MHP168L_RS00350
OG0000301	CIB43_RS01125	MHP168L_RS00385
OG0000302	CIB43_RS01130	MHP168L_RS00390
OG0000303	CIB43_RS01455	MHP168L_RS00545
OG0000304	CIB43_RS01950	MHP168L_RS00585
OG0000305	CIB43_RS03795	MHP168L_RS02910
OG0000306	CIB43_RS03725	MHP168L_RS02835
OG0000307	CIB43_RS03685	MHP168L_RS02800
OG0000308	CIB43_RS03600	MHP168L_RS02700
OG0000309	CIB43_RS03520	MHP168L_RS02630
OG0000310	CIB43_RS03445	MHP168L_RS02555
OG0000311	CIB43_RS03405	MHP168L_RS02510
OG0000312	CIB43_RS03390	MHP168L_RS02495
OG0000313	CIB43_RS02485	MHP168L_RS01835
OG0000314	CIB43_RS02855	MHP168L_RS02045
OG0000315	CIB43_RS02885	MHP168L_RS02075
OG0000316	CIB43_RS02895	MHP168L_RS02085
OG0000317	CIB43_RS02985	MHP168L_RS02225
OG0000318	CIB43_RS02900	MHP168L_RS02090
OG0000319	CIB43_RS03125	MHP168L_RS02160
OG0000320	CIB43_RS03270	MHP168L_RS02385
OG0000321	CIB43_RS02200	MHP168L_RS01425
OG0000322	CIB43_RS02245	MHP168L_RS01470
OG0000323	CIB43_RS02375	MHP168L_RS01600
OG0000324	CIB43_RS03170	MHP168L_RS02290
OG0000325	CIB43_RS01570	MHP168L_RS00960
OG0000326	CIB43_RS01665	MHP168L_RS00870
OG0000327	CIB43_RS01670	MHP168L_RS00865
OG0000328	CIB43_RS01760	MHP168L_RS00780
OG0000329	CIB43_RS01775	MHP168L_RS00755
OG0000330	CIB43_RS01970	MHP168L_RS01085
OG0000331	CIB43_RS03890	MHP168L_RS03005
OG0000332	CIB43_RS00200	MHP168L_RS03110
OG0000333	CIB43_RS00210	MHP168L_RS03120
OG0000334	CIB43_RS00315	MHP168L_RS03220
OG0000335	CIB43_RS00340	MHP168L_RS03230
OG0000336	CIB43_RS00485	MHP168L_RS03390
OG0000337	CIB43_RS00655	MHP168L_RS03620
OG0000338	CIB43_RS00695	MHP168L_RS03660
OG0000339	CIB43_RS03235	MHP168L_RS02355
OG0000340	CIB43_RS02185	MHP168L_RS01400
OG0000341	CIB43_RS03190	MHP168L_RS02310
OG0000342	CIB43_RS01600	MHP168L_RS00930
OG0000343	CIB43_RS00215	MHP168L_RS03130
OG0000344	CIB43_RS01465	MHP168L_RS00560
OG0000345	CIB43_RS01890	MHP168L_RS00640
OG0000346	CIB43_RS00490	MHP168L_RS03395
OG0000347	CIB43_RS02270	MHP168L_RS01495
OG0000348	CIB43_RS01685	MHP168L_RS00860
OG0000349	CIB43_RS00550	MHP168L_RS03450
OG0000350	CIB43_RS03675	MHP168L_RS02790
OG0000351	CIB43_RS01385	MHP168L_RS00475
OG0000352	CIB43_RS02830	MHP168L_RS02025
OG0000353	CIB43_RS02240	MHP168L_RS01465
OG0000354	CIB43_RS01515	MHP168L_RS01015
OG0000355	CIB43_RS02805	MHP168L_RS01995
OG0000356	CIB43_RS02890	MHP168L_RS02080
OG0000357	CIB43_RS00175	MHP168L_RS03090
OG0000358	CIB43_RS00180	MHP168L_RS03095
OG0000359	CIB43_RS01650	MHP168L_RS00890
OG0000360	CIB43_RS00990	MHP168L_RS00255
OG0000361	CIB43_RS01020	MHP168L_RS00285
OG0000362	CIB43_RS03475	MHP168L_RS02575
OG0000363	CIB43_RS02310	MHP168L_RS03960
OG0000364	CIB43_RS02775	MHP168L_RS01970
OG0000369	CIB43_RS00725	MHP168L_RS00025
OG0000370	CIB43_RS00720	MHP168L_RS00020
OG0000378	CIB43_RS02160	MHP168L_RS01380
OG0000379	CIB43_RS02235	MHP168L_RS01460
OG0000380	CIB43_RS02260	MHP168L_RS01485
OG0000381	CIB43_RS02300	MHP168L_RS01525
OG0000385	CIB43_RS01405	MHP168L_RS00505
OG0000389	CIB43_RS01490	MHP168L_RS01035
OG0000394	CIB43_RS03660	MHP168L_RS02765
OG0000396	CIB43_RS03350	MHP168L_RS02455
OG0000403	CIB43_RS00220	MHP168L_RS03135
OG0000404	CIB43_RS00250	MHP168L_RS03165
OG0000405	CIB43_RS00265	MHP168L_RS03180
OG0000409	CIB43_RS00345	MHP168L_RS03250
OG0000412	CIB43_RS00390	MHP168L_RS03290
OG0000417	CIB43_RS03185	MHP168L_RS02305
OG0000428	CIB43_RS01785	MHP168L_RS00745
OG0000429	CIB43_RS01885	MHP168L_RS00650
OG0000430	CIB43_RS01925	MHP168L_RS00605
OG0000434	CIB43_RS01985	MHP168L_RS01100
OG0000436	CIB43_RS02030	MHP168L_RS01145
OG0000437	CIB43_RS02065	MHP168L_RS01155
OG0000441	CIB43_RS03910	MHP168L_RS03025
OG0000451	CIB43_RS01085	MHP168L_RS00345
OG0000453	CIB43_RS01315	MHP168L_RS00405
OG0000457	CIB43_RS00450	MHP168L_RS03355
OG0000459	CIB43_RS03460	MHP168L_RS02570
OG0000463	CIB43_RS03515	MHP168L_RS02615
OG0000464	CIB43_RS03500	MHP168L_RS02610
OG0000466	CIB43_RS01115	MHP168L_RS00375
OG0000468	CIB43_RS02870	MHP168L_RS02055
OG0000471	CIB43_RS01790	MHP168L_RS00740
OG0000473	CIB43_RS00580	MHP168L_RS03485
OG0000475	CIB43_RS00595	MHP168L_RS03490
OG0000482	CIB43_RS02080	MHP168L_RS01295
OG0000485	CIB43_RS02035	MHP168L_RS01150
OG0000486	CIB43_RS03205	MHP168L_RS02325
OG0000487	CIB43_RS02915	MHP168L_RS02095
OG0000488	CIB43_RS02940	MHP168L_RS02270
OG0000489	CIB43_RS00750	MHP168L_RS00050
OG0000491	CIB43_RS02220	MHP168L_RS01440
OG0000492	CIB43_RS02290	MHP168L_RS01515
OG0000495	CIB43_RS03750	MHP168L_RS02865
OG0000502	CIB43_RS02070	MHP168L_RS01285
OG0000506	CIB43_RS01810	MHP168L_RS00715
OG0000508	CIB43_RS00980	MHP168L_RS00230
OG0000517	CIB43_RS00765	MHP168L_RS00065
OG0000519	CIB43_RS01660	MHP168L_RS00880
OG0000520	CIB43_RS01780	MHP168L_RS00750
OG0000523	CIB43_RS00445	MHP168L_RS03350
OG0000526	CIB43_RS02720	MHP168L_RS03980
OG0000527	CIB43_RS02640	MHP168L_RS03975
OG0000529	CIB43_RS03135	MHP168L_RS02150
OG0000530	CIB43_RS03250	MHP168L_RS02370
OG0000531	CIB43_RS02265	MHP168L_RS01490
OG0000537	CIB43_RS01595	MHP168L_RS00935
OG0000538	CIB43_RS01990	MHP168L_RS01105
OG0000543	CIB43_RS01215	MHP168L_RS03535, MHP168L_RS01675
OG0000544	CIB43_RS02125	MHP168L_RS01335
OG0000545	CIB43_RS02715	MHP168L_RS01925
OG0000546	CIB43_RS03705	MHP168L_RS02820
OG0000553	CIB43_RS03610	MHP168L_RS02720
OG0000554	CIB43_RS03295	MHP168L_RS02415
OG0000556	CIB43_RS01290	MHP168L_RS01195
OG0000557	CIB43_RS02130	MHP168L_RS01345
OG0000558	CIB43_RS02100	MHP168L_RS01315
OG0000559	CIB43_RS02575	MHP168L_RS01740
OG0000560	CIB43_RS02680	MHP168L_RS01915
OG0000561	CIB43_RS01980	MHP168L_RS01090
OG0000562	CIB43_RS02685	MHP168L_RS01920
OG0000563	CIB43_RS02670	MHP168L_RS01905
OG0000564	CIB43_RS02155	MHP168L_RS03955
OG0000565	CIB43_RS02760	MHP168L_RS01965
OG0000566	CIB43_RS02740	MHP168L_RS01955
OG0000568	CIB43_RS01555	MHP168L_RS00975
OG0000569	CIB43_RS02105	MHP168L_RS01320
OG0000570	CIB43_RS02110	MHP168L_RS01325
OG0000571	CIB43_RS02115	MHP168L_RS01330
OG0000572	CIB43_RS02135	MHP168L_RS01350
OG0000573	CIB43_RS02570	MHP168L_RS01745
OG0000574	CIB43_RS02175	MHP168L_RS01395
OG0000575	CIB43_RS02090	MHP168L_RS01305
OG0000576	CIB43_RS02530	MHP168L_RS01780
OG0000577	CIB43_RS03580	MHP168L_RS02695
OG0000579	CIB43_RS02660	MHP168L_RS01890
OG0000580	CIB43_RS03710	MHP168L_RS04050
OG0000581	CIB43_RS02645	MHP168L_RS01875
OG0000584	CIB43_RS01255	MHP168L_RS01245
OG0000585	CIB43_RS03105	MHP168L_RS02180
OG0000588	CIB43_RS02525	MHP168L_RS01785
OG0000590	CIB43_RS00030	MHP168L_RS01255
OG0000590	CIB43_RS01190	MHP168L_RS03550
OG0000592	CIB43_RS03570	MHP168L_RS02680
OG0000594	CIB43_RS02095	MHP168L_RS01310
OG0000600	CIB43_RS01175, CIB43_RS00040	MHP168L_RS01240
OG0000601	CIB43_RS02675	MHP168L_RS01910
OG0000603	CIB43_RS00060	MHP168L_RS01225
OG0000606	CIB43_RS02655	MHP168L_RS01880
OG0000609	CIB43_RS02730	MHP168L_RS03835
OG0000616	CIB43_RS01280	MHP168L_RS03565
OG0000620	CIB43_RS04010	MHP168L_RS03820
OG0000628	CIB43_RS00090	MHP168L_RS01185
OG0000629	CIB43_RS00015	MHP168L_RS01265
OG0000630	CIB43_RS00100	MHP168L_RS01175
OG0000631	CIB43_RS00095	MHP168L_RS01180
