#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_006360.1:336367-337158|- -            264 1679at2085           -            265   1.2e-78  259.4  13.2   1   1   1.5e-80   1.3e-78  259.3  13.2    12   256     1   255     1   263 0.90 NC_006360.1_288 # 336367 # 337158 # -1 # ID=1_288;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NC_006360.1:55489-56748|+   -            420 1679at2085           -            265   3.6e-06   21.7  12.8   1   2     5e-07   4.2e-05   18.2   0.1   124   175   161   215   145   236 0.75 NC_006360.1_43 # 55489 # 56748 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
NC_006360.1:55489-56748|+   -            420 1679at2085           -            265   3.6e-06   21.7  12.8   2   2    0.0072      0.61    4.6   9.4    39   121   257   343   253   346 0.86 NC_006360.1_43 # 55489 # 56748 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
NC_006360.1:350489-351592|- -            368 1679at2085           -            265   1.3e-05   19.9   0.1   1   1   3.4e-07   2.9e-05   18.8   0.1   119   155     2    37     1    47 0.85 NC_006360.1_298 # 350489 # 351592 # -1 # ID=1_298;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.303
NC_006360.1:256520-257377|+ -            286 1679at2085           -            265   1.9e-05   19.4   8.0   1   1   4.7e-05     0.004   11.8   8.0    19   173    65   212    58   231 0.62 NC_006360.1_223 # 256520 # 257377 # 1 # ID=1_223;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.280
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use
# Date:            Thu Nov 28 19:24:59 2024
# [ok]
