Orthogroup	MHP_1257_genes	MHP_LH_genes
OG0000036	ABKJ22_RS00110	KUD10_RS00115
OG0000036	ABKJ22_RS00125	KUD10_RS00130
OG0000037	ABKJ22_RS01590	KUD10_RS01650, KUD10_RS01645
OG0000038	ABKJ22_RS01735	KUD10_RS01815
OG0000039	ABKJ22_RS01615	KUD10_RS01675
OG0000040	ABKJ22_RS03165	KUD10_RS03345
OG0000042	ABKJ22_RS02880	KUD10_RS03010
OG0000043	ABKJ22_RS01890	KUD10_RS01965
OG0000045	ABKJ22_RS01620	KUD10_RS01680
OG0000048	ABKJ22_RS02075	KUD10_RS02150
OG0000049	ABKJ22_RS02955	KUD10_RS03120
OG0000050	ABKJ22_RS02395	KUD10_RS02530
OG0000051	ABKJ22_RS02600	KUD10_RS02740
OG0000052	ABKJ22_RS00075	KUD10_RS00075
OG0000053	ABKJ22_RS01465	KUD10_RS01520
OG0000054	ABKJ22_RS02420	KUD10_RS02555
OG0000055	ABKJ22_RS00130	KUD10_RS00135
OG0000056	ABKJ22_RS03415	KUD10_RS03605, KUD10_RS03600
OG0000057	ABKJ22_RS02865	KUD10_RS02995
OG0000061	ABKJ22_RS01845	KUD10_RS01920
OG0000062	ABKJ22_RS03470	KUD10_RS03655
OG0000063	ABKJ22_RS03465	KUD10_RS03650
OG0000064	ABKJ22_RS03455	KUD10_RS03640
OG0000065	ABKJ22_RS02160	KUD10_RS02315
OG0000066	ABKJ22_RS01370	KUD10_RS01425
OG0000067	ABKJ22_RS00525	KUD10_RS00530
OG0000068	ABKJ22_RS01055	KUD10_RS00655
OG0000069	ABKJ22_RS02760	KUD10_RS02890
OG0000070	ABKJ22_RS02425	KUD10_RS02560
OG0000071	ABKJ22_RS03155	KUD10_RS03335
OG0000072	ABKJ22_RS03160	KUD10_RS03340
OG0000073	ABKJ22_RS00995	KUD10_RS00700
OG0000074	ABKJ22_RS00800	KUD10_RS00895
OG0000075	ABKJ22_RS00335	KUD10_RS00340
OG0000076	ABKJ22_RS00350	KUD10_RS00355
OG0000077	ABKJ22_RS00445	KUD10_RS00440
OG0000078	ABKJ22_RS01675	KUD10_RS01740
OG0000079	ABKJ22_RS02505	KUD10_RS02640
OG0000080	ABKJ22_RS02550	KUD10_RS02690
OG0000081	ABKJ22_RS00330	KUD10_RS00335
OG0000082	ABKJ22_RS02350	KUD10_RS02460
OG0000083	ABKJ22_RS01995	KUD10_RS02070
OG0000084	ABKJ22_RS02025	KUD10_RS02100
OG0000085	ABKJ22_RS02030	KUD10_RS02105
OG0000086	ABKJ22_RS02040	KUD10_RS02115
OG0000087	ABKJ22_RS02055	KUD10_RS02130
OG0000088	ABKJ22_RS02060	KUD10_RS02135
OG0000089	ABKJ22_RS02070	KUD10_RS02145
OG0000090	ABKJ22_RS00070	KUD10_RS00070
OG0000091	ABKJ22_RS00055	KUD10_RS00055
OG0000092	ABKJ22_RS00040	KUD10_RS00040
OG0000093	ABKJ22_RS00035	KUD10_RS00035
OG0000094	ABKJ22_RS00030	KUD10_RS00030
OG0000095	ABKJ22_RS00005	KUD10_RS00005
OG0000096	ABKJ22_RS03505	KUD10_RS03690
OG0000097	ABKJ22_RS03485	KUD10_RS03670
OG0000098	ABKJ22_RS03475	KUD10_RS03660
OG0000099	ABKJ22_RS03425	KUD10_RS03610
OG0000100	ABKJ22_RS03405	KUD10_RS03590
OG0000101	ABKJ22_RS03400	KUD10_RS03585
OG0000102	ABKJ22_RS01700	KUD10_RS01765
OG0000103	ABKJ22_RS02195	KUD10_RS02280
OG0000104	ABKJ22_RS02190	KUD10_RS02285
OG0000105	ABKJ22_RS02175	KUD10_RS02300
OG0000106	ABKJ22_RS02165	KUD10_RS02310
OG0000107	ABKJ22_RS02155	KUD10_RS02320
OG0000108	ABKJ22_RS02150	KUD10_RS02325
OG0000109	ABKJ22_RS02145	KUD10_RS02330
OG0000110	ABKJ22_RS02340	KUD10_RS02450
OG0000111	ABKJ22_RS02335	KUD10_RS02445
OG0000112	ABKJ22_RS02325	KUD10_RS02435
OG0000113	ABKJ22_RS02305	KUD10_RS02415
OG0000114	ABKJ22_RS02295	KUD10_RS02405
OG0000115	ABKJ22_RS02285	KUD10_RS02395
OG0000116	ABKJ22_RS01315	KUD10_RS01370
OG0000117	ABKJ22_RS01320	KUD10_RS01375
OG0000118	ABKJ22_RS01355	KUD10_RS01410
OG0000119	ABKJ22_RS01360	KUD10_RS01415
OG0000120	ABKJ22_RS01375	KUD10_RS01430
OG0000121	ABKJ22_RS01400	KUD10_RS01455
OG0000122	ABKJ22_RS01405	KUD10_RS01460
OG0000123	ABKJ22_RS01425	KUD10_RS01480
OG0000124	ABKJ22_RS01430	KUD10_RS01485
OG0000125	ABKJ22_RS01435	KUD10_RS01490
OG0000126	ABKJ22_RS01445	KUD10_RS01500
OG0000127	ABKJ22_RS01455	KUD10_RS01510
OG0000128	ABKJ22_RS01470	KUD10_RS01525
OG0000129	ABKJ22_RS01475	KUD10_RS01530
OG0000130	ABKJ22_RS01485	KUD10_RS01540
OG0000131	ABKJ22_RS01515	KUD10_RS01570
OG0000132	ABKJ22_RS01530	KUD10_RS01585
OG0000133	ABKJ22_RS00530	KUD10_RS00535
OG0000134	ABKJ22_RS00535	KUD10_RS00540
OG0000135	ABKJ22_RS00550	KUD10_RS00555
OG0000136	ABKJ22_RS00555	KUD10_RS00560
OG0000137	ABKJ22_RS00585	KUD10_RS00600
OG0000138	ABKJ22_RS01080	KUD10_RS00630
OG0000139	ABKJ22_RS01050	KUD10_RS00660
OG0000140	ABKJ22_RS01045	KUD10_RS00665
OG0000141	ABKJ22_RS02875	KUD10_RS03005
OG0000142	ABKJ22_RS02870	KUD10_RS03000
OG0000143	ABKJ22_RS02850	KUD10_RS02980
OG0000144	ABKJ22_RS02840	KUD10_RS02970
OG0000145	ABKJ22_RS02830	KUD10_RS02960
OG0000146	ABKJ22_RS02820	KUD10_RS02950
OG0000147	ABKJ22_RS02815	KUD10_RS02945
OG0000148	ABKJ22_RS02800	KUD10_RS02930
OG0000149	ABKJ22_RS02790	KUD10_RS02920
OG0000150	ABKJ22_RS02775	KUD10_RS02905
OG0000151	ABKJ22_RS02720	KUD10_RS02860
OG0000152	ABKJ22_RS02715	KUD10_RS02855
OG0000153	ABKJ22_RS02710	KUD10_RS02850
OG0000154	ABKJ22_RS02700	KUD10_RS02840
OG0000155	ABKJ22_RS02660	KUD10_RS02805
OG0000156	ABKJ22_RS02650	KUD10_RS02795
OG0000157	ABKJ22_RS02645	KUD10_RS02790
OG0000158	ABKJ22_RS02635	KUD10_RS03710
OG0000159	ABKJ22_RS02410	KUD10_RS02545
OG0000160	ABKJ22_RS02405	KUD10_RS02540
OG0000161	ABKJ22_RS02400	KUD10_RS02535
OG0000162	ABKJ22_RS02390	KUD10_RS02525
OG0000163	ABKJ22_RS02385	KUD10_RS02520
OG0000164	ABKJ22_RS01610	KUD10_RS01670
OG0000165	ABKJ22_RS01915	KUD10_RS01990
OG0000166	ABKJ22_RS01935	KUD10_RS02010
OG0000167	ABKJ22_RS01950	KUD10_RS02025
OG0000168	ABKJ22_RS01955	KUD10_RS02030
OG0000169	ABKJ22_RS02950	KUD10_RS03115
OG0000170	ABKJ22_RS02965	KUD10_RS03130
OG0000171	ABKJ22_RS02975	KUD10_RS03140
OG0000172	ABKJ22_RS02980	KUD10_RS03145
OG0000173	ABKJ22_RS02985	KUD10_RS03150
OG0000174	ABKJ22_RS02990	KUD10_RS03155
OG0000175	ABKJ22_RS03005	KUD10_RS03170
OG0000176	ABKJ22_RS03050	KUD10_RS03215
OG0000177	ABKJ22_RS03055	KUD10_RS03220
OG0000178	ABKJ22_RS03060	KUD10_RS03225
OG0000179	ABKJ22_RS03070	KUD10_RS03235
OG0000180	ABKJ22_RS03075	KUD10_RS03240
OG0000181	ABKJ22_RS03105	KUD10_RS03285
OG0000182	ABKJ22_RS03115	KUD10_RS03295
OG0000183	ABKJ22_RS03150	KUD10_RS03330
OG0000184	ABKJ22_RS03190	KUD10_RS03375
OG0000185	ABKJ22_RS03175	KUD10_RS03360
OG0000186	ABKJ22_RS01540	KUD10_RS01595
OG0000187	ABKJ22_RS01555	KUD10_RS01610
OG0000188	ABKJ22_RS01565	KUD10_RS01620
OG0000189	ABKJ22_RS02110	KUD10_RS02365
OG0000190	ABKJ22_RS02115	KUD10_RS02360
OG0000191	ABKJ22_RS02135	KUD10_RS02340
OG0000192	ABKJ22_RS01230	KUD10_RS01290
OG0000193	ABKJ22_RS01220	KUD10_RS01275
OG0000194	ABKJ22_RS01010	KUD10_RS00685
OG0000195	ABKJ22_RS01005	KUD10_RS00690
OG0000196	ABKJ22_RS00985	KUD10_RS00710
OG0000197	ABKJ22_RS00980	KUD10_RS00715
OG0000198	ABKJ22_RS00965	KUD10_RS00730
OG0000199	ABKJ22_RS00960	KUD10_RS00735
OG0000200	ABKJ22_RS00945	KUD10_RS00750
OG0000201	ABKJ22_RS00935	KUD10_RS00760
OG0000202	ABKJ22_RS00880	KUD10_RS00815
OG0000203	ABKJ22_RS00875	KUD10_RS00820
OG0000204	ABKJ22_RS00870	KUD10_RS00825
OG0000205	ABKJ22_RS00865	KUD10_RS00830
OG0000206	ABKJ22_RS00845	KUD10_RS00850
OG0000207	ABKJ22_RS00830	KUD10_RS00865
OG0000208	ABKJ22_RS00825	KUD10_RS00870
OG0000209	ABKJ22_RS00820	KUD10_RS00875
OG0000210	ABKJ22_RS00775	KUD10_RS00920
OG0000211	ABKJ22_RS00745	KUD10_RS00930
OG0000212	ABKJ22_RS00735	KUD10_RS00940
OG0000213	ABKJ22_RS00730	KUD10_RS00945
OG0000214	ABKJ22_RS00725	KUD10_RS00950
OG0000215	ABKJ22_RS00720	KUD10_RS00955
OG0000216	ABKJ22_RS00715	KUD10_RS00960
OG0000217	ABKJ22_RS00710	KUD10_RS00965
OG0000218	ABKJ22_RS00700	KUD10_RS00975
OG0000219	ABKJ22_RS00695	KUD10_RS00980
OG0000220	ABKJ22_RS00690	KUD10_RS00985
OG0000221	ABKJ22_RS00685	KUD10_RS00990
OG0000222	ABKJ22_RS00680	KUD10_RS00995
OG0000223	ABKJ22_RS00675	KUD10_RS01000
OG0000224	ABKJ22_RS00665	KUD10_RS01010
OG0000225	ABKJ22_RS00655	KUD10_RS01020
OG0000226	ABKJ22_RS00650	KUD10_RS01025
OG0000227	ABKJ22_RS00645	KUD10_RS01030
OG0000228	ABKJ22_RS00640	KUD10_RS03740
OG0000229	ABKJ22_RS00635	KUD10_RS01040
OG0000230	ABKJ22_RS00630	KUD10_RS01045
OG0000231	ABKJ22_RS00620	KUD10_RS01055
OG0000232	ABKJ22_RS00610	KUD10_RS01065
OG0000233	ABKJ22_RS01110	KUD10_RS01090
OG0000234	ABKJ22_RS01145	KUD10_RS01125
OG0000235	ABKJ22_RS01155	KUD10_RS01135
OG0000236	ABKJ22_RS01160	KUD10_RS01140
OG0000237	ABKJ22_RS01165	KUD10_RS01230
OG0000238	ABKJ22_RS01170	KUD10_RS01235
OG0000239	ABKJ22_RS02885	KUD10_RS03015
OG0000240	ABKJ22_RS02890	KUD10_RS03020
OG0000241	ABKJ22_RS02900	KUD10_RS03030
OG0000242	ABKJ22_RS02905	KUD10_RS03035
OG0000243	ABKJ22_RS02910	KUD10_RS03040
OG0000244	ABKJ22_RS02920	KUD10_RS03050
OG0000245	ABKJ22_RS02930	KUD10_RS03055
OG0000246	ABKJ22_RS00135	KUD10_RS00140
OG0000247	ABKJ22_RS00145	KUD10_RS00150
OG0000248	ABKJ22_RS00155	KUD10_RS00160
OG0000249	ABKJ22_RS00160	KUD10_RS00165
OG0000250	ABKJ22_RS00175	KUD10_RS00180
OG0000251	ABKJ22_RS00205	KUD10_RS00210
OG0000252	ABKJ22_RS00215	KUD10_RS00220
OG0000253	ABKJ22_RS00220	KUD10_RS00225
OG0000254	ABKJ22_RS00230	KUD10_RS00235
OG0000255	ABKJ22_RS00235	KUD10_RS00240
OG0000256	ABKJ22_RS00240	KUD10_RS00245
OG0000257	ABKJ22_RS00265	KUD10_RS00270
OG0000258	ABKJ22_RS00275	KUD10_RS00280
OG0000259	ABKJ22_RS00305	KUD10_RS00310
OG0000260	ABKJ22_RS00315	KUD10_RS00320
OG0000261	ABKJ22_RS00325	KUD10_RS00330
OG0000262	ABKJ22_RS00340	KUD10_RS00345
OG0000263	ABKJ22_RS00355	KUD10_RS00360
OG0000264	ABKJ22_RS00370	KUD10_RS00375
OG0000265	ABKJ22_RS00380	KUD10_RS00385
OG0000266	ABKJ22_RS00395	KUD10_RS00400
OG0000267	ABKJ22_RS00410	KUD10_RS00415
OG0000268	ABKJ22_RS00415	KUD10_RS00420
OG0000269	ABKJ22_RS00440	KUD10_RS00435
OG0000270	ABKJ22_RS03375	KUD10_RS03560
OG0000271	ABKJ22_RS03370	KUD10_RS03555
OG0000272	ABKJ22_RS03365	KUD10_RS03550
OG0000273	ABKJ22_RS03360	KUD10_RS03545
OG0000274	ABKJ22_RS03340	KUD10_RS03525
OG0000275	ABKJ22_RS03335	KUD10_RS03520
OG0000276	ABKJ22_RS03330	KUD10_RS03515
OG0000277	ABKJ22_RS03320	KUD10_RS03505
OG0000278	ABKJ22_RS03315	KUD10_RS03500
OG0000279	ABKJ22_RS03305	KUD10_RS03490
OG0000280	ABKJ22_RS03300	KUD10_RS03485
OG0000281	ABKJ22_RS03295	KUD10_RS03480
OG0000282	ABKJ22_RS03270	KUD10_RS03455
OG0000283	ABKJ22_RS03265	KUD10_RS03450
OG0000284	ABKJ22_RS03260	KUD10_RS03445
OG0000285	ABKJ22_RS03255	KUD10_RS03440
OG0000286	ABKJ22_RS02370	KUD10_RS02505
OG0000287	ABKJ22_RS02465	KUD10_RS02600
OG0000288	ABKJ22_RS02475	KUD10_RS02610
OG0000289	ABKJ22_RS02480	KUD10_RS02615
OG0000290	ABKJ22_RS02590	KUD10_RS02730
OG0000291	ABKJ22_RS02580	KUD10_RS02720
OG0000292	ABKJ22_RS02575	KUD10_RS02715
OG0000293	ABKJ22_RS02570	KUD10_RS02710
OG0000294	ABKJ22_RS02560	KUD10_RS02700
OG0000295	ABKJ22_RS02555	KUD10_RS02695
OG0000296	ABKJ22_RS02515	KUD10_RS02650
OG0000297	ABKJ22_RS02510	KUD10_RS02645
OG0000298	ABKJ22_RS00170	KUD10_RS00175
OG0000299	ABKJ22_RS00190	KUD10_RS00195
OG0000300	ABKJ22_RS00365	KUD10_RS00370
OG0000301	ABKJ22_RS00400	KUD10_RS00405
OG0000302	ABKJ22_RS00405	KUD10_RS00410
OG0000303	ABKJ22_RS00560	KUD10_RS00565
OG0000304	ABKJ22_RS00605	KUD10_RS01070
OG0000305	ABKJ22_RS02825	KUD10_RS02955
OG0000306	ABKJ22_RS02745	KUD10_RS02880
OG0000307	ABKJ22_RS02705	KUD10_RS02845
OG0000308	ABKJ22_RS02610	KUD10_RS02750
OG0000309	ABKJ22_RS02545	KUD10_RS02685
OG0000310	ABKJ22_RS02470	KUD10_RS02605
OG0000311	ABKJ22_RS02430	KUD10_RS02565
OG0000312	ABKJ22_RS02415	KUD10_RS02550
OG0000313	ABKJ22_RS01600	KUD10_RS01660
OG0000314	ABKJ22_RS01930	KUD10_RS02005
OG0000315	ABKJ22_RS01960	KUD10_RS02035
OG0000316	ABKJ22_RS01970	KUD10_RS02045
OG0000317	ABKJ22_RS02065	KUD10_RS02140
OG0000318	ABKJ22_RS01975	KUD10_RS02050
OG0000319	ABKJ22_RS02180	KUD10_RS02295
OG0000320	ABKJ22_RS02315	KUD10_RS02425
OG0000321	ABKJ22_RS01350	KUD10_RS01405
OG0000322	ABKJ22_RS01395	KUD10_RS01450
OG0000323	ABKJ22_RS01525	KUD10_RS01580
OG0000324	ABKJ22_RS02140	KUD10_RS02335
OG0000325	ABKJ22_RS01000	KUD10_RS00695
OG0000326	ABKJ22_RS00905	KUD10_RS00790
OG0000327	ABKJ22_RS00900	KUD10_RS00795
OG0000328	ABKJ22_RS00815	KUD10_RS00880
OG0000329	ABKJ22_RS00795	KUD10_RS00900
OG0000330	ABKJ22_RS01120	KUD10_RS01100
OG0000331	ABKJ22_RS02915	KUD10_RS03045
OG0000332	ABKJ22_RS03015	KUD10_RS03180
OG0000333	ABKJ22_RS03025	KUD10_RS03190
OG0000334	ABKJ22_RS03110	KUD10_RS03290
OG0000335	ABKJ22_RS03120	KUD10_RS03300
OG0000336	ABKJ22_RS03285	KUD10_RS03470
OG0000337	ABKJ22_RS03460	KUD10_RS03645
OG0000338	ABKJ22_RS03500	KUD10_RS03685
OG0000339	ABKJ22_RS02290	KUD10_RS02400
OG0000340	ABKJ22_RS01330	KUD10_RS01385
OG0000341	ABKJ22_RS02120	KUD10_RS02355
OG0000342	ABKJ22_RS00970	KUD10_RS00725
OG0000343	ABKJ22_RS03035	KUD10_RS03200
OG0000344	ABKJ22_RS00575	KUD10_RS00580
OG0000345	ABKJ22_RS00660	KUD10_RS01015
OG0000346	ABKJ22_RS03290	KUD10_RS03475
OG0000347	ABKJ22_RS01420	KUD10_RS01475
OG0000348	ABKJ22_RS00895	KUD10_RS00800
OG0000349	ABKJ22_RS03350	KUD10_RS03535
OG0000350	ABKJ22_RS02695	KUD10_RS02835
OG0000351	ABKJ22_RS00495	KUD10_RS00490
OG0000352	ABKJ22_RS01910	KUD10_RS01985
OG0000353	ABKJ22_RS01390	KUD10_RS01445
OG0000354	ABKJ22_RS01065	KUD10_RS00645
OG0000355	ABKJ22_RS01885	KUD10_RS01960
OG0000356	ABKJ22_RS01965	KUD10_RS02040
OG0000357	ABKJ22_RS02995	KUD10_RS03160
OG0000358	ABKJ22_RS03000	KUD10_RS03165
OG0000359	ABKJ22_RS00925	KUD10_RS00770
OG0000360	ABKJ22_RS00270	KUD10_RS00275
OG0000361	ABKJ22_RS00300	KUD10_RS00305
OG0000362	ABKJ22_RS02490	KUD10_RS02625
OG0000363	ABKJ22_RS01460	KUD10_RS01515
OG0000365	ABKJ22_RS02015	KUD10_RS02085
OG0000366	ABKJ22_RS02035	KUD10_RS02110
OG0000367	ABKJ22_RS02045	KUD10_RS02120
OG0000368	ABKJ22_RS00060	KUD10_RS00060
OG0000369	ABKJ22_RS00025	KUD10_RS00025
OG0000370	ABKJ22_RS00020	KUD10_RS00020
OG0000371	ABKJ22_RS00015	KUD10_RS00015
OG0000372	ABKJ22_RS00010	KUD10_RS00010
OG0000373	ABKJ22_RS03490	KUD10_RS03675
OG0000374	ABKJ22_RS03480	KUD10_RS03665
OG0000375	ABKJ22_RS02185	KUD10_RS02290
OG0000376	ABKJ22_RS02330	KUD10_RS02440
OG0000377	ABKJ22_RS02320	KUD10_RS02430
OG0000378	ABKJ22_RS01310	KUD10_RS01365
OG0000379	ABKJ22_RS01385	KUD10_RS01440
OG0000380	ABKJ22_RS01410	KUD10_RS01465
OG0000381	ABKJ22_RS01450	KUD10_RS01505
OG0000382	ABKJ22_RS01480	KUD10_RS01535
OG0000383	ABKJ22_RS01520	KUD10_RS01575
OG0000384	ABKJ22_RS00515	KUD10_RS00520
OG0000385	ABKJ22_RS00520	KUD10_RS00525
OG0000386	ABKJ22_RS00540	KUD10_RS00545
OG0000387	ABKJ22_RS00565	KUD10_RS00570
OG0000388	ABKJ22_RS00570	KUD10_RS00575
OG0000389	ABKJ22_RS01085	KUD10_RS00625
OG0000390	ABKJ22_RS02845	KUD10_RS02975
OG0000391	ABKJ22_RS02835	KUD10_RS02965
OG0000392	ABKJ22_RS02810	KUD10_RS02940
OG0000393	ABKJ22_RS02755	KUD10_RS02885
OG0000394	ABKJ22_RS02670	KUD10_RS02815
OG0000395	ABKJ22_RS02665	KUD10_RS02810
OG0000396	ABKJ22_RS02375	KUD10_RS02510
OG0000397	ABKJ22_RS01895	KUD10_RS01970
OG0000398	ABKJ22_RS01900	KUD10_RS01975
OG0000399	ABKJ22_RS01945	KUD10_RS02020
OG0000400	ABKJ22_RS02960	KUD10_RS03125
OG0000401	ABKJ22_RS03020	KUD10_RS03185
OG0000402	ABKJ22_RS03030	KUD10_RS03195
OG0000403	ABKJ22_RS03040	KUD10_RS03205
OG0000404	ABKJ22_RS03065	KUD10_RS03230
OG0000405	ABKJ22_RS03080	KUD10_RS03245
OG0000406	ABKJ22_RS03125	KUD10_RS03305
OG0000407	ABKJ22_RS03130	KUD10_RS03310
OG0000408	ABKJ22_RS03135	KUD10_RS03315
OG0000409	ABKJ22_RS03140	KUD10_RS03320
OG0000410	ABKJ22_RS03195	KUD10_RS03380
OG0000411	ABKJ22_RS03185	KUD10_RS03370
OG0000412	ABKJ22_RS03180	KUD10_RS03365
OG0000413	ABKJ22_RS01535	KUD10_RS01590
OG0000414	ABKJ22_RS01545	KUD10_RS01600
OG0000415	ABKJ22_RS01550	KUD10_RS01605
OG0000416	ABKJ22_RS01560	KUD10_RS01615
OG0000417	ABKJ22_RS02125	KUD10_RS02350
OG0000418	ABKJ22_RS02130	KUD10_RS02345
OG0000419	ABKJ22_RS00990	KUD10_RS00705
OG0000420	ABKJ22_RS00955	KUD10_RS00740
OG0000421	ABKJ22_RS00920	KUD10_RS00775
OG0000422	ABKJ22_RS00910	KUD10_RS00785
OG0000423	ABKJ22_RS00855	KUD10_RS00840
OG0000424	ABKJ22_RS00850	KUD10_RS00845
OG0000425	ABKJ22_RS00840	KUD10_RS00855
OG0000426	ABKJ22_RS00835	KUD10_RS00860
OG0000427	ABKJ22_RS00810	KUD10_RS00885
OG0000428	ABKJ22_RS00785	KUD10_RS00910
OG0000429	ABKJ22_RS00670	KUD10_RS01005
OG0000430	ABKJ22_RS00625	KUD10_RS01050
OG0000431	ABKJ22_RS00615	KUD10_RS01060
OG0000432	ABKJ22_RS01115	KUD10_RS01095
OG0000433	ABKJ22_RS01130	KUD10_RS01110
OG0000434	ABKJ22_RS01135	KUD10_RS01115
OG0000435	ABKJ22_RS01150	KUD10_RS01130
OG0000436	ABKJ22_RS01175	KUD10_RS01240
OG0000437	ABKJ22_RS01185	KUD10_RS01250
OG0000438	ABKJ22_RS01190	KUD10_RS01255
OG0000439	ABKJ22_RS01195	KUD10_RS01260
OG0000440	ABKJ22_RS02895	KUD10_RS03025
OG0000441	ABKJ22_RS02935	KUD10_RS03060
OG0000442	ABKJ22_RS00140	KUD10_RS00145
OG0000443	ABKJ22_RS00185	KUD10_RS00190
OG0000444	ABKJ22_RS00200	KUD10_RS00205
OG0000445	ABKJ22_RS00225	KUD10_RS00230
OG0000446	ABKJ22_RS00250	KUD10_RS00255
OG0000447	ABKJ22_RS00255	KUD10_RS00260
OG0000448	ABKJ22_RS00285	KUD10_RS00290
OG0000449	ABKJ22_RS00310	KUD10_RS00315
OG0000450	ABKJ22_RS00320	KUD10_RS00325
OG0000451	ABKJ22_RS00360	KUD10_RS00365
OG0000452	ABKJ22_RS00385	KUD10_RS00390
OG0000453	ABKJ22_RS00420	KUD10_RS00425
OG0000454	ABKJ22_RS01580	KUD10_RS01220
OG0000455	ABKJ22_RS03395	KUD10_RS03580
OG0000456	ABKJ22_RS03275	KUD10_RS03460
OG0000457	ABKJ22_RS03250	KUD10_RS03435
OG0000458	ABKJ22_RS02460	KUD10_RS02595
OG0000459	ABKJ22_RS02485	KUD10_RS02620
OG0000460	ABKJ22_RS02495	KUD10_RS02630
OG0000461	ABKJ22_RS02540	KUD10_RS02680
OG0000462	ABKJ22_RS02535	KUD10_RS02670
OG0000463	ABKJ22_RS02530	KUD10_RS02665
OG0000464	ABKJ22_RS02525	KUD10_RS02660
OG0000465	ABKJ22_RS02520	KUD10_RS02655
OG0000466	ABKJ22_RS00390	KUD10_RS00395
OG0000467	ABKJ22_RS02620	KUD10_RS02760
OG0000468	ABKJ22_RS01940	KUD10_RS02015
OG0000469	ABKJ22_RS02000	KUD10_RS02075
OG0000470	ABKJ22_RS00860	KUD10_RS00835
OG0000471	ABKJ22_RS00780	KUD10_RS00915
OG0000472	ABKJ22_RS03205	KUD10_RS03390
