Orthogroup	MHP_1257_genes	MFC_ATCC27716_genes
OG0000125	ABKJ22_RS01435	MFC_RS00635
OG0000126	ABKJ22_RS01445	MFC_RS00645
OG0000127	ABKJ22_RS01455	MFC_RS00655
OG0000128	ABKJ22_RS01470	MFC_RS00670
OG0000129	ABKJ22_RS01475	MFC_RS00675
OG0000130	ABKJ22_RS01485	MFC_RS00685
OG0000131	ABKJ22_RS01515	MFC_RS00715
OG0000132	ABKJ22_RS01530	MFC_RS00735
OG0000133	ABKJ22_RS00530	MFC_RS00805
OG0000134	ABKJ22_RS00535	MFC_RS00810
OG0000135	ABKJ22_RS00550	MFC_RS00825
OG0000136	ABKJ22_RS00555	MFC_RS00830
OG0000137	ABKJ22_RS00585	MFC_RS00860
OG0000138	ABKJ22_RS01080	MFC_RS00885
OG0000139	ABKJ22_RS01050	MFC_RS00915
OG0000140	ABKJ22_RS01045	MFC_RS00920
OG0000141	ABKJ22_RS02875	MFC_RS00955
OG0000142	ABKJ22_RS02870	MFC_RS00960
OG0000143	ABKJ22_RS02850	MFC_RS00985
OG0000144	ABKJ22_RS02840	MFC_RS00995
OG0000145	ABKJ22_RS02830	MFC_RS01005
OG0000146	ABKJ22_RS02820	MFC_RS01015
OG0000147	ABKJ22_RS02815	MFC_RS01020
OG0000148	ABKJ22_RS02800	MFC_RS01035
OG0000149	ABKJ22_RS02790	MFC_RS01045
OG0000150	ABKJ22_RS02775	MFC_RS01060
OG0000151	ABKJ22_RS02720	MFC_RS01115
OG0000152	ABKJ22_RS02715	MFC_RS01120
OG0000153	ABKJ22_RS02710	MFC_RS01125
OG0000154	ABKJ22_RS02700	MFC_RS01135
OG0000155	ABKJ22_RS02660	MFC_RS01155
OG0000156	ABKJ22_RS02650	MFC_RS01175
OG0000157	ABKJ22_RS02645	MFC_RS01180
OG0000158	ABKJ22_RS02635	MFC_RS01190
OG0000159	ABKJ22_RS02410	MFC_RS01245
OG0000160	ABKJ22_RS02405	MFC_RS01250
OG0000161	ABKJ22_RS02400	MFC_RS01255
OG0000162	ABKJ22_RS02390	MFC_RS01265
OG0000163	ABKJ22_RS02385	MFC_RS01270
OG0000164	ABKJ22_RS01610	MFC_RS01300
OG0000165	ABKJ22_RS01915	MFC_RS01345
OG0000166	ABKJ22_RS01935	MFC_RS01365
OG0000167	ABKJ22_RS01950	MFC_RS01380
OG0000168	ABKJ22_RS01955	MFC_RS01385
OG0000169	ABKJ22_RS02950	MFC_RS01430
OG0000170	ABKJ22_RS02965	MFC_RS01455
OG0000171	ABKJ22_RS02975	MFC_RS01465
OG0000172	ABKJ22_RS02980	MFC_RS01470
OG0000173	ABKJ22_RS02985	MFC_RS01475
OG0000174	ABKJ22_RS02990	MFC_RS01480
OG0000175	ABKJ22_RS03005	MFC_RS01495
OG0000176	ABKJ22_RS03050	MFC_RS01540
OG0000177	ABKJ22_RS03055	MFC_RS01545
OG0000178	ABKJ22_RS03060	MFC_RS01550
OG0000179	ABKJ22_RS03070	MFC_RS01560
OG0000180	ABKJ22_RS03075	MFC_RS01565
OG0000181	ABKJ22_RS03105	MFC_RS01580
OG0000182	ABKJ22_RS03115	MFC_RS01590
OG0000183	ABKJ22_RS03150	MFC_RS01625
OG0000184	ABKJ22_RS03190	MFC_RS01655
OG0000185	ABKJ22_RS03175	MFC_RS01670
OG0000186	ABKJ22_RS01540	MFC_RS01710
OG0000187	ABKJ22_RS01555	MFC_RS01725
OG0000188	ABKJ22_RS01565	MFC_RS01735
OG0000189	ABKJ22_RS02110	MFC_RS03385
OG0000190	ABKJ22_RS02115	MFC_RS01750
OG0000191	ABKJ22_RS02135	MFC_RS01770
OG0000192	ABKJ22_RS01230	MFC_RS01780
OG0000193	ABKJ22_RS01220	MFC_RS01795
OG0000194	ABKJ22_RS01010	MFC_RS01805
OG0000195	ABKJ22_RS01005	MFC_RS01810
OG0000196	ABKJ22_RS00985	MFC_RS01830
OG0000197	ABKJ22_RS00980	MFC_RS01835
OG0000198	ABKJ22_RS00965	MFC_RS01850
OG0000199	ABKJ22_RS00960	MFC_RS01855
OG0000200	ABKJ22_RS00945	MFC_RS01865
OG0000201	ABKJ22_RS00935	MFC_RS01875
OG0000202	ABKJ22_RS00880	MFC_RS01930
OG0000203	ABKJ22_RS00875	MFC_RS01935
OG0000204	ABKJ22_RS00870	MFC_RS01940
OG0000205	ABKJ22_RS00865	MFC_RS01945
OG0000206	ABKJ22_RS00845	MFC_RS01965
OG0000207	ABKJ22_RS00830	MFC_RS01980
OG0000208	ABKJ22_RS00825	MFC_RS01985
OG0000209	ABKJ22_RS00820	MFC_RS01990
OG0000210	ABKJ22_RS00775	MFC_RS02040
OG0000211	ABKJ22_RS00745	MFC_RS02050
OG0000212	ABKJ22_RS00735	MFC_RS02060
OG0000213	ABKJ22_RS00730	MFC_RS02065
OG0000214	ABKJ22_RS00725	MFC_RS02070
OG0000215	ABKJ22_RS00720	MFC_RS02075
OG0000216	ABKJ22_RS00715	MFC_RS02080
OG0000217	ABKJ22_RS00710	MFC_RS02085
OG0000218	ABKJ22_RS00700	MFC_RS02095
OG0000219	ABKJ22_RS00695	MFC_RS02100
OG0000220	ABKJ22_RS00690	MFC_RS02105
OG0000221	ABKJ22_RS00685	MFC_RS02110
OG0000222	ABKJ22_RS00680	MFC_RS03235
OG0000223	ABKJ22_RS00675	MFC_RS02115
OG0000224	ABKJ22_RS00665	MFC_RS02125
OG0000225	ABKJ22_RS00655	MFC_RS02135
OG0000226	ABKJ22_RS00650	MFC_RS02140
OG0000227	ABKJ22_RS00645	MFC_RS02145
OG0000228	ABKJ22_RS00640	MFC_RS03530
OG0000229	ABKJ22_RS00635	MFC_RS02155
OG0000230	ABKJ22_RS00630	MFC_RS02160
OG0000231	ABKJ22_RS00620	MFC_RS02170
OG0000232	ABKJ22_RS00610	MFC_RS02180
OG0000233	ABKJ22_RS01110	MFC_RS02190
OG0000234	ABKJ22_RS01145	MFC_RS02220
OG0000235	ABKJ22_RS01155	MFC_RS02230
OG0000236	ABKJ22_RS01160	MFC_RS02235
OG0000237	ABKJ22_RS01165	MFC_RS02250
OG0000238	ABKJ22_RS01170	MFC_RS02255
OG0000239	ABKJ22_RS02885	MFC_RS02285
OG0000240	ABKJ22_RS02890	MFC_RS02290
OG0000241	ABKJ22_RS02900	MFC_RS02300
OG0000242	ABKJ22_RS02905	MFC_RS02305
OG0000243	ABKJ22_RS02910	MFC_RS02310
OG0000244	ABKJ22_RS02920	MFC_RS02320
OG0000245	ABKJ22_RS02930	MFC_RS02330
OG0000246	ABKJ22_RS00135	MFC_RS02345
OG0000247	ABKJ22_RS00145	MFC_RS02355
OG0000248	ABKJ22_RS00155	MFC_RS02380
OG0000249	ABKJ22_RS00160	MFC_RS02385
OG0000250	ABKJ22_RS00175	MFC_RS02400
OG0000251	ABKJ22_RS00205	MFC_RS02430
OG0000252	ABKJ22_RS00215	MFC_RS02440
OG0000253	ABKJ22_RS00220	MFC_RS02445
OG0000254	ABKJ22_RS00230	MFC_RS02455
OG0000255	ABKJ22_RS00235	MFC_RS02465
OG0000256	ABKJ22_RS00240	MFC_RS02470
OG0000257	ABKJ22_RS00265	MFC_RS02495
OG0000258	ABKJ22_RS00275	MFC_RS02505
OG0000259	ABKJ22_RS00305	MFC_RS02535
OG0000260	ABKJ22_RS00315	MFC_RS02545
OG0000261	ABKJ22_RS00325	MFC_RS02555
OG0000262	ABKJ22_RS00340	MFC_RS02570
OG0000263	ABKJ22_RS00355	MFC_RS02585
OG0000264	ABKJ22_RS00370	MFC_RS02600
OG0000265	ABKJ22_RS00380	MFC_RS02610
OG0000266	ABKJ22_RS00395	MFC_RS02625
OG0000267	ABKJ22_RS00410	MFC_RS02640
OG0000268	ABKJ22_RS00415	MFC_RS02645
OG0000269	ABKJ22_RS00440	MFC_RS02660
OG0000270	ABKJ22_RS03375	MFC_RS02720
OG0000271	ABKJ22_RS03370	MFC_RS02725
OG0000272	ABKJ22_RS03365	MFC_RS02730
OG0000273	ABKJ22_RS03360	MFC_RS02735
OG0000274	ABKJ22_RS03340	MFC_RS02755
OG0000275	ABKJ22_RS03335	MFC_RS03455
OG0000276	ABKJ22_RS03330	MFC_RS02765
OG0000277	ABKJ22_RS03320	MFC_RS02775
OG0000278	ABKJ22_RS03315	MFC_RS02780
OG0000279	ABKJ22_RS03305	MFC_RS02790
OG0000280	ABKJ22_RS03300	MFC_RS02795
OG0000281	ABKJ22_RS03295	MFC_RS03255
OG0000282	ABKJ22_RS03270	MFC_RS02820
OG0000283	ABKJ22_RS03265	MFC_RS02825
OG0000284	ABKJ22_RS03260	MFC_RS02830
OG0000285	ABKJ22_RS03255	MFC_RS02835
OG0000286	ABKJ22_RS02370	MFC_RS02865
OG0000287	ABKJ22_RS02465	MFC_RS02890
OG0000288	ABKJ22_RS02475	MFC_RS02900
OG0000289	ABKJ22_RS02480	MFC_RS02905
OG0000290	ABKJ22_RS02590	MFC_RS03030
OG0000291	ABKJ22_RS02580	MFC_RS03040
OG0000292	ABKJ22_RS02575	MFC_RS03045
OG0000293	ABKJ22_RS02570	MFC_RS03050
OG0000294	ABKJ22_RS02560	MFC_RS03060
OG0000295	ABKJ22_RS02555	MFC_RS03065
OG0000296	ABKJ22_RS02515	MFC_RS03110
OG0000297	ABKJ22_RS02510	MFC_RS03115
OG0000298	ABKJ22_RS00170	MFC_RS02395
OG0000299	ABKJ22_RS00190	MFC_RS02415
OG0000300	ABKJ22_RS00365	MFC_RS02595
OG0000301	ABKJ22_RS00400	MFC_RS02630
OG0000302	ABKJ22_RS00405	MFC_RS02635
OG0000303	ABKJ22_RS00560	MFC_RS00835
OG0000304	ABKJ22_RS00605	MFC_RS00865
OG0000305	ABKJ22_RS02825	MFC_RS01010
OG0000306	ABKJ22_RS02745	MFC_RS01090
OG0000307	ABKJ22_RS02705	MFC_RS01130
OG0000308	ABKJ22_RS02610	MFC_RS03020
OG0000309	ABKJ22_RS02545	MFC_RS03075
OG0000310	ABKJ22_RS02470	MFC_RS02895
OG0000311	ABKJ22_RS02430	MFC_RS01220
OG0000312	ABKJ22_RS02415	MFC_RS01240
OG0000313	ABKJ22_RS01600	MFC_RS01290
OG0000314	ABKJ22_RS01930	MFC_RS01360
OG0000315	ABKJ22_RS01960	MFC_RS01390
OG0000316	ABKJ22_RS01970	MFC_RS01400
OG0000317	ABKJ22_RS02065	MFC_RS00110
OG0000318	ABKJ22_RS01975	MFC_RS00020
OG0000319	ABKJ22_RS02180	MFC_RS00420
OG0000320	ABKJ22_RS02315	MFC_RS00485
OG0000321	ABKJ22_RS01350	MFC_RS00550
OG0000322	ABKJ22_RS01395	MFC_RS00595
OG0000323	ABKJ22_RS01525	MFC_RS00725
OG0000324	ABKJ22_RS02140	MFC_RS01775
OG0000325	ABKJ22_RS01000	MFC_RS01815
OG0000326	ABKJ22_RS00905	MFC_RS01905
OG0000327	ABKJ22_RS00900	MFC_RS01910
OG0000328	ABKJ22_RS00815	MFC_RS01995
OG0000329	ABKJ22_RS00795	MFC_RS02020
OG0000330	ABKJ22_RS01120	MFC_RS02200
OG0000331	ABKJ22_RS02915	MFC_RS02315
OG0000332	ABKJ22_RS03015	MFC_RS01505
OG0000333	ABKJ22_RS03025	MFC_RS01515
OG0000334	ABKJ22_RS03110	MFC_RS01585
OG0000335	ABKJ22_RS03120	MFC_RS01595
OG0000336	ABKJ22_RS03285	MFC_RS02805
OG0000337	ABKJ22_RS03460	MFC_RS00280
OG0000338	ABKJ22_RS03500	MFC_RS00240
OG0000339	ABKJ22_RS02290	MFC_RS00505
OG0000340	ABKJ22_RS01330	MFC_RS00530
OG0000341	ABKJ22_RS02120	MFC_RS01755
OG0000342	ABKJ22_RS00970	MFC_RS01845
OG0000343	ABKJ22_RS03035	MFC_RS01525
OG0000344	ABKJ22_RS00575	MFC_RS00850
OG0000345	ABKJ22_RS00660	MFC_RS02130
OG0000346	ABKJ22_RS03290	MFC_RS02800
OG0000347	ABKJ22_RS01420	MFC_RS00620
OG0000348	ABKJ22_RS00895	MFC_RS01915
OG0000349	ABKJ22_RS03350	MFC_RS02745
OG0000350	ABKJ22_RS02695	MFC_RS03345
OG0000351	ABKJ22_RS00495	MFC_RS00785
OG0000352	ABKJ22_RS01910	MFC_RS01340
OG0000353	ABKJ22_RS01390	MFC_RS00590
OG0000354	ABKJ22_RS01065	MFC_RS00900
OG0000355	ABKJ22_RS01885	MFC_RS01315
OG0000356	ABKJ22_RS01965	MFC_RS01395
OG0000357	ABKJ22_RS02995	MFC_RS01485
OG0000358	ABKJ22_RS03000	MFC_RS01490
OG0000359	ABKJ22_RS00925	MFC_RS01885
OG0000360	ABKJ22_RS00270	MFC_RS02500
OG0000361	ABKJ22_RS00300	MFC_RS02530
OG0000362	ABKJ22_RS02490	MFC_RS02915
OG0000363	ABKJ22_RS01460	MFC_RS00660
OG0000365	ABKJ22_RS02015	MFC_RS00050
OG0000366	ABKJ22_RS02035	MFC_RS00080
OG0000367	ABKJ22_RS02045	MFC_RS00090
OG0000368	ABKJ22_RS00060	MFC_RS00175
OG0000369	ABKJ22_RS00025	MFC_RS00210
OG0000370	ABKJ22_RS00020	MFC_RS00215
OG0000371	ABKJ22_RS00015	MFC_RS00220
OG0000372	ABKJ22_RS00010	MFC_RS00225
OG0000373	ABKJ22_RS03490	MFC_RS00250
OG0000374	ABKJ22_RS03480	MFC_RS00260
OG0000375	ABKJ22_RS02185	MFC_RS00415
OG0000376	ABKJ22_RS02330	MFC_RS00470
OG0000377	ABKJ22_RS02320	MFC_RS00480
OG0000378	ABKJ22_RS01310	MFC_RS00515
OG0000379	ABKJ22_RS01385	MFC_RS00585
OG0000380	ABKJ22_RS01410	MFC_RS00610
OG0000381	ABKJ22_RS01450	MFC_RS00650
OG0000382	ABKJ22_RS01480	MFC_RS00680
OG0000383	ABKJ22_RS01520	MFC_RS00720
OG0000384	ABKJ22_RS00515	MFC_RS00790
OG0000385	ABKJ22_RS00520	MFC_RS00795
OG0000386	ABKJ22_RS00540	MFC_RS00815
OG0000387	ABKJ22_RS00565	MFC_RS00840
OG0000388	ABKJ22_RS00570	MFC_RS00845
OG0000389	ABKJ22_RS01085	MFC_RS00880
OG0000390	ABKJ22_RS02845	MFC_RS00990
OG0000391	ABKJ22_RS02835	MFC_RS01000
OG0000392	ABKJ22_RS02810	MFC_RS01030
OG0000393	ABKJ22_RS02755	MFC_RS01080
OG0000394	ABKJ22_RS02670	MFC_RS01145
OG0000395	ABKJ22_RS02665	MFC_RS01150
OG0000396	ABKJ22_RS02375	MFC_RS01280
OG0000397	ABKJ22_RS01895	MFC_RS01325
OG0000398	ABKJ22_RS01900	MFC_RS01330
OG0000399	ABKJ22_RS01945	MFC_RS01375
OG0000400	ABKJ22_RS02960	MFC_RS01450
OG0000401	ABKJ22_RS03020	MFC_RS01510
OG0000402	ABKJ22_RS03030	MFC_RS01520
OG0000403	ABKJ22_RS03040	MFC_RS01530
OG0000404	ABKJ22_RS03065	MFC_RS03375, MFC_RS01555
OG0000405	ABKJ22_RS03080	MFC_RS01570
OG0000406	ABKJ22_RS03125	MFC_RS01600
OG0000407	ABKJ22_RS03130	MFC_RS01605
OG0000408	ABKJ22_RS03135	MFC_RS01610
OG0000409	ABKJ22_RS03140	MFC_RS01615
OG0000410	ABKJ22_RS03195	MFC_RS01650
OG0000411	ABKJ22_RS03185	MFC_RS01660
OG0000412	ABKJ22_RS03180	MFC_RS01665
OG0000413	ABKJ22_RS01535	MFC_RS01705
OG0000414	ABKJ22_RS01545	MFC_RS01715
OG0000415	ABKJ22_RS01550	MFC_RS01720
OG0000416	ABKJ22_RS01560	MFC_RS01730
OG0000417	ABKJ22_RS02125	MFC_RS01760
OG0000418	ABKJ22_RS02130	MFC_RS01765
OG0000419	ABKJ22_RS00990	MFC_RS01825
OG0000420	ABKJ22_RS00955	MFC_RS01860
OG0000421	ABKJ22_RS00920	MFC_RS01890
OG0000422	ABKJ22_RS00910	MFC_RS01900
OG0000423	ABKJ22_RS00855	MFC_RS01955
OG0000424	ABKJ22_RS00850	MFC_RS01960
OG0000425	ABKJ22_RS00840	MFC_RS01970
OG0000426	ABKJ22_RS00835	MFC_RS01975
OG0000427	ABKJ22_RS00810	MFC_RS02000
OG0000428	ABKJ22_RS00785	MFC_RS02030
OG0000429	ABKJ22_RS00670	MFC_RS02120
OG0000430	ABKJ22_RS00625	MFC_RS02165
OG0000431	ABKJ22_RS00615	MFC_RS02175
OG0000432	ABKJ22_RS01115	MFC_RS02195
OG0000433	ABKJ22_RS01130	MFC_RS02205
OG0000434	ABKJ22_RS01135	MFC_RS02210
OG0000435	ABKJ22_RS01150	MFC_RS02225
OG0000436	ABKJ22_RS01175	MFC_RS03535
OG0000437	ABKJ22_RS01185	MFC_RS02270
OG0000438	ABKJ22_RS01190	MFC_RS02275
OG0000439	ABKJ22_RS01195	MFC_RS02280
OG0000440	ABKJ22_RS02895	MFC_RS02295
OG0000441	ABKJ22_RS02935	MFC_RS02335
OG0000442	ABKJ22_RS00140	MFC_RS02350
OG0000443	ABKJ22_RS00185	MFC_RS02410
OG0000444	ABKJ22_RS00200	MFC_RS02425
OG0000445	ABKJ22_RS00225	MFC_RS02450
OG0000446	ABKJ22_RS00250	MFC_RS02480
OG0000447	ABKJ22_RS00255	MFC_RS02485
OG0000448	ABKJ22_RS00285	MFC_RS02515
OG0000449	ABKJ22_RS00310	MFC_RS02540
OG0000450	ABKJ22_RS00320	MFC_RS02550
OG0000451	ABKJ22_RS00360	MFC_RS02590
OG0000452	ABKJ22_RS00385	MFC_RS02615
OG0000453	ABKJ22_RS00420	MFC_RS02650
OG0000454	ABKJ22_RS01580	MFC_RS03435
OG0000455	ABKJ22_RS03395	MFC_RS02700
OG0000456	ABKJ22_RS03275	MFC_RS02815
OG0000457	ABKJ22_RS03250	MFC_RS02840
OG0000458	ABKJ22_RS02460	MFC_RS02885
OG0000459	ABKJ22_RS02485	MFC_RS02910
OG0000460	ABKJ22_RS02495	MFC_RS02920
OG0000461	ABKJ22_RS02540	MFC_RS03080
OG0000462	ABKJ22_RS02535	MFC_RS03085
OG0000463	ABKJ22_RS02530	MFC_RS03090
OG0000464	ABKJ22_RS02525	MFC_RS03100
OG0000465	ABKJ22_RS02520	MFC_RS03105
OG0000466	ABKJ22_RS00390	MFC_RS02620
OG0000467	ABKJ22_RS02620	MFC_RS03500
OG0000468	ABKJ22_RS01940	MFC_RS01370
OG0000469	ABKJ22_RS02000	MFC_RS00045
OG0000470	ABKJ22_RS00860	MFC_RS01950
OG0000471	ABKJ22_RS00780	MFC_RS02035
OG0000472	ABKJ22_RS03205	MFC_RS01680
OG0000473	ABKJ22_RS03380	MFC_RS02715
OG0000474	ABKJ22_RS03385	MFC_RS02710
OG0000475	ABKJ22_RS03390	MFC_RS02705
OG0000476	ABKJ22_RS01570	MFC_RS00345
OG0000477	ABKJ22_RS02565	MFC_RS03055
OG0000478	ABKJ22_RS03325	MFC_RS02770
OG0000479	ABKJ22_RS01345	MFC_RS00545
OG0000480	ABKJ22_RS02005	MFC_RS03300
OG0000481	ABKJ22_RS00885	MFC_RS01925
OG0000482	ABKJ22_RS01225	MFC_RS01790
OG0000483	ABKJ22_RS02050	MFC_RS00095
OG0000484	ABKJ22_RS00195	MFC_RS02420
OG0000487	ABKJ22_RS01980	MFC_RS00025
OG0000488	ABKJ22_RS02020	MFC_RS00065
OG0000489	ABKJ22_RS00050	MFC_RS00185
OG0000490	ABKJ22_RS03495	MFC_RS00245
OG0000491	ABKJ22_RS01365	MFC_RS00565
OG0000492	ABKJ22_RS01440	MFC_RS00640
OG0000493	ABKJ22_RS00580	MFC_RS00855
OG0000494	ABKJ22_RS01060	MFC_RS00905
OG0000495	ABKJ22_RS02780	MFC_RS01055
OG0000496	ABKJ22_RS02770	MFC_RS01065
OG0000497	ABKJ22_RS02765	MFC_RS01070
OG0000498	ABKJ22_RS02675	MFC_RS01140
OG0000499	ABKJ22_RS02640	MFC_RS01185
OG0000500	ABKJ22_RS01905	MFC_RS01335
OG0000501	ABKJ22_RS02970	MFC_RS01460
OG0000502	ABKJ22_RS01215	MFC_RS01800
OG0000503	ABKJ22_RS00940	MFC_RS01870
OG0000504	ABKJ22_RS00805	MFC_RS02005
OG0000505	ABKJ22_RS00755	MFC_RS02045
OG0000506	ABKJ22_RS00740	MFC_RS02055
OG0000507	ABKJ22_RS00705	MFC_RS02090
OG0000508	ABKJ22_RS00245	MFC_RS02475
OG0000509	ABKJ22_RS00280	MFC_RS02510
OG0000510	ABKJ22_RS00290	MFC_RS02520
OG0000511	ABKJ22_RS00435	MFC_RS02655
OG0000512	ABKJ22_RS02500	MFC_RS02925
OG0000513	ABKJ22_RS03310	MFC_RS02785
OG0000516	ABKJ22_RS01985	MFC_RS00030
OG0000517	ABKJ22_RS00065	MFC_RS00170
OG0000518	ABKJ22_RS03010	MFC_RS01500
OG0000519	ABKJ22_RS00915	MFC_RS01895
OG0000520	ABKJ22_RS00790	MFC_RS02025
OG0000521	ABKJ22_RS00260	MFC_RS02490
OG0000522	ABKJ22_RS00295	MFC_RS02525
OG0000523	ABKJ22_RS03245	MFC_RS02845
